,1_DDA_SKF,2_DDA_SKF,3_DDA_SKF,4_DDA_SKF,5_DDA_SKF,6_DDA_SKF,7_DDA_SKF,8_DDA_SKF,9_DDA_SKF,10_DDA_SKF,11_DDA_SKF,12_DDA_SKF,13_DDA_SKF,14_DDA_SKF,15_DDA_SKF,16_DDA_SKF,17_DDA_SKF,18_DDA_SKF,19_DDA_SKF,20_DDA_SKF,21_DDA_SKF,22_DDA_SKF,23_DDA_SKF,24_DDA_SKF,25_DDA_SKF,26_DDA_SKF,27_DDA_SKF,28_DDA_SKF,29_DDA_SKF,30_DDA_SKF,31_DDA_SKF,32_DDA_SKF,33_DDA_SKF,34_DDA_SKF,35_DDA_SKF,36_DDA_SKF,37_DDA_SKF,38_DDA_SKF,39_DDA_SKF,40_DDA_SKF,41_DDA_SKF,42_DDA_SKF,43_DDA_SKF,44_DDA_SKF,45_DDA_SKF,46_DDA_SKF,47_DDA_SKF,48_DDA_SKF,49_DDA_SKF,50_DDA_SKF,51_DDA_SKF,52_DDA_SKF,53_DDA_SKF,54_DDA_SKF,55_DDA_SKF,56_DDA_SKF,57_DDA_SKF,58_DDA_SKF,59_DDA_SKF,60_DDA_SKF,61_DDA_SKF,62_DDA_SKF,63_DDA_SKF,64_DDA_SKF,65_DDA_SKF,66_DDA_SKF,67_DDA_SKF,68_DDA_SKF,69_DDA_SKF,70_DDA_SKF,71_DDA_SKF,72_DDA_SKF,73_DDA_SKF,74_DDA_SKF,75_DDA_SKF,76_DDA_SKF,77_DDA_SKF,78_DDA_SKF,79_DDA_SKF,80_DDA_SKF,81_DDA_SKF,82_DDA_SKF,83_DDA_SKF,84_DDA_SKF,85_DDA_SKF,86_DDA_SKF,87_DDA_SKF,88_DDA_SKF,89_DDA_SKF,90_DDA_SKF,91_DDA_SKF,92_DDA_SKF,93_DDA_SKF,94_DDA_SKF,95_DDA_SKF,96_DDA_SKF,97_DDA_SKF,98_DDA_SKF,99_DDA_SKF,100_DDA_SKF
ACC,0.5031512605042017,0.4957983193277311,0.6239495798319328,0.555672268907563,0.5252100840336135,0.5294117647058824,0.5241596638655462,0.5441176470588235,0.6334033613445378,0.5388655462184874,0.5577731092436975,0.5451680672268907,0.5409663865546218,0.5966386554621849,0.5294117647058824,0.5861344537815126,0.5304621848739496,0.49159663865546216,0.5861344537815126,0.5493697478991597,0.592436974789916,0.5577731092436975,0.5357142857142857,0.5756302521008403,0.5745798319327731,0.5777310924369747,0.5777310924369747,0.4989495798319328,0.5640756302521008,0.5220588235294118,0.5462184873949579,0.5672268907563025,0.532563025210084,0.5703781512605042,0.5378151260504201,0.5819327731092437,0.5336134453781513,0.5892857142857143,0.5336134453781513,0.5357142857142857,0.5661764705882353,0.5724789915966386,0.5462184873949579,0.5178571428571429,0.5735294117647058,0.5892857142857143,0.5493697478991597,0.5787815126050421,0.6102941176470589,0.5808823529411765,0.5430672268907563,0.5766806722689075,0.6134453781512605,0.5304621848739496,0.5147058823529411,0.5808823529411765,0.532563025210084,0.6186974789915967,0.5483193277310925,0.5703781512605042,0.5577731092436975,0.5787815126050421,0.5672268907563025,0.5819327731092437,0.5357142857142857,0.5315126050420168,0.5630252100840336,0.5294117647058824,0.569327731092437,0.5514705882352942,0.49054621848739494,0.5294117647058824,0.5766806722689075,0.6008403361344538,0.5714285714285714,0.5430672268907563,0.5798319327731093,0.6523109243697479,0.5966386554621849,0.5367647058823529,0.5378151260504201,0.5892857142857143,0.6102941176470589,0.4831932773109244,0.5441176470588235,0.5042016806722689,0.5598739495798319,0.5756302521008403,0.5525210084033614,0.5546218487394958,0.532563025210084,0.5724789915966386,0.5346638655462185,0.5525210084033614,0.5619747899159664,0.5934873949579832,0.5115546218487395,0.5577731092436975,0.5493697478991597,0.5714285714285714
AUC,0.5537914062139879,0.5517224122542667,0.5728043551501362,0.5682952786035875,0.5484991311769314,0.5769181997420411,0.5617037872821574,0.5683664740711593,0.5739447014445704,0.5615270419310789,0.5749455473001389,0.5631881870488274,0.5745764789901647,0.577820574583524,0.5555081733814572,0.5759691226561424,0.5722354769840152,0.5580642831489723,0.5767782258215324,0.5623889090328665,0.5740359959782231,0.5669574345756724,0.5639876048399088,0.582518046404582,0.5810842166706732,0.5884554408282618,0.5839788639956106,0.5531971102087503,0.5731166421812834,0.5633922007536412,0.5745659579648545,0.5843198295209829,0.5723867028357303,0.5755004422571994,0.5622023158375459,0.5788233105365067,0.5667110838295493,0.5632938091097272,0.5748651577617434,0.5676438232567611,0.5733633993355277,0.578012568368061,0.5613597318896782,0.5594192435702352,0.5806815488976514,0.5675313741388734,0.5461490298672409,0.5787775121571223,0.578715872901273,0.5820756765827803,0.5653057524898274,0.5792757679624305,0.5764971225690896,0.5720414242509351,0.5620946313264706,0.5817659239862745,0.5586861437435988,0.5839187467145949,0.5723906869947131,0.5707073283781972,0.5750161804715097,0.5732563749411497,0.5684254984027296,0.5810995197430922,0.5720111113871553,0.5625502330230537,0.5705072965682991,0.5709723371864301,0.5720296839362772,0.5625767111626475,0.5577283334242663,0.5658475848601372,0.5815286545088251,0.5884526903114178,0.5767840855496221,0.5727954287020649,0.5618231677213661,0.5666622155261131,0.5879160131718796,0.559749870676937,0.5624922002466605,0.5862393668254747,0.5687419158685193,0.5468826386871347,0.5722892186692231,0.5662262225622628,0.5726955214548153,0.5751440221067676,0.564350100519323,0.5584251757660269,0.5617615255933384,0.5675862610224552,0.5527593521356187,0.5586870851278266,0.5663715461490724,0.5900799227706133,0.5640341747139107,0.5808433242128809,0.5715553985530063,0.5708393065369408
Fscore,0.00034028527487290836,0.00034670821541497637,0.0003237809870742439,0.0003997923828017075,0.00035725225052716804,0.00033742203613862815,0.00037053019522160764,0.00034138911482477815,0.0003496972158915347,0.0003294711234990562,0.00035736213780227367,0.00036371607583531273,0.00038577827543932204,0.0003491810356959034,0.000375583427169089,0.0003392093622104009,0.0003342943237991723,0.00033907501691492713,0.0003485728968484287,0.00039803916537372447,0.0003686208019197032,0.00035190473758703685,0.0003413388050615893,0.00035142705349023304,0.00035466428136217046,0.0003744943395720709,0.00036712742019788275,0.00034560303294000185,0.00042760044595014214,0.00032584433169590056,0.0003440025155923423,0.0003763532563512958,0.0003309830212168469,0.00041593516962208047,0.00032183709432646797,0.0003897782736370027,0.00035960948596511834,0.0003444354944350776,0.00035539805650726316,0.00039288037888775734,0.00036929113023104486,0.0003676513498280985,0.00038874865534293136,0.000334498749049782,0.00036578223907878985,0.0003933515029874569,0.00030781484585178846,0.00033672373004734005,0.0003448373072379744,0.00039150467427405205,0.00037076000690081817,0.0003521639672641868,0.0003439154406887672,0.00033504262800469243,0.0003442501112521426,0.0003879708682632621,0.0003561624966928981,0.00035117931613350736,0.00033752615645832204,0.0003953221055563928,0.00037459913669281997,0.00038282150009884454,0.0003192962870067906,0.00038792263759665957,0.0003148752236035603,0.0003499555001930658,0.0003534558823806553,0.00032449491239077663,0.00035726534790578757,0.0003498313568266825,0.00036236404409539157,0.00034449275875989303,0.0003493483967809613,0.00042109162419211977,0.00036918699803695237,0.00033335973602463905,0.0003537138154091249,0.00040445215614368617,0.0003992205790968388,0.00034487505193631736,0.0003717102772795116,0.00040819847472084914,0.00038421466642333786,0.00032826951075100145,0.0003938991312169076,0.0003390916081072284,0.0003373377358292037,0.00036163166917593695,0.00038632865691451645,0.00037668228432938814,0.0003473405700231425,0.0003795942588814316,0.000369878505603082,0.0003582168652860688,0.00034640464433095125,0.0004292631620611766,0.00035131996718151305,0.0003492964329631774,0.00035222300492655106,0.0003410068200833915
HR@10,0.002162162162162162,0.0,0.0,0.0,0.001081081081081081,0.0,0.002162162162162162,0.0,0.002162162162162162,0.001081081081081081,0.001081081081081081,0.001081081081081081,0.004324324324324324,0.0,0.0,0.001081081081081081,0.003243243243243243,0.0,0.003243243243243243,0.001081081081081081,0.0,0.0,0.001081081081081081,0.003243243243243243,0.003243243243243243,0.002162162162162162,0.001081081081081081,0.002162162162162162,0.002162162162162162,0.0,0.0,0.002162162162162162,0.004324324324324324,0.0,0.0,0.001081081081081081,0.002162162162162162,0.0,0.003243243243243243,0.004324324324324324,0.0,0.0,0.002162162162162162,0.001081081081081081,0.0,0.001081081081081081,0.0,0.001081081081081081,0.0,0.002162162162162162,0.0,0.001081081081081081,0.002162162162162162,0.0,0.005405405405405406,0.0,0.001081081081081081,0.001081081081081081,0.0,0.0,0.002162162162162162,0.0,0.0,0.002162162162162162,0.001081081081081081,0.002162162162162162,0.001081081081081081,0.001081081081081081,0.002162162162162162,0.0,0.001081081081081081,0.0,0.0,0.0,0.002162162162162162,0.0,0.002162162162162162,0.0,0.0,0.002162162162162162,0.004324324324324324,0.001081081081081081,0.001081081081081081,0.0,0.002162162162162162,0.0,0.0,0.001081081081081081,0.001081081081081081,0.001081081081081081,0.001081081081081081,0.0,0.0,0.0,0.003243243243243243,0.001081081081081081,0.0,0.001081081081081081,0.002162162162162162,0.001081081081081081
HR@2,0.001081081081081081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001081081081081081,0.0,0.0,0.001081081081081081,0.0,0.0,0.0,0.0,0.001081081081081081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001081081081081081,0.001081081081081081,0.002162162162162162,0.001081081081081081,0.0,0.0,0.0,0.001081081081081081,0.0,0.0,0.0,0.001081081081081081,0.0,0.001081081081081081,0.0,0.0,0.0,0.001081081081081081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001081081081081081,0.001081081081081081,0.0,0.001081081081081081,0.0,0.001081081081081081,0.0,0.0,0.0,0.0,0.0,0.0,0.001081081081081081,0.0,0.001081081081081081,0.0,0.0,0.001081081081081081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002162162162162162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001081081081081081,0.0,0.0,0.0,0.0,0.0,0.0,0.001081081081081081,0.0,0.0,0.001081081081081081,0.0,0.0
HR@5,0.001081081081081081,0.0,0.0,0.0,0.001081081081081081,0.0,0.0,0.0,0.002162162162162162,0.0,0.0,0.001081081081081081,0.001081081081081081,0.0,0.0,0.0,0.001081081081081081,0.0,0.001081081081081081,0.0,0.0,0.0,0.0,0.001081081081081081,0.001081081081081081,0.002162162162162162,0.001081081081081081,0.002162162162162162,0.001081081081081081,0.0,0.0,0.0,0.002162162162162162,0.0,0.0,0.001081081081081081,0.002162162162162162,0.0,0.001081081081081081,0.002162162162162162,0.0,0.0,0.002162162162162162,0.0,0.0,0.0,0.0,0.001081081081081081,0.0,0.001081081081081081,0.0,0.001081081081081081,0.002162162162162162,0.0,0.003243243243243243,0.0,0.001081081081081081,0.0,0.0,0.0,0.001081081081081081,0.0,0.0,0.002162162162162162,0.0,0.001081081081081081,0.0,0.001081081081081081,0.001081081081081081,0.0,0.0,0.0,0.0,0.0,0.001081081081081081,0.0,0.002162162162162162,0.0,0.0,0.001081081081081081,0.001081081081081081,0.0,0.0,0.0,0.001081081081081081,0.0,0.0,0.001081081081081081,0.0,0.0,0.0,0.0,0.0,0.0,0.002162162162162162,0.001081081081081081,0.0,0.001081081081081081,0.001081081081081081,0.0
Lin's AUC,0.501948436951248,0.469973416480711,0.5417735575286593,0.5265208858034663,0.5012166381071343,0.49681159911890616,0.4982595866167105,0.5055556449964556,0.563683143123194,0.48340925000311274,0.505230601805473,0.5110134791710328,0.4898288107317885,0.5504651520768158,0.48289017876574125,0.5380646373688746,0.5078710414910084,0.46794691231822605,0.5226950971690852,0.5326413534781114,0.5431077904245273,0.5172989059332118,0.499343544642585,0.5226514074034986,0.5240183234374544,0.5104186867633104,0.5256706882405711,0.48314196232990647,0.5119929344498453,0.49840808599441705,0.519599425527835,0.504278275875504,0.48900175224644815,0.4885394361196933,0.5222674965405997,0.509822177512667,0.5062202482789079,0.5409621068162409,0.49940558634262017,0.5095449192605872,0.5149762549134655,0.5293297036285455,0.5111686099711534,0.5096754562700095,0.5393543470570977,0.5376741357287852,0.5105569489943454,0.5412017979187602,0.5610468442744392,0.5271671354502186,0.5231218617735027,0.49883631243708987,0.5374141326772515,0.4972815633408254,0.48407438284840515,0.529201362928106,0.5052166185803922,0.529078039711208,0.5184788793455124,0.5394692230132087,0.504886382851667,0.4973855651603756,0.5401639957971145,0.5355778260382741,0.5009547310568516,0.5049168381607397,0.5174141915058207,0.5192782698401622,0.5354784006613997,0.5070935246305501,0.47178123811905603,0.5086703437010218,0.5257161121920143,0.5229895778678868,0.5058726551774264,0.48963808930044334,0.5372159451474984,0.559820159540106,0.5333433867911412,0.4993935799461662,0.4806189523816388,0.5100594062781442,0.5410060371338279,0.49468581343031826,0.5077113335492266,0.4663353526260899,0.5150245900180512,0.5350443734341201,0.5088531176362363,0.5276456436529373,0.4943555306637086,0.514797727483787,0.49024178854208944,0.5246131527840522,0.5282216895276973,0.5341588581859817,0.49093798076997097,0.5215071700087326,0.4889993585802091,0.5122018784954319
NDCGk,0.20050715634228075,0.19954217582121556,0.20143656101629334,0.19973929890998043,0.1983453991581629,0.19909440623476954,0.19641061904113316,0.19539134724268467,0.1936500160721214,0.19811482471788025,0.20602733775551665,0.20223804749015992,0.20243670268614772,0.20163446581499972,0.198805516633167,0.20117537044342898,0.20173693955496683,0.2023610416135656,0.20008635933324284,0.20043284338421993,0.198622580930734,0.19322831735745988,0.20377716363689943,0.20421690862085567,0.1996114568660337,0.2049872686076272,0.20128319500886593,0.19876034061001702,0.20660622620182545,0.19445905437314862,0.20862669341759466,0.2003250829133224,0.2002114172036115,0.20104743142559972,0.1969000851708128,0.2034679613867993,0.19756038733427242,0.19520717614454255,0.19771956259821502,0.20228753276054046,0.1991197372905315,0.20172058439972967,0.20564263118952383,0.1910621460258282,0.2154371421071665,0.1996145060499277,0.1970508562719962,0.19882166979809895,0.20117043011075483,0.20133605462770887,0.1974554045730544,0.20037752405593406,0.20482127774104364,0.20963795037314115,0.20316335122788112,0.1992061948886502,0.19366064129221836,0.1954014761059275,0.2060695945824505,0.20096928836661315,0.1975188423365425,0.20190711753665372,0.20259668879010514,0.20597726192148907,0.2014510050782662,0.19862169065738283,0.20227198045901354,0.19912398065439837,0.19721013206770874,0.20129246407879456,0.1939917118606538,0.20212033446732375,0.19662769948863004,0.2066269141479615,0.20140002484746483,0.20016884690661577,0.19709356165363506,0.19919908491924104,0.20092803235835538,0.19489211646101626,0.19973919129639503,0.19792087206743095,0.19720446532520555,0.19667627861632592,0.20901600293424985,0.19339470574040435,0.20152038313719245,0.20739937827183008,0.19345157433230833,0.19825436118421852,0.19781161766888328,0.1995834306003172,0.19770489488521514,0.19033192354158154,0.20489349771855597,0.2018447778039136,0.19311157856698372,0.20701347954866867,0.19963236178120208,0.2014154510109093
global AUC,0.5301527078791983,0.5232823031916385,0.6355411590888681,0.5755360432240246,0.545735673833873,0.5515834038690445,0.5454092802840723,0.5636361229020179,0.6495570381750821,0.5600311335610229,0.5810938840133227,0.5658535126097718,0.561190050832615,0.6151236422852769,0.5477792339587263,0.6025394086897632,0.5535160165350427,0.5228562138825034,0.6052705222883886,0.5677270352064623,0.6068322731908433,0.5763385165021533,0.5592235448756411,0.5959718993506217,0.593990125419911,0.5956293496433938,0.5971525599629809,0.5231185268780241,0.5816966317315178,0.5469038399301716,0.5691061003141933,0.5828069990796706,0.5533267515001827,0.587439895165954,0.5641708845286844,0.5983019822260304,0.5548035264232932,0.6038800320542337,0.5584993717850673,0.5529162001433402,0.5892091721782522,0.5915258934030854,0.5649430657552221,0.5398816290460318,0.5944281166650555,0.606633623884408,0.5704791307148082,0.594789955653734,0.62306573646089,0.5961782782803966,0.5631509352869408,0.5938968528622588,0.624514253323396,0.5531460392944637,0.5355818407389635,0.6001608422415771,0.5528609053319048,0.6295796838848541,0.5710745816905349,0.5885241409448222,0.576008711613139,0.5923460841383595,0.5882273983619394,0.5966096907429959,0.5566061105527869,0.5519231650181006,0.5797120742761344,0.5546153577759259,0.587787153939828,0.5704808393587552,0.5168945574725431,0.5475753521018003,0.5967363015340158,0.6171824026604328,0.5886470429626257,0.5628529302111153,0.5951422804150577,0.6641204214182224,0.6140638126348821,0.5566782817695265,0.5553952201211816,0.6071433864119564,0.6275273878945505,0.508324819437541,0.5653981233058417,0.5260539634510809,0.5788954275813982,0.5957519812250507,0.5725632713621961,0.5783136901435519,0.5538665196274982,0.58829606626372,0.5527081775475079,0.5751689565843595,0.5817757368212428,0.6095559321781835,0.5318308039812686,0.5794579713742652,0.5669568792766864,0.5869939889732061
global NDCG,0.5221072406971057,0.5007873253540693,0.5232645695970445,0.5127963080606145,0.5139766110403281,0.5073773033068583,0.5120974030982206,0.5120712647595417,0.5448249876765999,0.5060476101171943,0.5302518768405958,0.526546316979744,0.5147620105553466,0.5238255538938776,0.49958084566685845,0.5120457078706051,0.5245412720580436,0.4938148812134345,0.5488118362807966,0.5178580081332437,0.5267894191548254,0.5135418577908532,0.5223987706382578,0.5422504561606812,0.5459571799340532,0.5320056800198969,0.5285984723439245,0.5242678299779657,0.5353322738229807,0.5073219652668924,0.5128250317875774,0.5220268270644548,0.538234668877159,0.5217935629910655,0.5197445560667947,0.525225239909795,0.53795812100415,0.5208011629767272,0.5417361454716337,0.5207617656831542,0.5191783251952202,0.5222195864286775,0.5344567132412704,0.5096573934372907,0.5303994543375817,0.5293688206456896,0.5153984809068176,0.5272475571670252,0.5228876788502468,0.5221508262914869,0.5078774329021765,0.5214925582566723,0.5442814688832374,0.5113504444745857,0.5272576557628039,0.5274799096108626,0.5215359776467433,0.5373215938594702,0.5131518675156181,0.5219915467662755,0.5307861406646903,0.5155734499839646,0.5200449078668565,0.5263833235370987,0.510800977103272,0.534791325200777,0.5218193498527941,0.5245271257231742,0.5292059908805857,0.5092293535015133,0.5105230085379893,0.5146466311471404,0.522389726197501,0.535076083560238,0.5311272718117466,0.5148810358496383,0.5349535449070782,0.5338454367216744,0.5281784988071271,0.52107373202294,0.5242931965815683,0.5290311052294231,0.5282247366700011,0.4876196108356509,0.5223478292512924,0.4976575343598533,0.5224105015870352,0.5254691357332802,0.5279565002318669,0.5196560734826697,0.5157590180026023,0.52006851504597,0.4945887571312794,0.5181184688927277,0.5385504064148383,0.5331905759597333,0.5003016064428352,0.5251323012850512,0.523554075635996,0.5204007985456923
