,1_FastaiCollabWrapper,2_FastaiCollabWrapper,3_FastaiCollabWrapper,4_FastaiCollabWrapper,5_FastaiCollabWrapper,6_FastaiCollabWrapper,7_FastaiCollabWrapper,8_FastaiCollabWrapper,9_FastaiCollabWrapper,10_FastaiCollabWrapper,11_FastaiCollabWrapper,12_FastaiCollabWrapper,13_FastaiCollabWrapper,14_FastaiCollabWrapper,15_FastaiCollabWrapper,16_FastaiCollabWrapper,17_FastaiCollabWrapper,18_FastaiCollabWrapper,19_FastaiCollabWrapper,20_FastaiCollabWrapper,21_FastaiCollabWrapper,22_FastaiCollabWrapper,23_FastaiCollabWrapper,24_FastaiCollabWrapper,25_FastaiCollabWrapper,26_FastaiCollabWrapper,27_FastaiCollabWrapper,28_FastaiCollabWrapper,29_FastaiCollabWrapper,30_FastaiCollabWrapper,31_FastaiCollabWrapper,32_FastaiCollabWrapper,33_FastaiCollabWrapper,34_FastaiCollabWrapper,35_FastaiCollabWrapper,36_FastaiCollabWrapper,37_FastaiCollabWrapper,38_FastaiCollabWrapper,39_FastaiCollabWrapper,40_FastaiCollabWrapper,41_FastaiCollabWrapper,42_FastaiCollabWrapper,43_FastaiCollabWrapper,44_FastaiCollabWrapper,45_FastaiCollabWrapper,46_FastaiCollabWrapper,47_FastaiCollabWrapper,48_FastaiCollabWrapper,49_FastaiCollabWrapper,50_FastaiCollabWrapper,51_FastaiCollabWrapper,52_FastaiCollabWrapper,53_FastaiCollabWrapper,54_FastaiCollabWrapper,55_FastaiCollabWrapper,56_FastaiCollabWrapper,57_FastaiCollabWrapper,58_FastaiCollabWrapper,59_FastaiCollabWrapper,60_FastaiCollabWrapper,61_FastaiCollabWrapper,62_FastaiCollabWrapper,63_FastaiCollabWrapper,64_FastaiCollabWrapper,65_FastaiCollabWrapper,66_FastaiCollabWrapper,67_FastaiCollabWrapper,68_FastaiCollabWrapper,69_FastaiCollabWrapper,70_FastaiCollabWrapper,71_FastaiCollabWrapper,72_FastaiCollabWrapper,73_FastaiCollabWrapper,74_FastaiCollabWrapper,75_FastaiCollabWrapper,76_FastaiCollabWrapper,77_FastaiCollabWrapper,78_FastaiCollabWrapper,79_FastaiCollabWrapper,80_FastaiCollabWrapper,81_FastaiCollabWrapper,82_FastaiCollabWrapper,83_FastaiCollabWrapper,84_FastaiCollabWrapper,85_FastaiCollabWrapper,86_FastaiCollabWrapper,87_FastaiCollabWrapper,88_FastaiCollabWrapper,89_FastaiCollabWrapper,90_FastaiCollabWrapper,91_FastaiCollabWrapper,92_FastaiCollabWrapper,93_FastaiCollabWrapper,94_FastaiCollabWrapper,95_FastaiCollabWrapper,96_FastaiCollabWrapper,97_FastaiCollabWrapper,98_FastaiCollabWrapper,99_FastaiCollabWrapper,100_FastaiCollabWrapper
ACC,0.9737394957983193,0.9737394957983193,0.9611344537815126,0.9558823529411765,0.967436974789916,0.9537815126050421,0.9695378151260504,0.9590336134453782,0.9747899159663865,0.9653361344537815,0.976890756302521,0.9611344537815126,0.9737394957983193,0.9737394957983193,0.9642857142857143,0.9590336134453782,0.9810924369747899,0.9527310924369747,0.9747899159663865,0.9663865546218487,0.967436974789916,0.967436974789916,0.9695378151260504,0.9621848739495799,0.9422268907563025,0.9726890756302521,0.9758403361344538,0.9810924369747899,0.9653361344537815,0.9537815126050421,0.9726890756302521,0.9705882352941176,0.9726890756302521,0.9548319327731093,0.9737394957983193,0.9737394957983193,0.9569327731092437,0.9590336134453782,0.9663865546218487,0.9663865546218487,0.9632352941176471,0.9747899159663865,0.9737394957983193,0.9737394957983193,0.9705882352941176,0.9527310924369747,0.9653361344537815,0.976890756302521,0.9600840336134454,0.9600840336134454,0.9548319327731093,0.9737394957983193,0.976890756302521,0.9716386554621849,0.9695378151260504,0.9705882352941176,0.9590336134453782,0.9663865546218487,0.9747899159663865,0.9663865546218487,0.9653361344537815,0.9642857142857143,0.9726890756302521,0.9695378151260504,0.9653361344537815,0.9590336134453782,0.9642857142857143,0.9663865546218487,0.9642857142857143,0.9716386554621849,0.9789915966386554,0.9737394957983193,0.9695378151260504,0.9726890756302521,0.9663865546218487,0.9747899159663865,0.9716386554621849,0.9779411764705882,0.9548319327731093,0.9485294117647058,0.967436974789916,0.9558823529411765,0.9663865546218487,0.9548319327731093,0.9600840336134454,0.9737394957983193,0.9611344537815126,0.9663865546218487,0.9779411764705882,0.9684873949579832,0.9695378151260504,0.9726890756302521,0.9632352941176471,0.9695378151260504,0.9800420168067226,0.9621848739495799,0.9684873949579832,0.9716386554621849,0.9789915966386554,0.9642857142857143
AUC,0.5014170518578961,0.5020829904686663,0.49930914154985817,0.5016130602823085,0.5033378502939295,0.5015306641087567,0.5018954085336508,0.5014259281688029,0.5031434170815288,0.5012929036623556,0.49879586460559183,0.49944892244184763,0.5009684544465055,0.5010671576961215,0.49962185797461806,0.49865247008550445,0.5003477140662439,0.4995244849860314,0.5005981065316962,0.5050252149592878,0.5022828727827064,0.5031998596258611,0.5011063713464909,0.5030158323032371,0.5021428964179303,0.5026314629650888,0.5037191624123746,0.5021177413521456,0.5049464171231511,0.501894364565678,0.5035905472556619,0.5003406703382925,0.5004350312854672,0.5016016416936177,0.501439850756724,0.5049401106935002,0.49594522183078094,0.5014265913720017,0.50058968871369,0.500760484303634,0.5008232802938389,0.5007430738374654,0.5009663508154845,0.5030578042469672,0.5035276883557785,0.4985657627784742,0.5041181940654702,0.5000418682079315,0.49956753987088276,0.49882630683439,0.4988377885204162,0.5012935754095978,0.5007842694171594,0.5002012245526057,0.5015575836269475,0.5040652112353368,0.5001554281368454,0.49971590184086595,0.5016058285420346,0.5014648980973091,0.502024222017096,0.49949987623771663,0.5007524540539965,0.5012350658541006,0.5028844296730655,0.5014580465335994,0.49987043717085833,0.5004745786633963,0.5009955127281865,0.5023834238850416,0.5016871038429673,0.500815720892047,0.5007414355491147,0.5011828974676079,0.5003713790423747,0.4996705475376601,0.5016321393098004,0.5015727671459458,0.5015866566827241,0.502733974065036,0.4992411409674954,0.49795264458851773,0.50297400711921,0.5016288263376992,0.5022407759355823,0.5012650856382529,0.5031247252795336,0.500944683950312,0.4985900127828483,0.5000656265414306,0.5021245125541125,0.5016473456306855,0.5027961547193583,0.49858751669895823,0.5019119208113219,0.5007099678988468,0.5032849945205471,0.5015925111715289,0.5010343590402649,0.5007039081592656
Fscore,0.00026826967862881635,0.0002765544977386788,0.0002656448007708865,0.000293639030458314,0.00029185309425685174,0.00025765044224939645,0.0002815391947751016,0.00027547904630394307,0.0002644865455525453,0.0002574962006158641,0.00027878796699185124,0.000276825560995298,0.00031337979347557254,0.0002691111172158911,0.0002939475350363396,0.0002477618235775599,0.0002631916002152783,0.00027133952484710344,0.0002517442268481403,0.0003102743339454855,0.00028357803170610117,0.0002627764443632844,0.0002757204464044712,0.00027336075634343195,0.0002464006862649221,0.00028793477940613663,0.0002768802020736627,0.0002950291409339789,0.00031902230920727645,0.0002585853962951595,0.0002769751293876377,0.00030079526809966955,0.0002587481931154607,0.00031319585235023016,0.00025410724618647425,0.00029947118519918644,0.0002726181966927283,0.00027979066881937356,0.00028227373465727624,0.00029050826213444103,0.0002982425093374479,0.00029837752994838303,0.0002960516328510595,0.00028463435716936513,0.0002758698183562691,0.0002871023888471527,0.000251992177822836,0.00026195080770974316,0.00026637910116016647,0.00029384312188085216,0.00028858361172327747,0.00026455161574568217,0.0002657153868540325,0.0002588829686032636,0.00027669212539751565,0.000284397335059824,0.0002842161162919376,0.0002530515621295864,0.0002523389052274656,0.00030848946077707297,0.0002788474086131184,0.00028356314366008054,0.0002535491637129037,0.000287385436640708,0.00025365695091506186,0.0002668799688187483,0.0002581647995844252,0.00026629503869352673,0.0002764062132100476,0.0002802427387950561,0.0002995883415144001,0.0002825157152127161,0.00026845938203786426,0.00030393329220327996,0.0002725372010659652,0.00025112441689820886,0.0002785025886590241,0.00033740485333174345,0.0002878053351707732,0.000257648908209805,0.0002967914183675631,0.0002835981160867168,0.00029456401972963544,0.0002615690018494022,0.0002865465343801312,0.0002688082968705047,0.0002663465769857839,0.00027443943832670985,0.00030269767702183556,0.00031933453171295237,0.0002771695302572383,0.0002879374362981137,0.000298711293466978,0.00028663092986599693,0.00026830989708653325,0.00032530191712364277,0.0002834990705192514,0.00026767727838368846,0.00027677584290857176,0.0002703916128769243
HR@10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001081081081081081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001081081081081081,0.0,0.001081081081081081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001081081081081081,0.0,0.0,0.0,0.0,0.0,0.0,0.002162162162162162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001081081081081081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR@2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001081081081081081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR@5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001081081081081081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lin's AUC,0.5549415274531706,0.4400765157156844,0.4927938828685865,0.5163673958236039,0.565057412755435,0.5294438687713611,0.41968225404790177,0.49933987737203983,0.45582327681317036,0.5525653764085001,0.5038924007244848,0.5373140330827048,0.40248557356239784,0.42729115521768113,0.5024582160008142,0.4611918838099224,0.48307643505653663,0.424556728496629,0.5114342358096777,0.5809082169360666,0.5090692082583387,0.5594510049484899,0.4170569190072672,0.5761519372893387,0.49260889085135673,0.4127543623034098,0.542227463021624,0.4300857753259287,0.5874103220558867,0.478340709916828,0.4783991649409024,0.47959480333833093,0.4811738537821076,0.37277018551245783,0.43429112383473656,0.433437987069045,0.5927459746542919,0.5288589011397431,0.48401555207596125,0.47265535221012306,0.46220049234563376,0.5134050159743062,0.5145334497149459,0.554738909713336,0.4106430706284661,0.39481230243307136,0.5049032449851928,0.44184652697121946,0.5048657641379064,0.43005702448549493,0.4420202590223908,0.4407594259191045,0.5799307416833309,0.42539227757632564,0.4846205499610739,0.5705025557421046,0.4723894255461788,0.4986082593361705,0.5896855529766155,0.5139584436291798,0.595767793200568,0.5212720213945804,0.42463277306492536,0.5550415927233682,0.5883061070254446,0.41728154390603567,0.4944029574655402,0.42844659769662635,0.5801288831998554,0.5230739613737071,0.6117673796215309,0.533641959426821,0.4016213192578289,0.4649229693072675,0.49464499617984026,0.562543627027984,0.4806834261879194,0.47137043516953225,0.5414812237929301,0.5116652789243702,0.4746871749799452,0.5558302841361654,0.4042166036755888,0.5617957168008932,0.4442513651049941,0.4763840101520515,0.43857475709430105,0.48334547835744535,0.4399188322819953,0.5786371537218419,0.4595583291522479,0.38789812448056454,0.4976873975440836,0.4005286328517872,0.5744065158470361,0.4047444811191057,0.44318241274464504,0.5116057511410852,0.5742189557794046,0.5375837758254459
NDCGk,0.18398822108801727,0.18500535332867488,0.18474453877631913,0.18879887511306512,0.18329423888548854,0.1827642404977071,0.1820861820243044,0.18707573217409598,0.1876360644684442,0.18311218510807137,0.1864456674355999,0.18471752662652738,0.18322064822362558,0.18807720928088068,0.18830489471434447,0.18382368669749533,0.18238684455296186,0.18427811843295616,0.1857192964717525,0.1864025110340437,0.18967667784280356,0.18053011111387737,0.18992249891256768,0.18449938609203007,0.18850022949545356,0.19077988735524923,0.1873450071152986,0.18510400134550392,0.18596765585430666,0.1858460196041824,0.18653433701131425,0.1862780713376715,0.18599269134958846,0.18031251416687213,0.17867774186434246,0.1863142079189314,0.1851986618866667,0.18435698738108974,0.18122899123168293,0.18618072671827743,0.19185779583531054,0.18458547301534242,0.18614798137746374,0.1792587128392413,0.18907903728831107,0.18217899487920022,0.18476699145250217,0.1851395729003521,0.18622168923756946,0.18431713371666683,0.18225089913680506,0.18268021522756997,0.18291006393026202,0.1939213187251499,0.18012346534239718,0.1894974512194928,0.1856417136726931,0.18414555220674556,0.17972615916441553,0.18924500366582556,0.18539203018619987,0.1852905208057974,0.18877576624077413,0.18911133694810908,0.18478662053475542,0.18087193547962957,0.18849476151114938,0.18751223167588077,0.18121361159409666,0.1862874164498837,0.18553562728745038,0.19046174240890523,0.1841448625525946,0.18753729887022424,0.1834808697943626,0.18729234750808899,0.17762752628787196,0.1893805903399381,0.1958322528514719,0.18919179060816382,0.18110855213509033,0.18309768537996537,0.17597980867519858,0.19276946284842372,0.18735861092200434,0.1890508014173098,0.19050534989816217,0.18225574871069608,0.18764785765739098,0.1837602551839588,0.18690358472334623,0.17910139830707542,0.1935648758093212,0.17903055105485374,0.1862859428365087,0.18300671235629762,0.1874204452327343,0.19302595251336235,0.17894483784341256,0.18466773954442445
global AUC,0.9249677912150579,0.8878873846227765,0.8917326347447528,0.8854166250735722,0.9066526573726168,0.8911005087837409,0.8718665422782413,0.8914936565907083,0.8912769887323994,0.9095307756678394,0.9076300094892886,0.8996690163571539,0.8788391173760371,0.88241712258914,0.8929830957960562,0.8817004887641445,0.9039518472653518,0.8722410075691235,0.9058390252858942,0.913544821416621,0.8933375428633857,0.9077865636477307,0.8768540542828493,0.9076676207052959,0.8741013597881814,0.8738213636548231,0.9132967005989291,0.8831547195626346,0.9030622381794293,0.8788325999106557,0.8911744357762771,0.8956084217293842,0.9009223799067314,0.8498199419202913,0.8838493373227623,0.880276633756357,0.9035273659301936,0.902909172235451,0.8967059348951287,0.8857107465765062,0.8842723735862592,0.9075252198294673,0.8992283569002117,0.906335052311205,0.8757664895981039,0.8627926444571172,0.8928432322610647,0.8902741954839223,0.8906800368589367,0.8786021750433426,0.8664411227676005,0.8931090947882125,0.9186472628349921,0.8902732217307572,0.8962990849900503,0.9032341596088058,0.8915070864223094,0.893855757092514,0.9202291326309695,0.8983580897186791,0.9151938710291846,0.89306494048174,0.888012077650866,0.9035394271077913,0.9062510482546632,0.8738285611000941,0.894564257241517,0.8746184451408722,0.9033513527241237,0.9023918773061858,0.9280586832711103,0.9092767775542572,0.8716919233512574,0.8943835967435552,0.9012150860814044,0.9154751360617565,0.8978860647021915,0.9036438099694156,0.8924733620967267,0.8833367162256539,0.8964243198056155,0.8970471026782216,0.877903176309153,0.8967693711615999,0.8704771928178843,0.8927021579408873,0.8707970213128623,0.8837699178681764,0.8866269695993853,0.9136011961422807,0.8923109832653332,0.8741782094129855,0.8934772489871515,0.8701913381498575,0.9199266573508813,0.874371000642343,0.8832623174570308,0.9049787820878377,0.9164287405900746,0.9029058940551525
global NDCG,0.507257914858395,0.4831423494864367,0.49333052559298995,0.4952770755704663,0.5005327068741388,0.49415351490168175,0.476270825013189,0.49214152595231964,0.4863799983003677,0.5039968905178179,0.5000753029409447,0.49761502278700237,0.4785146950734551,0.48183130127834684,0.49492505374711415,0.4867495518543272,0.49689329147905736,0.4855410484462801,0.4963143637678987,0.5056009113759726,0.49054100005051143,0.5011093760048333,0.48134102186546435,0.5000304147308899,0.49372554316365785,0.4755802294082811,0.5035816855775735,0.48085756596067086,0.5050946539097786,0.4910534660077807,0.49020386253965503,0.48747068224430234,0.4901728509427645,0.47351382793617974,0.48333263358491463,0.47903187631692135,0.5035671125575428,0.5076262505972008,0.4912005732636817,0.48564921340838846,0.4933548588438666,0.4961191001369786,0.4953582981052848,0.4979310490485891,0.479787070295304,0.47716575201861033,0.49039932414188137,0.4939631715679187,0.4937752868424425,0.4824825934102733,0.4797606396993838,0.48709597866271576,0.5049747615869642,0.48519269257999015,0.4937442629793241,0.4973253333169916,0.4946062280122986,0.49337823623372135,0.5029869241845156,0.49606018647699135,0.5108720190311139,0.4952006678261288,0.484306131294123,0.49454397413579654,0.5044986015498426,0.4838857761893905,0.4899001620406207,0.47894152677696106,0.5052692501956535,0.49693989833348734,0.5147409949534447,0.495588246230266,0.47474384548681353,0.48741964040113556,0.4961497313320288,0.5005556829590451,0.49046230938592256,0.5016490848631543,0.49716255313397667,0.49566843557995355,0.4923742527383993,0.49858323390980536,0.4808382898918706,0.5013560092836004,0.49139203769293566,0.4896647534593667,0.4807201695649596,0.4855690867732205,0.4809110274159806,0.5025191173321456,0.48754199757721145,0.476237627351848,0.4931891150029506,0.4754353563065324,0.5081519555977674,0.4860524256219357,0.4857222432862911,0.4962767700193456,0.5013686728630399,0.5003983142843561
