,1_HAN,2_HAN,3_HAN,4_HAN,5_HAN,6_HAN,7_HAN,8_HAN,9_HAN,10_HAN,11_HAN,12_HAN,13_HAN,14_HAN,15_HAN,16_HAN,17_HAN,18_HAN,19_HAN,20_HAN,21_HAN,22_HAN,23_HAN,24_HAN,25_HAN,26_HAN,27_HAN,28_HAN,29_HAN,30_HAN,31_HAN,32_HAN,33_HAN,34_HAN,35_HAN,36_HAN,37_HAN,38_HAN,39_HAN,40_HAN,41_HAN,42_HAN,43_HAN,44_HAN,45_HAN,46_HAN,47_HAN,48_HAN,49_HAN,50_HAN,51_HAN,52_HAN,53_HAN,54_HAN,55_HAN,56_HAN,57_HAN,58_HAN,59_HAN,60_HAN,61_HAN,62_HAN,63_HAN,64_HAN,65_HAN,66_HAN,67_HAN,68_HAN,69_HAN,70_HAN,71_HAN,72_HAN,73_HAN,74_HAN,75_HAN,76_HAN,77_HAN,78_HAN,79_HAN,80_HAN,81_HAN,82_HAN,83_HAN,84_HAN,85_HAN,86_HAN,87_HAN,88_HAN,89_HAN,90_HAN,91_HAN,92_HAN,93_HAN,94_HAN,95_HAN,96_HAN,97_HAN,98_HAN,99_HAN,100_HAN
ACC,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849
AUC,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Fscore,0.0002661786633384738,0.00027679939670664246,0.0002672564878418713,0.00029596176745510134,0.00029072170962170414,0.00026280112407546757,0.00028355944679742253,0.00027826747213395716,0.0002635138876293789,0.0002610536577216078,0.00027928237216543947,0.00028298093783254,0.000313302930525623,0.00026884572518255363,0.0002965009004340318,0.0002501213483546551,0.00026299388803867736,0.0002787631957728021,0.0002516021392225733,0.00030804398810869223,0.00027794374867519894,0.0002644627337940526,0.00027578993757164464,0.0002746848702319118,0.0002564903837509192,0.00028776928303248943,0.00027589625915238,0.00029405661385758326,0.0003202734751818321,0.00026729246876488534,0.00027556090376689677,0.000300278996609343,0.0002584860388506114,0.0003086254114268534,0.0002544734663576354,0.0002985685438320206,0.0002749122255312645,0.0002799820730053379,0.00028269192930700034,0.00028877949788975744,0.00029895343960931967,0.00029814722135519737,0.0002969273408093965,0.00028549580292046246,0.00027741081784324556,0.0002889173929541737,0.00025349241575824794,0.00026170711539369825,0.0002635407402007805,0.0002911377342137862,0.00029132770649691747,0.000265262013396795,0.0002662504807651346,0.0002592114212096228,0.00027723466495421843,0.0002816551076933194,0.0002882403240822291,0.0002533508947560559,0.00025159720432422794,0.0003123177714082149,0.00028376829525820905,0.0002840227191339441,0.0002519496349603093,0.00028890967869457304,0.00025400169619338236,0.00027552807350661495,0.0002593293025357836,0.0002647199605980059,0.00027754542867613915,0.0002797084916553362,0.0002993709722218245,0.0002816757230846188,0.0002667227919648576,0.00030291799232026577,0.0002726587570325743,0.0002512828251477245,0.0002782160736077364,0.00033702805421966165,0.0002956661611142556,0.0002652796805927651,0.0002970744249496795,0.00028708108872078323,0.00029347139237604703,0.0002666603727974576,0.0002928560402630262,0.0002698157290118711,0.00026591984817313507,0.0002746367280331781,0.00030269920524301434,0.0003195868975692597,0.0002771547550915647,0.0002878820916174001,0.00029924249586655395,0.0002870044118326111,0.0002685846457790121,0.0003267492436471312,0.00028479904859840603,0.00026628762437830815,0.0002765520015921534,0.0002714552193850414
HR@10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001081081081081081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001081081081081081
HR@2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR@5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001081081081081081
Lin's AUC,0.6483874955614961,0.6723553742733196,0.6962821841371178,0.7081620427052053,0.6849949661390743,0.6913655156524766,0.6696457991090731,0.6606444864476435,0.6688991402215854,0.6944499072689528,0.6844339839178063,0.6725454983950587,0.6895481977265765,0.6968075116164346,0.710192732423546,0.726019003629166,0.6759123382083568,0.6970732699657674,0.6835179342494401,0.6893634772882626,0.6929580427174157,0.6841124306519162,0.6969082925624259,0.6876633577538465,0.6769408386922687,0.668578130825309,0.6799553043022641,0.710535028458312,0.6857405736944647,0.6707711968672121,0.7164527052190934,0.7159333558536319,0.7024205520515304,0.6931286762782823,0.6620987234077867,0.6697394067752775,0.6943131765588856,0.6740742050717052,0.6972368909505218,0.6918796301188723,0.701764020926146,0.6836241277857963,0.6688180826089206,0.7059074314664172,0.6942077791831351,0.704264799243803,0.6306322944339942,0.6634176347474455,0.681368951269575,0.6890574664070188,0.6891615195421312,0.6877015974122448,0.6847764061949312,0.6701579694469539,0.6659939452599949,0.6925135728405982,0.6753559536664022,0.6959883086025215,0.6869936111179065,0.6779514286646239,0.6731663703411134,0.6974300556017288,0.6669386828664498,0.7005341500482811,0.6709338651772258,0.6753200163652606,0.6766547682430366,0.6816878074824904,0.6638588168062616,0.6680427686874333,0.6833604727943413,0.6673906319115427,0.6729597941456593,0.6949794857207928,0.6661799729459332,0.6650810838133094,0.6898437146393804,0.7067311387519478,0.6595620551510895,0.6681197331116241,0.6602273340891647,0.6805258664240897,0.6747154448940523,0.6842642859365715,0.7092316805296213,0.6545862504086946,0.6858285798615699,0.683235957783074,0.6717705773820045,0.6616477978239411,0.6715570094511629,0.6775840533138846,0.6946607494058753,0.6823076030794585,0.6867600686602056,0.7098893144200401,0.6702151081191626,0.6730294673333007,0.6898464049297295,0.6885178934562834
NDCGk,0.18369290119249615,0.18404166552173437,0.18651987039344042,0.19106805458203713,0.18411422658370816,0.1827205531320171,0.18344497042073338,0.18711692476608566,0.18559140220437942,0.18236108615779106,0.18785564686327075,0.18372222869273727,0.18325908380598507,0.1875239899404874,0.18640852741763966,0.1849698180479271,0.18239454705837935,0.18430390444810113,0.18606785338609882,0.1835422531892027,0.18961019465222828,0.17988673589373524,0.1898559692668329,0.18246328304163947,0.1882919794881369,0.19033549897854204,0.18545350357360346,0.18560051223684992,0.1833154297613379,0.1851810354800926,0.1860205514208155,0.18612291716824916,0.18549730496800104,0.17895117832349353,0.1784038675963091,0.1861331286538855,0.1868809361900798,0.18405351172446147,0.1816192477831873,0.18864536259237627,0.19329282014973717,0.1846852452409346,0.18784557472751473,0.18078813375078265,0.19003583800975457,0.1831833439075291,0.18567093447220293,0.1842443509671606,0.1869450785089494,0.18459637571884674,0.1815781791955431,0.18349101070022647,0.18282357757841394,0.19389988577635542,0.18171575825133005,0.18777651684791777,0.1858153020919795,0.18314981340477632,0.17789554713582298,0.18995953272408364,0.18498876525053004,0.18320535133057148,0.18609423347769993,0.18803793526332316,0.18531007875793154,0.1810735403337784,0.18814203541368457,0.18790916399092308,0.1809569148670748,0.18588683201275602,0.18153085510065242,0.18767353775669188,0.1855041828130446,0.1875763558277224,0.18415346148959352,0.18403869495193448,0.17815561765006277,0.18754641198869032,0.1950741859433337,0.18935901006261913,0.18126589828615497,0.18305507497303244,0.17601800352343328,0.1894008467228977,0.18449563948948056,0.18930318175715047,0.1923247238818028,0.1820809414513455,0.18761617446050757,0.18388201995154888,0.1863633638015002,0.1791499865667659,0.1927521695451323,0.17965874498228793,0.18425334276566882,0.18454667751581647,0.18752085008322686,0.19154484523760756,0.1788099347790405,0.18524014839065972
global AUC,0.9359862288056822,0.9332918872015865,0.9438114387397492,0.9435476797573853,0.9367416086718028,0.9400517059270017,0.9369096387492442,0.9363376662984967,0.9397906737280548,0.9410318630751129,0.940474517055838,0.9321041961645885,0.9415939122123542,0.9358823136018285,0.9448035175002729,0.9462566034066487,0.9338862399594574,0.9404126247006354,0.9363589666913954,0.9435872883571177,0.9372932801078999,0.9417131923991884,0.9397980262965977,0.9434528344602459,0.938176898873011,0.938020891535543,0.9367204391498648,0.9416302408014245,0.9382583257783191,0.9391972544553613,0.9446276690268818,0.9398150866533928,0.9447437181652669,0.938774021427832,0.9353120996724221,0.9342684669050333,0.939176888462821,0.9401565829866607,0.9404594916052111,0.9409528444700441,0.9425114855856047,0.936661526625777,0.939564091250464,0.944784405764042,0.9432184587541976,0.9454384732026263,0.9306963797133996,0.9306273141652371,0.939629804946213,0.9419928398483771,0.9403328721199664,0.9407331693251738,0.9385159136915162,0.9394815999890178,0.9381045217404235,0.9398407190581408,0.9357192781276757,0.9374328452937075,0.9383399636329732,0.9385803671822762,0.9356910420314284,0.9415339417383988,0.9347167328933977,0.9428809407151114,0.9317175415706918,0.9383832745996509,0.9389045043519741,0.9422640063101766,0.9321472810814242,0.9383672365006431,0.9376412490626539,0.9416879292701943,0.9372443384867587,0.9467982256917771,0.9395492085681583,0.9303366479302313,0.9426738667049517,0.9414608859986948,0.9380434191868955,0.9338085291488181,0.929593565816139,0.93895301675297,0.9387738672197413,0.9372447329300051,0.9427150530776696,0.934279914453405,0.9403351111116194,0.9417902264330742,0.9402100085397878,0.9384694641097256,0.9392920082343459,0.9374607171476993,0.9387230307152087,0.9393648315179373,0.9424789673549022,0.9439632298358337,0.9355860478285316,0.9374416552888628,0.9423743291576265,0.9354046533549698
global NDCG,0.5214047408121784,0.5128914426661367,0.5395254468103373,0.5314703370203447,0.5191004620540377,0.5214511686425384,0.5127480971220892,0.5281367552987725,0.5200654499852557,0.5236240705371812,0.5209063534812468,0.514439559731368,0.5279618392314536,0.521932413271141,0.5240222737868104,0.5342611137528609,0.5138381623536629,0.5237259706634294,0.5143913464114594,0.5223096773746199,0.5236725040567002,0.5234025938165503,0.5263211653177503,0.5254124866107884,0.5219338934822474,0.520040308370704,0.5256889082678846,0.5287380274542149,0.5214569390342221,0.5279014646538245,0.5280109252072057,0.5187443477396204,0.5248672174138387,0.5263083234487406,0.5137794191451548,0.515602597196208,0.525177458167402,0.521212110096274,0.5252109554874128,0.5286977458893917,0.5240746778628598,0.516655345699174,0.5183921158376135,0.5281061655738729,0.5282158292376298,0.5301975243107189,0.509795003540037,0.5140810717098748,0.5196903530589986,0.5221843710276716,0.5225840604508004,0.5218064567666215,0.5200229004856256,0.5267571874994885,0.516568343894381,0.5258868760142102,0.5169069699552636,0.5164362122858269,0.5166152800392025,0.513885762876037,0.518041390575238,0.5232182773617847,0.5204561518688117,0.523475563181606,0.5181598566817431,0.5215797427784098,0.5248558438799894,0.5269687667264634,0.5072937149020385,0.5287751187665779,0.5186889894469511,0.5252801694471269,0.5182054459722941,0.5325234435913845,0.518298020244853,0.5066712824264664,0.521378992246118,0.5207808494187439,0.520343243027953,0.5137310938651849,0.5087589356919775,0.5201279986022539,0.5182503858445772,0.5240366482783226,0.5274565049469104,0.5142843377413577,0.5222767254692281,0.5242138043188792,0.5188153547244698,0.5181653539138599,0.525506765875105,0.5226562490864451,0.520327698897051,0.5207836171264051,0.5264433958548859,0.5241249771843538,0.5134783574903726,0.5374853360084934,0.5274434156678994,0.5230621131529475
