,1_LRSSL,2_LRSSL,3_LRSSL,4_LRSSL,5_LRSSL,6_LRSSL,7_LRSSL,8_LRSSL,9_LRSSL,10_LRSSL,11_LRSSL,12_LRSSL,13_LRSSL,14_LRSSL,15_LRSSL,16_LRSSL,17_LRSSL,18_LRSSL,19_LRSSL,20_LRSSL,21_LRSSL,22_LRSSL,23_LRSSL,24_LRSSL,25_LRSSL,26_LRSSL,27_LRSSL,28_LRSSL,29_LRSSL,30_LRSSL,31_LRSSL,32_LRSSL,33_LRSSL,34_LRSSL,35_LRSSL,36_LRSSL,37_LRSSL,38_LRSSL,39_LRSSL,40_LRSSL,41_LRSSL,42_LRSSL,43_LRSSL,44_LRSSL,45_LRSSL,46_LRSSL,47_LRSSL,48_LRSSL,49_LRSSL,50_LRSSL,51_LRSSL,52_LRSSL,53_LRSSL,54_LRSSL,55_LRSSL,56_LRSSL,57_LRSSL,58_LRSSL,59_LRSSL,60_LRSSL,61_LRSSL,62_LRSSL,63_LRSSL,64_LRSSL,65_LRSSL,66_LRSSL,67_LRSSL,68_LRSSL,69_LRSSL,70_LRSSL,71_LRSSL,72_LRSSL,73_LRSSL,74_LRSSL,75_LRSSL,76_LRSSL,77_LRSSL,78_LRSSL,79_LRSSL,80_LRSSL,81_LRSSL,82_LRSSL,83_LRSSL,84_LRSSL,85_LRSSL,86_LRSSL,87_LRSSL,88_LRSSL,89_LRSSL,90_LRSSL,91_LRSSL,92_LRSSL,93_LRSSL,94_LRSSL,95_LRSSL,96_LRSSL,97_LRSSL,98_LRSSL,99_LRSSL,100_LRSSL
ACC,0.8455882352941176,0.6071428571428571,0.694327731092437,0.7090336134453782,0.7447478991596639,0.6102941176470589,0.5630252100840336,0.7331932773109243,0.5714285714285714,0.819327731092437,0.532563025210084,0.555672268907563,0.6596638655462185,0.6228991596638656,0.5640756302521008,0.7279411764705882,0.6995798319327731,0.6953781512605042,0.7678571428571429,0.6470588235294118,0.7069327731092437,0.8004201680672269,0.8245798319327731,0.759453781512605,0.8361344537815126,0.8560924369747899,0.9558823529411764,0.9201680672268908,0.782563025210084,0.6859243697478992,0.9632352941176472,0.773109243697479,0.9359243697478992,0.9485294117647058,0.7468487394957983,0.6334033613445378,0.6974789915966386,0.8508403361344538,0.6334033613445378,0.7478991596638656,0.5147058823529411,0.819327731092437,0.5651260504201681,0.6932773109243697,0.6134453781512605,0.5021008403361344,0.7436974789915967,0.5966386554621849,0.5136554621848739,0.6880252100840336,0.6039915966386554,0.4978991596638655,0.9317226890756304,0.6008403361344538,0.940126050420168,0.8676470588235294,0.9464285714285714,0.8529411764705882,0.921218487394958,0.6911764705882353,0.865546218487395,0.8581932773109243,0.7216386554621849,0.8550420168067226,0.9705882352941176,0.6491596638655462,0.9369747899159664,0.759453781512605,0.9390756302521008,0.8960084033613446,0.8918067226890757,0.6722689075630253,0.7762605042016807,0.8760504201680672,0.6827731092436975,0.6628151260504201,0.9695378151260504,0.6680672268907563,0.9180672268907564,0.601890756302521,0.5850840336134454,0.7678571428571429,0.6628151260504201,0.6523109243697479,0.8466386554621849,0.6859243697478992,0.9527310924369748,0.9285714285714286,0.6911764705882353,0.8918067226890757,0.8550420168067226,0.6764705882352942,0.8319327731092437,0.6439075630252101,0.5336134453781513,0.7415966386554622,0.8634453781512605,0.8172268907563025,0.8403361344537815,0.7804621848739496
AUC,0.499503346601488,0.4990900671029929,0.5013753758626392,0.5000344937083584,0.4999856723269146,0.5003610561674701,0.500019631027826,0.4997628602906631,0.5000107936773375,0.4993764823995621,0.50002453141997,0.4996035787299883,0.4993067640688396,0.5002575103502505,0.5009077759707906,0.4988015092692431,0.5000516426313382,0.500048403468391,0.4967621082925516,0.5000196643168622,0.5004949640195617,0.4995382090798386,0.500095976890907,0.500051021317569,0.5000261816960159,0.5000300266614265,0.5000902924731699,0.500220886478892,0.5000612152949032,0.5011010411125805,0.5013529220974945,0.4995382612179213,0.4994333730340805,0.5000880554402553,0.4992922747764059,0.4986728587390311,0.5008466223540197,0.5002993784101901,0.5001635115999986,0.5010741332148594,0.4994786800915491,0.5083877818448688,0.5001858303934594,0.5017646256583834,0.5000097569852751,0.4999837535359795,0.4998598771885553,0.4991822289825716,0.501022775349661,0.4981241491701901,0.5000146344376747,0.5000049771958287,0.5001540986028397,0.5000083696030335,0.4997775813366332,0.4998480839720325,0.5000307967681343,0.5,0.4996254511555205,0.5006312496953033,0.5000441871823286,0.5003113246990728,0.5003036607906389,0.5001281632912333,0.4998221720269767,0.5000090923150554,0.5000462587945727,0.5002802443099609,0.5004079617084218,0.5021763146237233,0.500395807373215,0.5006710140329969,0.4991847160179801,0.5002680403695146,0.5003042861439201,0.5,0.4996398001633469,0.4994431161822205,0.500068059272389,0.5004840965556675,0.5003601246068219,0.4996053433772708,0.5000523318886346,0.5010574061946919,0.498733678380917,0.4999974631498619,0.5006865562532862,0.4995737467966706,0.5001361030928885,0.5017965612228424,0.5001766141784129,0.5,0.5002144256858708,0.4996449718167887,0.5000160010636321,0.501704823211116,0.500183136551529,0.50023487027959,0.499910502102536,0.5001603977795676
Fscore,0.0002120467131155,0.0001757913864473,0.0001609368918985,0.0002050463993999,0.0002335847053871,0.0002135992401461,0.0001153144946228,0.0002377763405003,0.0001420729148238,0.0002294670523501,0.0001314898988139,0.0001845122031822,0.0002427015653145,0.0001818659603716,0.0001847790361439,0.0002000136044274,0.0002043446732698,0.0002263660786036,0.0002258382169521,0.0002297107151276,0.0002277760111013,0.0002066044771895,0.000224524402179,0.000192521240517,0.0002175555729609,0.0002176585992864,0.0002700963812046,0.0002608838127084,0.000230748530581,0.0001800374063917,0.0002795692224884,0.0001943802827847,0.000244322761693,0.0002997578099171,0.0001852905042206,0.0002219121337098,0.0002122582551365,0.0002473254926229,0.0001813308181734,0.0002731711611086,0.0002544496721408,0.0002855335581959,0.0002011927736279,0.0002633636186165,0.0001646919383168,0.0001532564312084,0.0002189575336432,0.0001828654847468,0.0001361499990757,0.000178883159482,0.0001654807074502,0.000106984699406,0.0002578819467968,0.0001177970728795,0.000263035329482,0.0002230724351074,0.0002682934191473,0.0002087103274657,0.0002315056478874,0.0002194439224548,0.0002417556220593,0.0002374798147121,0.0001736391470096,0.0002292512863759,0.0002536308471228,0.0001615954834721,0.0002499730259007,0.0001843537055637,0.0002697367312336,0.0002426242966108,0.0002803972255864,0.000199981909117,0.0001908461543872,0.0002646330843706,0.0001634181002846,0.0001631093147013,0.0002778001518122,0.0001817153540491,0.0002688068424296,0.0001405035015085,0.0001608484785256,0.0002170116498303,0.0001618556026202,0.0001635649541512,0.0002487670728047,0.0001606022119185,0.0002534217590578,0.0002530158615522,0.0001774536212572,0.0002945766683621,0.0002179506268881,0.0001655905652851,0.0002320205805116,0.0002244495963597,0.0001347874770968,0.00022703306410785755,0.00024594932829718596,0.0002358668242356956,0.00023958933507836958,0.0002074264608272596
HR@10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0021621621621621,0.0,0.0,0.0,0.0,0.0,0.001081081081081,0.0,0.0,0.0,0.0,0.0,0.0,0.001081081081081,0.001081081081081,0.0,0.0,0.001081081081081,0.0,0.0,0.0,0.0,0.0,0.0,0.001081081081081,0.0032432432432432,0.0,0.001081081081081,0.0,0.0021621621621621,0.0,0.0021621621621621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0021621621621621,0.001081081081081,0.001081081081081,0.0,0.001081081081081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0021621621621621,0.0,0.0,0.001081081081081,0.0,0.001081081081081,0.001081081081081,0.0,0.0,0.0,0.001081081081081,0.0,0.0032432432432432,0.0,0.0,0.0,0.0,0.0,0.0,0.001081081081081,0.0,0.0,0.0,0.0,0.001081081081081,0.0,0.0,0.0,0.0,0.001081081081081,0.001081081081081,0.001081081081081,0.0,0.0,0.0,0.001081081081081081,0.001081081081081081,0.0
HR@2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001081081081081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001081081081081,0.001081081081081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001081081081081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001081081081081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001081081081081081,0.0,0.0
HR@5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0021621621621621,0.0,0.0,0.0,0.0,0.0,0.001081081081081,0.0,0.0,0.0,0.0,0.0,0.0,0.001081081081081,0.001081081081081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001081081081081,0.0,0.0,0.0,0.001081081081081,0.0,0.001081081081081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001081081081081,0.001081081081081,0.0,0.0,0.001081081081081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001081081081081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001081081081081,0.0,0.001081081081081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001081081081081,0.0,0.0,0.0,0.0,0.001081081081081,0.0,0.001081081081081,0.0,0.0,0.0,0.001081081081081081,0.0,0.0
Lin's AUC,0.4307562764903707,0.544000510776132,0.4016568992241303,0.5643024649419337,0.5960774694454957,0.5724757451214747,0.4843531036492339,0.6624825791300712,0.4992476385976611,0.5911727777686635,0.486239706853911,0.5709080406806499,0.5498134035378872,0.5005200370782058,0.5344164034145856,0.6101124763506901,0.5863250154974297,0.618731939435816,0.6248604873048117,0.6019648042516593,0.6004839372489189,0.5089620482562472,0.4998678832684834,0.5202794413851315,0.5175355213479381,0.4277583183304933,0.5326650374420545,0.5254214571725063,0.500501344917721,0.5305534464171682,0.5170764930653944,0.4934284942064149,0.4946208262391115,0.5107852076435235,0.5797861308582398,0.61309800375339,0.5958931088339858,0.6416967009690931,0.545575844103566,0.6461446628748104,0.5241557183193214,0.6514675838869685,0.5444643590577241,0.5897168047235081,0.4933335496268788,0.4918521656319687,0.6451747469311342,0.5539013432319034,0.5167879733378883,0.5122367341658383,0.4836140725627825,0.4569506462414742,0.510194821543831,0.443321719154466,0.55587458398571,0.4670253538812967,0.5771445877147067,0.5382039541557081,0.5179225359412122,0.527241160668408,0.5662736643896842,0.5316528118503936,0.5259985787219503,0.497721777657989,0.5404895616419976,0.4878544046675189,0.5464793051360358,0.4736379419835658,0.5876722721229012,0.5880494215908451,0.464924578373518,0.5489905011826479,0.4821608568332974,0.4754376841488913,0.4867437440734007,0.4954615046933542,0.6351151070411127,0.525583448311567,0.5888008130351639,0.4414633538387545,0.4572790389810113,0.5112268286214207,0.4674080333254624,0.4029852232325281,0.5525853586190979,0.5124920991032272,0.4311708667943932,0.4643615951565985,0.4278388165034583,0.5674265636557182,0.4819445936688903,0.521974377412492,0.4999906776959839,0.6405938188701277,0.4848191395574474,0.4905655650110856,0.493178197755608,0.5209967232790415,0.5740480572196693,0.4813501646684736
NDCGk,0.1836104460615883,0.1841653548202279,0.1876771023870763,0.1910264416875037,0.1832177988252661,0.185203209000127,0.1834539974527876,0.1869482512964866,0.1855914022043794,0.1821203025976031,0.1879347166450473,0.1824130766507722,0.1823149826148237,0.1903723197244642,0.188103227874864,0.1808493528126041,0.1821990475193265,0.184274658605434,0.1896329942735197,0.1835912451677417,0.1897896118085578,0.1790776108420896,0.1905782464529687,0.1824377595343553,0.1882912019726583,0.1902155173185936,0.1855868348465875,0.1858094677930887,0.1832992519296968,0.1862413980349029,0.186781109200351,0.183959208473015,0.1855620228000671,0.178935061097878,0.1788164170765579,0.1857942328413806,0.1878289472781217,0.1840491285395448,0.1816351090610161,0.1884495036704642,0.1868091944738354,0.189752129140659,0.187360971969458,0.1804696890780975,0.189954706354132,0.1831694841116546,0.1855291392663177,0.1816542723699767,0.1887739862396623,0.1841588222556652,0.1815576622424678,0.1834870992850499,0.1830116668330176,0.1938305486012282,0.181647649289085,0.1889171285546629,0.1854920509177189,0.1831498134047763,0.1784004741709786,0.1902954709103713,0.1848294176750758,0.183271046300741,0.1869654894291169,0.1880431557644964,0.1852525767896765,0.1810717772997196,0.1881371766798816,0.1875505798374112,0.1809170864117562,0.1855923012435608,0.1815297731647543,0.1881485431355407,0.1849536234364782,0.1878238294959023,0.1847359673335394,0.1840386949519344,0.1779266428077275,0.1870715218779535,0.1944703313165718,0.1904543616196155,0.1798514711100171,0.1825131634707266,0.1760109600383953,0.1912827632535502,0.1842775907597639,0.1892477326858951,0.1931705168132926,0.1818999877621616,0.1875544877633661,0.1852678030143286,0.1858416633829914,0.1791499865667659,0.1928125003883386,0.1793603724405174,0.1843056000923737,0.18593679664169505,0.18751347572243032,0.19276602578553922,0.17870522117050974,0.18493406055081693
global AUC,0.7812629807348564,0.5963612427479011,0.6445877126581617,0.6882347944016057,0.728883167580609,0.6057779762704864,0.5473219749388974,0.7260655523950014,0.5629845324022886,0.78573367187424,0.528701428541195,0.5548487995392062,0.6392051305077485,0.601679415336269,0.5581603523906544,0.7116251402658716,0.6857322638674312,0.6850007706972597,0.7488348226578359,0.6382663935612403,0.7017021516490143,0.7607034044181535,0.76942585696742,0.7285795593057658,0.7947590403635102,0.7915601568849967,0.8882521590562646,0.8653744782178211,0.7362642257249524,0.6639786259349868,0.8946435833475856,0.732497007184747,0.8680661323913063,0.8763069743125699,0.7209709238814908,0.632937511060827,0.6856924800104331,0.8263850578308939,0.6263626688295455,0.7347705556353159,0.5208679915826178,0.7977441429239022,0.5661014979805947,0.6853722630208883,0.5948939001433977,0.5007681448183279,0.7396178659453511,0.5877579148046059,0.520360736652506,0.6626585863762644,0.5917863984574614,0.4887413574544683,0.8651486173608796,0.5795922472683261,0.8895178674897202,0.8049544492408857,0.8998672849480663,0.8085573469344564,0.8602586179500276,0.6659101788207541,0.824224369568612,0.8098081484332951,0.6949781490110033,0.7967609848955005,0.9029237346042154,0.6250528870831851,0.8861261049244202,0.7229746955734383,0.887238910773803,0.8609775374409351,0.8288158715359665,0.6510246544188684,0.726109811489761,0.8206371411558857,0.6578833575951776,0.6482903349392862,0.9236229877588747,0.6473579612500694,0.8811716103820485,0.576801097302674,0.5611804986252258,0.7312712770843687,0.6289161246408626,0.6072891830689127,0.8053857463906097,0.6638545524848037,0.8681386358189472,0.8593099860606412,0.647131950760945,0.844945914257785,0.7925194543001235,0.6569122781328238,0.7875170893566104,0.6456688815966712,0.5253902467958635,0.699130243947361,0.8126681982992494,0.7794474431257569,0.8057113107859294,0.7353584984616371
global NDCG,0.4945045111614359,0.4952893211388116,0.4738896185646438,0.5136668176440568,0.5187964745855201,0.5017502566383035,0.4799063693484466,0.5439618316372211,0.4839759630539185,0.5194190906311488,0.4836973036662299,0.496463662648684,0.5010173839136707,0.4854086524700434,0.499495114748205,0.5135149404188342,0.5113315797152735,0.5242710119685231,0.5173871882892069,0.5190093025615095,0.5267029783612589,0.5300358644186506,0.5089243155354819,0.4982769823879288,0.5165621466410951,0.4959724063715151,0.5061024296742952,0.5216020592774822,0.5127577615249707,0.5013076504785577,0.5123051005117162,0.5096285166153325,0.5218028711546053,0.5169631145226071,0.515517025629917,0.5074988776282376,0.5187128785697767,0.5237964281290086,0.5132674222394834,0.5278636731201144,0.4849090993984611,0.5272622785948088,0.5048703940627485,0.5096116349354178,0.4965230823101851,0.4814252134534072,0.5360722163744075,0.5057932190804227,0.4866774691911778,0.5028261826560879,0.4968540812354337,0.47301876313807,0.5132006581423161,0.4781342631545602,0.5208940933384213,0.495438215286291,0.5279655231417677,0.5149171937228157,0.5090697086516377,0.4963170297308425,0.520978097160431,0.5152299763402043,0.5085970138260857,0.5014243150888431,0.5197283032617034,0.4891281367552608,0.523851127111138,0.5083436790214699,0.530117636458197,0.518532903724077,0.4957912304337055,0.4994932046198136,0.5032969102040729,0.5040079722975316,0.505234215874095,0.5029881169396537,0.5327758906282876,0.5021098563644752,0.5344424772981771,0.490549525463661,0.4850817112012893,0.5131930983048268,0.4912316963943191,0.4700788597554841,0.5118086173332302,0.4921276059494915,0.5001237621820243,0.5071518210461041,0.4887110182677626,0.5244557014719704,0.5019017451764116,0.5032449974831001,0.5155549753156858,0.5257899142833703,0.4901462546840154,0.4929484494577687,0.5161914855841201,0.5203278655103261,0.5215760617064724,0.4914770262413269
