,1_LibMF,2_LibMF,3_LibMF,4_LibMF,5_LibMF,6_LibMF,7_LibMF,8_LibMF,9_LibMF,10_LibMF,11_LibMF,12_LibMF,13_LibMF,14_LibMF,15_LibMF,16_LibMF,17_LibMF,18_LibMF,19_LibMF,20_LibMF,21_LibMF,22_LibMF,23_LibMF,24_LibMF,25_LibMF,26_LibMF,27_LibMF,28_LibMF,29_LibMF,30_LibMF,31_LibMF,32_LibMF,33_LibMF,34_LibMF,35_LibMF,36_LibMF,37_LibMF,38_LibMF,39_LibMF,40_LibMF,41_LibMF,42_LibMF,43_LibMF,44_LibMF,45_LibMF,46_LibMF,47_LibMF,48_LibMF,49_LibMF,50_LibMF,51_LibMF,52_LibMF,53_LibMF,54_LibMF,55_LibMF,56_LibMF,57_LibMF,58_LibMF,59_LibMF,60_LibMF,61_LibMF,62_LibMF,63_LibMF,64_LibMF,65_LibMF,66_LibMF,67_LibMF,68_LibMF,69_LibMF,70_LibMF,71_LibMF,72_LibMF,73_LibMF,74_LibMF,75_LibMF,76_LibMF,77_LibMF,78_LibMF,79_LibMF,80_LibMF,81_LibMF,82_LibMF,83_LibMF,84_LibMF,85_LibMF,86_LibMF,87_LibMF,88_LibMF,89_LibMF,90_LibMF,91_LibMF,92_LibMF,93_LibMF,94_LibMF,95_LibMF,96_LibMF,97_LibMF,98_LibMF,99_LibMF,100_LibMF
ACC,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849
AUC,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Fscore,0.0002661786633384738,0.00027679939670664246,0.0002672564878418713,0.00029596176745510134,0.00029072170962170414,0.00026280112407546757,0.00028355944679742253,0.00027826747213395716,0.0002635138876293789,0.0002610536577216078,0.00027928237216543947,0.00028298093783254,0.000313302930525623,0.00026884572518255363,0.0002965009004340318,0.0002501213483546551,0.00026299388803867736,0.0002787631957728021,0.0002516021392225733,0.00030804398810869223,0.00027794374867519894,0.0002644627337940526,0.00027578993757164464,0.0002746848702319118,0.0002564903837509192,0.00028776928303248943,0.00027589625915238,0.00029405661385758326,0.0003202734751818321,0.00026729246876488534,0.00027556090376689677,0.000300278996609343,0.0002584860388506114,0.0003086254114268534,0.0002544734663576354,0.0002985685438320206,0.0002749122255312645,0.0002799820730053379,0.00028269192930700034,0.00028877949788975744,0.00029895343960931967,0.00029814722135519737,0.0002969273408093965,0.00028549580292046246,0.00027741081784324556,0.0002889173929541737,0.00025349241575824794,0.00026170711539369825,0.0002635407402007805,0.0002911377342137862,0.00029132770649691747,0.000265262013396795,0.0002662504807651346,0.0002592114212096228,0.00027723466495421843,0.0002816551076933194,0.0002882403240822291,0.0002533508947560559,0.00025159720432422794,0.0003123177714082149,0.00028376829525820905,0.0002840227191339441,0.0002519496349603093,0.00028890967869457304,0.00025400169619338236,0.00027552807350661495,0.0002593293025357836,0.0002647199605980059,0.00027754542867613915,0.0002797084916553362,0.0002993709722218245,0.0002816757230846188,0.0002667227919648576,0.00030291799232026577,0.0002726587570325743,0.0002512828251477245,0.0002782160736077364,0.00033702805421966165,0.0002956661611142556,0.0002652796805927651,0.0002970744249496795,0.00028708108872078323,0.00029347139237604703,0.0002666603727974576,0.0002928560402630262,0.0002698157290118711,0.00026591984817313507,0.0002746367280331781,0.00030269920524301434,0.0003195868975692597,0.0002771547550915647,0.0002878820916174001,0.00029924249586655395,0.0002870044118326111,0.0002685846457790121,0.0003267492436471312,0.00028479904859840603,0.00026628762437830815,0.0002765520015921534,0.0002714552193850414
HR@10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001081081081081081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR@2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR@5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lin's AUC,0.02314759773464721,0.029655314607096857,0.01779096991566695,0.030332407146556353,0.020027706964777785,0.029395442551765936,0.027376986748973903,0.021525373710296315,0.030812664274795037,0.031071614939872205,0.02462440917939841,0.0337463667741796,0.028188529725394505,0.022449931768662893,0.03134038239600547,0.033040702895038083,0.024895949278304658,0.02795607047881506,0.03372471089492256,0.019702155896124608,0.023353482534974532,0.02974421701173133,0.02474456572549933,0.027120752158206647,0.037967241149460124,0.03663958430808377,0.026142796869860433,0.02875367963464124,0.03291412443686601,0.031885810812734706,0.027038583744944136,0.03231438225110791,0.027393357402128917,0.017894387396687132,0.021402596275558572,0.025105473511579025,0.02561828228705212,0.02697653630935805,0.02856918768826871,0.025170731764282903,0.03117441679343123,0.025800490953409905,0.024984856313527322,0.01956185227432505,0.016701197809483,0.020236241888249566,0.02828333180196305,0.02706364959390873,0.027264412606288885,0.026109480679893635,0.03006397192618244,0.022688258187269137,0.034502776184762975,0.030959055636702718,0.027152754302667427,0.03269952427075714,0.023793496106917326,0.021251713510313023,0.030508457253911096,0.029805307812946016,0.023618872522008706,0.026598428658264214,0.027550637891084875,0.02342367423822088,0.02421837541552204,0.02559368148449656,0.03313391600996998,0.031114742147763025,0.023454518904430587,0.026081452185392366,0.027183249901972843,0.01944214161621795,0.030829781058808303,0.0313418224318259,0.03233183921605718,0.03475404165033604,0.02946990605051217,0.02901024227052126,0.022908381054072613,0.023423929524889333,0.026759587009518207,0.029698006297477795,0.02382311541251041,0.027180310648137997,0.022772258690558687,0.02898065882204547,0.0267712663298843,0.022552274815062907,0.023846570772080026,0.024930380906512603,0.022482289728878203,0.035939366056639874,0.026494309807207846,0.03444226627782087,0.03421448446515685,0.02826434854754354,0.026704665206255532,0.022543801137964718,0.02312356107176194,0.03191280079019701
NDCGk,0.18369290119249615,0.18404166552173437,0.18651987039344042,0.19106805458203713,0.18411422658370816,0.1827205531320171,0.18344497042073338,0.18711692476608566,0.18559140220437942,0.18236108615779106,0.18785564686327075,0.18372222869273727,0.18325908380598507,0.1875239899404874,0.18640852741763966,0.1849698180479271,0.18239454705837935,0.18430390444810113,0.18606785338609882,0.1835422531892027,0.18961019465222828,0.17988673589373524,0.1898559692668329,0.18246328304163947,0.1882919794881369,0.19033549897854204,0.18545350357360346,0.18560051223684992,0.1833154297613379,0.1851810354800926,0.1860205514208155,0.18612291716824916,0.18549730496800104,0.17895117832349353,0.1784038675963091,0.1861331286538855,0.1868809361900798,0.18405351172446147,0.1816192477831873,0.18864536259237627,0.19329282014973717,0.1846852452409346,0.18784557472751473,0.18078813375078265,0.19003583800975457,0.1831833439075291,0.18567093447220293,0.1842443509671606,0.1869450785089494,0.18459637571884674,0.1815781791955431,0.18349101070022647,0.18282357757841394,0.19389988577635542,0.18171575825133005,0.18777651684791777,0.1858153020919795,0.18314981340477632,0.17789554713582298,0.18995953272408364,0.18498876525053004,0.18320535133057148,0.18609423347769993,0.18803793526332316,0.18531007875793154,0.1810735403337784,0.18814203541368457,0.18790916399092308,0.1809569148670748,0.18588683201275602,0.18153085510065242,0.18767353775669188,0.1855041828130446,0.1875763558277224,0.18415346148959352,0.18403869495193448,0.17815561765006277,0.18754641198869032,0.1950741859433337,0.18935901006261913,0.18126589828615497,0.18305507497303244,0.17601800352343328,0.1894008467228977,0.18449563948948056,0.18930318175715047,0.1923247238818028,0.1820809414513455,0.18761617446050757,0.18388201995154888,0.1863633638015002,0.1791499865667659,0.1927521695451323,0.17965874498228793,0.18425334276566882,0.18454667751581647,0.18752085008322686,0.19154484523760756,0.1788099347790405,0.18524014839065972
global AUC,0.8930432474759579,0.8940801435919845,0.8931059854589092,0.8938853449119051,0.8928917162914327,0.8936479605465235,0.8938874612692309,0.8928989119063403,0.8939833791591426,0.8940686214563169,0.8934707745353022,0.8943570569363039,0.8939452847272787,0.8926517922972601,0.8939433331026313,0.894581484618944,0.8934576531198825,0.8939719508295834,0.893812706952577,0.8929450484960421,0.8932027498917511,0.8939636501329586,0.8935338419836102,0.8934993922622544,0.8949135170598419,0.894592066405573,0.8934182888736231,0.8944830271002415,0.894573019189641,0.8947160140182933,0.8936509234467795,0.8939045568605154,0.893146619519564,0.89287097598964,0.8931500056912852,0.8934377593610202,0.8939826973488906,0.8939962420357755,0.893862911524252,0.8937083236333622,0.8939829558876774,0.8934292939317171,0.8936770015449408,0.8931601642064488,0.8926090418792795,0.8932107920495891,0.8935920887131231,0.8934589229342779,0.8937840892256248,0.8934965940946766,0.8938675675103687,0.8929922901674611,0.8947119460363201,0.8945770871716142,0.893947989088748,0.894362982736816,0.8929861058281621,0.8927671806745688,0.8940472931503809,0.8941267034531515,0.8931292653894927,0.8939833791591426,0.8939557017812292,0.8932717431405712,0.8935922534458015,0.8930523947155129,0.8937911201078541,0.893965178486141,0.893325921888111,0.8940621076516613,0.8939177720820437,0.8930430827432795,0.8947459724862108,0.8940697265380341,0.8939965005745624,0.8944148803943517,0.8942486994412244,0.8936896996888954,0.8935118318674222,0.8938916939838825,0.8929550422785275,0.8938607951669262,0.8935954748848444,0.8935666924252139,0.8934108347199287,0.8940430604357293,0.8938203258389498,0.8932967161570153,0.8932772456696183,0.8931294301221709,0.8925633285610428,0.8948777037179821,0.8938319189011872,0.8947369190527642,0.8943649343614635,0.8936589656046174,0.8936071617531903,0.8928294953860549,0.8935960628889879,0.8944944554298007
global NDCG,0.48032154841911684,0.4810217964794083,0.4794536756033333,0.47876614961917985,0.48127093276209926,0.4780381157330615,0.4812970947388443,0.47959421446078576,0.48148452192500696,0.4825463025101772,0.4813989154887206,0.48238272875964006,0.48308089708231994,0.47924607182897566,0.48200748312348046,0.48167837152122456,0.4811819040380256,0.48205337169735235,0.480243484880091,0.47771016444344605,0.47946837553097044,0.47897871552596283,0.4831571715923901,0.4790198896641704,0.4801704514513611,0.48495929108559466,0.47783739807400444,0.4822998366821584,0.47878917305902335,0.48157892917102113,0.4815026999003298,0.4796397408655894,0.4811803490130736,0.48166003518705813,0.4822460635781842,0.48126923029662305,0.4805992064924175,0.4805059251467151,0.4806545849300444,0.4788900574632809,0.4812547878851747,0.48230435363295615,0.4814360549047552,0.48357927286651436,0.4802517592972092,0.48180595861357844,0.4796956571976861,0.4861431100757666,0.48217744964954656,0.4792350605312028,0.47992454267147666,0.481385229722607,0.4823876152277153,0.4829714667907572,0.4817575780724513,0.48273148164072077,0.4797951736766788,0.48054739347165876,0.48366863894703455,0.482551388250947,0.47910451627825545,0.4899661313913962,0.4829682134020288,0.4785400414752125,0.48037937599985253,0.48074920418893646,0.4791568846066524,0.4824880219730709,0.4822883414616942,0.48100623735958126,0.48283663069368254,0.4780219596418953,0.4819728252923634,0.47883333312025567,0.4800452743313953,0.4810780674464577,0.4844789920626302,0.4806520332239006,0.48055362045763367,0.48438357576847824,0.48203775801717924,0.4809432637181109,0.4799834267881095,0.47787110350858547,0.48175740126389477,0.4827860991902728,0.48278238982866173,0.48054533771834085,0.4799984266265252,0.4819341230888464,0.48104495310717926,0.4799151329484185,0.48136978373714406,0.48127410007057225,0.4824344361872026,0.4820058792413859,0.4832730249976338,0.4801674745754887,0.4813840388985113,0.48107371152505335
