,1_LogisticMF,2_LogisticMF,3_LogisticMF,4_LogisticMF,5_LogisticMF,6_LogisticMF,7_LogisticMF,8_LogisticMF,9_LogisticMF,10_LogisticMF,11_LogisticMF,12_LogisticMF,13_LogisticMF,14_LogisticMF,15_LogisticMF,16_LogisticMF,17_LogisticMF,18_LogisticMF,19_LogisticMF,20_LogisticMF,21_LogisticMF,22_LogisticMF,23_LogisticMF,24_LogisticMF,25_LogisticMF,26_LogisticMF,27_LogisticMF,28_LogisticMF,29_LogisticMF,30_LogisticMF,31_LogisticMF,32_LogisticMF,33_LogisticMF,34_LogisticMF,35_LogisticMF,36_LogisticMF,37_LogisticMF,38_LogisticMF,39_LogisticMF,40_LogisticMF,41_LogisticMF,42_LogisticMF,43_LogisticMF,44_LogisticMF,45_LogisticMF,46_LogisticMF,47_LogisticMF,48_LogisticMF,49_LogisticMF,50_LogisticMF,51_LogisticMF,52_LogisticMF,53_LogisticMF,54_LogisticMF,55_LogisticMF,56_LogisticMF,57_LogisticMF,58_LogisticMF,59_LogisticMF,60_LogisticMF,61_LogisticMF,62_LogisticMF,63_LogisticMF,64_LogisticMF,65_LogisticMF,66_LogisticMF,67_LogisticMF,68_LogisticMF,69_LogisticMF,70_LogisticMF,71_LogisticMF,72_LogisticMF,73_LogisticMF,74_LogisticMF,75_LogisticMF,76_LogisticMF,77_LogisticMF,78_LogisticMF,79_LogisticMF,80_LogisticMF,81_LogisticMF,82_LogisticMF,83_LogisticMF,84_LogisticMF,85_LogisticMF,86_LogisticMF,87_LogisticMF,88_LogisticMF,89_LogisticMF,90_LogisticMF,91_LogisticMF,92_LogisticMF,93_LogisticMF,94_LogisticMF,95_LogisticMF,96_LogisticMF,97_LogisticMF,98_LogisticMF,99_LogisticMF,100_LogisticMF
ACC,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849
AUC,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Fscore,0.0002661786633384738,0.00027679939670664246,0.0002672564878418713,0.00029596176745510134,0.00029072170962170414,0.00026280112407546757,0.00028355944679742253,0.00027826747213395716,0.0002635138876293789,0.0002610536577216078,0.00027928237216543947,0.00028298093783254,0.000313302930525623,0.00026884572518255363,0.0002965009004340318,0.0002501213483546551,0.00026299388803867736,0.0002787631957728021,0.0002516021392225733,0.00030804398810869223,0.00027794374867519894,0.0002644627337940526,0.00027578993757164464,0.0002746848702319118,0.0002564903837509192,0.00028776928303248943,0.00027589625915238,0.00029405661385758326,0.0003202734751818321,0.00026729246876488534,0.00027556090376689677,0.000300278996609343,0.0002584860388506114,0.0003086254114268534,0.0002544734663576354,0.0002985685438320206,0.0002749122255312645,0.0002799820730053379,0.00028269192930700034,0.00028877949788975744,0.00029895343960931967,0.00029814722135519737,0.0002969273408093965,0.00028549580292046246,0.00027741081784324556,0.0002889173929541737,0.00025349241575824794,0.00026170711539369825,0.0002635407402007805,0.0002911377342137862,0.00029132770649691747,0.000265262013396795,0.0002662504807651346,0.0002592114212096228,0.00027723466495421843,0.0002816551076933194,0.0002882403240822291,0.0002533508947560559,0.00025159720432422794,0.0003123177714082149,0.00028376829525820905,0.0002840227191339441,0.0002519496349603093,0.00028890967869457304,0.00025400169619338236,0.00027552807350661495,0.0002593293025357836,0.0002647199605980059,0.00027754542867613915,0.0002797084916553362,0.0002993709722218245,0.0002816757230846188,0.0002667227919648576,0.00030291799232026577,0.0002726587570325743,0.0002512828251477245,0.0002782160736077364,0.00033702805421966165,0.0002956661611142556,0.0002652796805927651,0.0002970744249496795,0.00028708108872078323,0.00029347139237604703,0.0002666603727974576,0.0002928560402630262,0.0002698157290118711,0.00026591984817313507,0.0002746367280331781,0.00030269920524301434,0.0003195868975692597,0.0002771547550915647,0.0002878820916174001,0.00029924249586655395,0.0002870044118326111,0.0002685846457790121,0.0003267492436471312,0.00028479904859840603,0.00026628762437830815,0.0002765520015921534,0.0002714552193850414
HR@10,0.001081081081081081,0.0,0.0,0.001081081081081081,0.002162162162162162,0.001081081081081081,0.0,0.0,0.0,0.0,0.0,0.0,0.001081081081081081,0.001081081081081081,0.001081081081081081,0.001081081081081081,0.0,0.001081081081081081,0.0,0.001081081081081081,0.002162162162162162,0.002162162162162162,0.002162162162162162,0.0,0.0,0.0,0.001081081081081081,0.0,0.0,0.001081081081081081,0.0,0.001081081081081081,0.0,0.002162162162162162,0.0,0.0,0.001081081081081081,0.001081081081081081,0.0,0.0,0.002162162162162162,0.0,0.0,0.001081081081081081,0.001081081081081081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002162162162162162,0.001081081081081081,0.001081081081081081,0.001081081081081081,0.0,0.001081081081081081,0.0,0.0,0.0,0.0,0.001081081081081081,0.0,0.0,0.0,0.0,0.0,0.001081081081081081,0.0,0.0,0.0,0.001081081081081081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001081081081081081,0.001081081081081081,0.0,0.0,0.002162162162162162,0.0,0.0,0.002162162162162162
HR@2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001081081081081081,0.0,0.0,0.0,0.0,0.002162162162162162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001081081081081081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001081081081081081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR@5,0.001081081081081081,0.0,0.0,0.0,0.001081081081081081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001081081081081081,0.0,0.0,0.0,0.001081081081081081,0.002162162162162162,0.0,0.0,0.0,0.001081081081081081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001081081081081081,0.0,0.0,0.0,0.0,0.0,0.0,0.001081081081081081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001081081081081081,0.0,0.001081081081081081,0.0,0.0,0.001081081081081081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001081081081081081,0.001081081081081081,0.0,0.0,0.001081081081081081,0.0,0.0,0.001081081081081081
Lin's AUC,0.782452911182992,0.7785343072830068,0.7961394755435787,0.7853077747479583,0.8032751937269007,0.7940788804467035,0.7920934416504345,0.7894106556352564,0.7838597690097021,0.7866338216819501,0.7921788763437904,0.7964873740399784,0.8072391549324931,0.802222242139995,0.7918671926793994,0.7944964123806728,0.7763701759606962,0.7858559374209697,0.8083400457468418,0.8148915233225151,0.7789296218724991,0.7984756042946919,0.8068100103979381,0.7897642434695173,0.7750964051826607,0.8034160978568597,0.7973529454994905,0.7952920716780111,0.8006398869954627,0.8014018942816978,0.7924002971227445,0.7999704904720298,0.7762181961861757,0.7897431617063174,0.7807110447195993,0.7989735777464978,0.7976189099859896,0.8006551407488894,0.7856104340024925,0.8079419001137874,0.7959334158169261,0.8036592575648548,0.8005143455047737,0.7779553925638896,0.7960345227115353,0.7906799337544083,0.7924794703044161,0.8108575757978776,0.7864617944431939,0.7829976804182135,0.787930099518707,0.7935650555117425,0.7939889858280603,0.7702007117079497,0.788939782666934,0.8023805145967526,0.8068343583530811,0.7986345346782645,0.7916362211432197,0.7710413530657144,0.8001580697862526,0.7765362309372592,0.7825281585200224,0.768913901414318,0.7980723280134185,0.7902527167073765,0.7985025487768055,0.8040915151830179,0.7894599035447906,0.8055133933182802,0.7884139500596049,0.802340381770359,0.7810788188846086,0.7938784525612059,0.7729806325198516,0.7905843755800986,0.8014336654989332,0.8142298495469474,0.7971638460514585,0.7785591904306361,0.7690735929160926,0.7945596144101262,0.7946623045037295,0.7921660322025198,0.8038232617743808,0.7906799135235977,0.7892514726153357,0.7908993316169918,0.8013129699460446,0.802819006783107,0.7970203396134685,0.7902408111802509,0.7968562573138969,0.8010734143392935,0.7910461514004584,0.8163882177719055,0.8048178878721448,0.8025693279790032,0.800519122580738,0.787869759138404
NDCGk,0.18369290119249615,0.18404166552173437,0.18651987039344042,0.19106805458203713,0.18411422658370816,0.1827205531320171,0.18344497042073338,0.18711692476608566,0.18559140220437942,0.18236108615779106,0.18785564686327075,0.18372222869273727,0.18325908380598507,0.1875239899404874,0.18640852741763966,0.1849698180479271,0.18239454705837935,0.18430390444810113,0.18606785338609882,0.1835422531892027,0.18961019465222828,0.17988673589373524,0.1898559692668329,0.18246328304163947,0.1882919794881369,0.19033549897854204,0.18545350357360346,0.18560051223684992,0.1833154297613379,0.1851810354800926,0.1860205514208155,0.18612291716824916,0.18549730496800104,0.17895117832349353,0.1784038675963091,0.1861331286538855,0.1868809361900798,0.18405351172446147,0.1816192477831873,0.18864536259237627,0.19329282014973717,0.1846852452409346,0.18784557472751473,0.18078813375078265,0.19003583800975457,0.1831833439075291,0.18567093447220293,0.1842443509671606,0.1869450785089494,0.18459637571884674,0.1815781791955431,0.18349101070022647,0.18282357757841394,0.19389988577635542,0.18171575825133005,0.18777651684791777,0.1858153020919795,0.18314981340477632,0.17789554713582298,0.18995953272408364,0.18498876525053004,0.18320535133057148,0.18609423347769993,0.18803793526332316,0.18531007875793154,0.1810735403337784,0.18814203541368457,0.18790916399092308,0.1809569148670748,0.18588683201275602,0.18153085510065242,0.18767353775669188,0.1855041828130446,0.1875763558277224,0.18415346148959352,0.18403869495193448,0.17815561765006277,0.18754641198869032,0.1950741859433337,0.18935901006261913,0.18126589828615497,0.18305507497303244,0.17601800352343328,0.1894008467228977,0.18449563948948056,0.18930318175715047,0.1923247238818028,0.1820809414513455,0.18761617446050757,0.18388201995154888,0.1863633638015002,0.1791499865667659,0.1927521695451323,0.17965874498228793,0.18425334276566882,0.18454667751581647,0.18752085008322686,0.19154484523760756,0.1788099347790405,0.18524014839065972
global AUC,0.9667970268039515,0.966754508384493,0.9706817354358867,0.9661711542784451,0.9715478101707558,0.9691454824064926,0.9683803320621842,0.9680745067600456,0.9693446460449572,0.9675971764361342,0.9695972901474413,0.9687934038290053,0.9685218886830366,0.9708002194147757,0.9695684417947396,0.9681527767466097,0.9638162338334608,0.9667513327045274,0.9703649700535438,0.9708497106024354,0.9665451670120522,0.9690810609470871,0.9700126764083928,0.970286199462674,0.9677042032572456,0.9705189356209821,0.9680394205299244,0.9680313989636712,0.9704377288168361,0.968477244296846,0.9691971206100599,0.969485146546305,0.9657443575339747,0.9672502311119398,0.9661709565992312,0.9708946771325302,0.9693385060919631,0.9672304165162814,0.966483415137217,0.9699229629917742,0.9690733532881042,0.9704832572684003,0.9691123775444191,0.966776103008259,0.9710602243224368,0.9662866318859548,0.9684587155312601,0.9690753776696845,0.9685431575021721,0.9678340116925881,0.9671107620201945,0.9659700431336503,0.9685449375302795,0.9652170317573716,0.969099075380644,0.9698982777999265,0.9670732084606245,0.9701339343025487,0.9673648996989623,0.9645082904580311,0.9715392440714824,0.9666610006251833,0.9653541497477245,0.9663531893790892,0.9666379783182051,0.9688632093014475,0.9696397152183823,0.9694229343351519,0.9681154483217,0.96966485617064,0.9664493163879843,0.9691811561831668,0.9668555480879284,0.9692635820091323,0.9672776078527151,0.9675068260531594,0.9702679397604625,0.9699445859861681,0.9687858581571561,0.9654499683404383,0.9666134404705864,0.9681719150231054,0.9692180526423865,0.9679837857285446,0.9696575740710764,0.9682992552138178,0.9671386842091716,0.967004657702082,0.9680580490502989,0.9722703835239865,0.9702949614107981,0.9677642254389581,0.9697702539685988,0.9693164593685133,0.9688126208111139,0.9725682339341309,0.9688925591736367,0.9694211881687617,0.9686766083600692,0.966994987893864
global NDCG,0.6325604058374046,0.6206086386604425,0.6229166688978922,0.6258191033483799,0.6357534413403164,0.6254177175027198,0.6239560533898422,0.6219064063171631,0.6280611587084745,0.6140386186414564,0.6290192885048492,0.6186603387621155,0.6241452602051648,0.6221451495235394,0.625599678388234,0.6209342459442441,0.6092626386655704,0.628730936973795,0.6216853969314746,0.6364262604401661,0.6238983438676394,0.6364195481154069,0.646347435170335,0.629757061985353,0.6189920450586679,0.6227951297332939,0.6348695981916959,0.6304818705251838,0.6204804743942429,0.6234278554193918,0.6202468370943872,0.6274286102576488,0.613192619374279,0.6333685099010045,0.6259188778177379,0.6213523368723786,0.6272332841687426,0.6278529135456253,0.6200793840360266,0.6236803930183233,0.6305842331860656,0.6249432102700055,0.6346884026562932,0.6102221612719221,0.6360024564408614,0.6174798057038641,0.618756500918142,0.6283402976492848,0.622710557394807,0.6160276985303215,0.6109043516343388,0.6115772517433592,0.6198934532769723,0.6126093414187046,0.6184286866781517,0.6288262163730648,0.6115945666100973,0.630408804332041,0.6267312471643985,0.6154510658735767,0.6343722729464447,0.6258768039640084,0.6105143629865368,0.6247326413604956,0.610900615723214,0.6210465446550766,0.6269492593512959,0.6256251329882248,0.6185275465976019,0.627783116446091,0.6179293316336253,0.6347744496215554,0.621000070896302,0.6136774128408388,0.634990917358102,0.6265713315011031,0.6199803318824415,0.6267682741280918,0.6319471744528583,0.621561199306763,0.6192554361876129,0.6243376887367447,0.6266693604741685,0.6206581522028278,0.6241207915259467,0.6218519086026509,0.6195206559587071,0.6259891217109922,0.6165360903726504,0.6389554337323909,0.6313057099987281,0.6191800237883147,0.6333232797081428,0.628575825931189,0.6313313820990241,0.6262790924413946,0.6254844802807046,0.6241454490084423,0.6231091906696327,0.6248228667792276
