,1_NIMCGCN,2_NIMCGCN,3_NIMCGCN,4_NIMCGCN,5_NIMCGCN,6_NIMCGCN,7_NIMCGCN,8_NIMCGCN,9_NIMCGCN,10_NIMCGCN,11_NIMCGCN,12_NIMCGCN,13_NIMCGCN,14_NIMCGCN,15_NIMCGCN,16_NIMCGCN,17_NIMCGCN,18_NIMCGCN,19_NIMCGCN,20_NIMCGCN,21_NIMCGCN,22_NIMCGCN,23_NIMCGCN,24_NIMCGCN,25_NIMCGCN,26_NIMCGCN,27_NIMCGCN,28_NIMCGCN,29_NIMCGCN,30_NIMCGCN,31_NIMCGCN,32_NIMCGCN,33_NIMCGCN,34_NIMCGCN,35_NIMCGCN,36_NIMCGCN,37_NIMCGCN,38_NIMCGCN,39_NIMCGCN,40_NIMCGCN,41_NIMCGCN,42_NIMCGCN,43_NIMCGCN,44_NIMCGCN,45_NIMCGCN,46_NIMCGCN,47_NIMCGCN,48_NIMCGCN,49_NIMCGCN,50_NIMCGCN,51_NIMCGCN,52_NIMCGCN,53_NIMCGCN,54_NIMCGCN,55_NIMCGCN,56_NIMCGCN,57_NIMCGCN,58_NIMCGCN,59_NIMCGCN,60_NIMCGCN,61_NIMCGCN,62_NIMCGCN,63_NIMCGCN,64_NIMCGCN,65_NIMCGCN,66_NIMCGCN,67_NIMCGCN,68_NIMCGCN,69_NIMCGCN,70_NIMCGCN,71_NIMCGCN,72_NIMCGCN,73_NIMCGCN,74_NIMCGCN,75_NIMCGCN,76_NIMCGCN,77_NIMCGCN,78_NIMCGCN,79_NIMCGCN,80_NIMCGCN,81_NIMCGCN,82_NIMCGCN,83_NIMCGCN,84_NIMCGCN,85_NIMCGCN,86_NIMCGCN,87_NIMCGCN,88_NIMCGCN,89_NIMCGCN,90_NIMCGCN,91_NIMCGCN,92_NIMCGCN,93_NIMCGCN,94_NIMCGCN,95_NIMCGCN,96_NIMCGCN,97_NIMCGCN,98_NIMCGCN,99_NIMCGCN,100_NIMCGCN
ACC,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849
AUC,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Fscore,0.0002661786633384738,0.00027679939670664246,0.0002672564878418713,0.00029596176745510134,0.00029072170962170414,0.00026280112407546757,0.00028355944679742253,0.00027826747213395716,0.0002635138876293789,0.0002610536577216078,0.00027928237216543947,0.00028298093783254,0.000313302930525623,0.00026884572518255363,0.0002965009004340318,0.0002501213483546551,0.00026299388803867736,0.0002787631957728021,0.0002516021392225733,0.00030804398810869223,0.00027794374867519894,0.0002644627337940526,0.00027578993757164464,0.0002746848702319118,0.0002564903837509192,0.00028776928303248943,0.00027589625915238,0.00029405661385758326,0.0003202734751818321,0.00026729246876488534,0.00027556090376689677,0.000300278996609343,0.0002584860388506114,0.0003086254114268534,0.0002544734663576354,0.0002985685438320206,0.0002749122255312645,0.0002799820730053379,0.00028269192930700034,0.00028877949788975744,0.00029895343960931967,0.00029814722135519737,0.0002969273408093965,0.00028549580292046246,0.00027741081784324556,0.0002889173929541737,0.00025349241575824794,0.00026170711539369825,0.0002635407402007805,0.0002911377342137862,0.00029132770649691747,0.000265262013396795,0.0002662504807651346,0.0002592114212096228,0.00027723466495421843,0.0002816551076933194,0.0002882403240822291,0.0002533508947560559,0.00025159720432422794,0.0003123177714082149,0.00028376829525820905,0.0002840227191339441,0.0002519496349603093,0.00028890967869457304,0.00025400169619338236,0.00027552807350661495,0.0002593293025357836,0.0002647199605980059,0.00027754542867613915,0.0002797084916553362,0.0002993709722218245,0.0002816757230846188,0.0002667227919648576,0.00030291799232026577,0.0002726587570325743,0.0002512828251477245,0.0002782160736077364,0.00033702805421966165,0.0002956661611142556,0.0002652796805927651,0.0002970744249496795,0.00028708108872078323,0.00029347139237604703,0.0002666603727974576,0.0002928560402630262,0.0002698157290118711,0.00026591984817313507,0.0002746367280331781,0.00030269920524301434,0.0003195868975692597,0.0002771547550915647,0.0002878820916174001,0.00029924249586655395,0.0002870044118326111,0.0002685846457790121,0.0003267492436471312,0.00028479904859840603,0.00026628762437830815,0.0002765520015921534,0.0002714552193850414
HR@10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR@2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR@5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lin's AUC,0.49556400337459516,0.48878796867344954,0.48939019054264526,0.5010415605625301,0.49237679125422007,0.4817957521939536,0.48121057233407427,0.48835548439146376,0.4926324927705539,0.48871089987873806,0.5072470932364815,0.5013054585788868,0.49379360169578557,0.4743824977661541,0.4984330776167495,0.49896518007680707,0.47027750518947065,0.5010926936449651,0.4877680587032092,0.5050752266720757,0.4864305450177363,0.48664099536047656,0.4837036735374258,0.4757859554014242,0.49134051074143575,0.5054582597808668,0.4885382207076815,0.4909717392811957,0.4986035997553996,0.48053891074567406,0.4802594054027311,0.4910674109244927,0.49289619302867116,0.5039920939550369,0.48759690777402315,0.49892080311234255,0.5006722300445453,0.47910284236974904,0.48584232538766947,0.502038764000674,0.48929606104828244,0.4959397032082819,0.49362630440927463,0.5017414722234225,0.4979383075339173,0.4858920400209958,0.5050911904118347,0.4921661896601867,0.49617542008916043,0.49548199958487377,0.4791835384124318,0.48284188075684276,0.4980531171828664,0.4866520222581755,0.5126870297846,0.48824157712967486,0.4799277189986673,0.4940511755807341,0.4915935687508494,0.4979180658761911,0.48334014312057183,0.4918458284235422,0.4860779290004399,0.4943833572149739,0.5059235438166689,0.5097546961359409,0.4958304371438987,0.47867177627918794,0.5129056088963079,0.494287154093015,0.5128739017985207,0.48037794748978574,0.48107221810125805,0.49670568158834316,0.4835054916578451,0.4935444758036952,0.5016737629642177,0.5061339451041559,0.47781694908465777,0.4947682784971396,0.4928708749278541,0.4953288103089559,0.5030971233397533,0.4751780807843296,0.4888386537366475,0.49938713484822633,0.5054772222655994,0.49407349941369083,0.48600554686626496,0.4963229502494513,0.47105209413982546,0.49474223464005884,0.5000481076927847,0.47996796214382653,0.4877462388817187,0.5098769393231243,0.4990208298112495,0.4855511695376008,0.5072137733504815,0.4930219590887624
NDCGk,0.18369290119249615,0.18404166552173437,0.18651987039344042,0.19106805458203713,0.18411422658370816,0.1827205531320171,0.18344497042073338,0.18711692476608566,0.18559140220437942,0.18236108615779106,0.18785564686327075,0.18372222869273727,0.18325908380598507,0.1875239899404874,0.18640852741763966,0.1849698180479271,0.18239454705837935,0.18430390444810113,0.18606785338609882,0.1835422531892027,0.18961019465222828,0.17988673589373524,0.1898559692668329,0.18246328304163947,0.1882919794881369,0.19033549897854204,0.18545350357360346,0.18560051223684992,0.1833154297613379,0.1851810354800926,0.1860205514208155,0.18612291716824916,0.18549730496800104,0.17895117832349353,0.1784038675963091,0.1861331286538855,0.1868809361900798,0.18405351172446147,0.1816192477831873,0.18864536259237627,0.19329282014973717,0.1846852452409346,0.18784557472751473,0.18078813375078265,0.19003583800975457,0.1831833439075291,0.18567093447220293,0.1842443509671606,0.1869450785089494,0.18459637571884674,0.1815781791955431,0.18349101070022647,0.18282357757841394,0.19389988577635542,0.18171575825133005,0.18777651684791777,0.1858153020919795,0.18314981340477632,0.17789554713582298,0.18995953272408364,0.18498876525053004,0.18320535133057148,0.18609423347769993,0.18803793526332316,0.18531007875793154,0.1810735403337784,0.18814203541368457,0.18790916399092308,0.1809569148670748,0.18588683201275602,0.18153085510065242,0.18767353775669188,0.1855041828130446,0.1875763558277224,0.18415346148959352,0.18403869495193448,0.17815561765006277,0.18754641198869032,0.1950741859433337,0.18935901006261913,0.18126589828615497,0.18305507497303244,0.17601800352343328,0.1894008467228977,0.18449563948948056,0.18930318175715047,0.1923247238818028,0.1820809414513455,0.18761617446050757,0.18388201995154888,0.1863633638015002,0.1791499865667659,0.1927521695451323,0.17965874498228793,0.18425334276566882,0.18454667751581647,0.18752085008322686,0.19154484523760756,0.1788099347790405,0.18524014839065972
global AUC,0.9071919390809403,0.9044248400863244,0.9053805229919343,0.9050418623486876,0.9061298320012675,0.9046234706315381,0.9055388242319482,0.9062436238443687,0.9087363097706497,0.9054067703986816,0.9064974709529956,0.9040165757681662,0.9064538204539644,0.9051285803761051,0.9063878701837855,0.9058152776975407,0.9056093531554029,0.9044169594580295,0.9023595375358852,0.9074053621630773,0.9051384332206325,0.905840352756727,0.9051866962346571,0.9052899698962469,0.9066717013854132,0.9062530923126465,0.9058933710540661,0.9021688910344811,0.9049746605677443,0.9045008710812356,0.9073382715766918,0.9056310667527699,0.9049547054917184,0.9077805554808791,0.9071369334668735,0.9061098201839858,0.9065065834156519,0.9056710098513573,0.904319088570698,0.9041428548058756,0.902885348687029,0.9044114001877266,0.9070203677085055,0.9074537166952565,0.9069114885599446,0.9060265505606343,0.9080456973025595,0.9030788551307651,0.9044904709581435,0.9048788122316301,0.9058451162766754,0.9063940522351307,0.9069723957222126,0.9047792121087669,0.904812652842468,0.9032928245762851,0.9076848659287635,0.9077171388908114,0.908207095516926,0.9056876739345427,0.9050450444349241,0.9054974040303451,0.9073286704070898,0.9032599796257708,0.9068791368922836,0.9068773376453637,0.9083856016775278,0.9075911124432087,0.9065474284256532,0.9042590915564777,0.9057968381621553,0.9055416379576122,0.9039068981237062,0.9060962265348881,0.9056047415555913,0.9076880352024581,0.904881692765547,0.9055074225227322,0.9029778158849205,0.9069658480558398,0.9047698964758074,0.904467501731695,0.9018443081713698,0.9066309739762406,0.9046708953392663,0.9058732718369467,0.9056483229584158,0.9074007359203609,0.9032420809626795,0.9062506391685118,0.9076117964613362,0.9049358820376745,0.9035872586137172,0.9054688174195655,0.9068544411758482,0.9053853107641936,0.9034341244887137,0.9071667683852822,0.910978797417129,0.9039219748244995
global NDCG,0.4923072719478282,0.48835818153913635,0.49048743009933765,0.49236289087656127,0.49214174526309573,0.4903639994326672,0.4905002966025436,0.4928667755106762,0.4943586172224267,0.49205374526790024,0.4931104435804081,0.49045912573280515,0.4932868565564889,0.49081610958912253,0.4935995670575971,0.4919843111011658,0.490647760819704,0.49102838023776535,0.4893036447656624,0.49237260244056136,0.492975122270254,0.4922593535515198,0.49242118929975065,0.4916555422222657,0.49248503283784645,0.49354039306913994,0.4923251983422762,0.4893017079665759,0.4918112070639153,0.4910674899391855,0.49389757436657983,0.4918095801355893,0.4911737030719622,0.4946557970310444,0.49322814617056865,0.4920646695177092,0.49145876279046957,0.4936229068192347,0.4899909753505276,0.4931481808262979,0.49049979415395906,0.4921121622090096,0.4928444449429486,0.4928045802943516,0.4909595378204911,0.49165491029542363,0.4934341795840131,0.4896311250609565,0.4911890195659134,0.49206776163459887,0.4920554105848891,0.49163114636707034,0.4934375678675451,0.4904102685681375,0.4925010057171405,0.4904448674666978,0.49393164254552235,0.493437609059928,0.494429649285239,0.49133368927306564,0.49254657740436064,0.49145794483004507,0.49234518060939747,0.4892847352077813,0.4925371024908872,0.49359433650617285,0.49235439572618406,0.49469133218383976,0.4936392309820498,0.49218437594661196,0.49067528930791704,0.490271064663534,0.48951040347657376,0.4911747647210493,0.49241905069824066,0.4916985214966932,0.4909332328005612,0.4918981258300322,0.4899785169612797,0.4918601314792169,0.4898582865605387,0.4905938422381881,0.4883287823133999,0.49278024388047925,0.49168674511663746,0.49383334184118227,0.49306103731444967,0.4921698981698969,0.4890027495069581,0.4931961034329078,0.4920995970071309,0.49047220676447306,0.4902828816515285,0.4909051116470269,0.49257278828202766,0.48974192273203887,0.4893507869332071,0.49338144570575226,0.4946338543346767,0.4914016394089187
