,1_PMF,2_PMF,3_PMF,4_PMF,5_PMF,6_PMF,7_PMF,8_PMF,9_PMF,10_PMF,11_PMF,12_PMF,13_PMF,14_PMF,15_PMF,16_PMF,17_PMF,18_PMF,19_PMF,20_PMF,21_PMF,22_PMF,23_PMF,24_PMF,25_PMF,26_PMF,27_PMF,28_PMF,29_PMF,30_PMF,31_PMF,32_PMF,33_PMF,34_PMF,35_PMF,36_PMF,37_PMF,38_PMF,39_PMF,40_PMF,41_PMF,42_PMF,43_PMF,44_PMF,45_PMF,46_PMF,47_PMF,48_PMF,49_PMF,50_PMF,51_PMF,52_PMF,53_PMF,54_PMF,55_PMF,56_PMF,57_PMF,58_PMF,59_PMF,60_PMF,61_PMF,62_PMF,63_PMF,64_PMF,65_PMF,66_PMF,67_PMF,68_PMF,69_PMF,70_PMF,71_PMF,72_PMF,73_PMF,74_PMF,75_PMF,76_PMF,77_PMF,78_PMF,79_PMF,80_PMF,81_PMF,82_PMF,83_PMF,84_PMF,85_PMF,86_PMF,87_PMF,88_PMF,89_PMF,90_PMF,91_PMF,92_PMF,93_PMF,94_PMF,95_PMF,96_PMF,97_PMF,98_PMF,99_PMF,100_PMF
ACC,0.6617647058823529,0.6586134453781513,0.6491596638655462,0.680672268907563,0.6785714285714286,0.6533613445378151,0.6659663865546218,0.6659663865546218,0.6785714285714286,0.6502100840336135,0.667016806722689,0.6638655462184874,0.6502100840336135,0.6785714285714286,0.6712184873949579,0.667016806722689,0.6817226890756303,0.6785714285714286,0.6638655462184874,0.6901260504201681,0.6491596638655462,0.6869747899159664,0.6659663865546218,0.6638655462184874,0.6817226890756303,0.6607142857142857,0.6397058823529411,0.6680672268907563,0.6691176470588235,0.6512605042016807,0.6449579831932774,0.6659663865546218,0.6754201680672269,0.6659663865546218,0.6407563025210085,0.680672268907563,0.6691176470588235,0.6743697478991597,0.6407563025210085,0.6512605042016807,0.6376050420168067,0.6712184873949579,0.6953781512605042,0.6638655462184874,0.6659663865546218,0.6880252100840336,0.6439075630252101,0.6764705882352942,0.6733193277310925,0.6775210084033614,0.6838235294117647,0.6712184873949579,0.6302521008403361,0.6197478991596639,0.6460084033613446,0.6785714285714286,0.6386554621848739,0.6533613445378151,0.6428571428571429,0.6785714285714286,0.6712184873949579,0.6785714285714286,0.6680672268907563,0.6743697478991597,0.6502100840336135,0.6680672268907563,0.6460084033613446,0.6649159663865546,0.667016806722689,0.6628151260504201,0.6754201680672269,0.6533613445378151,0.657563025210084,0.6838235294117647,0.6775210084033614,0.6817226890756303,0.6544117647058824,0.6659663865546218,0.6565126050420168,0.6859243697478992,0.6565126050420168,0.6754201680672269,0.6617647058823529,0.6754201680672269,0.6848739495798319,0.6554621848739496,0.667016806722689,0.6754201680672269,0.6649159663865546,0.6691176470588235,0.6922268907563025,0.7006302521008403,0.6922268907563025,0.6533613445378151,0.6596638655462185,0.6470588235294118,0.6901260504201681,0.6386554621848739,0.6733193277310925,0.6712184873949579
AUC,0.5843055918648519,0.5695496599458576,0.5637291304772198,0.5786289557086177,0.5802604661476357,0.5645366545549402,0.5708265985733892,0.5870228230235083,0.5887928205878041,0.5562494938243213,0.5711941856831221,0.5640809131766912,0.5671604555526623,0.5876298396120092,0.5738808570328823,0.5853924836010097,0.5747159056854779,0.5803388108827392,0.5726090517294982,0.5801612452571661,0.5689266406566352,0.5804993251708207,0.5794373949145195,0.5782627561448189,0.57960091576028,0.569655645908151,0.570522372426259,0.5708765199817281,0.5747641078990471,0.5713041928467079,0.578690237916518,0.570930588132506,0.5821308299250968,0.5745935925144461,0.5679389484896338,0.5820125622321971,0.5778081770140514,0.5748499839405741,0.5722118410061701,0.5574130687719442,0.5650581634408781,0.5810692640542254,0.5919612236048938,0.5797524829377532,0.584508534869232,0.5854543030879691,0.551183909819721,0.5732415690220193,0.5782488222085406,0.5772086009024345,0.5864486810305992,0.5846066823687763,0.5543319904757288,0.54690464294351,0.5747195857611518,0.5852188287892685,0.5655654897671262,0.5699739892830319,0.5716241773716187,0.5735538396329062,0.5726914037002109,0.5856532107012908,0.5759396918001817,0.5665593432396898,0.5660408204325772,0.579452193698616,0.5732380999103296,0.5824601387107486,0.577298369043514,0.5887650060148796,0.5781945832357147,0.565821927836687,0.5687579931169033,0.5932004813915339,0.5818080225415593,0.5810363825700992,0.5729608614064291,0.5694402905848602,0.56533521727144,0.5835992113691177,0.5705046395649305,0.5812276921085274,0.569501042084705,0.5762956135063775,0.5852264209712597,0.5744448462383506,0.5769474374404052,0.590670319375712,0.5709424838804987,0.5746647494176284,0.5875722495253674,0.5925935066904269,0.5787314414984509,0.5728924913647251,0.5644192272705615,0.5762416889283434,0.5885159593433195,0.5605557620436625,0.5811673158541856,0.5713021365966919
Fscore,0.0003496093617698915,0.00037298949619107835,0.0003672046776250229,0.00039584313715000934,0.00041041646424195844,0.00035715413671058604,0.00039768658025512744,0.0003801079015802661,0.00036269331133564827,0.00035771804101447245,0.00038448067674911376,0.0003956231048718356,0.00041336635123755296,0.0003795454641047387,0.0004224002004626032,0.00033629228348272284,0.000376389192801296,0.00039924833981357094,0.0003567523413366124,0.0004263101610033983,0.00037757126510775307,0.00037998541514007255,0.00036941770796650365,0.0003786519142873412,0.0003682721004139768,0.0003966445890512615,0.0003566236133105123,0.0004048815352523091,0.0004407687681620883,0.00035407740774190486,0.00036040004914403675,0.0004109770536646594,0.0003598655876868954,0.00042338441248985457,0.00034185435434319096,0.0004119534115694703,0.00037359923864143464,0.00039102228630043365,0.0003599825256405573,0.00039500476035175884,0.000396901052836073,0.00041068428817620867,0.00042769109469704844,0.00039125461853417386,0.00038022312127433325,0.0004232923242650396,0.0003444284088512718,0.00037682966005251153,0.0003743633207243868,0.0004144315305340729,0.00040152947040290014,0.00036088028924488136,0.00035838716157320246,0.00033486756802083667,0.0003556961018474887,0.0003978616041151395,0.0003778931545958772,0.0003385123399158692,0.0003279070154909276,0.0004337693117827572,0.0003983352751929514,0.00039355253542763585,0.0003425538748025377,0.00040986504257359486,0.000339896670461419,0.00037300708254798257,0.0003456434666572263,0.00035493018259761264,0.0003722876181647165,0.00037553887541425906,0.0004268402394175126,0.0003724110721917864,0.0003605781684020579,0.00041180707292871047,0.00038858771979564076,0.00036278368749138244,0.000379795549235721,0.0004687052496758906,0.0004013758649889531,0.000373668055418428,0.00039704711190802157,0.0003983965155607864,0.0003993104192078381,0.00036606322003157794,0.00040485329365176474,0.00035857710585242134,0.00036868852385985344,0.00037343776925814146,0.0004175772300924899,0.00044641307654500536,0.0003928634897768338,0.0004187132804696836,0.0004392335079355569,0.00039469748618372545,0.0003687918084456285,0.0004318687315447969,0.0004032572363829587,0.00035050058668990126,0.00036895016185152816,0.00038031612420627814
HR@10,0.0,0.001081081081081081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001081081081081081,0.0,0.0,0.0,0.001081081081081081,0.0,0.0,0.001081081081081081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001081081081081081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001081081081081081,0.0,0.0,0.001081081081081081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002162162162162162,0.001081081081081081,0.001081081081081081,0.0,0.0,0.0,0.001081081081081081,0.0,0.0,0.001081081081081081,0.001081081081081081,0.0,0.0,0.0,0.0,0.0,0.001081081081081081
HR@2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001081081081081081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001081081081081081,0.0,0.0,0.0,0.0,0.001081081081081081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR@5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001081081081081081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001081081081081081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001081081081081081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001081081081081081,0.0,0.0,0.0,0.0,0.001081081081081081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lin's AUC,0.58185710990985,0.5713362042211302,0.5733793575654212,0.5823201189910988,0.5851366927181096,0.5769036000392379,0.5817239978137076,0.5984781418201003,0.592349432992795,0.5637343558374542,0.5724586592389034,0.590396121090211,0.5698981969249729,0.6086314698516445,0.5758122579213443,0.5869780705307367,0.5984321159529045,0.6130870849187843,0.5955358898609235,0.6055559775328354,0.5740690346853925,0.5970442212663175,0.575933015410788,0.5788139272001234,0.5825764842798933,0.5877506340681493,0.5766628895939954,0.5750687318113497,0.594395957872769,0.5761323446960952,0.5889033843088443,0.5854301369245882,0.5857696500064972,0.5769243474743517,0.5783927066985952,0.5894074656386179,0.5902939915351328,0.6078717973329348,0.5721625275585697,0.5955935314687725,0.5671535225590455,0.5892869908503502,0.5979339215266357,0.5764748026534713,0.6009268415416189,0.5832182899345392,0.5770845029590057,0.5926258818892643,0.5770013233699492,0.5973000861970152,0.5941677167155683,0.5717121003007238,0.5784598367194452,0.5650807206779035,0.5700232115292655,0.5949943434786489,0.5826961375393337,0.5797045282046489,0.5754819647960299,0.5933542104303384,0.5900939676168095,0.5740911879450956,0.5924456073410626,0.5954349138625035,0.5761102204710744,0.5824529688859665,0.5736804996787572,0.5908444244813587,0.5861519239456972,0.5906408430747864,0.5988372999371753,0.5891921075248754,0.5693250971976704,0.5973082935336587,0.5940311978983243,0.5911424220909243,0.575325444601455,0.5815605586568485,0.5922655427282207,0.6048321652864218,0.5901391212559076,0.5915643700148822,0.5810057804036397,0.5922929783456082,0.6016077903408614,0.5714401951034254,0.5984334723905523,0.591377688617247,0.5720061642984147,0.5890091703411265,0.5964916248902405,0.6093533461647666,0.6001762978891926,0.5814389814992547,0.5730567854584193,0.5619377241403954,0.5864447355952638,0.5850453195846133,0.5788235962931938,0.5946389042338106
NDCGk,0.20324856789879714,0.2019155964701872,0.1947290089822139,0.199243167490453,0.19601838256471815,0.2008115899755337,0.20200158403697502,0.20138508403940925,0.20447114222252916,0.19709365043762597,0.2016455389332624,0.20061708294842817,0.20146372472192778,0.2060354890563599,0.20437943900531225,0.19183269399474262,0.20176525090853803,0.1951492700544379,0.20135175930106075,0.1978524125578636,0.194401051621687,0.19880625638346122,0.19611065937416214,0.2010856510065155,0.19809188428272664,0.20385498866723328,0.1955078438949931,0.19401882373367071,0.19968394088042182,0.1977973080475091,0.20500055412431187,0.19511814955062418,0.19649886503229164,0.20251797885058648,0.18965520645140202,0.1999501917704171,0.2054406516019171,0.20461419660601288,0.20372825422769397,0.19910603512361802,0.20319227430349004,0.20383514779975626,0.20473391049469544,0.19621117017266665,0.2068421861552259,0.198339031104124,0.19569233736957295,0.20109380838598093,0.2059301965104107,0.2024688362166536,0.20617470316892259,0.20657325270079405,0.19208187375660504,0.19166769122836547,0.2032144568642016,0.20347430477108414,0.19905662606143995,0.19647278512422606,0.19504405994781238,0.20732896370021284,0.2012020504400085,0.21641164093397144,0.19955492431039037,0.19716942925979977,0.20117111464667264,0.19444325965153908,0.19683929873191644,0.20006591526590578,0.20353764834827084,0.2047217237198644,0.20182367754017508,0.20762302748336842,0.19468190676441335,0.1983589633075007,0.19911418876301806,0.20632043568959496,0.20390442523773597,0.1951576318332955,0.20534198490980224,0.19763142512021067,0.2054696788909859,0.20837793189598777,0.20297203382721937,0.195563987147024,0.19654985086193558,0.20612788668372006,0.20360176444714367,0.2013807389493778,0.20043267418948246,0.19815882530471846,0.19711410673654234,0.20526454360395538,0.20260875785641522,0.19938424720903275,0.20083729979982634,0.20023191330326012,0.20161749810846916,0.19958132989531369,0.19729636151048804,0.20087380624723927
global AUC,0.6616629960641474,0.6525999358228941,0.6486658979904327,0.6668813649017581,0.6744860366747565,0.6514039500379515,0.6597839434829637,0.6652081393958773,0.6728614695413281,0.6458126236710562,0.6573361119770381,0.6605202271709394,0.6425907938456328,0.6772677511186664,0.6705760351704269,0.6623038610937448,0.6767028232778716,0.6780557141933791,0.6615568404958684,0.6794895199701194,0.6475729991700447,0.6811881838622607,0.6568724453136128,0.6607211159266183,0.6743813627854006,0.6602502614273287,0.6410560609327873,0.6595748327362726,0.664496194961125,0.6451981753567921,0.6479302100856438,0.6573118761393295,0.6743432408980906,0.6618452828397168,0.6409622191322136,0.6744065165502003,0.6611764132548033,0.6701861504432625,0.6380241047379521,0.6468921553497795,0.6403059250569271,0.6645532235839996,0.6919217112522144,0.6595388505434174,0.6646208591609959,0.6839783655658368,0.6406222657950326,0.6690462817603746,0.6674876168500938,0.6732986673240721,0.6787543079597341,0.6664104939292003,0.6293644931295606,0.6146434584253042,0.6463515329004905,0.6796941984925816,0.6328220700605793,0.6514708800099756,0.6414268174504532,0.6721491901501299,0.6697612938836701,0.6725442374163966,0.6597316060806951,0.6655761284045469,0.6482210556962328,0.6653350942951586,0.6454381048420538,0.6616647422305377,0.6611348878073221,0.6588245248062817,0.6716856543576657,0.6495298650622009,0.6520288149485755,0.6781827972180767,0.6748098590220026,0.6787823976269343,0.6506978234122888,0.6581761818282696,0.6603630804324461,0.6771198888969602,0.6529516089749566,0.6669043213156649,0.6566006244970076,0.6683156804346198,0.6790328041105379,0.6541859024290635,0.6654497903376277,0.6709771683939765,0.6599666585634967,0.6655831643202746,0.685548248771512,0.6920899774464949,0.6870781476954297,0.6542101831106678,0.6514474046881319,0.6472826358601307,0.6856250718560511,0.6386905335336818,0.6659840641725301,0.6679393349032507
global NDCG,0.4965233424146473,0.499243595017883,0.48755357024321366,0.49229662770744687,0.4950234791591905,0.4904805900279642,0.4902161113184514,0.4910988754930729,0.49325016663393784,0.4916557431652685,0.4899261604808533,0.49648027167493847,0.49746142262386,0.4940178193335032,0.49343659880729573,0.49167019445169274,0.4986336503440988,0.4968950683575428,0.49703295332512365,0.4979488477536173,0.4922675129874692,0.5006990735712313,0.48986119978346276,0.490784804312194,0.49301134129747376,0.4907879721169028,0.49021756996412386,0.4935878207596051,0.4964974084030667,0.4884952193733743,0.49010360862682373,0.48741086490285257,0.4948240383728098,0.4914646717702465,0.4871707893761613,0.4934521265365986,0.49146347330241813,0.49310052945808314,0.4872781592181235,0.49011196882997693,0.4872164119074176,0.49265194264600287,0.5014231919339668,0.4903271114949621,0.4935387771383247,0.4925589783488002,0.48978652486003,0.4954122240514823,0.49444953368389327,0.49283313243166127,0.49404370901533656,0.4955881902659568,0.48687986665219535,0.4860132159702122,0.4958156697859917,0.4986479196258412,0.4896805274017652,0.49290774335165816,0.48821103295477725,0.49240739172064907,0.49313211079299124,0.49474679531203913,0.4910855433202611,0.49403323658872167,0.4895363497768864,0.4948717813223132,0.48776522160717384,0.49069141102882274,0.492707747736016,0.4924059749156721,0.4926322371124168,0.49103704011457244,0.49335682073621195,0.49326860837859077,0.49509977310006986,0.4967725526825073,0.4873558550863041,0.4926414018304205,0.49313832518364376,0.49425963781247495,0.49041927163072013,0.49776275303705475,0.49225925530262504,0.49682837022392007,0.5025200435853627,0.49012116744000905,0.49406665949228573,0.4928389416181416,0.4908954804319371,0.500999645484986,0.49692662529892107,0.4947256165057536,0.49683035194928793,0.4909398800500567,0.4908662393789063,0.48723357425724595,0.49691849932498305,0.49392533633648394,0.4903623263736398,0.49795730814626865
