,1_ALSWR,2_ALSWR,3_ALSWR,4_ALSWR,5_ALSWR,6_ALSWR,7_ALSWR,8_ALSWR,9_ALSWR,10_ALSWR,11_ALSWR,12_ALSWR,13_ALSWR,14_ALSWR,15_ALSWR,16_ALSWR,17_ALSWR,18_ALSWR,19_ALSWR,20_ALSWR,21_ALSWR,22_ALSWR,23_ALSWR,24_ALSWR,25_ALSWR,26_ALSWR,27_ALSWR,28_ALSWR,29_ALSWR,30_ALSWR,31_ALSWR,32_ALSWR,33_ALSWR,34_ALSWR,35_ALSWR,36_ALSWR,37_ALSWR,38_ALSWR,39_ALSWR,40_ALSWR,41_ALSWR,42_ALSWR,43_ALSWR,44_ALSWR,45_ALSWR,46_ALSWR,47_ALSWR,48_ALSWR,49_ALSWR,50_ALSWR,51_ALSWR,52_ALSWR,53_ALSWR,54_ALSWR,55_ALSWR,56_ALSWR,57_ALSWR,58_ALSWR,59_ALSWR,60_ALSWR,61_ALSWR,62_ALSWR,63_ALSWR,64_ALSWR,65_ALSWR,66_ALSWR,67_ALSWR,68_ALSWR,69_ALSWR,70_ALSWR,71_ALSWR,72_ALSWR,73_ALSWR,74_ALSWR,75_ALSWR,76_ALSWR,77_ALSWR,78_ALSWR,79_ALSWR,80_ALSWR,81_ALSWR,82_ALSWR,83_ALSWR,84_ALSWR,85_ALSWR,86_ALSWR,87_ALSWR,88_ALSWR,89_ALSWR,90_ALSWR,91_ALSWR,92_ALSWR,93_ALSWR,94_ALSWR,95_ALSWR,96_ALSWR,97_ALSWR,98_ALSWR,99_ALSWR,100_ALSWR
ACC,0.038497652582159626,0.04131455399061033,0.04037558685446009,0.04037558685446009,0.03755868544600939,0.03755868544600939,0.03943661971830986,0.03943661971830986,0.03755868544600939,0.03755868544600939,0.03943661971830986,0.038497652582159626,0.038497652582159626,0.03755868544600939,0.04037558685446009,0.038497652582159626,0.036619718309859155,0.03943661971830986,0.04037558685446009,0.03755868544600939,0.03943661971830986,0.03943661971830986,0.03943661971830986,0.036619718309859155,0.038497652582159626,0.03943661971830986,0.03943661971830986,0.03755868544600939,0.03755868544600939,0.038497652582159626,0.038497652582159626,0.036619718309859155,0.038497652582159626,0.04037558685446009,0.03943661971830986,0.04131455399061033,0.03943661971830986,0.038497652582159626,0.03943661971830986,0.038497652582159626,0.03943661971830986,0.038497652582159626,0.038497652582159626,0.03755868544600939,0.038497652582159626,0.04037558685446009,0.038497652582159626,0.036619718309859155,0.03755868544600939,0.03755868544600939,0.03943661971830986,0.03755868544600939,0.04037558685446009,0.036619718309859155,0.038497652582159626,0.04037558685446009,0.03755868544600939,0.03755868544600939,0.04037558685446009,0.03755868544600939,0.03755868544600939,0.038497652582159626,0.03943661971830986,0.03943661971830986,0.04225352112676056,0.04037558685446009,0.03943661971830986,0.03755868544600939,0.036619718309859155,0.03943661971830986,0.04037558685446009,0.038497652582159626,0.03943661971830986,0.03943661971830986,0.038497652582159626,0.03755868544600939,0.03568075117370892,0.036619718309859155,0.036619718309859155,0.03755868544600939,0.03755868544600939,0.038497652582159626,0.03943661971830986,0.038497652582159626,0.03755868544600939,0.03755868544600939,0.03943661971830986,0.04131455399061033,0.038497652582159626,0.04037558685446009,0.03755868544600939,0.04037558685446009,0.03755868544600939,0.036619718309859155,0.03755868544600939,0.03943661971830986,0.036619718309859155,0.03943661971830986,0.03943661971830986,0.04037558685446009
AUC,0.49178746080402275,0.49273279886466115,0.4924356426139627,0.49240872176130307,0.49198746416200523,0.4925104024293809,0.49071339655277174,0.49319494353575277,0.4925107124077425,0.49234055029626345,0.49140849788093877,0.4910496393685893,0.4913528425358791,0.49181246210966506,0.4919854803158505,0.49219373756463947,0.4918368704026163,0.49255368606676103,0.49163071912998135,0.4919318886597999,0.49218922652964076,0.4920986566541138,0.49162596760364907,0.4907647796040936,0.4927781731781812,0.49244988546231966,0.49062819296231436,0.4910299678409003,0.4913387464503265,0.4914566993658285,0.49177163801638696,0.4908770073865032,0.4926918605761935,0.4914813278895601,0.49211875731760835,0.49370007258484394,0.4923123569383697,0.4921177579472391,0.49297633418567544,0.49276151672267604,0.49276957298219803,0.4928327540148259,0.49232766149729457,0.4923674193937808,0.4926785141578936,0.4909791578385883,0.4918701431840179,0.4920434808706796,0.4904480956315669,0.49043167721394215,0.4929817489590775,0.49230352742794664,0.4928036596766182,0.49110391973350037,0.49285451300910005,0.49132890354323866,0.4906714123784816,0.49133219326941274,0.4930932022140852,0.49069768886034726,0.49286954728613025,0.4904839062221794,0.49168165235537675,0.49391450678499776,0.4930340747365461,0.4900800241316308,0.49328583848956525,0.49105560344586463,0.49216421588593146,0.49262129678924277,0.49255850407560514,0.4911468744913766,0.491917112011518,0.49263161084535834,0.4906677036468154,0.490986159643487,0.49026415021754577,0.49163686581621724,0.49148754931742666,0.49168034923790815,0.4917962739167399,0.4903953585817518,0.49164169043776196,0.492190316058312,0.4903100572124392,0.4930127186654345,0.4922531986800805,0.4933051625777754,0.4910507070544669,0.492247998409149,0.49233670870041346,0.4926572756299235,0.4919197054411522,0.49166719794088914,0.49146845455713944,0.4916577743918769,0.49062756802131424,0.4923633687478604,0.4913096075354884,0.4917029960289113
Fscore,4.676639600614979e-06,1.3679170831798811e-05,1.7431111238655826e-05,1.6535261445031528e-05,4.2089756405534806e-06,6.01282234364783e-06,1.05224391013837e-05,1.3528850273207616e-05,1.05224391013837e-05,1.2100804966591257e-05,1.3904651669685604e-05,4.676639600614979e-06,0.0,4.676639600614979e-06,1.3153048876729625e-05,1.2100804966591257e-05,7.014959400922466e-06,2.338319800307489e-06,1.2276178951614316e-05,5.26121955069185e-06,1.05224391013837e-05,2.630609775345925e-06,6.01282234364783e-06,7.891829326037775e-06,2.630609775345925e-06,1.232628580447805e-05,5.26121955069185e-06,3.826341491412254e-06,0.0,6.01282234364783e-06,7.014959400922466e-06,0.0,5.26121955069185e-06,1.4280453066163595e-05,2.10448782027674e-06,1.929113835253678e-05,1.275447163804085e-05,6.01282234364783e-06,1.528259012343823e-05,1.578365865207555e-05,1.5432910682029428e-05,2.630609775345925e-06,1.7537398502306164e-05,1.3679170831798811e-05,1.002137057274638e-05,9.948487877671863e-06,1.578365865207555e-05,6.01282234364783e-06,0.0,6.313463460830222e-06,2.10448782027674e-05,1.4280453066163595e-05,1.05224391013837e-05,7.891829326037775e-06,1.4029918801844932e-05,9.565853728530637e-06,5.26121955069185e-06,4.2089756405534806e-06,1.1399309026499008e-05,0.0,1.002137057274638e-05,0.0,1.5032055859119574e-05,1.1691599001537445e-05,1.596131022131969e-05,0.0,2.0243168556947692e-05,0.0,1.3904651669685604e-05,1.4029918801844932e-05,1.578365865207555e-05,1.05224391013837e-05,8.267630722515764e-06,1.5209707428363713e-05,5.739512237118381e-06,7.014959400922466e-06,5.26121955069185e-06,0.0,7.891829326037775e-06,0.0,7.014959400922466e-06,0.0,5.26121955069185e-06,1.653526144503153e-05,0.0,1.05224391013837e-05,6.01282234364783e-06,1.3153048876729625e-05,7.891829326037775e-06,1.002137057274638e-05,3.0064111718239146e-06,1.5432910682029428e-05,7.014959400922466e-06,0.0,5.26121955069185e-06,1.05224391013837e-05,0.0,1.202564468729566e-05,7.014959400922466e-06,1.6034192916394213e-05
HR@10,0.0,0.0,0.0009737098344693282,0.0019474196689386564,0.0019474196689386564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009737098344693282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009737098344693282,0.0,0.0,0.0,0.0,0.0,0.0009737098344693282,0.0,0.0,0.0009737098344693282,0.0009737098344693282,0.0,0.0,0.0,0.0009737098344693282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009737098344693282,0.0,0.0009737098344693282,0.0,0.0,0.0009737098344693282,0.0009737098344693282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009737098344693282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009737098344693282,0.0009737098344693282,0.0,0.0009737098344693282,0.0,0.0009737098344693282
HR@2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009737098344693282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009737098344693282,0.0,0.0,0.0,0.0009737098344693282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009737098344693282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009737098344693282,0.0,0.0,0.0,0.0,0.0
HR@5,0.0,0.0,0.0009737098344693282,0.0009737098344693282,0.0009737098344693282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009737098344693282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009737098344693282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009737098344693282,0.0,0.0,0.0,0.0009737098344693282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009737098344693282,0.0,0.0009737098344693282,0.0,0.0,0.0009737098344693282,0.0009737098344693282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009737098344693282,0.0009737098344693282,0.0,0.0009737098344693282,0.0,0.0009737098344693282
Lin's AUC,0.023722342286714007,0.024656846446750744,0.0234198373408006,0.02742355334281855,0.02104172199108908,0.01594079944959846,0.021503789767914495,0.024531212329915633,0.01837717906257579,0.019084070452548375,0.025439232733922457,0.0190260652695046,0.02413618156054093,0.013001928348485929,0.023447402396923854,0.020449739876260406,0.017065106859796578,0.02638549985570671,0.023499635848354593,0.01728658806460597,0.023713143139663672,0.023322534725745594,0.023950976984320613,0.015918626500596247,0.0218217963471128,0.027912669814491364,0.02088108685592477,0.019828258599484287,0.019121208882709347,0.0210131422040962,0.02059185257471766,0.01685679736544201,0.023326059296266147,0.022270818355257994,0.025904738721194417,0.029726369904665675,0.01822516554146687,0.01799402820088217,0.019091997587675266,0.015311578151189142,0.01791138340922225,0.022259735479093302,0.017539740027390536,0.02084543993620869,0.019548921542592426,0.020805001831553236,0.018661701322244702,0.016591132187766953,0.01907386017296483,0.01989511209177773,0.019956476321866874,0.016267515802094377,0.02826262962107359,0.01659202817353481,0.023348707225675426,0.027057820228551934,0.018719317884955428,0.012571302835273196,0.021448440157146545,0.01882227528568992,0.020701929284053396,0.019637338065865387,0.020648378841494,0.025912032549111896,0.02879731722430086,0.0280224298702224,0.015763923223015532,0.020431305598795566,0.013270844623113842,0.02075218724879114,0.0199224288626882,0.018603622373304374,0.0225576111652061,0.022313867052984063,0.018418003988396082,0.020127474665912456,0.013289746684312908,0.017306837702793246,0.015087009573733871,0.018268120682446095,0.015270573308547992,0.020352347302794973,0.023184311828955237,0.01641400407763483,0.02248173484434676,0.017847027162402277,0.0257575217825295,0.026754052266556128,0.020158540903369552,0.02699350536260076,0.020270868372134196,0.023553623488788665,0.021510660791302965,0.02006088924968209,0.017545218494585582,0.02408017525337686,0.01660377674193667,0.02186994388754191,0.026997699223694903,0.025557369716832513
NDCGk,0.18098735783669165,0.1817585920078621,0.18276922541948337,0.1820563377892944,0.18122417427292128,0.1810059572376103,0.1810902740151874,0.18274633674593732,0.18060045932249677,0.1819519353468184,0.18200771905874563,0.1807473640619167,0.17947305119636836,0.1815395509159181,0.18264632418716695,0.182810320284834,0.18070779317973748,0.17980632878888714,0.18131743620156154,0.18091461255998587,0.1833522429865328,0.18136122659398693,0.18113005705182714,0.17999986651047584,0.18082096895236785,0.1813974171597037,0.18006277639320864,0.17947790126531527,0.1799709607975555,0.18209666515533107,0.18199983993705812,0.18020901515964888,0.18093807041052723,0.18232800556359846,0.18130816570459612,0.1843489197229648,0.18274416551798747,0.18167168114120774,0.18261096030731358,0.18373877548770984,0.18288954829369888,0.18063561874440845,0.18165086027820748,0.18420718976324235,0.18228693436646537,0.18052979852610848,0.18254982048102103,0.18178035290249211,0.1804353848428475,0.18095797224447926,0.1823302058100445,0.1829648353454578,0.18208129303368903,0.18011210834714364,0.1833957952054677,0.18024203808224876,0.180754110629786,0.1809793206214941,0.1822709074979887,0.17931364708004316,0.18360661638096232,0.17948257743304386,0.18127995109533332,0.18268893494548888,0.18308687975118026,0.17879989687853187,0.183120820615104,0.17971903666930422,0.18171404088419743,0.18305924315377484,0.18291860164740792,0.18060035955584905,0.18179991354475136,0.18178275618994827,0.18212378388275166,0.17973248545496612,0.18053378565516437,0.17967663199630748,0.18122043579784383,0.1796930183206074,0.1810036400257208,0.17987188586354175,0.18086856742158336,0.18216770329205562,0.18010643264471365,0.18162508920459414,0.18127682674624046,0.18267383505993937,0.17992171930466416,0.18274530536226627,0.18064464619987894,0.18250798369017934,0.18184548984770701,0.18063240725378396,0.1809317935850499,0.18104202290038504,0.1809144967672604,0.18118431803058585,0.18079930396993976,0.18247850288252998
global AUC,0.09878232040276771,0.10177544277027256,0.10115791427578387,0.10111741684710228,0.09871057443399901,0.09860969646522663,0.09922639318213232,0.10033093033668937,0.09802694847420877,0.09855166493427622,0.10031524774329202,0.09935011947932658,0.09875498632834222,0.09791793161537056,0.10113273466192638,0.09881352813711611,0.098012087766094,0.10029855572308563,0.10035726116699345,0.09798105809315089,0.10032024912544828,0.09956244863716751,0.10022834388522057,0.0979624721096176,0.09947848608971649,0.10036952844371475,0.09950417350832239,0.09866799426392657,0.09794373403196735,0.09879551755571651,0.09963545875947777,0.09720430066007581,0.09879472699605145,0.10032883893953579,0.10029803225552847,0.1011535262162457,0.09957553697481311,0.09875293944654003,0.1002685956551116,0.0987512107670639,0.10030021309556378,0.0987552179730408,0.09948206916331832,0.09875303259903447,0.0995197963357388,0.10034350674779477,0.09950847171279957,0.0979912413919439,0.09861605968738991,0.09875711399726354,0.0996268582287316,0.09875330216421743,0.10033832606769569,0.09799595177559992,0.09955887421932842,0.10041192189661914,0.09795445604894713,0.09790599861596332,0.1003330538838189,0.09787137968673063,0.09879262735531434,0.09856689495493516,0.09926339285830209,0.10026293561062749,0.10190944139696245,0.10033857213866548,0.0995012243662976,0.09869309061758996,0.09788316883560445,0.09943384502374973,0.100380279313237,0.09867374663654678,0.10025983519884407,0.10037924804093155,0.09871186331829127,0.09873836066898366,0.09703949122758684,0.09719249914582666,0.09798011337847295,0.09792030865269505,0.0978984330671353,0.0987702674592194,0.09947213275985348,0.09943607079131561,0.09875060074187918,0.09880415765566387,0.10037640688985162,0.10112899496023654,0.0988141464058844,0.10036824739082684,0.0984881126754041,0.10036920282216348,0.09874634870146999,0.09799343995568391,0.09865453867463261,0.10035702540050316,0.09715807517734561,0.1002060083076972,0.09959674112049051,0.10106318437164345
global NDCG,0.40683579267081577,0.407647927042422,0.4101322239318148,0.4137239845832678,0.4121820828570586,0.40721043267755774,0.40802880141760234,0.4076254665740812,0.406576053579319,0.40605305343652204,0.4085031930420845,0.40724645394912545,0.4064946266057774,0.4060933737000245,0.41025031856401467,0.40609854736748024,0.40616142719498716,0.4073490153124085,0.40777360178423505,0.40571548886537145,0.40818516240385466,0.40822105730637104,0.40749905714638146,0.4061023746943846,0.41406737254478787,0.40775412943524947,0.40624439067524604,0.40720753068993515,0.4060433433750591,0.4067590783380516,0.4088791974678533,0.4052177038613242,0.4067793037343868,0.409213721062201,0.4138409338587541,0.40845662919910497,0.40756356466570653,0.4060543322896055,0.41502263676250783,0.4074605031119576,0.4072648180147946,0.4065030379225411,0.4066459721735441,0.4059519665514963,0.40710991773503713,0.4082312093219351,0.40732613458588307,0.4062517651090557,0.4060624943843549,0.4062039963676645,0.4066583491477367,0.4065593943380252,0.40758399145143565,0.4056773109269742,0.406984205843385,0.40697566198866947,0.4056176129458961,0.40653752075126554,0.4083821215483091,0.4060976967254647,0.4059816996971681,0.4061831162107049,0.40656411176428864,0.40786883832146253,0.4093956874472529,0.40848538561354897,0.4063769792970938,0.4093466247971105,0.40555959643662115,0.4108880481241553,0.40628271858556664,0.40685072165810887,0.41073595785842726,0.4136223746534626,0.40617031617326804,0.4065032663477658,0.40538818324612375,0.40553119413526195,0.4070511520429712,0.4076292592393802,0.4060738577998227,0.4059532512568195,0.4081784847693579,0.40732388242462436,0.40641791331921456,0.40570879227070866,0.40805188369834666,0.40907593670977793,0.40673349161746153,0.4074225070439838,0.4071244622888524,0.40776717374979915,0.4064209941631343,0.4066276401077046,0.41344612441790335,0.4101599348224311,0.4053876394402919,0.4112628152802031,0.4070760029844765,0.41042521102304913
