,1_BNNR,2_BNNR,3_BNNR,4_BNNR,5_BNNR,6_BNNR,7_BNNR,8_BNNR,9_BNNR,10_BNNR,11_BNNR,12_BNNR,13_BNNR,14_BNNR,15_BNNR,16_BNNR,17_BNNR,18_BNNR,19_BNNR,20_BNNR,21_BNNR,22_BNNR,23_BNNR,24_BNNR,25_BNNR,26_BNNR,27_BNNR,28_BNNR,29_BNNR,30_BNNR,31_BNNR,32_BNNR,33_BNNR,34_BNNR,35_BNNR,36_BNNR,37_BNNR,38_BNNR,39_BNNR,40_BNNR,41_BNNR,42_BNNR,43_BNNR,44_BNNR,45_BNNR,46_BNNR,47_BNNR,48_BNNR,49_BNNR,50_BNNR,51_BNNR,52_BNNR,53_BNNR,54_BNNR,55_BNNR,56_BNNR,57_BNNR,58_BNNR,59_BNNR,60_BNNR,61_BNNR,62_BNNR,63_BNNR,64_BNNR,65_BNNR,66_BNNR,67_BNNR,68_BNNR,69_BNNR,70_BNNR,71_BNNR,72_BNNR,73_BNNR,74_BNNR,75_BNNR,76_BNNR,77_BNNR,78_BNNR,79_BNNR,80_BNNR,81_BNNR,82_BNNR,83_BNNR,84_BNNR,85_BNNR,86_BNNR,87_BNNR,88_BNNR,89_BNNR,90_BNNR,91_BNNR,92_BNNR,93_BNNR,94_BNNR,95_BNNR,96_BNNR,97_BNNR,98_BNNR,99_BNNR,100_BNNR
ACC,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291
AUC,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Fscore,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.0004207282881622,0.0004207282881622,0.0004207282881622,0.0004207282881622,0.0004207282881622,0.0004207282881622,0.0004207282881622,0.0004207282881622,0.0004207282881622,0.0004207282881622,0.0004207282881622,0.0004207282881622,0.0004207282881622,0.0004207282881622,0.0004207282881622,0.0004207282881622,0.0004207282881622,0.0004207282881622,0.0004207282881622,0.0004207282881622,0.0004207282881622,0.0004207282881622,0.0004207282881622,0.0004207282881622,0.0004207282881622,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495
HR@10,0.0038948393378773127,0.0038948393378773127,0.0029211295034079843,0.0038948393378773127,0.0038948393378773127,0.004868549172346641,0.005842259006815969,0.0038948393378773127,0.0038948393378773127,0.004868549172346641,0.004868549172346641,0.004868549172346641,0.006815968841285297,0.005842259006815969,0.004868549172346641,0.004868549172346641,0.005842259006815969,0.004868549172346641,0.005842259006815969,0.0038948393378773127,0.005842259006815969,0.007789678675754625,0.0038948393378773127,0.005842259006815969,0.005842259006815969,0.004868549172346641,0.004868549172346641,0.0038948393378773127,0.004868549172346641,0.005842259006815969,0.004868549172346641,0.0019474196689386564,0.004868549172346641,0.0048685491723466,0.0038948393378773,0.0038948393378773,0.0048685491723466,0.0048685491723466,0.0048685491723466,0.0029211295034079,0.0058422590068159,0.0068159688412852,0.0048685491723466,0.0038948393378773,0.0068159688412852,0.0058422590068159,0.0058422590068159,0.0077896786757546,0.0048685491723466,0.0048685491723466,0.0048685491723466,0.0058422590068159,0.0048685491723466,0.0048685491723466,0.0048685491723466,0.0058422590068159,0.0068159688412852,0.0058422590068159,0.006815968841285297,0.004868549172346641,0.006815968841285297,0.005842259006815969,0.006815968841285297,0.006815968841285297,0.007789678675754625,0.0029211295034079843,0.0029211295034079843,0.005842259006815969,0.004868549172346641,0.004868549172346641,0.005842259006815969,0.004868549172346641,0.005842259006815969,0.004868549172346641,0.004868549172346641,0.005842259006815969,0.004868549172346641,0.005842259006815969,0.007789678675754625,0.004868549172346641,0.007789678675754625,0.0038948393378773127,0.006815968841285297,0.006815968841285297,0.005842259006815969,0.004868549172346641,0.004868549172346641,0.006815968841285297,0.005842259006815969,0.004868549172346641,0.005842259006815969,0.0029211295034079843,0.006815968841285297,0.004868549172346641,0.0029211295034079843,0.005842259006815969,0.004868549172346641,0.005842259006815969,0.005842259006815969,0.004868549172346641
HR@2,0.0009737098344693282,0.0019474196689386564,0.0009737098344693282,0.0019474196689386564,0.0009737098344693282,0.0009737098344693282,0.0009737098344693282,0.0019474196689386564,0.0009737098344693282,0.0019474196689386564,0.0009737098344693282,0.0009737098344693282,0.0019474196689386564,0.0009737098344693282,0.0019474196689386564,0.0019474196689386564,0.0019474196689386564,0.0019474196689386564,0.0019474196689386564,0.0009737098344693282,0.0019474196689386564,0.0019474196689386564,0.0009737098344693282,0.0009737098344693282,0.0019474196689386564,0.0009737098344693282,0.0019474196689386564,0.0019474196689386564,0.0019474196689386564,0.0009737098344693282,0.0009737098344693282,0.0009737098344693282,0.0009737098344693282,0.0019474196689386,0.0,0.0019474196689386,0.0009737098344693,0.0019474196689386,0.0019474196689386,0.0009737098344693,0.0019474196689386,0.0019474196689386,0.0019474196689386,0.0009737098344693,0.0019474196689386,0.0019474196689386,0.0009737098344693,0.0019474196689386,0.0019474196689386,0.0009737098344693,0.0019474196689386,0.0019474196689386,0.0009737098344693,0.0019474196689386,0.0019474196689386,0.0009737098344693,0.0019474196689386,0.0019474196689386,0.0019474196689386564,0.0019474196689386564,0.0019474196689386564,0.0019474196689386564,0.0019474196689386564,0.0019474196689386564,0.0019474196689386564,0.0019474196689386564,0.0009737098344693282,0.0009737098344693282,0.0009737098344693282,0.0019474196689386564,0.0009737098344693282,0.0019474196689386564,0.0009737098344693282,0.0019474196689386564,0.0019474196689386564,0.0019474196689386564,0.0019474196689386564,0.0019474196689386564,0.0019474196689386564,0.0009737098344693282,0.0019474196689386564,0.0009737098344693282,0.0019474196689386564,0.0019474196689386564,0.0019474196689386564,0.0019474196689386564,0.0019474196689386564,0.0019474196689386564,0.0009737098344693282,0.0019474196689386564,0.0019474196689386564,0.0009737098344693282,0.0019474196689386564,0.0009737098344693282,0.0019474196689386564,0.0019474196689386564,0.0019474196689386564,0.0019474196689386564,0.0019474196689386564,0.0019474196689386564
HR@5,0.0029211295034079843,0.0029211295034079843,0.0029211295034079843,0.0029211295034079843,0.0029211295034079843,0.0029211295034079843,0.0038948393378773127,0.0029211295034079843,0.0019474196689386564,0.0038948393378773127,0.0029211295034079843,0.0029211295034079843,0.004868549172346641,0.0038948393378773127,0.0038948393378773127,0.0019474196689386564,0.0038948393378773127,0.0029211295034079843,0.0029211295034079843,0.0019474196689386564,0.0038948393378773127,0.0038948393378773127,0.0019474196689386564,0.0019474196689386564,0.0029211295034079843,0.0029211295034079843,0.0038948393378773127,0.0029211295034079843,0.0038948393378773127,0.0038948393378773127,0.0029211295034079843,0.0009737098344693282,0.0029211295034079843,0.0038948393378773,0.0019474196689386,0.0038948393378773,0.0029211295034079,0.0029211295034079,0.0029211295034079,0.0029211295034079,0.0038948393378773,0.0038948393378773,0.0029211295034079,0.0029211295034079,0.0038948393378773,0.0038948393378773,0.0038948393378773,0.0048685491723466,0.0038948393378773,0.0029211295034079,0.0038948393378773,0.0029211295034079,0.0029211295034079,0.0038948393378773,0.0038948393378773,0.0038948393378773,0.0038948393378773,0.0029211295034079,0.0029211295034079843,0.0019474196689386564,0.0038948393378773127,0.0038948393378773127,0.0029211295034079843,0.0038948393378773127,0.004868549172346641,0.0019474196689386564,0.0029211295034079843,0.0038948393378773127,0.0029211295034079843,0.0038948393378773127,0.0038948393378773127,0.0038948393378773127,0.0019474196689386564,0.0038948393378773127,0.0038948393378773127,0.0019474196689386564,0.0029211295034079843,0.0029211295034079843,0.004868549172346641,0.0029211295034079843,0.0038948393378773127,0.0029211295034079843,0.004868549172346641,0.004868549172346641,0.004868549172346641,0.0029211295034079843,0.0038948393378773127,0.0038948393378773127,0.0029211295034079843,0.0038948393378773127,0.0038948393378773127,0.0019474196689386564,0.0038948393378773127,0.0029211295034079843,0.0029211295034079843,0.0038948393378773127,0.0038948393378773127,0.0038948393378773127,0.0038948393378773127,0.0038948393378773127
Lin's AUC,0.7263852731013634,0.7177249699729352,0.7200911877646416,0.717936386130321,0.7222567445963578,0.7033421100853429,0.7205781157779613,0.7146242003475046,0.7167983351923943,0.7176383645449305,0.7232386463876254,0.722692268491714,0.7189063056322978,0.7117428804501452,0.7072556034512467,0.7289619069428888,0.7240218566242175,0.7317401754766358,0.726956941431504,0.7321457838308763,0.7356551976089417,0.7219576851378631,0.7084716763587017,0.7153806580589901,0.7159785859879172,0.7300529335940193,0.7402389684133375,0.7356065444816028,0.7274274127723981,0.7212644267224513,0.7166079494065258,0.714840460122699,0.7323667711759891,0.7222940493151291,0.7355239647939872,0.7275432182954472,0.7320335919576507,0.7283687242816783,0.7292097710040846,0.7313417216000327,0.7264246826186408,0.7103709553904657,0.7267919404474558,0.7109976720523491,0.7186007228958835,0.7132004194853493,0.7175073400326824,0.7281605174925084,0.7266901838538875,0.7204912357609093,0.7170462149573036,0.733757636783535,0.7103353789175952,0.7280016627476538,0.7324829453511338,0.7185175133395967,0.7160376698936864,0.7227061454321589,0.7074890582272148,0.722243493153628,0.7137228394084474,0.7314440296821396,0.7298431321809669,0.7231051671890134,0.7152338450355994,0.7149657261090231,0.7222728665402166,0.7293966876327196,0.723021086980785,0.7194063392333458,0.7407294362167914,0.7290145841769369,0.7242484937581447,0.7346531110016369,0.7285092732462118,0.7308494840192175,0.7251393377651255,0.7149548974801492,0.717941887381044,0.7229579922233772,0.7210643372596848,0.7274526854280429,0.7147884931450368,0.7056600210068047,0.7288892441760365,0.7259025522732535,0.7245429341186657,0.7245387908608284,0.7385091792891649,0.7213167305445203,0.7133697620327238,0.7225135825859033,0.7122808884291915,0.7232416160695863,0.7260214851454332,0.7382575822927404,0.730572799380493,0.7103019437799555,0.7185830026605302,0.7058124354540085
NDCGk,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072
global AUC,0.9425058451809449,0.9417939886570155,0.9409887043029712,0.940985426654141,0.9428030552214476,0.9386091320765206,0.9429065616568434,0.9424683772692279,0.940456888468727,0.9407755375970388,0.9421494680558543,0.94287084385792,0.9408322122341324,0.9392680021426494,0.9409941887591251,0.9422393647469435,0.9428738049531408,0.942225207628687,0.943913230574992,0.9417918078169799,0.9432853848234775,0.940322235301501,0.9398440402688144,0.9415508878503972,0.9408522523858088,0.942729763580758,0.9426502781235477,0.9427222029780802,0.941641380552579,0.9404149925160915,0.941529668041911,0.9409596625702078,0.9427393249011702,0.9416083802509816,0.9424773363958598,0.9424356345796177,0.9432434183882024,0.9416149149396834,0.943150031776006,0.941386368179871,0.9420539245100148,0.9409181161455158,0.9419992143188878,0.9397096158610329,0.9418961810651892,0.939591614732633,0.9404964279929968,0.9434776301386492,0.9433245171147188,0.9403481778590188,0.9410090622447944,0.9418002047312116,0.9405886621522092,0.9415263763789888,0.9420205800388032,0.9421761677865236,0.9422603310652348,0.9416334081829014,0.9393080886286895,0.9426098548871183,0.9407424865974026,0.9417361459041288,0.9416469478567479,0.9407811795056391,0.9409413976742547,0.9406586856241896,0.9420607930638515,0.9425360323596467,0.9413809731665986,0.9422640241906773,0.9444889414308892,0.9411405300913259,0.9414120877484528,0.9418749274580104,0.9413750390229607,0.9426984359022685,0.9421437095005465,0.9414796484498392,0.9412313558342844,0.9414008439126326,0.9422431262941298,0.9421680528028502,0.941251634225526,0.941845568759458,0.940531421180924,0.9423773821206273,0.9414570169276655,0.940020103841603,0.9433371446360422,0.9415197312262671,0.9393402777616627,0.9410661218572413,0.9398101513089075,0.9413640000401925,0.942137527637222,0.9436469249049624,0.942587609164656,0.940278090911445,0.9413576244526538,0.9396080697498115
global NDCG,0.6073087921095083,0.6112787027129238,0.6042179462749977,0.6138176233895749,0.6112872826361022,0.6060738218037377,0.6118640551656991,0.6098037882377507,0.6066074094115921,0.6116374977970982,0.6073499338114555,0.6104453451283568,0.6169916883467419,0.6064383335776253,0.6120470690421544,0.6141903727748773,0.6163482646128965,0.6120108107250601,0.6192763516105876,0.6043620444832506,0.615827895254956,0.6146152492145129,0.6034650089280864,0.604952173578391,0.6135139073856097,0.6072424414785808,0.6149641566497817,0.6168832688328771,0.6109089874841722,0.6126729916920391,0.60677183968481,0.6036681549592496,0.6103968958410932,0.6121406666919333,0.6034361737173372,0.6102976821221293,0.6090052612205099,0.6111167881731554,0.6150432756010684,0.6053088909965758,0.6164899303527922,0.613837806392014,0.6178722039645321,0.6087182699520046,0.6144759369502595,0.6159739071475347,0.6119027320980382,0.622156959637663,0.6208127010159964,0.6088560230433506,0.6169393035884322,0.6136718981962055,0.608093895953117,0.6131594545949399,0.6171846926045443,0.6106586202622284,0.6182394065218975,0.6158715243239251,0.6162933167516421,0.6097699858753004,0.6143344492546935,0.6170650779834492,0.6144728740369217,0.6142116355752584,0.6194431624538759,0.6052446312845124,0.6053174624683257,0.6120927662453866,0.6086703783589382,0.6119240227533154,0.6129708521456328,0.6123956695204847,0.6124284826313654,0.6173675950852334,0.6139603156736019,0.6150790932747192,0.6157157741084719,0.6153827468834917,0.6186387461076832,0.6049578606881018,0.616819775206827,0.6094132891179157,0.6187816364819589,0.6194830194169618,0.6156746909702235,0.6136363728622332,0.6166400425853823,0.6178852967525718,0.6071834833968454,0.6155268689694864,0.6110940341357809,0.601979396526799,0.61109973415857,0.6096044390975651,0.6123538017256412,0.6184871720531911,0.6170994051505071,0.6134863736361508,0.6104119936232226,0.6150248508487909
