,1_FastaiCollabWrapper,2_FastaiCollabWrapper,3_FastaiCollabWrapper,4_FastaiCollabWrapper,5_FastaiCollabWrapper,6_FastaiCollabWrapper,7_FastaiCollabWrapper,8_FastaiCollabWrapper,9_FastaiCollabWrapper,10_FastaiCollabWrapper,11_FastaiCollabWrapper,12_FastaiCollabWrapper,13_FastaiCollabWrapper,14_FastaiCollabWrapper,15_FastaiCollabWrapper,16_FastaiCollabWrapper,17_FastaiCollabWrapper,18_FastaiCollabWrapper,19_FastaiCollabWrapper,20_FastaiCollabWrapper,21_FastaiCollabWrapper,22_FastaiCollabWrapper,23_FastaiCollabWrapper,24_FastaiCollabWrapper,25_FastaiCollabWrapper,26_FastaiCollabWrapper,27_FastaiCollabWrapper,28_FastaiCollabWrapper,29_FastaiCollabWrapper,30_FastaiCollabWrapper,31_FastaiCollabWrapper,32_FastaiCollabWrapper,33_FastaiCollabWrapper,34_FastaiCollabWrapper,35_FastaiCollabWrapper,36_FastaiCollabWrapper,37_FastaiCollabWrapper,38_FastaiCollabWrapper,39_FastaiCollabWrapper,40_FastaiCollabWrapper,41_FastaiCollabWrapper,42_FastaiCollabWrapper,43_FastaiCollabWrapper,44_FastaiCollabWrapper,45_FastaiCollabWrapper,46_FastaiCollabWrapper,47_FastaiCollabWrapper,48_FastaiCollabWrapper,49_FastaiCollabWrapper,50_FastaiCollabWrapper,51_FastaiCollabWrapper,52_FastaiCollabWrapper,53_FastaiCollabWrapper,54_FastaiCollabWrapper,55_FastaiCollabWrapper,56_FastaiCollabWrapper,57_FastaiCollabWrapper,58_FastaiCollabWrapper,59_FastaiCollabWrapper,60_FastaiCollabWrapper,61_FastaiCollabWrapper,62_FastaiCollabWrapper,63_FastaiCollabWrapper,64_FastaiCollabWrapper,65_FastaiCollabWrapper,66_FastaiCollabWrapper,67_FastaiCollabWrapper,68_FastaiCollabWrapper,69_FastaiCollabWrapper,70_FastaiCollabWrapper,71_FastaiCollabWrapper,72_FastaiCollabWrapper,73_FastaiCollabWrapper,74_FastaiCollabWrapper,75_FastaiCollabWrapper,76_FastaiCollabWrapper,77_FastaiCollabWrapper,78_FastaiCollabWrapper,79_FastaiCollabWrapper,80_FastaiCollabWrapper,81_FastaiCollabWrapper,82_FastaiCollabWrapper,83_FastaiCollabWrapper,84_FastaiCollabWrapper,85_FastaiCollabWrapper,86_FastaiCollabWrapper,87_FastaiCollabWrapper,88_FastaiCollabWrapper,89_FastaiCollabWrapper,90_FastaiCollabWrapper,91_FastaiCollabWrapper,92_FastaiCollabWrapper,93_FastaiCollabWrapper,94_FastaiCollabWrapper,95_FastaiCollabWrapper,96_FastaiCollabWrapper,97_FastaiCollabWrapper,98_FastaiCollabWrapper,99_FastaiCollabWrapper,100_FastaiCollabWrapper
ACC,0.9492957746478873,0.952112676056338,0.955868544600939,0.9539906103286385,0.9530516431924883,0.9427230046948357,0.9596244131455399,0.9511737089201878,0.9577464788732394,0.8056338028169014,0.9652582159624413,0.9615023474178404,0.9389671361502347,0.9483568075117371,0.9568075117370892,0.9530516431924883,0.9633802816901409,0.9549295774647887,0.964319248826291,0.9615023474178404,0.9549295774647887,0.9605633802816902,0.9511737089201878,0.9502347417840376,0.9624413145539906,0.9633802816901409,0.9568075117370892,0.9605633802816902,0.9474178403755869,0.9568075117370892,0.9624413145539906,0.9530516431924883,0.952112676056338,0.936150234741784,0.9577464788732394,0.9615023474178404,0.955868544600939,0.952112676056338,0.952112676056338,0.9549295774647887,0.964319248826291,0.9492957746478873,0.9615023474178404,0.9605633802816902,0.9483568075117371,0.9417840375586854,0.9539906103286385,0.955868544600939,0.9615023474178404,0.9464788732394366,0.9624413145539906,0.9530516431924883,0.9408450704225352,0.9408450704225352,0.955868544600939,0.9446009389671362,0.9596244131455399,0.9615023474178404,0.9624413145539906,0.9615023474178404,0.9633802816901409,0.9596244131455399,0.9577464788732394,0.955868544600939,0.9577464788732394,0.952112676056338,0.9624413145539906,0.9605633802816902,0.9605633802816902,0.9446009389671362,0.9615023474178404,0.9586854460093897,0.9549295774647887,0.9539906103286385,0.9615023474178404,0.9586854460093897,0.9464788732394366,0.9549295774647887,0.955868544600939,0.9427230046948357,0.9502347417840376,0.9652582159624413,0.9615023474178404,0.9577464788732394,0.9539906103286385,0.9483568075117371,0.9671361502347418,0.9661971830985916,0.9408450704225352,0.9539906103286385,0.9671361502347418,0.9483568075117371,0.9568075117370892,0.9596244131455399,0.9530516431924883,0.9502347417840376,0.955868544600939,0.9464788732394366,0.9596244131455399,0.952112676056338
AUC,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Fscore,0.00041611670010736993,0.00041719285668483444,0.0004182751694667104,0.00041817973971224786,0.00041675168171006723,0.0004121076958752709,0.0004195458941432914,0.0004171905108072335,0.0004197288930841851,0.0003810226993870568,0.0004206367886918082,0.0004197288930841851,0.0004104281803326479,0.0004156693689281914,0.00041890856666299307,0.00041863406825165257,0.00042054528922136136,0.0004185441531876205,0.0004206367886918082,0.0004197288930841851,0.0004189984817270252,0.00041972889308418496,0.0004163896141122957,0.00041611670010736993,0.00042072828816225495,0.00041991189202507867,0.00041890856666299307,0.00041954747854970603,0.0004145374948331224,0.00041748050866081244,0.00041847990373888237,0.0004155368899111924,0.0004168415967740994,0.00040505066106765527,0.00041972337839375464,0.0004198203925546318,0.0004188170671925462,0.00041719285668483444,0.00041818208558984886,0.00041854415318762044,0.0004206367886918082,0.00041408709657773344,0.00041972889308418496,0.0004197288930841851,0.00041745325863910365,0.0004139381595077943,0.000417736338817085,0.00041899848172702515,0.0004198203925546318,0.0004129148687318253,0.0004201808757459888,0.0004163219979079738,0.00041304341746480864,0.0004131394887332521,0.0004184565840011893,0.00041192862721839294,0.00041972496280016935,0.0004198203925546318,0.0004203622902804677,0.00042008937627554193,0.00042054528922136136,0.0004193644796088125,0.00041908998119747205,0.0004159028877929797,0.0004194543946728446,0.00041586766936856914,0.0004198203925546318,0.00041972889308418496,0.0004196373936137383,0.0004150142364006302,0.00041972889308418496,0.0004195458941432914,0.00041810075229245763,0.0004140458879998934,0.00041972889308418496,0.00041891249694700873,0.00041450386081512663,0.0004173890091903656,0.000418908566662993,0.0004129962020292166,0.000414451510053106,0.0004206367886918082,0.00041972889308418496,0.0004194543946728446,0.000415901303386565,0.00041495977376094595,0.00042072828816225495,0.00042072828816225495,0.00040777534577978423,0.00041755492428260607,0.0004206367886918082,0.0004164640297340893,0.000419271395731951,0.00041990637733464834,0.00041693309624454627,0.00041817815530583314,0.00041855273495426134,0.00041664151398455255,0.0004182969047979888,0.0004185425687812057
HR@10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009737098344693282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009737098344693282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019474196689386564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR@2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009737098344693282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR@5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009737098344693282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009737098344693282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lin's AUC,0.5177370961860036,0.5424679041903604,0.5322268439719996,0.4983817000170472,0.5408687046377757,0.5074449021884422,0.526622309114063,0.5046900689340982,0.5217022127249993,0.5561170186204708,0.5963154559768272,0.46752729656936814,0.4642082072831961,0.590405399983966,0.5403733341982982,0.5300078181600406,0.37568266370999726,0.3894687622699031,0.5022546561116953,0.5159031511373953,0.4887640516398779,0.5712432491634746,0.552491743847712,0.5537792846299529,0.39828137472794833,0.5318225318399041,0.5522457674762727,0.5038989698603055,0.5409083143145275,0.41132950261136864,0.48327135360541507,0.5158427108766297,0.38083971196261485,0.5711197145116196,0.41745196858544004,0.43248147499012357,0.49140243360399743,0.5899765789102029,0.5490962056650939,0.5128925261787469,0.42290820880002716,0.5384264445716208,0.4949467524159142,0.5774866043564572,0.5672165215872881,0.5628551740541704,0.5458103338906565,0.46333975436948405,0.4605819639598549,0.5634604252782864,0.4406781132615282,0.38789193697106583,0.409995112304383,0.49300554032458666,0.531246833802172,0.3942959153129431,0.49649677790282315,0.5707160200397462,0.5139929217983625,0.48684455286759504,0.3763748307476469,0.5262079193043594,0.5464708829299177,0.4031251422245809,0.42254705048710334,0.5773568272313686,0.5584949237916165,0.5289940872226013,0.5340392216557962,0.4738571524066627,0.39037291748464825,0.4821990240356894,0.5585840245304425,0.4678601395152896,0.5344109248953219,0.5309343451775285,0.556654062293326,0.37612579676713426,0.48827218755754953,0.43684999360485366,0.42903971773941674,0.5045431045376653,0.568258720035185,0.4923149428674012,0.506568373722445,0.5068953506704204,0.47829054103005303,0.588108934162357,0.4898499273666577,0.5291712608365379,0.5495843756244204,0.49855704915893406,0.5166848449921998,0.4084115849182851,0.5651393956836519,0.464521794051603,0.48763176068105163,0.5265204675682823,0.5697196464785249,0.3799020129949351
NDCGk,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072
global AUC,0.8741738881290032,0.8854303259154103,0.888481882100744,0.881642389369363,0.8857985272246051,0.8698000669083866,0.8894704716035705,0.8773140962243059,0.8835403125016079,0.7628957557861316,0.8998318713710195,0.8788783969952084,0.8596178072191172,0.8903667882023414,0.8879635816217748,0.8821593477929257,0.8634784179614445,0.8598517168422259,0.8884275791426456,0.8849803647442965,0.8784588995750253,0.8968628849796912,0.8856917938384178,0.8839539132864583,0.8685504657649041,0.8942127035204046,0.8887133874827025,0.8874180352747243,0.8793349122274455,0.8641804716279631,0.8830021388035297,0.8811019177723627,0.8558542778631462,0.8753116090048921,0.8739423431778437,0.8709243173565312,0.8743437265596536,0.8923404525561358,0.8856866762217329,0.8807696271619472,0.877921324773294,0.8816945333329224,0.8783978418245435,0.9004678852773217,0.8878484150495879,0.881194815540053,0.8876516567845871,0.8704549722229937,0.8769223421724728,0.8815908307002372,0.8762726624654951,0.8581507217928038,0.8524802561824834,0.8708214712321797,0.8845096140797595,0.848865145953954,0.8843295729778945,0.8974685690932962,0.8880287426159822,0.8846158136939098,0.8648805464222442,0.8898662448145769,0.8876302939499259,0.8657666587010844,0.866601812855862,0.8904326511376903,0.8985894594567746,0.8823804926390441,0.8917199200997916,0.871185970760169,0.8618725138851233,0.8736232138607886,0.887884777084568,0.8707016519814218,0.8882999326092813,0.889626863925048,0.8783674452588193,0.8582857924975378,0.8797233247426757,0.8658130535894571,0.8646659556372489,0.8863646124601381,0.9003074239229905,0.8825044769604043,0.8845325609190046,0.8778690402566344,0.8971616209075137,0.9011192330734361,0.8692228882824337,0.8846532741864015,0.9161303342416771,0.8742327131048729,0.8850716698516397,0.863956738708781,0.8875094228179036,0.8609236399070764,0.8778554601892287,0.8744744640246802,0.8941956809324968,0.8597606520353439
global NDCG,0.4966317616825357,0.502194531080444,0.502344276059363,0.498796777936619,0.5020714185312383,0.4956591399723449,0.49925622997322827,0.4957237975760767,0.511121211237754,0.49673687972059105,0.5075533339080763,0.4989097545839996,0.48738626396459045,0.5106101162756798,0.5018537736697841,0.49755496906335095,0.48575330317252413,0.4877521400664909,0.49866641120889665,0.5007116590815069,0.49324224049078075,0.5071021151347338,0.5026373046828466,0.5054664676019704,0.48729809995925016,0.5042855624899509,0.49796916896156984,0.5034197855847472,0.5087335084774827,0.49979670228027295,0.501753931686348,0.503601309162442,0.48460733627739055,0.5162153281764492,0.49300427928141144,0.4922002102820854,0.49682772757160226,0.5093252373132336,0.5043072484301084,0.4963938037050615,0.4943388815091719,0.5233279659443778,0.4925640577797276,0.5149047259905098,0.5093456913812537,0.5067082604045473,0.5004882239666921,0.4939644048835039,0.49511964723083496,0.503770269152647,0.4959898378156546,0.4846617016515263,0.48810542726362494,0.4982359756066442,0.49873163579727914,0.4854354877426267,0.49718762471998723,0.5051344756352353,0.4981397776849898,0.4965928479077247,0.4862565003953838,0.5017037238087789,0.5037696749039459,0.4915515833165694,0.4906127878021653,0.5093113642825376,0.5082457735214755,0.5012268303669807,0.5070245436447474,0.4954764547593418,0.4832632373679811,0.49509692914539466,0.5039579669060217,0.4924454758724292,0.4983505703318967,0.5003671613561169,0.501866341710867,0.4867786624448811,0.4972137409168984,0.49446812493923653,0.4887953713599774,0.4996804193770267,0.5106956673525656,0.4971299999127163,0.5000539255566093,0.5006652244855464,0.496239658314649,0.5114356320251218,0.4975677970225054,0.5005537390544037,0.50965494362804,0.5021893372407746,0.4979580395262526,0.4866556764217924,0.5084303299804671,0.4904929308112809,0.4992726629819883,0.5072389128710018,0.5118399424914745,0.4870023319526967
