,1_HAN,2_HAN,3_HAN,4_HAN,5_HAN,6_HAN,7_HAN,8_HAN,9_HAN,10_HAN,11_HAN,12_HAN,13_HAN,14_HAN,15_HAN,16_HAN,17_HAN,18_HAN,19_HAN,20_HAN,21_HAN,22_HAN,23_HAN,24_HAN,25_HAN,26_HAN,27_HAN,28_HAN,29_HAN,30_HAN,31_HAN,32_HAN,33_HAN,34_HAN,35_HAN,36_HAN,37_HAN,38_HAN,39_HAN,40_HAN,41_HAN,42_HAN,43_HAN,44_HAN,45_HAN,46_HAN,47_HAN,48_HAN,49_HAN,50_HAN,51_HAN,52_HAN,53_HAN,54_HAN,55_HAN,56_HAN,57_HAN,58_HAN,59_HAN,60_HAN,61_HAN,62_HAN,63_HAN,64_HAN,65_HAN,66_HAN,67_HAN,68_HAN,69_HAN,70_HAN,71_HAN,72_HAN,73_HAN,74_HAN,75_HAN,76_HAN,77_HAN,78_HAN,79_HAN,80_HAN,81_HAN,82_HAN,83_HAN,84_HAN,85_HAN,86_HAN,87_HAN,88_HAN,89_HAN,90_HAN,91_HAN,92_HAN,93_HAN,94_HAN,95_HAN,96_HAN,97_HAN,98_HAN,99_HAN,100_HAN
ACC,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291
AUC,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Fscore,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495
HR@10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009737098344693282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009737098344693282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009737098344693282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009737098344693282,0.0,0.0,0.0,0.0009737098344693282,0.0,0.0,0.0,0.0,0.0
HR@2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009737098344693282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009737098344693282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR@5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009737098344693282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009737098344693282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009737098344693282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lin's AUC,0.6445991059146415,0.618564134836651,0.6598957789109694,0.6636092695287936,0.6329587572121248,0.6222259108378027,0.632657263566458,0.6362987100463203,0.6355105762387823,0.6515067695758445,0.64387833558988,0.6399196767795421,0.6549550575626845,0.6545204966784709,0.657914427139186,0.6405784816727645,0.6545953555361534,0.6584278427161256,0.6456191878801365,0.6531173281875066,0.6418182761047098,0.6370979385068704,0.6271522589912485,0.645898869155753,0.6635371540407494,0.6589448971405222,0.6407740975138637,0.6634819413762449,0.6476105461616405,0.6397282957724811,0.6426601006163287,0.6550262765634967,0.661058705638808,0.6485205190205212,0.6658207778049746,0.6748059980110469,0.6366451925920369,0.6558938073009256,0.6615369723305067,0.6409062395832262,0.6430676201329854,0.642216119084352,0.6507436412860814,0.6726248936077687,0.6571443984134929,0.6365787212609653,0.6326667097664029,0.6669367059120739,0.630485532984635,0.6520190413983187,0.6427016198363706,0.6673064050593801,0.6295024638656459,0.6376510993810971,0.6509967624590014,0.6260857871280927,0.6581788710596062,0.6479897049495063,0.649184517280807,0.640412284188001,0.626885560690755,0.6514027659413583,0.6175218472577039,0.6501203686005964,0.6471978271972885,0.6555505381895904,0.644852788275646,0.6252613414187542,0.6579014565990089,0.6619352865937536,0.6705039453521761,0.6462811054106168,0.6460152473281692,0.6404162968435263,0.649792680058031,0.6586151777378573,0.6419520665484112,0.630628936253853,0.6645680455824251,0.6658400251836554,0.652512960291529,0.620595928363986,0.6519770224664353,0.6625932978914308,0.6625596044331943,0.6514835611694335,0.6327804263235864,0.6453207347562008,0.6435779440196068,0.6565377998895155,0.6327399048307135,0.665697019825775,0.6243636012220926,0.6633484876013142,0.6637782291146417,0.6656210624777059,0.6626456812770722,0.6447229798037893,0.6457839735789406,0.6378896071832659
NDCGk,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072
global AUC,0.9318897998802572,0.9294090673422968,0.9337822055820139,0.9339017020964746,0.9281850303758454,0.9266410145910515,0.9294187894125885,0.9327645030394262,0.9297929475352762,0.9294145419061504,0.9315406548510389,0.9323344666098186,0.9333441460846896,0.9333028980777234,0.9354894200030659,0.9334289074353894,0.9343083300461564,0.9332490963295065,0.9335140463422168,0.9358314858548872,0.9333399929672834,0.9288958741755327,0.9289104100864546,0.9318874401544582,0.9329144872112098,0.936158543850627,0.9322933129918842,0.93249445601899,0.9319991967682983,0.9310012215333902,0.932219028823732,0.9321122748285858,0.9346117907839062,0.9323120964092442,0.9333604753872188,0.9367359215591236,0.9316278703165695,0.9336663902397995,0.9326241465489025,0.9314518347719649,0.9308948450943718,0.93203251609658,0.9339601289072575,0.9358459273767771,0.9338913193029591,0.9313741525986622,0.9299672840773054,0.9356928283669388,0.9314113418772543,0.9326524632584903,0.9333918125458293,0.9361080457185287,0.9308509541945107,0.9314861923795982,0.9338901866345756,0.9292908922742834,0.9339420062131214,0.9321029303144218,0.9318813992564128,0.9331275232563426,0.931806454365037,0.9334318334953801,0.9281946580571053,0.9316075766746982,0.9328015979289863,0.929709413241992,0.9323680691051962,0.9304356424538887,0.9329911311051611,0.9341015236771331,0.9358217637845955,0.9291783805481877,0.9294709865472622,0.9300263716113121,0.932799804537379,0.9358504580503112,0.9321027415363579,0.9296331469041687,0.9341052992384113,0.9347115599906874,0.9329769727503671,0.9296970482788054,0.9300045677449295,0.9320832973957742,0.9292789048672245,0.930282826611146,0.9313928416269901,0.9317181062311228,0.9313511216748641,0.9337824887491097,0.9302564920712293,0.9348300182257966,0.9321270939066034,0.933299122516445,0.9343712875304734,0.9319529461426381,0.9323680691051962,0.9293525283121531,0.9290463302924763,0.9329719701316732
global NDCG,0.522917410382144,0.5268345818174437,0.5241205854398715,0.5333037146337761,0.525577465008344,0.5162350066172968,0.5205375083800334,0.5289906828127874,0.5207740262790488,0.5215549833969932,0.528969872950232,0.5322611892123195,0.5297790525001068,0.5317630796791782,0.5252375074846891,0.5249764260031492,0.5282525149776232,0.5282405561471512,0.5292019507556156,0.5315281265697848,0.5279701684561781,0.5218095023377153,0.5166661408449199,0.5264225214390439,0.5339846117081214,0.5352788735737884,0.5298435043991795,0.5263546174942968,0.5271371312482952,0.5258140703557388,0.5262218556718484,0.5221159432037122,0.5282629900317278,0.5206762219014834,0.5288422109880803,0.5314905730191776,0.5266697564939593,0.5321138992934106,0.5241129600702363,0.5216561499929813,0.5208240043090773,0.5261551165265547,0.5307182041925388,0.5342873646484676,0.5293508002421274,0.5238597736734446,0.5289346481208624,0.5355348495577863,0.5250133642465988,0.5290314697069465,0.526885937596363,0.5327382226205987,0.523722892527956,0.5277919162909095,0.5270994298403292,0.5212700249682212,0.5303004820441239,0.5283681843182303,0.5269297964241966,0.5300855771778368,0.5225322885277061,0.5310646640226769,0.5182820036397736,0.5238988352959368,0.5245162485560003,0.5256285741974756,0.5308194707836359,0.523733287283669,0.5239764062272411,0.5356878146792802,0.5283515552086755,0.521994452408392,0.5223121492030929,0.5186685181123216,0.5189760472374142,0.5340704181102705,0.5282669664610994,0.5199395898519736,0.5241239975549309,0.5306140003284842,0.5288292923900889,0.5237428286688577,0.5202922623293861,0.5256019097602226,0.5283702114598874,0.5300430430114385,0.5247699580122505,0.5285347067575397,0.5257543510878242,0.532010458059274,0.5280477003331182,0.5313629542683034,0.5318780162861313,0.5294940201918661,0.5317553529580091,0.5257732206259168,0.5261380298990063,0.527730072752837,0.5189388234487997,0.5248600899377209
