,1_LRSSL,2_LRSSL,3_LRSSL,4_LRSSL,5_LRSSL,6_LRSSL,7_LRSSL,8_LRSSL,9_LRSSL,10_LRSSL,11_LRSSL,12_LRSSL,13_LRSSL,14_LRSSL,15_LRSSL,16_LRSSL,17_LRSSL,18_LRSSL,19_LRSSL,20_LRSSL,21_LRSSL,22_LRSSL,23_LRSSL,24_LRSSL,25_LRSSL,26_LRSSL,27_LRSSL,28_LRSSL,29_LRSSL,30_LRSSL,31_LRSSL,32_LRSSL,33_LRSSL,34_LRSSL,35_LRSSL,36_LRSSL,37_LRSSL,38_LRSSL,39_LRSSL,40_LRSSL,41_LRSSL,42_LRSSL,43_LRSSL,44_LRSSL,45_LRSSL,46_LRSSL,47_LRSSL,48_LRSSL,49_LRSSL,50_LRSSL,51_LRSSL,52_LRSSL,53_LRSSL,54_LRSSL,55_LRSSL,56_LRSSL,57_LRSSL,58_LRSSL,59_LRSSL,60_LRSSL,61_LRSSL,62_LRSSL,63_LRSSL,64_LRSSL,65_LRSSL,66_LRSSL,67_LRSSL,68_LRSSL,69_LRSSL,70_LRSSL,71_LRSSL,72_LRSSL,73_LRSSL,74_LRSSL,75_LRSSL,76_LRSSL,77_LRSSL,78_LRSSL,79_LRSSL,80_LRSSL,81_LRSSL,82_LRSSL,83_LRSSL,84_LRSSL,85_LRSSL,86_LRSSL,87_LRSSL,88_LRSSL,89_LRSSL,90_LRSSL,91_LRSSL,92_LRSSL,93_LRSSL,94_LRSSL,95_LRSSL,96_LRSSL,97_LRSSL,98_LRSSL,99_LRSSL,100_LRSSL
ACC,0.6497652582159624,0.8657276995305164,0.943661971830986,0.9530516431924884,0.9633802816901408,0.4563380281690141,0.9098591549295776,0.8854460093896713,0.8967136150234741,0.5230046948356808,0.964319248826291,0.9633802816901408,0.8723004694835681,0.5004694835680751,0.8,0.9446009389671362,0.8507042253521127,0.8676056338028169,0.9539906103286384,0.9530516431924884,0.9211267605633804,0.9323943661971832,0.6751173708920187,0.9605633802816902,0.6413145539906103,0.8760563380281691,0.9483568075117372,0.9511737089201878,0.9070422535211268,0.0356807511737089,0.8723004694835681,0.0497652582159624,0.927699530516432,0.964319248826291,0.8873239436619719,0.5906103286384976,0.9370892018779344,0.9511737089201878,0.4253521126760563,0.7699530516431925,0.8619718309859155,0.964319248826291,0.6244131455399061,0.711737089201878,0.892018779342723,0.964319248826291,0.7455399061032864,0.6422535211267606,0.7906103286384977,0.8234741784037559,0.7032863849765258,0.8732394366197183,0.8985915492957747,0.7755868544600939,0.9483568075117372,0.9474178403755869,0.8591549295774648,0.7370892018779343,0.8807511737089202,0.9323943661971832,0.8572769953051643,0.7549295774647887,0.964319248826291,0.9380281690140844,0.955868544600939,0.7859154929577464,0.892018779342723,0.9539906103286384,0.8760563380281691,0.6272300469483568,0.8788732394366198,0.8535211267605634,0.8450704225352113,0.9596244131455399,0.6751173708920187,0.5812206572769953,0.9370892018779343,0.4272300469483568,0.92018779342723,0.7830985915492957,0.863849765258216,0.8798122065727699,0.8845070422535212,0.8723004694835681,0.8272300469483568,0.9192488262910798,0.6488262910798122,0.49389671361502346,0.955868544600939,0.9492957746478873,0.7849765258215963,0.9586854460093897,0.7267605633802817,0.9568075117370892,0.8779342723004695,0.9380281690140845,0.8845070422535212,0.9408450704225352,0.9586854460093897,0.9502347417840376
AUC,0.5010827990843736,0.4999472077919733,0.5018456897772835,0.4994323563424987,0.5017241658177362,0.5,0.4997440385188348,0.4998637921764525,0.501825017912465,0.4999735552457919,0.5005976981053726,0.4991592843087397,0.499492422428382,0.5000854087469353,0.4990822965721724,0.4970682058007732,0.5004520895242801,0.5000698956350824,0.5010852931166903,0.5005111624706844,0.4981254208105504,0.5012240208452566,0.4995418388639784,0.5010339214252454,0.501125722195682,0.5,0.4973732287345394,0.4998186335280619,0.4999353605636736,0.5,0.5003409237188994,0.4994581677903155,0.5005581964076421,0.5,0.5000052842950751,0.5001748732252586,0.5000304010142003,0.500026725553291,0.499370862931917,0.5001587177802377,0.5000617172661727,0.5001224114007732,0.5000916523573705,0.5000697743840339,0.4986386765740985,0.5,0.5011484024866534,0.5001012260404298,0.4995182798884282,0.5014510943013112,0.4996424438631345,0.5001402786295808,0.49962353807228,0.5001899257062968,0.499508992328447,0.49935438450247,0.500074363326855,0.4999077987673602,0.4998711449079217,0.4993522182097955,0.5001695868840343,0.5012422071119105,0.5002836730252194,0.5000290891876277,0.5005734238738074,0.4994945051131937,0.5003095253445042,0.5000369900655253,0.4990303412247341,0.5007740959402324,0.4999197807701225,0.5002909619382805,0.4988675768086826,0.500000023278833,0.4987503913003998,0.4986616140356123,0.4969885344085667,0.5001627006779854,0.4989642723853696,0.5017486512692908,0.5007198691281661,0.491935364641325,0.49850767251703826,0.5002002885941774,0.4997345164577363,0.5000922799868583,0.49984875260671674,0.5,0.4997244436053185,0.497291319946932,0.4994389295641621,0.4999413097852721,0.5005460969814179,0.4983533049981228,0.49967419297022964,0.500166843818967,0.5010309660219127,0.5022559357442693,0.5007306323890615,0.5000257104308788
Fscore,0.0002679370948816,0.0003886532932813,0.0004178849856474,0.0004162884212972,0.0004221162236481,0.0002346935497333,0.0003449660986966,0.0003863000799934,0.0004139777450893,0.0002214766674977,0.0004217147559325,0.0004215713329562,0.0003206804007023,0.0002097089133714,0.0003714013485157,0.0004118111878576,0.0003315374725214,0.0003231114129592,0.0004203583882711,0.0004260588718593,0.000364690551244,0.0004084384469478,0.0002366680759021,0.0004231520377943,0.000201471578672,0.0003921794754949,0.0004190663982952,0.0004189614604507,0.0003558440831585,0.0,0.000318025913544,3.2926533243544016e-05,0.000356291869067,0.0004207282881622,0.0003375830652133,0.0002035702387568,0.0003747663653722,0.0004150198205428,0.0001643980757507,0.0003030673117854,0.0003893175685003,0.0004208214336194,0.0002222969678162,0.000277863749798,0.0003822449913998,0.0004207282881622,0.0003909969084681,0.000229190190624,0.0002897621977634,0.0003671540585554,0.0003689218899007,0.0003266852791079,0.0003334630507072,0.0002892398244465,0.0004275410985758,0.0004095557738787,0.0003689984288087,0.0002600884795189,0.0004043631323876,0.0004113311654936,0.0003107221759625,0.0003355961062099,0.0004213367937902,0.0003566636333615,0.0004149216621531,0.0003752508552576,0.0003298584387536,0.0004194572668535,0.0003897159618897,0.0001895276570982,0.0003805324178768,0.0003949647860939,0.0003382086901147025,0.000420546873627776,0.0003247705990879339,0.00026847025804577614,0.00041091166686956876,0.00014229537561881577,0.00039662618660244803,0.0003735755673711578,0.00040517711706460416,0.00040423598918896015,0.000332938426068039,0.00032709193661969283,0.00034163215857726327,0.00035326775471425175,0.00021907114570535286,0.00014372369574808892,0.0004205397490678808,0.0004138998216630054,0.00028074911024072004,0.0004167969336799708,0.00033007221690873007,0.00041953047553597555,0.0003242311359326074,0.0004141005071320717,0.0003787524396385417,0.0004193784774131106,0.00042047092494831547,0.000416630119353314
HR@10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009737098344693,0.0009737098344693,0.0,0.0,0.0009737098344693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009737098344693,0.0,0.0,0.0,0.0,0.0009737098344693,0.0009737098344693,0.0,0.0009737098344693,0.0,0.0,0.0009737098344693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009737098344693,0.0,0.0,0.0,0.0019474196689386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009737098344693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009737098344693282,0.0019474196689386564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009737098344693282,0.0009737098344693282,0.0,0.0009737098344693282,0.0,0.0,0.0,0.0,0.0
HR@2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009737098344693,0.0,0.0,0.0,0.0009737098344693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009737098344693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009737098344693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009737098344693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009737098344693282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009737098344693282,0.0,0.0,0.0009737098344693282,0.0,0.0,0.0,0.0,0.0
HR@5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009737098344693,0.0,0.0,0.0,0.0009737098344693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009737098344693,0.0,0.0009737098344693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019474196689386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009737098344693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009737098344693282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009737098344693282,0.0,0.0,0.0009737098344693282,0.0,0.0,0.0,0.0,0.0
Lin's AUC,0.4809467436649296,0.5192725042668525,0.582100083218528,0.5016583811081209,0.6472929392558527,0.5418459624183566,0.5233089052509828,0.6431985333693713,0.6075690606320058,0.4996944077390663,0.5953225181191572,0.5175038692288351,0.3705684722525501,0.4497136903666048,0.5160663198508628,0.6006947426976768,0.4411437386075589,0.5077660860921319,0.6091412691150695,0.4645641534734077,0.5058937140238,0.6605194085870569,0.4304525693075994,0.4388709895143561,0.3275475377875446,0.6307574870724132,0.565932795986222,0.6174801313075179,0.4520462408351351,0.4680993160332722,0.4663818252427065,0.6755765017550036,0.5342893691861654,0.5796248567679793,0.4642428787130896,0.4682462294082875,0.4298086946562451,0.5508494793869424,0.4611939191250645,0.5411409270639921,0.4552156309682068,0.5412766071635882,0.4935578264008942,0.382659435877635,0.4939682367601335,0.5578246146307003,0.556939187671546,0.4911967330931704,0.4755368472386945,0.5859674170937172,0.5316181373172347,0.4971880186758171,0.416135425841728,0.4757494547864055,0.5887850011571227,0.5836338318811151,0.523593888094166,0.4654823187978761,0.5722301473161605,0.5223829708006733,0.3525634524760236,0.5536280284678772,0.5918690864355811,0.4539650502077985,0.4959452553540211,0.4859644923379977,0.3770622535854392,0.6400809003881045,0.4762801882159033,0.3469655653510959,0.5483281614763077,0.6196913510929684,0.4622134399137042,0.5692864179657922,0.5495960276030178,0.4710184403798427,0.5238238822582031,0.4673611062477148,0.5122259255446848,0.5392493123844136,0.6441269035531481,0.46352529227549266,0.3474890229293502,0.47850595543262925,0.6049689914096837,0.39421975130968917,0.3755634063248353,0.29145070759459607,0.6450672549857311,0.4780238341883864,0.36070866730978657,0.6243660966678305,0.4620691514640081,0.615074673586374,0.42198234729014944,0.5746889229212608,0.4829472009082545,0.5717768273939088,0.5629223797825088,0.5755055079405482
NDCGk,0.1887807351282376,0.1880217143381921,0.1877243124367282,0.187814496637916,0.1873324426155216,0.1870480311936072,0.1866685644019411,0.1871277126038827,0.1897911898129914,0.1870425910267801,0.1870028608849714,0.1872313811087257,0.1865390562168943,0.1872548427778481,0.1880413963639688,0.1870288143714249,0.1874186888521999,0.1868084903163722,0.1869801425651588,0.1875384133582839,0.1877025522113447,0.1878535303210646,0.1870663674163836,0.1871978245578911,0.1873259157509904,0.1870480311936072,0.1882541797849024,0.1865150991607118,0.1888110853348093,0.1870480311936072,0.1871805415157531,0.1872554455028932,0.1877698237238474,0.1870480311936072,0.1870833254061044,0.1870149524593607,0.1871415588995448,0.1870342520674967,0.1858281204829798,0.1882353590575724,0.1882528341662455,0.1870717633279132,0.187134207815329,0.1870528395320627,0.1867602572300615,0.1870480311936072,0.1881750129286425,0.1872207738939891,0.1870346944483138,0.1892509079248446,0.1890651821852064,0.1870604140744901,0.186689258612028,0.1870013396199673,0.1879316913780325,0.1888542199929377,0.1870148517019499,0.1870401898945594,0.1875839093284993,0.1871045343932308,0.1871362032695554,0.1889132982752996,0.1870283900163421,0.1870170900095807,0.1870456130856849,0.1885373281687255,0.1869425679071735,0.1870506094619089,0.1883740730038385,0.1872652749333482,0.1869858192233423,0.187713562318249,0.18857945689104239,0.1870480311936072,0.18818148629353668,0.18672191783437705,0.1866483319067934,0.18704886261024503,0.18707605623035095,0.1890194087540991,0.18756959287926808,0.1876981094849824,0.18734671766138622,0.18757435113732204,0.187019462801642,0.1873599581277904,0.18719480070327735,0.1870480311936072,0.18685591620032416,0.18770293419210396,0.18703907074954648,0.18700731622938413,0.1885224681491407,0.1869516085670915,0.18698809251816387,0.18701197960188518,0.18946336306653594,0.18830892346502567,0.18777918973282823,0.1870826850656171
global AUC,0.6437258413900343,0.8224128027548501,0.8942914140807585,0.8961047419705128,0.9199503428618112,0.4819540804185204,0.8502354199712739,0.8584824444203107,0.8586725381601688,0.5194506699140362,0.923357643477196,0.9136467836346708,0.796353611719354,0.4893249735075337,0.7539386430618421,0.8987903885628865,0.7908686485850185,0.8296918491330789,0.9151275241450008,0.8814492578689568,0.868409643099729,0.8951515677270927,0.6284935356096938,0.8925931839292679,0.5943807417997091,0.8379750340614774,0.903292625031036,0.9115381013350772,0.846664382001444,0.0947920920862429,0.808773314774081,0.1445884635774707,0.8775912195368849,0.9151382696561938,0.8421521031997805,0.576845859687888,0.8618352120816152,0.8975518066175717,0.429047868957351,0.7512053106359077,0.7915571032238892,0.9095683547443776,0.5975563886486314,0.6559959563771682,0.8294951390930417,0.9176616281161156,0.7208673328843488,0.6335087167005626,0.7434610244287626,0.7993997057062097,0.6682239845727072,0.8245394395794748,0.8372638139422,0.744431761626994,0.908007461870926,0.8995274753987126,0.7868470748662996,0.7006097937873258,0.8432287003765193,0.8827924904590679,0.7893990632919852,0.7287124438891521,0.9215080751453194,0.8778498677421296,0.8979997266773918,0.7309169916465238,0.8252916369039981,0.9197111280804914,0.8255551455261199,0.5746810080828741,0.8346999407420711,0.8136043391539839,0.7985682372576489,0.9149776755801672,0.6618542920206766,0.5576922188676946,0.8855868146868158,0.44431896079842226,0.8538818620000846,0.7539489937053817,0.8456463934065062,0.8049165129795459,0.7975116546774775,0.824104076970518,0.7842298252868662,0.8558275076498374,0.60578793164771,0.44606492459625835,0.9190603235365348,0.8888571745405318,0.7150256566988917,0.9214734042815101,0.6749538310476443,0.9106471587284402,0.8097249895096481,0.8918020150633833,0.8324346921813868,0.8930520069527275,0.898820207253402,0.9093127236907224
global NDCG,0.5109009584841168,0.5100822220882012,0.519745828175517,0.5114212342765208,0.5462111042915333,0.4877738334345025,0.5274494458474647,0.555535169545548,0.5338331601251876,0.4865523712487711,0.5393295440762262,0.5407463689637254,0.5028900809097121,0.4757937120858469,0.5238063149827168,0.5292181479215646,0.4982006163762428,0.5376500434193211,0.5252809990964541,0.5075502577035665,0.5149740248100617,0.5410175388220473,0.4836442326301055,0.5139054743184384,0.4916054248976547,0.5401259312877964,0.5346515161595022,0.5390365813041551,0.5204553341003433,0.4047858717107493,0.5028996804935387,0.4178464797659227,0.5172318831553253,0.5141946917633076,0.5078992221252945,0.4843965839354184,0.4962838576163442,0.517988614411658,0.4693022866785716,0.5188108953626458,0.4930166580593091,0.5241081048671724,0.4861678834235804,0.4920251493733251,0.5083574805117622,0.5319970591080411,0.523477582257703,0.4926136368504198,0.4978823312553299,0.536100055105129,0.5226043039988238,0.503799795531355,0.5076066089771488,0.5249059328770831,0.5385382021162702,0.5216079269451365,0.4996696441211812,0.49449148934388,0.5166763674651202,0.5205757058739566,0.494189400403656,0.51622609913374,0.5284768020799182,0.5150152611553546,0.5195609911686756,0.5049873509468757,0.509843218792532,0.544733690986472,0.512643858482491,0.4728507208594072,0.5178570387787543,0.5190040237228454,0.5065708380818724,0.5311492133483252,0.5090261924428082,0.48411211152845635,0.5217959830750841,0.4730666890019859,0.5130283067785444,0.5092695802953887,0.5598391327911363,0.5094362172330171,0.5004470561682204,0.5117822261898385,0.5203002197366035,0.5094229139066833,0.49391544992262254,0.44921158635319397,0.5444783994332225,0.5126600026007926,0.48634182000329973,0.548014867327981,0.4903331235429226,0.5346334115633996,0.4993468636525847,0.5307300726319014,0.4994811956073056,0.5270265132932666,0.5199004185737881,0.548318024304923
