,1_LogisticMF,2_LogisticMF,3_LogisticMF,4_LogisticMF,5_LogisticMF,6_LogisticMF,7_LogisticMF,8_LogisticMF,9_LogisticMF,10_LogisticMF,11_LogisticMF,12_LogisticMF,13_LogisticMF,14_LogisticMF,15_LogisticMF,16_LogisticMF,17_LogisticMF,18_LogisticMF,19_LogisticMF,20_LogisticMF,21_LogisticMF,22_LogisticMF,23_LogisticMF,24_LogisticMF,25_LogisticMF,26_LogisticMF,27_LogisticMF,28_LogisticMF,29_LogisticMF,30_LogisticMF,31_LogisticMF,32_LogisticMF,33_LogisticMF,34_LogisticMF,35_LogisticMF,36_LogisticMF,37_LogisticMF,38_LogisticMF,39_LogisticMF,40_LogisticMF,41_LogisticMF,42_LogisticMF,43_LogisticMF,44_LogisticMF,45_LogisticMF,46_LogisticMF,47_LogisticMF,48_LogisticMF,49_LogisticMF,50_LogisticMF,51_LogisticMF,52_LogisticMF,53_LogisticMF,54_LogisticMF,55_LogisticMF,56_LogisticMF,57_LogisticMF,58_LogisticMF,59_LogisticMF,60_LogisticMF,61_LogisticMF,62_LogisticMF,63_LogisticMF,64_LogisticMF,65_LogisticMF,66_LogisticMF,67_LogisticMF,68_LogisticMF,69_LogisticMF,70_LogisticMF,71_LogisticMF,72_LogisticMF,73_LogisticMF,74_LogisticMF,75_LogisticMF,76_LogisticMF,77_LogisticMF,78_LogisticMF,79_LogisticMF,80_LogisticMF,81_LogisticMF,82_LogisticMF,83_LogisticMF,84_LogisticMF,85_LogisticMF,86_LogisticMF,87_LogisticMF,88_LogisticMF,89_LogisticMF,90_LogisticMF,91_LogisticMF,92_LogisticMF,93_LogisticMF,94_LogisticMF,95_LogisticMF,96_LogisticMF,97_LogisticMF,98_LogisticMF,99_LogisticMF,100_LogisticMF
ACC,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291
AUC,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Fscore,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495
HR@10,0.0009737098344693282,0.0009737098344693282,0.0009737098344693282,0.0009737098344693282,0.0009737098344693282,0.0009737098344693282,0.0009737098344693282,0.0009737098344693282,0.0009737098344693282,0.0009737098344693282,0.0009737098344693282,0.0009737098344693282,0.0009737098344693282,0.0009737098344693282,0.0009737098344693282,0.0009737098344693282,0.0009737098344693282,0.0009737098344693282,0.0009737098344693282,0.0009737098344693282,0.0009737098344693282,0.0009737098344693282,0.0009737098344693282,0.0009737098344693282,0.0009737098344693282,0.0009737098344693282,0.0009737098344693282,0.0009737098344693282,0.0009737098344693282,0.0009737098344693282,0.0009737098344693282,0.0009737098344693282,0.0009737098344693282,0.0009737098344693282,0.0009737098344693282,0.0009737098344693282,0.0009737098344693282,0.0009737098344693282,0.0009737098344693282,0.0009737098344693282,0.0009737098344693282,0.0009737098344693282,0.0009737098344693282,0.0009737098344693282,0.0009737098344693282,0.0009737098344693282,0.0009737098344693282,0.0009737098344693282,0.0009737098344693282,0.0009737098344693282,0.0009737098344693282,0.0009737098344693282,0.0009737098344693282,0.0009737098344693282,0.0009737098344693282,0.0009737098344693282,0.0009737098344693282,0.0009737098344693282,0.0009737098344693282,0.0009737098344693282,0.0009737098344693282,0.0009737098344693282,0.0009737098344693282,0.0009737098344693282,0.0009737098344693282,0.0009737098344693282,0.0009737098344693282,0.0009737098344693282,0.0009737098344693282,0.0009737098344693282,0.0009737098344693282,0.0009737098344693282,0.0009737098344693282,0.0009737098344693282,0.0009737098344693282,0.0009737098344693282,0.0009737098344693282,0.0009737098344693282,0.0009737098344693282,0.0009737098344693282,0.0009737098344693282,0.0009737098344693282,0.0009737098344693282,0.0009737098344693282,0.0009737098344693282,0.0009737098344693282,0.0009737098344693282,0.0009737098344693282,0.0009737098344693282,0.0009737098344693282,0.0009737098344693282,0.0009737098344693282,0.0009737098344693282,0.0009737098344693282,0.0009737098344693282,0.0009737098344693282,0.0029211295034079843,0.0009737098344693282,0.0009737098344693282,0.0009737098344693282
HR@2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009737098344693282,0.0,0.0,0.0
HR@5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009737098344693282,0.0,0.0,0.0
Lin's AUC,0.7072695757898643,0.7111129534760976,0.6987330083756383,0.6903070295988264,0.7111196306792887,0.702302851856386,0.7009636990704361,0.7238293981499297,0.7157467572795579,0.6980366562054683,0.7163398540721074,0.6986429815607763,0.6819580845560081,0.7180402737849754,0.7123249797373675,0.6776953411673763,0.7223696768804662,0.7279575101859389,0.7075404428536102,0.7020363058862557,0.7235166840840848,0.7165157203486117,0.6862936193672293,0.7090131010058798,0.6828470450352927,0.7027820568782347,0.709756842165297,0.7033167589432104,0.7053719932526396,0.7055244820870972,0.7140406824190495,0.6986129043811307,0.7092570978180874,0.7165651897078842,0.6914152311545496,0.7067831539424687,0.7114027826402395,0.6967213991506838,0.7240329976348036,0.6945871722855571,0.7084396184942237,0.7026480017321962,0.6737322264635336,0.7198216126183353,0.7245440961750582,0.7049675448412734,0.7019415598864991,0.7145235405733446,0.7050398148443775,0.7092614561091632,0.6864172959029026,0.7281048817479909,0.7248828381247802,0.714432585656098,0.6791800306899716,0.7158664434107322,0.709397638992309,0.7199382759519789,0.6822529020047597,0.7206990921952318,0.6962891596178242,0.7141391260838954,0.6961386162402493,0.7275979826999237,0.7122595370395889,0.7070686108423302,0.6910638268787614,0.6997818649735414,0.7105352023104756,0.7161881752432546,0.7231820482190087,0.6954798505121724,0.7244134954290341,0.7189060911880445,0.7224262895456441,0.6832272883982974,0.70086984571052,0.7180191221574339,0.7120097825170393,0.6974412796271051,0.7008673362593385,0.7121630606109446,0.7090989025093214,0.7109087990518472,0.6903453655201394,0.7070545531408462,0.70373318953786,0.7046776797796427,0.6786423020406182,0.7168402101278354,0.7122225274800124,0.6872520830045011,0.6949579312552341,0.6793231587703589,0.7061614889165863,0.7245496615682875,0.7144558641702425,0.6891132465124619,0.7230762991753467,0.6998073066192313
NDCGk,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072
global AUC,0.9385219495853243,0.9376199416164517,0.936128438283403,0.9345788308758683,0.9355304891242687,0.9374537270651417,0.9370142682195054,0.939416631481472,0.9361420204117049,0.9358257272995795,0.9383666033746028,0.9354058890072151,0.9333783276918135,0.9378359474125678,0.9378181165412903,0.9349081983115475,0.9393117615573522,0.941094781912085,0.9365467111192459,0.9372893417650278,0.9405550720222071,0.940364263563653,0.932935317510372,0.9371909480001666,0.9347188654544536,0.9374126418689512,0.9382441350482623,0.9380101186707465,0.9393025946924144,0.9372447983855264,0.9382170598223613,0.9355889979587082,0.9364988958614225,0.938014871921037,0.9342933967945062,0.9371768234440652,0.937189896118902,0.9349729928784647,0.9426644962443227,0.9368910563219265,0.9343783090027852,0.9374235036146725,0.934047007622399,0.937265908554351,0.9406772617154227,0.9376382448450682,0.9352554650402477,0.9389899518390971,0.9376973422713754,0.9367790515762205,0.9349147610284334,0.9417117935338833,0.9387334725206914,0.9392234373298305,0.9345784450761571,0.9377493502158056,0.9371687884231524,0.9394495703683716,0.9323211647633582,0.9396323264944875,0.9356548889222412,0.9380481817691976,0.9362539872369261,0.9402573451090144,0.9373692896872767,0.9388835230533229,0.9356943690927094,0.9340840542869953,0.9360168415950842,0.9390774508839026,0.939834070066657,0.9344597514867368,0.9392044144363677,0.9369025742569004,0.9410202549703965,0.9335148628691701,0.9352601943841459,0.9400481518103663,0.9365387882110697,0.9358055024916311,0.9350384873256277,0.9386087429793758,0.9389387410491984,0.9373712912293694,0.9323662068796661,0.9366180148197556,0.9372722948585485,0.93414403624982,0.9333566577836641,0.9381880283940772,0.9372197758119362,0.9335067816841895,0.9365287557698563,0.9324186591532514,0.9370711382295298,0.9412759214714613,0.939036157949406,0.9333488758407671,0.9380572488867743,0.9375967351043232
global NDCG,0.5555413650543766,0.5579630510213046,0.5491572749109057,0.5525884373310197,0.5528103753041477,0.5567883667249668,0.556292353023144,0.5560242246049755,0.5536969140804278,0.5545650722740674,0.5575682153381689,0.5539354351854834,0.5529457054337976,0.5530465017942144,0.554638550208197,0.5551941926325125,0.5595610845245078,0.558605735484035,0.5557275957669265,0.5558759283472133,0.5585245433431164,0.5587276685533283,0.5515133167285117,0.5526749187342447,0.5522700853674418,0.5566979319095484,0.5591849906078621,0.5554017807416952,0.5574145435441241,0.5510876273279416,0.5547645676077881,0.550283389940746,0.5540985344074545,0.5540640160432503,0.5559282081947067,0.5565732482388862,0.5553319693088419,0.5530062315964607,0.5605444725319446,0.5519354388486243,0.5522142228116158,0.5526695153547858,0.5530295323208794,0.5547768546780969,0.557661229552903,0.5588515981910953,0.5516386507522433,0.5560009231728087,0.5537311274373807,0.5496924662709479,0.5486925845067802,0.5610255243499218,0.5556624496217425,0.5572101339045566,0.5516959807428018,0.5554396732075474,0.5539622182031876,0.5578015986751239,0.5472834609368562,0.5575367047379679,0.554016935500829,0.5548252700361707,0.5540197565956275,0.558951731188901,0.5574832436053747,0.5551773294527661,0.5557915548846872,0.5539679302826949,0.5515695794920202,0.560274566429977,0.5566851655195203,0.549137862599199,0.5573650849631958,0.555116472869394,0.5596062788052957,0.5490583374266107,0.552509819610818,0.5569486426959778,0.5518602119269579,0.553607116395402,0.5544146680958996,0.557135567618322,0.5563748899748493,0.5539454963934525,0.5492085958916076,0.5546172567637742,0.5552479656243974,0.5512928292597161,0.5525919648365,0.5561671330848219,0.5565044404843724,0.5497197248061091,0.554391586497744,0.54963352806888,0.5570244261749265,0.5585531962351972,0.5664027722220385,0.5508957091437544,0.5575730953911683,0.5586041590644836
