,1_NIMCGCN,2_NIMCGCN,3_NIMCGCN,4_NIMCGCN,5_NIMCGCN,6_NIMCGCN,7_NIMCGCN,8_NIMCGCN,9_NIMCGCN,10_NIMCGCN,11_NIMCGCN,12_NIMCGCN,13_NIMCGCN,14_NIMCGCN,15_NIMCGCN,16_NIMCGCN,17_NIMCGCN,18_NIMCGCN,19_NIMCGCN,20_NIMCGCN,21_NIMCGCN,22_NIMCGCN,23_NIMCGCN,24_NIMCGCN,25_NIMCGCN,26_NIMCGCN,27_NIMCGCN,28_NIMCGCN,29_NIMCGCN,30_NIMCGCN,31_NIMCGCN,32_NIMCGCN,33_NIMCGCN,34_NIMCGCN,35_NIMCGCN,36_NIMCGCN,37_NIMCGCN,38_NIMCGCN,39_NIMCGCN,40_NIMCGCN,41_NIMCGCN,42_NIMCGCN,43_NIMCGCN,44_NIMCGCN,45_NIMCGCN,46_NIMCGCN,47_NIMCGCN,48_NIMCGCN,49_NIMCGCN,50_NIMCGCN,51_NIMCGCN,52_NIMCGCN,53_NIMCGCN,54_NIMCGCN,55_NIMCGCN,56_NIMCGCN,57_NIMCGCN,58_NIMCGCN,59_NIMCGCN,60_NIMCGCN,61_NIMCGCN,62_NIMCGCN,63_NIMCGCN,64_NIMCGCN,65_NIMCGCN,66_NIMCGCN,67_NIMCGCN,68_NIMCGCN,69_NIMCGCN,70_NIMCGCN,71_NIMCGCN,72_NIMCGCN,73_NIMCGCN,74_NIMCGCN,75_NIMCGCN,76_NIMCGCN,77_NIMCGCN,78_NIMCGCN,79_NIMCGCN,80_NIMCGCN,81_NIMCGCN,82_NIMCGCN,83_NIMCGCN,84_NIMCGCN,85_NIMCGCN,86_NIMCGCN,87_NIMCGCN,88_NIMCGCN,89_NIMCGCN,90_NIMCGCN,91_NIMCGCN,92_NIMCGCN,93_NIMCGCN,94_NIMCGCN,95_NIMCGCN,96_NIMCGCN,97_NIMCGCN,98_NIMCGCN,99_NIMCGCN,100_NIMCGCN
ACC,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291,0.964319248826291
AUC,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Fscore,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495,0.00042072828816225495
HR@10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR@2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR@5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lin's AUC,0.5139217301198629,0.5128124659291742,0.5077604281804955,0.5124292753653283,0.510226063158632,0.5123985183724337,0.5149652614579868,0.5151654210293878,0.5134163217017914,0.5134884024832361,0.5107133230533851,0.5137789964537735,0.5148170609914527,0.5150228057893581,0.5128939338486418,0.5130236639439334,0.5099905154002571,0.5140881569624828,0.5131797439236988,0.5088920029719952,0.5129773956201152,0.5137197325063212,0.5154281675479508,0.5145265728140462,0.5134262847422985,0.5104278084465453,0.5144341994934493,0.513326245251077,0.5134697420191474,0.5120315395087791,0.5131236770817107,0.5142891764991044,0.5147297491384427,0.5063127670495153,0.5125231711452812,0.5118131602578319,0.5152470658378259,0.5119642897306824,0.504888231315793,0.5057279097756544,0.514115944040137,0.5135402400240594,0.5128797614217995,0.5141021778801441,0.514490649055531,0.5116470068373128,0.5111964780266617,0.5151834204705591,0.5103491002054078,0.512772375098966,0.5144292395757365,0.5132364687413666,0.5059888858281224,0.513819608757509,0.5091247593852486,0.5155547717333503,0.5147940980765504,0.5129366550060198,0.5087188875890036,0.5142678227954366,0.5128870562062722,0.514950870941324,0.5135000173348334,0.5132064435050729,0.5071004522574237,0.513668799090281,0.5088951406706296,0.5123468728764282,0.513696765770944,0.5134080445169854,0.5145149869688166,0.5124685403346809,0.5061043376033157,0.5130355649158352,0.5148045549616532,0.5107512608539307,0.5137442747145178,0.5140583998696358,0.5130903438385123,0.5114486861702571,0.5136546014640264,0.5098895823974142,0.5128457266090524,0.5141501452893705,0.5108515008805762,0.5110729160868498,0.5130444905540285,0.5147535031724687,0.5134408038662022,0.5150200876238585,0.512716505750754,0.5120184447178114,0.5134656895705159,0.5144192852015962,0.5120531858414689,0.5058957157120969,0.5138325387911609,0.5131391686704567,0.5145901627827562,0.5125344796305105
NDCGk,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072,0.1870480311936072
global AUC,0.9030603814361682,0.9027912783060518,0.9028521584073073,0.9029575934290811,0.9025779071592465,0.9025551359083311,0.9029773322777777,0.903136735980336,0.9025920259448392,0.902895101295057,0.9027328143991425,0.902663039059028,0.9029347652974391,0.9029471562279141,0.9027242320042805,0.9026482339951025,0.9028998359972845,0.9029002654879891,0.9026833186868073,0.9027300614544072,0.9029873354542695,0.9030087473382529,0.9028943037283461,0.9026852616994565,0.9026843602635922,0.9028602465993341,0.9030672186643873,0.9028177109446129,0.9030255634243922,0.9028480819552284,0.9027212049603908,0.903127511410313,0.9030398507912691,0.9029032323537184,0.902765176647371,0.9026924888491786,0.9029560968064827,0.9029589041588698,0.9026263394493005,0.9028772646532709,0.9027903904721003,0.9029032026768176,0.9026365363500063,0.9025723456255863,0.9029492748288934,0.9027534287164152,0.902773656821797,0.9029255254767864,0.9030147977164196,0.9029404455387029,0.9029615544709901,0.9029490522521367,0.9027704818055823,0.9029737166420208,0.9029186948434343,0.9029639162576849,0.9031496981911527,0.903116576296698,0.9027721235152515,0.9028728836007789,0.9029997469937034,0.9029602882565526,0.9030031363430912,0.903136701357285,0.9028090110786846,0.902639021790455,0.9028837943958224,0.9028300870366376,0.9026268719847995,0.9025983974105865,0.9030361349959717,0.9028050883694394,0.902869833474855,0.9030575365754758,0.902941692380719,0.9028743398298177,0.9031200443723086,0.9029197298253525,0.9028521386227067,0.9028319443160174,0.9028489792693009,0.9027527387284696,0.9031265576276931,0.9030272055462408,0.9028934060020943,0.9028589103144361,0.9029926377272264,0.9029576626751832,0.9028912181550128,0.9027408799213146,0.9028585175076786,0.9027789615678289,0.902908674355417,0.9029386447278703,0.9029895080507213,0.9027679728709204,0.9030011418080446,0.9029368896689268,0.9027619834952725,0.9025673842248103
global NDCG,0.49921327998446013,0.4985962518176733,0.4986088152773226,0.49891214223711144,0.49828780991488997,0.49821362129780483,0.4988345678445712,0.4991625795035416,0.4982554174677104,0.49881003934061896,0.4984210273061256,0.4983251360535288,0.49895763593055614,0.4988037379501466,0.4984143720994594,0.4983262917759839,0.4987888039478848,0.49895454825791347,0.4982937288526438,0.4983332457051462,0.498948800751348,0.49901288523905823,0.4987688281505443,0.4983172401202914,0.49867587504192995,0.4986065041967116,0.49922763059746583,0.49864236079038127,0.49911728452759996,0.49876870124515665,0.4984013285160395,0.49919905555205,0.49910415002620534,0.4986548785645208,0.4985521853602521,0.4985865300596833,0.4988107192877489,0.49898200929821546,0.49812347693477016,0.4985713620066919,0.49852838581796527,0.4987384724354885,0.4982791408014901,0.4981343441052568,0.49892923470629197,0.49844333699076754,0.4982362992701983,0.49890842917749806,0.4988856463331484,0.49883770661866467,0.4988838969940091,0.4990302759303117,0.49832626666026614,0.4988827350563785,0.49871090057402906,0.49889554476868153,0.4991703614698009,0.4992270204625765,0.4984105866407033,0.49869755775716385,0.4987337186884926,0.4989400205526883,0.49909352495687004,0.4992791523827723,0.4985039055659517,0.49833784602719694,0.49871635252519325,0.4987635385604818,0.4981461639896879,0.4981887089506382,0.49911373414626514,0.49873607114060375,0.4985451297337928,0.4992700986523163,0.4989456337392954,0.49861711890376864,0.4992911048188986,0.4986524928810746,0.4986472352775416,0.49866569758051676,0.4987020402929536,0.4983415245879785,0.4991409797729826,0.4991740108183064,0.49858171708994053,0.49849957658658717,0.4989388191303163,0.49889058454884555,0.49878964503098655,0.498466810050707,0.49868467496539454,0.4985476914192596,0.49901588348064935,0.498990212202329,0.49896827701039775,0.49834388748158925,0.4990511993181107,0.49873310794938464,0.49877386297580667,0.4982558296604204
