,1_PMF,2_PMF,3_PMF,4_PMF,5_PMF,6_PMF,7_PMF,8_PMF,9_PMF,10_PMF,11_PMF,12_PMF,13_PMF,14_PMF,15_PMF,16_PMF,17_PMF,18_PMF,19_PMF,20_PMF,21_PMF,22_PMF,23_PMF,24_PMF,25_PMF,26_PMF,27_PMF,28_PMF,29_PMF,30_PMF,31_PMF,32_PMF,33_PMF,34_PMF,35_PMF,36_PMF,37_PMF,38_PMF,39_PMF,40_PMF,41_PMF,42_PMF,43_PMF,44_PMF,45_PMF,46_PMF,47_PMF,48_PMF,49_PMF,50_PMF,51_PMF,52_PMF,53_PMF,54_PMF,55_PMF,56_PMF,57_PMF,58_PMF,59_PMF,60_PMF,61_PMF,62_PMF,63_PMF,64_PMF,65_PMF,66_PMF,67_PMF,68_PMF,69_PMF,70_PMF,71_PMF,72_PMF,73_PMF,74_PMF,75_PMF,76_PMF,77_PMF,78_PMF,79_PMF,80_PMF,81_PMF,82_PMF,83_PMF,84_PMF,85_PMF,86_PMF,87_PMF,88_PMF,89_PMF,90_PMF,91_PMF,92_PMF,93_PMF,94_PMF,95_PMF,96_PMF,97_PMF,98_PMF,99_PMF,100_PMF
ACC,0.5267605633802817,0.536150234741784,0.532394366197183,0.5295774647887324,0.5276995305164319,0.5248826291079812,0.5258215962441315,0.5352112676056338,0.5389671361502347,0.5427230046948357,0.5201877934272301,0.532394366197183,0.5370892018779343,0.5276995305164319,0.5333333333333333,0.5305164319248826,0.5286384976525822,0.5342723004694836,0.5408450704225352,0.5352112676056338,0.5211267605633803,0.5211267605633803,0.536150234741784,0.5380281690140845,0.5201877934272301,0.5183098591549296,0.5511737089201878,0.5220657276995305,0.5267605633802817,0.5380281690140845,0.5201877934272301,0.5023474178403756,0.5183098591549296,0.5248826291079812,0.5192488262910798,0.5258215962441315,0.5154929577464789,0.5389671361502347,0.5258215962441315,0.5295774647887324,0.5230046948356808,0.5117370892018779,0.5483568075117371,0.5183098591549296,0.5389671361502347,0.5370892018779343,0.5389671361502347,0.5314553990610329,0.5483568075117371,0.5201877934272301,0.5258215962441315,0.5258215962441315,0.5164319248826291,0.5295774647887324,0.5173708920187794,0.5154929577464789,0.539906103286385,0.5370892018779343,0.5305164319248826,0.5521126760563381,0.5314553990610329,0.5446009389671361,0.5295774647887324,0.5089201877934272,0.5154929577464789,0.5295774647887324,0.5408450704225352,0.5455399061032864,0.5230046948356808,0.5333333333333333,0.5380281690140845,0.539906103286385,0.5295774647887324,0.536150234741784,0.5314553990610329,0.5370892018779343,0.5183098591549296,0.5183098591549296,0.5474178403755868,0.523943661971831,0.5201877934272301,0.532394366197183,0.5192488262910798,0.5305164319248826,0.5267605633802817,0.5464788732394367,0.5107981220657277,0.5201877934272301,0.5051643192488263,0.5352112676056338,0.5276995305164319,0.5107981220657277,0.5539906103286385,0.5521126760563381,0.5154929577464789,0.5464788732394367,0.5408450704225352,0.5220657276995305,0.5136150234741784,0.523943661971831
AUC,0.5286554082249988,0.5253567645885121,0.5307137424430258,0.5226431008743873,0.5283759908684791,0.5236156812911232,0.5257194637320147,0.531096789477213,0.533366534858541,0.5361089400491469,0.5298002513014051,0.5337723969747815,0.5225495854533552,0.5209397694612926,0.5268579442221352,0.5264777847145309,0.5230431416965238,0.5219322561234053,0.529039541602299,0.5291359818619209,0.5209770563273496,0.531554087673153,0.5312947420645718,0.5286950584464021,0.5225549783318904,0.5196179704715568,0.5409105571588042,0.5184039754291262,0.5288957473042167,0.531314263677319,0.5220591213780231,0.5183968443633162,0.519096784443208,0.523488123697277,0.5216132146544518,0.518214779450458,0.5222414187105369,0.5226646481274341,0.5297735626593981,0.5244856784114874,0.5216785464921784,0.519689824693785,0.5344352113677252,0.5205847227404691,0.5350674580132899,0.5283218080739583,0.5312412986460161,0.5275803639752676,0.5309832672407394,0.5149906935646634,0.5259987297314962,0.5277705636101258,0.5227893814084975,0.5209654253278837,0.5241576706003361,0.5155945617053139,0.5365158992018616,0.527260411676878,0.5231488394955004,0.5405970067782534,0.5293336903638048,0.5316767169784679,0.5327159670961341,0.5224066398754577,0.5216597578671733,0.5201226124020006,0.5339627809483717,0.5249114536126576,0.527074130409771,0.5291394544962504,0.5299470830977506,0.5348850600626525,0.5331410923566913,0.5338103426538519,0.5331539416122196,0.5331985081178088,0.521714942115386,0.5220581754097403,0.5339604928382681,0.515739303755698,0.5178938054239348,0.5286314458150525,0.5228730870267791,0.5242038966560197,0.5303537900498032,0.5318191854374626,0.5223443713369414,0.5294301152384494,0.5183801007996751,0.5308843180111447,0.5234388585890308,0.5161999923275595,0.5362882996507597,0.5355648717674228,0.5232177921706712,0.5351727303612254,0.5329481887394796,0.5258795793848546,0.5128337295350116,0.5268159304300217
Fscore,0.0004428703264813789,0.00044875063670823733,0.0004217724629065774,0.0004387499739979733,0.00042885805296502766,0.0004192416624975923,0.0004448404354854168,0.0004433365445197375,0.0004510526091492651,0.00045448528772187006,0.00040777463290782133,0.0004304935268979682,0.0004492899071676965,0.0004359073314367042,0.00043636247249559477,0.00043461853175525946,0.0004340785002374841,0.00044496052296235896,0.00045659591220918115,0.00044469219763028784,0.00043666770256938934,0.00041683880292093774,0.0004448028088648318,0.00044810962385785397,0.0004253307811965003,0.00042474808317275007,0.0004476095646504037,0.0004356213788895141,0.0004320844411568432,0.0004383414994261281,0.0004405563994358047,0.0003981023423185832,0.00042131901039915015,0.0004186948793457303,0.0004325817656869574,0.00044051450738053334,0.00042561229543347056,0.0004480196012583026,0.0004223774570584985,0.00042877273712385274,0.0004422332839683478,0.00042076152170252056,0.0004451392526919214,0.00042956960627950244,0.0004316948016297396,0.0004489565416243779,0.00043833132583364503,0.0004336426825022327,0.0004781414863379844,0.0004399453548120026,0.0004286968218531441,0.0004177147165402592,0.00042207729291288495,0.00043684331244745893,0.0004297331904763046,0.000431242172726735,0.0004322812927639537,0.0004428835979065138,0.00045233622765068743,0.000465639451917713,0.0004457563849536851,0.0004466549917668399,0.0004388714651985545,0.0004138614903742013,0.00043059127982266073,0.0004530641438400446,0.0004348307189068524,0.00045802636657375957,0.00044145641388703343,0.0004376369845629616,0.000448348816702837,0.0004454721132342456,0.0004415156440251829,0.0004246150451712108,0.00043285051390135764,0.00043089309728975287,0.00040978192691518096,0.0004152560308501579,0.0004503365886062814,0.00044040094600221474,0.00043912938444052923,0.0004403022780467541,0.00041522476540869655,0.00043782097333522064,0.00044498719396646245,0.00045073575232101735,0.0004229066858023242,0.0004299046664027991,0.00041290237368178954,0.0004154689597474194,0.00043562152072935343,0.00042862310522657864,0.00046256279711258516,0.0004737151824786409,0.0004104102475995582,0.0004480314505112204,0.0004427321828255452,0.00043002726529042915,0.0004355836064045143,0.00042422228637025437
HR@10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009737098344693282,0.0,0.0,0.0,0.0
HR@2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR@5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009737098344693282,0.0,0.0,0.0,0.0
Lin's AUC,0.5207139395416059,0.5163215347384417,0.5196586122157305,0.5202899453852335,0.5224552970591637,0.5164955297227362,0.5174975119414021,0.5185751822246071,0.521636551378857,0.5232841701196859,0.5145437234690923,0.518814464844057,0.5223259429913658,0.5218387840532522,0.5234967710532162,0.5146952240445238,0.5199736404300341,0.5125517377638693,0.5213401693283042,0.5249449158782515,0.529323813722216,0.5081074884285216,0.5215235635695182,0.518121749625212,0.5094866305386492,0.51261460009014,0.523633203334866,0.5206078970410566,0.5140320251411765,0.5224512013482371,0.5272655414002986,0.5063944644591453,0.5145944800432937,0.5039376376891377,0.5170481955846487,0.5126826035108013,0.5142877362518802,0.524821071030865,0.5144784160854172,0.5144105778263826,0.5254679465475445,0.5075056837271574,0.5224259544471114,0.5248069121234228,0.5285068404754718,0.528824999990126,0.5190376446844023,0.5182574888791627,0.5252878308716591,0.5242750559639638,0.5194015204789771,0.5196997471969849,0.5206563870659453,0.510766534082132,0.5146658098763915,0.5131009912080355,0.5285472614186613,0.5197950002138794,0.5217171719812347,0.5370092057562555,0.524377193495375,0.5344857377227084,0.5120522582365786,0.5110576510974197,0.5164014142651153,0.5230013617890155,0.5327818719387825,0.5204572850054183,0.5162769543594454,0.530113672377778,0.5176566109379777,0.5294691624645672,0.5096966373451146,0.516925902844524,0.5169720628992581,0.5257355353692416,0.5150659423881712,0.5133518128380987,0.5288621182908724,0.5112098695137329,0.5101884510490329,0.516814207060196,0.5213108981385777,0.519382807771327,0.5223160457885604,0.5336151629174585,0.5034723435376349,0.5195861439596944,0.511813155545322,0.5123936581970076,0.5146982101846626,0.5106513949397713,0.5318310476527603,0.5265395371336118,0.5270938855968124,0.5229789946029881,0.520208834231577,0.5135768576008011,0.5288630627405888,0.5172230113321806
NDCGk,0.19294522999007416,0.19187779615443415,0.19236777615457967,0.18707813927143363,0.19639306915766114,0.18803659728579936,0.19171819309177235,0.19225909712333433,0.19359091873212725,0.20063681050252022,0.1870318238156927,0.19053588003839445,0.1901693343243687,0.1911977990644083,0.18828760422597232,0.1920266173150721,0.19455494305154042,0.19487896178070305,0.19384848710001787,0.1893506185615861,0.19404831484905427,0.19059426570745905,0.1888007327490082,0.19231619941689093,0.18947487583177816,0.19152273096316796,0.1933658004684479,0.18941597192772897,0.1973197725249923,0.19316751785642386,0.18762614891015703,0.18957606221250917,0.19337745976353152,0.19571013531359172,0.18745723761126057,0.18903822284533098,0.19083332257649122,0.19103276024822569,0.18839484366672585,0.18940005985743033,0.1903776299549419,0.19448090420654027,0.190077624349254,0.18991167795009103,0.18916782796934417,0.19337199144218925,0.1947747372216008,0.188744772742424,0.19426054551170227,0.1913709356104076,0.18840129160606947,0.191949108011603,0.1905025479657,0.19079777383668173,0.18994012165509597,0.19120419886513426,0.18844019843463503,0.1934471089581414,0.18926660505701,0.1924604010098358,0.1884694520440293,0.19610482306333255,0.19561254575361112,0.18617206831910585,0.19648096089902173,0.19056492367915795,0.19245350789770554,0.19245665800416065,0.19166502964378296,0.19168231111585413,0.19052595853478324,0.19181961264369804,0.19283913490547797,0.19212996231498522,0.1946334121959293,0.18927515959727137,0.18610125291558222,0.18836894052209552,0.19138073159863003,0.1895743848371481,0.18673296942181455,0.19034099784007205,0.19713884167083745,0.19415575065163054,0.18786058010062817,0.187290038696034,0.19241083943857046,0.19257811474736136,0.18670612716474747,0.19034222286771033,0.19335134870579565,0.1893932375789888,0.1884460095313472,0.194148820293818,0.18998495289082942,0.19057678971509864,0.1924065627880396,0.1932464866828245,0.1880264305596629,0.19057585603680882
global AUC,0.5266770744162576,0.535486193382018,0.5303870901372577,0.5300695456491453,0.5230138187743827,0.5236799868850521,0.5243379204800861,0.5339334270332566,0.5378691685597692,0.5411892636019239,0.520583332527042,0.5307220104508344,0.5345652045619586,0.5253588965497125,0.5294228406393018,0.5314521825687563,0.5266856378508776,0.5312314977146013,0.5337001904987471,0.5338084040203658,0.525010568871806,0.5227015073131251,0.5337107208524087,0.5351843471501117,0.5223225819260546,0.5189757628346594,0.5452843470041178,0.521020914308698,0.5262819421438744,0.5355124409521279,0.5211584247019919,0.5019485766558938,0.5174813470435329,0.52133060843217,0.5225121777534646,0.5250790417257153,0.5160926263592421,0.5366391211965319,0.5216820505359521,0.527333192774188,0.5211755326109897,0.515572853576246,0.5388781765947581,0.519278363354463,0.5377712908432397,0.5347189663559165,0.536702982589788,0.5299390818710935,0.5492264575233022,0.5209462224953381,0.5237996251891505,0.5251837731576309,0.5193124316123127,0.525563652327321,0.5179563456266876,0.5142904157663002,0.5376613057755104,0.5357641587766593,0.5313120268094924,0.5478628871881474,0.5326377945434371,0.5427453603584504,0.532457886575447,0.5079939311825858,0.51564277482779,0.5304355261369244,0.5371648697532632,0.5414680681933733,0.5259921925465093,0.5328612459442403,0.5371600126338193,0.5380019290002058,0.5300934091748848,0.5299714981147942,0.5309973791166489,0.5344258723366943,0.5172460224093033,0.5186028198161909,0.5421769092144306,0.5226696062933978,0.5201898819457087,0.5293088871104382,0.5186557988547669,0.5283188994958373,0.5303722755932112,0.5415630482902755,0.5097560730131923,0.522495372383984,0.5083890346024265,0.5335463899599463,0.5258070746336986,0.512030035041718,0.5484446451247775,0.5459610941055921,0.5165557393435953,0.5430896396124621,0.5349575661659014,0.5197578604611757,0.5143459099222254,0.5254336848130003
global NDCG,0.46873253624568034,0.47000042857486257,0.46964467107861896,0.4691084409909767,0.4676123992506076,0.4691551277748262,0.4664080579054513,0.4683077770995689,0.47064359155038016,0.47060033782951455,0.4679307479978618,0.4688368406347592,0.4698670801567081,0.46892066288611783,0.46801482346389744,0.46983806322596605,0.4669786981073069,0.46900355045867675,0.4686803035593001,0.4696451091199129,0.4693222709585351,0.46894654194540025,0.46889248704955316,0.4693684677374342,0.4670401953304858,0.4685474659448337,0.4702444604775265,0.4681424999705736,0.4679013894325996,0.4705051836783789,0.46935454908412066,0.464682947645058,0.4671074959226853,0.4673497492345841,0.46788116133769964,0.4679690501949642,0.46592869129320325,0.47053644784788257,0.4667069688614496,0.46848870866512393,0.4684464340395583,0.46678963693005643,0.4685645776135912,0.4674879834032114,0.4694066380762684,0.4698440681069451,0.4701788839368513,0.46929509799020264,0.47220532233302676,0.46704197250690804,0.46745880146062413,0.46859295556077435,0.46713489572398176,0.4693090034495562,0.4669281040893556,0.4659463371566199,0.4722263613098317,0.46847958407901574,0.46994400900960026,0.47159694837329924,0.46926873625043325,0.47171012998146594,0.4693226523223043,0.4674747039586725,0.4677475369301796,0.46861800757876143,0.4703098738266112,0.4703988601473797,0.46706406279343987,0.46859567054847434,0.46875871033660316,0.4707897667865769,0.4690705547550991,0.46885077459748464,0.46864506451872145,0.47022449641617653,0.4677089186061271,0.4671784914494803,0.47019283942834317,0.46943570444814714,0.46904489058291304,0.468172400439653,0.46687596462485037,0.4698693805661533,0.4706387525698571,0.4704953383434949,0.4666878399352776,0.4689640261065857,0.46547060714046284,0.4682551335894222,0.4674430545996598,0.4648907409153457,0.47232843363708366,0.46971814640489484,0.4680246794846829,0.47287877947333806,0.4698055170833883,0.4674559436629619,0.46680817723925117,0.4678932183405575
