,1_ALSWR,2_ALSWR,3_ALSWR,4_ALSWR,5_ALSWR,6_ALSWR,7_ALSWR,8_ALSWR,9_ALSWR,10_ALSWR,11_ALSWR,12_ALSWR,13_ALSWR,14_ALSWR,15_ALSWR,16_ALSWR,17_ALSWR,18_ALSWR,19_ALSWR,20_ALSWR,21_ALSWR,22_ALSWR,23_ALSWR,24_ALSWR,25_ALSWR,26_ALSWR,27_ALSWR,28_ALSWR,29_ALSWR,30_ALSWR,31_ALSWR,32_ALSWR,33_ALSWR,34_ALSWR,35_ALSWR,36_ALSWR,37_ALSWR,38_ALSWR,39_ALSWR,40_ALSWR,41_ALSWR,42_ALSWR,43_ALSWR,44_ALSWR,45_ALSWR,46_ALSWR,47_ALSWR,48_ALSWR,49_ALSWR,50_ALSWR,51_ALSWR,52_ALSWR,53_ALSWR,54_ALSWR,55_ALSWR,56_ALSWR,57_ALSWR,58_ALSWR,59_ALSWR,60_ALSWR,61_ALSWR,62_ALSWR,63_ALSWR,64_ALSWR,65_ALSWR,66_ALSWR,67_ALSWR,68_ALSWR,69_ALSWR,70_ALSWR,71_ALSWR,72_ALSWR,73_ALSWR,74_ALSWR,75_ALSWR,76_ALSWR,77_ALSWR,78_ALSWR,79_ALSWR,80_ALSWR,81_ALSWR,82_ALSWR,83_ALSWR,84_ALSWR,85_ALSWR,86_ALSWR,87_ALSWR,88_ALSWR,89_ALSWR,90_ALSWR,91_ALSWR,92_ALSWR,93_ALSWR,94_ALSWR,95_ALSWR,96_ALSWR,97_ALSWR,98_ALSWR,99_ALSWR,100_ALSWR
ACC,0.8066,0.8162,0.807,0.812,0.8119,0.8127,0.8171,0.8079,0.8104,0.8097,0.8105,0.8067,0.8046,0.807,0.8102,0.8076,0.8079,0.8098,0.8101,0.8128,0.8087,0.8095,0.8117,0.8099,0.8136,0.8096,0.8072,0.8133,0.8219,0.814,0.8151,0.8071,0.8119,0.8083,0.8052,0.8091,0.8081,0.8105,0.8092,0.8125,0.8179,0.8106,0.8074,0.8098,0.8097,0.8086,0.8053,0.8201,0.8035,0.8126,0.8041,0.815,0.8161,0.8086,0.8149,0.8072,0.8059,0.8083,0.8102,0.8111,0.8087,0.8097,0.8085,0.8092,0.8085,0.8087,0.8089,0.8106,0.8081,0.8132,0.8112,0.809,0.8086,0.8093,0.8135,0.8187,0.8143,0.8104,0.8122,0.811,0.8135,0.8107,0.8113,0.8097,0.8108,0.8113,0.8122,0.8114,0.8116,0.807,0.8131,0.8072,0.8113,0.8116,0.8172,0.8158,0.8131,0.8106,0.8092,0.8188
AUC,0.7501628790003343,0.7536617316840403,0.7611356702923243,0.7526076221111424,0.7668096914928253,0.7512486786261864,0.7473628777800932,0.7529287293521656,0.7503232810844809,0.7560873941345821,0.7611861325141308,0.7557771023863384,0.7530473047812599,0.7540972026628059,0.7531732728822127,0.7611277996823488,0.7496848281987951,0.7432373648981543,0.748361722551676,0.752892732904687,0.75713275837417,0.7513022135696903,0.7593044962197575,0.7605944243818903,0.7510380868511173,0.7603078405595255,0.7425232190678812,0.7480944139780982,0.7507658451279083,0.7463575363879884,0.7601099620339831,0.7552436333719192,0.7541337147264475,0.7553840137830733,0.7516384121744918,0.7583102316375959,0.7582954113218521,0.7533703615960664,0.7501140776050886,0.7587317349818469,0.7532702810893426,0.7415199681161389,0.746836676666932,0.752588122356338,0.7474977245360571,0.7485395785614769,0.7527289025928792,0.7534809991575295,0.7449778216522874,0.7476272496055507,0.7514870008287409,0.7531349490086267,0.7599078011524508,0.756430600890578,0.7442934707355368,0.7483915194947737,0.7540233633333837,0.7539644505046822,0.7541941952493784,0.7477184247697278,0.7516415174541177,0.750745580661926,0.7554470572211539,0.7565557137909376,0.7621947616576361,0.7487417089612134,0.7589046647877195,0.7637071065281039,0.7471248079933607,0.7589508336879777,0.7547833975610654,0.7558208836066018,0.7583155423220878,0.7523795448896596,0.7557986495242249,0.7447934287390041,0.7520501359257394,0.7515196987646323,0.752626605215309,0.7513211678004278,0.7555648114267823,0.7553166613788599,0.7522317755371069,0.7522256600601436,0.7561002718858646,0.7544851565715228,0.7456620470407421,0.7503926227324458,0.7510953652402772,0.7556986274618693,0.7512919222714711,0.7511740822750752,0.7538164052038296,0.7501835440490612,0.7539067084129388,0.7474808947549545,0.7492651746750864,0.755864430723757,0.7436534899323742,0.7593507746846703
Fscore,0.5935022939421561,0.5953165803853272,0.5955056377691776,0.5923985816879658,0.6007246748579039,0.5938174834817983,0.5938288652577446,0.5943319443246614,0.589895532564762,0.5965378441507709,0.5967460999168273,0.594530401453316,0.5954672124399757,0.6002831468889116,0.5926960233335321,0.5981643441080418,0.5971919875910088,0.5928706149946502,0.5946091615751875,0.5951364198131537,0.5944248807324389,0.5880295613974116,0.5985026935149013,0.5985719705834255,0.5908982701783255,0.5960932879928987,0.5909789950781223,0.5935581015511352,0.5948686605048239,0.5920170206406151,0.5958554544428167,0.5979613984495747,0.596066124973564,0.5952754714622499,0.5910210185403166,0.5980537066282109,0.5940914412266237,0.5937316365656273,0.5937892896216741,0.5959320150774898,0.5953641256962358,0.5952738094171939,0.5911771048035159,0.593310878014869,0.5963485847031563,0.5925503509172926,0.5980426763782307,0.5944949789468943,0.5928548277797365,0.5882607538655903,0.5913887266832867,0.5990081484203563,0.5949352184687594,0.5932873602816879,0.5947760852402746,0.5949597854272514,0.5959840113462402,0.5963680147824453,0.5985261830815055,0.5963404741231457,0.5930283888420488,0.5956020099522337,0.594328032856001,0.5938864363646597,0.5973051998247555,0.5931753185455912,0.5941516885737874,0.5963046362770448,0.5909797723695117,0.5904714575343646,0.5967528318278379,0.5915085198412295,0.5925127704556372,0.5943498031768152,0.5969914166726312,0.591389248900957,0.5912709264011652,0.5956931242252687,0.5961315812459483,0.5929704235095282,0.5993764094887776,0.5941167598876271,0.5953354186102879,0.5955052291086207,0.5985845583638673,0.5965072113902268,0.6017976490834023,0.5969233115970791,0.5930332553159379,0.5948771884564871,0.5978279079339763,0.5912243603415765,0.5942882225844476,0.5919502301720343,0.5954654587974091,0.5938771106694283,0.5940146391648414,0.5952039698522869,0.5975991867037128,0.5959283051079021
HR@10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR@2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR@5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lin's AUC,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999754500818331,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
NDCGk,0.9381953815605264,0.9373132693893912,0.9399218925620456,0.9404353991528328,0.9399964736394908,0.9377155702313028,0.9370046461785684,0.93983806871812,0.9384928832048912,0.9400747809447038,0.9423908468320812,0.9395756752714575,0.9385979629394262,0.9412124339711363,0.939126898958778,0.9372868273237416,0.9375877938274119,0.9350286280823805,0.9375877983918646,0.9375893747559428,0.9372193907797383,0.9396486037948677,0.9424058586405016,0.9372916657420107,0.9346489694303075,0.9435699165799418,0.9368250141234981,0.9387008766195808,0.9370188736344345,0.9378290123435759,0.9399659124969884,0.9369386001234659,0.9378634612896639,0.9370060464333955,0.9341539738155066,0.9391751758254605,0.9417749294320288,0.9379481354551004,0.9371501600720887,0.9343340233717922,0.9350491271375446,0.9357945329039973,0.9365967586602781,0.9349251434965221,0.9378050684717368,0.9367772920191012,0.938889603189706,0.9358126670764196,0.9348644268491811,0.9380752011208493,0.9374246163799808,0.9398465662619429,0.9395609813451016,0.9376564448940634,0.9378897456905289,0.9357281457168432,0.9373699667480163,0.9388699984037467,0.9402393097854942,0.9347485889605462,0.9383936690782246,0.9380450941118803,0.9399435646711055,0.938015825272876,0.9417919343610096,0.9383804521073853,0.9387820132206082,0.9371402718955463,0.9356419878329224,0.9387638685726085,0.9410811955220814,0.938635909389559,0.9397395680844288,0.938240587017398,0.939348254144239,0.9360485816280553,0.9398396937577758,0.9395806414058984,0.9386300295899019,0.9379506834444377,0.9394912543059849,0.939876504429189,0.9354882666337736,0.937020628665168,0.9398204635593966,0.9386247851439451,0.9401243849052042,0.9400385246191643,0.9345684093891333,0.9347827428387896,0.9382516901206767,0.9372450144292728,0.9384825697484476,0.9370210575994803,0.9415941458540003,0.9378988839415641,0.9360161099365818,0.9348328206605059,0.9389982998364714,0.9373261566049242
global AUC,0.9800336539634146,0.9834349466463412,0.9792920472560976,0.9822845457317072,0.9802232789634148,0.9822609115853658,0.9815884375,0.9796634176829268,0.9784260106707318,0.981424987804878,0.9817323719512195,0.9802099085365854,0.981577943597561,0.9800153719512196,0.9810707332317075,0.9804533734756097,0.9802557149390244,0.9796067408536585,0.9805548780487806,0.9824775899390245,0.9806853201219513,0.9814956920731708,0.9813765625,0.9804313826219512,0.9803943993902439,0.9810588155487805,0.9790727256097562,0.9808602881097561,0.9831872012195122,0.9823111448170733,0.982406118902439,0.9802154999999999,0.9811592759146341,0.9799224618902439,0.9811015106707318,0.980536899390244,0.9799113765243902,0.9820215015243902,0.9808205472560976,0.9817814908536586,0.9817246676829269,0.9815863795731709,0.9808069908536585,0.9805675853658536,0.9816119573170733,0.9805475777439026,0.9801309512195122,0.9833748338414633,0.9786035457317074,0.9819938323170732,0.9796475487804878,0.9820374618902439,0.9817212637195123,0.9814240228658537,0.9828348978658537,0.9811646310975609,0.9792466829268291,0.9798324222560976,0.9806698323170732,0.9798790990853657,0.9820616539634147,0.980891955792683,0.9789924847560975,0.9805589908536586,0.9815664573170731,0.979585143292683,0.9807556722560976,0.9816846234756098,0.9809032972560975,0.9829985457317073,0.9817404878048781,0.9816755670731707,0.9791464237804879,0.9803512012195122,0.9819146615853659,0.9812414024390245,0.9811120975609756,0.981236631097561,0.9817849435975611,0.9806466493902439,0.9834257408536586,0.9810075289634146,0.9813321402439024,0.9805146036585366,0.9810197286585367,0.9812791539634147,0.9825229466463414,0.983160887195122,0.9814932179878049,0.9802074542682926,0.9818882210365854,0.9805278902439025,0.9822472240853659,0.9806440152439024,0.9824581890243903,0.9827882271341464,0.9819439237804879,0.9798157484756098,0.9810447439024391,0.9827520015243902
global NDCG,0.915339034660174,0.9228004332394636,0.9137732383132402,0.9203502434694096,0.9157539018828058,0.9204425148523756,0.9187697195076212,0.9146350649708744,0.9121676016408752,0.9183279322268156,0.9191485264526259,0.9158130716220969,0.9186888251459333,0.9154767297215829,0.9179945376589522,0.9161119206826988,0.9158581580176025,0.9147055386321696,0.9168550966512874,0.9213385729390154,0.9165941402182497,0.9184387150834987,0.9181412275908146,0.9163848091430732,0.91624784331762,0.917596245275644,0.9133359617613712,0.9172557600685053,0.9224858673817857,0.9203286875898005,0.920880397402169,0.9159548467829782,0.9182110210254858,0.9151658360942921,0.917837668052401,0.9163379573754934,0.915082176020651,0.9200306502122654,0.9170290552853829,0.9191401271066577,0.9190471231262483,0.9188449253684551,0.917082291394215,0.9165713297118332,0.9186386711771563,0.9165253267519592,0.9156038883801862,0.923070808462001,0.9124040050284271,0.919750721196184,0.9144700573099164,0.9198648161729175,0.9192761730440168,0.9188190291074212,0.9218070261471593,0.917872444052035,0.9136910056035898,0.9149727660319381,0.9168067446462026,0.9150220668303748,0.9200133121044348,0.9170220490327339,0.9131653252091939,0.9163774596491278,0.9187207806972345,0.9144582075434652,0.9171071650063745,0.9191536535835727,0.9172111708716687,0.9220671128754209,0.9194280405072451,0.9191440667858513,0.9134391145034254,0.9160898044031982,0.9193949616174327,0.9177877251638161,0.9178022007194209,0.9180743666761423,0.9193245498329592,0.9166055186168555,0.9231889773588696,0.9174973531973842,0.9180791874489471,0.9163664356497779,0.9178673114860829,0.9180411358291213,0.9206849805325704,0.9223936644942444,0.9186103292610797,0.9156243605709229,0.919374623835969,0.916754070955359,0.9203478837211609,0.9168001325968129,0.9205463376421713,0.9215715050549661,0.9194451728268249,0.914847279641878,0.9179494908520236,0.921609141345612
