,1_DDA_SKF,2_DDA_SKF,3_DDA_SKF,4_DDA_SKF,5_DDA_SKF,6_DDA_SKF,7_DDA_SKF,8_DDA_SKF,9_DDA_SKF,10_DDA_SKF,11_DDA_SKF,12_DDA_SKF,13_DDA_SKF,14_DDA_SKF,15_DDA_SKF,16_DDA_SKF,17_DDA_SKF,18_DDA_SKF,19_DDA_SKF,20_DDA_SKF,21_DDA_SKF,22_DDA_SKF,23_DDA_SKF,24_DDA_SKF,25_DDA_SKF,26_DDA_SKF,27_DDA_SKF,28_DDA_SKF,29_DDA_SKF,30_DDA_SKF,31_DDA_SKF,32_DDA_SKF,33_DDA_SKF,34_DDA_SKF,35_DDA_SKF,36_DDA_SKF,37_DDA_SKF,38_DDA_SKF,39_DDA_SKF,40_DDA_SKF,41_DDA_SKF,42_DDA_SKF,43_DDA_SKF,44_DDA_SKF,45_DDA_SKF,46_DDA_SKF,47_DDA_SKF,48_DDA_SKF,49_DDA_SKF,50_DDA_SKF,51_DDA_SKF,52_DDA_SKF,53_DDA_SKF,54_DDA_SKF,55_DDA_SKF,56_DDA_SKF,57_DDA_SKF,58_DDA_SKF,59_DDA_SKF,60_DDA_SKF,61_DDA_SKF,62_DDA_SKF,63_DDA_SKF,64_DDA_SKF,65_DDA_SKF,66_DDA_SKF,67_DDA_SKF,68_DDA_SKF,69_DDA_SKF,70_DDA_SKF,71_DDA_SKF,72_DDA_SKF,73_DDA_SKF,74_DDA_SKF,75_DDA_SKF,76_DDA_SKF,77_DDA_SKF,78_DDA_SKF,79_DDA_SKF,80_DDA_SKF,81_DDA_SKF,82_DDA_SKF,83_DDA_SKF,84_DDA_SKF,85_DDA_SKF,86_DDA_SKF,87_DDA_SKF,88_DDA_SKF,89_DDA_SKF,90_DDA_SKF,91_DDA_SKF,92_DDA_SKF,93_DDA_SKF,94_DDA_SKF,95_DDA_SKF,96_DDA_SKF,97_DDA_SKF,98_DDA_SKF,99_DDA_SKF,100_DDA_SKF
ACC,0.5274,0.4769,0.52,0.4745,0.4752,0.4942,0.4621,0.4836,0.4786,0.5187,0.4984,0.4861,0.461,0.4801,0.481,0.474,0.4954,0.4608,0.4882,0.4858,0.5345,0.4804,0.5024,0.5171,0.4599,0.4772,0.5111,0.4824,0.4939,0.5037,0.5156,0.5119,0.4798,0.4785,0.5038,0.4926,0.4738,0.4748,0.4888,0.5017,0.4757,0.4476,0.4977,0.4855,0.5074,0.4974,0.5025,0.4558,0.4932,0.4742,0.4794,0.4991,0.4867,0.4749,0.5042,0.4872,0.4697,0.4864,0.494,0.4721,0.4888,0.4938,0.4881,0.477,0.4466,0.5274,0.5031,0.4619,0.5126,0.44,0.4714,0.4823,0.4811,0.4859,0.4736,0.5058,0.4559,0.4962,0.4972,0.5052,0.5292,0.4838,0.4751,0.4711,0.4975,0.4677,0.4667,0.4885,0.4594,0.4975,0.4889,0.4776,0.5063,0.4937,0.4985,0.5134,0.5211,0.4744,0.5083,0.4864
AUC,0.705398304118622,0.6734954175210716,0.7002387882170066,0.6728829757772503,0.6729745820822037,0.6846936696577732,0.6655175622527818,0.6777366989769557,0.6753010186376889,0.699739029026197,0.6875747183971035,0.6798396242736332,0.6644585235612996,0.675553257887159,0.6764526163020629,0.6725709629957666,0.6854613138115829,0.6643147098258122,0.6809002866835624,0.6798076794155188,0.7106748613513474,0.6744964165785946,0.6892736252818602,0.7002892767103708,0.6639401928178157,0.6750868866421559,0.6952621613665875,0.6765217565228003,0.6843503429876091,0.691071489269076,0.6976074725438918,0.6952836555187559,0.6750231581932848,0.6750297888700669,0.6916871320802798,0.6848726881336097,0.6717496286297197,0.6723728240968444,0.6824986715209829,0.6901985039991135,0.6731999795472018,0.6549188772009855,0.6872581229832073,0.6778875922768628,0.6936112701572287,0.6862987805807174,0.6895931367785786,0.6604775430797334,0.6841369252152333,0.6726388570727141,0.6747674777820788,0.6868937708142231,0.6791491027509015,0.6734593579922297,0.6910860154097581,0.6802965383645175,0.6703130491041149,0.6809286680735362,0.6850283852036607,0.6710485112055378,0.6821755464599432,0.684071917183953,0.6807060532883503,0.6743448114081645,0.6554330155619358,0.7055493079452265,0.6903792490440293,0.6648087766309599,0.6950521820059576,0.6504291497177505,0.6710174069524704,0.6780142934298352,0.676355893928648,0.679959445954073,0.6724621122132511,0.6915831101471409,0.6619184847188291,0.6864309364353542,0.6871450050760077,0.6911557762794771,0.7078723728488984,0.6776274747630745,0.6728350499420866,0.6703168742157217,0.6878145870078913,0.6679893513480573,0.6677760826121082,0.6806167244311625,0.6626889016513089,0.687817576670336,0.6807914616959462,0.6745805888911377,0.6933915818282206,0.6841939559792101,0.6873784977218407,0.6961046763673383,0.7026784490833538,0.6724497702037905,0.6933519988736557,0.6803723422735463
Fscore,0.3806559718209271,0.3362676992161336,0.37458004134167794,0.3322189480908857,0.33652855911769847,0.35304869523717186,0.3242923404961985,0.3431507909481218,0.33599475718031513,0.37436445478937247,0.3569720974565518,0.34535618227330206,0.32222128557975865,0.34075460209888625,0.3377592744580549,0.3343745237985397,0.35402442427199676,0.32316374621778393,0.3487395805767548,0.34595120856837125,0.387127048463835,0.33319344145537744,0.35699767831922785,0.3747939710746195,0.31914997566330255,0.3366115956920342,0.36665494556105893,0.34085679695745286,0.35330957615852765,0.3610347477347277,0.3706068664326769,0.3678645667333291,0.33838485423190534,0.3372624158241983,0.35981733657676884,0.351603231677847,0.3322752369195867,0.3336013699547113,0.34894312644857545,0.35819243365467124,0.3362637100335762,0.31011308841969765,0.3552497792213123,0.3425426098307405,0.36557672483254455,0.35566726531406784,0.36197093077508086,0.31719983138570534,0.350786081260685,0.33380516739682575,0.33613215018728015,0.35866380265823605,0.34455879331326733,0.3343241103221652,0.3615194387349331,0.34615961866326167,0.33043909299245366,0.34611917732993397,0.35436359748788876,0.3344695009867111,0.3481330744773887,0.35281646821259227,0.34631278078564665,0.3357586400998204,0.30632071590768545,0.38142844125969544,0.3585376618182687,0.32091203533365087,0.36719012803052,0.2986200663137957,0.3314080858075203,0.34175580960276797,0.33937853077247143,0.345451251013707,0.33585350188851926,0.36314438543280353,0.3160405491612299,0.35415519716809485,0.3563840007714985,0.3608155424618593,0.38729124274912796,0.3417216992386411,0.3344680878109405,0.3313523636749117,0.3582246034001581,0.3261065291798293,0.33166092998636876,0.34771650689325556,0.32078711010466776,0.3555690614705071,0.34644419722734227,0.33568817173774734,0.3637175206079267,0.3506325749092783,0.35815342457094956,0.3700394565582371,0.3754217414637212,0.33528576709218044,0.3663464926389545,0.3448812840712519
HR@10,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125
HR@2,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025
HR@5,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625
Lin's AUC,0.9235277985046717,0.9278412962284023,0.9264015308201872,0.9309246513586226,0.9346948653821624,0.9355503170320065,0.9231051293983857,0.9234298885003915,0.9442217969922959,0.9331830636251732,0.930300354082463,0.9263614104059639,0.9408038954827574,0.9433661609610747,0.9332667171162214,0.9250814661284861,0.9341608494350939,0.9227596185806273,0.9312623115035634,0.9286537373649896,0.9297273225072178,0.9307631421481031,0.9196425642113124,0.9313200992575097,0.9507732504597268,0.9382641260800884,0.926344293229954,0.9305011717443028,0.9271884804137888,0.9290222209249187,0.9260501293962272,0.9322365278696022,0.9323730203633079,0.9256421793488232,0.9331990297091146,0.946896356677082,0.9341042076345559,0.9330517427511675,0.9302648672822975,0.9332110765641896,0.9312753076683004,0.9344610397199021,0.9520315666036135,0.9280673763560621,0.941483157488469,0.9221834931412866,0.9300754467984206,0.9228875895141286,0.9213412327184451,0.9253984565938167,0.9270379079885693,0.9239485436259801,0.9304397640541654,0.9280503969385403,0.9272323001676551,0.9373801486257554,0.9312904610297806,0.9295991047480764,0.9286081932820242,0.9330319127738883,0.9252325990780804,0.9300104917435311,0.9344439553304995,0.9384440972569769,0.9234573566640805,0.9327572069552997,0.9383995436421045,0.9345937004937025,0.9311505810161685,0.9326368629301556,0.9279076535864184,0.933362670834092,0.9214381626005325,0.9337170733817024,0.933049534080266,0.9284271875960554,0.9212167189537847,0.9292453412443678,0.9380639503213145,0.9337821900140415,0.9310875468481072,0.9477491432903414,0.9302485411829511,0.9256129845401646,0.9351349831305817,0.9418697943081636,0.9279389276564908,0.9238173848769295,0.9308456971207251,0.9400175127408688,0.9341107491732208,0.9307284788562963,0.9357256295944067,0.9315865509666531,0.9306617180909171,0.9505719266693737,0.9266288087908424,0.9356644808161895,0.9235982766206599,0.9295144392786898
NDCGk,0.9490800435640239,0.9405899306393661,0.9458357015136385,0.9396886071135286,0.9407585502074347,0.9434507515634025,0.9385966800639468,0.941979443545975,0.9398820750278167,0.9475051828581936,0.9442526081737305,0.9416907432032484,0.9382437402672535,0.9420577032710802,0.9404947539482937,0.9404348481482545,0.9432957502337922,0.9386451017516073,0.9418594824874728,0.9421008853353794,0.9507916057893664,0.9385903800857833,0.9447891205192643,0.948315438039566,0.9362201237250498,0.9407720811997331,0.9461634190634931,0.9411663044780495,0.9436445857846749,0.9446723873245801,0.9462104743334102,0.9453897960034796,0.941201893559269,0.9407097908493859,0.9444112353728099,0.9436186045187702,0.9392254238626105,0.9401048280638669,0.9427640532814172,0.9456205322297103,0.9408225874474465,0.9361756876567121,0.9441531560108598,0.9406613676124563,0.9466756739467137,0.9432849141662871,0.9460758693263261,0.9367946246039907,0.942614684338172,0.9396087192113811,0.939622146963579,0.9451962731323305,0.9420041154072546,0.9395198268409686,0.9452022688500117,0.9430379316138058,0.9403521787178357,0.9424393149069534,0.9444024350656393,0.9418835687104145,0.9419648541308889,0.943271402875343,0.941856086283858,0.9409594312133231,0.9350262984829701,0.948182664379994,0.9435576304689639,0.938507218648667,0.9446981812608106,0.9321525138127271,0.9405145209974458,0.9416202579303973,0.9399890054781624,0.9423484711316702,0.9410632733919713,0.9448587711985279,0.9372579231016283,0.9442557463475435,0.9437161418450499,0.9444209247343482,0.950513419426832,0.9406569787907537,0.9411561236812793,0.9397080594679068,0.9449374935075826,0.9407084736692848,0.9416819180965831,0.9433663227916472,0.9378857684264084,0.945162003666708,0.9437656270365143,0.9400469046862295,0.9466595840028785,0.9429607696439953,0.9441007400645219,0.9454707043509251,0.9478973661507436,0.9406677116860087,0.9467271512299856,0.942365887139198
global AUC,0.4721158536585366,0.41673475609756094,0.46413109756097565,0.41503048780487806,0.4163323170731707,0.4366524390243902,0.4003231707317073,0.423875,0.42073475609756095,0.4641524390243902,0.44103353658536587,0.42741158536585366,0.4013567073170731,0.42245731707317075,0.4223628048780488,0.4131707317073171,0.4378018292682927,0.3984085365853659,0.42983841463414635,0.42691463414634145,0.4807317073170732,0.42121646341463415,0.44408231707317075,0.46187804878048777,0.4012012195121951,0.4184817073170731,0.4539359756097561,0.4235640243902439,0.4353932926829268,0.44726219512195126,0.45899695121951223,0.4558963414634147,0.4207713414634146,0.41852134146341463,0.4471737804878049,0.4367560975609756,0.41473475609756094,0.41529878048780494,0.4302987804878049,0.4446859756097561,0.4157378048780488,0.38581097560975613,0.44314634146341464,0.4266310975609756,0.45258841463414634,0.43905182926829267,0.4454725609756098,0.39366768292682924,0.4342591463414634,0.4136798780487805,0.4201189024390244,0.44073475609756096,0.4281920731707317,0.4146920731707317,0.44666768292682923,0.4293810975609756,0.40941158536585365,0.4276341463414634,0.43643292682926826,0.41215243902439025,0.42930792682926827,0.4364420731707317,0.43020121951219514,0.4190548780487805,0.38328048780487806,0.4730609756097561,0.44725914634146346,0.401109756097561,0.45629878048780487,0.3769817073170732,0.41110975609756095,0.42383536585365855,0.42090243902439023,0.4275274390243903,0.4142865853658537,0.44849999999999995,0.3932743902439024,0.4385731707317073,0.44058536585365854,0.4489542682926829,0.47497560975609754,0.42683841463414635,0.41547560975609754,0.4108871951219512,0.4411128048780488,0.40852743902439026,0.4058292682926829,0.4292987804878049,0.39815243902439024,0.4416310975609756,0.43109451219512196,0.4184024390243902,0.45019207317073173,0.4364237804878049,0.44128048780487805,0.4597530487804878,0.46561280487804874,0.4156524390243903,0.45157926829268297,0.4279237804878049
global NDCG,0.8730728106280249,0.8555192816535071,0.8705848350659557,0.8547071313284992,0.8549916693211365,0.8617311879550571,0.8501119956599928,0.8579100944716493,0.8562569052294309,0.8702289647648818,0.8631891563035216,0.8588473701417912,0.8498375965064946,0.8568001773280582,0.8570592535819244,0.8544489790278837,0.8621426374430539,0.8496031417086322,0.8596001215743481,0.858730803617943,0.8754932790194265,0.856815481901992,0.864503355464999,0.8696545867281609,0.8494924546193304,0.8557108176323199,0.8675245168640952,0.8575406272752373,0.861571029650805,0.8650576121386113,0.8690709441148496,0.8678625568351803,0.8566127626764921,0.8560972285413728,0.8650806216397399,0.8612775908704904,0.8544814833129344,0.8548120772124284,0.8598010607502051,0.8643408814222624,0.8551050878225496,0.8447814137908647,0.8631138050342232,0.8586267471972091,0.8664113251839565,0.8627875880644921,0.8646134620940052,0.8477910917037194,0.8613032788953662,0.8545384486580082,0.85645658404953,0.8633707268249372,0.8590678027462456,0.8548060871850229,0.8651636164587148,0.8592830272979302,0.8529431467863838,0.8589477442269454,0.8616608981170936,0.853822720896741,0.8597427324585594,0.8616040355336743,0.8595924646660495,0.8556853184318103,0.8443189884200192,0.8731284254729961,0.8648880589330977,0.8500974026777698,0.8680808302888133,0.841862948945958,0.8535522006460963,0.8575272833209814,0.8570026817458121,0.8587959705923921,0.8543955781847716,0.8657217610650878,0.8477987425062938,0.8624168306013305,0.8628207526776785,0.8655797564040126,0.8737282885212413,0.8581428204087814,0.8549115925856775,0.853449376902844,0.8629373432113736,0.8522899899507148,0.8518298810071228,0.8596553069787792,0.8491603411227632,0.8629677970023447,0.8598768257204966,0.8558244432228511,0.8659617891045008,0.8615742510604745,0.8632321527547544,0.868506027201154,0.8709735829945309,0.8547139651662197,0.8666041139112234,0.8589647845095908
