,1_HAN,2_HAN,3_HAN,4_HAN,5_HAN,6_HAN,7_HAN,8_HAN,9_HAN,10_HAN,11_HAN,12_HAN,13_HAN,14_HAN,15_HAN,16_HAN,17_HAN,18_HAN,19_HAN,20_HAN,21_HAN,22_HAN,23_HAN,24_HAN,25_HAN,26_HAN,27_HAN,28_HAN,29_HAN,30_HAN,31_HAN,32_HAN,33_HAN,34_HAN,35_HAN,36_HAN,37_HAN,38_HAN,39_HAN,40_HAN,41_HAN,42_HAN,43_HAN,44_HAN,45_HAN,46_HAN,47_HAN,48_HAN,49_HAN,50_HAN,51_HAN,52_HAN,53_HAN,54_HAN,55_HAN,56_HAN,57_HAN,58_HAN,59_HAN,60_HAN,61_HAN,62_HAN,63_HAN,64_HAN,65_HAN,66_HAN,67_HAN,68_HAN,69_HAN,70_HAN,71_HAN,72_HAN,73_HAN,74_HAN,75_HAN,76_HAN,77_HAN,78_HAN,79_HAN,80_HAN,81_HAN,82_HAN,83_HAN,84_HAN,85_HAN,86_HAN,87_HAN,88_HAN,89_HAN,90_HAN,91_HAN,92_HAN,93_HAN,94_HAN,95_HAN,96_HAN,97_HAN,98_HAN,99_HAN,100_HAN
ACC,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
AUC,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Fscore,0.5342750559944043,0.5352982639438871,0.5326007159827908,0.5326699608670663,0.5376121956027726,0.534674301742669,0.5355711858738317,0.5340020054962331,0.5305787214731701,0.5349762258097852,0.5346326343293059,0.5339323248901368,0.5351944394541228,0.5390090361230392,0.53252120662862,0.5345383914999838,0.5377701738826923,0.5357153862615534,0.5360480674291513,0.5347791950249255,0.5328572599304047,0.5281035974141897,0.5347601062457871,0.5363530183164146,0.5306083521824325,0.5329892451704501,0.5323353309209145,0.534696410456377,0.5353683565795869,0.5336194774433336,0.5331981225317852,0.5378345928783296,0.5361163125115026,0.5330279696419548,0.5306558611570634,0.5362898116217732,0.531700607923563,0.5325769955218393,0.5347930277513824,0.533490519757312,0.5354020208566193,0.5386503500463601,0.5322948356979267,0.5324986138496743,0.5381860721006549,0.5329122173217242,0.5380035826557014,0.5339565343282867,0.5327935484392867,0.5293596389819479,0.5309217388271155,0.5392882705360011,0.532733256595852,0.5319541714827489,0.5373241381711934,0.5352385131980728,0.5353964063771385,0.5366905594358571,0.5376531841449145,0.5381374049807061,0.5340198046601214,0.5356061350907434,0.5334233225450374,0.5326531465549835,0.5336507356751049,0.534299409295116,0.5322366267203056,0.5329615229088027,0.531735450585784,0.5275416712404278,0.5362253184500075,0.5308231717970757,0.5304568392455262,0.5347569845698046,0.5366691036348668,0.5334792067902155,0.5318364081893262,0.5346030331637001,0.5366025412190256,0.5326699675671649,0.5393767296847751,0.5334470359896983,0.534616683887614,0.5352474360663336,0.5381365616924794,0.535446948750992,0.5449021201276116,0.538076934260011,0.5337154469683906,0.5339149645911841,0.5375116144479035,0.5310735593981497,0.5329042263146185,0.5332345296204056,0.5350746936357039,0.5357753350122615,0.5341928628048902,0.5341093826751436,0.5396244523902709,0.5343331873856653
HR@10,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125
HR@2,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025
HR@5,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625
Lin's AUC,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
NDCGk,0.8844161322003714,0.8893956393813091,0.8873640021299118,0.8821878727593014,0.8872096109600102,0.8886013525940183,0.8883580231108494,0.8896917158734721,0.8822916204440733,0.8869963668965363,0.8853260341368516,0.884917440831682,0.8833443668082662,0.8907151477747206,0.885545047090492,0.8876453285751876,0.888579906126914,0.888803364159871,0.8914321185947083,0.8865179729699668,0.8821684680030016,0.8816564477487953,0.8859845617292781,0.88576283216392,0.8805145087719748,0.8853014684895775,0.8875921544231553,0.8871946058629502,0.8865765803863591,0.8861566068374543,0.8855751053433196,0.8859269095824606,0.8873313021825229,0.8836345436429954,0.8824048823015258,0.8876786812758397,0.8856345982476447,0.8852170334665268,0.8904383631278924,0.8840886612765851,0.8830981970504951,0.8870719664349275,0.8847354780947646,0.8857089643146732,0.891176930963486,0.8858367179652573,0.8883068262234075,0.8855457358807292,0.8814734372264518,0.8830297482702082,0.8822373907869718,0.8854375994959781,0.8868977452937267,0.8866624308084797,0.8851573573437906,0.886610435611226,0.8876581940968461,0.8882073633147851,0.8893156908924119,0.8902367509650293,0.8874497245915285,0.8863212018975603,0.8860398166385931,0.8878604118411202,0.8863849215947589,0.8859316938591355,0.8819263499004816,0.8860464479943104,0.8854059796795245,0.880439940909341,0.8877951235872552,0.8878626194208333,0.8876537844352427,0.8869725036031016,0.889953911386106,0.8874041602910647,0.8875022005229141,0.8880104034122676,0.889147997730891,0.8815076997350806,0.8877922948200621,0.887162301422867,0.8818832710504267,0.8856850691762469,0.8873062830938142,0.8895314944380535,0.8922702917323818,0.8917883992896226,0.8888665203145553,0.8865636113399077,0.8897949889773767,0.8868258651747457,0.8862979149828947,0.8838406666162443,0.8864696017633865,0.8876966425823007,0.8878183191033863,0.8854194076760546,0.8921499827559287,0.8913290877021022
global AUC,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,1.0,1.0,1.0,1.0,1.0
global NDCG,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
