,1_LRSSL,2_LRSSL,3_LRSSL,4_LRSSL,5_LRSSL,6_LRSSL,7_LRSSL,8_LRSSL,9_LRSSL,10_LRSSL,11_LRSSL,12_LRSSL,13_LRSSL,14_LRSSL,15_LRSSL,16_LRSSL,17_LRSSL,18_LRSSL,19_LRSSL,20_LRSSL,21_LRSSL,22_LRSSL,23_LRSSL,24_LRSSL,25_LRSSL,26_LRSSL,27_LRSSL,28_LRSSL,29_LRSSL,30_LRSSL,31_LRSSL,32_LRSSL,33_LRSSL,34_LRSSL,35_LRSSL,36_LRSSL,37_LRSSL,38_LRSSL,39_LRSSL,40_LRSSL,41_LRSSL,42_LRSSL,43_LRSSL,44_LRSSL,45_LRSSL,46_LRSSL,47_LRSSL,48_LRSSL,49_LRSSL,50_LRSSL,51_LRSSL,52_LRSSL,53_LRSSL,54_LRSSL,55_LRSSL,56_LRSSL,57_LRSSL,58_LRSSL,59_LRSSL,60_LRSSL,61_LRSSL,62_LRSSL,63_LRSSL,64_LRSSL,65_LRSSL,66_LRSSL,67_LRSSL,68_LRSSL,69_LRSSL,70_LRSSL,71_LRSSL,72_LRSSL,73_LRSSL,74_LRSSL,75_LRSSL,76_LRSSL,77_LRSSL,78_LRSSL,79_LRSSL,80_LRSSL,81_LRSSL,82_LRSSL,83_LRSSL,84_LRSSL,85_LRSSL,86_LRSSL,87_LRSSL,88_LRSSL,89_LRSSL,90_LRSSL,91_LRSSL,92_LRSSL,93_LRSSL,94_LRSSL,95_LRSSL,96_LRSSL,97_LRSSL,98_LRSSL,99_LRSSL,100_LRSSL
ACC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AUC,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Fscore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR@10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR@2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR@5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lin's AUC,7.5359389038634335e-06,0.001896250221099033,6.684491978609625e-06,0.000526665207258618,0.0010648144814989215,0.0015361074237977114,2.1944096787651233e-05,2.566190449748671e-05,0.0006620308306556777,0.001467814140999682,0.001437971161738052,0.009927540739323148,0.002600494739067102,0.0016472797004951473,0.0005492362154935551,3.741366820314188e-05,0.0001650275256876163,0.0012982625519407764,0.0009928805112704266,5.405405405405405e-06,0.0006074196536166615,0.0007709047442635991,0.007321793060546778,0.5,0.001050499183946315,0.0005702905875426201,0.0011748219965998653,7.125705593453417e-05,5.086305945057856e-05,0.0009966288740186526,0.006592635896210899,0.0012944635774658076,0.0006538004490669319,8.001407983394125e-05,0.005618525272313004,0.0015902333194547653,0.00013638359069495637,0.0005567770145656478,6.105006105006105e-06,0.002141325085920487,0.00019705674209884584,0.0011569383801303765,0.0006805554215600362,0.00031068578561078584,0.00011252376406889384,0.000924688041318674,7.267441860465116e-06,0.0048257016152347025,0.006831254764468702,0.0008751380619831553,0.004507250866767076,0.001273387004500004,5.370569280343716e-06,0.00018316217965272104,0.005505644103905657,0.0008670025067732518,0.0012444550725515427,0.0011720578918752742,0.0003926955199758438,0.00044743861246050276,0.002474363146902981,0.0007179966048607603,0.00035776528359663995,0.0021010408503929117,0.00022928972754149605,0.0010493444014537565,0.0022349868651950046,0.0023600796700173803,0.0011866929277134827,0.002254227991069308,9.710245689941454e-05,0.0014066387040255913,0.0006603528553179622,0.0010047001577318032,0.002088035916630543,0.00011998263778488907,0.00133930867712846,0.0002075442960006469,0.00030124794807345577,8.52979809218126e-05,0.00011465606123094774,0.00013736736681760144,0.003061045534682846,0.0012615063338571452,0.0016458680461789972,0.00013944980287746851,0.0007345545703720026,0.0006301698811991269,0.00019897606742904736,7.751937984496124e-06,1.0816326530612246e-05,0.0025243750068372063,0.0001676196069000676,0.002305531764987959,0.0003448288092499212,0.003983843382980809,0.00035152078626129817,0.000661312524761809,0.003681429072357834,0.001204288842987653
NDCGk,0.8844161322003714,0.8893956393813091,0.8873640021299118,0.8821878727593014,0.8872096109600102,0.8886013525940183,0.8883580231108494,0.8896917158734721,0.8822916204440733,0.8869963668965363,0.8853260341368516,0.884917440831682,0.8833443668082662,0.8907151477747206,0.885545047090492,0.8876453285751876,0.888579906126914,0.888803364159871,0.8914321185947083,0.8865179729699668,0.8821684680030016,0.8816564477487953,0.8859845617292781,0.88576283216392,0.8805145087719748,0.8853014684895775,0.8875921544231553,0.8871946058629502,0.8865765803863591,0.8861566068374543,0.8855751053433196,0.8859269095824606,0.8873313021825229,0.8836345436429954,0.8824048823015258,0.8876786812758397,0.8856345982476447,0.8852170334665268,0.8904383631278924,0.8840886612765851,0.8830981970504951,0.8870719664349275,0.8847354780947646,0.8857089643146732,0.891176930963486,0.8858367179652573,0.8883068262234075,0.8855457358807292,0.8814734372264518,0.8830297482702082,0.8822373907869718,0.8854375994959781,0.8868977452937267,0.8866624308084797,0.8851573573437906,0.886610435611226,0.8876581940968461,0.8882073633147851,0.8893156908924119,0.8902367509650293,0.8874497245915285,0.8863212018975603,0.8860398166385931,0.8878604118411202,0.8863849215947589,0.8859316938591355,0.8819263499004816,0.8860464479943104,0.8854059796795245,0.880439940909341,0.8877951235872552,0.8878626194208333,0.8876537844352427,0.8869725036031016,0.889953911386106,0.8874041602910647,0.8875022005229141,0.8880104034122676,0.889147997730891,0.8815076997350806,0.8877922948200621,0.887162301422867,0.8818832710504267,0.8856850691762469,0.8873062830938142,0.8895314944380535,0.8922702917323818,0.8917883992896226,0.8888665203145553,0.8865636113399077,0.8897949889773767,0.8868258651747457,0.8862979149828947,0.8838406666162443,0.8864696017633865,0.8876966425823007,0.8878183191033863,0.8854194076760546,0.8921499827559287,0.8913290877021022
global AUC,0.02624470121951219,0.026184117378048776,0.026460597560975605,0.026409179878048774,0.025770161585365846,0.02669184908536585,0.026031992378048777,0.026231789634146338,0.027025358231707312,0.026459178353658533,0.02648475609756097,0.02678069359756097,0.0262668368902439,0.025787977134146337,0.026428091463414634,0.026288208841463406,0.02599154573170731,0.026710358231707313,0.02626507621951219,0.026250977134146338,0.02679524085365853,0.02643726676829268,0.027020143292682923,0.02625556859756097,0.026729582317073165,0.026085310975609753,0.026555986280487796,0.026350240853658533,0.0263937987804878,0.026236957317073168,0.026700361280487802,0.026619751524390237,0.02603634603658536,0.026169919207317066,0.02660598932926829,0.02683857621951219,0.02662221951219512,0.026549725609756093,0.02593253048780487,0.0267371356707317,0.026529089939024385,0.026194733231707314,0.026262932926829262,0.026456432926829268,0.025940859756097556,0.026534144817073165,0.025818282012195118,0.026296053353658533,0.02692163109756097,0.026671460365853654,0.027023115853658533,0.026030458841463412,0.02614900457317073,0.02629248932926829,0.026452410060975602,0.026497359756097554,0.02641557164634146,0.026239605182926826,0.026232509146341457,0.025976527439024386,0.02658695426829268,0.02588745731707317,0.026478050304878042,0.026558620426829264,0.02659297103658536,0.026608350609756092,0.026992289634146335,0.026847062499999998,0.026391676829268285,0.026663939024390237,0.025857155487804873,0.026846204268292678,0.026582600609756098,0.02639218445121951,0.026067036585365848,0.02617238109756097,0.026385160060975608,0.02677171951219512,0.025822713414634144,0.02665693292682926,0.026239541158536578,0.026483515243902436,0.02688191463414634,0.02663251371951219,0.02605943445121951,0.02574717835365853,0.025571478658536578,0.02577743597560975,0.02604363109756097,0.026293460365853654,0.02608641615853658,0.02679286890243902,0.026547899390243903,0.026838274390243895,0.026041670731707312,0.0266327118902439,0.026586879573170727,0.026260701219512194,0.025917057926829263,0.026327463414634142
global NDCG,0.6867258478332704,0.6867225289625958,0.6867388358392897,0.6867361473767208,0.6866975872500964,0.6867522995333798,0.6867137393074721,0.68672507864659,0.6867730462573024,0.686740639735857,0.6867402151241323,0.6867586816187289,0.6867284887323772,0.6866986277688193,0.6867375378559036,0.6867284753107182,0.6867101374301279,0.6867540649080436,0.6867277210472289,0.6867265206489285,0.6867582616124829,0.686738749606255,0.6867723597715593,0.68672570543952,0.6867564968598784,0.6867175512123255,0.6867447212327824,0.6867322966278209,0.6867346789421531,0.686726478570628,0.6867539640658116,0.6867485561859559,0.6867140006251323,0.6867211883201615,0.686748474878986,0.6867597673389358,0.6867489539084191,0.6867445011654497,0.6867080538159694,0.6867553771837867,0.686742401277996,0.686723448632362,0.6867281037323112,0.6867388812612201,0.6867069256582654,0.6867444905341725,0.6867007637594038,0.686730093658105,0.6867667570564743,0.6867524813156527,0.6867734913542396,0.6867137115561412,0.6867206093611331,0.6867299378520602,0.6867388777677139,0.6867415297876358,0.6867366953934535,0.6867260817181868,0.6867241564687638,0.6867099826413481,0.6867474100970667,0.6867051583971924,0.6867389925534316,0.6867448196548275,0.6867466293629674,0.6867472306009744,0.6867708266471815,0.6867626548037986,0.686734068440194,0.6867527614336486,0.6867032610316849,0.6867623401617201,0.6867476728085709,0.6867357205985214,0.6867155535270608,0.6867228689672794,0.6867353716948498,0.6867571970911567,0.6867008924924122,0.6867506129562587,0.6867256650334288,0.6867406875170815,0.686765111069207,0.6867488006793618,0.6867150043531699,0.686695696504052,0.6866851417094204,0.6866989459595049,0.6867142549810731,0.6867287474865128,0.6867160057022699,0.6867595050202076,0.6867442863555376,0.6867616611195996,0.686713694196776,0.6867487263940085,0.6867468907199297,0.6867280307594497,0.6867068137596357,0.6867311709645184
