,1_LibMF,2_LibMF,3_LibMF,4_LibMF,5_LibMF,6_LibMF,7_LibMF,8_LibMF,9_LibMF,10_LibMF,11_LibMF,12_LibMF,13_LibMF,14_LibMF,15_LibMF,16_LibMF,17_LibMF,18_LibMF,19_LibMF,20_LibMF,21_LibMF,22_LibMF,23_LibMF,24_LibMF,25_LibMF,26_LibMF,27_LibMF,28_LibMF,29_LibMF,30_LibMF,31_LibMF,32_LibMF,33_LibMF,34_LibMF,35_LibMF,36_LibMF,37_LibMF,38_LibMF,39_LibMF,40_LibMF,41_LibMF,42_LibMF,43_LibMF,44_LibMF,45_LibMF,46_LibMF,47_LibMF,48_LibMF,49_LibMF,50_LibMF,51_LibMF,52_LibMF,53_LibMF,54_LibMF,55_LibMF,56_LibMF,57_LibMF,58_LibMF,59_LibMF,60_LibMF,61_LibMF,62_LibMF,63_LibMF,64_LibMF,65_LibMF,66_LibMF,67_LibMF,68_LibMF,69_LibMF,70_LibMF,71_LibMF,72_LibMF,73_LibMF,74_LibMF,75_LibMF,76_LibMF,77_LibMF,78_LibMF,79_LibMF,80_LibMF,81_LibMF,82_LibMF,83_LibMF,84_LibMF,85_LibMF,86_LibMF,87_LibMF,88_LibMF,89_LibMF,90_LibMF,91_LibMF,92_LibMF,93_LibMF,94_LibMF,95_LibMF,96_LibMF,97_LibMF,98_LibMF,99_LibMF,100_LibMF
ACC,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
AUC,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Fscore,0.5342750559944043,0.5352982639438871,0.5326007159827908,0.5326699608670663,0.5376121956027726,0.534674301742669,0.5355711858738317,0.5340020054962331,0.5305787214731701,0.5349762258097852,0.5346326343293059,0.5339323248901368,0.5351944394541228,0.5390090361230392,0.53252120662862,0.5345383914999838,0.5377701738826923,0.5357153862615534,0.5360480674291513,0.5347791950249255,0.5328572599304047,0.5281035974141897,0.5347601062457871,0.5363530183164146,0.5306083521824325,0.5329892451704501,0.5323353309209145,0.534696410456377,0.5353683565795869,0.5336194774433336,0.5331981225317852,0.5378345928783296,0.5361163125115026,0.5330279696419548,0.5306558611570634,0.5362898116217732,0.531700607923563,0.5325769955218393,0.5347930277513824,0.533490519757312,0.5354020208566193,0.5386503500463601,0.5322948356979267,0.5324986138496743,0.5381860721006549,0.5329122173217242,0.5380035826557014,0.5339565343282867,0.5327935484392867,0.5293596389819479,0.5309217388271155,0.5392882705360011,0.532733256595852,0.5319541714827489,0.5373241381711934,0.5352385131980728,0.5353964063771385,0.5366905594358571,0.5376531841449145,0.5381374049807061,0.5340198046601214,0.5356061350907434,0.5334233225450374,0.5326531465549835,0.5336507356751049,0.534299409295116,0.5322366267203056,0.5329615229088027,0.531735450585784,0.5275416712404278,0.5362253184500075,0.5308231717970757,0.5304568392455262,0.5347569845698046,0.5366691036348668,0.5334792067902155,0.5318364081893262,0.5346030331637001,0.5366025412190256,0.5326699675671649,0.5393767296847751,0.5334470359896983,0.534616683887614,0.5352474360663336,0.5381365616924794,0.535446948750992,0.5449021201276116,0.538076934260011,0.5337154469683906,0.5339149645911841,0.5375116144479035,0.5310735593981497,0.5329042263146185,0.5332345296204056,0.5350746936357039,0.5357753350122615,0.5341928628048902,0.5341093826751436,0.5396244523902709,0.5343331873856653
HR@10,0.001,0.000875,0.000875,0.0005,0.00075,0.0005,0.00075,0.00075,0.000375,0.0005,0.00075,0.000625,0.000625,0.0005,0.0005,0.000625,0.00075,0.000875,0.00025,0.000875,0.000125,0.00075,0.0005,0.000875,0.0005,0.001,0.00075,0.001,0.00075,0.000625,0.000625,0.000625,0.000375,0.00075,0.000875,0.0005,0.0005,0.00075,0.00075,0.000125,0.0005,0.0005,0.000375,0.000625,0.000625,0.00025,0.000125,0.0005,0.000375,0.000625,0.0005,0.00025,0.000125,0.000625,0.00075,0.001125,0.000625,0.000375,0.00075,0.0005,0.00075,0.00025,0.000125,0.0005,0.000625,0.0005,0.00075,0.000875,0.000875,0.0005,0.0005,0.0005,0.00025,0.000625,0.000375,0.00025,0.0005,0.0005,0.000625,0.000625,0.0005,0.000875,0.000625,0.0005,0.001,0.0005,0.000625,0.00075,0.000125,0.000625,0.000875,0.0005,0.000625,0.000375,0.00075,0.0005,0.0005,0.000625,0.0005,0.0005
HR@2,0.00025,0.000125,0.000125,0.000125,0.000125,0.0,0.000125,0.000125,0.0,0.0,0.000125,0.0,0.000125,0.000125,0.0,0.000125,0.000125,0.00025,0.000125,0.00025,0.0,0.0,0.0,0.00025,0.000125,0.000125,0.000125,0.00025,0.00025,0.00025,0.00025,0.0,0.0,0.0,0.00025,0.0,0.0,0.000125,0.00025,0.000125,0.000125,0.000125,0.0,0.0,0.00025,0.000125,0.000125,0.0,0.0,0.0,0.0,0.000125,0.0,0.000125,0.000125,0.00025,0.0,0.000125,0.000125,0.000125,0.000125,0.000125,0.000125,0.000125,0.0,0.0,0.00025,0.000125,0.000125,0.0,0.000125,0.0,0.0,0.0,0.0,0.0,0.0,0.000125,0.000125,0.000125,0.000125,0.000125,0.000125,0.00025,0.000125,0.00025,0.000125,0.00025,0.0,0.000125,0.00025,0.0,0.000125,0.000125,0.000125,0.0,0.0,0.00025,0.000125,0.00025
HR@5,0.000625,0.0005,0.0005,0.00025,0.000375,0.000375,0.00025,0.00025,0.00025,0.0,0.000375,0.00025,0.00025,0.00025,0.000125,0.00025,0.00025,0.000375,0.00025,0.000625,0.000125,0.000375,0.00025,0.0005,0.00025,0.0005,0.000375,0.0005,0.0005,0.0005,0.000375,0.0,0.000375,0.00025,0.0005,0.000125,0.000125,0.000375,0.000625,0.000125,0.000375,0.000375,0.000125,0.00025,0.00025,0.00025,0.000125,0.000125,0.0,0.00025,0.00025,0.000125,0.000125,0.00025,0.0005,0.0005,0.00025,0.00025,0.0005,0.000125,0.000375,0.00025,0.000125,0.00025,0.000375,0.000125,0.000375,0.000375,0.0005,0.00025,0.00025,0.000125,0.000125,0.000125,0.0,0.000125,0.00025,0.00025,0.00025,0.000375,0.00025,0.00025,0.00025,0.000375,0.0005,0.000375,0.00025,0.00025,0.0,0.000375,0.0005,0.000125,0.000375,0.000125,0.00025,0.0,0.0,0.000375,0.00025,0.00025
Lin's AUC,0.28882839308969926,0.3075252671304505,0.2804414152027758,0.3000844375849567,0.2988918186692021,0.2891530767103437,0.2997091014797045,0.30691031545789976,0.2988669280502752,0.2763242043023939,0.3010392273280159,0.29344618308078224,0.29698179577738626,0.2904691980992109,0.30852805306506054,0.30517202193801246,0.27938042888228964,0.2875948408211832,0.2938609723123581,0.29795753262986197,0.29332804378500754,0.29316818325195376,0.3006971259978347,0.29973130290491545,0.29394041696076423,0.3139563576291779,0.29954936512291946,0.29411318357727056,0.3003052224027798,0.29841070666543035,0.30938803053380093,0.2930890108451881,0.2877141629453328,0.29878058669169016,0.3002797206324621,0.29738276907720745,0.2977303257770644,0.3007258497416208,0.2878235749788902,0.3006127487826745,0.29993095808042824,0.29117356508715025,0.29996850091725263,0.2952284805911462,0.2860500863045146,0.2791964242328638,0.29263439176873063,0.28437492973530903,0.29328743367183135,0.3000249976369991,0.29786777741048587,0.30484776411158165,0.28336737898363484,0.29847681828582245,0.29927027190142574,0.29854669414437984,0.2874054842022257,0.28130483736219536,0.27788098830751445,0.2992385469736911,0.2945308842455306,0.2911484862971817,0.30193813239864553,0.2788214319391429,0.2922396045755616,0.2869587753537533,0.30030511359103473,0.2879185269122892,0.29861110586443596,0.3022025892258411,0.2921619744271926,0.28499872256555553,0.2840488963080098,0.302903171994184,0.28550787934902117,0.3047067082571113,0.2975959221821294,0.2850382256868702,0.2777156573454999,0.287895306352811,0.2933900553393508,0.27707356288386953,0.3031206001245903,0.2994458934048578,0.2960739941509146,0.2929241577783433,0.3047467842490099,0.2851995988920323,0.30516856814818455,0.2774917531797071,0.28632306085046055,0.2857603053169553,0.30330370729132083,0.30034255864602893,0.28743175017237055,0.28876975066889854,0.30330111875028387,0.29404469947597045,0.29128913856487065,0.2911524988734747
NDCGk,0.8844161322003714,0.8893956393813091,0.8873640021299118,0.8821878727593014,0.8872096109600102,0.8886013525940183,0.8883580231108494,0.8896917158734721,0.8822916204440733,0.8869963668965363,0.8853260341368516,0.884917440831682,0.8833443668082662,0.8907151477747206,0.885545047090492,0.8876453285751876,0.888579906126914,0.888803364159871,0.8914321185947083,0.8865179729699668,0.8821684680030016,0.8816564477487953,0.8859845617292781,0.88576283216392,0.8805145087719748,0.8853014684895775,0.8875921544231553,0.8871946058629502,0.8865765803863591,0.8861566068374543,0.8855751053433196,0.8859269095824606,0.8873313021825229,0.8836345436429954,0.8824048823015258,0.8876786812758397,0.8856345982476447,0.8852170334665268,0.8904383631278924,0.8840886612765851,0.8830981970504951,0.8870719664349275,0.8847354780947646,0.8857089643146732,0.891176930963486,0.8858367179652573,0.8883068262234075,0.8855457358807292,0.8814734372264518,0.8830297482702082,0.8822373907869718,0.8854375994959781,0.8868977452937267,0.8866624308084797,0.8851573573437906,0.886610435611226,0.8876581940968461,0.8882073633147851,0.8893156908924119,0.8902367509650293,0.8874497245915285,0.8863212018975603,0.8860398166385931,0.8878604118411202,0.8863849215947589,0.8859316938591355,0.8819263499004816,0.8860464479943104,0.8854059796795245,0.880439940909341,0.8877951235872552,0.8878626194208333,0.8876537844352427,0.8869725036031016,0.889953911386106,0.8874041602910647,0.8875022005229141,0.8880104034122676,0.889147997730891,0.8815076997350806,0.8877922948200621,0.887162301422867,0.8818832710504267,0.8856850691762469,0.8873062830938142,0.8895314944380535,0.8922702917323818,0.8917883992896226,0.8888665203145553,0.8865636113399077,0.8897949889773767,0.8868258651747457,0.8862979149828947,0.8838406666162443,0.8864696017633865,0.8876966425823007,0.8878183191033863,0.8854194076760546,0.8921499827559287,0.8913290877021022
global AUC,0.947261057164634,0.9490371036585367,0.9459130556402439,0.9484600213414635,0.9495520503048781,0.9473595342987803,0.9478631958841465,0.9489440464939024,0.9485425876524389,0.9463122172256097,0.9487216539634146,0.9479116318597561,0.9478668757621952,0.9470377766768292,0.9493802499999999,0.9483107538109757,0.9466577400914633,0.9466781791158537,0.9481618025914634,0.9480799268292682,0.9479317553353658,0.9493242637195123,0.9490361143292683,0.9484086814024391,0.9490329862804878,0.9486710609756098,0.9491127088414635,0.9481967339939025,0.9491502286585367,0.9480641204268292,0.9489715320121952,0.9484201928353659,0.947507137957317,0.9491110533536586,0.9479431448170731,0.9479993147865854,0.9477353742378049,0.9503310914634148,0.9480687423780487,0.9485032682926829,0.9489405342987806,0.9483483971036585,0.9485773003048781,0.9491553231707317,0.947866887195122,0.9470724649390242,0.9494682134146342,0.9480661798780489,0.9472673666158538,0.9487194557926829,0.9484465160060974,0.9496804763719512,0.9471430647865854,0.9482968826219513,0.9480805998475609,0.9475674695121952,0.94751328125,0.9469002682926829,0.9469582858231709,0.9497307362804879,0.9489364374999998,0.9476786448170732,0.9484477103658536,0.9485097385670732,0.9479966958841463,0.9466534832317073,0.9483846928353658,0.9486349542682927,0.9485966303353658,0.9477824969512195,0.9473929771341464,0.947902987804878,0.9465387721036584,0.9494881044207317,0.9477034214939024,0.949310330792683,0.9482276097560974,0.9473990022865855,0.9458224481707318,0.9494050068597562,0.9488612812499999,0.9462404603658535,0.9475817820121951,0.9480345861280487,0.9490967004573172,0.9481398231707316,0.9489026905487805,0.9485322606707315,0.9490408285060975,0.9458960800304876,0.9477808208841464,0.9472059382621951,0.9480776227134148,0.9488702370426829,0.9477735990853658,0.9483013079268292,0.9486232035060976,0.9480211166158538,0.9478440480182927,0.9481534542682927
global NDCG,0.919402984848605,0.9220934200842023,0.9146500154017705,0.9163345254161301,0.923379000448145,0.9179636936760033,0.9195591404687188,0.9218030222522406,0.9150951034052383,0.9118618421982543,0.9219429447711989,0.9180366619196816,0.9148779990777495,0.9162992744267912,0.9191335102672555,0.9197307784872859,0.9116371186008538,0.9169535456897353,0.9169607765704655,0.9173865359752246,0.9182789527444423,0.9199664570978149,0.9186338955253559,0.9205808527003655,0.9164664078684662,0.920262497031259,0.9187773115989738,0.919824222128708,0.9250359195517391,0.9178575734150131,0.9222589795856659,0.9132245730830729,0.9167847671736872,0.9179266713996513,0.919893450902364,0.9133217622833942,0.9159288815958013,0.9216566625876761,0.9201531337993928,0.9142014353046147,0.921156901724663,0.9193200876598351,0.9167286410739691,0.9195380798470165,0.9185082719995902,0.9155613649761684,0.924706905687182,0.9172238838996901,0.9131551349662899,0.9149614302632062,0.9191514918451655,0.9170556257335577,0.9171612961850056,0.9202147480093891,0.915664912178221,0.9174345248443705,0.9143452693658857,0.9143386761879733,0.9164445134699484,0.9193544378342615,0.9200807762176783,0.9132568585244668,0.9158531254606359,0.9181470407222043,0.9167394710134044,0.9130053000813951,0.9205974701905779,0.9174012420170884,0.9198214115195683,0.9166147695364504,0.9151776928854574,0.9137337362038819,0.9112629389825502,0.9171677626361674,0.9134981733548381,0.9203250621868608,0.9134238314179463,0.9139031135840711,0.9144008636331651,0.9207592130987584,0.9164329547466675,0.9142488355656033,0.9160871396828816,0.915716352179154,0.924215665755771,0.9176769414292487,0.9206607412851948,0.9190137108607297,0.9166661203536758,0.9141127596656825,0.9187277773419962,0.9150856732724385,0.9158953687711415,0.9159108393397315,0.91607822149801,0.9168474887477264,0.9156722999441191,0.9182315319558426,0.9150993067559772,0.9149485475031648
