,1_NIMCGCN,2_NIMCGCN,3_NIMCGCN,4_NIMCGCN,5_NIMCGCN,6_NIMCGCN,7_NIMCGCN,8_NIMCGCN,9_NIMCGCN,10_NIMCGCN,11_NIMCGCN,12_NIMCGCN,13_NIMCGCN,14_NIMCGCN,15_NIMCGCN,16_NIMCGCN,17_NIMCGCN,18_NIMCGCN,19_NIMCGCN,20_NIMCGCN,21_NIMCGCN,22_NIMCGCN,23_NIMCGCN,24_NIMCGCN,25_NIMCGCN,26_NIMCGCN,27_NIMCGCN,28_NIMCGCN,29_NIMCGCN,30_NIMCGCN,31_NIMCGCN,32_NIMCGCN,33_NIMCGCN,34_NIMCGCN,35_NIMCGCN,36_NIMCGCN,37_NIMCGCN,38_NIMCGCN,39_NIMCGCN,40_NIMCGCN,41_NIMCGCN,42_NIMCGCN,43_NIMCGCN,44_NIMCGCN,45_NIMCGCN,46_NIMCGCN,47_NIMCGCN,48_NIMCGCN,49_NIMCGCN,50_NIMCGCN,51_NIMCGCN,52_NIMCGCN,53_NIMCGCN,54_NIMCGCN,55_NIMCGCN,56_NIMCGCN,57_NIMCGCN,58_NIMCGCN,59_NIMCGCN,60_NIMCGCN,61_NIMCGCN,62_NIMCGCN,63_NIMCGCN,64_NIMCGCN,65_NIMCGCN,66_NIMCGCN,67_NIMCGCN,68_NIMCGCN,69_NIMCGCN,70_NIMCGCN,71_NIMCGCN,72_NIMCGCN,73_NIMCGCN,74_NIMCGCN,75_NIMCGCN,76_NIMCGCN,77_NIMCGCN,78_NIMCGCN,79_NIMCGCN,80_NIMCGCN,81_NIMCGCN,82_NIMCGCN,83_NIMCGCN,84_NIMCGCN,85_NIMCGCN,86_NIMCGCN,87_NIMCGCN,88_NIMCGCN,89_NIMCGCN,90_NIMCGCN,91_NIMCGCN,92_NIMCGCN,93_NIMCGCN,94_NIMCGCN,95_NIMCGCN,96_NIMCGCN,97_NIMCGCN,98_NIMCGCN,99_NIMCGCN,100_NIMCGCN
ACC,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
AUC,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Fscore,0.5342750559944043,0.5352982639438871,0.5326007159827908,0.5326699608670663,0.5376121956027726,0.534674301742669,0.5355711858738317,0.5340020054962331,0.5305787214731701,0.5349762258097852,0.5346326343293059,0.5339323248901368,0.5351944394541228,0.5390090361230392,0.53252120662862,0.5345383914999838,0.5377701738826923,0.5357153862615534,0.5360480674291513,0.5347791950249255,0.5328572599304047,0.5281035974141897,0.5347601062457871,0.5363530183164146,0.5306083521824325,0.5329892451704501,0.5323353309209145,0.534696410456377,0.5353683565795869,0.5336194774433336,0.5331981225317852,0.5378345928783296,0.5361163125115026,0.5330279696419548,0.5306558611570634,0.5362898116217732,0.531700607923563,0.5325769955218393,0.5347930277513824,0.533490519757312,0.5354020208566193,0.5386503500463601,0.5322948356979267,0.5324986138496743,0.5381860721006549,0.5329122173217242,0.5380035826557014,0.5339565343282867,0.5327935484392867,0.5293596389819479,0.5309217388271155,0.5392882705360011,0.532733256595852,0.5319541714827489,0.5373241381711934,0.5352385131980728,0.5353964063771385,0.5366905594358571,0.5376531841449145,0.5381374049807061,0.5340198046601214,0.5356061350907434,0.5334233225450374,0.5326531465549835,0.5336507356751049,0.534299409295116,0.5322366267203056,0.5329615229088027,0.531735450585784,0.5275416712404278,0.5362253184500075,0.5308231717970757,0.5304568392455262,0.5347569845698046,0.5366691036348668,0.5334792067902155,0.5318364081893262,0.5346030331637001,0.5366025412190256,0.5326699675671649,0.5393767296847751,0.5334470359896983,0.534616683887614,0.5352474360663336,0.5381365616924794,0.535446948750992,0.5449021201276116,0.538076934260011,0.5337154469683906,0.5339149645911841,0.5375116144479035,0.5310735593981497,0.5329042263146185,0.5332345296204056,0.5350746936357039,0.5357753350122615,0.5341928628048902,0.5341093826751436,0.5396244523902709,0.5343331873856653
HR@10,0.00075,0.000875,0.00075,0.000375,0.000625,0.000875,0.00075,0.001125,0.000375,0.000875,0.000625,0.00075,0.0005,0.000625,0.0005,0.000625,0.0005,0.0005,0.000625,0.00075,0.000625,0.00075,0.0005,0.000875,0.000625,0.00075,0.0005,0.00075,0.0005,0.0005,0.0005,0.000625,0.00075,0.00075,0.0005,0.00075,0.0005,0.00075,0.00075,0.000625,0.00075,0.00075,0.0005,0.00075,0.001,0.000625,0.001,0.000625,0.000625,0.0005,0.000625,0.00075,0.000625,0.0005,0.000625,0.001,0.000875,0.00075,0.00075,0.000625,0.0005,0.000625,0.00025,0.000625,0.00075,0.000625,0.00075,0.000625,0.00075,0.00075,0.0005,0.000625,0.00075,0.000375,0.00075,0.0005,0.000625,0.0005,0.0005,0.0005,0.000875,0.00075,0.000625,0.00075,0.000625,0.00075,0.000625,0.000625,0.000625,0.000625,0.000625,0.00075,0.000875,0.000375,0.00025,0.001125,0.000375,0.000625,0.00075,0.000375
HR@2,0.00025,0.000125,0.000125,0.0,0.000125,0.0,0.000125,0.00025,0.000125,0.000125,0.00025,0.00025,0.000125,0.000125,0.0,0.0,0.0,0.0,0.000125,0.000125,0.0,0.0,0.000125,0.000125,0.000125,0.000125,0.000125,0.00025,0.000125,0.000125,0.0,0.000125,0.00025,0.000125,0.000125,0.00025,0.000125,0.000125,0.00025,0.0,0.00025,0.000125,0.000125,0.00025,0.000125,0.000125,0.000125,0.000125,0.00025,0.000125,0.0,0.0,0.0,0.000125,0.000125,0.000125,0.000125,0.0,0.0,0.0,0.000125,0.000125,0.0,0.0,0.0,0.000125,0.0,0.0,0.000125,0.0,0.000125,0.00025,0.000125,0.0,0.0,0.000125,0.0,0.000125,0.0,0.000125,0.000125,0.000125,0.000125,0.000125,0.000125,0.000125,0.0,0.0,0.000125,0.000125,0.0,0.000125,0.000125,0.0,0.000125,0.000125,0.000125,0.000125,0.000125,0.000125
HR@5,0.000375,0.0005,0.000375,0.000125,0.0005,0.000375,0.000375,0.000625,0.00025,0.000375,0.000625,0.0005,0.00025,0.000375,0.000375,0.000375,0.000125,0.000125,0.000375,0.000375,0.000375,0.00025,0.000375,0.0005,0.00025,0.00025,0.00025,0.0005,0.00025,0.000375,0.00025,0.000375,0.000625,0.000375,0.00025,0.000375,0.00025,0.000375,0.000375,0.000375,0.0005,0.0005,0.00025,0.00025,0.000375,0.0005,0.0005,0.0005,0.000375,0.000375,0.00025,0.000375,0.00025,0.000375,0.00025,0.0005,0.000375,0.000125,0.00025,0.00025,0.00025,0.00025,0.000125,0.00025,0.000375,0.00025,0.000375,0.00025,0.000375,0.00025,0.00025,0.000375,0.000375,0.00025,0.000375,0.00025,0.000125,0.00025,0.00025,0.00025,0.0005,0.000375,0.000375,0.0005,0.00025,0.0005,0.00025,0.000375,0.00025,0.000375,0.00025,0.0005,0.000375,0.00025,0.00025,0.0005,0.00025,0.000375,0.000375,0.00025
Lin's AUC,0.5054188268494054,0.4998217467296076,0.49944470848355194,0.4984670444216421,0.5028181351402785,0.5047692937473807,0.5007070582821083,0.49687065525237956,0.4990308384005513,0.4931091045405502,0.49902578148918736,0.4952922325165667,0.5037305344733007,0.49991090880334327,0.5024443760640929,0.4942741408670377,0.4941406275858138,0.50300626894652,0.49935432369480126,0.5035806774087546,0.5099090561028131,0.5074714448139079,0.500518160218906,0.5060468139356117,0.5010064474589337,0.503788796162345,0.4964993132992558,0.5097497370224221,0.4981798080715356,0.503938314026739,0.501209947904155,0.5136605463376376,0.48781108305266196,0.4986217526000616,0.5148943211594157,0.4936516981656851,0.49194102444607224,0.5007494064802234,0.5006042588583461,0.5029066014009953,0.49532548359060824,0.5064966671595077,0.5065149078636727,0.4989215745299836,0.49634119747997985,0.5007391489306988,0.5036555209297734,0.5015600612350386,0.48867790563512103,0.507921634425459,0.5069249939481775,0.5023723011468937,0.5025730935294306,0.50005375391293,0.49760309877634507,0.50222782006636,0.48994477820593735,0.5034583372058261,0.4932951746410846,0.49092850342737593,0.49756824473684846,0.49369380838681054,0.5020586788534879,0.49532014537275887,0.4995363565604795,0.5003826433676571,0.4976246380001445,0.5042771297888684,0.5062457300089092,0.49924142814630984,0.5048674054721382,0.5057065930643969,0.4998215947608362,0.49614351306895066,0.5113212919186385,0.5053220786791284,0.49573088791049874,0.5060190602444536,0.49717056251672154,0.4961420915464588,0.49522051306220505,0.5117888082273303,0.4939591430501953,0.5065897044293419,0.49949758036375685,0.5046961947022589,0.49974487274830554,0.5105449794940327,0.5105803628666761,0.49415597160569247,0.5019604772050807,0.5026430319869029,0.5136414063042853,0.4916012287260675,0.5115695481889543,0.515679109010328,0.498781664418955,0.4936227300389834,0.5039613579610129,0.5068390506247213
NDCGk,0.8844161322003714,0.8893956393813091,0.8873640021299118,0.8821878727593014,0.8872096109600102,0.8886013525940183,0.8883580231108494,0.8896917158734721,0.8822916204440733,0.8869963668965363,0.8853260341368516,0.884917440831682,0.8833443668082662,0.8907151477747206,0.885545047090492,0.8876453285751876,0.888579906126914,0.888803364159871,0.8914321185947083,0.8865179729699668,0.8821684680030016,0.8816564477487953,0.8859845617292781,0.88576283216392,0.8805145087719748,0.8853014684895775,0.8875921544231553,0.8871946058629502,0.8865765803863591,0.8861566068374543,0.8855751053433196,0.8859269095824606,0.8873313021825229,0.8836345436429954,0.8824048823015258,0.8876786812758397,0.8856345982476447,0.8852170334665268,0.8904383631278924,0.8840886612765851,0.8830981970504951,0.8870719664349275,0.8847354780947646,0.8857089643146732,0.891176930963486,0.8858367179652573,0.8883068262234075,0.8855457358807292,0.8814734372264518,0.8830297482702082,0.8822373907869718,0.8854375994959781,0.8868977452937267,0.8866624308084797,0.8851573573437906,0.886610435611226,0.8876581940968461,0.8882073633147851,0.8893156908924119,0.8902367509650293,0.8874497245915285,0.8863212018975603,0.8860398166385931,0.8878604118411202,0.8863849215947589,0.8859316938591355,0.8819263499004816,0.8860464479943104,0.8854059796795245,0.880439940909341,0.8877951235872552,0.8878626194208333,0.8876537844352427,0.8869725036031016,0.889953911386106,0.8874041602910647,0.8875022005229141,0.8880104034122676,0.889147997730891,0.8815076997350806,0.8877922948200621,0.887162301422867,0.8818832710504267,0.8856850691762469,0.8873062830938142,0.8895314944380535,0.8922702917323818,0.8917883992896226,0.8888665203145553,0.8865636113399077,0.8897949889773767,0.8868258651747457,0.8862979149828947,0.8838406666162443,0.8864696017633865,0.8876966425823007,0.8878183191033863,0.8854194076760546,0.8921499827559287,0.8913290877021022
global AUC,0.9394361044207317,0.9383966013719512,0.9386551379573171,0.9393878033536585,0.9383906257621952,0.9393999961890245,0.9391359702743902,0.9395193407012195,0.9389489512195123,0.9397279801829268,0.9382645282012195,0.9383381219512195,0.9386840205792685,0.9390311974085366,0.9390480121951221,0.939003512195122,0.9381414939024391,0.9397130967987805,0.938263424542683,0.9389564451219512,0.9390976280487805,0.9395291310975611,0.939040525914634,0.9392954580792682,0.9392418201219512,0.939430056402439,0.9386996638719511,0.9391766913109756,0.9391932271341463,0.9394138262195122,0.938190300304878,0.9396044969512195,0.9383559367378049,0.9389034885670732,0.9394822195121951,0.9388751935975608,0.9375993285060976,0.9393833048780487,0.9393315396341464,0.9390539237804878,0.9388357469512194,0.9390295846036585,0.9394400419207316,0.9391725320121951,0.9386078429878049,0.938778807164634,0.9390518742378049,0.939033925304878,0.9391986532012195,0.9384919954268294,0.9383530838414634,0.9391516798780487,0.93993696875,0.9392768483231706,0.939118294969512,0.9383620396341463,0.938605674542683,0.9387361097560977,0.9383144862804877,0.9388872667682927,0.9392885205792683,0.9380152339939024,0.9389783864329269,0.9383662286585365,0.9396267461890244,0.9388898094512195,0.9384419657012195,0.9403925152439023,0.9393638849085364,0.9391068597560974,0.9392970221036585,0.939451650152439,0.9388224009146342,0.939052762195122,0.939891875,0.9387533589939026,0.9385467096036585,0.938793768292683,0.9389717576219512,0.9387575983231706,0.9383474855182928,0.9396819466463415,0.9385894481707318,0.9391476768292683,0.9385890937500001,0.9399289679878049,0.9386069657012195,0.9394865945121952,0.9389578445121951,0.9389230304878048,0.938522500762195,0.939883243140244,0.9388403620426831,0.9392044870426829,0.939721118902439,0.9399836410060977,0.9391471280487804,0.9384227987804878,0.938975993902439,0.9392666638719512
global NDCG,0.9061221307148122,0.9058104013453068,0.9038459299697535,0.9028551312003403,0.9032719801627745,0.9039088523886142,0.9053756658241466,0.906600906424806,0.9024980506192416,0.9052681298973764,0.9032069269017539,0.9041021558641665,0.9032305446770594,0.9029766094892899,0.9023768665592745,0.9030843998972086,0.8994709344217671,0.9023269232365555,0.9022666659795825,0.903422583588856,0.9042646569900761,0.9044042816049023,0.9037092185840379,0.9059831006817591,0.9036044011360495,0.904306568847577,0.9028602861452243,0.9058121553541848,0.9038559849870256,0.9046362921787439,0.9003339864849161,0.9047675737882186,0.9024485867795179,0.903797868573453,0.9046362295183652,0.9033283656864015,0.9005532149673368,0.9046202790173385,0.9047822457757013,0.9018765745114579,0.9053783381795864,0.9032758189903589,0.9030350363250111,0.9058826637495335,0.9049206433871201,0.9039012268660311,0.9048308532374143,0.9044211315266084,0.9040982510550755,0.9018414571159473,0.9018341433256574,0.9044283731229354,0.9033757121176714,0.9034462209338264,0.9018075039671177,0.9036867472864334,0.9036139169527359,0.9024907421501737,0.9024599019964695,0.9038681902154342,0.9027121532438441,0.9019882477791323,0.9019053029318506,0.9018404145933401,0.9038249003688422,0.9015548921846369,0.9028296368867135,0.9054986290909928,0.9052643851700871,0.9025647452112422,0.9024575380491167,0.9069315173010447,0.9046742615287778,0.9016564460945828,0.906458537466875,0.9019601954134887,0.9026531887725862,0.9023990920636098,0.9022490155662307,0.9030961220491901,0.9036390121779669,0.9059426028227064,0.901711532619859,0.9044494974187258,0.9017932545767654,0.9063372337640114,0.9014098649976702,0.9031321233737049,0.9036159510269238,0.9034545235857568,0.9020735501709656,0.906031843153088,0.9050843253265787,0.9019699855972023,0.9045242790260547,0.9069721503085323,0.9020106619045476,0.9030200626255617,0.9045292910960033,0.9037664903239367
