,1_SCPMF,2_SCPMF,3_SCPMF,4_SCPMF,5_SCPMF,6_SCPMF,7_SCPMF,8_SCPMF,9_SCPMF,10_SCPMF,11_SCPMF,12_SCPMF,13_SCPMF,14_SCPMF,15_SCPMF,16_SCPMF,17_SCPMF,18_SCPMF,19_SCPMF,20_SCPMF,21_SCPMF,22_SCPMF,23_SCPMF,24_SCPMF,25_SCPMF,26_SCPMF,27_SCPMF,28_SCPMF,29_SCPMF,30_SCPMF,31_SCPMF,32_SCPMF,33_SCPMF,34_SCPMF,35_SCPMF,36_SCPMF,37_SCPMF,38_SCPMF,39_SCPMF,40_SCPMF,41_SCPMF,42_SCPMF,43_SCPMF,44_SCPMF,45_SCPMF,46_SCPMF,47_SCPMF,48_SCPMF,49_SCPMF,50_SCPMF,51_SCPMF,52_SCPMF,53_SCPMF,54_SCPMF,55_SCPMF,56_SCPMF,57_SCPMF,58_SCPMF,59_SCPMF,60_SCPMF,61_SCPMF,62_SCPMF,63_SCPMF,64_SCPMF,65_SCPMF,66_SCPMF,67_SCPMF,68_SCPMF,69_SCPMF,70_SCPMF,71_SCPMF,72_SCPMF,73_SCPMF,74_SCPMF,75_SCPMF,76_SCPMF,77_SCPMF,78_SCPMF,79_SCPMF,80_SCPMF,81_SCPMF,82_SCPMF,83_SCPMF,84_SCPMF,85_SCPMF,86_SCPMF,87_SCPMF,88_SCPMF,89_SCPMF,90_SCPMF,91_SCPMF,92_SCPMF,93_SCPMF,94_SCPMF,95_SCPMF,96_SCPMF,97_SCPMF,98_SCPMF,99_SCPMF,100_SCPMF
ACC,0.8124,0.901,0.946,0.7837,0.9333,0.9085,0.5789,0.7915,0.9124,0.9159,0.7203,0.9433,0.7697,0.9417,0.9334,0.9347,0.9444,0.7577,0.7792,0.9334,0.9215,0.9313,0.8588,0.932,0.9618,0.9389,0.936,0.7584,0.8035,0.9463,0.8593,0.9673,0.9467,0.7641,0.9201,0.876,0.9414,0.842,0.8881,0.7628,0.936,0.8343,0.9602,0.766,0.9285,0.9316,0.7795,0.9429,0.6797,0.7614,0.9018,0.9275,0.7814,0.9285,0.9024,0.8739,0.8021,0.7231,0.6869,0.8205,0.8515,0.9187,0.7059,0.7138,0.7576,0.9114,0.9128,0.7488,0.7184,0.9066,0.9224,0.9415,0.7427,0.945,0.9331,0.8535,0.9195,0.9474,0.9413,0.6696,0.8279,0.8001,0.7164,0.9303,0.8904,0.8195,0.9493,0.9624,0.9131,0.7376,0.9397,0.9657,0.9016,0.7336,0.7993,0.9443,0.7034,0.9521,0.9396,0.7497
AUC,0.8326732647887668,0.7064379531949921,0.8799134925544442,0.7598508119279914,0.750033617327094,0.7498331663993385,0.6439460001453513,0.6407197130443262,0.7405458178334291,0.7984063226212857,0.7178319647663344,0.8510771511544033,0.7474738619798525,0.7292242390514633,0.7028949660484091,0.9355968222397871,0.7582235423364136,0.7424849208649943,0.7221081622442671,0.9309981038365717,0.8899315765669839,0.9613019230483733,0.7065774142359021,0.9511908935115835,0.9575672847761058,0.9491815450181988,0.7693340991885103,0.7048152617652136,0.6589618356733381,0.9636637331424308,0.7502481425072969,0.9782564160530843,0.9599136962399413,0.7201199026654327,0.8169090075921843,0.7765208118122382,0.9461884274578161,0.7654572259309188,0.8951235164203385,0.7267240027160333,0.8122852251300767,0.7126575723779726,0.9450571483936472,0.6259816642422983,0.754458648389204,0.9242819053386683,0.7106405303920771,0.9042808069105494,0.6251840553043219,0.7096867756550665,0.9890261123175011,0.8849336902560252,0.7056826253876534,0.7285244974178855,0.902877154049417,0.7734257177998543,0.6532228967519267,0.7334492992094589,0.6458394785210991,0.6660224746473815,0.799585319197749,0.743964136766265,0.706685694366961,0.6225801590787882,0.7268975048480933,0.9474214349220077,0.6911179259452883,0.6264845047393386,0.7238826931674336,0.9598284223063778,0.782014230908551,0.86867687549396,0.6250846329560639,0.7344513314597806,0.7940166178119823,0.7035504022228578,0.7918565692397007,0.9504954123678983,0.752485154920761,0.5899481221999412,0.8247017827737722,0.8042642700160814,0.7162486148544221,0.7257032729666091,0.7438543901259035,0.6655140964193769,0.7649884625622613,0.9672347491777802,0.9375004518154506,0.6638297548173688,0.955692924197659,0.7544201383606144,0.7770331972673331,0.721151967919499,0.7183027016978025,0.9418262464269681,0.7043545775902019,0.989439884935741,0.833601698656847,0.7208149565724966
Fscore,0.5582869222091214,0.5523615705334219,0.6276291946493227,0.5511608328374188,0.5976797239860214,0.5939117191938247,0.4358935223309416,0.5195917515042544,0.5868201891362824,0.6068447965584279,0.5086899307170217,0.6205558478491905,0.5219509087338213,0.5923960157598367,0.5801288839259434,0.6461827833400525,0.5992258060096709,0.5170581071429489,0.5489069057067293,0.6450901375920616,0.6307095783071673,0.6488972249095,0.5535187250421792,0.6523877563205518,0.6492597195359556,0.6489404326144431,0.5976031426565922,0.5011373188073911,0.5168398959970621,0.6539961997075804,0.5668961201452635,0.6621459771287868,0.655270345884836,0.5280891734515041,0.6054458870647429,0.5933425497536438,0.6468835901430852,0.5671500565572986,0.6343878872141846,0.5267267509398806,0.6104988383596697,0.5545679728042511,0.6475796062379202,0.48620419096984596,0.5976877887688472,0.6403969744494492,0.5212021178663854,0.6359453167669485,0.47947797295324507,0.5086989145744173,0.6602321042451643,0.63449924431232,0.5268553286433953,0.5831408848764265,0.6381334846660551,0.5809778831115977,0.5324852090687024,0.4948741283456551,0.4769239802868311,0.524650707149255,0.5721640361876784,0.57962116740771,0.5069220671105374,0.4802809901900696,0.5084988645465083,0.6494680296340765,0.5760127332814475,0.48815199691530625,0.48904574982464594,0.6480919201643256,0.5948735483623997,0.6229169619573421,0.4871476006663086,0.590461841224657,0.6078252629732995,0.5505525596358584,0.6023077017215768,0.6510009544510054,0.5904903530077312,0.4627810517154262,0.5631823623661987,0.5425861158902164,0.5070702031651514,0.5865610876488282,0.588423161953321,0.5392418364887978,0.5994732585631414,0.6590561682244171,0.6458893029724773,0.5034513513603042,0.6549883572077904,0.5913367116094876,0.5991679128060317,0.511480074162005,0.5412067901762267,0.648994368975921,0.48715289995557265,0.6629364928679559,0.6203802709166982,0.5133547174379726
HR@10,0.00075,0.000875,0.0,0.000125,0.0,0.0,0.000625,0.0,0.0,0.0,0.000625,0.0,0.00125,0.0,0.000125,0.0,0.0,0.0005,0.00025,0.0,0.0,0.0,0.0,0.0,0.0,0.00025,0.0,0.0005,0.000375,0.0,0.0,0.0,0.0,0.000375,0.0,0.00025,0.0,0.0,0.0,0.0,0.0,0.00125,0.0,0.001,0.0,0.0005,0.000625,0.0,0.001125,0.000875,0.0,0.0,0.001125,0.000375,0.0,0.0005,0.001125,0.001,0.001125,0.000375,0.00075,0.00025,0.0,0.000625,0.000375,0.0,0.0,0.000625,0.0005,0.0,0.001,0.0,0.000375,0.0,0.0,0.000375,0.0,0.0,0.0,0.0005,0.001125,0.00075,0.00075,0.0,0.0,0.000375,0.00125,0.0,0.000125,0.0005,0.0,0.0,0.000125,0.000875,0.000875,0.0,0.000875,0.0,0.0,0.00025
HR@2,0.00025,0.0,0.0,0.0,0.0,0.0,0.000125,0.0,0.0,0.0,0.0,0.0,0.00025,0.0,0.0,0.0,0.0,0.000125,0.000125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000125,0.000125,0.0,0.0,0.0,0.0,0.000125,0.0,0.000125,0.0,0.0,0.0,0.0,0.0,0.00025,0.0,0.000125,0.0,0.0,0.000125,0.0,0.000125,0.000125,0.0,0.0,0.00025,0.0,0.0,0.00025,0.00025,0.00025,0.00025,0.000125,0.00025,0.0,0.0,0.0,0.000125,0.0,0.0,0.0,0.000125,0.0,0.000125,0.0,0.000125,0.0,0.0,0.000125,0.0,0.0,0.0,0.00025,0.00025,0.00025,0.00025,0.0,0.0,0.0,0.00025,0.0,0.0,0.00025,0.0,0.0,0.0,0.000125,0.00025,0.0,0.000125,0.0,0.0,0.0
HR@5,0.000375,0.000375,0.0,0.0,0.0,0.0,0.000375,0.0,0.0,0.0,0.0,0.0,0.000625,0.0,0.000125,0.0,0.0,0.00025,0.000125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00025,0.000125,0.0,0.0,0.0,0.0,0.00025,0.0,0.00025,0.0,0.0,0.0,0.0,0.0,0.000625,0.0,0.000375,0.0,0.000125,0.000125,0.0,0.0005,0.000375,0.0,0.0,0.000625,0.0,0.0,0.00025,0.0005,0.000625,0.000625,0.00025,0.000375,0.000125,0.0,0.000125,0.00025,0.0,0.0,0.000375,0.00025,0.0,0.000375,0.0,0.00025,0.0,0.0,0.00025,0.0,0.0,0.0,0.00025,0.000625,0.0005,0.00025,0.0,0.0,0.000125,0.000625,0.0,0.0,0.000375,0.0,0.0,0.0,0.0005,0.000375,0.0,0.000375,0.0,0.0,0.000125
Lin's AUC,0.7422246781744587,0.8387773578170931,0.99999375,0.7891895345430708,0.993012138967168,0.9982591269841269,0.4642014058157439,0.7263978799049411,0.9892107173168386,0.9979087472785768,0.5673104050245183,0.9982291414712161,0.4184136354248141,0.9981015932814222,0.9984957781338699,0.9999534883720931,0.9809803499523829,0.5136476117467282,0.7014074453035479,0.9985067584947024,1.0,1.0,0.855928370758854,0.9989739157676801,0.8984843236968074,0.9994399350649351,0.9840014871315895,0.5840630488454841,0.736960577721782,0.979665169633478,0.8160045517983092,0.9979816100823045,1.0,0.6441569521883266,0.9832749314129393,0.8296065015452428,0.9997916666666667,0.8250031123033992,0.9997826086956522,0.7261698962131767,1.0,0.8423916124793144,0.9879713362468039,0.5707203518921566,1.0,0.9721735410082288,0.6808185254247333,0.9901851196576171,0.6601725058273539,0.7115830262401452,0.9817994341413165,0.9971937605580191,0.803688495234584,0.9523124527567282,0.9982092414543422,0.869111551878272,0.8298348655147487,0.4803197069966833,0.6220222442787616,0.8091913040186518,0.7509834665486769,0.8807326551800787,0.379030795459266,0.6593333185073006,0.5089572552279568,0.9988830043648105,0.9871235842536157,0.6912593682998414,0.5041557414741007,0.9996726668113558,0.836913011058526,0.9885342503644188,0.6912221026083705,0.998460981799015,0.999181414147743,0.8046863379549617,0.9914743615880698,0.9703631081722867,0.9765666305684657,0.6140013501668801,0.5627974107515271,0.38359206090485365,0.6661645135106187,0.6663910580309547,0.952589048792833,0.8831653239844732,0.9281592888041652,0.9992924641148325,0.9996818181818182,0.5057104531036358,1.0,1.0,0.9883632308363967,0.6398762486743281,0.785031436959425,0.9817844217749118,0.6115190964638927,0.9996716285907316,0.9717219436370655,0.6933881840075076
NDCGk,0.9554033142257736,0.9338822052440208,0.9716710045969792,0.9421346408739949,0.9402736122148186,0.9398410536101619,0.9044809056793186,0.9145219960500606,0.9345990846765977,0.9535412284955257,0.9254387708285118,0.965251186168975,0.9489745142753477,0.931087666872399,0.9233734115467095,0.9798805814783256,0.9405752377801647,0.9457974919447457,0.9414494318227827,0.9788456871800989,0.973184846834595,0.9853330340885904,0.9315256996982458,0.9849170281694675,0.9849047698846833,0.9866059431871467,0.9437932311657466,0.9254130172558617,0.9215958772803696,0.9880309554637441,0.9441825263955486,0.9927166596248865,0.9896549452832984,0.9353007270480264,0.9533157170190037,0.9458701968937439,0.9834228566369161,0.9426539094119432,0.9741952573046515,0.9271380719155657,0.9497269759921448,0.9359866685291415,0.9828781287009479,0.9120601432066519,0.941878349344571,0.9783201043386204,0.9283943632400409,0.9716087652880071,0.9134913020674498,0.9247225831679231,0.9955119111090562,0.9725618523046927,0.9284200741305574,0.9362755675429574,0.9766195341797022,0.950661999570616,0.9169795328094926,0.9464011051946285,0.9096005436964318,0.9208247055270067,0.9467289440177555,0.9386778772473096,0.9212462321856836,0.9084547905451614,0.9355228725887902,0.9835856835412743,0.9209309736975169,0.906815902057883,0.9278097728447006,0.9869697702616369,0.9474365646374391,0.9677017304299359,0.9094574837913412,0.9347881212315634,0.9494145659006418,0.9311408804140696,0.9493205306372401,0.9853160613759628,0.9360970313206148,0.9018925440289567,0.9579799194131923,0.9535449594453415,0.9307990161106651,0.9350148992004926,0.9393700289564186,0.9111685806689634,0.9490708395543811,0.9911115692137916,0.9837617704214295,0.9216675876881274,0.9867460547515574,0.9408885931234113,0.9450977021200635,0.9333731257756256,0.9331952750233252,0.9859951930057521,0.9200943962758942,0.9959717835873669,0.9600605947749082,0.9300352070538297
global AUC,0.8110386036585366,0.8718428612804879,0.9992972606707317,0.8337370274390244,0.9989088597560976,0.9992570655487805,0.5553210365853658,0.8084598033536585,0.9989526356707317,0.9990339344512195,0.7047507012195122,0.9983797469512194,0.7073662256097561,0.9979624725609756,0.9982479588414632,0.9977686539634146,0.9960995838414634,0.7022639085365854,0.8243464466463414,0.9982129527439024,0.9987661509146342,0.9977763368902439,0.8674713856707319,0.9980288323170732,0.9906141234756097,0.9991235960365853,0.9970143277439024,0.7064034679878048,0.7971735228658537,0.9984303521341463,0.8756359527439024,0.9989081341463415,0.998350925304878,0.7668216341463414,0.9912290259146342,0.9497662286585364,0.9975354283536585,0.8814237027439025,0.9985556356707317,0.7618495030487805,0.9982000884146341,0.873032429878049,0.9969683978658536,0.7275721295731709,0.999207205792683,0.9932424512195123,0.7489178887195123,0.9972744176829268,0.6979930777439023,0.7265724131097561,0.9922048871951219,0.9984404009146342,0.8159834817073173,0.9784532347560975,0.9972542317073171,0.9121217225609755,0.842833493902439,0.6586287942073172,0.666570217987805,0.8190914908536586,0.8563564146341462,0.9358283368902438,0.7059635487804877,0.7154410579268291,0.6970482362804878,0.9983174070121951,0.9989619954268293,0.738887338414634,0.6562918795731706,0.999032056402439,0.9453080228658535,0.9983332865853658,0.7299400457317072,0.9983786966463415,0.9989004009146342,0.8596771615853659,0.9971359161585366,0.9975137347560975,0.9838239131097561,0.6713461570121952,0.7812899923780487,0.7448403597560976,0.7176172820121952,0.976962931402439,0.9623522591463414,0.8928822256097562,0.9583999603658537,0.9982426859756098,0.999518074695122,0.7259002865853658,0.998609949695122,0.9984025518292683,0.9982479649390243,0.7161229710365853,0.8257218262195122,0.9966379146341463,0.6563536966463415,0.9977352103658536,0.9941014115853658,0.7450742850609756
global NDCG,0.9326626693986282,0.9483036940784789,0.9852929841484603,0.9226346806335685,0.9827781579781334,0.9848428317440253,0.8422050980365541,0.9117128944423665,0.9818895897509196,0.9840303898359004,0.8956156890540751,0.9776824120383404,0.8999959236719425,0.9845855045113433,0.9814114451569963,0.9730478886139217,0.9671745430754207,0.8864437118868321,0.9113407805613386,0.97795787115605,0.9802863640246329,0.9730019503541459,0.945434021384449,0.9807161336100245,0.9535452733463334,0.9856938638017566,0.9787287090132274,0.8961274329706427,0.9098553076662672,0.9775878529921661,0.9280649647805255,0.9827555662725029,0.977295488172481,0.9071312197836539,0.9784920274811265,0.9589780113197971,0.9732386742966854,0.9351251772949406,0.9788164627263516,0.9154453634190904,0.9758836113487583,0.9561780765392011,0.9758244545441478,0.8948807712392169,0.9841983953892389,0.9783643768204613,0.9174952137972419,0.9703669137638968,0.9034111876884019,0.9270475689444576,0.9477638062284266,0.9791121301591709,0.937485410284406,0.9753158435246468,0.970343673029454,0.9541723356389169,0.9380347484327133,0.8837351116780355,0.8889976129675705,0.9436654155631546,0.9346602674273946,0.9531489890829641,0.8622420425874048,0.9024064865281692,0.9039155503108581,0.9768186191419909,0.9819990300242339,0.8885730117431052,0.8911410740848016,0.9825859804358669,0.961571737861703,0.9767651464241989,0.8929535419045306,0.9807547928627345,0.985249216194703,0.9393519938469927,0.9694195762992027,0.9713469137089871,0.971830295015658,0.8708833949765914,0.9274543533470327,0.8929708132436162,0.9185865271332929,0.9293213349705628,0.9674842781599428,0.957752419588245,0.9756065624249269,0.9764825238868403,0.9922783882889812,0.8829316547188707,0.9790915367646003,0.9773101246423237,0.9766801508271395,0.9167800127592085,0.9409010527712971,0.9673645492687518,0.9077714571893313,0.9735844200929434,0.9676748407942457,0.8833106844925255
