,1_SimpleBinaryClassifier,2_SimpleBinaryClassifier,3_SimpleBinaryClassifier,4_SimpleBinaryClassifier,5_SimpleBinaryClassifier,6_SimpleBinaryClassifier,7_SimpleBinaryClassifier,8_SimpleBinaryClassifier,9_SimpleBinaryClassifier,10_SimpleBinaryClassifier,11_SimpleBinaryClassifier,12_SimpleBinaryClassifier,13_SimpleBinaryClassifier,14_SimpleBinaryClassifier,15_SimpleBinaryClassifier,16_SimpleBinaryClassifier,17_SimpleBinaryClassifier,18_SimpleBinaryClassifier,19_SimpleBinaryClassifier,20_SimpleBinaryClassifier,21_SimpleBinaryClassifier,22_SimpleBinaryClassifier,23_SimpleBinaryClassifier,24_SimpleBinaryClassifier,25_SimpleBinaryClassifier,26_SimpleBinaryClassifier,27_SimpleBinaryClassifier,28_SimpleBinaryClassifier,29_SimpleBinaryClassifier,30_SimpleBinaryClassifier,31_SimpleBinaryClassifier,32_SimpleBinaryClassifier,33_SimpleBinaryClassifier,34_SimpleBinaryClassifier,35_SimpleBinaryClassifier,36_SimpleBinaryClassifier,37_SimpleBinaryClassifier,38_SimpleBinaryClassifier,39_SimpleBinaryClassifier,40_SimpleBinaryClassifier,41_SimpleBinaryClassifier,42_SimpleBinaryClassifier,43_SimpleBinaryClassifier,44_SimpleBinaryClassifier,45_SimpleBinaryClassifier,46_SimpleBinaryClassifier,47_SimpleBinaryClassifier,48_SimpleBinaryClassifier,49_SimpleBinaryClassifier,50_SimpleBinaryClassifier,51_SimpleBinaryClassifier,52_SimpleBinaryClassifier,53_SimpleBinaryClassifier,54_SimpleBinaryClassifier,55_SimpleBinaryClassifier,56_SimpleBinaryClassifier,57_SimpleBinaryClassifier,58_SimpleBinaryClassifier,59_SimpleBinaryClassifier,60_SimpleBinaryClassifier,61_SimpleBinaryClassifier,62_SimpleBinaryClassifier,63_SimpleBinaryClassifier,64_SimpleBinaryClassifier,65_SimpleBinaryClassifier,66_SimpleBinaryClassifier,67_SimpleBinaryClassifier,68_SimpleBinaryClassifier,69_SimpleBinaryClassifier,70_SimpleBinaryClassifier,71_SimpleBinaryClassifier,72_SimpleBinaryClassifier,73_SimpleBinaryClassifier,74_SimpleBinaryClassifier,75_SimpleBinaryClassifier,76_SimpleBinaryClassifier,77_SimpleBinaryClassifier,78_SimpleBinaryClassifier,79_SimpleBinaryClassifier,80_SimpleBinaryClassifier,81_SimpleBinaryClassifier,82_SimpleBinaryClassifier,83_SimpleBinaryClassifier,84_SimpleBinaryClassifier,85_SimpleBinaryClassifier,86_SimpleBinaryClassifier,87_SimpleBinaryClassifier,88_SimpleBinaryClassifier,89_SimpleBinaryClassifier,90_SimpleBinaryClassifier,91_SimpleBinaryClassifier,92_SimpleBinaryClassifier,93_SimpleBinaryClassifier,94_SimpleBinaryClassifier,95_SimpleBinaryClassifier,96_SimpleBinaryClassifier,97_SimpleBinaryClassifier,98_SimpleBinaryClassifier,99_SimpleBinaryClassifier,100_SimpleBinaryClassifier
ACC,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
AUC,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Fscore,0.5342750559944043,0.5352982639438871,0.5326007159827908,0.5326699608670663,0.5376121956027726,0.534674301742669,0.5355711858738317,0.5340020054962331,0.5305787214731701,0.5349762258097852,0.5346326343293059,0.5339323248901368,0.5351944394541228,0.5390090361230392,0.53252120662862,0.5345383914999838,0.5377701738826923,0.5357153862615534,0.5360480674291513,0.5347791950249255,0.5328572599304047,0.5281035974141897,0.5347601062457871,0.5363530183164146,0.5306083521824325,0.5329892451704501,0.5323353309209145,0.534696410456377,0.5353683565795869,0.5336194774433336,0.5331981225317852,0.5378345928783296,0.5361163125115026,0.5330279696419548,0.5306558611570634,0.5362898116217732,0.531700607923563,0.5325769955218393,0.5347930277513824,0.533490519757312,0.5354020208566193,0.5386503500463601,0.5322948356979267,0.5324986138496743,0.5381860721006549,0.5329122173217242,0.5380035826557014,0.5339565343282867,0.5327935484392867,0.5293596389819479,0.5309217388271155,0.5392882705360011,0.532733256595852,0.5319541714827489,0.5373241381711934,0.5352385131980728,0.5353964063771385,0.5366905594358571,0.5376531841449145,0.5381374049807061,0.5340198046601214,0.5356061350907434,0.5334233225450374,0.5326531465549835,0.5336507356751049,0.534299409295116,0.5322366267203056,0.5329615229088027,0.531735450585784,0.5275416712404278,0.5362253184500075,0.5308231717970757,0.5304568392455262,0.5347569845698046,0.5366691036348668,0.5334792067902155,0.5318364081893262,0.5346030331637001,0.5366025412190256,0.5326699675671649,0.5393767296847751,0.5334470359896983,0.534616683887614,0.5352474360663336,0.5381365616924794,0.535446948750992,0.5449021201276116,0.538076934260011,0.5337154469683906,0.5339149645911841,0.5375116144479035,0.5310735593981497,0.5329042263146185,0.5332345296204056,0.5350746936357039,0.5357753350122615,0.5341928628048902,0.5341093826751436,0.5396244523902709,0.5343331873856653
HR@10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR@2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR@5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lin's AUC,0.36663179794994705,0.3649096331206485,0.3710772660848354,0.37000887763641044,0.3733619416912321,0.3849846206201063,0.37045711715285995,0.3695499534156261,0.35623179410250516,0.3669081362145107,0.35589863085519396,0.379825188227171,0.3650876907312195,0.36200393460973396,0.3798835922690013,0.3636534245275196,0.3669804889502859,0.38397210504882273,0.376800898567224,0.36628177175346865,0.3687505308681461,0.37610119326638697,0.3840602463489401,0.3766860831654582,0.37338833360303836,0.37105615952477167,0.3763832631013275,0.3563917528862605,0.3653586729461907,0.3604558709543376,0.3845151768829247,0.36999332997522727,0.363005158837436,0.3591953247157925,0.38492088158557664,0.35366147055406216,0.3669152673274897,0.3688352568088861,0.37785981804059815,0.3662444486254594,0.3820043975879942,0.3719853826691227,0.3792262248400522,0.36500734773385035,0.40663216275908354,0.3789849799460914,0.3935586376024971,0.3766196432580338,0.3602563190219908,0.36024399041101796,0.3896440106151279,0.360393437660313,0.3878144210942287,0.3892400189812427,0.3728206856815081,0.37016662092889446,0.36103818081174416,0.3867134612358856,0.3695268134499201,0.40166391720426653,0.38019555528205623,0.3686493384279301,0.3711029786344666,0.3657308714234885,0.3636241392979837,0.3725690139691047,0.37339846638310803,0.39174227613691653,0.3697917340072927,0.37375695024925365,0.3668762914090178,0.38481162165383703,0.3673558226006917,0.3645947209481766,0.3649765693720972,0.36079107689304607,0.37855910688457145,0.3653676908725596,0.37324457636049585,0.39601953046985744,0.34921537190158913,0.39853258618169507,0.38075375840275233,0.3795155268749475,0.3999169443174786,0.35483336717906866,0.3706668375991001,0.3887444387687789,0.3630868982060319,0.37328217803349545,0.3615737313449297,0.37712177636803124,0.3778071281565634,0.37698208669442607,0.37166537206682876,0.37700445651327685,0.37276249998562344,0.3826486605365129,0.3731852625376678,0.3810387725119318
NDCGk,0.8844161322003714,0.8893956393813091,0.8873640021299118,0.8821878727593014,0.8872096109600102,0.8886013525940183,0.8883580231108494,0.8896917158734721,0.8822916204440733,0.8869963668965363,0.8853260341368516,0.884917440831682,0.8833443668082662,0.8907151477747206,0.885545047090492,0.8876453285751876,0.888579906126914,0.888803364159871,0.8914321185947083,0.8865179729699668,0.8821684680030016,0.8816564477487953,0.8859845617292781,0.88576283216392,0.8805145087719748,0.8853014684895775,0.8875921544231553,0.8871946058629502,0.8865765803863591,0.8861566068374543,0.8855751053433196,0.8859269095824606,0.8873313021825229,0.8836345436429954,0.8824048823015258,0.8876786812758397,0.8856345982476447,0.8852170334665268,0.8904383631278924,0.8840886612765851,0.8830981970504951,0.8870719664349275,0.8847354780947646,0.8857089643146732,0.891176930963486,0.8858367179652573,0.8883068262234075,0.8855457358807292,0.8814734372264518,0.8830297482702082,0.8822373907869718,0.8854375994959781,0.8868977452937267,0.8866624308084797,0.8851573573437906,0.886610435611226,0.8876581940968461,0.8882073633147851,0.8893156908924119,0.8902367509650293,0.8874497245915285,0.8863212018975603,0.8860398166385931,0.8878604118411202,0.8863849215947589,0.8859316938591355,0.8819263499004816,0.8860464479943104,0.8854059796795245,0.880439940909341,0.8877951235872552,0.8878626194208333,0.8876537844352427,0.8869725036031016,0.889953911386106,0.8874041602910647,0.8875022005229141,0.8880104034122676,0.889147997730891,0.8815076997350806,0.8877922948200621,0.887162301422867,0.8818832710504267,0.8856850691762469,0.8873062830938142,0.8895314944380535,0.8922702917323818,0.8917883992896226,0.8888665203145553,0.8865636113399077,0.8897949889773767,0.8868258651747457,0.8862979149828947,0.8838406666162443,0.8864696017633865,0.8876966425823007,0.8878183191033863,0.8854194076760546,0.8921499827559287,0.8913290877021022
global AUC,0.9243871928353656,0.9235009344512196,0.9225699283536587,0.9228035106707316,0.9253336958841463,0.9256340632621953,0.9240550914634146,0.9231294283536585,0.921346193597561,0.9237562629573172,0.9221658826219511,0.9235869321646341,0.9239087949695121,0.9222905625,0.9246200038109756,0.9221045442073172,0.9230331684451221,0.9246595693597561,0.9231832782012196,0.9240360952743901,0.924111637195122,0.9227082080792682,0.9244680525914634,0.9239947202743903,0.9245477278963417,0.9229169291158538,0.9225243155487804,0.9227456250000002,0.9221070373475609,0.9216417149390244,0.9245638780487804,0.9235259001524391,0.9219419146341463,0.9214785243902439,0.9250348643292683,0.922448849085366,0.9225788818597561,0.9247201036585366,0.9245087019817074,0.9242672187500001,0.9255629336890242,0.9237601996951221,0.9237614717987805,0.9231129153963415,0.9266090243902438,0.9248984092987805,0.9261450533536586,0.9245095884146344,0.9223677553353657,0.9221317492378048,0.9247171265243903,0.9218722705792681,0.9264631211890244,0.9262260518292684,0.9242687903963415,0.9236288399390243,0.9218515282012197,0.9261577926829268,0.9226529908536586,0.9264749359756097,0.9260417942073171,0.9225557751524388,0.9231387324695123,0.9222687004573171,0.9236291707317072,0.9237914192073169,0.9225551097560976,0.9250895426829269,0.924198817835366,0.9245470670731707,0.9219252835365852,0.9248659382621952,0.9224339695121951,0.9242667888719511,0.9234336326219512,0.9235529862804879,0.9223867217987806,0.9237064153963414,0.9224543788109756,0.9264901928353659,0.9205201280487806,0.9268692103658535,0.9230612477134146,0.9237878551829267,0.9269269672256099,0.9222693711890244,0.9238374641768293,0.9276041204268293,0.9219986905487804,0.9232731897865855,0.9216956089939023,0.9240293620426829,0.9240732553353658,0.923698481707317,0.9238501608231707,0.9236990769817073,0.9230488673780487,0.9261426699695123,0.924152169207317,0.923729474847561
global NDCG,0.8529700698372398,0.8520193630319118,0.851292454847786,0.8515772546799759,0.8542225188254238,0.8544829861149027,0.8530058961761342,0.8520102731406092,0.8503629008092073,0.852681931439004,0.850789007357618,0.8523446814580072,0.8529343482506863,0.8512419944084075,0.8533839961654879,0.851222882441193,0.8519337421770363,0.8536184818825262,0.8522192473713666,0.8529020475572185,0.8529619699585682,0.8517630745231337,0.8540017877212459,0.852862275562142,0.8536027133914945,0.8519914199644605,0.8512637649486963,0.8517734031715148,0.8514599818360324,0.8506351721243809,0.8532825149743143,0.8523674152742248,0.8509841631126153,0.8503454979543816,0.854206966148461,0.8514454890748664,0.8514585403839393,0.8536165198672286,0.853347058984322,0.8529169549991101,0.8544668224400505,0.8526247347934554,0.8527024569175479,0.8518743844054235,0.8550205205300792,0.8539363875923618,0.8543042039000954,0.8531253218568204,0.8510160469437273,0.8510539889735842,0.8536460230354649,0.8509944347738518,0.8550298449610996,0.8552808084956967,0.8531403922692201,0.8522878991773561,0.8506707235695012,0.8546626043567375,0.8517503134283261,0.8548604519707486,0.8544098702775691,0.8516057287188993,0.8518763487077241,0.8512756923154212,0.852586446403027,0.8529479481931875,0.851645712988582,0.8539604359038334,0.8530912137489631,0.8534897726833987,0.8513157202544028,0.8538244647076559,0.8513395075451,0.8530726229987747,0.8523620388957938,0.8523165623486686,0.8513675704512798,0.8527277583873022,0.8512828584922512,0.8550454000378946,0.8496516675605792,0.8551866793388266,0.8517303645345358,0.8528928426933966,0.8553472715190495,0.851153005183955,0.8524587043443926,0.8564289928234661,0.8509500009840246,0.8521152886342501,0.8509514337986167,0.8529643885540654,0.8531400495210261,0.8524703590234096,0.8526005462610193,0.8523608227172619,0.8519248830655997,0.8545451659853249,0.8530603706108814,0.8526684708495113
