,1_SimpleBinaryClassifier,2_SimpleBinaryClassifier,3_SimpleBinaryClassifier,4_SimpleBinaryClassifier,5_SimpleBinaryClassifier,6_SimpleBinaryClassifier,7_SimpleBinaryClassifier,8_SimpleBinaryClassifier,9_SimpleBinaryClassifier,10_SimpleBinaryClassifier,11_SimpleBinaryClassifier,12_SimpleBinaryClassifier,13_SimpleBinaryClassifier,14_SimpleBinaryClassifier,15_SimpleBinaryClassifier,16_SimpleBinaryClassifier,17_SimpleBinaryClassifier,18_SimpleBinaryClassifier,19_SimpleBinaryClassifier,20_SimpleBinaryClassifier,21_SimpleBinaryClassifier,22_SimpleBinaryClassifier,23_SimpleBinaryClassifier,24_SimpleBinaryClassifier,25_SimpleBinaryClassifier,26_SimpleBinaryClassifier,27_SimpleBinaryClassifier,28_SimpleBinaryClassifier,29_SimpleBinaryClassifier,30_SimpleBinaryClassifier,31_SimpleBinaryClassifier,32_SimpleBinaryClassifier,33_SimpleBinaryClassifier,34_SimpleBinaryClassifier,35_SimpleBinaryClassifier,36_SimpleBinaryClassifier,37_SimpleBinaryClassifier,38_SimpleBinaryClassifier,39_SimpleBinaryClassifier,40_SimpleBinaryClassifier,41_SimpleBinaryClassifier,42_SimpleBinaryClassifier,43_SimpleBinaryClassifier,44_SimpleBinaryClassifier,45_SimpleBinaryClassifier,46_SimpleBinaryClassifier,47_SimpleBinaryClassifier,48_SimpleBinaryClassifier,49_SimpleBinaryClassifier,50_SimpleBinaryClassifier,51_SimpleBinaryClassifier,52_SimpleBinaryClassifier,53_SimpleBinaryClassifier,54_SimpleBinaryClassifier,55_SimpleBinaryClassifier,56_SimpleBinaryClassifier,57_SimpleBinaryClassifier,58_SimpleBinaryClassifier,59_SimpleBinaryClassifier,60_SimpleBinaryClassifier,61_SimpleBinaryClassifier,62_SimpleBinaryClassifier,63_SimpleBinaryClassifier,64_SimpleBinaryClassifier,65_SimpleBinaryClassifier,66_SimpleBinaryClassifier,67_SimpleBinaryClassifier,68_SimpleBinaryClassifier,69_SimpleBinaryClassifier,70_SimpleBinaryClassifier,71_SimpleBinaryClassifier,72_SimpleBinaryClassifier,73_SimpleBinaryClassifier,74_SimpleBinaryClassifier,75_SimpleBinaryClassifier,76_SimpleBinaryClassifier,77_SimpleBinaryClassifier,78_SimpleBinaryClassifier,79_SimpleBinaryClassifier,80_SimpleBinaryClassifier,81_SimpleBinaryClassifier,82_SimpleBinaryClassifier,83_SimpleBinaryClassifier,84_SimpleBinaryClassifier,85_SimpleBinaryClassifier,86_SimpleBinaryClassifier,87_SimpleBinaryClassifier,88_SimpleBinaryClassifier,89_SimpleBinaryClassifier,90_SimpleBinaryClassifier,91_SimpleBinaryClassifier,92_SimpleBinaryClassifier,93_SimpleBinaryClassifier,94_SimpleBinaryClassifier,95_SimpleBinaryClassifier,96_SimpleBinaryClassifier,97_SimpleBinaryClassifier,98_SimpleBinaryClassifier,99_SimpleBinaryClassifier,100_SimpleBinaryClassifier
ACC,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
AUC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HR@10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR@2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR@5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lin's AUC,0.29634649122807016,0.30072192982456136,0.2967298245614035,0.3008719298245614,0.3220447368421052,0.30020087719298244,0.2962745614035088,0.3330140350877193,0.2982026315789474,0.27195087719298244,0.29419824561403507,0.30008070175438595,0.29557894736842105,0.2989833333333333,0.2963298245614035,0.2956131578947368,0.2953982456140351,0.2956622807017543,0.2961421052631579,0.2961622807017543,0.3004763157894737,0.29915,0.2947649122807018,0.2985473684210526,0.2985912280701755,0.29644561403508773,0.3267561403508772,0.29439210526315784,0.30490438596491226,0.30071052631578954,0.32034385964912276,0.3184263157894737,0.32790087719298244,0.2986815789473684,0.2983780701754386,0.2961885964912281,0.30511578947368423,0.30294736842105263,0.3225991228070175,0.30211491228070175,0.29097982456140353,0.29837719298245613,0.30053070175438595,0.31989999999999996,0.3023289473684211,0.29845789473684203,0.29748508771929816,0.2952228070175439,0.2984649122807018,0.30122543859649126,0.3028508771929824,0.30208771929824557,0.30206666666666676,0.29725350877192974,0.30197631578947376,0.29742368421052634,0.3045885964912281,0.299919298245614,0.2971061403508772,0.29965087719298245,0.3018622807017544,0.29843245614035085,0.2974973684210526,0.29671754385964916,0.30204912280701757,0.3047043859649123,0.2937570175438597,0.3024701754385965,0.3231842105263158,0.29513245614035083,0.3011140350877193,0.29988859649122807,0.30083859649122807,0.30014912280701755,0.29818947368421056,0.29613947368421045,0.30450175438596494,0.29945964912280704,0.3247368421052632,0.3018228070175439,0.29763508771929825,0.3021736842105263,0.2994482456140351,0.32662456140350876,0.3004412280701755,0.26951754385964916,0.2989166666666666,0.30744561403508774,0.29935789473684216,0.32400526315789474,0.30516403508771933,0.32418508771929827,0.3003043859649123,0.29923333333333335,0.3013570175438597,0.2957298245614035,0.30513596491228073,0.29837280701754393,0.2998622807017543,0.3047026315789474
NDCGk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
global AUC,0.9493660623409669,0.9496565917816169,0.9493567312843179,0.9496680851301281,0.9510889826347039,0.9496398263470381,0.9493372276907281,0.9518593572831572,0.9494828763224855,0.94748394937726,0.949204035534128,0.9495764513860988,0.9493195766930048,0.9495289462523995,0.9493482651444132,0.9493271751261104,0.9492740619838401,0.9493282554350252,0.9493301270032587,0.9493580448417482,0.9496563183563236,0.9495509229498684,0.9492524864961385,0.9495165651087005,0.9495043067273782,0.9493547726663989,0.9514235826525603,0.9491993873041383,0.9499673786884515,0.949656061671354,0.9509611635641267,0.9508296532520871,0.9515081664881032,0.9495236161332085,0.9495067106379179,0.9493454377036741,0.9499594778134904,0.9498121322708808,0.9511101792330698,0.9497477869291548,0.9489517499218786,0.9495077825766707,0.9496431995223427,0.9509326620463372,0.9497628108120174,0.9494981345698853,0.9494434517432256,0.9492810884558726,0.9495080945047096,0.9497083115709121,0.9498152370429894,0.9497599348243383,0.9497649385072094,0.9494370139725905,0.9497564963617696,0.9494253403865899,0.9499249754475246,0.9496179327931789,0.9494071698808089,0.9495952675103789,0.9497505909334405,0.9495272962144546,0.94939246797018,0.9493750301325834,0.9497404675014509,0.9499256629168341,0.9491837596535868,0.9497880016517121,0.9511754542207937,0.949262449779028,0.9496836474934155,0.949589175148431,0.94966925360475,0.9496145255792154,0.9494719979018794,0.9493556364671221,0.9499112093210124,0.9495925728762109,0.9512615870943261,0.9497681403731976,0.9494437848756753,0.9497623376188562,0.9495783899156287,0.9514090364269454,0.9496070482344539,0.9473472411945896,0.949533098968796,0.9501426733181555,0.9495563540690147,0.9512505714030625,0.9499617706798804,0.951275283469488,0.9496426839203608,0.9495393609660284,0.9497018029329047,0.9492897270211152,0.9499836759519662,0.9495040991473594,0.9495787135618946,0.9499305845721173
global NDCG,0.9061856780862374,0.9065197005309359,0.9061481458545351,0.9065208556373618,0.9121623418856344,0.906517928660174,0.9062069306865128,0.9135909133549652,0.906324683892229,0.9034647639950503,0.9058585784007019,0.9063353114157257,0.9060757898365427,0.9063135042182016,0.9060841271609091,0.9061081650977995,0.9059268266241043,0.9059805950489145,0.9060300521439102,0.9060939343955736,0.9065149362373143,0.9064481608140424,0.9058889580690788,0.9064178866420342,0.9063752223599715,0.9060259929742991,0.912846984313953,0.9058834602401555,0.9071435744223038,0.906598995609866,0.9118055216947204,0.9116437390481154,0.9129461134236371,0.906335157843468,0.9063516153563671,0.9061242082151143,0.9070165943362462,0.9068017721828453,0.9122281148080095,0.9067115474303791,0.9055270366554549,0.9062478425327447,0.9065952724193,0.9119202750767339,0.9068265920759583,0.9063725453918828,0.9061555029004945,0.9059243606408146,0.9062895265317407,0.9066124384612618,0.9068063933841574,0.9067887169689317,0.9066579993448809,0.9061850193573335,0.9067154312778772,0.9060602649145613,0.907044356266871,0.9065219400427558,0.9061949839181467,0.9065496602649522,0.9066647446552683,0.9063478368451139,0.9062076686044794,0.9060964750086576,0.9067691999283765,0.9069618332057243,0.9057857648260026,0.9068077430276645,0.9123658127160434,0.9061064879059869,0.9065776338977677,0.9064624230509428,0.906690378257356,0.9066004535549707,0.9061990435451296,0.9061194644447127,0.9069515678082494,0.9064368310156403,0.912453380326109,0.9066652760898268,0.9062335151712734,0.9068361398496172,0.9064432886858796,0.9128490654553071,0.9066214056892313,0.9034053630807735,0.9064644818423342,0.9072920329822713,0.9064148742818773,0.9123760452796341,0.9070320126706208,0.9125862753140855,0.9066139515957431,0.9064363401861814,0.9066865225695505,0.9060515580917213,0.9071151490898212,0.9063473119760673,0.9064087880053655,0.9070933321869675
prediction time (sec),0.3661348819732666,0.3803122043609619,0.43186259269714355,0.4091205596923828,0.33054184913635254,0.316392183303833,0.32009220123291016,0.3118736743927002,0.32610130310058594,0.3399977684020996,0.33457303047180176,0.4167299270629883,0.3145759105682373,0.31776928901672363,0.4452979564666748,0.30999279022216797,0.3339560031890869,0.32674217224121094,0.34580254554748535,0.3961515426635742,0.3050215244293213,0.3184952735900879,0.2992997169494629,0.4562976360321045,0.4460928440093994,0.3166489601135254,0.3408524990081787,0.3330669403076172,0.2979006767272949,0.4232022762298584,0.35666584968566895,0.309481143951416,0.30145788192749023,0.4492371082305908,0.45159244537353516,0.32364654541015625,0.3103647232055664,0.3119688034057617,0.30981993675231934,0.3076953887939453,0.31311893463134766,0.32529783248901367,0.2913806438446045,0.31230616569519043,0.32483363151550293,0.4544532299041748,0.39536499977111816,0.2970619201660156,0.3285799026489258,0.41546106338500977,0.42818188667297363,0.30388951301574707,0.31328320503234863,0.43506288528442383,0.3505697250366211,0.448988676071167,0.4303886890411377,0.30888795852661133,0.4519364833831787,0.30722546577453613,0.31160712242126465,0.3045334815979004,0.3232088088989258,0.31309986114501953,0.31052565574645996,0.33829784393310547,0.3982813358306885,0.4568209648132324,0.2942204475402832,0.31670522689819336,0.30977606773376465,0.3026845455169678,0.2960669994354248,0.30963802337646484,0.3445625305175781,0.3124198913574219,0.29155540466308594,0.3048422336578369,0.3107120990753174,0.304736852645874,0.38507080078125,0.4727287292480469,0.3991711139678955,0.37122035026550293,0.3180813789367676,0.3164536952972412,0.36232519149780273,0.2990701198577881,0.31031227111816406,0.27948856353759766,0.29642248153686523,0.3146626949310303,0.31505751609802246,0.31391024589538574,0.4501810073852539,0.30651044845581055,0.3045768737792969,0.3881359100341797,0.4069039821624756,0.45590853691101074
