,1_ALSWR,2_ALSWR,3_ALSWR,4_ALSWR,5_ALSWR,6_ALSWR,7_ALSWR,8_ALSWR,9_ALSWR,10_ALSWR,11_ALSWR,12_ALSWR,13_ALSWR,14_ALSWR,15_ALSWR,16_ALSWR,17_ALSWR,18_ALSWR,19_ALSWR,20_ALSWR,21_ALSWR,22_ALSWR,23_ALSWR,24_ALSWR,25_ALSWR,26_ALSWR,27_ALSWR,28_ALSWR,29_ALSWR,30_ALSWR,31_ALSWR,32_ALSWR,33_ALSWR,34_ALSWR,35_ALSWR,36_ALSWR,37_ALSWR,38_ALSWR,39_ALSWR,40_ALSWR,41_ALSWR,42_ALSWR,43_ALSWR,44_ALSWR,45_ALSWR,46_ALSWR,47_ALSWR,48_ALSWR,49_ALSWR,50_ALSWR,51_ALSWR,52_ALSWR,53_ALSWR,54_ALSWR,55_ALSWR,56_ALSWR,57_ALSWR,58_ALSWR,59_ALSWR,60_ALSWR,61_ALSWR,62_ALSWR,63_ALSWR,64_ALSWR,65_ALSWR,66_ALSWR,67_ALSWR,68_ALSWR,69_ALSWR,70_ALSWR,71_ALSWR,72_ALSWR,73_ALSWR,74_ALSWR,75_ALSWR,76_ALSWR,77_ALSWR,78_ALSWR,79_ALSWR,80_ALSWR,81_ALSWR,82_ALSWR,83_ALSWR,84_ALSWR,85_ALSWR,86_ALSWR,87_ALSWR,88_ALSWR,89_ALSWR,90_ALSWR,91_ALSWR,92_ALSWR,93_ALSWR,94_ALSWR,95_ALSWR,96_ALSWR,97_ALSWR,98_ALSWR,99_ALSWR,100_ALSWR
ACC,0.815,0.8094,0.8074,0.8089,0.8079,0.8111,0.8181,0.8066,0.8136,0.8044,0.8138,0.8068,0.8123,0.8177,0.8065,0.8096,0.8084,0.8109,0.8058,0.8107,0.8156,0.8074,0.8094,0.809,0.8055,0.8126,0.8121,0.8111,0.8106,0.8106,0.8111,0.8086,0.8121,0.811,0.8106,0.8026,0.8057,0.8128,0.8108,0.8119,0.8154,0.8117,0.8093,0.8131,0.811,0.8161,0.8075,0.8055,0.8139,0.8102,0.8102,0.8066,0.8103,0.8139,0.8151,0.8144,0.8113,0.8055,0.8101,0.8105,0.8155,0.8092,0.806,0.8152,0.8095,0.8144,0.8097,0.8123,0.8106,0.8118,0.8114,0.8149,0.8137,0.8106,0.8134,0.8089,0.8095,0.8089,0.813,0.8085,0.8128,0.8115,0.8137,0.8161,0.8097,0.8104,0.8171,0.8049,0.8094,0.8063,0.8123,0.8169,0.8133,0.8099,0.809,0.8053,0.812,0.8092,0.8097,0.813
AUC,0.7629449766648677,0.756771304576418,0.7600834582588496,0.7552992850760534,0.7510132774415001,0.765599562252627,0.7512801925068086,0.7593851322304118,0.7458687423379845,0.7533644354561378,0.7559786366865836,0.766424511352416,0.7536114828896219,0.7631960004165486,0.750142757841854,0.7536885520160395,0.752628033048486,0.7560191235550126,0.7541660861051307,0.7550552761119215,0.7409993990605153,0.7435680782586992,0.748886273004899,0.7589975906946836,0.7565220341899169,0.7518235450185089,0.756475698436881,0.7586032082821531,0.757413760059369,0.7490786784477137,0.7486379503147063,0.7536836484006987,0.7554041155105157,0.7579987330758303,0.7563003122319162,0.7603423580871806,0.7573421196486995,0.7529081249620795,0.7534203493056572,0.7556672868413855,0.7494436816642542,0.7559762919134948,0.7617635355643151,0.7597084695037555,0.7544169503468805,0.7475218692293236,0.7515497923515022,0.7571924355100288,0.7468377957371084,0.7568188783102294,0.7569160631124184,0.7492436878959515,0.7597337154469167,0.7509267866001201,0.7461312001100276,0.758269910207363,0.7526916202026817,0.7545084494184903,0.7570792836462258,0.7559142718523414,0.7526724077929208,0.7501012583547743,0.7558864841462274,0.7590554509100557,0.7595837796500899,0.7624438870308833,0.7566184141751111,0.7514784059595664,0.7583032917764069,0.7510168785333766,0.7603791390647708,0.7624725844897264,0.7547714639688168,0.7548328701019148,0.7445282975654308,0.7544252642327962,0.7543760270176878,0.7526676582340042,0.76031617522742,0.7514355430784476,0.7482427808258556,0.7633806808107422,0.7527017789103876,0.7538040674713057,0.7582000239851456,0.75510299020909,0.7426449491758237,0.7521962699555101,0.7555352038484331,0.7616679579790245,0.7567102816111965,0.7529744343327235,0.7571223341549594,0.7534693152022879,0.7478439346787803,0.756960638360886,0.7477596081351067,0.7665607729243931,0.754194965368622,0.7556147374135214
Fscore,0.5975513923588958,0.5967692107478716,0.5950029653487611,0.5933689673480006,0.5969683889556917,0.5981572985796848,0.5946791984266597,0.5960078322201503,0.5887305583111032,0.5951093516893761,0.5953132509756377,0.5978091412891381,0.5957589664370793,0.6018975291973229,0.5920986694248047,0.5962979662282306,0.5972822594757773,0.5971726198351938,0.5962453917552796,0.5954293538231787,0.5904684789228046,0.5865115875854227,0.5948387697264397,0.5979997443161933,0.5925339181219941,0.5929615176245521,0.5936353622317392,0.5967512554916509,0.5974672211093881,0.592711695966631,0.5927768574863218,0.5976489489266915,0.5966580971211954,0.5944462112740607,0.5918042695540301,0.5979244850368032,0.593823456924423,0.5930190578998011,0.5947938049393027,0.5941111524714012,0.5941959508138437,0.599317950302504,0.5952802517497762,0.5944625977401858,0.5988253155437342,0.59147341427368,0.5973551490745251,0.596245666831907,0.5910094562317936,0.5912292732839112,0.5921816006744919,0.5988452229322629,0.5957022041525826,0.5923444167966381,0.5948798043432615,0.5970999892291838,0.595130840863908,0.5971805039059881,0.5984436854221731,0.6001192597056506,0.5943775056704859,0.5960599382671048,0.5945749893972248,0.594664506316605,0.5962439770839832,0.5977169213698772,0.593973501317548,0.5929166111697031,0.5932415546241991,0.58724833862929,0.5984076422322006,0.5956632782699209,0.5913948600248843,0.5949600510457057,0.5943950037658019,0.5938213983607084,0.5931331830896586,0.5960744719892564,0.5986137686473811,0.59352455932049,0.5976293197708934,0.5971815578936298,0.5949159352174112,0.5953857983719925,0.5997297489578637,0.5968246047340611,0.60135718236043,0.5989066030269498,0.5940020856787115,0.5959437057162406,0.5994106866771404,0.5915638122683272,0.5947899255796195,0.5946421488532521,0.5940870452574122,0.5977132994632499,0.5931999579865659,0.5978317967171312,0.6000812836087601,0.5957681565012072
HR@10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR@2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR@5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lin's AUC,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.999991304347826,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
NDCGk,0.938478043182342,0.9398920134531288,0.9430901441352776,0.9394644406457728,0.9381449007024392,0.941403425220142,0.9414296689054856,0.9409629135568544,0.935600631541286,0.939081013611496,0.940747774833841,0.9415434683397892,0.9390233099838006,0.9440839326514612,0.936397281171026,0.9382591407775888,0.9400478577574108,0.9406286006763904,0.9417100519202256,0.9406798018630318,0.9327839862196444,0.9333599757886069,0.938009545429794,0.9380030084981557,0.9373427222114036,0.9372148588129248,0.9423651797996948,0.941065269066468,0.9373386511473376,0.9363965539464394,0.935995909445142,0.93925469512005,0.9367452247471414,0.9403361147752948,0.9399666478432774,0.9394136084090716,0.9381515315224452,0.9372146118075722,0.9357203601499652,0.935888251642386,0.9362095594139116,0.9386816052261046,0.9404083720869532,0.9368317251667344,0.9404797629812852,0.9354284336601788,0.9399376454144402,0.937487238077216,0.9385973741130712,0.9381679769695336,0.9391964799427286,0.937552533406258,0.9336591694029348,0.937411762870026,0.9350550929944028,0.9411183618427336,0.9366368494042596,0.9374624265065504,0.9355369658420783,0.9408970590060192,0.9382951080425864,0.9383851573533714,0.9411026942956664,0.9395006634947876,0.9403137954002432,0.9405134315243704,0.9368393134945168,0.9371851312164714,0.9411653145886996,0.9377035336892796,0.9397844884534828,0.944583728559259,0.935800065730843,0.9405703132603914,0.9356175892526636,0.9396652508952372,0.9400022978726283,0.9408912451547454,0.9406143365009132,0.9381936027250696,0.9361206564841564,0.9395229937404708,0.9377511624046404,0.9404473747558468,0.9384948637364876,0.9382354961014108,0.9370720785566476,0.940974085511174,0.9389261562809268,0.9397660754172665,0.9395224384441376,0.9335854910525598,0.9380978774098376,0.9387276582418816,0.9389322060822912,0.9406986781155044,0.937394381413155,0.9384004233427284,0.9418820222710674,0.9422176935734002
global AUC,0.9829595929878048,0.9813083917682924,0.979847193597561,0.9818068368902438,0.9801082698170732,0.9814903917682928,0.982100974085366,0.9793268521341464,0.9828566859756098,0.9796306966463414,0.9823078658536586,0.980518606707317,0.982412262195122,0.9824957804878048,0.9792514573170732,0.9802449512195124,0.980357675304878,0.9800524420731708,0.9806702286585366,0.9815746219512194,0.982170306402439,0.9803419817073172,0.9797789969512194,0.9800556676829268,0.979946893292683,0.982368263719512,0.9810827972560976,0.9806426097560976,0.9805300914634149,0.9820033475609756,0.9815391417682928,0.9813814435975612,0.9816439786585366,0.9812684237804876,0.981031713414634,0.9788934923780488,0.980179512195122,0.982541961890244,0.9821881204268292,0.9826497865853658,0.9820384192073172,0.9822348445121952,0.9813970167682926,0.9818598094512194,0.979752713414634,0.9805251570121952,0.9807303719512196,0.979685736280488,0.981631387195122,0.9803545335365854,0.9804997271341463,0.9801865304878048,0.980732486280488,0.9812050411585364,0.9823954039634144,0.982278506097561,0.9830442957317074,0.9789730091463416,0.9808264557926828,0.9802068826219512,0.9823815228658536,0.9812042134146342,0.9810745564024392,0.982878881097561,0.9791012408536588,0.9805953475609755,0.980068705792683,0.9806819359756098,0.9817051219512196,0.9815983094512196,0.9817657713414634,0.9816556310975608,0.981921737804878,0.9793710518292684,0.9814891326219513,0.9805636295731708,0.9810401067073171,0.9799530609756096,0.9819731646341464,0.9795796875,0.9809225106707318,0.9799847728658536,0.9824201661585366,0.9816083551829268,0.9818130838414634,0.9806185091463414,0.9821363475609756,0.9800089359756098,0.980889399390244,0.9796420472560976,0.9814997164634148,0.9835571768292684,0.9817311753048782,0.9807046417682928,0.981272875,0.9786330548780487,0.9812571539634146,0.9806145091463414,0.9818102774390243,0.9814490045731707
global NDCG,0.9221215307862892,0.9181080979118302,0.9148796265204122,0.9192337182027036,0.9156948823562134,0.918506109329124,0.91995662150385,0.9140035553951266,0.921563362655819,0.9145706876398922,0.9203210640197652,0.9166072374868496,0.920637936060205,0.920782342509086,0.9138560341786958,0.9157651701131956,0.9164119416673804,0.9153795845542876,0.9167570646207166,0.9186865749796066,0.9200923872604204,0.9159550276199878,0.9148083611189716,0.9154934869925055,0.9151445467905271,0.920497290792095,0.9176958840951996,0.9166809221211716,0.9164273227290703,0.9196765281222848,0.9186820108595573,0.918501922098238,0.918867486516593,0.9180094816623636,0.9176354511478904,0.9131392425241828,0.9157165189147954,0.9209786663272198,0.9201757761191472,0.9210865070402124,0.9199422259136856,0.9202455503709164,0.9183405178064402,0.9193503076545372,0.9147414370443872,0.916656623422818,0.91687109711049,0.9146071220719594,0.9190513340357552,0.9159988566703948,0.916438700289899,0.9157971545212384,0.9170092167382536,0.9178497246390164,0.9207211757044272,0.920771374797974,0.921924360056246,0.9130825185954388,0.9170697375534224,0.9157339912911828,0.9204110524723764,0.9178208361208604,0.917916398602424,0.9215379953076848,0.9135716296846902,0.9166974599487132,0.915425635171682,0.9167404407804316,0.9190665326728488,0.9188539734359698,0.91930545721277,0.9190455104355576,0.9196700853094596,0.9140144861366384,0.91874805540653,0.9164560375978752,0.9176518748921628,0.915251852486475,0.9195920760361908,0.9144449146598674,0.917356182666914,0.9152361693378216,0.9208369074207864,0.9191899881731016,0.9193126842086908,0.9168295269211976,0.9200902300909176,0.9153042294808844,0.9173157846290944,0.9146979867336051,0.9184704487781026,0.9233833087084512,0.9193635647944438,0.9167401302158604,0.9182327365258036,0.912498580372596,0.9180129847074276,0.9165159188765956,0.9193490222302091,0.9185003825076296
