,1_DDA_SKF,2_DDA_SKF,3_DDA_SKF,4_DDA_SKF,5_DDA_SKF,6_DDA_SKF,7_DDA_SKF,8_DDA_SKF,9_DDA_SKF,10_DDA_SKF,11_DDA_SKF,12_DDA_SKF,13_DDA_SKF,14_DDA_SKF,15_DDA_SKF,16_DDA_SKF,17_DDA_SKF,18_DDA_SKF,19_DDA_SKF,20_DDA_SKF,21_DDA_SKF,22_DDA_SKF,23_DDA_SKF,24_DDA_SKF,25_DDA_SKF,26_DDA_SKF,27_DDA_SKF,28_DDA_SKF,29_DDA_SKF,30_DDA_SKF,31_DDA_SKF,32_DDA_SKF,33_DDA_SKF,34_DDA_SKF,35_DDA_SKF,36_DDA_SKF,37_DDA_SKF,38_DDA_SKF,39_DDA_SKF,40_DDA_SKF,41_DDA_SKF,42_DDA_SKF,43_DDA_SKF,44_DDA_SKF,45_DDA_SKF,46_DDA_SKF,47_DDA_SKF,48_DDA_SKF,49_DDA_SKF,50_DDA_SKF,51_DDA_SKF,52_DDA_SKF,53_DDA_SKF,54_DDA_SKF,55_DDA_SKF,56_DDA_SKF,57_DDA_SKF,58_DDA_SKF,59_DDA_SKF,60_DDA_SKF,61_DDA_SKF,62_DDA_SKF,63_DDA_SKF,64_DDA_SKF,65_DDA_SKF,66_DDA_SKF,67_DDA_SKF,68_DDA_SKF,69_DDA_SKF,70_DDA_SKF,71_DDA_SKF,72_DDA_SKF,73_DDA_SKF,74_DDA_SKF,75_DDA_SKF,76_DDA_SKF,77_DDA_SKF,78_DDA_SKF,79_DDA_SKF,80_DDA_SKF,81_DDA_SKF,82_DDA_SKF,83_DDA_SKF,84_DDA_SKF,85_DDA_SKF,86_DDA_SKF,87_DDA_SKF,88_DDA_SKF,89_DDA_SKF,90_DDA_SKF,91_DDA_SKF,92_DDA_SKF,93_DDA_SKF,94_DDA_SKF,95_DDA_SKF,96_DDA_SKF,97_DDA_SKF,98_DDA_SKF,99_DDA_SKF,100_DDA_SKF
ACC,0.9683,0.9669,0.964,0.9701,0.9581,0.9663,0.9559,0.9633,0.9679,0.9659,0.9677,0.9607,0.9595,0.9685,0.9704,0.9701,0.9625,0.9641,0.9637,0.9658,0.9681,0.9735,0.9576,0.9586,0.9581,0.9606,0.9648,0.9662,0.9617,0.9559,0.9746,0.9656,0.9647,0.9718,0.9646,0.9612,0.9711,0.9644,0.9634,0.971,0.9578,0.9652,0.963,0.9652,0.9621,0.9689,0.9636,0.969,0.9661,0.9703,0.9652,0.9608,0.9621,0.9687,0.9668,0.9593,0.966,0.9646,0.9651,0.9689,0.9608,0.9602,0.9656,0.9678,0.9717,0.9658,0.9643,0.9661,0.9544,0.9616,0.9671,0.971,0.9705,0.9616,0.9686,0.9676,0.9731,0.9599,0.9669,0.97,0.961,0.9671,0.9627,0.9668,0.9623,0.9552,0.9649,0.9675,0.9652,0.9622,0.9633,0.9601,0.9686,0.9627,0.9608,0.9639,0.9626,0.9638,0.9556,0.968
AUC,0.979910996827318,0.9793337522192648,0.9767699574842864,0.9810112923190277,0.9743702566962327,0.9790027464786932,0.9732042062927241,0.9763105302790147,0.9799096083084906,0.9790072823289342,0.9795919116453227,0.9760485176948063,0.9746324453251214,0.9807337996724189,0.9814271010573654,0.9808489291267556,0.9765119570554006,0.9776100628171815,0.9773728382099912,0.9781167248578861,0.9794510969687219,0.983652584124454,0.9747176661733988,0.9751840582534286,0.9745786924981189,0.9755718893708208,0.9770610819338938,0.9783390956877099,0.9758666761005526,0.9727443427061452,0.9839585390968315,0.9783732754910852,0.9781099352912281,0.9827483605592728,0.9770328898525413,0.9752734419075779,0.9820474910751402,0.9781864581153772,0.9771243215756108,0.9816654718515245,0.97368214600953,0.9784481632973946,0.9765400392880497,0.9785763869132813,0.9770098093817617,0.9806332195242209,0.9773009310789882,0.9794778857991215,0.9791956062104157,0.9813384230662981,0.9783401431123901,0.9753429306711732,0.9765636231163785,0.9810360112290796,0.9800132451059054,0.9747822373464885,0.9794267715631938,0.9783541202366557,0.978496787526843,0.98126519749624,0.976083120635744,0.9749294388720884,0.9778899135719971,0.979921347139185,0.9826280028682731,0.9788339626407361,0.9771782645657022,0.9793951685784549,0.9709106572197058,0.976089143414251,0.9801048108924608,0.9816119973130484,0.9811161885656264,0.9760238997107982,0.9805116126627786,0.9799169910922404,0.9830680996741259,0.9751426522636755,0.9792230581257526,0.981250580875558,0.9753701192647856,0.979865523003054,0.9774671452484986,0.9790417779028396,0.9756094697053405,0.9717877427243513,0.9779767405214378,0.9801571656744931,0.9776766841138286,0.9769727020519268,0.9772310521569623,0.9753654881280532,0.9798588254541221,0.9761590331495565,0.9752179329175459,0.9782091207655205,0.9767249361446346,0.9767323197176292,0.972790083292117,0.9801611794868234
Fscore,0.6516311412744222,0.6521282666943995,0.6473795599566085,0.6511744374152001,0.6489008323071588,0.6510234014931661,0.6461594772882442,0.649000728017237,0.6477297477425066,0.6512201226582346,0.6516636432143252,0.6474332179307117,0.6485903068978977,0.6552291858476194,0.6515398309210014,0.652113624436449,0.650570561986685,0.6503256518400804,0.6507412282124737,0.6507374212998692,0.6497746325212611,0.6499775905270101,0.646669400427964,0.6495000252980483,0.6437613343556916,0.6468010877847918,0.6477496240511087,0.6499604589516395,0.6484612953803096,0.6438481180919038,0.6540947640856564,0.6532156080665455,0.6515704984812407,0.6523088654347379,0.6451265574106948,0.649682043872163,0.6510806363170701,0.6484055832781312,0.6498957227860446,0.6510396737177984,0.6473218829120337,0.6536026574075402,0.6477246678954757,0.6494071916898279,0.6519780731445525,0.6512962380229176,0.6527876503129135,0.6505004302755854,0.6501307365494108,0.6492675400872991,0.6476299130392041,0.6505729708896788,0.647554122474308,0.6507348736108741,0.6535257313291695,0.6488361552321353,0.6516111555064845,0.6514725914706777,0.6520129539788048,0.6550299363255785,0.6468386960708656,0.649032136347907,0.6485254676826105,0.6504151288977078,0.6532287019538802,0.6493053356503801,0.6479568614800004,0.6493407309214203,0.6421447138856808,0.6423480793979401,0.6527742114704103,0.6505388009637576,0.6492715793044053,0.6469688155655889,0.6541134794386747,0.651421052903346,0.6522452410948515,0.6482966849000275,0.6523155401628725,0.6514844006085485,0.6525767937516426,0.6493090456092859,0.6453724210377465,0.650217680007957,0.6508178229456338,0.6452596568610476,0.6580809165581172,0.6541222449637456,0.649702284992483,0.6489273386627012,0.6519836581244941,0.6436287476562047,0.6505132092976438,0.6469395047234309,0.6483628409161161,0.651547127516038,0.6487854481832603,0.6487901585978674,0.6496041219080854,0.6521545063076846
HR@10,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125
HR@2,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025
HR@5,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625
Lin's AUC,0.999051242006901,0.998062343143235,0.9980560068145659,0.9998863636363636,0.9984094197073068,0.99852118048081,0.9990682041171547,0.9961666678386067,0.9987585707942851,0.9988336404315415,0.9978351541935325,0.9982071413235184,0.9973567338845973,0.9993868175475319,0.9988595235024847,0.9990733914778034,0.9981223024345334,0.9991606642312746,0.9970631114217717,0.9989608032095457,0.9963531351558155,0.9986848890636266,0.9987477371147208,0.9966619424919128,0.9988171729718606,0.9939174037535472,0.9981551444450478,0.9980418959297345,0.9972821215393801,0.9976290112427687,0.9974059186781224,0.9965594753247661,0.9972731452515572,0.9986738166513738,0.9982320687652007,0.9975859733286947,0.9995463790029007,0.99911305865561,0.9988830842662455,0.9974025070750426,0.9990358170726873,0.9983792466525138,0.998698041981731,0.9993957295009303,0.9965275176914193,0.9998076923076923,0.999585326953748,0.998130328221472,0.9974759428320112,0.9991998058604277,0.9986858087707888,0.9966242850137041,0.9985275600390108,0.9977447470232665,0.9986545676396662,0.9990377677641575,0.9982409139992666,0.9993435904636314,0.9995387015878728,0.9988925235371354,0.9979332644903739,0.9976090296609905,0.9959238434721519,0.9978054490549083,0.9979943968262117,0.9990097076604433,0.9982679805252062,0.9990686138796605,0.9975264107040982,0.9973123876942407,0.9987557618761157,0.9983406910342577,0.9983796350263614,0.9963441848815091,0.9988747042504673,0.9993796283412779,0.9977960428253126,0.9993322225334115,0.9978457430789096,0.9991963350870674,0.9978266643642816,0.9988662266780968,0.9990677004809204,0.9974695095425881,0.9966018790796105,0.9971949266713207,0.9981710829205838,0.9981138203277183,0.9978785153774222,0.9974357592217186,0.9966451085774805,0.9977483442636997,0.9994108772497519,0.9978088991467547,0.9991094140191967,0.997946228330891,0.9992218009103218,0.9970322577819652,0.9957644496064646,0.9984318357097882
NDCGk,0.9976044093676226,0.9975660579572876,0.9969192359145214,0.9977251890273586,0.9968434584487074,0.997404554535208,0.9965276160058242,0.9970814062977201,0.997241118346723,0.9974384823010141,0.9976460447573592,0.9965820306957517,0.9969525763468248,0.9977863085321336,0.9978565145736435,0.9975838752148498,0.9969510796730383,0.9971235480852839,0.9970566752968552,0.9972935891394566,0.9975771838384282,0.9980706319885904,0.9971955662129186,0.9971160184399346,0.9968902406125943,0.9968019949888692,0.9970041976591227,0.997373061572419,0.9970091466675638,0.996578552622578,0.9982116478683245,0.9975275458384261,0.9974918559939409,0.9979853899650957,0.9959508550116573,0.9969937345140752,0.9976434334461411,0.9974638873432966,0.9971821986146171,0.9976561407715455,0.9969875206470921,0.9974041055390279,0.9971443883745255,0.9974944122971621,0.9973482657141206,0.9976225028664952,0.9972624627955053,0.9969586087257929,0.9977005055475275,0.9978240678103666,0.9973869640778347,0.9966809308761023,0.9971193028888818,0.9978927894823619,0.9978109910744098,0.9967807623560296,0.9974987722403403,0.9972891794448363,0.9975608266631536,0.9977252984892431,0.9969412682256475,0.9968155910173379,0.9970336158216226,0.9976854965262111,0.9980282676717676,0.9972231859245442,0.9971366392544582,0.9974760265383344,0.9960293332365096,0.9967303044643853,0.9976480441507977,0.9978625119505087,0.9974884427099029,0.9971815174713412,0.9978027607684808,0.9976001427875564,0.9980075723863703,0.9971046532058474,0.997617275254538,0.9978898129035346,0.9970147073814651,0.9975921627394254,0.9968154052434481,0.997342836058198,0.9968120979316893,0.9965659193066407,0.9973123192630746,0.9975807423325287,0.9970740499911673,0.9971496135502258,0.9971942551304772,0.9968574108503796,0.9975390403612465,0.9966855011199683,0.9966938527578344,0.997556773546314,0.997051953693901,0.997014555735371,0.9969043721639482,0.9977214855325771
global AUC,0.9650853658536586,0.9634420731707316,0.9602439024390244,0.9671676829268292,0.9538140243902439,0.9628292682926829,0.9514756097560976,0.9592469512195122,0.9646158536585366,0.9624359756097561,0.9642591463414634,0.9566371951219512,0.9551981707317073,0.9653506097560974,0.967390243902439,0.967060975609756,0.9586280487804878,0.9604908536585366,0.9598079268292682,0.9623414634146342,0.964530487804878,0.9707469512195123,0.9533109756097561,0.9541493902439026,0.953859756097561,0.9559939024390244,0.9611371951219512,0.9626585365853658,0.9576280487804878,0.9513079268292683,0.9718170731707318,0.9618170731707316,0.9609054878048781,0.9688810975609756,0.9609176829268292,0.957125,0.968219512195122,0.9608048780487805,0.9596920731707318,0.9678353658536585,0.9535609756097562,0.9616067073170731,0.9592378048780488,0.9617286585365853,0.9580060975609757,0.9658353658536586,0.9600030487804878,0.9657621951219513,0.9624725609756096,0.9672957317073171,0.9616371951219512,0.9565792682926829,0.958219512195122,0.9653567073170732,0.9633932926829268,0.9552073170731707,0.9624695121951219,0.9610701219512194,0.9616341463414635,0.9657286585365854,0.9567012195121951,0.9560426829268294,0.9617256097560976,0.9643841463414634,0.9686798780487804,0.9623414634146342,0.9606036585365854,0.962670731707317,0.9496310975609755,0.9575335365853658,0.9637378048780488,0.9679573170731707,0.9674085365853659,0.9573963414634146,0.9653841463414634,0.9643628048780487,0.9702012195121952,0.9559115853658536,0.9634115853658536,0.9669817073170731,0.9569207317073172,0.9637530487804878,0.9589542682926829,0.9632408536585365,0.9581798780487805,0.9504939024390243,0.9612317073170732,0.9640853658536586,0.961530487804878,0.9581920731707316,0.9592926829268293,0.9559329268292683,0.9654603658536585,0.9587865853658537,0.9568689024390243,0.9601189024390244,0.958859756097561,0.9599176829268292,0.950780487804878,0.9646798780487804
global NDCG,0.9929207909199689,0.9925988421169935,0.9919430341728395,0.9933325164310637,0.9906093922448225,0.9924661151077561,0.9901142119825214,0.9917714091241684,0.9928288353650462,0.9923784905795379,0.9927757278708516,0.9911971410367826,0.9909180563140264,0.9929685397318505,0.9933938225681559,0.9933262866601098,0.9916055701001668,0.9919736489543206,0.9918689812274004,0.992356803202984,0.9928561229191329,0.9940882442496488,0.9904985743948117,0.990710380228713,0.9906120624059734,0.9911433247339992,0.9921247167621415,0.9924399833438904,0.9914173807216498,0.9901044211199227,0.9943272477411345,0.9922938412585887,0.9920950017660592,0.9937061439178554,0.9920795276161976,0.9913068346863744,0.9935549144723337,0.9920405628638931,0.9918136073988543,0.9935163930459134,0.9905457541836852,0.9922168572841629,0.9917222492427736,0.9922239774669236,0.9915043660580927,0.9930613494412718,0.9918641723843257,0.9930732005638969,0.9924129597259823,0.9933722020844916,0.9922186374039463,0.9912100030604103,0.9915168281069848,0.9930011517861924,0.9925798399244894,0.9908860594936074,0.9923966162118659,0.9920884279681416,0.992202279587741,0.9930551195838864,0.991217124527648,0.9910811789159403,0.9922884994910329,0.9927991670934292,0.9936783136341184,0.992356803202984,0.9920126227704463,0.9924245309059788,0.9897615626101534,0.9913956305998642,0.9926484129411499,0.9935235141178815,0.9934109912898549,0.9913876185600885,0.9929866268994338,0.9927656381391845,0.9939921460058377,0.9910247564699264,0.992597061898408,0.9933055517238327,0.9912624276866214,0.9926493029701684,0.9916570524519703,0.992570938831549,0.991546959375759,0.9899426233572959,0.9921464189892352,0.992733295625905,0.9922124067685746,0.9915314498544666,0.9917740799523457,0.9910585160416409,0.9929910769210434,0.9916472617252209,0.9912269152543974,0.9919195382622348,0.9916353171631691,0.9918915900175316,0.9900246598856947,0.9928487113114942
