,1_FastaiCollabWrapper,2_FastaiCollabWrapper,3_FastaiCollabWrapper,4_FastaiCollabWrapper,5_FastaiCollabWrapper,6_FastaiCollabWrapper,7_FastaiCollabWrapper,8_FastaiCollabWrapper,9_FastaiCollabWrapper,10_FastaiCollabWrapper,11_FastaiCollabWrapper,12_FastaiCollabWrapper,13_FastaiCollabWrapper,14_FastaiCollabWrapper,15_FastaiCollabWrapper,16_FastaiCollabWrapper,17_FastaiCollabWrapper,18_FastaiCollabWrapper,19_FastaiCollabWrapper,20_FastaiCollabWrapper,21_FastaiCollabWrapper,22_FastaiCollabWrapper,23_FastaiCollabWrapper,24_FastaiCollabWrapper,25_FastaiCollabWrapper,26_FastaiCollabWrapper,27_FastaiCollabWrapper,28_FastaiCollabWrapper,29_FastaiCollabWrapper,30_FastaiCollabWrapper,31_FastaiCollabWrapper,32_FastaiCollabWrapper,33_FastaiCollabWrapper,34_FastaiCollabWrapper,35_FastaiCollabWrapper,36_FastaiCollabWrapper,37_FastaiCollabWrapper,38_FastaiCollabWrapper,39_FastaiCollabWrapper,40_FastaiCollabWrapper,41_FastaiCollabWrapper,42_FastaiCollabWrapper,43_FastaiCollabWrapper,44_FastaiCollabWrapper,45_FastaiCollabWrapper,46_FastaiCollabWrapper,47_FastaiCollabWrapper,48_FastaiCollabWrapper,49_FastaiCollabWrapper,50_FastaiCollabWrapper,51_FastaiCollabWrapper,52_FastaiCollabWrapper,53_FastaiCollabWrapper,54_FastaiCollabWrapper,55_FastaiCollabWrapper,56_FastaiCollabWrapper,57_FastaiCollabWrapper,58_FastaiCollabWrapper,59_FastaiCollabWrapper,60_FastaiCollabWrapper,61_FastaiCollabWrapper,62_FastaiCollabWrapper,63_FastaiCollabWrapper,64_FastaiCollabWrapper,65_FastaiCollabWrapper,66_FastaiCollabWrapper,67_FastaiCollabWrapper,68_FastaiCollabWrapper,69_FastaiCollabWrapper,70_FastaiCollabWrapper,71_FastaiCollabWrapper,72_FastaiCollabWrapper,73_FastaiCollabWrapper,74_FastaiCollabWrapper,75_FastaiCollabWrapper,76_FastaiCollabWrapper,77_FastaiCollabWrapper,78_FastaiCollabWrapper,79_FastaiCollabWrapper,80_FastaiCollabWrapper,81_FastaiCollabWrapper,82_FastaiCollabWrapper,83_FastaiCollabWrapper,84_FastaiCollabWrapper,85_FastaiCollabWrapper,86_FastaiCollabWrapper,87_FastaiCollabWrapper,88_FastaiCollabWrapper,89_FastaiCollabWrapper,90_FastaiCollabWrapper,91_FastaiCollabWrapper,92_FastaiCollabWrapper,93_FastaiCollabWrapper,94_FastaiCollabWrapper,95_FastaiCollabWrapper,96_FastaiCollabWrapper,97_FastaiCollabWrapper,98_FastaiCollabWrapper,99_FastaiCollabWrapper,100_FastaiCollabWrapper
ACC,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9954,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
AUC,0.9763145683872035,0.9106958478699738,0.9996148459383752,0.9854786916514526,0.8005700368586334,0.8622811928458112,0.9148520463678774,0.8682417517915317,1.0,0.9706424659039792,0.866415652106149,0.9901619842179298,0.9989281378343878,0.8902649878061217,0.877899053248414,0.8045729926936315,0.64188527578019,0.9883534816902148,0.9975106495859213,0.689821828132969,0.7816357997033789,0.8946111206511909,0.8511374034874858,0.9315378466179731,0.7420760409033743,0.7032454643745613,0.7803914994532366,0.896539502690723,0.8459729278576619,0.7883407695791551,0.7668096097356889,0.9968716599492461,0.8464808385027054,0.9202157926681079,0.9820617496371196,0.9314227706459445,0.8682067946211464,0.9446800884411689,0.9035519892307552,0.9765652903252428,0.867060147711653,0.9971739130434782,0.8628916252246855,0.8800704029680745,0.9688650445265705,0.9761644171081408,0.8078233537378526,0.8305072386204192,0.974789028827434,0.8053732235375236,0.726323336261044,0.920314358596451,0.8214974994032506,0.8565083704540783,0.8139349889910658,0.9272619716537549,0.667164719850694,0.8108476355850456,0.9954418564016116,0.9997824074074074,0.8867718070866679,0.9497388112774783,0.6952101444313112,0.7915614086371747,0.9884491510781378,0.8942623683368011,0.8024327920821787,0.8514020528750984,0.7347266357126915,0.9968728045367945,0.9474402206431833,0.983558786347587,0.8855734438080478,0.9076092915813153,0.9652574240942173,0.9868700396825396,0.9809812835136796,0.8574425324735069,0.6770724316992923,0.9995454545454545,0.827549687055668,0.7691587361079953,0.9645659941881998,0.7720952371310469,0.9265773625679126,0.6818057065004165,1.0,0.7950600339326505,0.7660295637329679,0.9761878501336114,0.7890954267371513,0.8302007587490486,0.9757274188043048,0.8651712268997335,0.7906570590020872,0.9168599192784839,0.8443368708502516,0.8887379240531298,0.9827564575199534,0.7888126106459478
Fscore,0.6591435921848519,0.6396347150845176,0.6650388582625679,0.6604425575541484,0.6119383917012897,0.6261500946682571,0.6409915032163863,0.6269797208993894,0.6634406493476255,0.6591094283955578,0.6279431248123845,0.6619293821604155,0.6666414314404708,0.6379465190423304,0.6282834236037681,0.6079907840470546,0.5711388584286506,0.6638012708543883,0.6669897365566575,0.5786418883609368,0.6021335538757906,0.629194308469618,0.6210047932914935,0.646731197786379,0.5880901400485952,0.5801080715540425,0.6023057247503663,0.6352860717461845,0.6216584565500277,0.6031515769021354,0.5997805078067737,0.6679263263218042,0.6220037455117291,0.6419458864880409,0.6577771611365969,0.6463709071967101,0.6239589820568328,0.6479537636831298,0.6366757140890839,0.6592882363487891,0.6273096054039228,0.6690730388201874,0.6235288055839633,0.6284739660134926,0.6594202818282272,0.6576637087786571,0.615307814430894,0.6176933942984069,0.6571410816183963,0.6052398519176759,0.5870673548994503,0.645514591912709,0.6136085955212812,0.6204757628978903,0.6158401681572729,0.6442588614004581,0.5744088337164214,0.6149202750803022,0.6675833971057831,0.6692644101439302,0.632988077330318,0.6515337117890772,0.5814433708121004,0.6040897639116057,0.662049719780497,0.6345332290352822,0.606795639613896,0.6216207380130792,0.587348019889685,0.6601811245684611,0.6511334680080361,0.6582801761382717,0.6299213787410366,0.6377123488758542,0.6573559981506369,0.6625001159486459,0.6583298225909313,0.6244492171546484,0.5781737887017988,0.6648118170868622,0.6214384617601322,0.6012941366275701,0.6549428636422584,0.603434660621706,0.6468708056893874,0.579069445037756,0.6746032633300484,0.6115641972307725,0.5993734739126507,0.6584976470492623,0.6084926793104323,0.6134078735516185,0.6574019167293004,0.6246276292866605,0.6068263817296004,0.6425024850943418,0.621244621983974,0.6328499149868289,0.6654464295528609,0.6056173243946281
HR@10,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.001125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125
HR@2,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025
HR@5,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625
Lin's AUC,1.0,1.0,0.9999873290954501,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9753838712266318,0.9994565217391305,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9994789030446617,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9239340241187122,0.9995950322993881,1.0,0.996564334206358,0.9980347221765274,1.0,0.9935487521678329,1.0,0.9812995420577046,1.0,1.0,0.9404486453767595,1.0,1.0,1.0,1.0,0.9994159616785077,1.0,1.0,1.0,1.0,0.9995694133731231,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999852504505907,0.9996620653839553,1.0,1.0,1.0,1.0,0.9997200956937798,1.0,0.9960650996865255,1.0,1.0,0.9971067567723321,1.0,1.0,1.0,0.9866765842459522,1.0,0.9676603624033114,1.0,1.0,0.9993967334640271
NDCGk,0.9942187559545591,0.978870620456164,0.9999075952761006,0.9949095688660463,0.9495537310736755,0.9671250172586028,0.9773484503597496,0.970510802809577,1.0,0.9924453919068214,0.964211264768486,0.9981020670243439,0.9997757471339128,0.9744494116716838,0.968039536658631,0.9499673219038408,0.9174419014657255,0.9973967126053492,0.9995034883088115,0.9184914142330214,0.9459453637958624,0.9737028395089048,0.9659720455640948,0.9795098579461103,0.9320774407570073,0.9252896295268944,0.9465352722146012,0.9753332277168525,0.965029344301754,0.9480679695208767,0.9456939367226191,0.9986808402072975,0.9644356449488509,0.9788186826988766,0.9946121093431046,0.9796910223075088,0.9700527694495004,0.9837098687141288,0.9770972429692333,0.9956700230645442,0.9668184490883853,0.9995417092657078,0.9648013732178151,0.9712866504974546,0.9902319963501776,0.9944737171229724,0.9540461052671941,0.9580195829130378,0.9924711180213766,0.947484726694519,0.9361384361140397,0.981572072103365,0.9586742653892385,0.9653473544048571,0.9520754673697587,0.9824695820931438,0.9189379040565836,0.9528555082215933,0.9983550322596164,0.9999499085771325,0.9686242941240552,0.9855674461096107,0.9284155106167228,0.951492084288087,0.9964234185355377,0.975368599588287,0.950518825297983,0.9622189273322668,0.9319960803945248,0.9989578586558108,0.9850909813347308,0.9925667402675776,0.9723942322421857,0.9778824368468739,0.9896767812702604,0.9971278300983244,0.9937207744971839,0.9648412795228168,0.9250326300792626,0.99984554804765,0.9565603027327617,0.9456166621681057,0.9920717755557871,0.9444986040734662,0.9809467826238244,0.927789144046551,1.0,0.9517544369589376,0.9377509822445677,0.9924163110720677,0.9499543444130196,0.9593215601371788,0.9910771968453941,0.9656842163289148,0.9476818475337694,0.9801682808274387,0.9583478736460685,0.9725634502230833,0.9964179812383693,0.9465011938655092
global AUC,1.0,1.0,0.9998456844512195,1.0,0.9999451966463415,0.9993159923780487,0.9999455068597563,0.9998529847560975,0.9999953490853658,0.9999999999999999,0.997831594512195,0.9940682309451216,1.0,0.9999999984756097,1.0,1.0,0.9997912492378047,0.9999859801829268,0.9999639535060977,0.9997695403963416,0.9999521737804877,0.9993097172256098,1.0,1.0,1.0,1.0,0.9981507682926829,0.997822355945122,1.0,1.0,0.998270544207317,1.0,1.0,1.0,1.0,0.9999999954268293,1.0,0.9999999999999999,0.9999998277439025,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,1.0,0.9948707644817073,0.9981780388719511,1.0,0.9969437355182926,0.9991156158536586,0.9999999999999999,0.9977181303353659,1.0,0.9960859542682926,1.0,0.9997138239329267,0.9933930015243901,0.999995506097561,1.0,1.0,0.9999999298780486,0.9977156272865855,0.999962,1.0,0.9999998948170731,1.0,0.9968204992378049,1.0,1.0,0.9999954512195122,0.9999999893292684,0.997797543445122,0.9999999984756097,0.9999999984756098,1.0,1.0,0.9999973376524391,0.9989079870426828,0.9999950945121951,0.9994406753048781,0.9981728071646341,1.0,0.9977756798780486,0.999999987804878,0.9972499100609757,1.0,0.9986819298780487,0.9997636608231707,1.0,0.99894015625,1.0,1.0,0.9998143948170731,0.9974628689024388,0.9999995548780488,0.9928646379573169,1.0,0.999964037347561,0.9983636471036587
global NDCG,1.0,1.0,0.9994861906139518,1.0,0.9998947090062137,0.9981429025529814,0.9998945130391645,0.9995540887338924,0.999993963171645,1.0,0.9966580247660386,0.9976114652493155,1.0,0.9999999984941766,1.0,1.0,0.998825415227534,0.9999758151559726,0.9998244805021632,0.9990736301580381,0.9999160744353871,0.9962905590470328,1.0,1.0,1.0,1.0,0.9951102664166689,0.9951593366645765,1.0,1.0,0.9934951285947178,1.0,1.0,1.0,1.0,0.9999999954818395,1.0,1.0,0.9999998283703979,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9904339531164151,0.9951657781295538,1.0,0.9904043758508949,0.9986021386840426,1.0,0.9955061380892583,1.0,0.9927885489699495,1.0,0.9992015809637088,0.9814741169086307,0.9999941675669688,1.0,1.0,0.9999999306207579,0.9954623689330466,0.9999041622686189,1.0,0.9999998956015813,1.0,0.9906928280572009,1.0,1.0,0.9999943465915865,0.9999999894544016,0.9934782941575725,0.9999999984941766,0.9999999984941766,1.0,1.0,0.9999972325406151,0.9982832557955912,0.9999950878140604,0.998010201720006,0.9949298953352219,1.0,0.9938383710233414,0.999999987946966,0.9912736616842153,1.0,0.9980814037263799,0.9995349379838485,1.0,0.9972891737951259,1.0,1.0,0.9994519120084169,0.9958861455043422,0.9999995601019196,0.9819286932682446,1.0,0.9998949205487171,0.996286887100265
