,1_LRSSL,2_LRSSL,3_LRSSL,4_LRSSL,5_LRSSL,6_LRSSL,7_LRSSL,8_LRSSL,9_LRSSL,10_LRSSL,11_LRSSL,12_LRSSL,13_LRSSL,14_LRSSL,15_LRSSL,16_LRSSL,17_LRSSL,18_LRSSL,19_LRSSL,20_LRSSL,21_LRSSL,22_LRSSL,23_LRSSL,24_LRSSL,25_LRSSL,26_LRSSL,27_LRSSL,28_LRSSL,29_LRSSL,30_LRSSL,31_LRSSL,32_LRSSL,33_LRSSL,34_LRSSL,35_LRSSL,36_LRSSL,37_LRSSL,38_LRSSL,39_LRSSL,40_LRSSL,41_LRSSL,42_LRSSL,43_LRSSL,44_LRSSL,45_LRSSL,46_LRSSL,47_LRSSL,48_LRSSL,49_LRSSL,50_LRSSL,51_LRSSL,52_LRSSL,53_LRSSL,54_LRSSL,55_LRSSL,56_LRSSL,57_LRSSL,58_LRSSL,59_LRSSL,60_LRSSL,61_LRSSL,62_LRSSL,63_LRSSL,64_LRSSL,65_LRSSL,66_LRSSL,67_LRSSL,68_LRSSL,69_LRSSL,70_LRSSL,71_LRSSL,72_LRSSL,73_LRSSL,74_LRSSL,75_LRSSL,76_LRSSL,77_LRSSL,78_LRSSL,79_LRSSL,80_LRSSL,81_LRSSL,82_LRSSL,83_LRSSL,84_LRSSL,85_LRSSL,86_LRSSL,87_LRSSL,88_LRSSL,89_LRSSL,90_LRSSL,91_LRSSL,92_LRSSL,93_LRSSL,94_LRSSL,95_LRSSL,96_LRSSL,97_LRSSL,98_LRSSL,99_LRSSL,100_LRSSL
ACC,0.1658,0.1738,0.1623,0.168,0.1576,0.1738,0.1638,0.1602,0.164,0.1709,0.173,0.1688,0.1667,0.1661,0.1582,0.1738,0.1693,0.1605,0.1769,0.1682,0.1636,0.1567,0.165,0.1632,0.1687,0.166,0.173,0.1686,0.1622,0.1671,0.1647,0.1636,0.161,0.1645,0.1642,0.1725,0.1705,0.1711,0.162,0.1683,0.164,0.1725,0.1559,0.1813,0.1748,0.1764,0.1679,0.1676,0.1649,0.1603,0.1696,0.1622,0.1764,0.1737,0.1748,0.1558,0.1718,0.1645,0.166,0.1581,0.1621,0.1601,0.1619,0.161,0.1745,0.1681,0.1603,0.1652,0.1653,0.1653,0.1634,0.158,0.1586,0.1714,0.1657,0.1765,0.1717,0.1759,0.175,0.1695,0.1787,0.1624,0.1602,0.1586,0.1664,0.166,0.1577,0.1626,0.1598,0.1707,0.1621,0.1638,0.1689,0.1668,0.1741,0.1615,0.1609,0.1751,0.1696,0.1631
AUC,0.5002558579528885,0.5005248019358745,0.49660965394190415,0.4995106092762285,0.4932782598855552,0.5024962397434778,0.5013760566410697,0.4938518439267564,0.49864434010539715,0.5046079288725596,0.5044388271874752,0.5035409784009421,0.501264168244626,0.5023350865822838,0.5028615000625983,0.4980338199111982,0.4979261316540968,0.4977550232054381,0.5045903624485961,0.5023659169629451,0.4992447070990055,0.49535673247622997,0.4991367603007515,0.4995346685864332,0.4994547163649824,0.49983904638992277,0.5059820239305701,0.4977026626014998,0.4994885672305058,0.5020849232163402,0.4934077149670276,0.4968860986277713,0.4944103726888311,0.4989643343226365,0.49492348321712454,0.5017668188862706,0.5009625907929883,0.49977492863165934,0.4981748156218507,0.5003000513202156,0.5026468471661129,0.49981784651955946,0.49556340817627403,0.5063684402548764,0.5054063749122052,0.5035217726051524,0.49705403490013284,0.5047339474875223,0.4970247823077767,0.499936547304513,0.5020076135282199,0.5016106703501252,0.4998292081899831,0.5000718554034791,0.5035429274250197,0.4925718220054447,0.4970802986250194,0.49852371743923923,0.5013740504051627,0.49771657498145416,0.49409917790177266,0.4981820444754964,0.4966845779556667,0.4988146881705556,0.5075695190370452,0.5025855272943819,0.49523732383980956,0.5015222278445407,0.5008975940959628,0.49713785156638407,0.499344353226703,0.49660829165584547,0.49733762947919774,0.5048795126317758,0.5030487760482838,0.5044684631801775,0.503016841803007,0.5016077854289591,0.501657922978692,0.5021033476471427,0.5086581039837386,0.4977994703897,0.4915538132595525,0.49358632187398044,0.5001276624806251,0.4932880935600277,0.4950629802010576,0.4984480187111772,0.497961168677669,0.5010435471007783,0.4940374346497977,0.4905298886499761,0.5032207891308275,0.5040281281085491,0.5062819993508589,0.5000757603905204,0.49842684498971224,0.4983926126297671,0.5027007580065449,0.5005924202510155
Fscore,0.03967434015127231,0.04586744183407083,0.032934823836889573,0.041756341571925155,0.02539712607126037,0.05620602583947006,0.03742049279469235,0.033485925597198526,0.041730447175973434,0.04290614473889848,0.04556858136055446,0.04410474893766196,0.04089136847072544,0.04024007183492953,0.02904165647375907,0.04815489910793844,0.03465599594679302,0.03423131231456239,0.05145435980014914,0.03890691755977765,0.03488112788534034,0.02690667234673863,0.036951674811341866,0.03715486065173239,0.04413488791634469,0.0326480063356352,0.04858254469125628,0.03543178245811444,0.032837822849954346,0.035737414858839044,0.03966670854784604,0.033275277905174795,0.03397462189986157,0.03281795298287865,0.036607286735052334,0.05026566628510231,0.04164888581507446,0.041833280919591494,0.036878523478879675,0.04037354024499974,0.040181483935997644,0.046611153688068556,0.025609353006406453,0.0612062801150485,0.04993346048573993,0.05673147501492446,0.03211251327832585,0.047563143230703805,0.026886237881030645,0.03119018177034839,0.03902025450938903,0.0410028337530516,0.049938725050493044,0.05481648514308236,0.046593930854460446,0.026204481988157523,0.042544151518566,0.03730151503498209,0.038477836305133885,0.028520087559067795,0.03447255960738139,0.031609819142298934,0.02609645297178296,0.028912339462714227,0.05204465055434621,0.04224999821909954,0.027755779072431288,0.039968920807901195,0.03515168326288404,0.033482601078786395,0.03070966598650288,0.025587123570826435,0.024576493223451106,0.04505529789287497,0.036399558777158766,0.049276590983389656,0.04915706500846058,0.04513526242829102,0.05212515529286541,0.039119091459538125,0.05066102520270396,0.028499381958918376,0.02922495130788675,0.032502991217149446,0.033493931002894425,0.04091643335036887,0.027982527659438733,0.0346920618832092,0.03224785456474423,0.03981665927510085,0.031047147928187826,0.035015984135442754,0.04133740780277233,0.03890943741143187,0.04791971324245469,0.030861517879644192,0.03501488563648758,0.050065725004267154,0.04752291861134273,0.033625974586076614
HR@10,0.0,0.0005,0.0,0.0,0.000625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000125,0.000625,0.0005,0.0,0.0,0.000125,0.0,0.0,0.0005,0.0,0.0,0.0,0.000625,0.0,0.000125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00025,0.001,0.000125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000875,0.0
HR@2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR@5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00025,0.0
Lin's AUC,0.47257612407137556,0.48111512276337315,0.4743527161364044,0.47184377104738956,0.4921173652188226,0.4882513961244165,0.4795971383622626,0.4696543376809164,0.4801079178704866,0.4747088085491923,0.46592516400235806,0.48566960697444633,0.47938529027340493,0.4785996427151656,0.4720620445583063,0.4918359114464986,0.5013345272611494,0.4760060913120683,0.5059363656524759,0.4717392952678534,0.49115396759878366,0.4711712315309461,0.4718010526956351,0.4782608618373467,0.49978540326587817,0.4640149642318754,0.4807608723118196,0.46748490767345685,0.46389906660192026,0.4827719832458767,0.482062087650333,0.4850264735601386,0.4716894609864768,0.4692218946375023,0.4772239102021959,0.4890361687359306,0.47708331844971175,0.49765211898670375,0.46833343204378575,0.49491711741360833,0.47920162633799984,0.47441298573504964,0.46157193335792385,0.48803145404196047,0.5038529963731514,0.4910252548052755,0.4796126073172717,0.4737716480054663,0.4848978416009587,0.48779074185441273,0.4897987823556927,0.48072594512025113,0.4749080786596259,0.4810878520522311,0.48191807355623595,0.4723271783411599,0.47971987594518933,0.4520840446736915,0.4749965538135379,0.4695129118120803,0.4737120781511816,0.46737464789379013,0.4774900907437005,0.4871330215536432,0.479208000459152,0.484999839718733,0.48520502036083335,0.4909113427740086,0.46392374285313265,0.4883213954726782,0.4807815783045888,0.458239777659016,0.4765564016190032,0.49160392118815266,0.4789396087684175,0.4935126451266839,0.4813083114971837,0.48257713040558625,0.4727784969653378,0.4722252928890939,0.5087988249811864,0.4916580889645879,0.4730545946259731,0.47197373234329343,0.47773890283542014,0.4878142005035717,0.48018219717041816,0.4789600240287518,0.476127621131791,0.47472591364545635,0.46632485191864265,0.4787248077952981,0.46498840469481884,0.49300300084363796,0.4701438162888793,0.4860582193155761,0.4646628973180064,0.48573426248106244,0.47879767407539303,0.46501562026200105
NDCGk,0.8593379976596338,0.8591064704900375,0.8587414305358105,0.8583636829832448,0.8553685296964079,0.8577745411973212,0.864814538726363,0.8525852953481867,0.8532598024071939,0.8670972614264025,0.8658427886534192,0.8606934129122132,0.8601267458712403,0.8682429029934312,0.8716181750231403,0.8518341183146562,0.8635954992337073,0.8587398170824077,0.8655349062290489,0.8644663639355611,0.855733993858903,0.8523662645745247,0.8584909777294172,0.8619537727910691,0.8520383411772058,0.8655737286884636,0.8674806139674643,0.8588151295182286,0.8646849355352326,0.8653115038128573,0.8449385774616008,0.8625393921795844,0.8552417244570186,0.8599364300345891,0.8489521753044136,0.8591885258603618,0.860248106916772,0.8551805803599279,0.8597577397181533,0.8574136667752458,0.8617379120556962,0.8552772816051146,0.8550239426381054,0.8600520828606506,0.8686854221276141,0.8557966840229274,0.8629922603293751,0.8665544203441334,0.8574788232953496,0.8596573711438463,0.8615540812940239,0.8635756228142684,0.8529619401740669,0.8538298219788356,0.8617895218290451,0.8522691214801164,0.8525873549427803,0.8568178059254314,0.8639206241405251,0.8658138004128069,0.8537493629451679,0.8626119384078116,0.860994403586318,0.8629561163154432,0.8671246028595815,0.8634916116234873,0.854959505173405,0.8614357284564323,0.8638086364532888,0.8514369281910509,0.8644169210235597,0.8589494604996339,0.862056772791612,0.86579487689856,0.8715840472852645,0.8638096020699271,0.8582514390860452,0.8590607929549958,0.857324944526183,0.8605240904184207,0.8732001148301697,0.8611232086195859,0.8462722804745474,0.8523726149043117,0.8642801808532957,0.847295389224642,0.86162258529349,0.8620965891174021,0.8605014862146223,0.8603033989517368,0.8562444556745048,0.8442318027507062,0.8660212145272714,0.86614120405166,0.8673144317767784,0.865816167783845,0.8579459400802492,0.8549353804238831,0.8648672456644826,0.8667314599647673
global AUC,0.08453381402439025,0.09035673780487805,0.08062980335365853,0.08585176219512194,0.07424373780487806,0.09874834451219514,0.08432008079268291,0.07964464024390244,0.08817009298780487,0.08813539329268293,0.0905207088414634,0.08891174085365855,0.08680021493902439,0.08561005335365854,0.07793682774390244,0.09257605335365854,0.08246795731707318,0.08081493597560975,0.09641832621951221,0.08416345884146341,0.08197112499999999,0.07487451219512195,0.08334157774390244,0.08387584451219512,0.0900330487804878,0.07854188719512195,0.09388759756097562,0.08150091006097561,0.07971945121951218,0.0818928856707317,0.08601667835365853,0.07982035975609757,0.08111363262195123,0.07977841006097561,0.0832642179878049,0.09423425609756098,0.08725370884146341,0.08832650762195121,0.0823918155487805,0.08791958079268293,0.08497649085365853,0.08921006097560975,0.07354282621951219,0.10339725152439025,0.09521764786585366,0.1007910137195122,0.07833878810975611,0.09090433841463413,0.07560230182926829,0.07953842835365853,0.0856698368902439,0.08640498323170732,0.09245148780487805,0.09735162652439024,0.0905735868902439,0.07508789329268292,0.08693024847560975,0.08229973932926829,0.08591875762195121,0.0753289024390244,0.08176301524390245,0.07867722713414635,0.0756554862804878,0.0771909512195122,0.09654247560975611,0.08840031097560976,0.07652706097560975,0.08542301371951219,0.08165815243902438,0.08197146798780489,0.07960327286585366,0.07305223932926828,0.07348045121951219,0.08976833079268293,0.08393754420731707,0.09418846493902439,0.09389616920731707,0.08992754268292683,0.09373904268292682,0.08367785518292684,0.09566838719512194,0.07720943597560975,0.07666917530487805,0.07899071798780488,0.08147392835365853,0.08738664481707317,0.07534472408536586,0.08137041920731707,0.07943470274390244,0.08569339786585367,0.07774292073170733,0.08247072408536585,0.0861323887195122,0.08663652286585366,0.09216116768292684,0.07888160975609756,0.08218567530487804,0.09527981554878048,0.09087543292682926,0.07923006859756097
global NDCG,0.7043818751658818,0.7107478515448029,0.7024410037197989,0.711467271775341,0.7048449445682999,0.7185373636170671,0.7042618029368818,0.7013809750108824,0.7077001199576467,0.7071077234959677,0.709869368954234,0.7060085304774594,0.7062726539388643,0.7077469980191392,0.7036690287599422,0.7141246732525764,0.7018614487589154,0.7036523698678064,0.7129804969208454,0.7082892878237265,0.7030272009482644,0.700569808117658,0.7063009088672423,0.7041627931731627,0.7076360649630737,0.7016130653105863,0.7099790676354643,0.7045151446923786,0.7074893469118725,0.707616871031536,0.705548004876208,0.7043034988837131,0.7017483222634907,0.7009002504720939,0.707340481899177,0.7149187453095112,0.7128403784408683,0.7049049372289296,0.7045693424704835,0.711157833457561,0.7072423516590092,0.7061503770096734,0.7035872756776858,0.7210195922711335,0.7175049167280394,0.717614628383206,0.7064316903443821,0.7095063279535373,0.702610742136945,0.7012766604632248,0.7069792941065944,0.7076114914173829,0.7117770326136222,0.7135611681897374,0.7087290606459015,0.7011644473176063,0.7064129202877508,0.7073604871102924,0.7039145594481475,0.6995657807272868,0.7012743623963115,0.7042503308562652,0.6992582224081073,0.7008708927591476,0.7104934309749309,0.7089998996857308,0.7013782954989104,0.7120294943179087,0.7017442522139519,0.7088103456723974,0.7010195738484896,0.6990858159267495,0.6978663987555886,0.7113945699829314,0.7039070157575844,0.7114491412322518,0.7130459653502219,0.709026672815293,0.7153520282992635,0.712209366614516,0.7140839684392744,0.7002884708214057,0.7001044181011399,0.705892245262516,0.7019208482210731,0.7084175776046249,0.7002279527263804,0.7044050548226501,0.7024103936300186,0.7046318388007474,0.7057841803165207,0.7014895278553072,0.7079043739228253,0.7043249930074524,0.7115846762880947,0.6999901628371519,0.703747344670898,0.7118073327070404,0.716635597587886,0.7066131695078761
