,1_LibMF,2_LibMF,3_LibMF,4_LibMF,5_LibMF,6_LibMF,7_LibMF,8_LibMF,9_LibMF,10_LibMF,11_LibMF,12_LibMF,13_LibMF,14_LibMF,15_LibMF,16_LibMF,17_LibMF,18_LibMF,19_LibMF,20_LibMF,21_LibMF,22_LibMF,23_LibMF,24_LibMF,25_LibMF,26_LibMF,27_LibMF,28_LibMF,29_LibMF,30_LibMF,31_LibMF,32_LibMF,33_LibMF,34_LibMF,35_LibMF,36_LibMF,37_LibMF,38_LibMF,39_LibMF,40_LibMF,41_LibMF,42_LibMF,43_LibMF,44_LibMF,45_LibMF,46_LibMF,47_LibMF,48_LibMF,49_LibMF,50_LibMF,51_LibMF,52_LibMF,53_LibMF,54_LibMF,55_LibMF,56_LibMF,57_LibMF,58_LibMF,59_LibMF,60_LibMF,61_LibMF,62_LibMF,63_LibMF,64_LibMF,65_LibMF,66_LibMF,67_LibMF,68_LibMF,69_LibMF,70_LibMF,71_LibMF,72_LibMF,73_LibMF,74_LibMF,75_LibMF,76_LibMF,77_LibMF,78_LibMF,79_LibMF,80_LibMF,81_LibMF,82_LibMF,83_LibMF,84_LibMF,85_LibMF,86_LibMF,87_LibMF,88_LibMF,89_LibMF,90_LibMF,91_LibMF,92_LibMF,93_LibMF,94_LibMF,95_LibMF,96_LibMF,97_LibMF,98_LibMF,99_LibMF,100_LibMF
ACC,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
AUC,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Fscore,0.5342750559944043,0.5352982639438871,0.5326007159827908,0.5326699608670663,0.5376121956027726,0.534674301742669,0.5355711858738317,0.5340020054962331,0.5305787214731701,0.5349762258097852,0.5346326343293059,0.5339323248901368,0.5351944394541228,0.5390090361230392,0.53252120662862,0.5345383914999838,0.5377701738826923,0.5357153862615534,0.5360480674291513,0.5347791950249255,0.5328572599304047,0.5281035974141897,0.5347601062457871,0.5363530183164146,0.5306083521824325,0.5329892451704501,0.5323353309209145,0.534696410456377,0.5353683565795869,0.5336194774433336,0.5331981225317852,0.5378345928783296,0.5361163125115026,0.5330279696419548,0.5306558611570634,0.5362898116217732,0.531700607923563,0.5325769955218393,0.5347930277513824,0.533490519757312,0.5354020208566193,0.5386503500463601,0.5322948356979267,0.5324986138496743,0.5381860721006549,0.5329122173217242,0.5380035826557014,0.5339565343282867,0.5327935484392867,0.5293596389819479,0.5309217388271155,0.5392882705360011,0.532733256595852,0.5319541714827489,0.5373241381711934,0.5352385131980728,0.5353964063771385,0.5366905594358571,0.5376531841449145,0.5381374049807061,0.5340198046601214,0.5356061350907434,0.5334233225450374,0.5326531465549835,0.5336507356751049,0.534299409295116,0.5322366267203056,0.5329615229088027,0.531735450585784,0.5275416712404278,0.5362253184500075,0.5308231717970757,0.5304568392455262,0.5347569845698046,0.5366691036348668,0.5334792067902155,0.5318364081893262,0.5346030331637001,0.5366025412190256,0.5326699675671649,0.5393767296847751,0.5334470359896983,0.534616683887614,0.5352474360663336,0.5381365616924794,0.535446948750992,0.5449021201276116,0.538076934260011,0.5337154469683906,0.5339149645911841,0.5375116144479035,0.5310735593981497,0.5329042263146185,0.5332345296204056,0.5350746936357039,0.5357753350122615,0.5341928628048902,0.5341093826751436,0.5396244523902709,0.5343331873856653
HR@10,0.000375,0.000875,0.000375,0.000375,0.0005,0.000375,0.0005,0.000375,0.000375,0.00025,0.000875,0.000375,0.000625,0.00075,0.00075,0.000375,0.000625,0.000375,0.00075,0.000625,0.000875,0.000375,0.00075,0.000625,0.000375,0.000875,0.000625,0.001,0.000375,0.0005,0.000625,0.0005,0.000375,0.00075,0.000875,0.0005,0.00075,0.0005,0.000375,0.000375,0.0005,0.0005,0.00075,0.000625,0.000875,0.000375,0.000875,0.000875,0.000875,0.00025,0.0005,0.0005,0.0005,0.0005,0.0005,0.000375,0.000625,0.000375,0.000125,0.0005,0.00025,0.000375,0.00025,0.00075,0.00025,0.00025,0.000625,0.000625,0.000875,0.000625,0.0005,0.000375,0.0005,0.000625,0.000625,0.000875,0.0005,0.0005,0.000375,0.0005,0.000625,0.0005,0.000375,0.000375,0.001,0.001,0.0005,0.0005,0.000625,0.0005,0.000875,0.000625,0.00075,0.0005,0.0005,0.000375,0.00075,0.00025,0.000875,0.000125
HR@2,0.000125,0.000125,0.000125,0.0,0.000125,0.0,0.000125,0.0,0.000125,0.000125,0.0,0.000125,0.000125,0.00025,0.0,0.000125,0.00025,0.000125,0.000125,0.00025,0.000125,0.0,0.0,0.00025,0.0,0.00025,0.00025,0.00025,0.0,0.000125,0.0,0.000125,0.0,0.000125,0.000125,0.00025,0.000125,0.000125,0.0,0.000125,0.000125,0.00025,0.0,0.000125,0.000125,0.000125,0.00025,0.00025,0.000125,0.0,0.0,0.00025,0.0,0.0,0.000125,0.00025,0.0,0.000125,0.0,0.000125,0.000125,0.0,0.000125,0.0,0.0,0.000125,0.000125,0.000125,0.00025,0.000125,0.0,0.0,0.0,0.00025,0.00025,0.000125,0.0,0.000125,0.0,0.00025,0.0,0.000125,0.000125,0.000125,0.00025,0.00025,0.0,0.0,0.000125,0.000125,0.00025,0.000125,0.00025,0.000125,0.000125,0.0,0.000125,0.000125,0.000125,0.0
HR@5,0.000375,0.00025,0.000125,0.00025,0.00025,0.0,0.00025,0.000125,0.000375,0.00025,0.00025,0.000125,0.00025,0.0005,0.00025,0.00025,0.0005,0.00025,0.00025,0.000375,0.000375,0.000125,0.00025,0.0005,0.00025,0.000375,0.000375,0.000375,0.00025,0.000375,0.000125,0.00025,0.00025,0.000375,0.0005,0.000375,0.0005,0.000125,0.00025,0.00025,0.00025,0.00025,0.00025,0.000375,0.000375,0.00025,0.0005,0.0005,0.000375,0.000125,0.000125,0.000375,0.00025,0.00025,0.000375,0.000375,0.000375,0.000125,0.0,0.00025,0.000125,0.000125,0.00025,0.000125,0.0,0.000125,0.000375,0.000375,0.0005,0.000375,0.000125,0.000125,0.000375,0.0005,0.000375,0.0005,0.000125,0.000375,0.00025,0.00025,0.00025,0.00025,0.000125,0.000375,0.000625,0.0005,0.000125,0.00025,0.000375,0.00025,0.000625,0.000375,0.000375,0.00025,0.000375,0.000125,0.00025,0.000125,0.000375,0.000125
Lin's AUC,0.28501808288840463,0.3033278731150859,0.28572477936538315,0.29992571947924435,0.2920713674960855,0.28405991405631476,0.29953425505181874,0.3018596418771229,0.30346939836641557,0.2776343511138443,0.2952211340804169,0.28674894938722767,0.29662885329013894,0.29178376696337777,0.300088262162075,0.2983811383356327,0.27386639966349363,0.2923846378981741,0.29459895822505855,0.2996666803081422,0.2920227274738606,0.29558982604980455,0.300123989490169,0.2988291469549532,0.29258544927370367,0.30676951252202417,0.3076571399171884,0.2990707275955621,0.2980502809345089,0.2932843698386072,0.30790957626125487,0.2986674027074588,0.2948677448309618,0.29816069120766236,0.3057369926362029,0.3039589281053251,0.2974405426570299,0.3007831428468504,0.28580405898111527,0.2975142706841598,0.29234507993205056,0.29350304830436613,0.2979229681837189,0.2986640726948254,0.28642354348016924,0.2776990463674409,0.29699982764666244,0.28948322638200075,0.29151106634208546,0.304508131441806,0.29646463649094007,0.31220384926033945,0.2831200908898148,0.29995135100465437,0.30079074265195566,0.306153412869708,0.283617283106557,0.28892682573077705,0.2868172182999744,0.2991526188869511,0.28998797735624443,0.29529480846192724,0.3021755918311723,0.2800037422663167,0.2966613291020133,0.28752291290298443,0.30666576319490896,0.29143594339017814,0.2829458806110774,0.30293950241916606,0.2943759577290198,0.28859061741274006,0.27909765168014106,0.3017590658219929,0.2840730419852131,0.2946413390366613,0.3118398620439496,0.2900405456602066,0.27100788215563787,0.28569745539131697,0.2957947531608799,0.2790523073780685,0.30116002384189405,0.2941039535780173,0.2887612451719135,0.29578478770521127,0.3035783717954161,0.2746998920340532,0.30629657694418305,0.2739193601403803,0.2914446998484354,0.2930085035275319,0.2973964291265091,0.29287814210897994,0.2867303964533427,0.2923930433908582,0.3000238879112734,0.2969313574106039,0.28864057169086765,0.2897907894476532
NDCGk,0.8844161322003714,0.8893956393813091,0.8873640021299118,0.8821878727593014,0.8872096109600102,0.8886013525940183,0.8883580231108494,0.8896917158734721,0.8822916204440733,0.8869963668965363,0.8853260341368516,0.884917440831682,0.8833443668082662,0.8907151477747206,0.885545047090492,0.8876453285751876,0.888579906126914,0.888803364159871,0.8914321185947083,0.8865179729699668,0.8821684680030016,0.8816564477487953,0.8859845617292781,0.88576283216392,0.8805145087719748,0.8853014684895775,0.8875921544231553,0.8871946058629502,0.8865765803863591,0.8861566068374543,0.8855751053433196,0.8859269095824606,0.8873313021825229,0.8836345436429954,0.8824048823015258,0.8876786812758397,0.8856345982476447,0.8852170334665268,0.8904383631278924,0.8840886612765851,0.8830981970504951,0.8870719664349275,0.8847354780947646,0.8857089643146732,0.891176930963486,0.8858367179652573,0.8883068262234075,0.8855457358807292,0.8814734372264518,0.8830297482702082,0.8822373907869718,0.8854375994959781,0.8868977452937267,0.8866624308084797,0.8851573573437906,0.886610435611226,0.8876581940968461,0.8882073633147851,0.8893156908924119,0.8902367509650293,0.8874497245915285,0.8863212018975603,0.8860398166385931,0.8878604118411202,0.8863849215947589,0.8859316938591355,0.8819263499004816,0.8860464479943104,0.8854059796795245,0.880439940909341,0.8877951235872552,0.8878626194208333,0.8876537844352427,0.8869725036031016,0.889953911386106,0.8874041602910647,0.8875022005229141,0.8880104034122676,0.889147997730891,0.8815076997350806,0.8877922948200621,0.887162301422867,0.8818832710504267,0.8856850691762469,0.8873062830938142,0.8895314944380535,0.8922702917323818,0.8917883992896226,0.8888665203145553,0.8865636113399077,0.8897949889773767,0.8868258651747457,0.8862979149828947,0.8838406666162443,0.8864696017633865,0.8876966425823007,0.8878183191033863,0.8854194076760546,0.8921499827559287,0.8913290877021022
global AUC,0.9474664969512194,0.9487238079268292,0.9463472766768292,0.9485370967987805,0.9488273772865854,0.9469517172256098,0.9478505198170731,0.9485932294207317,0.9487487713414635,0.9465575381097562,0.9487729359756097,0.9473809977134147,0.9481000663109755,0.9475697431402438,0.9492288772865854,0.9485577614329269,0.9470096592987804,0.9467343978658538,0.9482151150914635,0.9483622103658536,0.9479460053353659,0.9490641768292684,0.9489634283536585,0.9485723041158537,0.9489310967987804,0.9486952797256097,0.9495312256097562,0.9481384443597561,0.9491579771341463,0.9478750716463415,0.9492547842987806,0.9486073597560974,0.9475720144817074,0.9491541493902438,0.9477591699695123,0.9483525213414634,0.9474137797256098,0.9499910358231707,0.9478669717987805,0.94877775,0.9488144070121951,0.9483591562500001,0.9485994649390245,0.9489903673780488,0.9480994740853658,0.9471857111280486,0.9491820228658537,0.9482577126524391,0.947127555640244,0.9489816097560976,0.948307506097561,0.9498124794207319,0.9470780746951218,0.9478913727134147,0.9484071257621951,0.9478616905487806,0.9477394649390244,0.9471775891768293,0.9465937454268292,0.9497339794207318,0.9487994458841463,0.9477917789634147,0.9486030990853659,0.9483525525914634,0.9478998612804878,0.9468174032012195,0.9484060190548779,0.949016912347561,0.9484154024390244,0.947663799542683,0.9477365251524389,0.9479932126524389,0.9468665426829269,0.949582987804878,0.947698744664634,0.9488777987804877,0.9490328727134147,0.9473646547256098,0.945530637195122,0.9491599992378048,0.9489579839939024,0.9460859131097562,0.9480337736280489,0.9480409336890243,0.9489101501524391,0.9483274512195121,0.94899625,0.9484360327743901,0.9491739786585365,0.9457177256097561,0.9476892484756096,0.9474968475609756,0.9480019969512194,0.948404880335366,0.9477854954268294,0.9487761493902439,0.9481387263719513,0.9479269428353657,0.9480314336890245,0.948209362042683
global NDCG,0.9184843147630894,0.9190470197526087,0.9162995650258963,0.9149980353089325,0.9178668665148932,0.9120590738155044,0.9172566545705731,0.9181770784738049,0.9175214530431681,0.9140370253638823,0.9209254428234805,0.9167548243200142,0.9146355743018258,0.9204901198959142,0.9198135386730696,0.9177337280231279,0.9160438387728133,0.9171622898815968,0.9176929903133405,0.9181888653235356,0.9210409921956186,0.9167990637149485,0.9197773643784626,0.9196932867158778,0.9157335784341507,0.9194053065208602,0.9207823046555095,0.9190275098725637,0.921186170078847,0.9174470429171812,0.9211960408989635,0.9176883541874779,0.916004953976444,0.9192555993670108,0.9182793607893188,0.9179641560784153,0.9136215042400228,0.9202957866845732,0.9163978193147345,0.9164273182808592,0.9205184450570146,0.9186147928849203,0.9170548004711988,0.922242905315808,0.9178364432257269,0.9172210815982497,0.9247805626610422,0.9226670394238997,0.9150823824939578,0.9148922217228496,0.9185410416090265,0.9201711399479569,0.9135012804260899,0.9169943218617099,0.9165826686313537,0.9180333471130312,0.9158286775156211,0.9168645371902032,0.91130620420004,0.9189169474283341,0.9160254963956648,0.9140444771323416,0.9176121625202238,0.918032802023592,0.9139598180833296,0.9165549734165988,0.9207392222466926,0.9226750092147028,0.9218404151260874,0.9189142757794471,0.9145807117064193,0.9152963274527011,0.9143999186976756,0.9205569466159008,0.9176801847398024,0.9195792837676953,0.9172896750339395,0.9142869597567164,0.9109697891062892,0.9208765786438025,0.9191909029541286,0.9123390429235771,0.9156065899546484,0.9178923883263439,0.9242254388079967,0.9201587215807573,0.9181200927618283,0.9177325951059726,0.9194241735048678,0.9117970144202938,0.9185943239469871,0.9169284590144123,0.919398428615324,0.9150481285058418,0.917407686829699,0.9175254407069819,0.9181266217829996,0.9173348125264302,0.9184310987660964,0.9139089985882163
