,1_MBiRW,2_MBiRW,3_MBiRW,4_MBiRW,5_MBiRW,6_MBiRW,7_MBiRW,8_MBiRW,9_MBiRW,10_MBiRW,11_MBiRW,12_MBiRW,13_MBiRW,14_MBiRW,15_MBiRW,16_MBiRW,17_MBiRW,18_MBiRW,19_MBiRW,20_MBiRW,21_MBiRW,22_MBiRW,23_MBiRW,24_MBiRW,25_MBiRW,26_MBiRW,27_MBiRW,28_MBiRW,29_MBiRW,30_MBiRW,31_MBiRW,32_MBiRW,33_MBiRW,34_MBiRW,35_MBiRW,36_MBiRW,37_MBiRW,38_MBiRW,39_MBiRW,40_MBiRW,41_MBiRW,42_MBiRW,43_MBiRW,44_MBiRW,45_MBiRW,46_MBiRW,47_MBiRW,48_MBiRW,49_MBiRW,50_MBiRW,51_MBiRW,52_MBiRW,53_MBiRW,54_MBiRW,55_MBiRW,56_MBiRW,57_MBiRW,58_MBiRW,59_MBiRW,60_MBiRW,61_MBiRW,62_MBiRW,63_MBiRW,64_MBiRW,65_MBiRW,66_MBiRW,67_MBiRW,68_MBiRW,69_MBiRW,70_MBiRW,71_MBiRW,72_MBiRW,73_MBiRW,74_MBiRW,75_MBiRW,76_MBiRW,77_MBiRW,78_MBiRW,79_MBiRW,80_MBiRW,81_MBiRW,82_MBiRW,83_MBiRW,84_MBiRW,85_MBiRW,86_MBiRW,87_MBiRW,88_MBiRW,89_MBiRW,90_MBiRW,91_MBiRW,92_MBiRW,93_MBiRW,94_MBiRW,95_MBiRW,96_MBiRW,97_MBiRW,98_MBiRW,99_MBiRW,100_MBiRW
ACC,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
AUC,0.50025,0.5,0.5,0.5001041666666667,0.50015625,0.5,0.5,0.5003362068965518,0.5001136363636364,0.5001785714285714,0.5000892857142857,0.5002440476190476,0.5,0.50015625,0.500125,0.5001086956521739,0.500125,0.5001315789473684,0.5002475845410628,0.5001,0.5001041666666667,0.5001190476190476,0.5,0.5002272727272727,0.5,0.5004733436853003,0.5,0.5001190476190476,0.5,0.5001470588235294,0.5001041666666667,0.5,0.5001086956521739,0.5,0.5,0.5001666666666666,0.5,0.5003113553113553,0.5005213903743315,0.5001823607427056,0.5,0.5007085020242915,0.5002386363636364,0.5,0.5,0.5000961538461539,0.5001086956521739,0.5002565789473684,0.5002872670807453,0.5001136363636364,0.5001086956521739,0.500125,0.5,0.5,0.5002859477124183,0.5001190476190476,0.5003571428571428,0.50015625,0.5,0.5,0.5,0.5,0.5003472222222222,0.5001470588235294,0.5,0.5,0.5002175925925926,0.5,0.500331228956229,0.5,0.5,0.5003873334230717,0.5,0.5002272727272727,0.5,0.5004737103174604,0.5,0.5,0.5003914141414141,0.5,0.500225,0.5001,0.5001315789473684,0.5,0.5,0.5001086956521739,0.500224171539961,0.5003125,0.5,0.5004093567251462,0.5002777777777778,0.5001086956521739,0.5,0.5002777777777778,0.5,0.5,0.5002777777777778,0.5,0.5002272727272727,0.5
Fscore,0.5343188001290574,0.5352982639438871,0.5326007159827908,0.5326919799146854,0.5376441362868872,0.534674301742669,0.5355711858738317,0.5340743937888299,0.5306016006747519,0.5350089920688673,0.5346530888747604,0.533983833010186,0.5351944394541228,0.5390385697265855,0.5325483259858859,0.5345619213765364,0.5377953782151922,0.5357437550558796,0.5360987699890001,0.5348019538840899,0.5328783413231303,0.528129069663352,0.5347601062457871,0.5364035219489675,0.5306083521824325,0.5330867820381617,0.5323353309209145,0.5347208371762174,0.5353683565795869,0.533647745768477,0.5332207826303074,0.5378345928783296,0.5361401106354536,0.5330279696419548,0.5306558611570634,0.5363188486766723,0.531700607923563,0.5326368093721803,0.5348968585655688,0.5335317439585527,0.5354020208566193,0.5387825246820721,0.5323470049985171,0.5324986138496743,0.5381860721006549,0.5329342370226158,0.5380265490621905,0.534009156921151,0.532852127099447,0.5293829999424687,0.5309455369510665,0.5393152065629372,0.532733256595852,0.5319541714827489,0.537381922831703,0.5352641542237139,0.5354731877039197,0.5367218877566592,0.5376531841449145,0.5381374049807061,0.5340198046601214,0.5356061350907434,0.5334954808306763,0.5326811539458227,0.5336507356751049,0.534299409295116,0.5322839100369274,0.5329615229088027,0.5318048679025982,0.5275416712404278,0.5362253184500075,0.5309031818228628,0.5304568392455262,0.5348073518565613,0.5366691036348668,0.5335725351229338,0.5318364081893262,0.5346030331637001,0.5366843781004025,0.5326699675671649,0.5394248652135267,0.5334698638490041,0.5346422742063861,0.5352474360663336,0.5381365616924794,0.5354717115125969,0.5449511314951966,0.5381468980253337,0.5337154469683906,0.5339991264938928,0.5375677689851901,0.5310980618322848,0.5329042263146185,0.5332916779526263,0.5350746936357039,0.5357753350122615,0.5342485235793011,0.5341093826751436,0.5396597872532231,0.5343331873856653
HR@10,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125
HR@2,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025
HR@5,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625,0.000625
Lin's AUC,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.999994019138756,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
NDCGk,0.8844399658157976,0.8893956393813091,0.8873640021299118,0.8822428195529686,0.8872484914167345,0.8886013525940183,0.8883580231108494,0.8897434485308114,0.8825734702446872,0.8870058870800748,0.885459796864983,0.8849854853884002,0.8833443668082662,0.890739977530516,0.8855377069735576,0.8876827391145093,0.8886046218795104,0.8888448949530305,0.8914775158293733,0.8865991555879387,0.8824408184598931,0.8816914438750001,0.8859845617292781,0.8858570938119513,0.8805145087719748,0.8855053378960591,0.8875921544231553,0.8872233292208911,0.8865765803863591,0.8861748636594604,0.8856151691700904,0.8859269095824606,0.8873766789682415,0.8836345436429954,0.8824048823015258,0.8876973420225309,0.8856345982476447,0.8852372755616943,0.890473060495664,0.8841846460396026,0.8830981970504951,0.887098762908447,0.8847290888870435,0.8857089643146732,0.891176930963486,0.8858784041557461,0.8884194351941437,0.8856045475760405,0.8815906954648395,0.8830589046085788,0.8822373907869718,0.8854775777060863,0.8868977452937267,0.8866624308084797,0.8851748382751424,0.8865989121824933,0.8877451769045476,0.8882361901105458,0.8893156908924119,0.8902367509650293,0.8874497245915285,0.8863212018975603,0.886078999596416,0.8878908934020997,0.8863849215947589,0.8859316938591355,0.8820131182126519,0.8860464479943104,0.8854535733955605,0.880439940909341,0.8877951235872552,0.8879146093911235,0.8876537844352427,0.8870799247383766,0.889953911386106,0.8874775603967028,0.8875022005229141,0.8880104034122676,0.8892492435403082,0.8815076997350806,0.887823200303875,0.8872151415823766,0.8819067129230334,0.8856850691762469,0.8873062830938142,0.8895760016876427,0.8923429753515076,0.8918250086413633,0.8888665203145553,0.8865564986040384,0.8898245280396782,0.8868921807695622,0.8862979149828947,0.8838947354144464,0.8864696017633865,0.8876966425823007,0.887808190968719,0.8854194076760546,0.8921646883347831,0.8913290877021022
global AUC,0.9999999969512194,1.0,1.0,0.9999999786585366,0.9999999923780488,0.9999999908536584,1.0,0.9999999969512194,1.0,0.999999993902439,1.0,0.9999999862804878,1.0,1.0,0.999999993902439,1.0,0.9999999954268292,1.0,1.0,1.0,0.999999987804878,0.999999943597561,0.9999999969512195,0.9999999801829268,0.9999999954268292,0.999999987804878,1.0,0.9999999969512194,0.9999999954268292,0.9999999832317074,0.9999999969512195,0.9999999969512195,0.9999999923780488,0.999999987804878,0.9999999954268292,1.0,0.9999999862804878,1.0,1.0,0.999999993902439,0.999999987804878,0.9999999923780488,0.9999999969512194,0.9999999939024392,0.999999899390244,1.0,1.0,0.9999999984756097,0.9999999984756097,0.9999999984756098,1.0,0.9999999832317072,1.0,1.0,1.0,0.9999999908536585,0.9999999771341462,0.9999999893292683,0.9999999954268293,1.0,0.9999999969512195,0.9999999939024391,0.9999999923780487,0.9999999786585365,1.0,1.0,0.9999999969512194,0.9999999847560975,0.9999999954268293,1.0,1.0,1.0,1.0,0.9999999984756098,0.9999999100609755,0.9999999268292683,0.9999999954268293,0.9999999984756098,0.999999987804878,0.9999999893292683,0.9999999893292683,1.0,0.9999999969512195,0.9999999771341463,0.9999999984756098,0.9999999984756098,0.9999999939024391,0.9999999908536584,0.9999999817073171,0.9999999969512195,1.0,0.9999999801829268,0.9999999771341463,0.9999998948170732,0.9999999801829269,0.9999999984756098,0.9999999740853659,0.9999999893292683,1.0,0.9999999969512194
global NDCG,0.9999999969885834,1.0,1.0,0.999999978914559,0.9999999924720332,0.9999999909685096,1.0,0.9999999969885834,1.0,0.9999999939753256,1.0,0.999999986447588,1.0,1.0,0.9999999939780868,1.0,0.99999999548253,1.0,1.0,1.0,0.999999987951572,0.9999999441307644,0.9999999969881233,0.9999999804219916,0.99999999548253,0.9999999879557132,1.0,0.9999999969881233,0.9999999954832202,0.9999999834384704,0.9999999969881233,0.9999999969885834,0.9999999924720332,0.9999999879552536,0.9999999954818396,1.0,0.9999999864429848,1.0,1.0,0.9999999939762464,0.99999998795065,0.9999999924697324,0.9999999969885834,0.9999999939753256,0.999999901076579,1.0,1.0,0.9999999984941766,0.9999999984941766,0.9999999984941766,1.0,0.9999999834232751,1.0,1.0,1.0,0.9999999909616067,0.999999977409189,0.9999999894544016,0.9999999954818395,1.0,0.9999999969885834,0.9999999939767066,0.999999992470883,0.9999999789214582,1.0,1.0,0.9999999969881231,0.9999999849429156,0.9999999954825299,1.0,1.0,1.0,1.0,0.9999999984941766,0.9999999112537367,0.999999927629329,0.9999999954825299,0.9999999984941766,0.9999999879598517,0.9999999894613064,0.9999999894624562,1.0,0.9999999969885834,0.9999999774206934,0.9999999984941766,0.9999999984941766,0.9999999939753256,0.9999999909671298,0.9999999819287365,0.9999999969885834,1.0,0.9999999804063276,0.9999999773919143,0.9999998958111571,0.9999999804063276,0.9999999984941766,0.9999999743980056,0.9999999894544016,1.0,0.9999999969881231
