,1_NIMCGCN,2_NIMCGCN,3_NIMCGCN,4_NIMCGCN,5_NIMCGCN,6_NIMCGCN,7_NIMCGCN,8_NIMCGCN,9_NIMCGCN,10_NIMCGCN,11_NIMCGCN,12_NIMCGCN,13_NIMCGCN,14_NIMCGCN,15_NIMCGCN,16_NIMCGCN,17_NIMCGCN,18_NIMCGCN,19_NIMCGCN,20_NIMCGCN,21_NIMCGCN,22_NIMCGCN,23_NIMCGCN,24_NIMCGCN,25_NIMCGCN,26_NIMCGCN,27_NIMCGCN,28_NIMCGCN,29_NIMCGCN,30_NIMCGCN,31_NIMCGCN,32_NIMCGCN,33_NIMCGCN,34_NIMCGCN,35_NIMCGCN,36_NIMCGCN,37_NIMCGCN,38_NIMCGCN,39_NIMCGCN,40_NIMCGCN,41_NIMCGCN,42_NIMCGCN,43_NIMCGCN,44_NIMCGCN,45_NIMCGCN,46_NIMCGCN,47_NIMCGCN,48_NIMCGCN,49_NIMCGCN,50_NIMCGCN,51_NIMCGCN,52_NIMCGCN,53_NIMCGCN,54_NIMCGCN,55_NIMCGCN,56_NIMCGCN,57_NIMCGCN,58_NIMCGCN,59_NIMCGCN,60_NIMCGCN,61_NIMCGCN,62_NIMCGCN,63_NIMCGCN,64_NIMCGCN,65_NIMCGCN,66_NIMCGCN,67_NIMCGCN,68_NIMCGCN,69_NIMCGCN,70_NIMCGCN,71_NIMCGCN,72_NIMCGCN,73_NIMCGCN,74_NIMCGCN,75_NIMCGCN,76_NIMCGCN,77_NIMCGCN,78_NIMCGCN,79_NIMCGCN,80_NIMCGCN,81_NIMCGCN,82_NIMCGCN,83_NIMCGCN,84_NIMCGCN,85_NIMCGCN,86_NIMCGCN,87_NIMCGCN,88_NIMCGCN,89_NIMCGCN,90_NIMCGCN,91_NIMCGCN,92_NIMCGCN,93_NIMCGCN,94_NIMCGCN,95_NIMCGCN,96_NIMCGCN,97_NIMCGCN,98_NIMCGCN,99_NIMCGCN,100_NIMCGCN
ACC,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
AUC,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Fscore,0.5342750559944043,0.5352982639438871,0.5326007159827908,0.5326699608670663,0.5376121956027726,0.534674301742669,0.5355711858738317,0.5340020054962331,0.5305787214731701,0.5349762258097852,0.5346326343293059,0.5339323248901368,0.5351944394541228,0.5390090361230392,0.53252120662862,0.5345383914999838,0.5377701738826923,0.5357153862615534,0.5360480674291513,0.5347791950249255,0.5328572599304047,0.5281035974141897,0.5347601062457871,0.5363530183164146,0.5306083521824325,0.5329892451704501,0.5323353309209145,0.534696410456377,0.5353683565795869,0.5336194774433336,0.5331981225317852,0.5378345928783296,0.5361163125115026,0.5330279696419548,0.5306558611570634,0.5362898116217732,0.531700607923563,0.5325769955218393,0.5347930277513824,0.533490519757312,0.5354020208566193,0.5386503500463601,0.5322948356979267,0.5324986138496743,0.5381860721006549,0.5329122173217242,0.5380035826557014,0.5339565343282867,0.5327935484392867,0.5293596389819479,0.5309217388271155,0.5392882705360011,0.532733256595852,0.5319541714827489,0.5373241381711934,0.5352385131980728,0.5353964063771385,0.5366905594358571,0.5376531841449145,0.5381374049807061,0.5340198046601214,0.5356061350907434,0.5334233225450374,0.5326531465549835,0.5336507356751049,0.534299409295116,0.5322366267203056,0.5329615229088027,0.531735450585784,0.5275416712404278,0.5362253184500075,0.5308231717970757,0.5304568392455262,0.5347569845698046,0.5366691036348668,0.5334792067902155,0.5318364081893262,0.5346030331637001,0.5366025412190256,0.5326699675671649,0.5393767296847751,0.5334470359896983,0.534616683887614,0.5352474360663336,0.5381365616924794,0.535446948750992,0.5449021201276116,0.538076934260011,0.5337154469683906,0.5339149645911841,0.5375116144479035,0.5310735593981497,0.5329042263146185,0.5332345296204056,0.5350746936357039,0.5357753350122615,0.5341928628048902,0.5341093826751436,0.5396244523902709,0.5343331873856653
HR@10,0.00075,0.000625,0.00025,0.00025,0.000375,0.000375,0.000375,0.00025,0.000625,0.0005,0.0005,0.0005,0.000375,0.000625,0.00025,0.0005,0.0005,0.000375,0.0005,0.000375,0.00025,0.000375,0.00025,0.000375,0.00025,0.000875,0.000375,0.000375,0.000125,0.00025,0.000375,0.000375,0.0005,0.00025,0.000125,0.00025,0.000375,0.000125,0.000375,0.0005,0.000375,0.000125,0.0005,0.000625,0.000625,0.000625,0.00025,0.000125,0.00075,0.000625,0.000375,0.000375,0.000125,0.000375,0.00075,0.00025,0.000625,0.000375,0.000625,0.000625,0.0005,0.0005,0.0005,0.000625,0.00025,0.000125,0.000625,0.000625,0.0005,0.0005,0.000625,0.0005,0.0005,0.000125,0.0005,0.000375,0.000625,0.000125,0.0005,0.00025,0.00025,0.000375,0.00025,0.000125,0.00025,0.0005,0.000125,0.000375,0.000375,0.00025,0.00075,0.000625,0.0005,0.0005,0.00025,0.000625,0.000375,0.00025,0.0005,0.000375
HR@2,0.00025,0.000125,0.0,0.0,0.0,0.000125,0.0,0.0,0.000125,0.0,0.00025,0.000125,0.000125,0.000125,0.0,0.000125,0.000125,0.000125,0.00025,0.000125,0.000125,0.000125,0.0,0.0,0.000125,0.000125,0.000125,0.000125,0.0,0.000125,0.000125,0.00025,0.000125,0.000125,0.0,0.0,0.000125,0.000125,0.000125,0.00025,0.0,0.000125,0.00025,0.000125,0.000125,0.00025,0.000125,0.0,0.000125,0.000125,0.0,0.00025,0.0,0.0,0.000125,0.000125,0.00025,0.000125,0.00025,0.000125,0.000125,0.00025,0.000125,0.00025,0.0,0.0,0.00025,0.000125,0.000125,0.00025,0.00025,0.000125,0.000125,0.0,0.000125,0.000125,0.000125,0.0,0.000125,0.00025,0.0,0.000125,0.00025,0.0,0.0,0.00025,0.0,0.0,0.000125,0.0,0.00025,0.000125,0.00025,0.00025,0.000125,0.00025,0.000125,0.000125,0.00025,0.0
HR@5,0.0005,0.000125,0.00025,0.0,0.00025,0.00025,0.000125,0.000125,0.000375,0.000125,0.000375,0.00025,0.00025,0.00025,0.000125,0.000375,0.00025,0.000375,0.000375,0.000375,0.00025,0.000375,0.0,0.00025,0.000125,0.0005,0.00025,0.000125,0.000125,0.00025,0.00025,0.00025,0.000375,0.000125,0.0,0.000125,0.000125,0.000125,0.00025,0.000375,0.00025,0.000125,0.000375,0.000375,0.000375,0.000375,0.000125,0.000125,0.00025,0.0005,0.000125,0.000375,0.000125,0.00025,0.000375,0.00025,0.00025,0.00025,0.0005,0.00025,0.00025,0.00025,0.00025,0.00025,0.000125,0.0,0.000375,0.000375,0.000375,0.00025,0.000375,0.000375,0.00025,0.0,0.000375,0.000125,0.00025,0.000125,0.000375,0.00025,0.000125,0.00025,0.00025,0.0,0.000125,0.000375,0.0,0.000125,0.00025,0.000125,0.0005,0.00025,0.000375,0.000375,0.00025,0.0005,0.00025,0.00025,0.000375,0.0
Lin's AUC,0.534568146924991,0.5308555878949872,0.5310990589039032,0.5396772157113394,0.5433445933490417,0.5406796039318098,0.5328769264010621,0.5343931592188162,0.5383447390961735,0.5397489321229761,0.5415646185352934,0.5417839035696664,0.5302901927668087,0.546158934768537,0.5399030755126023,0.5481205772145604,0.5365682026965701,0.5324546370301733,0.5439026210751535,0.543067491265951,0.5352142281220302,0.5300119707995806,0.5329279346223508,0.5408998846805018,0.5297165828144095,0.5396302681175946,0.5368580049501454,0.530474635583266,0.536114908615088,0.5337820005322953,0.533792230796604,0.5397933896762471,0.5369813090796647,0.539792536004528,0.534845783269546,0.5329116472515634,0.5301802699773419,0.5350031693339082,0.5388970580737381,0.5402901910073572,0.5327296333548733,0.5363981409983235,0.538280680787911,0.5365714580004378,0.5347041548134148,0.5391822014932515,0.5353028466659283,0.5379455833196405,0.5335042968967977,0.5314724238771872,0.541761519762133,0.533018717335682,0.5364726863325707,0.5357321820674674,0.5354447965772002,0.5432048469537988,0.5331784066484424,0.5336236504286233,0.5294839334706302,0.5417785129270264,0.534630941197814,0.5346011925077566,0.5340222967056673,0.5393894344003585,0.5320508114621219,0.5411063007833831,0.5338866397965201,0.5373366400075933,0.5417553661518189,0.5362137637642713,0.536008371804161,0.5393308466928304,0.5394519247978031,0.5364298952362221,0.5347587628727795,0.536513579037564,0.5331424524808885,0.5355016826899494,0.5359263948396222,0.5260114289805661,0.5312720203849072,0.5440503427751819,0.5436350863006788,0.5337140886817372,0.5313885904504567,0.5374545799316978,0.5430242417328834,0.5376312452578331,0.5331370344622575,0.5387591491504807,0.5368798120095484,0.5329529319395907,0.5354885582761,0.5365430878319013,0.5388006867329156,0.5408921298816444,0.5336725984894582,0.536367761039726,0.5328923201639243,0.5382797053809042
NDCGk,0.8844161322003714,0.8893956393813091,0.8873640021299118,0.8821878727593014,0.8872096109600102,0.8886013525940183,0.8883580231108494,0.8896917158734721,0.8822916204440733,0.8869963668965363,0.8853260341368516,0.884917440831682,0.8833443668082662,0.8907151477747206,0.885545047090492,0.8876453285751876,0.888579906126914,0.888803364159871,0.8914321185947083,0.8865179729699668,0.8821684680030016,0.8816564477487953,0.8859845617292781,0.88576283216392,0.8805145087719748,0.8853014684895775,0.8875921544231553,0.8871946058629502,0.8865765803863591,0.8861566068374543,0.8855751053433196,0.8859269095824606,0.8873313021825229,0.8836345436429954,0.8824048823015258,0.8876786812758397,0.8856345982476447,0.8852170334665268,0.8904383631278924,0.8840886612765851,0.8830981970504951,0.8870719664349275,0.8847354780947646,0.8857089643146732,0.891176930963486,0.8858367179652573,0.8883068262234075,0.8855457358807292,0.8814734372264518,0.8830297482702082,0.8822373907869718,0.8854375994959781,0.8868977452937267,0.8866624308084797,0.8851573573437906,0.886610435611226,0.8876581940968461,0.8882073633147851,0.8893156908924119,0.8902367509650293,0.8874497245915285,0.8863212018975603,0.8860398166385931,0.8878604118411202,0.8863849215947589,0.8859316938591355,0.8819263499004816,0.8860464479943104,0.8854059796795245,0.880439940909341,0.8877951235872552,0.8878626194208333,0.8876537844352427,0.8869725036031016,0.889953911386106,0.8874041602910647,0.8875022005229141,0.8880104034122676,0.889147997730891,0.8815076997350806,0.8877922948200621,0.887162301422867,0.8818832710504267,0.8856850691762469,0.8873062830938142,0.8895314944380535,0.8922702917323818,0.8917883992896226,0.8888665203145553,0.8865636113399077,0.8897949889773767,0.8868258651747457,0.8862979149828947,0.8838406666162443,0.8864696017633865,0.8876966425823007,0.8878183191033863,0.8854194076760546,0.8921499827559287,0.8913290877021022
global AUC,0.9386308574695122,0.9379859763719511,0.9382894939024391,0.9387465625000001,0.9386114611280487,0.9385192271341463,0.938477205792683,0.9382361638719512,0.9379040190548782,0.938429962652439,0.9382086158536586,0.9387080975609756,0.9386058605182928,0.9386171364329269,0.9389367903963414,0.9391496303353659,0.9379996051829267,0.9384777378048779,0.9393299009146341,0.9391178696646341,0.9373227835365854,0.9386257751524391,0.9376048041158536,0.938899444359756,0.937663956554878,0.937795262957317,0.9379239146341463,0.9388769451219512,0.9382195137195122,0.9382568140243901,0.9384533422256096,0.9389012469512196,0.9381675381097561,0.9384240602134145,0.938725118140244,0.9378623513719512,0.9374625975609756,0.9382421692073172,0.9386384275914633,0.9378204214939024,0.9388897865853659,0.9383343605182927,0.9373780777439024,0.9387983971036585,0.9377759108231707,0.9387013376524389,0.9384638285060976,0.9386251608231708,0.9381764603658536,0.9382261257621951,0.937765124237805,0.9382234039634147,0.9386306974085367,0.9384722583841464,0.9382620396341462,0.9391635800304877,0.9388194413109756,0.9376029253048781,0.9378441821646343,0.9384987278963416,0.9386112987804878,0.9372924603658536,0.9382215243902439,0.9384493757621951,0.9374919817073171,0.9386874580792681,0.9369924047256097,0.9384794275914634,0.9373283605182927,0.9379628719512195,0.9380568483231707,0.9381840899390244,0.9386702538109756,0.938366550304878,0.9380656852134147,0.9387376143292684,0.9377864550304879,0.9380501135670731,0.9375512446646341,0.9373219070121952,0.9382965129573171,0.9386057560975607,0.9389795167682926,0.9379487271341462,0.9389342416158537,0.9384518971036586,0.9390446562500001,0.9389103894817072,0.9388454992378048,0.9388529062500001,0.9378808064024391,0.9385198300304878,0.937993731707317,0.9385827073170732,0.9382592500000001,0.939039574695122,0.9385727134146342,0.939282200457317,0.9384721394817073,0.9384195464939024
global NDCG,0.9004358683159684,0.8966454674108059,0.897053632878972,0.8949494368091405,0.8982789734071387,0.8980366199748349,0.8968850137935529,0.8965813636935144,0.8983399252688485,0.8969787598105895,0.8992013519795075,0.8982745229423517,0.8969543075219942,0.8997872073109456,0.8965167925593693,0.8984993712386532,0.8967944007335519,0.896743379448692,0.9013507210231418,0.8980070535098502,0.8945938659436256,0.8974744659125918,0.8952256358472117,0.8991136655674935,0.894283653313344,0.8986237305865145,0.8967456905781057,0.8975202150710748,0.8969423642067071,0.896352706070931,0.8985327162719221,0.8990572748712731,0.8974767425601325,0.8976924177076496,0.8971633266449107,0.8951569926311258,0.8969101878432966,0.8962372992677607,0.8969829142850739,0.8973675699388518,0.8971884876054135,0.8967388581132623,0.8974030131347293,0.8984759922064521,0.8973969490442557,0.8984464493060361,0.8989250004263608,0.896013637583088,0.8984954451059909,0.8979171646201736,0.8949879223695308,0.8972791659666837,0.8967359423934904,0.8966672146330251,0.897739949058173,0.8976619007888499,0.9000237685495374,0.8960307343597755,0.8995126485987539,0.897916004164092,0.8976894189500186,0.897777128265951,0.8975363233898277,0.9005787100310958,0.8943951981213824,0.8957369998591646,0.8974227612047656,0.8978351826236323,0.8947929027604665,0.898434687028186,0.8988996137701595,0.8982486859190731,0.8991735650513077,0.8950062565522784,0.8989954647896186,0.8977165990180671,0.8971832532535087,0.8956478078836665,0.896729144995757,0.8955832548310219,0.8965145266562579,0.8975074690476317,0.8983627848286501,0.8950551179235758,0.8976660636183638,0.8999548185056461,0.8971081119711358,0.8971770816790178,0.898600580455165,0.8980355008078597,0.899689450114964,0.8983681825205518,0.8977779080393937,0.8981824702887226,0.8981566733063168,0.901819389648128,0.897970077371097,0.8980307735786052,0.8987878340642086,0.8952301814861897
