,1_PMF,2_PMF,3_PMF,4_PMF,5_PMF,6_PMF,7_PMF,8_PMF,9_PMF,10_PMF,11_PMF,12_PMF,13_PMF,14_PMF,15_PMF,16_PMF,17_PMF,18_PMF,19_PMF,20_PMF,21_PMF,22_PMF,23_PMF,24_PMF,25_PMF,26_PMF,27_PMF,28_PMF,29_PMF,30_PMF,31_PMF,32_PMF,33_PMF,34_PMF,35_PMF,36_PMF,37_PMF,38_PMF,39_PMF,40_PMF,41_PMF,42_PMF,43_PMF,44_PMF,45_PMF,46_PMF,47_PMF,48_PMF,49_PMF,50_PMF,51_PMF,52_PMF,53_PMF,54_PMF,55_PMF,56_PMF,57_PMF,58_PMF,59_PMF,60_PMF,61_PMF,62_PMF,63_PMF,64_PMF,65_PMF,66_PMF,67_PMF,68_PMF,69_PMF,70_PMF,71_PMF,72_PMF,73_PMF,74_PMF,75_PMF,76_PMF,77_PMF,78_PMF,79_PMF,80_PMF,81_PMF,82_PMF,83_PMF,84_PMF,85_PMF,86_PMF,87_PMF,88_PMF,89_PMF,90_PMF,91_PMF,92_PMF,93_PMF,94_PMF,95_PMF,96_PMF,97_PMF,98_PMF,99_PMF,100_PMF
ACC,0.7637,0.7671,0.7594,0.7622,0.7613,0.7587,0.7553,0.7686,0.76,0.7575,0.7607,0.7627,0.7591,0.757,0.7545,0.7507,0.7549,0.7625,0.7613,0.758,0.7607,0.7559,0.7576,0.7594,0.7584,0.7616,0.7582,0.7562,0.7622,0.7553,0.7603,0.7605,0.7552,0.7577,0.7614,0.7602,0.7592,0.7617,0.7571,0.7578,0.7587,0.7593,0.7563,0.7618,0.7516,0.7556,0.7625,0.7602,0.7586,0.7624,0.7583,0.7603,0.7585,0.7634,0.7552,0.7593,0.7593,0.7597,0.7627,0.76,0.7565,0.7502,0.7673,0.7606,0.7556,0.7565,0.7603,0.754,0.7627,0.7621,0.7646,0.7593,0.7621,0.7554,0.7619,0.757,0.7587,0.7603,0.7608,0.7583,0.76,0.757,0.7601,0.7572,0.7657,0.7605,0.7551,0.7572,0.7613,0.7624,0.755,0.7625,0.7645,0.7602,0.7607,0.7544,0.7552,0.7579,0.7623,0.7584
AUC,0.9771442758653318,0.9794504234460139,0.9746083768515781,0.9762050508725929,0.9758291509145678,0.9746352143265514,0.9720164461411948,0.9802366039496085,0.9750190840472668,0.9728889330582439,0.9751578173970998,0.976205003978995,0.9744835621743902,0.9729837424387024,0.9713457882292559,0.9692623885965179,0.9716537334899349,0.9761238930503973,0.9756224291764007,0.9739294374407248,0.9756430189182035,0.972019610819257,0.9732128281105452,0.974311187936249,0.9735737875516812,0.9761384065994423,0.9736019197715214,0.9726064811713858,0.9759617419573352,0.9715189948429389,0.9746477362420292,0.97570079491722,0.9715239836001962,0.9736601584396606,0.9755663661502748,0.9748742467719878,0.9742648700262939,0.9757422031695577,0.9735718486978897,0.9735202982298026,0.9743402461848748,0.9744031630180533,0.9726454256832383,0.9761670211415574,0.9698605831702358,0.9721784906365956,0.9762767114743274,0.9748109942492372,0.9737738503845682,0.9761889693627578,0.973957180289909,0.9753242611954428,0.9739631181514141,0.977139393937627,0.9720566120163912,0.9747634122492198,0.9744825383041885,0.974428527946246,0.9768377556011946,0.9745433844801654,0.9730297405113704,0.9686104522217857,0.9795893548311071,0.975531113078716,0.972224367138808,0.9729690177650855,0.9750051313224962,0.9711910838831531,0.9766053824496969,0.9756262181562616,0.97758581052745,0.9745061582054145,0.9760165793326803,0.9719867829405447,0.9755379335473262,0.9731131384815859,0.9737828057717188,0.9748939589955711,0.9755856488683026,0.9742547665753812,0.975258822648043,0.97319881200868,0.9748496270610889,0.9730733714789586,0.9782673435871624,0.9752698659038954,0.9720015081631768,0.9735316594160355,0.9758229550953775,0.9766444752503552,0.9716063660077933,0.9764220914262889,0.977662078678786,0.9747451468644752,0.9753060923507438,0.9715132653507067,0.9715037489015904,0.9738352931515544,0.9758115788367964,0.9738503667311056
Fscore,0.6505725342214943,0.6529281004123859,0.6473263148300131,0.6486936582977981,0.6521077669388192,0.6486556895504296,0.6477184687203725,0.652552450662824,0.646063935313667,0.6480793097846047,0.649340786913851,0.6494668172476658,0.6492357823294796,0.6511259933776272,0.6452935587270007,0.6448434393675057,0.6493265137571933,0.6508490845068793,0.6507858740012218,0.6486054828080774,0.648020026586712,0.6421522573924693,0.6477381182979662,0.6500385503663005,0.645217083782635,0.6487583127278114,0.6465252094513148,0.6475880346979299,0.6504980337667053,0.645990872844194,0.6479944607385787,0.6518404010955973,0.6480312908585566,0.6467247946920243,0.6465805393990594,0.6503828589243932,0.6464421411367711,0.6482779870644256,0.6481477924867659,0.646820965424578,0.649129937007219,0.6518689459916867,0.6457207375313335,0.6482988051539041,0.6481038442535045,0.6458923940473905,0.6526835695729537,0.6485214892937349,0.6470655524642468,0.6462538695062134,0.6453968158850851,0.6527868787694241,0.6471195285531077,0.6487169712443155,0.6488591984049872,0.6496015904356895,0.649174772745543,0.6505424408344842,0.6526555072895781,0.6514478812910821,0.6473118126967842,0.6452243572572375,0.6514632074531767,0.6479803266637798,0.6462908602114009,0.647364708089303,0.6472083990009294,0.6451317211075923,0.6483330462562072,0.6443310826647013,0.6524621599171238,0.6461500265872505,0.6470030454840519,0.6470573139941281,0.6515141494655496,0.6470151698663759,0.6461468155666785,0.6490596157814821,0.6510917550663825,0.6468854564085211,0.6529102178772659,0.6471152386740116,0.6488148739319454,0.6480962897807278,0.6542679325374806,0.6501446347506683,0.6547815691582451,0.6507886107237936,0.6491203095007296,0.6498911856899557,0.6488644702208746,0.6475755336210127,0.6496298826493495,0.6478143769076723,0.6498785366771526,0.6474571953093805,0.6464458324790587,0.6482870531474103,0.6539061329428357,0.6482967138924957
HR@10,0.000125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000125,0.0,0.0,0.0,0.000125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000125,0.000125,0.0,0.0,0.0,0.000125,0.000125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000125,0.0,0.0,0.0,0.0,0.0,0.000125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000125,0.0,0.0,0.0,0.000125,0.0,0.0,0.0,0.0,0.0,0.0,0.000125,0.0,0.0,0.000125,0.0,0.0,0.0,0.0,0.000125,0.0,0.000125,0.0,0.000125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000125,0.0,0.0,0.000125,0.0,0.0,0.000125,0.000125,0.0,0.0,0.0
HR@2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR@5,0.000125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000125,0.0,0.0,0.0,0.0,0.000125,0.0,0.0,0.0,0.000125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lin's AUC,0.9878866556843016,0.9903307027526299,0.9871472099042055,0.9888033238325095,0.9882972449147067,0.9896611124747353,0.9858636529510947,0.9916141097724589,0.9882158014914318,0.9850347390779506,0.989288436757544,0.990019208064116,0.9884749482910163,0.9880151615291481,0.9891834848479826,0.9865620089874994,0.9869869533868965,0.9888710791954111,0.9874997728994566,0.9881339244292718,0.9902243381034745,0.9877602890381165,0.9863438632112098,0.9888062421777565,0.9878961006970104,0.9886067869956681,0.9894433174545366,0.9886146881121886,0.9870201100924817,0.9891653896079186,0.9870502796238156,0.988440343524922,0.9881807601902551,0.987680859511137,0.9897730705741875,0.9878266010266995,0.9882565153196944,0.989921377020496,0.987515893560828,0.9862847060429364,0.9885537421719149,0.9887831431623323,0.9891695327157383,0.9890166748893756,0.9841543136659264,0.9857737285296244,0.9879150970885167,0.9884265931286161,0.9882523171487421,0.9858565788063877,0.9854188519777307,0.9885038826878753,0.9871647234402452,0.9892961207650183,0.987478298032951,0.986664628893757,0.9879767066861536,0.9860592586495133,0.9881643951448816,0.9906465862904339,0.9892315907271868,0.9834806694548209,0.9913058122944102,0.9887301473216096,0.9869015722448613,0.9892037632736194,0.9875588845733652,0.9874255340571196,0.9888066267302551,0.9859264595710865,0.9870678492119641,0.9895704906943342,0.989689819025919,0.9861147619459919,0.9905789215942203,0.9897294146210343,0.9887818924215892,0.9901404908712069,0.9886366195929375,0.9888308108728056,0.9885535311165919,0.9869455679939275,0.9894467958952918,0.9866498697593603,0.9898481998072726,0.9889738661996784,0.986138597169118,0.9881335724714662,0.9879508874402617,0.988847660518603,0.9858862826574054,0.9881063876605068,0.9898148086757891,0.989727315952337,0.9878661104572558,0.9876648670331645,0.984034252315911,0.989599094257231,0.9868135580744385,0.9883895417384377
NDCGk,0.9974539357298358,0.9977547065783517,0.9971916180946415,0.997378812701061,0.9974067721014103,0.9968596045504837,0.9968676357123831,0.9975057202537525,0.997190622994537,0.996874148184354,0.9972061916296218,0.9974543501746292,0.9971182617479749,0.9970146728787257,0.9966688734223417,0.9965075631552147,0.9968655796270118,0.9972929503156424,0.997281229525423,0.9971132062902257,0.9973294316481168,0.9969315575895337,0.9970468911485882,0.9971022947459697,0.997096786196495,0.9973293365972209,0.9969740506920438,0.9970546262408263,0.9973851545313616,0.9967567662927493,0.9968267593036364,0.9973981525005658,0.996461205880256,0.9970161026637727,0.9972319917888501,0.997216260719986,0.9970349567924114,0.996791861667106,0.9971349321116282,0.9971332744474001,0.9971668456569509,0.9971619477411561,0.9969453688698766,0.9970792330021954,0.9967746758349247,0.9969529450781393,0.9973838883292083,0.9971755631668923,0.9966373248609696,0.9973397223261052,0.9971295723636932,0.9973548275753648,0.9970732152172743,0.9974802458517706,0.9969299894041461,0.9971985746462333,0.9972714865064387,0.9971042602400114,0.9975448254787797,0.9971820951795007,0.9970554590102156,0.9965688152809988,0.9977822483065694,0.9973810907266665,0.9969952826233626,0.9970373179636547,0.997201587066122,0.9967712314891961,0.9968654033239475,0.9972785349708643,0.997456833371388,0.9970803783577189,0.9973119404355083,0.9969464773839567,0.9972303283641104,0.9970539564863614,0.9970529883388943,0.9971969365950027,0.997408367337631,0.9971708463689333,0.9972843862932018,0.9969815311346139,0.9971862916820824,0.9970080276968898,0.9976422158490321,0.9972615804790442,0.9970463243159591,0.9971799481139516,0.9973596783694393,0.9973799763687461,0.9968554181319428,0.9973618364406758,0.9976031978394124,0.9968142701838261,0.9972554082147924,0.9968556684980695,0.9967358220604242,0.9971432872978151,0.9973051367663004,0.9970476430048945
global AUC,0.9369415350609754,0.9408636051829266,0.9320637987804878,0.9353669603658535,0.9345687530487807,0.9314000685975611,0.9276636219512197,0.942754638719512,0.9329777881097561,0.9298102865853659,0.9336220945121952,0.9356944634146341,0.9317302881097562,0.9293654679878048,0.9269002637195122,0.9224545442073171,0.9268766219512196,0.935570263719512,0.9342968475609755,0.9306590945121951,0.9336101371951218,0.9285315030487803,0.9301783536585367,0.9321786189024391,0.9307871707317072,0.9348026753048779,0.9309354176829268,0.9283001463414633,0.9351417210365853,0.9277289222560975,0.9332967408536585,0.9334497210365854,0.9273512896341463,0.9301875365853659,0.9345259329268294,0.9330203871951221,0.931979899390244,0.9347636128048781,0.9295188948170732,0.9301913079268294,0.9315015106707318,0.9320405899390245,0.9287616128048781,0.9346102225609755,0.9232098887195122,0.9278775777439023,0.9354886615853659,0.9334455579268294,0.9312758277439023,0.9357805365853658,0.9310149146341462,0.9331807728658537,0.9312709527439027,0.9367714573170733,0.9275307881097562,0.9322356524390245,0.9320406524390243,0.932576800304878,0.9356527118902437,0.9326206859756097,0.9289095015243902,0.9220040411585365,0.9410467271341465,0.9338898323170732,0.9281961249999998,0.9291316783536586,0.9334976661585368,0.9261519634146345,0.9359941021341465,0.9353619588414633,0.9379282057926828,0.932465919207317,0.9351396875000001,0.9275800929878047,0.9351090960365853,0.9292644176829269,0.9314718597560976,0.9331724695121952,0.9338788201219513,0.9312035213414634,0.9329319878048781,0.9297500106707319,0.9327914756097561,0.9298655259146341,0.9394579009146341,0.9334377759146341,0.9269429176829269,0.92990787652439,0.9342726920731709,0.935884763719512,0.9274687652439022,0.9355783963414637,0.9375947759146341,0.932991236280488,0.9337675030487804,0.926477780487805,0.9274857042682928,0.9306364832317073,0.934937149390244,0.9307858140243902
global NDCG,0.9079129762056841,0.9092063572838375,0.9067391309618845,0.9078170799173867,0.9079869404077384,0.9066860253142021,0.9065095094987815,0.9101910610809208,0.9077121458958671,0.9066683912773084,0.9073175337435855,0.9065367032998858,0.9071690332683827,0.9054493209890105,0.9061959752871235,0.9042131473184264,0.9041815809653639,0.9070230731329456,0.9073524552051352,0.9059198570366683,0.9082257701069446,0.9079444467609767,0.9067144724492796,0.907204435070053,0.9054836018078987,0.9082262356620134,0.907206200897151,0.9043938334831134,0.907013543347139,0.9075859337536616,0.9071630766496778,0.9072097485927405,0.9045195586359088,0.9062394837615637,0.9071828417090158,0.9060296170639863,0.9072650873348133,0.9071041205302943,0.9054995896897603,0.9059380200197685,0.9066446134916928,0.9058409680646092,0.906628573073823,0.9067591442362197,0.9029488229904918,0.9049635039798757,0.9068253617883459,0.908269912860711,0.9064898728104115,0.909174071705068,0.906501275610399,0.9067091731073351,0.9071487206638975,0.9085246078643703,0.9062296057063348,0.9087074334617418,0.9072129934535907,0.9072182825683134,0.9081430916760395,0.9066938152940248,0.9050316477804515,0.9066770811158159,0.9083946002140146,0.9085072614588562,0.9068780544164667,0.9066149607052446,0.9096168135372384,0.9058553689977247,0.9076960225019107,0.9098543323826983,0.9074256943115725,0.9079728956421065,0.9070270563879114,0.9059611178649007,0.9087778357733017,0.9057901370221525,0.9089371953364199,0.9070117765478478,0.9094164694933875,0.9069553429866437,0.9065196965940725,0.9074896613151432,0.9067833070199746,0.9073032882558111,0.9107146551720567,0.9076942931632472,0.9038749803902397,0.9067399776470657,0.9076271127705563,0.9096059044295209,0.9077299169831043,0.9067910410958615,0.9078562432909915,0.9064079439752566,0.9071005441865821,0.9051213463198664,0.9056173948508232,0.906427498589964,0.9069305079627492,0.9052692853851774
