,1_SCPMF,2_SCPMF,3_SCPMF,4_SCPMF,5_SCPMF,6_SCPMF,7_SCPMF,8_SCPMF,9_SCPMF,10_SCPMF,11_SCPMF,12_SCPMF,13_SCPMF,14_SCPMF,15_SCPMF,16_SCPMF,17_SCPMF,18_SCPMF,19_SCPMF,20_SCPMF,21_SCPMF,22_SCPMF,23_SCPMF,24_SCPMF,25_SCPMF,26_SCPMF,27_SCPMF,28_SCPMF,29_SCPMF,30_SCPMF,31_SCPMF,32_SCPMF,33_SCPMF,34_SCPMF,35_SCPMF,36_SCPMF,37_SCPMF,38_SCPMF,39_SCPMF,40_SCPMF,41_SCPMF,42_SCPMF,43_SCPMF,44_SCPMF,45_SCPMF,46_SCPMF,47_SCPMF,48_SCPMF,49_SCPMF,50_SCPMF,51_SCPMF,52_SCPMF,53_SCPMF,54_SCPMF,55_SCPMF,56_SCPMF,57_SCPMF,58_SCPMF,59_SCPMF,60_SCPMF,61_SCPMF,62_SCPMF,63_SCPMF,64_SCPMF,65_SCPMF,66_SCPMF,67_SCPMF,68_SCPMF,69_SCPMF,70_SCPMF,71_SCPMF,72_SCPMF,73_SCPMF,74_SCPMF,75_SCPMF,76_SCPMF,77_SCPMF,78_SCPMF,79_SCPMF,80_SCPMF,81_SCPMF,82_SCPMF,83_SCPMF,84_SCPMF,85_SCPMF,86_SCPMF,87_SCPMF,88_SCPMF,89_SCPMF,90_SCPMF,91_SCPMF,92_SCPMF,93_SCPMF,94_SCPMF,95_SCPMF,96_SCPMF,97_SCPMF,98_SCPMF,99_SCPMF,100_SCPMF
ACC,0.9808,0.9363,0.9402,0.934,0.9425,0.7947,0.8004,0.8055,0.7262,0.9292,0.937,0.8474,0.9144,0.8975,0.9134,0.7099,0.7315,0.9527,0.7571,0.9125,0.7586,0.9387,0.9251,0.9628,0.9245,0.9081,0.7692,0.948,0.9234,0.9133,0.947,0.9536,0.9083,0.9305,0.8193,0.9181,0.92,0.8003,0.9283,0.8213,0.8801,0.8244,0.942,0.9453,0.9203,0.934,0.9766,0.8935,0.958,0.9395,0.908,0.7398,0.7398,0.9434,0.9212,0.9257,0.9168,0.838,0.9054,0.6986,0.9323,0.951,0.9261,0.9308,0.8154,0.8999,0.9136,0.738,0.9257,0.9241,0.9388,0.9187,0.8757,0.9409,0.9392,0.7679,0.9261,0.9717,0.956,0.723,0.9333,0.8756,0.7561,0.9749,0.9357,0.9877,0.8711,0.9273,0.937,0.8963,0.9424,0.8602,0.9095,0.959,0.9023,0.7882,0.9232,0.9362,0.9383,0.9303
AUC,0.8015738460519074,0.9412016150846167,0.7654481860464705,0.7822890788760425,0.8291007292848045,0.7977802407342998,0.6913417796354469,0.6904990230570572,0.721365174451351,0.772787084507989,0.7574351358379542,0.7521136526159025,0.7811328666961067,0.6994436494147235,0.7015964224216326,0.7237255536553485,0.6363783359581502,0.9486198854677133,0.7978467513914673,0.7467973861425845,0.758629878460209,0.7606416822959968,0.7737288521751242,0.7286045460618902,0.8822412731767973,0.7495252801960066,0.6794106942947002,0.7591554014695459,0.7723407272813287,0.7862697235721926,0.7612478157155741,0.75541637941505,0.8291398208498235,0.7513928958636247,0.7857568234491308,0.7784182784711706,0.7915441570856729,0.7207669136799331,0.7291612620498333,0.7240103278846232,0.7968244963705865,0.7786213197916055,0.7821846207767836,0.8234528566599687,0.6617488649238281,0.7377232528472345,0.7852227013268341,0.7693134601448901,0.7436093774176373,0.7491864471036567,0.7743463898935127,0.7747345760086369,0.6759891344098155,0.7649332267519366,0.7895612907820879,0.718587983696639,0.7650876600439657,0.7653580576313459,0.7819547294309512,0.6615180065967061,0.7829369949512879,0.7834031139307297,0.7339873774176928,0.7780705252187533,0.6511199576846011,0.7762859378719859,0.9126708728702763,0.6625136898380211,0.7727880198006676,0.8351825694384093,0.7771589216204711,0.7794984895068316,0.8065643194708758,0.7688017965688756,0.791286629705544,0.6485560735987409,0.8099050683354366,0.7839561896003565,0.77498755856128,0.6123090080529785,0.7603201131730324,0.8715652729731903,0.6765367383056438,0.8987574931697105,0.794082305790258,0.8077120525433031,0.7581026548000389,0.7393811442880783,0.766570708996342,0.8534013118538079,0.7641703505075358,0.8548960499706806,0.7372289583544213,0.7746822811409266,0.7988182303517872,0.6879633453521552,0.7921568653384804,0.705020324211896,0.7669932400346561,0.7924704778484698
Fscore,0.6076942231433837,0.6331006335246527,0.5966625596300433,0.6005833481633043,0.6177745598576366,0.5700186868619979,0.5451319419210207,0.5279326898606215,0.4875106301816457,0.6004421938945842,0.595458818747563,0.5481702149131703,0.6023032310118603,0.5714593078211211,0.5650382950891192,0.49817482476669284,0.5116399877769964,0.6316717765586636,0.525248436270489,0.5840172973431527,0.5293821263207404,0.5915855811125997,0.5999668418739821,0.5893636909740727,0.6263916561207333,0.5910265390171306,0.5160278635040307,0.5967277231424473,0.5987217089334841,0.6029288785440855,0.5959468640249225,0.600122433966232,0.6161868884202159,0.5923638848735037,0.5561395464763695,0.602630841970074,0.6022653322278927,0.5360913190489354,0.588729758557855,0.5481344931040157,0.5914591982331074,0.5634083763990944,0.6002189171210458,0.6116163724192637,0.5607735662938412,0.5888473630380289,0.6072405016020163,0.59804273826459,0.5907963565373885,0.589950591962039,0.5855802649102176,0.5128397803341468,0.5179305655996604,0.5952967409161029,0.6061654443409977,0.5841185905454487,0.598458836607842,0.567282140145383,0.6047212555751051,0.48761869688517334,0.6023216302788013,0.6030489247940952,0.5879504893211471,0.5996139247009187,0.510235021684135,0.5997029004352737,0.6371819069468391,0.5115862237859902,0.5976870095440737,0.6102142219851423,0.6028270199286585,0.5983946363234354,0.5686994142806288,0.5991342472305099,0.6064192848512799,0.5120075562846048,0.607050681037001,0.6035008241701476,0.6031887163722965,0.48583368428705115,0.6011604113515839,0.5921829031450578,0.506210266870143,0.6354886302171259,0.608667943846308,0.6105937061672789,0.5663330930179525,0.5954849649579375,0.5974383335046398,0.6087326132476553,0.6006676584574698,0.6024821943746689,0.5885616588371445,0.5996522119957326,0.6067753273283606,0.5253500300221319,0.6044296677034385,0.5825511668597655,0.6027831019580451,0.5990289024783187
HR@10,0.0,0.000125,0.00025,0.000125,0.0,0.000375,0.00025,0.000625,0.000625,0.0,0.0,0.00125,0.0,0.000375,0.000125,0.00075,0.000625,0.001125,0.00125,0.0,0.0005,0.0,0.0,0.000125,0.0,0.0,0.00075,0.0,0.000125,0.0,0.0,0.0,0.0,0.0,0.00025,0.0,0.0,0.0005,0.00025,0.0005,0.000375,0.0,0.0,0.0,0.00025,0.0,0.00025,0.0,0.0,0.0,0.00025,0.000375,0.000375,0.00025,0.0,0.000125,0.0,0.000875,0.00025,0.00075,0.0,0.0,0.000375,0.0,0.00125,0.000125,0.0,0.0005,0.0,0.0,0.0,0.0,0.00075,0.00025,0.0,0.000375,0.00025,0.0,0.000125,0.000125,0.0,0.00025,0.000625,0.000125,0.0,0.0,0.001125,0.0,0.0,0.00025,0.0,0.000125,0.0,0.0,0.0,0.00025,0.0,0.000125,0.000125,0.000125
HR@2,0.0,0.0,0.0,0.0,0.0,0.000125,0.0,0.0,0.00025,0.0,0.0,0.00025,0.0,0.000125,0.0,0.000125,0.000125,0.00025,0.00025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000125,0.0,0.0,0.000125,0.000125,0.000125,0.0,0.0,0.0,0.0,0.000125,0.0,0.000125,0.0,0.0,0.0,0.0,0.00025,0.0,0.00025,0.0,0.000125,0.0,0.00025,0.0,0.000125,0.0,0.0,0.0,0.0,0.00025,0.000125,0.0,0.000125,0.0,0.0,0.0,0.0,0.000125,0.000125,0.0,0.0,0.0,0.0,0.000125,0.0,0.0,0.0,0.000125,0.0,0.0,0.0,0.000125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR@5,0.0,0.000125,0.000125,0.0,0.0,0.000375,0.000125,0.000125,0.000625,0.0,0.0,0.000625,0.0,0.000125,0.0,0.000125,0.000375,0.000625,0.000625,0.0,0.000125,0.0,0.0,0.000125,0.0,0.0,0.000375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00025,0.0,0.0,0.000375,0.000125,0.000125,0.00025,0.0,0.0,0.0,0.00025,0.0,0.00025,0.0,0.0,0.0,0.0,0.000375,0.000125,0.00025,0.0,0.000125,0.0,0.000625,0.0,0.00025,0.0,0.0,0.000375,0.0,0.000625,0.000125,0.0,0.00025,0.0,0.0,0.0,0.0,0.0005,0.000125,0.0,0.000125,0.0,0.0,0.000125,0.0,0.0,0.0,0.00025,0.0,0.0,0.0,0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000125,0.0,0.000125,0.000125,0.000125
Lin's AUC,0.998039961831498,0.49353628940072397,0.9904386266703901,0.9994444444444445,0.9994450411743645,0.8022704082748331,0.8548466388721687,0.701416185974098,0.3724593770973659,0.9935465968829313,0.9940030868091719,0.6872618817027216,0.9954019462816251,0.9352624487820242,0.8863688133301894,0.5074296280445377,0.6861602895114143,0.8651924000761474,0.42527635839470634,0.7834862366196808,0.5531552622707434,0.9932525193791284,0.9991801994301994,0.9867413897873347,0.9786120953222209,0.9931702734672289,0.6908426988156013,0.9961667672536094,0.9554791668930769,0.9975284201659076,0.9984671257391846,0.996634771614053,0.9947300055315991,0.9912374657161547,0.6367544961990041,0.9975666898922333,0.986910795823333,0.6101865728464914,0.9997368421052631,0.7254273038191513,0.8824772480558479,0.7027445927242039,0.9859305725058701,0.9945907786936998,0.8557354269192768,0.9945953794567666,0.9909789140810357,0.9989395250425196,0.9992930571171433,0.988204301408885,0.9466420728878819,0.3158950491462446,0.6913230250622081,0.9967931321222614,0.9912187457705974,0.9757786268632549,0.9981183263752772,0.8824856945685745,0.9984454621372598,0.4322606594989742,0.993525959617769,0.9964239401189494,0.9876016072751937,0.9974045798619068,0.5466696620109461,0.9921564808189689,0.973176921999952,0.6378004010928627,0.9968691562532718,0.9991118326118326,0.9971912423506069,0.9962661125714383,0.8176972634889219,0.9935624068310903,0.9957416142692986,0.6300245949212033,0.9979170283839803,0.9943048241013902,0.9942325554633649,0.7303993730305081,0.9977745647987993,0.6949586040047637,0.5946840350035921,0.9902856630647935,0.9975809032319176,0.9994786096256684,0.7556269158883775,0.994381225081412,0.9962843957542225,0.8857849800252262,0.9867961005468198,0.7119741669952382,0.9977131832325011,0.9992361111111111,0.9986226784910995,0.7903232436604682,0.9944281593786494,0.9990591286963627,0.9957828087584102,0.8948792140746634
NDCGk,0.9508581858819505,0.9841376813348546,0.9417092180830489,0.946078202595416,0.9610852311301622,0.9514557258685553,0.9281692772820012,0.9286512054706603,0.9339473701319225,0.9443216831385112,0.9382545161462111,0.9407202268106585,0.9473182658951959,0.9258189979111984,0.9277538195176152,0.9311598670872278,0.9191384778387927,0.9848646486915861,0.9607150126587982,0.935177840592391,0.9385985478095455,0.9349002020279336,0.9463508185646319,0.9280727081492014,0.9689806259832437,0.9370196462570999,0.9321090630573876,0.9368999438684722,0.9421998319312831,0.9470359959704752,0.9396257341707187,0.9398995108174746,0.9602009189951118,0.935649139645826,0.9480090233729054,0.9473013327655235,0.9495571016738197,0.9336158612463933,0.9312421563035559,0.9309350301454249,0.9487019020841643,0.9437946405605883,0.9481679012829005,0.9565346519403198,0.919602803122056,0.9357196930590977,0.9510333841287804,0.9435750546953082,0.9337324293311471,0.9369015829955384,0.9422653324646029,0.9500610476130273,0.9302010674889217,0.9426187499511148,0.9480190384574851,0.9283228190141085,0.9398297956162293,0.9437029535561555,0.9487305438875159,0.9156319235563967,0.9458439105163086,0.9470547470112736,0.9339675711090013,0.9466915885973952,0.914467234687411,0.9445905153582421,0.9769467934369632,0.9227495508014175,0.9423935347715571,0.9614509343233429,0.9446889850038204,0.9447534349462673,0.9550160113701353,0.9424293127639964,0.9447907223664234,0.9120105819221519,0.9551731278047534,0.9476802296933643,0.9437098095575662,0.9038297064624161,0.9424310670890793,0.9686013037262284,0.9191229820281912,0.9743509497292291,0.9506972126349647,0.9557064027960409,0.9411126097285654,0.9406472260516907,0.9397146449279685,0.9660144108469509,0.9410758131713013,0.9662605301062903,0.9326353795468647,0.9406789431015755,0.954099568491346,0.9206252607821207,0.9504445808586933,0.9214475818333718,0.9414375297832649,0.9512701805858385
global AUC,0.9990449146341464,0.909374631097561,0.9973304314024389,0.9996755914634147,0.9982656356707317,0.8437328216463416,0.8730227652439025,0.7985698155487805,0.6578602652439024,0.9990699557926829,0.9948357972560975,0.8054545289634149,0.9978149573170731,0.9536874771341463,0.9284480274390243,0.6720126280487807,0.7800359603658537,0.935182881097561,0.6964195137195123,0.9271133262195124,0.7412382301829267,0.9972146509146341,0.9984991265243902,0.9919270137195121,0.9961535533536585,0.9938229329268294,0.766269118902439,0.9973941996951219,0.9848978216463414,0.9986987286585366,0.9992778673780488,0.9981360121951219,0.9988725899390244,0.9974606356707317,0.8125398414634146,0.9994580320121951,0.9970390701219513,0.7885581768292681,0.9998588856707317,0.8287888414634147,0.9191824786585365,0.8217556768292682,0.995578175304878,0.9982977576219512,0.9268972393292683,0.9977041798780487,0.9974993155487804,0.9987687591463414,0.9987058795731707,0.9977300990853659,0.9629086600609756,0.6729973978658537,0.7734227118902438,0.9982296600609756,0.9989143307926829,0.9834970701219512,0.9985817530487804,0.8970292393292683,0.999619269817073,0.6736330823170732,0.9987001875,0.9976488414634147,0.994792631097561,0.9991349374999999,0.782095038109756,0.9928299314024389,0.9958589740853658,0.7608438536585365,0.998211913109756,0.9993920823170731,0.9981499893292682,0.9981418033536584,0.8579944679878049,0.9986748323170733,0.9983920396341462,0.785773106707317,0.9987886463414634,0.9983180746951219,0.9983741829268292,0.7308464786585365,0.9974298506097561,0.8458703262195121,0.7254439374999998,0.9986165076219512,0.9982531387195122,0.9990604298780488,0.8588476783536585,0.997174475609756,0.9989699344512195,0.9349845106707318,0.9947897118902438,0.9053096798780488,0.9988198231707316,0.9994901112804878,0.9993736173780488,0.8221241737804879,0.9970411859756098,0.9990600823170731,0.9985389100609756,0.9578664192073171
global NDCG,0.9830697309424618,0.9252017855878649,0.9804369861285162,0.9903587289249715,0.9774437642548156,0.9327881312391781,0.9384274778360816,0.9133114912239244,0.8739581027940104,0.9833153664406207,0.9741702082715477,0.9435388008427287,0.9769899402674483,0.96929316612513,0.9536399647257298,0.8858849100389757,0.9102627626090384,0.9738599306758631,0.9024444166733911,0.9050504925977415,0.8941828270706345,0.9699151720928564,0.9782565128146903,0.9813694250529802,0.9645400170030101,0.9866373657813449,0.9092213069096563,0.9756718826505091,0.9574305492227806,0.9818316248270884,0.9865774119388873,0.9759534853474833,0.9848905273826569,0.9758705555967037,0.9134353279669828,0.9870720434929301,0.9742692496143565,0.9053106137683583,0.9947632958149962,0.9012477018534373,0.9334189546424196,0.918841305217756,0.9667660256197479,0.9797340353012262,0.942472824005882,0.9753479015622197,0.9846659881587322,0.9855187784382246,0.9821813258158589,0.9764415578753702,0.9617106447253707,0.8678005784524419,0.9047321762800384,0.9863311538077503,0.9817055312986918,0.9613858923492541,0.9803415149275457,0.9608349028189672,0.9916541579419139,0.8690200290189747,0.9809850276029035,0.9784331820908809,0.9757157607642398,0.988347105240749,0.9178034279911688,0.9706607988051752,0.9632484752304175,0.8985045782333158,0.979227046604546,0.9867570636122842,0.9766642215416452,0.9767617447820323,0.9441113005078857,0.9869223955526225,0.9794532434885567,0.8906934740998499,0.9857129474198418,0.9785623061809038,0.9853090507930238,0.9093634697055359,0.9727680651791452,0.9334042598060523,0.8989989974144431,0.9817497091734958,0.9857478447298275,0.9827368757832221,0.9338783685182755,0.970554891340911,0.9824867266355426,0.9529464690429525,0.9580984847546368,0.9377053152233815,0.9819237931038564,0.9876172990119835,0.9861828299613673,0.934624225054551,0.9686454557245655,0.9863338713866876,0.9809438692454259,0.9440340058052639
