,1_SimpleBinaryClassifier,2_SimpleBinaryClassifier,3_SimpleBinaryClassifier,4_SimpleBinaryClassifier,5_SimpleBinaryClassifier,6_SimpleBinaryClassifier,7_SimpleBinaryClassifier,8_SimpleBinaryClassifier,9_SimpleBinaryClassifier,10_SimpleBinaryClassifier,11_SimpleBinaryClassifier,12_SimpleBinaryClassifier,13_SimpleBinaryClassifier,14_SimpleBinaryClassifier,15_SimpleBinaryClassifier,16_SimpleBinaryClassifier,17_SimpleBinaryClassifier,18_SimpleBinaryClassifier,19_SimpleBinaryClassifier,20_SimpleBinaryClassifier,21_SimpleBinaryClassifier,22_SimpleBinaryClassifier,23_SimpleBinaryClassifier,24_SimpleBinaryClassifier,25_SimpleBinaryClassifier,26_SimpleBinaryClassifier,27_SimpleBinaryClassifier,28_SimpleBinaryClassifier,29_SimpleBinaryClassifier,30_SimpleBinaryClassifier,31_SimpleBinaryClassifier,32_SimpleBinaryClassifier,33_SimpleBinaryClassifier,34_SimpleBinaryClassifier,35_SimpleBinaryClassifier,36_SimpleBinaryClassifier,37_SimpleBinaryClassifier,38_SimpleBinaryClassifier,39_SimpleBinaryClassifier,40_SimpleBinaryClassifier,41_SimpleBinaryClassifier,42_SimpleBinaryClassifier,43_SimpleBinaryClassifier,44_SimpleBinaryClassifier,45_SimpleBinaryClassifier,46_SimpleBinaryClassifier,47_SimpleBinaryClassifier,48_SimpleBinaryClassifier,49_SimpleBinaryClassifier,50_SimpleBinaryClassifier,51_SimpleBinaryClassifier,52_SimpleBinaryClassifier,53_SimpleBinaryClassifier,54_SimpleBinaryClassifier,55_SimpleBinaryClassifier,56_SimpleBinaryClassifier,57_SimpleBinaryClassifier,58_SimpleBinaryClassifier,59_SimpleBinaryClassifier,60_SimpleBinaryClassifier,61_SimpleBinaryClassifier,62_SimpleBinaryClassifier,63_SimpleBinaryClassifier,64_SimpleBinaryClassifier,65_SimpleBinaryClassifier,66_SimpleBinaryClassifier,67_SimpleBinaryClassifier,68_SimpleBinaryClassifier,69_SimpleBinaryClassifier,70_SimpleBinaryClassifier,71_SimpleBinaryClassifier,72_SimpleBinaryClassifier,73_SimpleBinaryClassifier,74_SimpleBinaryClassifier,75_SimpleBinaryClassifier,76_SimpleBinaryClassifier,77_SimpleBinaryClassifier,78_SimpleBinaryClassifier,79_SimpleBinaryClassifier,80_SimpleBinaryClassifier,81_SimpleBinaryClassifier,82_SimpleBinaryClassifier,83_SimpleBinaryClassifier,84_SimpleBinaryClassifier,85_SimpleBinaryClassifier,86_SimpleBinaryClassifier,87_SimpleBinaryClassifier,88_SimpleBinaryClassifier,89_SimpleBinaryClassifier,90_SimpleBinaryClassifier,91_SimpleBinaryClassifier,92_SimpleBinaryClassifier,93_SimpleBinaryClassifier,94_SimpleBinaryClassifier,95_SimpleBinaryClassifier,96_SimpleBinaryClassifier,97_SimpleBinaryClassifier,98_SimpleBinaryClassifier,99_SimpleBinaryClassifier,100_SimpleBinaryClassifier
ACC,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
AUC,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Fscore,0.5342750559944043,0.5352982639438871,0.5326007159827908,0.5326699608670663,0.5376121956027726,0.534674301742669,0.5355711858738317,0.5340020054962331,0.5305787214731701,0.5349762258097852,0.5346326343293059,0.5339323248901368,0.5351944394541228,0.5390090361230392,0.53252120662862,0.5345383914999838,0.5377701738826923,0.5357153862615534,0.5360480674291513,0.5347791950249255,0.5328572599304047,0.5281035974141897,0.5347601062457871,0.5363530183164146,0.5306083521824325,0.5329892451704501,0.5323353309209145,0.534696410456377,0.5353683565795869,0.5336194774433336,0.5331981225317852,0.5378345928783296,0.5361163125115026,0.5330279696419548,0.5306558611570634,0.5362898116217732,0.531700607923563,0.5325769955218393,0.5347930277513824,0.533490519757312,0.5354020208566193,0.5386503500463601,0.5322948356979267,0.5324986138496743,0.5381860721006549,0.5329122173217242,0.5380035826557014,0.5339565343282867,0.5327935484392867,0.5293596389819479,0.5309217388271155,0.5392882705360011,0.532733256595852,0.5319541714827489,0.5373241381711934,0.5352385131980728,0.5353964063771385,0.5366905594358571,0.5376531841449145,0.5381374049807061,0.5340198046601214,0.5356061350907434,0.5334233225450374,0.5326531465549835,0.5336507356751049,0.534299409295116,0.5322366267203056,0.5329615229088027,0.531735450585784,0.5275416712404278,0.5362253184500075,0.5308231717970757,0.5304568392455262,0.5347569845698046,0.5366691036348668,0.5334792067902155,0.5318364081893262,0.5346030331637001,0.5366025412190256,0.5326699675671649,0.5393767296847751,0.5334470359896983,0.534616683887614,0.5352474360663336,0.5381365616924794,0.535446948750992,0.5449021201276116,0.538076934260011,0.5337154469683906,0.5339149645911841,0.5375116144479035,0.5310735593981497,0.5329042263146185,0.5332345296204056,0.5350746936357039,0.5357753350122615,0.5341928628048902,0.5341093826751436,0.5396244523902709,0.5343331873856653
HR@10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR@2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR@5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lin's AUC,0.27206251246819163,0.2871396102180409,0.2778359290120015,0.27958365988980544,0.2726223085585674,0.2872059719650549,0.27810579320661,0.2731703555429322,0.2847342261900031,0.28015142471832033,0.28398379084341463,0.2785507647906643,0.28361192664075496,0.26453814434274087,0.2702833043626673,0.30950225447743035,0.26445908523329575,0.2844382023983919,0.298975392126152,0.27532309377514425,0.28572428444527015,0.27004037345709064,0.26152790895664657,0.28307975612514796,0.275355694424414,0.2917856461979662,0.2647561732567523,0.27823974601198803,0.2773188915692027,0.295176222941419,0.2733711748782769,0.2742594429265473,0.28352267528955577,0.2961379439959286,0.2824856319234376,0.28441393047009533,0.26898388442075744,0.28483403236231003,0.276220338240005,0.2758161642178954,0.279228041008925,0.27577599509335776,0.2896506008700446,0.2907095483706728,0.26827381046610915,0.2764326874482103,0.27247973729673747,0.26947072394698524,0.2715275270470396,0.2745461585575532,0.292585698967048,0.28868820381964133,0.2682754302783086,0.30756594699837975,0.27173695721305485,0.2741442208321331,0.2749654661673134,0.2652070388283073,0.289500560755353,0.26356959961890797,0.27457022909364015,0.3044163803848165,0.27965607090699973,0.28160152686470846,0.26291567646588676,0.27784417941064193,0.2895506329380254,0.2720629419046557,0.28387151989082143,0.2847644337602229,0.2853957745877354,0.26968901351787705,0.2917286552390043,0.2761328841130558,0.2720091654818491,0.266887666810609,0.26951180252047974,0.28264843866470163,0.2845814589178051,0.26284132340509764,0.2849832685447389,0.2703580985099854,0.3023744578123122,0.26995837715935567,0.26910948134337853,0.27213594161855825,0.27772482481538574,0.274277657799698,0.28708343527705277,0.28288107813010815,0.2995059133702686,0.2799591191685775,0.29012142076245895,0.2717286720777235,0.28688866814391656,0.28697962789034964,0.2878945899748856,0.2669172806061411,0.2760100563416563,0.2775591005282232
NDCGk,0.8844161322003714,0.8893956393813091,0.8873640021299118,0.8821878727593014,0.8872096109600102,0.8886013525940183,0.8883580231108494,0.8896917158734721,0.8822916204440733,0.8869963668965363,0.8853260341368516,0.884917440831682,0.8833443668082662,0.8907151477747206,0.885545047090492,0.8876453285751876,0.888579906126914,0.888803364159871,0.8914321185947083,0.8865179729699668,0.8821684680030016,0.8816564477487953,0.8859845617292781,0.88576283216392,0.8805145087719748,0.8853014684895775,0.8875921544231553,0.8871946058629502,0.8865765803863591,0.8861566068374543,0.8855751053433196,0.8859269095824606,0.8873313021825229,0.8836345436429954,0.8824048823015258,0.8876786812758397,0.8856345982476447,0.8852170334665268,0.8904383631278924,0.8840886612765851,0.8830981970504951,0.8870719664349275,0.8847354780947646,0.8857089643146732,0.891176930963486,0.8858367179652573,0.8883068262234075,0.8855457358807292,0.8814734372264518,0.8830297482702082,0.8822373907869718,0.8854375994959781,0.8868977452937267,0.8866624308084797,0.8851573573437906,0.886610435611226,0.8876581940968461,0.8882073633147851,0.8893156908924119,0.8902367509650293,0.8874497245915285,0.8863212018975603,0.8860398166385931,0.8878604118411202,0.8863849215947589,0.8859316938591355,0.8819263499004816,0.8860464479943104,0.8854059796795245,0.880439940909341,0.8877951235872552,0.8878626194208333,0.8876537844352427,0.8869725036031016,0.889953911386106,0.8874041602910647,0.8875022005229141,0.8880104034122676,0.889147997730891,0.8815076997350806,0.8877922948200621,0.887162301422867,0.8818832710504267,0.8856850691762469,0.8873062830938142,0.8895314944380535,0.8922702917323818,0.8917883992896226,0.8888665203145553,0.8865636113399077,0.8897949889773767,0.8868258651747457,0.8862979149828947,0.8838406666162443,0.8864696017633865,0.8876966425823007,0.8878183191033863,0.8854194076760546,0.8921499827559287,0.8913290877021022
global AUC,0.9152227804878049,0.9173458582317072,0.9171902980182927,0.9167071204268294,0.9159415830792682,0.9171041661585366,0.9164832713414635,0.9161363788109756,0.9227153140243902,0.9155799306402439,0.9169286669207317,0.9154881326219513,0.916866606707317,0.9157869291158537,0.9158895937499999,0.9230159657012196,0.9154222088414634,0.9164704733231708,0.9220069397865854,0.9164077545731707,0.9171598323170732,0.9221871394817073,0.9167903056402439,0.9170449771341465,0.9163270655487804,0.9228057141768293,0.9223798460365853,0.9162876410060977,0.9224769009146343,0.9230418422256099,0.9156060205792683,0.9161861814024389,0.9204931410060977,0.9221553399390242,0.9153075015243902,0.9162930503048781,0.9158011638719513,0.9175277157012196,0.9155588704268292,0.9164773285060974,0.9162064596036585,0.9154790099085366,0.9167412942073172,0.917886874237805,0.9152707423780488,0.9153361867378048,0.915724668445122,0.9155891905487806,0.9166767454268291,0.9218792842987805,0.9170847896341463,0.9222210457317074,0.9156981737804877,0.9208419161585365,0.9156517461890246,0.9161959176829269,0.9161110403963414,0.915769000762195,0.9230158559451221,0.9150138117378048,0.9155786471036585,0.9230068338414635,0.9158695853658537,0.922357544207317,0.9156578513719512,0.9164810571646339,0.9217294283536585,0.9159953384146342,0.9170338643292684,0.9168010015243901,0.9234099306402438,0.9155989054878049,0.9211069001524391,0.9160039466463413,0.9161427088414633,0.9154359077743902,0.9221881615853659,0.9166274039634148,0.9223376455792683,0.9148427606707317,0.9212926974085366,0.9156610396341464,0.9229374192073171,0.9150282332317072,0.915703911585366,0.9164208780487804,0.9156653902439024,0.915719217987805,0.9222456394817073,0.9174701486280488,0.9223667583841464,0.9158478292682927,0.9170976463414635,0.9162464153963414,0.9166537149390245,0.9167143658536585,0.9231954016768293,0.9152991272865854,0.9152870701219512,0.9164636112804879
global NDCG,0.8474925966136858,0.8495551782757323,0.8494176814166055,0.8487771333214602,0.8479273169899564,0.8493164039296603,0.8485590702570069,0.8483096632198199,0.8560515359637929,0.8479803474842224,0.8488390907442798,0.8476643128841523,0.8486752464456708,0.8476891943904389,0.847823886291972,0.8564136160609827,0.8472263683889026,0.8489360766117033,0.8555334151475802,0.8483411952901994,0.8492991781200971,0.855511838967201,0.8496689086657275,0.8491606222197818,0.8485025205645013,0.8563667668600109,0.8557516795086633,0.8482362123100985,0.8554311195032976,0.8562076520065369,0.847895855348985,0.8480915835733025,0.8535289700342034,0.85504830013777,0.8471274240024227,0.8483322961848301,0.847792737248167,0.8492855109797085,0.8477193754652895,0.8485693431853804,0.8481332926866245,0.8474196219575083,0.8484502747327523,0.8498164804043709,0.8473125495515448,0.8474473713278033,0.847710739034249,0.8474834623653944,0.8491214868501583,0.8548170087488401,0.8491723769065577,0.8553128145885848,0.8473185145052637,0.8530332563970904,0.8477509503510406,0.8481562599885487,0.847835638880256,0.8480135437707182,0.8563819418314088,0.846699059519684,0.8476931421958065,0.8572432437029252,0.8478992387315257,0.8552587487986315,0.8480302580120537,0.8486095558529348,0.8551894122079164,0.8482933805631742,0.8492529605254988,0.8489939227473497,0.8565408821552587,0.8477587762576375,0.8540514377159674,0.8480753711510289,0.8481902345196696,0.8474195535040765,0.8555512270496892,0.8489514474540821,0.8557972707519065,0.8469617089471142,0.8540728500204616,0.8478128219743968,0.8560931279400107,0.8472412311455206,0.8475448910463653,0.8484863513642192,0.8477588270747186,0.8478172549770684,0.8555099408298628,0.8495391743785896,0.8555316034485823,0.8478109090451528,0.8490985080851667,0.8482638156148109,0.8485583500635058,0.8488713417014974,0.8561663720830858,0.8475544398544974,0.8474839854380871,0.8483029993785517
