,1_ALSWR,2_ALSWR,3_ALSWR,4_ALSWR,5_ALSWR,6_ALSWR,7_ALSWR,8_ALSWR,9_ALSWR,10_ALSWR,11_ALSWR,12_ALSWR,13_ALSWR,14_ALSWR,15_ALSWR,16_ALSWR,17_ALSWR,18_ALSWR,19_ALSWR,20_ALSWR,21_ALSWR,22_ALSWR,23_ALSWR,24_ALSWR,25_ALSWR,26_ALSWR,27_ALSWR,28_ALSWR,29_ALSWR,30_ALSWR,31_ALSWR,32_ALSWR,33_ALSWR,34_ALSWR,35_ALSWR,36_ALSWR,37_ALSWR,38_ALSWR,39_ALSWR,40_ALSWR,41_ALSWR,42_ALSWR,43_ALSWR,44_ALSWR,45_ALSWR,46_ALSWR,47_ALSWR,48_ALSWR,49_ALSWR,50_ALSWR,51_ALSWR,52_ALSWR,53_ALSWR,54_ALSWR,55_ALSWR,56_ALSWR,57_ALSWR,58_ALSWR,59_ALSWR,60_ALSWR,61_ALSWR,62_ALSWR,63_ALSWR,64_ALSWR,65_ALSWR,66_ALSWR,67_ALSWR,68_ALSWR,69_ALSWR,70_ALSWR,71_ALSWR,72_ALSWR,73_ALSWR,74_ALSWR,75_ALSWR,76_ALSWR,77_ALSWR,78_ALSWR,79_ALSWR,80_ALSWR,81_ALSWR,82_ALSWR,83_ALSWR,84_ALSWR,85_ALSWR,86_ALSWR,87_ALSWR,88_ALSWR,89_ALSWR,90_ALSWR,91_ALSWR,92_ALSWR,93_ALSWR,94_ALSWR,95_ALSWR,96_ALSWR,97_ALSWR,98_ALSWR,99_ALSWR,100_ALSWR
ACC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AUC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HR@10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR@2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR@5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lin's AUC,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
NDCGk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
global AUC,0.0362595419847328,0.0362595419847328,0.0362595419847328,0.0362595419847328,0.0362595419847328,0.0362595419847328,0.0362595419847328,0.0362595419847328,0.0362595419847328,0.0362595419847328,0.0362595419847328,0.0362595419847328,0.0362595419847328,0.0362595419847328,0.0362595419847328,0.0362595419847328,0.0362595419847328,0.0362595419847328,0.0362595419847328,0.0362595419847328,0.0362595419847328,0.0362595419847328,0.0362595419847328,0.0362595419847328,0.0362595419847328,0.0362595419847328,0.0362595419847328,0.0362595419847328,0.0362595419847328,0.0362595419847328,0.0362595419847328,0.0362595419847328,0.0362595419847328,0.0362595419847328,0.0362595419847328,0.0362595419847328,0.0362595419847328,0.0362595419847328,0.0362595419847328,0.0362595419847328,0.0362595419847328,0.0362595419847328,0.0362595419847328,0.0362595419847328,0.0362595419847328,0.0362595419847328,0.0362595419847328,0.0362595419847328,0.0362595419847328,0.0362595419847328,0.0362595419847328,0.0362595419847328,0.0362595419847328,0.0362595419847328,0.0362595419847328,0.0362595419847328,0.0362595419847328,0.0362595419847328,0.0362595419847328,0.0362595419847328,0.0362595419847328,0.0362595419847328,0.0362595419847328,0.0362595419847328,0.0362595419847328,0.0362595419847328,0.0362595419847328,0.0362595419847328,0.0362595419847328,0.0362595419847328,0.0362595419847328,0.0362595419847328,0.0362595419847328,0.0362595419847328,0.0362595419847328,0.0362595419847328,0.0362595419847328,0.0362595419847328,0.0362595419847328,0.0362595419847328,0.0362595419847328,0.0362595419847328,0.0362595419847328,0.0362595419847328,0.0362595419847328,0.0362595419847328,0.0362595419847328,0.0362595419847328,0.0362595419847328,0.0362595419847328,0.0362595419847328,0.0362595419847328,0.0362595419847328,0.0362595419847328,0.0362595419847328,0.0362595419847328,0.0362595419847328,0.0362595419847328,0.0362595419847328,0.0362595419847328
global NDCG,0.7211077900796102,0.7211077900796102,0.7211077900796102,0.7211077900796102,0.7211077900796102,0.7211077900796102,0.7211077900796102,0.7211077900796102,0.7211077900796102,0.7211077900796102,0.7211077900796102,0.7211077900796102,0.7211077900796102,0.7211077900796102,0.7211077900796102,0.7211077900796102,0.7211077900796102,0.7211077900796102,0.7211077900796102,0.7211077900796102,0.7211077900796102,0.7211077900796102,0.7211077900796102,0.7211077900796102,0.7211077900796102,0.7211077900796102,0.7211077900796102,0.7211077900796102,0.7211077900796102,0.7211077900796102,0.7211077900796102,0.7211077900796102,0.7211077900796102,0.7211077900796102,0.7211077900796102,0.7211077900796102,0.7211077900796102,0.7211077900796102,0.7211077900796102,0.7211077900796102,0.7211077900796102,0.7211077900796102,0.7211077900796102,0.7211077900796102,0.7211077900796102,0.7211077900796102,0.7211077900796102,0.7211077900796102,0.7211077900796102,0.7211077900796102,0.7211077900796102,0.7211077900796102,0.7211077900796102,0.7211077900796102,0.7211077900796102,0.7211077900796102,0.7211077900796102,0.7211077900796102,0.7211077900796102,0.7211077900796102,0.7211077900796102,0.7211077900796102,0.7211077900796102,0.7211077900796102,0.7211077900796102,0.7211077900796102,0.7211077900796102,0.7211077900796102,0.7211077900796102,0.7211077900796102,0.7211077900796102,0.7211077900796102,0.7211077900796102,0.7211077900796102,0.7211077900796102,0.7211077900796102,0.7211077900796102,0.7211077900796102,0.7211077900796102,0.7211077900796102,0.7211077900796102,0.7211077900796102,0.7211077900796102,0.7211077900796102,0.7211077900796102,0.7211077900796102,0.7211077900796102,0.7211077900796102,0.7211077900796102,0.7211077900796102,0.7211077900796102,0.7211077900796102,0.7211077900796102,0.7211077900796102,0.7211077900796102,0.7211077900796102,0.7211077900796102,0.7211077900796102,0.7211077900796102,0.7211077900796102
prediction time (sec),0.02585124969482422,0.016165971755981445,0.0284121036529541,0.026413679122924805,0.028119564056396484,0.013287782669067383,0.01793527603149414,0.03723955154418945,0.029920339584350586,0.0168459415435791,0.015449285507202148,0.017049551010131836,0.03691387176513672,0.03926444053649902,0.03356671333312988,0.021471738815307617,0.027341842651367188,0.012918949127197266,0.01804828643798828,0.01269221305847168,0.025934219360351562,0.03117680549621582,0.014753103256225586,0.012455224990844727,0.02103734016418457,0.016463041305541992,0.03303885459899902,0.025875329971313477,0.027854442596435547,0.025572776794433594,0.02261638641357422,0.023967742919921875,0.021050453186035156,0.03180694580078125,0.02053999900817871,0.02419304847717285,0.02522754669189453,0.018894672393798828,0.011695146560668945,0.01561427116394043,0.010585784912109375,0.030181407928466797,0.02831888198852539,0.018311023712158203,0.013510942459106445,0.021169185638427734,0.02631545066833496,0.024425745010375977,0.029106855392456055,0.023467540740966797,0.01604771614074707,0.014034748077392578,0.014545679092407227,0.041011810302734375,0.026958703994750977,0.02319622039794922,0.02393817901611328,0.028731107711791992,0.016102075576782227,0.021786212921142578,0.01835465431213379,0.03290057182312012,0.01886725425720215,0.03079509735107422,0.013596773147583008,0.024988651275634766,0.03267216682434082,0.014449596405029297,0.024953365325927734,0.020967483520507812,0.031679630279541016,0.035463571548461914,0.02989983558654785,0.03931570053100586,0.030771255493164062,0.02811264991760254,0.019112586975097656,0.02327275276184082,0.02522897720336914,0.013477087020874023,0.02199411392211914,0.03575778007507324,0.033234596252441406,0.02476024627685547,0.015567779541015625,0.020021915435791016,0.016869544982910156,0.013180971145629883,0.021209716796875,0.015086650848388672,0.013025760650634766,0.015149354934692383,0.012643098831176758,0.012444257736206055,0.0139007568359375,0.025006771087646484,0.015228033065795898,0.013955354690551758,0.011941671371459961,0.025528907775878906
