,1_BNNR,2_BNNR,3_BNNR,4_BNNR,5_BNNR,6_BNNR,7_BNNR,8_BNNR,9_BNNR,10_BNNR,11_BNNR,12_BNNR,13_BNNR,14_BNNR,15_BNNR,16_BNNR,17_BNNR,18_BNNR,19_BNNR,20_BNNR,21_BNNR,22_BNNR,23_BNNR,24_BNNR,25_BNNR,26_BNNR,27_BNNR,28_BNNR,29_BNNR,30_BNNR,31_BNNR,32_BNNR,33_BNNR,34_BNNR,35_BNNR,36_BNNR,37_BNNR,38_BNNR,39_BNNR,40_BNNR,41_BNNR,42_BNNR,43_BNNR,44_BNNR,45_BNNR,46_BNNR,47_BNNR,48_BNNR,49_BNNR,50_BNNR,51_BNNR,52_BNNR,53_BNNR,54_BNNR,55_BNNR,56_BNNR,57_BNNR,58_BNNR,59_BNNR,60_BNNR,61_BNNR,62_BNNR,63_BNNR,64_BNNR,65_BNNR,66_BNNR,67_BNNR,68_BNNR,69_BNNR,70_BNNR,71_BNNR,72_BNNR,73_BNNR,74_BNNR,75_BNNR,76_BNNR,77_BNNR,78_BNNR,79_BNNR,80_BNNR,81_BNNR,82_BNNR,83_BNNR,84_BNNR,85_BNNR,86_BNNR,87_BNNR,88_BNNR,89_BNNR,90_BNNR,91_BNNR,92_BNNR,93_BNNR,94_BNNR,95_BNNR,96_BNNR,97_BNNR,98_BNNR,99_BNNR,100_BNNR
ACC,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
AUC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HR@10,0.0008771929824561,0.0008771929824561,0.0008771929824561,0.0008771929824561,0.0008771929824561,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404
HR@2,0.0001754385964912,0.0001754385964912,0.0001754385964912,0.0001754385964912,0.0001754385964912,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806
HR@5,0.000438596491228,0.000438596491228,0.000438596491228,0.000438596491228,0.000438596491228,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702
Lin's AUC,0.7613105263157894,0.7644008771929823,0.7606780701754385,0.7637587719298246,0.7617070175438596,0.757090350877193,0.7649561403508773,0.7645298245614035,0.7552298245614036,0.7656991228070174,0.7585289473684211,0.7557526315789473,0.7589982456140352,0.7615157894736843,0.7569596491228072,0.7600921052631578,0.7611298245614035,0.7621166666666667,0.7623666666666667,0.7588043859649123,0.7578078947368422,0.7593535087719299,0.7620596491228069,0.7617447368421053,0.761869298245614,0.7608061403508771,0.7664649122807017,0.7621903508771929,0.7605921052631579,0.7592105263157894,0.7588114035087719,0.7571254385964912,0.7647684210526315,0.7622578947368421,0.7612552631578946,0.7583280701754386,0.7629780701754386,0.765377192982456,0.761601754385965,0.7636368421052631,0.7580877192982456,0.7618807017543859,0.7629684210526316,0.7633543859649123,0.7626543859649123,0.7598561403508771,0.7576280701754387,0.7587429824561404,0.7631649122807018,0.7592482456140351,0.7598026315789473,0.765338596491228,0.7546368421052632,0.7676394736842105,0.7607561403508772,0.7592552631578947,0.7586105263157895,0.7550105263157895,0.7621175438596491,0.764172807017544,0.7624061403508772,0.7596192982456141,0.7604587719298246,0.7604245614035087,0.7626491228070176,0.7638263157894737,0.7573052631578947,0.7687219298245614,0.7576833333333334,0.7617026315789474,0.7616035087719298,0.7487078947368422,0.7583482456140351,0.7606184210526316,0.7633824561403509,0.7622456140350877,0.7627482456140351,0.7618929824561403,0.7636675438596491,0.7601649122807017,0.7609105263157894,0.7635228070175439,0.7695964912280701,0.7588605263157896,0.7632447368421053,0.7595403508771931,0.7665105263157894,0.76360350877193,0.7712385964912281,0.7668394736842106,0.7636850877192982,0.7661868421052632,0.7620938596491228,0.760598245614035,0.756680701754386,0.7584508771929825,0.7640552631578947,0.7612464912280702,0.7638657894736841,0.7596736842105263
NDCGk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
global AUC,0.9827424891745904,0.9829654993080666,0.982721281416008,0.9829894625239946,0.9827877511048616,0.9824756205080132,0.9830605603544486,0.9830009402482032,0.9823071849471006,0.9831280685014061,0.9825784139100934,0.9824125931878042,0.9826314400026783,0.9828015735904648,0.9824880395964466,0.9826742042765948,0.9827670639703586,0.9828197680907103,0.9828503180661579,0.9826004575688585,0.9825697480023213,0.9826326123833758,0.9828387214856479,0.9827819293781528,0.9828263727065757,0.9827430957323333,0.9830229063434668,0.9828990391053971,0.9827459265211375,0.9826243097406366,0.9825772554796662,0.9824769502477568,0.9830313445828311,0.9828589984822107,0.9828066096379626,0.9825331581179412,0.9828962568635328,0.983107229587965,0.9828370965581895,0.9828873197625108,0.9825006450604884,0.9828529993080667,0.9828539161198162,0.9829618409892416,0.9828779507611268,0.9826725849292443,0.9824909094460069,0.9825867818400965,0.982885893486898,0.9826269725681889,0.9826771025847061,0.9830112204812286,0.9823483912548548,0.9831833824382841,0.9827834985045312,0.9826544105173876,0.9825554841301727,0.9823674975447525,0.9828131110218296,0.9829593031561091,0.9828443897593858,0.982666659970537,0.9826888018392035,0.9827229643765903,0.9828194745770279,0.9830035807553236,0.982494145350654,0.9833017415517166,0.9825235815365386,0.9828065449087094,0.9827766718003662,0.9818583578858087,0.9826223544707827,0.9826574215436813,0.9829302798982189,0.9828479911611089,0.9829578880407126,0.9828280260925851,0.9829414004955136,0.9826829505379224,0.9827290455783224,0.9829263526181867,0.9834074762287399,0.9825984710503995,0.9829681922682023,0.9826318367483596,0.9830971664211421,0.9829679936163565,0.9835218031561092,0.9831520467836258,0.9829990351993214,0.9831242885362261,0.9828494843980178,0.9826995312709255,0.9824353879291103,0.9825563574170795,0.9829820660907995,0.9827524664077498,0.982917331815544,0.9826359024150706
global NDCG,0.984985920816413,0.985409762660129,0.9849981739347649,0.9855059684320556,0.9852713452804835,0.9847589090986133,0.9853113282200668,0.9854486398957681,0.9847767797255548,0.9855811161681365,0.9848637563643602,0.9843341160559516,0.9847097485836579,0.9850336345894434,0.984553078717605,0.9847017712178172,0.985241572089105,0.9849672373142623,0.9852025837785869,0.9847627127269354,0.984614740539325,0.9848392327643628,0.9850150830994943,0.9846692760269901,0.9852251428296012,0.9848664479671245,0.9851918693829816,0.9851590447270441,0.98498942580835,0.9848081494285998,0.9848262960349935,0.9847136447349913,0.9851688999501895,0.9851648856074104,0.9850550917549464,0.9846392111192862,0.9850064656591984,0.9856314952924856,0.985129457809046,0.9853619745549336,0.984731303826723,0.9855365799499234,0.9851366366382904,0.9851185910297539,0.9850212642997884,0.9846804481691568,0.9847954100593884,0.9849691346675103,0.9852115170293095,0.9846681634817939,0.9849504126914225,0.9852674404615059,0.9846403230877405,0.9856107564627982,0.9851702566802063,0.9850372115713043,0.984848310350643,0.9845345957983583,0.985222541636309,0.985603436060301,0.9848613564655944,0.9851195052732566,0.9849905939606217,0.985052309355918,0.9849404605510141,0.9853641157812123,0.9845987734314894,0.98554697190825,0.9847974651132695,0.9849204448278179,0.9847049889121734,0.9839744575681422,0.9850009189164387,0.9849433698677258,0.9851577229467176,0.9850695543629925,0.9853233814195851,0.9850470310522554,0.9851704622614964,0.9849051146312563,0.9850813583815633,0.9851781871679366,0.9860728642994224,0.9847432938914303,0.9852355661906385,0.9848110102649907,0.9853193223494291,0.9851791629605664,0.9857196955116115,0.9853170408388496,0.9851271020121809,0.9853620807263788,0.9852653540390226,0.984719345411894,0.984880217584962,0.9847509917140729,0.985445622376302,0.9852769132186259,0.9852738939244237,0.9847963163923096
prediction time (sec),0.0067675113677978,0.0067555904388427,0.0066897869110107,0.0089962482452392,0.0064516067504882,0.006294965744018555,0.005513906478881836,0.005961894989013672,0.005602836608886719,0.005548238754272461,0.005659818649291992,0.008488178253173828,0.006339550018310547,0.007114410400390625,0.005806684494018555,0.005597829818725586,0.0075604915618896484,0.005741119384765625,0.0057086944580078125,0.005604982376098633,0.005750179290771484,0.005568981170654297,0.007545948028564453,0.00563812255859375,0.01368403434753418,0.005672454833984375,0.005676746368408203,0.005558490753173828,0.005619049072265625,0.005731821060180664,0.005639553070068359,0.005670070648193359,0.005667209625244141,0.0055789947509765625,0.0056400299072265625,0.005658149719238281,0.005634307861328125,0.012662410736083984,0.005640506744384766,0.005756855010986328,0.005503654479980469,0.005685567855834961,0.0055310726165771484,0.006211519241333008,0.0073812007904052734,0.005656242370605469,0.006381511688232422,0.0055446624755859375,0.005583047866821289,0.005620002746582031,0.005577564239501953,0.005514621734619141,0.007937192916870117,0.005965471267700195,0.005989551544189453,0.006024599075317383,0.006062746047973633,0.007805347442626953,0.006093025207519531,0.006033658981323242,0.0062007904052734375,0.006073474884033203,0.0059435367584228516,0.011813163757324219,0.005980253219604492,0.005867958068847656,0.006163120269775391,0.006949424743652344,0.006059408187866211,0.006297111511230469,0.00605010986328125,0.006055355072021484,0.005975961685180664,0.006093740463256836,0.006066799163818359,0.006099224090576172,0.007743358612060547,0.007810354232788086,0.006465435028076172,0.005915403366088867,0.005951404571533203,0.007760047912597656,0.008734941482543945,0.006026744842529297,0.008259057998657227,0.007976055145263672,0.007841110229492188,0.007866859436035156,0.006221294403076172,0.005933284759521484,0.006039857864379883,0.005984783172607422,0.00593256950378418,0.0061147212982177734,0.006025791168212891,0.006726741790771484,0.007005929946899414,0.005923748016357422,0.0062618255615234375,0.008861541748046875
