,1_DDA_SKF,2_DDA_SKF,3_DDA_SKF,4_DDA_SKF,5_DDA_SKF,6_DDA_SKF,7_DDA_SKF,8_DDA_SKF,9_DDA_SKF,10_DDA_SKF,11_DDA_SKF,12_DDA_SKF,13_DDA_SKF,14_DDA_SKF,15_DDA_SKF,16_DDA_SKF,17_DDA_SKF,18_DDA_SKF,19_DDA_SKF,20_DDA_SKF,21_DDA_SKF,22_DDA_SKF,23_DDA_SKF,24_DDA_SKF,25_DDA_SKF,26_DDA_SKF,27_DDA_SKF,28_DDA_SKF,29_DDA_SKF,30_DDA_SKF,31_DDA_SKF,32_DDA_SKF,33_DDA_SKF,34_DDA_SKF,35_DDA_SKF,36_DDA_SKF,37_DDA_SKF,38_DDA_SKF,39_DDA_SKF,40_DDA_SKF,41_DDA_SKF,42_DDA_SKF,43_DDA_SKF,44_DDA_SKF,45_DDA_SKF,46_DDA_SKF,47_DDA_SKF,48_DDA_SKF,49_DDA_SKF,50_DDA_SKF,51_DDA_SKF,52_DDA_SKF,53_DDA_SKF,54_DDA_SKF,55_DDA_SKF,56_DDA_SKF,57_DDA_SKF,58_DDA_SKF,59_DDA_SKF,60_DDA_SKF,61_DDA_SKF,62_DDA_SKF,63_DDA_SKF,64_DDA_SKF,65_DDA_SKF,66_DDA_SKF,67_DDA_SKF,68_DDA_SKF,69_DDA_SKF,70_DDA_SKF,71_DDA_SKF,72_DDA_SKF,73_DDA_SKF,74_DDA_SKF,75_DDA_SKF,76_DDA_SKF,77_DDA_SKF,78_DDA_SKF,79_DDA_SKF,80_DDA_SKF,81_DDA_SKF,82_DDA_SKF,83_DDA_SKF,84_DDA_SKF,85_DDA_SKF,86_DDA_SKF,87_DDA_SKF,88_DDA_SKF,89_DDA_SKF,90_DDA_SKF,91_DDA_SKF,92_DDA_SKF,93_DDA_SKF,94_DDA_SKF,95_DDA_SKF,96_DDA_SKF,97_DDA_SKF,98_DDA_SKF,99_DDA_SKF,100_DDA_SKF
ACC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AUC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HR@10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR@2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR@5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lin's AUC,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
NDCGk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
global AUC,0.0362595419847328,0.0362595419847328,0.0362595419847328,0.0362595419847328,0.0362595419847328,0.0362595419847328,0.0362595419847328,0.0362595419847328,0.0362595419847328,0.0362595419847328,0.0362595419847328,0.0362595419847328,0.0362595419847328,0.0362595419847328,0.0362595419847328,0.0362595419847328,0.0362595419847328,0.0362595419847328,0.0362595419847328,0.0362595419847328,0.0362595419847328,0.0362595419847328,0.0362595419847328,0.0362595419847328,0.0362595419847328,0.0362595419847328,0.0362595419847328,0.0362595419847328,0.0362595419847328,0.0362595419847328,0.0362595419847328,0.0362595419847328,0.0362595419847328,0.0362595419847328,0.0362595419847328,0.0362595419847328,0.0362595419847328,0.0362595419847328,0.0362595419847328,0.0362595419847328,0.0362595419847328,0.0362595419847328,0.0362595419847328,0.0362595419847328,0.0362595419847328,0.0362595419847328,0.0362595419847328,0.0362595419847328,0.0362595419847328,0.0362595419847328,0.0362595419847328,0.0362595419847328,0.0362595419847328,0.0362595419847328,0.0362595419847328,0.0362595419847328,0.0362595419847328,0.0362595419847328,0.0362595419847328,0.0362595419847328,0.0362595419847328,0.0362595419847328,0.0362595419847328,0.0362595419847328,0.0362595419847328,0.0362595419847328,0.0362595419847328,0.0362595419847328,0.0362595419847328,0.0362595419847328,0.0362595419847328,0.0362595419847328,0.0362595419847328,0.0362595419847328,0.0362595419847328,0.0362595419847328,0.0362595419847328,0.0362595419847328,0.0362595419847328,0.0362595419847328,0.0362595419847328,0.0362595419847328,0.0362595419847328,0.0362595419847328,0.0362595419847328,0.0362595419847328,0.0362595419847328,0.0362595419847328,0.0362595419847328,0.0362595419847328,0.0362595419847328,0.0362595419847328,0.0362595419847328,0.0362595419847328,0.0362595419847328,0.0362595419847328,0.0362595419847328,0.0362595419847328,0.0362595419847328,0.0362595419847328
global NDCG,0.7211077900796102,0.7211077900796102,0.7211077900796102,0.7211077900796102,0.7211077900796102,0.7211077900796102,0.7211077900796102,0.7211077900796102,0.7211077900796102,0.7211077900796102,0.7211077900796102,0.7211077900796102,0.7211077900796102,0.7211077900796102,0.7211077900796102,0.7211077900796102,0.7211077900796102,0.7211077900796102,0.7211077900796102,0.7211077900796102,0.7211077900796102,0.7211077900796102,0.7211077900796102,0.7211077900796102,0.7211077900796102,0.7211077900796102,0.7211077900796102,0.7211077900796102,0.7211077900796102,0.7211077900796102,0.7211077900796102,0.7211077900796102,0.7211077900796102,0.7211077900796102,0.7211077900796102,0.7211077900796102,0.7211077900796102,0.7211077900796102,0.7211077900796102,0.7211077900796102,0.7211077900796102,0.7211077900796102,0.7211077900796102,0.7211077900796102,0.7211077900796102,0.7211077900796102,0.7211077900796102,0.7211077900796102,0.7211077900796102,0.7211077900796102,0.7211077900796102,0.7211077900796102,0.7211077900796102,0.7211077900796102,0.7211077900796102,0.7211077900796102,0.7211077900796102,0.7211077900796102,0.7211077900796102,0.7211077900796102,0.7211077900796102,0.7211077900796102,0.7211077900796102,0.7211077900796102,0.7211077900796102,0.7211077900796102,0.7211077900796102,0.7211077900796102,0.7211077900796102,0.7211077900796102,0.7211077900796102,0.7211077900796102,0.7211077900796102,0.7211077900796102,0.7211077900796102,0.7211077900796102,0.7211077900796102,0.7211077900796102,0.7211077900796102,0.7211077900796102,0.7211077900796102,0.7211077900796102,0.7211077900796102,0.7211077900796102,0.7211077900796102,0.7211077900796102,0.7211077900796102,0.7211077900796102,0.7211077900796102,0.7211077900796102,0.7211077900796102,0.7211077900796102,0.7211077900796102,0.7211077900796102,0.7211077900796102,0.7211077900796102,0.7211077900796102,0.7211077900796102,0.7211077900796102,0.7211077900796102
prediction time (sec),0.005994319915771484,0.006109476089477539,0.006011247634887695,0.006285190582275391,0.006926774978637695,0.005991935729980469,0.006109952926635742,0.00613856315612793,0.00609588623046875,0.006066322326660156,0.0061321258544921875,0.006094455718994141,0.005944967269897461,0.006212472915649414,0.0060732364654541016,0.006308555603027344,0.0059757232666015625,0.006189584732055664,0.0062024593353271484,0.006258964538574219,0.006510496139526367,0.006139516830444336,0.0061604976654052734,0.006408214569091797,0.006585597991943359,0.006402015686035156,0.006082296371459961,0.00619959831237793,0.012323141098022461,0.006114959716796875,0.006018638610839844,0.006169795989990234,0.006220817565917969,0.00596165657043457,0.006568193435668945,0.007753849029541016,0.0061872005462646484,0.007511615753173828,0.006117343902587891,0.006325960159301758,0.005983114242553711,0.0060613155364990234,0.009840726852416992,0.006106376647949219,0.0063266754150390625,0.005997180938720703,0.006292104721069336,0.008889913558959961,0.0062868595123291016,0.00610041618347168,0.00603175163269043,0.006105184555053711,0.006336212158203125,0.006765604019165039,0.006322622299194336,0.007703304290771484,0.0064046382904052734,0.006158113479614258,0.006163120269775391,0.006078004837036133,0.006249189376831055,0.006772279739379883,0.006168365478515625,0.006150960922241211,0.006190061569213867,0.006566524505615234,0.006112813949584961,0.005979776382446289,0.00590968132019043,0.0062122344970703125,0.00598454475402832,0.005926609039306641,0.006026029586791992,0.006079912185668945,0.006144285202026367,0.006352663040161133,0.006283283233642578,0.0073394775390625,0.005989551544189453,0.0057544708251953125,0.006998300552368164,0.0061800479888916016,0.006047248840332031,0.006231069564819336,0.0062999725341796875,0.006404876708984375,0.006089687347412109,0.006010532379150391,0.00616455078125,0.0062084197998046875,0.007042646408081055,0.00619816780090332,0.007058858871459961,0.0062580108642578125,0.0060961246490478516,0.006567239761352539,0.006092071533203125,0.006113290786743164,0.0061931610107421875,0.006398200988769531
