,1_FastaiCollabWrapper,2_FastaiCollabWrapper,3_FastaiCollabWrapper,4_FastaiCollabWrapper,5_FastaiCollabWrapper,6_FastaiCollabWrapper,7_FastaiCollabWrapper,8_FastaiCollabWrapper,9_FastaiCollabWrapper,10_FastaiCollabWrapper,11_FastaiCollabWrapper,12_FastaiCollabWrapper,13_FastaiCollabWrapper,14_FastaiCollabWrapper,15_FastaiCollabWrapper,16_FastaiCollabWrapper,17_FastaiCollabWrapper,18_FastaiCollabWrapper,19_FastaiCollabWrapper,20_FastaiCollabWrapper,21_FastaiCollabWrapper,22_FastaiCollabWrapper,23_FastaiCollabWrapper,24_FastaiCollabWrapper,25_FastaiCollabWrapper,26_FastaiCollabWrapper,27_FastaiCollabWrapper,28_FastaiCollabWrapper,29_FastaiCollabWrapper,30_FastaiCollabWrapper,31_FastaiCollabWrapper,32_FastaiCollabWrapper,33_FastaiCollabWrapper,34_FastaiCollabWrapper,35_FastaiCollabWrapper,36_FastaiCollabWrapper,37_FastaiCollabWrapper,38_FastaiCollabWrapper,39_FastaiCollabWrapper,40_FastaiCollabWrapper,41_FastaiCollabWrapper,42_FastaiCollabWrapper,43_FastaiCollabWrapper,44_FastaiCollabWrapper,45_FastaiCollabWrapper,46_FastaiCollabWrapper,47_FastaiCollabWrapper,48_FastaiCollabWrapper,49_FastaiCollabWrapper,50_FastaiCollabWrapper,51_FastaiCollabWrapper,52_FastaiCollabWrapper,53_FastaiCollabWrapper,54_FastaiCollabWrapper,55_FastaiCollabWrapper,56_FastaiCollabWrapper,57_FastaiCollabWrapper,58_FastaiCollabWrapper,59_FastaiCollabWrapper,60_FastaiCollabWrapper,61_FastaiCollabWrapper,62_FastaiCollabWrapper,63_FastaiCollabWrapper,64_FastaiCollabWrapper,65_FastaiCollabWrapper,66_FastaiCollabWrapper,67_FastaiCollabWrapper,68_FastaiCollabWrapper,69_FastaiCollabWrapper,70_FastaiCollabWrapper,71_FastaiCollabWrapper,72_FastaiCollabWrapper,73_FastaiCollabWrapper,74_FastaiCollabWrapper,75_FastaiCollabWrapper,76_FastaiCollabWrapper,77_FastaiCollabWrapper,78_FastaiCollabWrapper,79_FastaiCollabWrapper,80_FastaiCollabWrapper,81_FastaiCollabWrapper,82_FastaiCollabWrapper,83_FastaiCollabWrapper,84_FastaiCollabWrapper,85_FastaiCollabWrapper,86_FastaiCollabWrapper,87_FastaiCollabWrapper,88_FastaiCollabWrapper,89_FastaiCollabWrapper,90_FastaiCollabWrapper,91_FastaiCollabWrapper,92_FastaiCollabWrapper,93_FastaiCollabWrapper,94_FastaiCollabWrapper,95_FastaiCollabWrapper,96_FastaiCollabWrapper,97_FastaiCollabWrapper,98_FastaiCollabWrapper,99_FastaiCollabWrapper,100_FastaiCollabWrapper
ACC,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
AUC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HR@10,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404
HR@2,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806
HR@5,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702
Lin's AUC,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
NDCGk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
global AUC,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9907251908396947,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
global NDCG,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9984562169741188,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
prediction time (sec),8.922971487045288,8.82870364189148,7.9790427684783936,9.571912288665771,8.53982663154602,8.8326997756958,8.842808723449707,9.447655439376831,9.045335292816162,9.876096725463867,8.057036876678467,7.820845603942871,8.981488227844238,8.14759111404419,8.53169870376587,8.442307949066162,10.619497060775757,10.707554340362549,10.12091875076294,9.260011672973633,10.814423084259033,9.880019664764404,10.685689926147461,8.161251544952393,11.02851414680481,10.72031545639038,10.99371600151062,10.3337082862854,10.088122606277466,9.599337816238403,8.470720291137695,9.801636457443237,9.244517087936401,8.982023239135742,9.414341688156128,10.091690301895142,10.009097576141357,8.660356283187866,9.229193210601807,8.5124032497406,10.94554591178894,9.64644455909729,9.531471729278564,10.981685400009155,10.956814050674438,9.304301023483276,9.238545417785645,8.305150747299194,9.653900623321533,9.11540699005127,9.075969219207764,10.58887505531311,10.925690650939941,9.938708066940308,10.357986211776733,10.961422681808472,9.128453254699707,10.829190254211426,9.835949182510376,9.505470514297485,9.264585733413696,9.370509147644043,9.550282716751099,9.403267621994019,8.231035709381104,9.436269998550415,9.69563913345337,9.762022018432617,10.72337794303894,10.52193832397461,10.688024282455444,9.648421287536621,10.067288398742676,9.638908386230469,9.742303371429443,9.037707567214966,9.547655820846558,9.692140340805054,9.981133460998535,10.189111948013306,9.648927450180054,9.662652969360352,10.33024787902832,10.140934467315674,10.466811895370483,10.77994704246521,9.39121389389038,10.454344987869263,8.090188026428223,7.852444648742676,8.065682649612427,6.971768379211426,7.079592943191528,6.819330215454102,7.54520320892334,6.412043809890747,6.585865497589111,5.56126594543457,6.516093730926514,6.15125298500061
