,1_HAN,2_HAN,3_HAN,4_HAN,5_HAN,6_HAN,7_HAN,8_HAN,9_HAN,10_HAN,11_HAN,12_HAN,13_HAN,14_HAN,15_HAN,16_HAN,17_HAN,18_HAN,19_HAN,20_HAN,21_HAN,22_HAN,23_HAN,24_HAN,25_HAN,26_HAN,27_HAN,28_HAN,29_HAN,30_HAN,31_HAN,32_HAN,33_HAN,34_HAN,35_HAN,36_HAN,37_HAN,38_HAN,39_HAN,40_HAN,41_HAN,42_HAN,43_HAN,44_HAN,45_HAN,46_HAN,47_HAN,48_HAN,49_HAN,50_HAN,51_HAN,52_HAN,53_HAN,54_HAN,55_HAN,56_HAN,57_HAN,58_HAN,59_HAN,60_HAN,61_HAN,62_HAN,63_HAN,64_HAN,65_HAN,66_HAN,67_HAN,68_HAN,69_HAN,70_HAN,71_HAN,72_HAN,73_HAN,74_HAN,75_HAN,76_HAN,77_HAN,78_HAN,79_HAN,80_HAN,81_HAN,82_HAN,83_HAN,84_HAN,85_HAN,86_HAN,87_HAN,88_HAN,89_HAN,90_HAN,91_HAN,92_HAN,93_HAN,94_HAN,95_HAN,96_HAN,97_HAN,98_HAN,99_HAN,100_HAN
ACC,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
AUC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HR@10,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404
HR@2,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806
HR@5,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702
Lin's AUC,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
NDCGk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
global AUC,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
global NDCG,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
prediction time (sec),0.10047435760498047,0.04832124710083008,0.041727542877197266,0.039151668548583984,0.031110763549804688,0.03386950492858887,0.05222272872924805,0.03738737106323242,0.05031752586364746,0.04701995849609375,0.0441739559173584,0.024552106857299805,0.050626516342163086,0.04753994941711426,0.07097601890563965,0.0461735725402832,0.048766136169433594,0.05916714668273926,0.06763005256652832,0.04033923149108887,0.033257246017456055,0.03592538833618164,0.04196357727050781,0.05709123611450195,0.04632401466369629,0.04713153839111328,0.0584874153137207,0.04154205322265625,0.06509971618652344,0.051283836364746094,0.049527883529663086,0.04477381706237793,0.06566095352172852,0.03637981414794922,0.07049393653869629,0.04135274887084961,0.06346917152404785,0.039742231369018555,0.02641129493713379,0.06683516502380371,0.04272341728210449,0.05094099044799805,0.05006909370422363,0.04217243194580078,0.06780576705932617,0.048055171966552734,0.06838369369506836,0.04817557334899902,0.022492170333862305,0.046933650970458984,0.06624317169189453,0.031070470809936523,0.04840993881225586,0.060353755950927734,0.04880547523498535,0.046480655670166016,0.06568789482116699,0.04692244529724121,0.02965259552001953,0.03989243507385254,0.055835723876953125,0.0564417839050293,0.05054068565368652,0.05698132514953613,0.0460205078125,0.044661521911621094,0.03963589668273926,0.0461580753326416,0.043004751205444336,0.051087379455566406,0.0725717544555664,0.033132076263427734,0.04436922073364258,0.04491162300109863,0.04754757881164551,0.052948713302612305,0.05751347541809082,0.05670595169067383,0.06449341773986816,0.048708438873291016,0.05823802947998047,0.06929540634155273,0.03831744194030762,0.04934549331665039,0.048575401306152344,0.052423954010009766,0.07016897201538086,0.044651031494140625,0.05033254623413086,0.04816484451293945,0.024875879287719727,0.04233741760253906,0.0350494384765625,0.02403569221496582,0.03697633743286133,0.026363611221313477,0.021466970443725586,0.023121118545532227,0.024446725845336914,0.02629566192626953
