,1_LRSSL,2_LRSSL,3_LRSSL,4_LRSSL,5_LRSSL,6_LRSSL,7_LRSSL,8_LRSSL,9_LRSSL,10_LRSSL,11_LRSSL,12_LRSSL,13_LRSSL,14_LRSSL,15_LRSSL,16_LRSSL,17_LRSSL,18_LRSSL,19_LRSSL,20_LRSSL,21_LRSSL,22_LRSSL,23_LRSSL,24_LRSSL,25_LRSSL,26_LRSSL,27_LRSSL,28_LRSSL,29_LRSSL,30_LRSSL,31_LRSSL,32_LRSSL,33_LRSSL,34_LRSSL,35_LRSSL,36_LRSSL,37_LRSSL,38_LRSSL,39_LRSSL,40_LRSSL,41_LRSSL,42_LRSSL,43_LRSSL,44_LRSSL,45_LRSSL,46_LRSSL,47_LRSSL,48_LRSSL,49_LRSSL,50_LRSSL,51_LRSSL,52_LRSSL,53_LRSSL,54_LRSSL,55_LRSSL,56_LRSSL,57_LRSSL,58_LRSSL,59_LRSSL,60_LRSSL,61_LRSSL,62_LRSSL,63_LRSSL,64_LRSSL,65_LRSSL,66_LRSSL,67_LRSSL,68_LRSSL,69_LRSSL,70_LRSSL,71_LRSSL,72_LRSSL,73_LRSSL,74_LRSSL,75_LRSSL,76_LRSSL,77_LRSSL,78_LRSSL,79_LRSSL,80_LRSSL,81_LRSSL,82_LRSSL,83_LRSSL,84_LRSSL,85_LRSSL,86_LRSSL,87_LRSSL,88_LRSSL,89_LRSSL,90_LRSSL,91_LRSSL,92_LRSSL,93_LRSSL,94_LRSSL,95_LRSSL,96_LRSSL,97_LRSSL,98_LRSSL,99_LRSSL,100_LRSSL
ACC,0.14473684210526316,0.14570175438596492,0.14157894736842105,0.1455263157894737,0.1267543859649123,0.1475438596491228,0.14359649122807017,0.14596491228070174,0.14684210526315788,0.14017543859649123,0.14535087719298245,0.1393859649122807,0.1455263157894737,0.14412280701754385,0.1462280701754386,0.14473684210526316,0.14578947368421052,0.1456140350877193,0.14508771929824563,0.1392982456140351,0.12859649122807018,0.14105263157894737,0.1224561403508772,0.14692982456140352,0.1456140350877193,0.14526315789473684,0.14166666666666666,0.14771929824561403,0.14333333333333334,0.14105263157894737,0.12719298245614036,0.14263157894736841,0.14596491228070174,0.1444736842105263,0.14587719298245613,0.1407017543859649,0.14526315789473684,0.14280701754385966,0.1280701754385965,0.12456140350877193,0.1413157894736842,0.146140350877193,0.14482456140350877,0.14736842105263157,0.12377192982456141,0.14596491228070174,0.1444736842105263,0.14587719298245613,0.1456140350877193,0.1407017543859649,0.1386842105263158,0.14570175438596492,0.12543859649122807,0.12859649122807018,0.14201754385964913,0.14263157894736841,0.14482456140350877,0.1463157894736842,0.1394736842105263,0.14684210526315788,0.12736842105263158,0.12552631578947368,0.14149122807017545,0.12394736842105263,0.1455263157894737,0.14526315789473684,0.14570175438596492,0.1425438596491228,0.12280701754385964,0.1474561403508772,0.14421052631578948,0.14482456140350877,0.1464035087719298,0.14570175438596492,0.14473684210526316,0.14605263157894738,0.14464912280701755,0.14333333333333334,0.1464035087719298,0.14491228070175438,0.14657894736842106,0.14578947368421052,0.1455263157894737,0.14087719298245613,0.14701754385964913,0.14517543859649124,0.1456140350877193,0.1406140350877193,0.14228070175438595,0.1442982456140351,0.14578947368421052,0.12789473684210526,0.14675438596491228,0.12087719298245614,0.12377192982456141,0.12482456140350877,0.14491228070175438,0.12736842105263158,0.1281578947368421,0.145
AUC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HR@10,0.0,0.0002631578947368421,0.0008771929824561404,0.0,0.0,0.0,0.0,0.0,0.0008771929824561404,0.0,0.0007894736842105263,0.0,0.0,0.0,0.0,0.0007894736842105263,0.0,0.0,0.0,0.0,0.0,0.0008771929824561404,0.0,0.0002631578947368421,0.0003508771929824561,0.0007017543859649122,0.0,8.771929824561403e-05,0.0,0.0006140350877192983,0.0,0.0007894736842105263,0.0,0.0,0.0,0.0,0.0008771929824561404,0.0004385964912280702,0.0,0.0,0.0,8.771929824561403e-05,0.0,0.0008771929824561404,0.0,0.0,0.0008771929824561404,8.771929824561403e-05,0.0008771929824561404,0.0,0.0,0.0,0.0,0.0,0.0008771929824561404,0.0,0.0002631578947368421,0.0,0.0,0.0008771929824561404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003508771929824561,0.0,0.0,0.0,0.0,0.0008771929824561404,0.0,0.0006140350877192983,0.0008771929824561404,0.0,0.0007894736842105263,0.0,0.0008771929824561404,0.0006140350877192983,0.0,0.0,0.0,0.0008771929824561404,0.0,0.0008771929824561404,0.0,0.0,0.0,0.0007894736842105263,0.0,0.0005263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR@2,0.0,0.0,0.00017543859649122806,0.0,0.0,0.0,0.0,0.0,0.00017543859649122806,0.0,8.771929824561403e-05,0.0,0.0,0.0,0.0,0.00017543859649122806,0.0,0.0,0.0,0.0,0.0,0.00017543859649122806,0.0,0.0,0.0,8.771929824561403e-05,0.0,0.0,0.0,0.00017543859649122806,0.0,0.00017543859649122806,0.0,0.0,0.0,0.0,0.00017543859649122806,0.0,0.0,0.0,0.0,0.0,0.0,0.00017543859649122806,0.0,0.0,0.00017543859649122806,0.0,0.00017543859649122806,0.0,0.0,0.0,0.0,0.0,0.00017543859649122806,0.0,0.0,0.0,0.0,0.00017543859649122806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00017543859649122806,0.0,0.0,0.00017543859649122806,0.0,8.771929824561403e-05,0.0,0.00017543859649122806,0.0,0.0,0.0,0.0,0.00017543859649122806,0.0,0.00017543859649122806,0.0,0.0,0.0,0.00017543859649122806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR@5,0.0,0.0,0.0004385964912280702,0.0,0.0,0.0,0.0,0.0,0.0004385964912280702,0.0,0.0003508771929824561,0.0,0.0,0.0,0.0,0.0004385964912280702,0.0,0.0,0.0,0.0,0.0,0.0004385964912280702,0.0,0.0,0.0,0.0002631578947368421,0.0,0.0,0.0,0.0003508771929824561,0.0,0.0003508771929824561,0.0,0.0,0.0,0.0,0.0004385964912280702,0.0,0.0,0.0,0.0,0.0,0.0,0.0004385964912280702,0.0,0.0,0.0004385964912280702,0.0,0.0004385964912280702,0.0,0.0,0.0,0.0,0.0,0.0004385964912280702,0.0,0.0,0.0,0.0,0.0004385964912280702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00017543859649122806,0.0,0.0,0.0,0.0,0.0004385964912280702,0.0,0.00017543859649122806,0.0004385964912280702,0.0,0.0003508771929824561,0.0,0.0004385964912280702,0.00017543859649122806,0.0,0.0,0.0,0.0004385964912280702,0.0,0.0004385964912280702,0.0,0.0,0.0,0.0004385964912280702,0.0,0.00017543859649122806,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lin's AUC,0.2789219298245614,0.27506578947368415,0.27933245614035085,0.2791614035087719,0.25826228070175444,0.2777570175438597,0.27228421052631574,0.2774175438596491,0.27854385964912276,0.2847675438596491,0.27810964912280706,0.27580964912280703,0.27048421052631577,0.27293596491228067,0.2795938596491228,0.27084912280701756,0.2822035087719298,0.280609649122807,0.2783938596491228,0.27432105263157897,0.26255526315789474,0.2712070175438596,0.2597833333333333,0.2802280701754386,0.27774649122807016,0.27963421052631576,0.2759114035087719,0.28071052631578947,0.2771868421052632,0.278040350877193,0.26008859649122806,0.2805666666666667,0.2744719298245614,0.2741982456140351,0.2733701754385965,0.280030701754386,0.2715543859649123,0.2800535087719298,0.25936315789473685,0.2583535087719298,0.27272543859649123,0.2771087719298246,0.27523157894736844,0.27503947368421056,0.2616192982456141,0.2781938596491228,0.2775394736842105,0.28210526315789475,0.2758947368421053,0.2826315789473684,0.2751842105263158,0.2763912280701754,0.2621342105263158,0.2655754385964912,0.2789043859649123,0.2761236842105263,0.28605964912280707,0.27886754385964907,0.27330263157894735,0.27562105263157893,0.26121754385964907,0.2562526315789474,0.2782122807017544,0.25384122807017545,0.27611754385964915,0.2750298245614035,0.27955614035087717,0.2764219298245614,0.25877807017543863,0.2792991228070175,0.2762578947368421,0.27899473684210524,0.27091929824561406,0.27810701754385964,0.2738921052631579,0.27490087719298245,0.2780280701754386,0.28390526315789477,0.2740087719298246,0.2799,0.2839894736842105,0.2782649122807017,0.28008508771929824,0.2813789473684211,0.2775885964912281,0.2770736842105263,0.2824798245614035,0.27308508771929824,0.27084298245614036,0.2763728070175439,0.2785175438596491,0.2648956140350877,0.2779315789473684,0.24986754385964915,0.2613,0.2607956140350877,0.27589122807017546,0.264278947368421,0.2561131578947368,0.2749298245614035
NDCGk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
global AUC,0.15824998883978397,0.15907132717289407,0.15484936163564128,0.15875797174233297,0.13880794830587923,0.16073351412883352,0.15670869380831215,0.15909419110753983,0.15989618543815007,0.15383405428329092,0.1584829271014687,0.15257331480737468,0.15841541449042457,0.15726593678853623,0.15963106557742957,0.15781720124101603,0.15938683429311193,0.1590344471228963,0.15866963974822554,0.15245315834114545,0.1408895596178742,0.1542254877014419,0.13468943685549753,0.16046190906655955,0.15906251953037812,0.15853191375385026,0.15456641221374048,0.16125551537877772,0.15650526762198116,0.15439485737243874,0.13948210236150174,0.1563989632159279,0.15905546850587024,0.15774165327440734,0.15889953685103345,0.15426212669077272,0.15823977612606582,0.15631813535110045,0.140204009865631,0.13652031605731887,0.15447629904914956,0.15939515646622918,0.15810302441855273,0.1605429902682916,0.1358564349805812,0.15918219387527338,0.15788015713584214,0.1594159836614437,0.1589206832284273,0.15446274050265615,0.1518588143386456,0.15904584058747379,0.13763608879067898,0.1409475581447257,0.15559829025489935,0.15604268782643632,0.15850313936877813,0.15936757957234046,0.1526091123164144,0.1600070186598812,0.1394773793580644,0.13754744765858665,0.1549069137538503,0.13573151087005045,0.15870048993348515,0.15841185884558726,0.15904745435471634,0.1558268068389804,0.13485952078032226,0.16073437681353508,0.1575088734877908,0.1583401555734119,0.1594474085978304,0.15918207557698322,0.1580505546627383,0.15923300857104594,0.15794639525021203,0.15690644167671086,0.15962114302932906,0.15834635842149902,0.15998492812820853,0.1591111445917593,0.15903466363108792,0.15473509441542796,0.16036557631355744,0.15829408843355214,0.15905529663854298,0.153722151912861,0.15505616267130926,0.15746804830141517,0.15940118856301053,0.14047711486094372,0.1600057218427748,0.1328153408329985,0.1359426498817017,0.13703826726485427,0.15822402013302977,0.1396381099058078,0.14027185170304896,0.158302706352395
global NDCG,0.7863990319185766,0.7901949114470878,0.7913298958346788,0.787969021238809,0.7729748034955641,0.7889004463074542,0.7870184703934101,0.7880892104410866,0.7938989361273809,0.7850658823752912,0.7927528419971153,0.7864787977225659,0.7875635899463862,0.7874520713130702,0.7867403300271786,0.794227483598536,0.7848954861385149,0.7878639142521457,0.7886324815164399,0.7852321078482413,0.7729329523286261,0.7933099924450614,0.7694731662415407,0.791936024641446,0.7904685292530506,0.7926437697347892,0.7851320170864929,0.7899418770840089,0.7865233027476887,0.791209735059345,0.7736320195388461,0.7933369122978788,0.7883520712245662,0.7888803302742521,0.7876283964287301,0.7860451862873585,0.793208984623038,0.7888421624634568,0.7737993601881126,0.7701751012952774,0.7856583931766553,0.7891617976056398,0.7872754982694342,0.7954201732708862,0.7712006024964867,0.7872520392934947,0.7937454632288946,0.7891663392000784,0.7940879959582396,0.7867101393419862,0.7834984464383306,0.7899452076782592,0.7711410598518718,0.7730648823438664,0.7936261584789103,0.787084515894424,0.789302795170462,0.78686414441703,0.7847122732113622,0.7954654004031102,0.771963918898763,0.7709988743739113,0.7882689624349518,0.7708427659401702,0.7887208550128633,0.7881382243333387,0.7887168483839726,0.7897070910089934,0.7719732460119663,0.7883602847603871,0.7867987250254899,0.7884854562762547,0.7946901054300191,0.7879496956191915,0.7922747139152441,0.7939260079630105,0.7864366379452329,0.791749929533811,0.7882352854409339,0.7956257781068096,0.7914001035758573,0.7892541661153609,0.7884632771829524,0.7848694236427843,0.7941605197991475,0.7874319278154351,0.7935976425893424,0.7849278036305658,0.786165510109645,0.787534910192692,0.7940701166544025,0.7728401947680605,0.7915013837633873,0.7687248740086317,0.7728858073885764,0.7720930705651965,0.7878833256961767,0.7716565215221806,0.7745370023594558,0.7855394318340343
prediction time (sec),1.2907159328460693,1.0834813117980957,1.0866858959197998,1.5157768726348877,1.102454662322998,1.0553908348083496,0.9227800369262695,1.4841406345367432,1.0193817615509033,1.0384857654571533,0.3982818126678467,0.383944034576416,0.3794384002685547,0.6693217754364014,0.3817305564880371,0.38231587409973145,0.3829066753387451,0.3834106922149658,0.3675713539123535,0.3743858337402344,0.37084126472473145,0.3749227523803711,0.37482595443725586,0.3723571300506592,0.3768007755279541,0.6663622856140137,0.38997411727905273,0.38384032249450684,0.37798380851745605,0.3932533264160156,0.3847026824951172,0.6732988357543945,0.6748301982879639,0.6678287982940674,0.665888786315918,0.674156904220581,0.6685774326324463,0.6709773540496826,0.3782057762145996,0.3731842041015625,0.3791334629058838,0.38122105598449707,0.389981746673584,0.389451265335083,0.38991689682006836,0.6770131587982178,0.6740992069244385,0.3901965618133545,0.6746907234191895,0.37589597702026367,0.372725248336792,0.3933563232421875,0.3783106803894043,0.37584948539733887,0.38478946685791016,0.3747124671936035,0.3749361038208008,0.3822457790374756,0.37574076652526855,0.3678116798400879,0.37259888648986816,0.3817594051361084,0.3754405975341797,0.3837456703186035,0.3845503330230713,0.6639432907104492,0.3697817325592041,0.37947988510131836,0.7738649845123291,0.38417911529541016,0.7865526676177979,0.3756277561187744,0.38750267028808594,0.39966750144958496,0.372234582901001,0.3853602409362793,0.38028573989868164,0.7827877998352051,0.38544750213623047,0.3752601146697998,0.37848591804504395,0.37616801261901855,0.38176584243774414,0.7802903652191162,0.659205436706543,0.38724303245544434,0.3835258483886719,0.6664996147155762,0.6871035099029541,0.37718796730041504,0.3811807632446289,0.3781774044036865,0.3740818500518799,0.38705015182495117,0.3885073661804199,0.670433521270752,0.7654314041137695,0.7634108066558838,0.3809077739715576,0.6644105911254883
