,1_LibMF,2_LibMF,3_LibMF,4_LibMF,5_LibMF,6_LibMF,7_LibMF,8_LibMF,9_LibMF,10_LibMF,11_LibMF,12_LibMF,13_LibMF,14_LibMF,15_LibMF,16_LibMF,17_LibMF,18_LibMF,19_LibMF,20_LibMF,21_LibMF,22_LibMF,23_LibMF,24_LibMF,25_LibMF,26_LibMF,27_LibMF,28_LibMF,29_LibMF,30_LibMF,31_LibMF,32_LibMF,33_LibMF,34_LibMF,35_LibMF,36_LibMF,37_LibMF,38_LibMF,39_LibMF,40_LibMF,41_LibMF,42_LibMF,43_LibMF,44_LibMF,45_LibMF,46_LibMF,47_LibMF,48_LibMF,49_LibMF,50_LibMF,51_LibMF,52_LibMF,53_LibMF,54_LibMF,55_LibMF,56_LibMF,57_LibMF,58_LibMF,59_LibMF,60_LibMF,61_LibMF,62_LibMF,63_LibMF,64_LibMF,65_LibMF,66_LibMF,67_LibMF,68_LibMF,69_LibMF,70_LibMF,71_LibMF,72_LibMF,73_LibMF,74_LibMF,75_LibMF,76_LibMF,77_LibMF,78_LibMF,79_LibMF,80_LibMF,81_LibMF,82_LibMF,83_LibMF,84_LibMF,85_LibMF,86_LibMF,87_LibMF,88_LibMF,89_LibMF,90_LibMF,91_LibMF,92_LibMF,93_LibMF,94_LibMF,95_LibMF,96_LibMF,97_LibMF,98_LibMF,99_LibMF,100_LibMF
ACC,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
AUC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HR@10,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404
HR@2,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806
HR@5,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702
Lin's AUC,0.44733157894736836,0.44733157894736836,0.44733157894736836,0.44733157894736836,0.44733157894736836,0.44733157894736836,0.44733157894736836,0.44733157894736836,0.44733157894736836,0.44733157894736836,0.44733157894736836,0.44733157894736836,0.44733157894736836,0.44733157894736836,0.44733157894736836,0.44733157894736836,0.44733157894736836,0.44733157894736836,0.44733157894736836,0.44733157894736836,0.44733157894736836,0.44733157894736836,0.44733157894736836,0.44733157894736836,0.44733157894736836,0.44733157894736836,0.44733157894736836,0.44733157894736836,0.44733157894736836,0.44733157894736836,0.44733157894736836,0.44733157894736836,0.44733157894736836,0.44733157894736836,0.44733157894736836,0.44733157894736836,0.44733157894736836,0.44733157894736836,0.44733157894736836,0.44733157894736836,0.44733157894736836,0.44733157894736836,0.44733157894736836,0.44733157894736836,0.44733157894736836,0.44733157894736836,0.44733157894736836,0.44733157894736836,0.44733157894736836,0.44733157894736836,0.44733157894736836,0.44733157894736836,0.44733157894736836,0.44733157894736836,0.44733157894736836,0.44733157894736836,0.44733157894736836,0.44733157894736836,0.44733157894736836,0.44733157894736836,0.44733157894736836,0.44733157894736836,0.44733157894736836,0.44733157894736836,0.44733157894736836,0.44733157894736836,0.44733157894736836,0.44733157894736836,0.44733157894736836,0.44733157894736836,0.44733157894736836,0.44733157894736836,0.44733157894736836,0.44733157894736836,0.44733157894736836,0.44733157894736836,0.44733157894736836,0.44733157894736836,0.44733157894736836,0.44733157894736836,0.44733157894736836,0.44733157894736836,0.44733157894736836,0.44733157894736836,0.44733157894736836,0.44733157894736836,0.44733157894736836,0.44733157894736836,0.44733157894736836,0.44733157894736836,0.44733157894736836,0.44733157894736836,0.44733157894736836,0.44733157894736836,0.44733157894736836,0.44733157894736836,0.44733157894736836,0.44733157894736836,0.44733157894736836,0.44733157894736836
NDCGk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
global AUC,0.9758250703093613,0.9758250703093613,0.9758250703093613,0.9758250703093613,0.9758250703093613,0.9758250703093613,0.9758250703093613,0.9758250703093613,0.9758250703093613,0.9758250703093613,0.9758250703093613,0.9758250703093613,0.9758250703093613,0.9758250703093613,0.9758250703093613,0.9758250703093613,0.9758250703093613,0.9758250703093613,0.9758250703093613,0.9758250703093613,0.9758250703093613,0.9758250703093613,0.9758250703093613,0.9758250703093613,0.9758250703093613,0.9758250703093613,0.9758250703093613,0.9758250703093613,0.9758250703093613,0.9758250703093613,0.9758250703093613,0.9758250703093613,0.9758250703093613,0.9758250703093613,0.9758250703093613,0.9758250703093613,0.9758250703093613,0.9758250703093613,0.9758250703093613,0.9758250703093613,0.9758250703093613,0.9758250703093613,0.9758250703093613,0.9758250703093613,0.9758250703093613,0.9758250703093613,0.9758250703093613,0.9758250703093613,0.9758250703093613,0.9758250703093613,0.9758250703093613,0.9758250703093613,0.9758250703093613,0.9758250703093613,0.9758250703093613,0.9758250703093613,0.9758250703093613,0.9758250703093613,0.9758250703093613,0.9758250703093613,0.9758250703093613,0.9758250703093613,0.9758250703093613,0.9758250703093613,0.9758250703093613,0.9758250703093613,0.9758250703093613,0.9758250703093613,0.9758250703093613,0.9758250703093613,0.9758250703093613,0.9758250703093613,0.9758250703093613,0.9758250703093613,0.9758250703093613,0.9758250703093613,0.9758250703093613,0.9758250703093613,0.9758250703093613,0.9758250703093613,0.9758250703093613,0.9758250703093613,0.9758250703093613,0.9758250703093613,0.9758250703093613,0.9758250703093613,0.9758250703093613,0.9758250703093613,0.9758250703093613,0.9758250703093613,0.9758250703093613,0.9758250703093613,0.9758250703093613,0.9758250703093613,0.9758250703093613,0.9758250703093613,0.9758250703093613,0.9758250703093613,0.9758250703093613,0.9758250703093613
global NDCG,0.9796582010885599,0.9797498235279418,0.9796766346729157,0.9796492164181267,0.9797458034859261,0.9797536100300095,0.9796730677644033,0.979651654343148,0.9797490630131027,0.9796681347665159,0.979649755268511,0.9797353728190358,0.9797375718022058,0.9796655992607773,0.979754140549274,0.9796690493494349,0.9797552126536375,0.9796805717733481,0.9796486497347354,0.979772842302972,0.9796921271885392,0.9796761687465586,0.9797340586213918,0.9796488243513193,0.9796538756823159,0.9797439766265548,0.9796456812664648,0.9796322907059544,0.9796987995052243,0.9797452046895683,0.9796853880607257,0.9797530958799229,0.9797373603791869,0.9796489942428723,0.9796606806135768,0.9796668940619596,0.9796973549109835,0.9796491931723655,0.9796488243513193,0.9796535939765586,0.979611556504815,0.9796885356939733,0.979654605820614,0.9797148015618381,0.9796600606151065,0.9796952440318389,0.979726810141377,0.9796823679900394,0.9796990580443106,0.9797626343020278,0.9797282577983646,0.9796685704264037,0.979632310368819,0.9797684811683502,0.979665149586654,0.9796662497545824,0.9796322907059544,0.9797391956649059,0.9796948195468305,0.9797490413946492,0.9797460527842003,0.9797396368647487,0.9797616941478902,0.9796709878790094,0.9797408918504802,0.9796728447378491,0.9797437022079786,0.9796463293626229,0.9797575704786993,0.9797578107098774,0.9797682986972537,0.9797470267039456,0.9797121085594841,0.9796486540254473,0.9796322907059544,0.9797620560095983,0.9796996037312337,0.9796715429131212,0.9797086240254683,0.9796727247668653,0.9796322907059544,0.9796370551630078,0.9797456583269168,0.979626223852743,0.979753348789591,0.979646126569322,0.9796767967718872,0.9797575114903284,0.9796322907059544,0.9796639591364185,0.9797525161578046,0.9796727105455231,0.9796968332311952,0.9797616503830068,0.979632310368819,0.9796643017657919,0.9797416529368582,0.9797521709546813,0.9797532326690784,0.9797351752517266
prediction time (sec),0.0013599395751953125,0.0011372566223144531,0.001268148422241211,0.0010199546813964844,0.0011014938354492188,0.0010211467742919922,0.0010840892791748047,0.013067245483398438,0.001026153564453125,0.0011017322540283203,0.0011284351348876953,0.0010416507720947266,0.0012013912200927734,0.0010099411010742188,0.0012047290802001953,0.0010890960693359375,0.0013401508331298828,0.0013947486877441406,0.0011699199676513672,0.0013322830200195312,0.0012598037719726562,0.0011487007141113281,0.0011489391326904297,0.0010552406311035156,0.001081705093383789,0.0010347366333007812,0.0011661052703857422,0.0011489391326904297,0.001089334487915039,0.0011701583862304688,0.0010979175567626953,0.0012264251708984375,0.0011060237884521484,0.0010902881622314453,0.0010192394256591797,0.0010645389556884766,0.001024484634399414,0.0010368824005126953,0.0011622905731201172,0.001277923583984375,0.001300811767578125,0.0011720657348632812,0.001249074935913086,0.0010738372802734375,0.0011699199676513672,0.0010411739349365234,0.001178741455078125,0.0012187957763671875,0.0010247230529785156,0.0010068416595458984,0.0010366439819335938,0.0010275840759277344,0.0010404586791992188,0.0011858940124511719,0.0012998580932617188,0.001222848892211914,0.0010423660278320312,0.001046895980834961,0.0011730194091796875,0.0012202262878417969,0.001110076904296875,0.0012278556823730469,0.0011816024780273438,0.001062631607055664,0.0010056495666503906,0.001024484634399414,0.0010144710540771484,0.001058816909790039,0.0011763572692871094,0.0013005733489990234,0.0012619495391845703,0.0016779899597167969,0.0010445117950439453,0.01308751106262207,0.0012195110321044922,0.0011203289031982422,0.0011525154113769531,0.001257181167602539,0.0010752677917480469,0.0010211467742919922,0.001094818115234375,0.0010304450988769531,0.001068115234375,0.0011878013610839844,0.0011928081512451172,0.0012705326080322266,0.001024484634399414,0.001024484634399414,0.0011036396026611328,0.0010519027709960938,0.0011563301086425781,0.0011229515075683594,0.0012841224670410156,0.001043081283569336,0.001077413558959961,0.0011529922485351562,0.0010673999786376953,0.0011262893676757812,0.0011110305786132812,0.0011162757873535156
