,1_LogisticMF,2_LogisticMF,3_LogisticMF,4_LogisticMF,5_LogisticMF,6_LogisticMF,7_LogisticMF,8_LogisticMF,9_LogisticMF,10_LogisticMF,11_LogisticMF,12_LogisticMF,13_LogisticMF,14_LogisticMF,15_LogisticMF,16_LogisticMF,17_LogisticMF,18_LogisticMF,19_LogisticMF,20_LogisticMF,21_LogisticMF,22_LogisticMF,23_LogisticMF,24_LogisticMF,25_LogisticMF,26_LogisticMF,27_LogisticMF,28_LogisticMF,29_LogisticMF,30_LogisticMF,31_LogisticMF,32_LogisticMF,33_LogisticMF,34_LogisticMF,35_LogisticMF,36_LogisticMF,37_LogisticMF,38_LogisticMF,39_LogisticMF,40_LogisticMF,41_LogisticMF,42_LogisticMF,43_LogisticMF,44_LogisticMF,45_LogisticMF,46_LogisticMF,47_LogisticMF,48_LogisticMF,49_LogisticMF,50_LogisticMF,51_LogisticMF,52_LogisticMF,53_LogisticMF,54_LogisticMF,55_LogisticMF,56_LogisticMF,57_LogisticMF,58_LogisticMF,59_LogisticMF,60_LogisticMF,61_LogisticMF,62_LogisticMF,63_LogisticMF,64_LogisticMF,65_LogisticMF,66_LogisticMF,67_LogisticMF,68_LogisticMF,69_LogisticMF,70_LogisticMF,71_LogisticMF,72_LogisticMF,73_LogisticMF,74_LogisticMF,75_LogisticMF,76_LogisticMF,77_LogisticMF,78_LogisticMF,79_LogisticMF,80_LogisticMF,81_LogisticMF,82_LogisticMF,83_LogisticMF,84_LogisticMF,85_LogisticMF,86_LogisticMF,87_LogisticMF,88_LogisticMF,89_LogisticMF,90_LogisticMF,91_LogisticMF,92_LogisticMF,93_LogisticMF,94_LogisticMF,95_LogisticMF,96_LogisticMF,97_LogisticMF,98_LogisticMF,99_LogisticMF,100_LogisticMF
ACC,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
AUC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HR@10,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0007894736842105263,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404
HR@2,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,8.771929824561403e-05,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806
HR@5,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0003508771929824561,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702
Lin's AUC,0.9934675438596491,0.9945482456140352,0.9948342105263157,0.9945684210526315,0.9944447368421052,0.9916140350877193,0.99544649122807,0.9934798245614035,0.9933342105263157,0.9943824561403509,0.9954052631578948,0.9941219298245615,0.9919491228070175,0.9930122807017544,0.9947140350877194,0.9924184210526316,0.9934122807017544,0.9935956140350878,0.9945833333333333,0.9941675438596491,0.9923982456140351,0.9947473684210526,0.99505,0.9957798245614037,0.9934675438596492,0.9944184210526316,0.994280701754386,0.9945912280701754,0.9941035087719298,0.9947815789473684,0.9929824561403507,0.9946929824561404,0.9948184210526316,0.995609649122807,0.9929964912280703,0.9953491228070176,0.9948736842105261,0.9951008771929823,0.9936824561403508,0.9939394736842104,0.9958236842105262,0.9925649122807018,0.9940692982456139,0.994840350877193,0.994509649122807,0.9944947368421054,0.9949587719298246,0.9951394736842106,0.993636842105263,0.9951447368421052,0.9947508771929824,0.9924201754385964,0.9943122807017545,0.9943350877192983,0.9940850877192983,0.9941342105263158,0.9944842105263159,0.9949,0.9945684210526317,0.9940991228070175,0.9951991228070175,0.9931008771929826,0.9942131578947369,0.9936087719298244,0.9937342105263157,0.9932543859649122,0.9936587719298244,0.9948008771929825,0.993940350877193,0.9934692982456141,0.9958008771929826,0.9932245614035087,0.9943859649122807,0.9933666666666667,0.994909649122807,0.9944043859649124,0.9947359649122806,0.9945631578947368,0.993669298245614,0.9948333333333332,0.9942578947368421,0.9942271929824561,0.9934289473684209,0.9946570175438598,0.9955684210526315,0.9957394736842105,0.9954771929824562,0.994042105263158,0.9943140350877193,0.9948649122807018,0.9946947368421053,0.9945184210526318,0.9941561403508773,0.9960614035087719,0.9956245614035089,0.9946622807017544,0.9940894736842105,0.9953315789473686,0.9943631578947368,0.994088596491228
NDCGk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
global AUC,0.9991320376322486,0.999189993750279,0.9993400819159859,0.9992084482835589,0.9992555935002903,0.9988834683719477,0.9994779150484354,0.9991892594080621,0.9991724844872996,0.9992753392705683,0.9994938629971878,0.9990292855229679,0.9988129268782643,0.9989935672514622,0.9993382349002277,0.9990012711486095,0.9992215481451722,0.9990592228025534,0.9992391824025714,0.9992749698674166,0.9990940661131201,0.9993389134413643,0.9993620887460382,0.9992869403151647,0.999149530154904,0.9992902761037454,0.999266810633454,0.9993982143654302,0.9992886031873578,0.9992569751350386,0.99903259452703,0.9994196163117719,0.9993097216642115,0.9993791917771527,0.9991367070666488,0.9994266238114371,0.9991423641801706,0.9993373264586403,0.9991785913575287,0.9991326246596135,0.9994764541761529,0.9988675405115843,0.9992328065711353,0.9993862997187627,0.9990780076782286,0.9993086447033616,0.9993202546761305,0.9993952557921522,0.9991930371411991,0.9992689745993483,0.9992018046069373,0.9989458216151065,0.9993767175572519,0.9992763883308782,0.9992320141957949,0.9994260323199857,0.9993341056202848,0.9993156745234587,0.9993141399937503,0.9992077965269408,0.9993190940136601,0.9990382226239901,0.9993045064952457,0.9992335085487256,0.9992750580331236,0.9990691230302219,0.9991077317976876,0.9992809082183831,0.9993092250345967,0.9991839136645686,0.9996109068791572,0.9990370909780814,0.9992306638096514,0.9991365218070623,0.9993053669479043,0.9992339627695193,0.9993679266550602,0.9993121077184055,0.99902918284898,0.9992639156734074,0.9992722278023303,0.9991663441364225,0.9990646634078837,0.9991873454310075,0.9993619034864515,0.9994605475202,0.9994960883442702,0.9990772320432124,0.9993368242489176,0.9993110318735772,0.999314546225615,0.9993161287442526,0.9992638029552251,0.9993555633677068,0.9992684813177983,0.9992919278157225,0.9992781192803892,0.9993881032096782,0.9992082384714969,0.9991523057006384
global NDCG,0.9992050266151711,0.9992833139612398,0.9993173452980615,0.9993066939329166,0.9990963950516872,0.9989866033255067,0.9994470585380997,0.9993378289979238,0.9992647542775857,0.9992196407023757,0.9992917375779385,0.9990870424966112,0.9987095660849498,0.9991475129687714,0.9993430981011193,0.9990603081698475,0.999090151376209,0.9992510551763003,0.9992695583451654,0.9992697021923849,0.999170980575757,0.999356449958059,0.9993371781939564,0.9994107688787948,0.9990007996616357,0.9993431820609768,0.9993743137563359,0.9992585081889701,0.9993473428644288,0.999287294990484,0.9991498654665383,0.999170400800175,0.999073607115253,0.9994013375933343,0.9992782393619369,0.9993423171243533,0.9992867368359456,0.9993185097221425,0.999267218769573,0.9992002164437268,0.9995150338349048,0.9989152043312776,0.9991034119580149,0.999400429624778,0.9992299744644814,0.9993658751089842,0.9993470673227294,0.9993093206258121,0.9991961414303074,0.9993315401632377,0.9993129672288086,0.9988579623110397,0.9992403387233119,0.9991692139367737,0.9993389871284406,0.9994230980354603,0.9993313377820812,0.9992439653474565,0.999310677439154,0.9992771650923894,0.9993194051676807,0.9989034717294686,0.9993719325355154,0.998229833643693,0.999192408652913,0.999009657438854,0.999053087751514,0.9991930066997972,0.9991085194387762,0.9991105477139223,0.9994071699339165,0.9991939722358875,0.9990416786728495,0.9991783663671687,0.9993061111986756,0.9993243163765269,0.9992571708738902,0.9993087003546247,0.9989695647665575,0.9992138838399235,0.9992060410086581,0.9991294939261842,0.9992082119824313,0.9992362570168739,0.9992054158516714,0.9994757834319791,0.9993061915756876,0.9990215150201982,0.9993040514538413,0.9992892748282624,0.9993688951733672,0.9992653936742716,0.9992839549116074,0.9994396839348996,0.9993512070059588,0.9992959674395997,0.9990207259036638,0.9993251752344524,0.9992773524466793,0.9991482379361908
prediction time (sec),0.017990827560424805,0.021927595138549805,0.011168241500854492,0.010343074798583984,0.022022008895874023,0.009885549545288086,0.022475481033325195,0.026149749755859375,0.01826643943786621,0.022298336029052734,0.022367238998413086,0.022023677825927734,0.026276350021362305,0.022627830505371094,0.014238834381103516,0.022069931030273438,0.02194356918334961,0.010409832000732422,0.025937795639038086,0.022329092025756836,0.02206254005432129,0.02206730842590332,0.017824649810791016,0.022043466567993164,0.021897077560424805,0.02168869972229004,0.009908437728881836,0.021931886672973633,0.017971515655517578,0.021929264068603516,0.010006427764892578,0.022951126098632812,0.021993637084960938,0.00995016098022461,0.02197551727294922,0.010010957717895508,0.022097110748291016,0.022090435028076172,0.021901369094848633,0.02171921730041504,0.021867752075195312,0.021895885467529297,0.01767444610595703,0.02196669578552246,0.009934425354003906,0.022138595581054688,0.022513151168823242,0.00993657112121582,0.010018587112426758,0.01852726936340332,0.01798105239868164,0.022347211837768555,0.021951913833618164,0.017956972122192383,0.018270015716552734,0.02973318099975586,0.02171778678894043,0.02201700210571289,0.021897315979003906,0.009900569915771484,0.022438526153564453,0.010753631591796875,0.018033981323242188,0.022139549255371094,0.010055780410766602,0.017937421798706055,0.009949684143066406,0.017966508865356445,0.022942304611206055,0.022532224655151367,0.018120765686035156,0.023083925247192383,0.01013946533203125,0.02236199378967285,0.016170024871826172,0.022036075592041016,0.022550106048583984,0.009954214096069336,0.01020669937133789,0.021962404251098633,0.009900093078613281,0.021964550018310547,0.010460853576660156,0.018219709396362305,0.01825737953186035,0.01629805564880371,0.022510766983032227,0.022272586822509766,0.009897232055664062,0.010289430618286133,0.017888307571411133,0.010823726654052734,0.009935617446899414,0.010190010070800781,0.00990605354309082,0.009964942932128906,0.009945154190063477,0.009891271591186523,0.017856359481811523,0.009708881378173828
