,1_MBiRW,2_MBiRW,3_MBiRW,4_MBiRW,5_MBiRW,6_MBiRW,7_MBiRW,8_MBiRW,9_MBiRW,10_MBiRW,11_MBiRW,12_MBiRW,13_MBiRW,14_MBiRW,15_MBiRW,16_MBiRW,17_MBiRW,18_MBiRW,19_MBiRW,20_MBiRW,21_MBiRW,22_MBiRW,23_MBiRW,24_MBiRW,25_MBiRW,26_MBiRW,27_MBiRW,28_MBiRW,29_MBiRW,30_MBiRW,31_MBiRW,32_MBiRW,33_MBiRW,34_MBiRW,35_MBiRW,36_MBiRW,37_MBiRW,38_MBiRW,39_MBiRW,40_MBiRW,41_MBiRW,42_MBiRW,43_MBiRW,44_MBiRW,45_MBiRW,46_MBiRW,47_MBiRW,48_MBiRW,49_MBiRW,50_MBiRW,51_MBiRW,52_MBiRW,53_MBiRW,54_MBiRW,55_MBiRW,56_MBiRW,57_MBiRW,58_MBiRW,59_MBiRW,60_MBiRW,61_MBiRW,62_MBiRW,63_MBiRW,64_MBiRW,65_MBiRW,66_MBiRW,67_MBiRW,68_MBiRW,69_MBiRW,70_MBiRW,71_MBiRW,72_MBiRW,73_MBiRW,74_MBiRW,75_MBiRW,76_MBiRW,77_MBiRW,78_MBiRW,79_MBiRW,80_MBiRW,81_MBiRW,82_MBiRW,83_MBiRW,84_MBiRW,85_MBiRW,86_MBiRW,87_MBiRW,88_MBiRW,89_MBiRW,90_MBiRW,91_MBiRW,92_MBiRW,93_MBiRW,94_MBiRW,95_MBiRW,96_MBiRW,97_MBiRW,98_MBiRW,99_MBiRW,100_MBiRW
ACC,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
AUC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HR@10,0.0008771929824561,0.0008771929824561,0.0008771929824561,0.0008771929824561,0.0008771929824561,0.0008771929824561,0.0008771929824561,0.0008771929824561,0.0008771929824561,0.0008771929824561,0.0008771929824561,0.0008771929824561,0.0008771929824561,0.0008771929824561,0.0008771929824561,0.0008771929824561,0.0008771929824561,0.0008771929824561,0.0008771929824561,0.0008771929824561,0.0008771929824561,0.0008771929824561,0.0008771929824561,0.0008771929824561,0.0008771929824561,0.0008771929824561,0.0008771929824561,0.0008771929824561,0.0008771929824561,0.0008771929824561,0.0008771929824561,0.0008771929824561,0.0008771929824561,0.0008771929824561,0.0008771929824561,0.0008771929824561,0.0008771929824561,0.0008771929824561,0.0008771929824561,0.0008771929824561,0.0008771929824561,0.0008771929824561,0.0008771929824561,0.0008771929824561,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404,0.0008771929824561404
HR@2,0.0001754385964912,0.0001754385964912,0.0001754385964912,0.0001754385964912,0.0001754385964912,0.0001754385964912,0.0001754385964912,0.0001754385964912,0.0001754385964912,0.0001754385964912,0.0001754385964912,0.0001754385964912,0.0001754385964912,0.0001754385964912,0.0001754385964912,0.0001754385964912,0.0001754385964912,0.0001754385964912,0.0001754385964912,0.0001754385964912,0.0001754385964912,0.0001754385964912,0.0001754385964912,0.0001754385964912,0.0001754385964912,0.0001754385964912,0.0001754385964912,0.0001754385964912,0.0001754385964912,0.0001754385964912,0.0001754385964912,0.0001754385964912,0.0001754385964912,0.0001754385964912,0.0001754385964912,0.0001754385964912,0.0001754385964912,0.0001754385964912,0.0001754385964912,0.0001754385964912,0.0001754385964912,0.0001754385964912,0.0001754385964912,0.0001754385964912,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806
HR@5,0.000438596491228,0.000438596491228,0.000438596491228,0.000438596491228,0.000438596491228,0.000438596491228,0.000438596491228,0.000438596491228,0.000438596491228,0.000438596491228,0.000438596491228,0.000438596491228,0.000438596491228,0.000438596491228,0.000438596491228,0.000438596491228,0.000438596491228,0.000438596491228,0.000438596491228,0.000438596491228,0.000438596491228,0.000438596491228,0.000438596491228,0.000438596491228,0.000438596491228,0.000438596491228,0.000438596491228,0.000438596491228,0.000438596491228,0.000438596491228,0.000438596491228,0.000438596491228,0.000438596491228,0.000438596491228,0.000438596491228,0.000438596491228,0.000438596491228,0.000438596491228,0.000438596491228,0.000438596491228,0.000438596491228,0.000438596491228,0.000438596491228,0.000438596491228,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702,0.0004385964912280702
Lin's AUC,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
NDCGk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
global AUC,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999988839784,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999062541851,1.0,1.0,1.0,1.0,0.9999999654033302,1.0,1.0,1.0,1.0,0.9999999531270924,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999998750055801,1.0,1.0,1.0,1.0,1.0,1.0,1.0
global NDCG,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.999999999281129,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999395913777,1.0,1.0,1.0,1.0,0.9999999777123159,1.0,1.0,1.0,1.0,0.9999999698002892,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999194397617,1.0,1.0,1.0,1.0,1.0,1.0,1.0
prediction time (sec),0.0051069259643554,0.0050976276397705,0.0062592029571533,0.0064013004302978,0.0064060688018798,0.0092947483062744,0.0065100193023681,0.0063643455505371,0.0064611434936523,0.0414736270904541,0.0100340843200683,0.0068740844726562,0.0060017108917236,0.0060641765594482,0.0076520442962646,0.008364200592041,0.0052642822265625,0.0051610469818115,0.0055742263793945,0.0052266120910644,0.005164623260498,0.0051038265228271,0.005037784576416,0.0051386356353759,0.005131721496582,0.007077932357788,0.005131721496582,0.005167007446289,0.0067265033721923,0.0050454139709472,0.0050313472747802,0.0148944854736328,0.0051972866058349,0.0051031112670898,0.0053248405456542,0.0052058696746826,0.0051517486572265,0.0063040256500244,0.0064625740051269,0.005173921585083,0.0051982402801513,0.0052478313446044,0.0061309337615966,0.0050907135009765,0.004961729049682617,0.005339860916137695,0.005185604095458984,0.0054471492767333984,0.005358695983886719,0.006524801254272461,0.00513458251953125,0.00706791877746582,0.004979848861694336,0.0051610469818115234,0.005203723907470703,0.007360696792602539,0.005242347717285156,0.005072832107543945,0.005089759826660156,0.007033586502075195,0.005186557769775391,0.005334138870239258,0.005029201507568359,0.005073070526123047,0.005791664123535156,0.005323648452758789,0.005040168762207031,0.005250215530395508,0.00515437126159668,0.00515294075012207,0.005086421966552734,0.006278514862060547,0.006270408630371094,0.0063323974609375,0.006544351577758789,0.014325380325317383,0.0074329376220703125,0.006302356719970703,0.006532192230224609,0.006307125091552734,0.00670170783996582,0.006350040435791016,0.0065648555755615234,0.006811618804931641,0.013878345489501953,0.006143093109130859,0.0067746639251708984,0.006287574768066406,0.0053102970123291016,0.0052449703216552734,0.005117177963256836,0.007020711898803711,0.005209684371948242,0.00528407096862793,0.005178213119506836,0.007074832916259766,0.0070040225982666016,0.0052449703216552734,0.049813270568847656,0.10970735549926758
