,1_NIMCGCN,2_NIMCGCN,3_NIMCGCN,4_NIMCGCN,5_NIMCGCN,6_NIMCGCN,7_NIMCGCN,8_NIMCGCN,9_NIMCGCN,10_NIMCGCN,11_NIMCGCN,12_NIMCGCN,13_NIMCGCN,14_NIMCGCN,15_NIMCGCN,16_NIMCGCN,17_NIMCGCN,18_NIMCGCN,19_NIMCGCN,20_NIMCGCN,21_NIMCGCN,22_NIMCGCN,23_NIMCGCN,24_NIMCGCN,25_NIMCGCN,26_NIMCGCN,27_NIMCGCN,28_NIMCGCN,29_NIMCGCN,30_NIMCGCN,31_NIMCGCN,32_NIMCGCN,33_NIMCGCN,34_NIMCGCN,35_NIMCGCN,36_NIMCGCN,37_NIMCGCN,38_NIMCGCN,39_NIMCGCN,40_NIMCGCN,41_NIMCGCN,42_NIMCGCN,43_NIMCGCN,44_NIMCGCN,45_NIMCGCN,46_NIMCGCN,47_NIMCGCN,48_NIMCGCN,49_NIMCGCN,50_NIMCGCN,51_NIMCGCN,52_NIMCGCN,53_NIMCGCN,54_NIMCGCN,55_NIMCGCN,56_NIMCGCN,57_NIMCGCN,58_NIMCGCN,59_NIMCGCN,60_NIMCGCN,61_NIMCGCN,62_NIMCGCN,63_NIMCGCN,64_NIMCGCN,65_NIMCGCN,66_NIMCGCN,67_NIMCGCN,68_NIMCGCN,69_NIMCGCN,70_NIMCGCN,71_NIMCGCN,72_NIMCGCN,73_NIMCGCN,74_NIMCGCN,75_NIMCGCN,76_NIMCGCN,77_NIMCGCN,78_NIMCGCN,79_NIMCGCN,80_NIMCGCN,81_NIMCGCN,82_NIMCGCN,83_NIMCGCN,84_NIMCGCN,85_NIMCGCN,86_NIMCGCN,87_NIMCGCN,88_NIMCGCN,89_NIMCGCN,90_NIMCGCN,91_NIMCGCN,92_NIMCGCN,93_NIMCGCN,94_NIMCGCN,95_NIMCGCN,96_NIMCGCN,97_NIMCGCN,98_NIMCGCN,99_NIMCGCN,100_NIMCGCN
ACC,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
AUC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HR@10,0.0007017543859649122,0.0007017543859649122,0.0007017543859649122,0.0007017543859649122,0.0007017543859649122,0.0007017543859649122,0.0007017543859649122,0.0007017543859649122,0.0007017543859649122,0.0007017543859649122,0.0007017543859649122,0.0007017543859649122,0.0007017543859649122,0.0007017543859649122,0.0007017543859649122,0.0007017543859649122,0.0007017543859649122,0.0007017543859649122,0.0007017543859649122,0.0007017543859649122,0.0007017543859649122,0.0007017543859649122,0.0007017543859649122,0.0007017543859649122,0.0007017543859649122,0.0007017543859649122,0.0007017543859649122,0.0007017543859649122,0.0007017543859649122,0.0007017543859649122,0.0007017543859649122,0.0007017543859649122,0.0007017543859649122,0.0007017543859649122,0.0007017543859649122,0.0007017543859649122,0.0007017543859649122,0.0007017543859649122,0.0007017543859649122,0.0007017543859649122,0.0007017543859649122,0.0007017543859649122,0.0007017543859649122,0.0007017543859649122,0.0007017543859649122,0.0007017543859649122,0.0007017543859649122,0.0007017543859649122,0.0007017543859649122,0.0007017543859649122,0.0007017543859649122,0.0007017543859649122,0.0007017543859649122,0.0007017543859649122,0.0007017543859649122,0.0007017543859649122,0.0007017543859649122,0.0007017543859649122,0.0007017543859649122,0.0007017543859649122,0.0007017543859649122,0.0007017543859649122,0.0007017543859649122,0.0007017543859649122,0.0007017543859649122,0.0007017543859649122,0.0007017543859649122,0.0007017543859649122,0.0007017543859649122,0.0007017543859649122,0.0007017543859649122,0.0007017543859649122,0.0007017543859649122,0.0007017543859649122,0.0007017543859649122,0.0007017543859649122,0.0007017543859649122,0.0007017543859649122,0.0007017543859649122,0.0007017543859649122,0.0007017543859649122,0.0007017543859649122,0.0007017543859649122,0.0007017543859649122,0.0007017543859649122,0.0007017543859649122,0.0007017543859649122,0.0007017543859649122,0.0007017543859649122,0.0007017543859649122,0.0007017543859649122,0.0007017543859649122,0.0007017543859649122,0.0007017543859649122,0.0007017543859649122,0.0007017543859649122,0.0007017543859649122,0.0007017543859649122,0.0007017543859649122,0.0007017543859649122
HR@2,8.771929824561403e-05,8.771929824561403e-05,8.771929824561403e-05,8.771929824561403e-05,8.771929824561403e-05,8.771929824561403e-05,8.771929824561403e-05,8.771929824561403e-05,8.771929824561403e-05,8.771929824561403e-05,8.771929824561403e-05,8.771929824561403e-05,8.771929824561403e-05,8.771929824561403e-05,8.771929824561403e-05,8.771929824561403e-05,8.771929824561403e-05,8.771929824561403e-05,8.771929824561403e-05,8.771929824561403e-05,8.771929824561403e-05,8.771929824561403e-05,8.771929824561403e-05,8.771929824561403e-05,8.771929824561403e-05,8.771929824561403e-05,8.771929824561403e-05,8.771929824561403e-05,8.771929824561403e-05,8.771929824561403e-05,8.771929824561403e-05,8.771929824561403e-05,8.771929824561403e-05,8.771929824561403e-05,8.771929824561403e-05,8.771929824561403e-05,8.771929824561403e-05,8.771929824561403e-05,8.771929824561403e-05,8.771929824561403e-05,8.771929824561403e-05,8.771929824561403e-05,8.771929824561403e-05,8.771929824561403e-05,8.771929824561403e-05,8.771929824561403e-05,8.771929824561403e-05,8.771929824561403e-05,8.771929824561403e-05,8.771929824561403e-05,8.771929824561403e-05,8.771929824561403e-05,8.771929824561403e-05,8.771929824561403e-05,8.771929824561403e-05,8.771929824561403e-05,8.771929824561403e-05,8.771929824561403e-05,8.771929824561403e-05,8.771929824561403e-05,8.771929824561403e-05,8.771929824561403e-05,8.771929824561403e-05,8.771929824561403e-05,8.771929824561403e-05,8.771929824561403e-05,8.771929824561403e-05,8.771929824561403e-05,8.771929824561403e-05,8.771929824561403e-05,8.771929824561403e-05,8.771929824561403e-05,8.771929824561403e-05,8.771929824561403e-05,8.771929824561403e-05,8.771929824561403e-05,8.771929824561403e-05,8.771929824561403e-05,8.771929824561403e-05,8.771929824561403e-05,8.771929824561403e-05,8.771929824561403e-05,8.771929824561403e-05,8.771929824561403e-05,8.771929824561403e-05,8.771929824561403e-05,8.771929824561403e-05,8.771929824561403e-05,8.771929824561403e-05,8.771929824561403e-05,8.771929824561403e-05,8.771929824561403e-05,8.771929824561403e-05,8.771929824561403e-05,8.771929824561403e-05,8.771929824561403e-05,8.771929824561403e-05,8.771929824561403e-05,8.771929824561403e-05,8.771929824561403e-05
HR@5,0.0003508771929824561,0.0003508771929824561,0.0003508771929824561,0.0003508771929824561,0.0003508771929824561,0.0003508771929824561,0.0003508771929824561,0.0003508771929824561,0.0003508771929824561,0.0003508771929824561,0.0003508771929824561,0.0003508771929824561,0.0003508771929824561,0.0003508771929824561,0.0003508771929824561,0.0003508771929824561,0.0003508771929824561,0.0003508771929824561,0.0003508771929824561,0.0003508771929824561,0.0003508771929824561,0.0003508771929824561,0.0003508771929824561,0.0003508771929824561,0.0003508771929824561,0.0003508771929824561,0.0003508771929824561,0.0003508771929824561,0.0003508771929824561,0.0003508771929824561,0.0003508771929824561,0.0003508771929824561,0.0003508771929824561,0.0003508771929824561,0.0003508771929824561,0.0003508771929824561,0.0003508771929824561,0.0003508771929824561,0.0003508771929824561,0.0003508771929824561,0.0003508771929824561,0.0003508771929824561,0.0003508771929824561,0.0003508771929824561,0.0003508771929824561,0.0003508771929824561,0.0003508771929824561,0.0003508771929824561,0.0003508771929824561,0.0003508771929824561,0.0003508771929824561,0.0003508771929824561,0.0003508771929824561,0.0003508771929824561,0.0003508771929824561,0.0003508771929824561,0.0003508771929824561,0.0003508771929824561,0.0003508771929824561,0.0003508771929824561,0.0003508771929824561,0.0003508771929824561,0.0003508771929824561,0.0003508771929824561,0.0003508771929824561,0.0003508771929824561,0.0003508771929824561,0.0003508771929824561,0.0003508771929824561,0.0003508771929824561,0.0003508771929824561,0.0003508771929824561,0.0003508771929824561,0.0003508771929824561,0.0003508771929824561,0.0003508771929824561,0.0003508771929824561,0.0003508771929824561,0.0003508771929824561,0.0003508771929824561,0.0003508771929824561,0.0003508771929824561,0.0003508771929824561,0.0003508771929824561,0.0003508771929824561,0.0003508771929824561,0.0003508771929824561,0.0003508771929824561,0.0003508771929824561,0.0003508771929824561,0.0003508771929824561,0.0003508771929824561,0.0003508771929824561,0.0003508771929824561,0.0003508771929824561,0.0003508771929824561,0.0003508771929824561,0.0003508771929824561,0.0003508771929824561,0.0003508771929824561
Lin's AUC,0.5368342105263159,0.5365833333333333,0.5364342105263158,0.536019298245614,0.5367728070175438,0.5370122807017544,0.536648245614035,0.5367736842105263,0.5369535087719298,0.5368815789473685,0.5364298245614035,0.5368228070175438,0.5360894736842106,0.5360684210526316,0.5366684210526316,0.5360087719298245,0.5363728070175439,0.5362964912280702,0.5368491228070176,0.5360035087719298,0.5366991228070176,0.5361473684210527,0.5367438596491229,0.5367859649122807,0.5366684210526315,0.536051754385965,0.5365149122807017,0.5361368421052631,0.5365868421052631,0.5368964912280703,0.5360254385964913,0.5367359649122807,0.536930701754386,0.5359833333333334,0.536730701754386,0.5365877192982456,0.5366175438596491,0.5369289473684211,0.5366719298245614,0.5357657894736841,0.5360912280701755,0.5368543859649123,0.5367921052631579,0.5368342105263159,0.5359719298245614,0.5366815789473683,0.5367359649122807,0.5368166666666667,0.536759649122807,0.5367201754385964,0.5359815789473685,0.5367649122807018,0.5368201754385965,0.5368078947368422,0.5369429824561404,0.5366780701754386,0.536780701754386,0.5359166666666666,0.5361429824561403,0.5360622807017544,0.5360850877192983,0.5367763157894737,0.5367149122807018,0.5360789473684211,0.5367263157894737,0.5366403508771929,0.5368236842105264,0.5369526315789475,0.5368771929824562,0.5365245614035087,0.536721052631579,0.5361517543859649,0.5368087719298246,0.5365719298245615,0.5366368421052632,0.5360482456140351,0.5367008771929823,0.5365394736842105,0.5367236842105263,0.5360701754385965,0.5367429824561403,0.5362675438596491,0.536671052631579,0.5364728070175439,0.5370912280701754,0.5363517543859648,0.5366622807017544,0.5361526315789473,0.5368789473684211,0.536819298245614,0.5368236842105264,0.536430701754386,0.5364815789473684,0.5369008771929825,0.5369078947368421,0.5369350877192982,0.5366833333333333,0.5366710526315789,0.5368508771929825,0.5368368421052632
NDCGk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
global AUC,0.9650094839516092,0.9650038837551895,0.9650085297531361,0.9650042207937145,0.9650030266505959,0.9650118181107987,0.9650095955537699,0.9649982930449535,0.9650104643765904,0.9650100068077317,0.9649945928753181,0.9650066364224812,0.9650022833802062,0.9650029965180126,0.9650072251238784,0.9650039155618054,0.9649941938975939,0.965008215035043,0.965010703763225,0.9650027934020804,0.964999050823624,0.9650079198473281,0.9649998063702514,0.9650059489531719,0.9650119894201152,0.965005733002991,0.9649980257577789,0.9650076107093435,0.9650029072362841,0.9650084639078614,0.9650044730145975,0.9650059980581224,0.9650150462032944,0.9650048479978571,0.9650040288379983,0.9650101619347352,0.9650067139859828,0.9650101658408108,0.9650057246328291,0.9650050845944379,0.9650073149636177,0.9650104855810009,0.9649986462657918,0.9650118532654793,0.9650071481183876,0.9650041549484396,0.9650065270523638,0.9649981859068791,0.965001949689746,0.964999974331503,0.965002970291505,0.9649957842283826,0.9650078952948529,0.9650040595285926,0.9650097841614214,0.9650098946475603,0.9650076107093434,0.9650066927815724,0.9650067430025446,0.9650024998883979,0.965003673385117,0.9650093695593946,0.9650066537208161,0.9650052570197759,0.9650055455113611,0.9649992461274052,0.9650123560332129,0.9650146215570732,0.9650081871345028,0.9650058239587519,0.9650085738359896,0.9650065622070442,0.9650078690683451,0.9650055003124861,0.9649998504531049,0.9650068568367484,0.965006410428106,0.9650067770412035,0.964998986094371,0.9650048083790902,0.9650112467077363,0.9650106948350521,0.9649999983259676,0.9649955487478239,0.9650037671309317,0.9650101624927458,0.9649993348511227,0.9650070091736975,0.9650067084058749,0.9650112980447303,0.9650083249631713,0.9649973661890096,0.9650075303557876,0.9650031594571673,0.9650100536806392,0.9650096033659213,0.9650094476809072,0.9650073981072275,0.9650031845676534,0.9650080621400832
global NDCG,0.9532216889795988,0.9532121486641347,0.9532539477116732,0.9532460236812738,0.9532146824726271,0.9532330418806162,0.9532346007609199,0.95322365170305,0.9532333913007013,0.9532299185928487,0.9532160858840225,0.95322292367586,0.9532430380367208,0.953245800455286,0.9532164718341349,0.9532410753831504,0.9532079853664547,0.9532537565772194,0.9532292069591617,0.9532383442817985,0.9532289639386674,0.9532518051750309,0.9532245664396682,0.953213871719552,0.9532315064299856,0.9532481863516522,0.9532181060956229,0.9532490099416036,0.953225556947521,0.9532200809181011,0.9532416751229301,0.9532288837428048,0.953243002215184,0.9532421044492286,0.953223074472615,0.9532286989094316,0.9532209303871186,0.9532376444302504,0.9532203167259168,0.9532418423139379,0.9532378596045494,0.9532222639698039,0.953224384872898,0.9532386628422258,0.9532431368477834,0.9532249803345177,0.9532208969649628,0.9532229029780493,0.9532240627370144,0.953241301390614,0.9532335155006209,0.9532211922168012,0.953227309196465,0.9532091269078908,0.9532325705909183,0.9532318161810701,0.9532243952231829,0.9532504685108456,0.9532425042894622,0.9532378747001649,0.9532402971236971,0.9532247343609963,0.9532153420719127,0.9532441309963976,0.9532273719187154,0.9532230083221181,0.9532387688607751,0.9532416923022391,0.9532305935909826,0.9532280330296641,0.9532194852836892,0.9532524489493805,0.9532252170945092,0.9532121178316206,0.9532259433496754,0.9532465465606682,0.9532328743998254,0.9532229109952198,0.9532200272263446,0.9532429378971986,0.953232614751281,0.9532588717062269,0.953228377081194,0.9532210225085332,0.953232705159731,0.9532518677444691,0.9532170064396435,0.9532521187437943,0.9532227381686406,0.9532317729357381,0.953234412889487,0.9532210020861873,0.953252390799989,0.9532335238009056,0.9532276185284545,0.953230655646308,0.9532169470510768,0.9532112567885301,0.9532332741646932,0.9532309954313315
prediction time (sec),12.606144189834595,10.14379620552063,10.706157922744751,10.721330881118774,10.770864009857178,9.143195867538452,8.519511938095093,8.417365789413452,9.70599102973938,8.380835056304932,10.264417886734009,9.235042333602905,8.15089201927185,9.968823909759521,11.171924114227295,10.627763986587524,11.241213083267212,11.323990106582642,9.173836469650269,10.502586841583252,12.898591995239258,8.817200183868408,10.095131635665894,10.036427736282349,11.231740951538086,11.711210250854492,12.48828649520874,8.82255244255066,10.22237515449524,11.65386152267456,9.522035121917725,9.227473020553589,10.534025430679321,9.956196784973145,10.435583353042603,8.95899248123169,9.617563247680664,11.262904167175293,9.324096918106079,9.883121013641357,12.127816438674927,11.148380041122437,13.747938871383667,11.156623125076294,13.91013240814209,10.526426315307617,10.332623720169067,9.738678216934204,9.9826500415802,9.156455755233765,10.063435554504395,9.68659234046936,11.600560903549194,9.267211437225342,10.817721843719482,11.754966497421265,12.288897514343262,13.328682899475098,11.874998331069946,13.493330001831055,8.935398817062378,9.023909091949463,9.190898180007935,9.627560138702393,9.696000337600708,8.660009860992432,12.336232900619507,10.79712963104248,11.785726308822632,11.484870195388794,10.60619592666626,11.320866346359253,11.775725841522217,13.842695474624634,12.608436584472656,15.251945972442627,18.94552731513977,9.71681833267212,9.233203172683716,10.781502485275269,10.694386005401611,11.068455457687378,10.165337085723877,11.56654167175293,11.267370700836182,11.34217095375061,11.18067455291748,10.928862810134888,11.364685773849487,8.998239755630493,8.826934814453125,10.658791780471802,8.445880889892578,10.510658979415894,10.421344995498657,12.551378726959229,8.636230945587158,8.592749834060669,9.780648469924927,8.546383619308472
