,1_PMF,2_PMF,3_PMF,4_PMF,5_PMF,6_PMF,7_PMF,8_PMF,9_PMF,10_PMF,11_PMF,12_PMF,13_PMF,14_PMF,15_PMF,16_PMF,17_PMF,18_PMF,19_PMF,20_PMF,21_PMF,22_PMF,23_PMF,24_PMF,25_PMF,26_PMF,27_PMF,28_PMF,29_PMF,30_PMF,31_PMF,32_PMF,33_PMF,34_PMF,35_PMF,36_PMF,37_PMF,38_PMF,39_PMF,40_PMF,41_PMF,42_PMF,43_PMF,44_PMF,45_PMF,46_PMF,47_PMF,48_PMF,49_PMF,50_PMF,51_PMF,52_PMF,53_PMF,54_PMF,55_PMF,56_PMF,57_PMF,58_PMF,59_PMF,60_PMF,61_PMF,62_PMF,63_PMF,64_PMF,65_PMF,66_PMF,67_PMF,68_PMF,69_PMF,70_PMF,71_PMF,72_PMF,73_PMF,74_PMF,75_PMF,76_PMF,77_PMF,78_PMF,79_PMF,80_PMF,81_PMF,82_PMF,83_PMF,84_PMF,85_PMF,86_PMF,87_PMF,88_PMF,89_PMF,90_PMF,91_PMF,92_PMF,93_PMF,94_PMF,95_PMF,96_PMF,97_PMF,98_PMF,99_PMF,100_PMF
ACC,0.07929824561403509,0.08394736842105263,0.08850877192982456,0.08008771929824561,0.08298245614035088,0.07438596491228071,0.07491228070175439,0.08157894736842106,0.09482456140350877,0.0912280701754386,0.08649122807017544,0.07859649122807018,0.08324561403508772,0.08982456140350877,0.08789473684210526,0.08087719298245614,0.07587719298245614,0.08105263157894736,0.08640350877192983,0.07131578947368421,0.07456140350877193,0.08289473684210526,0.07868421052631579,0.07956140350877193,0.07605263157894737,0.08938596491228071,0.07605263157894737,0.08842105263157894,0.09017543859649123,0.07894736842105263,0.09447368421052632,0.0868421052631579,0.08982456140350877,0.07289473684210526,0.06885964912280702,0.08394736842105263,0.08298245614035088,0.08859649122807017,0.08149122807017543,0.07789473684210527,0.08280701754385965,0.07508771929824562,0.07131578947368421,0.0862280701754386,0.09166666666666666,0.09210526315789473,0.0762280701754386,0.07947368421052632,0.07649122807017544,0.09728070175438597,0.0887719298245614,0.08114035087719298,0.07771929824561404,0.08859649122807017,0.09105263157894737,0.08342105263157895,0.08543859649122806,0.07166666666666667,0.08763157894736842,0.0837719298245614,0.08087719298245614,0.07526315789473684,0.07105263157894737,0.08342105263157895,0.07192982456140351,0.08710526315789474,0.09184210526315789,0.08657894736842105,0.07885964912280702,0.10008771929824561,0.07114035087719298,0.09491228070175439,0.0856140350877193,0.07649122807017544,0.07657894736842105,0.09131578947368421,0.0887719298245614,0.08763157894736842,0.0731578947368421,0.08780701754385965,0.07421052631578948,0.08578947368421053,0.08008771929824561,0.07482456140350877,0.0987719298245614,0.07131578947368421,0.0930701754385965,0.08412280701754386,0.06982456140350878,0.07096491228070176,0.07368421052631578,0.08780701754385965,0.08008771929824561,0.07043859649122806,0.06596491228070175,0.08850877192982456,0.07798245614035088,0.06517543859649123,0.08008771929824561,0.09578947368421052
AUC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HR@10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.771929824561403e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.771929824561403e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR@2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR@5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lin's AUC,0.07438070175438598,0.0779842105263158,0.0644140350877193,0.07275877192982455,0.06530526315789474,0.06938859649122807,0.08662280701754387,0.07253508771929824,0.07894122807017542,0.07327456140350877,0.07249649122807017,0.08412631578947369,0.06811228070175437,0.07856403508771931,0.08360350877192983,0.059678947368421054,0.07623859649122805,0.07862368421052632,0.0892578947368421,0.06309385964912281,0.06571052631578947,0.07656403508771929,0.07800614035087719,0.07694912280701754,0.08277280701754386,0.06879122807017544,0.058817543859649137,0.07108947368421054,0.0810921052631579,0.06520087719298245,0.06701491228070176,0.08021491228070174,0.08749736842105263,0.06333947368421053,0.0583359649122807,0.0738701754385965,0.06586842105263158,0.08700964912280704,0.07263245614035087,0.06872631578947369,0.07588245614035087,0.07372631578947368,0.07682105263157894,0.0802535087719298,0.08002017543859648,0.07872631578947369,0.08692982456140352,0.07432807017543859,0.07720087719298246,0.06357456140350877,0.07479385964912282,0.06651052631578946,0.06870175438596492,0.09601842105263157,0.08210438596491228,0.06581228070175439,0.07167982456140351,0.06444649122807017,0.07580526315789475,0.07023859649122807,0.07807456140350875,0.060982456140350874,0.06913859649122807,0.07181228070175438,0.07782105263157894,0.07588421052631579,0.07824298245614035,0.07671052631578948,0.06274736842105264,0.08530438596491229,0.06592280701754386,0.07540789473684209,0.07424561403508773,0.05772719298245614,0.07589561403508772,0.06952456140350877,0.08175175438596491,0.07095,0.07392631578947369,0.06891754385964913,0.07766842105263158,0.07469912280701756,0.0698640350877193,0.06929210526315789,0.087809649122807,0.05935438596491228,0.08380263157894738,0.07966403508771931,0.0742859649122807,0.06798947368421053,0.07460789473684211,0.06419824561403507,0.07824035087719299,0.07026842105263158,0.04508859649122807,0.11023421052631578,0.07994824561403507,0.05849824561403508,0.06889736842105264,0.07182719298245614
NDCGk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
global AUC,0.0789700962010625,0.08339317887594307,0.08673275077005492,0.079589526137226,0.08158839560733894,0.07404545109593322,0.07575578545600642,0.08107808245167626,0.09361811303066828,0.08992146667559488,0.08560299651801258,0.07901047386277399,0.08213053658318827,0.08894895093969019,0.08740665818490248,0.0793868666577385,0.07605439266104193,0.08090281460649078,0.08664699343779296,0.07074229275478774,0.07387797308155887,0.08228799830364715,0.07876595910896832,0.07929951676264453,0.07649794205615822,0.08783239587518415,0.07478678853622606,0.08716954153832418,0.08955101446363999,0.0780160227221999,0.09239509508504086,0.08625545846167583,0.08961111445917593,0.07228019396455516,0.06807688496049281,0.08333241596357305,0.08169339538413464,0.08845366947904111,0.08094162425784562,0.07722635931431633,0.0823266997009062,0.07500451542341859,0.07175986228293382,0.08561217579572339,0.0908405551091469,0.09108073969912059,0.07719859269675462,0.0791382014195795,0.07643214365430115,0.09478717691174503,0.08776732623543593,0.07997088634435963,0.07713861657961697,0.08917699656265347,0.09045282130262043,0.0820996562653453,0.08427684924780145,0.07119793312798535,0.0868053513236016,0.0827126277844739,0.08065555555555556,0.07430948506763092,0.07092186397928663,0.08247334717200126,0.07224302486496138,0.08629930806660419,0.09065041962412393,0.0856750959778581,0.07764594214543993,0.09892219097361724,0.07072145439935718,0.09354041002633813,0.08487314070800409,0.07508713785098879,0.07666173831525379,0.08971215235926967,0.08809964956921568,0.08638759653586893,0.07343131110218294,0.08648385563144503,0.07440518950046873,0.08500718829516539,0.07922915160037498,0.07447292754787734,0.09785846167581803,0.07041134324360518,0.09234611512878887,0.08365682224007857,0.07033523391812863,0.07077097897415295,0.07387407593411009,0.08610321414222577,0.07979242779340212,0.07057365184589973,0.06442991830721843,0.0902312832016428,0.07803536449265659,0.06486068479085755,0.07938914557385833,0.09394617650997725
global NDCG,0.7410050023064573,0.7427188274525272,0.7425818954051204,0.7414408326310651,0.7412515335729408,0.7395080415586203,0.7409248247150965,0.7417553876541796,0.7448545970939696,0.743416972217203,0.7433634408037127,0.74194600920528,0.7415369706896768,0.7435313492976663,0.7433348401774413,0.7405992485348007,0.7407410725200714,0.7420560138322445,0.7434758284884668,0.7386944819040319,0.7397335738659142,0.7415497462917182,0.740802880155879,0.7408896337857038,0.7408886106973277,0.7428923967566151,0.739483439817515,0.7433943152835225,0.7445689186777472,0.7405185527686446,0.7445320167375158,0.7434607511807322,0.7441776251888295,0.7387522429094168,0.7377055279222302,0.7425354859077006,0.7411297283935774,0.7440782079898232,0.7416527207694992,0.7407959555589825,0.7421147123468285,0.7403012506075363,0.7392718500537964,0.7428852962602558,0.7440415879591246,0.7447871592401872,0.7414210983220947,0.7414075797081169,0.7408754187588169,0.7452123100266902,0.7429928623686589,0.7406453564083317,0.7407402604872033,0.7447499889244475,0.7447119547584898,0.7411649960701472,0.7420584398317129,0.7385674927044492,0.7430942494300781,0.7421068873582177,0.7419500048539397,0.7393973353702985,0.7392983532434977,0.7420038570949936,0.7394231197386261,0.7429044503447312,0.7442140056812486,0.7431650615125998,0.7404131208404392,0.7463463132717775,0.7388557151372445,0.7450497336749927,0.7428278176844663,0.7391138638824191,0.7409218795110293,0.743394396756213,0.7437549659827609,0.7428266969230589,0.7404141714410432,0.7428051007632892,0.7403594383333334,0.7427902802889192,0.7408537107525699,0.739731009505008,0.7462332076898741,0.7381073040103795,0.7445819820852956,0.7422927570385935,0.7386677383364447,0.7383478137195231,0.7398748242844607,0.742281893869093,0.7417193876225808,0.7388389950006026,0.7359559093864759,0.7455505095378063,0.741002714550708,0.7367121100767524,0.7409375149673763,0.7451346997950224
prediction time (sec),0.00979924201965332,0.021902084350585938,0.009633064270019531,0.009925603866577148,0.02134871482849121,0.021117687225341797,0.009651660919189453,0.021805524826049805,0.02179741859436035,0.00973820686340332,0.021052837371826172,0.009921550750732422,0.02159738540649414,0.009862661361694336,0.02156352996826172,0.010646581649780273,0.022291183471679688,0.006377458572387695,0.00945281982421875,0.022415876388549805,0.02199387550354004,0.009448528289794922,0.00938272476196289,0.021730661392211914,0.009424209594726562,0.02162766456604004,0.009788990020751953,0.02216029167175293,0.02197885513305664,0.0093841552734375,0.021332740783691406,0.010794639587402344,0.010769128799438477,0.021682024002075195,0.022536277770996094,0.022826433181762695,0.01037287712097168,0.021956682205200195,0.009783744812011719,0.00946664810180664,0.018443822860717773,0.021643638610839844,0.022274255752563477,0.021698713302612305,0.021829843521118164,0.009472131729125977,0.009582281112670898,0.009380340576171875,0.022301673889160156,0.009567737579345703,0.02226543426513672,0.021125078201293945,0.021928787231445312,0.021785259246826172,0.02182483673095703,0.021262645721435547,0.02211618423461914,0.021277666091918945,0.02297687530517578,0.010137796401977539,0.009768247604370117,0.01045680046081543,0.02108478546142578,0.022316694259643555,0.009351015090942383,0.021894216537475586,0.0096282958984375,0.02225494384765625,0.00931859016418457,0.009933233261108398,0.023028850555419922,0.019778013229370117,0.02159404754638672,0.021976947784423828,0.021976232528686523,0.02234959602355957,0.009541034698486328,0.02266526222229004,0.021749258041381836,0.022197484970092773,0.022391796112060547,0.02167367935180664,0.021580219268798828,0.021697282791137695,0.009789228439331055,0.02114701271057129,0.02154254913330078,0.009927511215209961,0.009621143341064453,0.009307861328125,0.021162033081054688,0.021473407745361328,0.021833181381225586,0.009739875793457031,0.009110689163208008,0.022533416748046875,0.009795188903808594,0.00994110107421875,0.010069608688354492,0.009124279022216797
