,1_SCPMF,2_SCPMF,3_SCPMF,4_SCPMF,5_SCPMF,6_SCPMF,7_SCPMF,8_SCPMF,9_SCPMF,10_SCPMF,11_SCPMF,12_SCPMF,13_SCPMF,14_SCPMF,15_SCPMF,16_SCPMF,17_SCPMF,18_SCPMF,19_SCPMF,20_SCPMF,21_SCPMF,22_SCPMF,23_SCPMF,24_SCPMF,25_SCPMF,26_SCPMF,27_SCPMF,28_SCPMF,29_SCPMF,30_SCPMF,31_SCPMF,32_SCPMF,33_SCPMF,34_SCPMF,35_SCPMF,36_SCPMF,37_SCPMF,38_SCPMF,39_SCPMF,40_SCPMF,41_SCPMF,42_SCPMF,43_SCPMF,44_SCPMF,45_SCPMF,46_SCPMF,47_SCPMF,48_SCPMF,49_SCPMF,50_SCPMF,51_SCPMF,52_SCPMF,53_SCPMF,54_SCPMF,55_SCPMF,56_SCPMF,57_SCPMF,58_SCPMF,59_SCPMF,60_SCPMF,61_SCPMF,62_SCPMF,63_SCPMF,64_SCPMF,65_SCPMF,66_SCPMF,67_SCPMF,68_SCPMF,69_SCPMF,70_SCPMF,71_SCPMF,72_SCPMF,73_SCPMF,74_SCPMF,75_SCPMF,76_SCPMF,77_SCPMF,78_SCPMF,79_SCPMF,80_SCPMF,81_SCPMF,82_SCPMF,83_SCPMF,84_SCPMF,85_SCPMF,86_SCPMF,87_SCPMF,88_SCPMF,89_SCPMF,90_SCPMF,91_SCPMF,92_SCPMF,93_SCPMF,94_SCPMF,95_SCPMF,96_SCPMF,97_SCPMF,98_SCPMF,99_SCPMF,100_SCPMF
ACC,0.2571929824561403,0.3210526315789473,0.470438596491228,0.4496491228070175,0.4642982456140351,0.3614912280701754,0.2137719298245614,0.5033333333333333,0.2559649122807017,0.2291228070175438,0.5208771929824562,0.2799122807017544,0.5646491228070175,0.4450877192982456,0.48912280701754385,0.42394736842105263,0.4368421052631579,0.5041228070175439,0.42894736842105263,0.45842105263157895,0.5552631578947368,0.20149122807017544,0.23201754385964912,0.4142982456140351,0.36096491228070177,0.3756140350877193,0.42657894736842106,0.39649122807017545,0.4629824561403509,0.5226315789473684,0.31526315789473686,0.3842982456140351,0.2816666666666667,0.4708771929824561,0.40289473684210525,0.4819298245614035,0.33131578947368423,0.4975438596491228,0.47736842105263155,0.19736842105263158,0.4170175438596491,0.5058771929824561,0.4976315789473684,0.21368421052631578,0.22350877192982457,0.4442105263157895,0.4707017543859649,0.48473684210526313,0.38728070175438595,0.27342105263157895,0.34192982456140353,0.47350877192982455,0.35543859649122805,0.41578947368421054,0.3350877192982456,0.2979824561403509,0.5068421052631579,0.21543859649122807,0.531140350877193,0.47517543859649125,0.5037719298245614,0.4874561403508772,0.5153508771929824,0.2106140350877193,0.5245614035087719,0.383859649122807,0.20008771929824562,0.22657894736842105,0.23228070175438598,0.5585964912280702,0.37649122807017543,0.517719298245614,0.48219298245614034,0.30026315789473684,0.4670175438596491,0.29482456140350877,0.21859649122807018,0.5146491228070176,0.20859649122807017,0.3457017543859649,0.5480701754385965,0.4419298245614035,0.4575438596491228,0.2957017543859649,0.29754385964912283,0.48973684210526314,0.3126315789473684,0.47149122807017546,0.4617543859649123,0.3941228070175439,0.24,0.3421929824561403,0.47850877192982455,0.4618421052631579,0.3726315789473684,0.47333333333333333,0.4569298245614035,0.295,0.30464912280701756,0.3869298245614035
AUC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HR@10,0.0006140350877192,0.0008771929824561,0.0007017543859649,0.0001754385964912,0.0008771929824561,0.0007894736842105,0.0,0.0007894736842105,0.0002631578947368,0.0,0.0008771929824561,0.0,0.0008771929824561,0.0007017543859649122,0.0007017543859649122,0.0008771929824561404,0.0005263157894736842,0.0008771929824561404,0.0,0.0007017543859649122,0.0002631578947368421,0.0,0.0,0.0002631578947368421,0.00017543859649122806,0.0007017543859649122,0.0007017543859649122,0.0004385964912280702,8.771929824561403e-05,0.0004385964912280702,0.0,0.0003508771929824561,0.0,0.00017543859649122806,0.0007017543859649122,0.0007894736842105263,0.0008771929824561404,0.0007894736842105263,0.0008771929824561404,0.0,0.0004385964912280702,8.771929824561403e-05,0.0008771929824561404,0.0,0.0,0.0008771929824561404,0.00017543859649122806,0.0007894736842105263,8.771929824561403e-05,0.0006140350877192983,0.0007017543859649122,0.0,8.771929824561403e-05,0.0002631578947368421,0.0,0.0,0.0004385964912280702,0.0,8.771929824561403e-05,0.0008771929824561404,0.0008771929824561404,0.0,0.00017543859649122806,8.771929824561403e-05,0.0,0.0,0.0002631578947368421,0.0,0.0002631578947368421,0.0002631578947368421,0.0008771929824561404,0.0007017543859649122,0.0005263157894736842,0.0,0.0007894736842105263,0.0,8.771929824561403e-05,0.0008771929824561404,8.771929824561403e-05,0.00017543859649122806,0.0007894736842105263,0.0007017543859649122,0.0007894736842105263,0.00017543859649122806,0.0,0.0007017543859649122,0.00017543859649122806,0.0007017543859649122,0.0007017543859649122,0.0,0.0,0.0,0.0004385964912280702,0.0008771929824561404,0.0,8.771929824561403e-05,0.0007017543859649122,8.771929824561403e-05,0.0,0.0007894736842105263
HR@2,8.771929824561403e-05,0.0001754385964912,0.0001754385964912,0.0,0.0001754385964912,0.0001754385964912,0.0,0.0001754385964912,8.771929824561403e-05,0.0,0.0001754385964912,0.0,0.0001754385964912,8.771929824561403e-05,0.00017543859649122806,0.00017543859649122806,8.771929824561403e-05,0.00017543859649122806,0.0,0.00017543859649122806,8.771929824561403e-05,0.0,0.0,0.0,0.0,8.771929824561403e-05,0.00017543859649122806,0.0,8.771929824561403e-05,8.771929824561403e-05,0.0,8.771929824561403e-05,0.0,0.0,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.0,8.771929824561403e-05,0.0,0.00017543859649122806,0.0,0.0,0.00017543859649122806,8.771929824561403e-05,0.00017543859649122806,8.771929824561403e-05,0.00017543859649122806,8.771929824561403e-05,0.0,8.771929824561403e-05,8.771929824561403e-05,0.0,0.0,8.771929824561403e-05,0.0,0.0,0.00017543859649122806,0.00017543859649122806,0.0,0.0,0.0,0.0,0.0,8.771929824561403e-05,0.0,8.771929824561403e-05,8.771929824561403e-05,0.00017543859649122806,8.771929824561403e-05,8.771929824561403e-05,0.0,8.771929824561403e-05,0.0,0.0,0.00017543859649122806,0.0,0.0,0.00017543859649122806,0.00017543859649122806,0.00017543859649122806,0.0,0.0,8.771929824561403e-05,0.0,8.771929824561403e-05,8.771929824561403e-05,0.0,0.0,0.0,0.0,0.00017543859649122806,0.0,0.0,0.00017543859649122806,0.0,0.0,0.00017543859649122806
HR@5,0.0002631578947368,0.000438596491228,0.0003508771929824,0.0,0.000438596491228,0.000438596491228,0.0,0.000438596491228,8.771929824561403e-05,0.0,0.000438596491228,0.0,0.000438596491228,0.0003508771929824561,0.0003508771929824561,0.0004385964912280702,0.0002631578947368421,0.0004385964912280702,0.0,0.0004385964912280702,8.771929824561403e-05,0.0,0.0,0.00017543859649122806,0.00017543859649122806,0.0003508771929824561,0.0004385964912280702,0.00017543859649122806,8.771929824561403e-05,0.0002631578947368421,0.0,0.00017543859649122806,0.0,8.771929824561403e-05,0.0003508771929824561,0.0004385964912280702,0.0004385964912280702,0.0003508771929824561,0.0004385964912280702,0.0,0.0002631578947368421,0.0,0.0004385964912280702,0.0,0.0,0.0004385964912280702,8.771929824561403e-05,0.0004385964912280702,8.771929824561403e-05,0.0004385964912280702,0.0003508771929824561,0.0,8.771929824561403e-05,0.0002631578947368421,0.0,0.0,0.00017543859649122806,0.0,0.0,0.0004385964912280702,0.0004385964912280702,0.0,0.0,8.771929824561403e-05,0.0,0.0,0.00017543859649122806,0.0,8.771929824561403e-05,8.771929824561403e-05,0.0004385964912280702,0.0003508771929824561,0.0002631578947368421,0.0,0.0003508771929824561,0.0,0.0,0.0004385964912280702,8.771929824561403e-05,8.771929824561403e-05,0.0003508771929824561,0.0003508771929824561,0.0004385964912280702,0.0,0.0,0.0003508771929824561,8.771929824561403e-05,0.0003508771929824561,0.0003508771929824561,0.0,0.0,0.0,0.00017543859649122806,0.0004385964912280702,0.0,0.0,0.0003508771929824561,0.0,0.0,0.0003508771929824561
Lin's AUC,0.3097719298245614,0.327011403508772,0.5022456140350877,0.5036271929824561,0.5408464912280702,0.3934570175438596,0.3475921052631579,0.5345701754385964,0.3350622807017543,0.4362964912280701,0.4711131578947368,0.3880008771929824,0.5312307017543859,0.4312078947368422,0.450588596491228,0.4293201754385965,0.42787543859649113,0.49998070175438597,0.5055350877192982,0.5067131578947369,0.5386412280701754,0.42288157894736844,0.34085438596491235,0.42941403508771925,0.4429605263157894,0.4721736842105263,0.4478719298245614,0.43666052631578944,0.47936140350877193,0.48429035087719297,0.38069385964912283,0.40541052631578944,0.3790482456140351,0.4954184210526316,0.426669298245614,0.4775631578947368,0.3547921052631579,0.4697491228070175,0.4818394736842105,0.3516078947368421,0.45781842105263154,0.5184587719298245,0.48660701754385965,0.4285447368421052,0.34434298245614037,0.5479087719298246,0.46326578947368424,0.5001833333333333,0.4664684210526316,0.3583359649122807,0.3333394736842105,0.5187868421052632,0.461021052631579,0.4550614035087719,0.35635,0.5047622807017544,0.4804447368421053,0.3330245614035087,0.5254192982456141,0.41163596491228066,0.39289473684210524,0.5526043859649122,0.5240526315789473,0.3112947368421053,0.521748245614035,0.4338377192982456,0.30932719298245615,0.3465921052631579,0.3194008771929825,0.5122359649122807,0.3828456140350877,0.5087894736842106,0.47090175438596493,0.4036122807017545,0.4920166666666666,0.3541473684210526,0.3637140350877193,0.5056657894736842,0.3465280701754386,0.4197578947368421,0.5169526315789473,0.492001754385965,0.4605675438596491,0.3947631578947368,0.3761333333333333,0.46978333333333344,0.3720622807017544,0.5118894736842104,0.463109649122807,0.4759535087719298,0.4070938596491228,0.47162105263157894,0.5225456140350877,0.46988771929824563,0.40148157894736847,0.47357280701754384,0.4569482456140352,0.42124999999999996,0.40378157894736844,0.3552482456140351
NDCGk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
global AUC,0.2633553334672559,0.3224346826034552,0.4722017231373599,0.4538179121467792,0.4692706140350877,0.3647345977858132,0.2232953115932323,0.5054018749162983,0.2621351089237087,0.2440431141466899,0.5180709443774831,0.2873149122807018,0.5631569249140663,0.4442216575152895,0.48712733248515694,0.4242085264050712,0.43938617584036427,0.505205534351145,0.43326760412481585,0.46132608365697964,0.5530518637560823,0.2182021260211598,0.2405050354894871,0.416208297620642,0.36598926275612703,0.3800185605553324,0.42866400718717906,0.3992421711084326,0.4642860497299227,0.5197913865452435,0.3230455950627204,0.3859048212133387,0.28828630753091383,0.47108642917726884,0.4047242578456319,0.48122866278291143,0.3341381065577429,0.49601852372661936,0.47825269407615734,0.20829392995848398,0.4189873923039151,0.5064016662202582,0.4965965436810857,0.22858632650328115,0.23214406611311994,0.44984011539663415,0.4716360486139012,0.4868176085889022,0.39194884268559443,0.28073612673541354,0.3431506595687693,0.47590350653988667,0.36275296750145075,0.4185453406097942,0.33670810008481766,0.31296609526360447,0.5047166923351636,0.22472595977858129,0.5301542185616713,0.4712609816526048,0.49713603633766346,0.49177536270702205,0.516596536984956,0.21890437592071782,0.5239936621132986,0.38836345810454886,0.20769997433150306,0.2359501685192625,0.24049608722824875,0.5557405517610822,0.37672361948127314,0.5152356222936475,0.4823039741529395,0.3086463238248293,0.4694721876255525,0.2985040388821928,0.22876164233739568,0.5140340788357664,0.21935398084906924,0.351755024329271,0.5455731708405874,0.4459206597919735,0.4574583523057007,0.3036229911611089,0.30130747288067494,0.4891434556493013,0.3176969766974688,0.47415873286906834,0.46148279875898407,0.3994108332217311,0.2516543011472702,0.3519098466586312,0.481598639569662,0.46263701843667693,0.37567090196866204,0.473557841167805,0.457628216374269,0.30355333578858085,0.3125788737109951,0.3868267510379001
global NDCG,0.8186713939071002,0.8382406720463772,0.8696141728340847,0.8549805671897027,0.8812162789403212,0.8560188203318791,0.7948384194488826,0.8938892200668789,0.8190739529900154,0.7845724817591883,0.8871251654411538,0.8016452888640311,0.9124634538075632,0.8556162365317609,0.8775376882668543,0.8742793280307705,0.8609209370299413,0.8873244558991862,0.8444212556973303,0.8582422343719042,0.883200935002239,0.7815629669735819,0.7908752804277962,0.8387985860691676,0.8434039179427065,0.8545768961914458,0.8662502072743948,0.8490002843289001,0.8547677744731892,0.8736669002005951,0.810765755708963,0.8517179675081156,0.8126288723746617,0.8611384302905281,0.8419002555705589,0.8827171464254921,0.8476959874722506,0.8945920290350564,0.8817428124964631,0.7745736208650688,0.8428306146728707,0.8626700911200104,0.8771297870885996,0.7808394653330064,0.792805585188612,0.883922266104827,0.8729218352142026,0.8901071201580731,0.8365850008553305,0.8053612700053832,0.8274755365674983,0.8662532581068965,0.8307560370663771,0.86107851856391,0.8201263545504438,0.8047921402596774,0.8733277912924597,0.7953256146407701,0.8884145634142183,0.8754683069224146,0.8764013917435742,0.8785894578887177,0.8702971055731181,0.7865032555994357,0.8628711840320653,0.8431670347190792,0.7895704779782817,0.7926790881740493,0.8079182309675872,0.8660828620921979,0.858377599862725,0.8785708530479203,0.8778155594573888,0.8057197966606666,0.8804285102828071,0.8153109028539994,0.7884978004159078,0.8825982870884429,0.78542048512632,0.8331175088365542,0.8984083053517287,0.8633557068473077,0.8820195934321555,0.8094942647230219,0.8211969641982028,0.8811687405413481,0.815633712959723,0.8633585441040564,0.8699901887862443,0.8311747564761123,0.7966483895618892,0.8378698796983021,0.8522626746001792,0.8915228383028586,0.8292538647366551,0.869708843235451,0.8634041995882455,0.8223287670344515,0.8077170407229719,0.8517603180303478
prediction time (sec),0.0150134563446044,0.0164730548858642,0.0148787498474121,0.0150156021118164,0.0109670162200927,0.0151450634002685,0.0146825313568115,0.0148990154266357,0.0147204399108886,0.0151429176330566,0.0155942440032958,0.0099177360534667,0.0064702033996582,0.0149688720703125,0.014623403549194336,0.018094301223754883,0.014777421951293945,0.014641284942626953,0.015295028686523438,0.015280961990356445,0.015545845031738281,0.006685733795166016,0.006623983383178711,0.005964994430541992,0.006131410598754883,0.006611824035644531,0.006226062774658203,0.006442546844482422,0.00560307502746582,0.005815029144287109,0.006817340850830078,0.006170988082885742,0.008162498474121094,0.0059239864349365234,0.006768941879272461,0.006187915802001953,0.007754325866699219,0.006792545318603516,0.0072019100189208984,0.006848335266113281,0.006608009338378906,0.0065462589263916016,0.00596165657043457,0.006124973297119141,0.005854606628417969,0.006326198577880859,0.006064653396606445,0.006496429443359375,0.006338834762573242,0.006890773773193359,0.008336782455444336,0.006535768508911133,0.007391929626464844,0.006615877151489258,0.006338596343994141,0.006214141845703125,0.006231069564819336,0.0058858394622802734,0.0057697296142578125,0.006557464599609375,0.005989551544189453,0.007984638214111328,0.006597757339477539,0.008530139923095703,0.00619816780090332,0.0064525604248046875,0.006404399871826172,0.006236076354980469,0.0062732696533203125,0.006216287612915039,0.006081342697143555,0.006031513214111328,0.006261348724365234,0.006297588348388672,0.00790548324584961,0.006241559982299805,0.006059408187866211,0.00678253173828125,0.006140708923339844,0.006593227386474609,0.0062427520751953125,0.006380796432495117,0.006264686584472656,0.006313800811767578,0.006784677505493164,0.006449699401855469,0.006277322769165039,0.00628662109375,0.0072443485260009766,0.006562232971191406,0.006623983383178711,0.006274700164794922,0.006815433502197266,0.006317615509033203,0.006876945495605469,0.006696939468383789,0.010689020156860352,0.006529092788696289,0.006407499313354492,0.006757020950317383
