,1_ALSWR,2_ALSWR,3_ALSWR,4_ALSWR,5_ALSWR,6_ALSWR,7_ALSWR,8_ALSWR,9_ALSWR,10_ALSWR,11_ALSWR,12_ALSWR,13_ALSWR,14_ALSWR,15_ALSWR,16_ALSWR,17_ALSWR,18_ALSWR,19_ALSWR,20_ALSWR,21_ALSWR,22_ALSWR,23_ALSWR,24_ALSWR,25_ALSWR,26_ALSWR,27_ALSWR,28_ALSWR,29_ALSWR,30_ALSWR,31_ALSWR,32_ALSWR,33_ALSWR,34_ALSWR,35_ALSWR,36_ALSWR,37_ALSWR,38_ALSWR,39_ALSWR,40_ALSWR,41_ALSWR,42_ALSWR,43_ALSWR,44_ALSWR,45_ALSWR,46_ALSWR,47_ALSWR,48_ALSWR,49_ALSWR,50_ALSWR,51_ALSWR,52_ALSWR,53_ALSWR,54_ALSWR,55_ALSWR,56_ALSWR,57_ALSWR,58_ALSWR,59_ALSWR,60_ALSWR,61_ALSWR,62_ALSWR,63_ALSWR,64_ALSWR,65_ALSWR,66_ALSWR,67_ALSWR,68_ALSWR,69_ALSWR,70_ALSWR,71_ALSWR,72_ALSWR,73_ALSWR,74_ALSWR,75_ALSWR,76_ALSWR,77_ALSWR,78_ALSWR,79_ALSWR,80_ALSWR,81_ALSWR,82_ALSWR,83_ALSWR,84_ALSWR,85_ALSWR,86_ALSWR,87_ALSWR,88_ALSWR,89_ALSWR,90_ALSWR,91_ALSWR,92_ALSWR,93_ALSWR,94_ALSWR,95_ALSWR,96_ALSWR,97_ALSWR,98_ALSWR,99_ALSWR,100_ALSWR
ACC,0.45121951219512196,0.4268292682926829,0.5,0.45121951219512196,0.524390243902439,0.5121951219512195,0.5365853658536586,0.45121951219512196,0.3780487804878049,0.5121951219512195,0.5365853658536586,0.5,0.5121951219512195,0.4634146341463415,0.4024390243902439,0.4634146341463415,0.5487804878048781,0.5121951219512195,0.47560975609756095,0.524390243902439,0.5121951219512195,0.47560975609756095,0.5975609756097561,0.4268292682926829,0.43902439024390244,0.4634146341463415,0.5121951219512195,0.4146341463414634,0.47560975609756095,0.45121951219512196,0.47560975609756095,0.5,0.5365853658536586,0.45121951219512196,0.4634146341463415,0.5365853658536586,0.4024390243902439,0.47560975609756095,0.45121951219512196,0.4268292682926829,0.4878048780487805,0.573170731707317,0.4024390243902439,0.43902439024390244,0.43902439024390244,0.4634146341463415,0.524390243902439,0.35365853658536583,0.5121951219512195,0.47560975609756095,0.5975609756097561,0.34146341463414637,0.43902439024390244,0.4878048780487805,0.47560975609756095,0.524390243902439,0.45121951219512196,0.4268292682926829,0.45121951219512196,0.4146341463414634,0.5,0.45121951219512196,0.45121951219512196,0.43902439024390244,0.47560975609756095,0.4634146341463415,0.45121951219512196,0.45121951219512196,0.4634146341463415,0.45121951219512196,0.4146341463414634,0.43902439024390244,0.573170731707317,0.3780487804878049,0.45121951219512196,0.5609756097560976,0.4146341463414634,0.573170731707317,0.5487804878048781,0.45121951219512196,0.5121951219512195,0.47560975609756095,0.5487804878048781,0.4634146341463415,0.524390243902439,0.4634146341463415,0.5,0.47560975609756095,0.4268292682926829,0.5121951219512195,0.4024390243902439,0.4146341463414634,0.4268292682926829,0.47560975609756095,0.45121951219512196,0.4634146341463415,0.4634146341463415,0.4146341463414634,0.4878048780487805,0.4878048780487805
AUC,0.5412294838426696,0.5530373216169787,0.5719512836280954,0.5442586557796656,0.5691711648266384,0.5504395837384941,0.5732187776548224,0.5428973100675597,0.5464737760950192,0.5654721540749684,0.5597138814491589,0.5870288861895835,0.5805662080901187,0.5437480263312189,0.49543573410373615,0.517001935612558,0.5772361121128565,0.5744837040736253,0.5595260420436413,0.5965415015382152,0.557136173585395,0.545109740860105,0.5903810669674008,0.5408854561395574,0.5372602759682209,0.5249136628831022,0.5601332771675206,0.5420937973763359,0.5697757558795573,0.5573081083420973,0.5499152867660158,0.5653473765274276,0.5723527912137796,0.5562049193574792,0.5281351475090768,0.5572789492984351,0.5438276517559886,0.5250805392810679,0.5569918390953265,0.5653803871648911,0.5529959371520996,0.5706001516793135,0.5443733805790453,0.5700195692382776,0.5405657109281677,0.535275818760509,0.5960292542389116,0.5158077565175083,0.5843387528071172,0.5570627936595354,0.5778972005067048,0.5145776632499528,0.5263268581172202,0.5594812316185371,0.5547140780881199,0.5697553998758494,0.538560696994949,0.5457237158912968,0.542091263854258,0.5353798082358742,0.5607886931238925,0.5609985212667858,0.5668387435130671,0.53657801230656,0.5554498910269929,0.5786097333714281,0.5671112369304304,0.5417844998948423,0.5365275961892001,0.5316819606689374,0.52176490804276,0.5482072674396298,0.5833871531465967,0.49434674414745033,0.5601378346674164,0.6147106052255429,0.5475386129123428,0.5689160987662938,0.5936896066697589,0.5559117452982182,0.5771381661733677,0.5567516845589124,0.5897072949462135,0.5277457305682576,0.5630049229436901,0.5162758796358252,0.5725510002478057,0.5686893645556127,0.5313909959879881,0.5493988802551762,0.5033132259947058,0.5207426849943352,0.52291584543201,0.5746792494185488,0.5505746840549993,0.5652124129488111,0.5267015862779487,0.5330317167773059,0.5732957793881742,0.5518358274456462
Fscore,0.000488788504139254,0.0004455628558098456,0.0005416557153066344,0.0006874385712853822,0.0007106572808645347,0.000778103069760943,0.0006667058075343285,0.0005409639506856438,0.00034419034580035826,0.0005518869916306288,0.0006404057777369355,0.000596484449244375,0.0006858480660943295,0.0006950569186880908,0.0004957289303439906,0.0006958971439256738,0.0007639304891499489,0.0006813618477408332,0.0004931319384707337,0.0005415256359125592,0.0006702852979052165,0.0005612307222404414,0.0008147798381949701,0.0005774848335692316,0.0005092245970871867,0.0006194525913018232,0.0006440753598693338,0.0006955751479257622,0.00046722943471178983,0.0005267039568071563,0.0005758830962557691,0.0005509221882397709,0.0007567967004719715,0.00043642803545341754,0.000508842875231551,0.0008624610793570068,0.0005134748419712781,0.0006226616076052811,0.00043637900164213654,0.0004611001947025805,0.0006389817661972606,0.0009426561347695198,0.0003802740998175902,0.0006905956682255073,0.000531911060318377,0.0008051294296554247,0.0007821279565343371,0.0003506635125763505,0.0005279956292786155,0.0007658724259264738,0.0008442171070820598,0.0002803440093448353,0.000488020752242263,0.0004970519063324509,0.00045139716763733785,0.0006720372241142549,0.0005314627990918197,0.00042292577455735504,0.0004892409755834504,0.0005464099338771758,0.0007853376729397698,0.0005189338678314525,0.00045251512110225725,0.0007286804583751598,0.00048449385183942225,0.0003960219766255781,0.0005587761330100707,0.0005592489259946569,0.0006666402134485839,0.0006073300168414463,0.00044601939532067883,0.0005744213065690714,0.0006994865387582329,0.0005263557324993487,0.00047438615865126686,0.0005026054667681243,0.000479869639136414,0.000779848073861362,0.0008005821429970078,0.0004956523026993929,0.0005265220855220459,0.0008104753228553052,0.0005594187020827635,0.0007456186538189441,0.0006022119033903146,0.0006466637837980949,0.0006992759098137496,0.0005576122770191608,0.0004770544765083879,0.0005318980305541967,0.000594833520190958,0.0005572578067691261,0.0004686478955764356,0.0004624582181794598,0.0005415438495119394,0.0006283470900295919,0.0006974050965789913,0.0004281850645127122,0.0005282162309886524,0.0006222153295105213
HR@10,0.0375,0.0375,0.0,0.025,0.0,0.0,0.0625,0.025,0.025,0.05,0.0125,0.0,0.0375,0.0375,0.0,0.0,0.0375,0.025,0.0125,0.0,0.0125,0.0,0.0375,0.0375,0.0125,0.025,0.0125,0.0,0.0,0.025,0.0,0.0375,0.0125,0.025,0.0375,0.0375,0.0375,0.0375,0.025,0.05,0.0,0.0,0.0,0.025,0.0375,0.025,0.0,0.0,0.0125,0.025,0.0,0.0,0.0,0.0125,0.0125,0.0,0.0,0.0125,0.025,0.025,0.0,0.0,0.0375,0.0,0.0875,0.0625,0.0125,0.0125,0.0375,0.0,0.0375,0.0125,0.0,0.0125,0.0,0.025,0.0,0.0,0.025,0.0,0.025,0.0375,0.0,0.025,0.0625,0.0375,0.0,0.025,0.0,0.0,0.0375,0.0,0.0125,0.0625,0.0375,0.0,0.0625,0.0125,0.0,0.0
HR@2,0.025,0.0,0.0,0.0,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.0125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0125,0.0,0.0,0.0125,0.0,0.0,0.0,0.0,0.0,0.0125,0.0,0.0125,0.0,0.0,0.0,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0125,0.0,0.0,0.0,0.0,0.0,0.0,0.0125,0.0125,0.0,0.0,0.0125,0.0,0.0125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0125,0.0,0.0,0.0,0.0125,0.0,0.0125,0.0,0.0,0.0125,0.0,0.0,0.025,0.0,0.0,0.025,0.0125,0.0,0.0
HR@5,0.0375,0.025,0.0,0.025,0.0,0.0,0.0375,0.0,0.0,0.025,0.0125,0.0,0.0375,0.0,0.0,0.0,0.025,0.0125,0.0,0.0,0.0,0.0,0.0125,0.0125,0.0,0.0125,0.0,0.0,0.0,0.0125,0.0,0.0375,0.0,0.0125,0.0125,0.025,0.0,0.0125,0.0,0.05,0.0,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.0125,0.0,0.0,0.0125,0.0,0.0,0.0,0.0,0.0125,0.0,0.0375,0.05,0.0125,0.0125,0.025,0.0,0.025,0.0,0.0,0.0125,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.025,0.0,0.0,0.025,0.025,0.0,0.025,0.0,0.0,0.0375,0.0,0.0,0.05,0.0,0.0,0.0375,0.0125,0.0,0.0
Lin's AUC,0.5102174885261875,0.5447720629069523,0.5799253254775261,0.5315603526581398,0.6028021326380578,0.53906674578674,0.6209737547757931,0.5589031133795237,0.4858912354213401,0.5613579006295434,0.6255713133513405,0.5794919099720249,0.5538995494769281,0.5827514803724613,0.5338506245564085,0.5623552092963942,0.5872154882694306,0.5534890233753809,0.5003720064708421,0.5777483496020068,0.5919861545817852,0.585299082070287,0.6331316933002342,0.4729555124514269,0.5665796319753671,0.5905753766168197,0.5940117647371707,0.5232112604028656,0.5595167211688568,0.5226460574002542,0.566128361838815,0.5299941016737842,0.5705017124362131,0.5354405000199008,0.5793692089014251,0.5854319962948346,0.49471856406467124,0.5730813592370337,0.5353074558666286,0.4982158518875665,0.5493447626349817,0.6394738915059313,0.45634247571696424,0.5910905041574498,0.5214850729430074,0.5201007559138665,0.6398376694545339,0.5131591559753432,0.575520999670907,0.5714168844928866,0.5561625111413474,0.47247829803465047,0.5606808609552177,0.5229437056637493,0.5412938574001372,0.5635906776149118,0.5560632289965446,0.5039048895714153,0.5292029195317277,0.48836056849131076,0.5693473851915457,0.510954471394495,0.5561145491391007,0.5506305840789116,0.5358402294990475,0.5375645671809435,0.4986016903745415,0.5499309146834714,0.5816247151796948,0.5620730922452546,0.45556439906983504,0.5217824099233508,0.571302712058565,0.5213322850956976,0.5355603788431038,0.5948819480053118,0.544462162914525,0.5700793656910575,0.5851179859496577,0.5838918881449228,0.5995292982633955,0.5191578636363067,0.6320831012397985,0.5544171898221302,0.5753402623270988,0.5315458555784981,0.5673204445247635,0.5852604156355682,0.5233638268127265,0.5516925701526032,0.48407425919103847,0.5131855344849672,0.4833322746757256,0.5394348915920186,0.5854663642884717,0.587121291836879,0.5790575287393248,0.4843177858436033,0.5715047457007155,0.5359813175659782
NDCGk,0.18882706749386832,0.20769933522369494,0.1973568534691524,0.21825000822565588,0.2120673966099019,0.20346722787964316,0.24359166980118252,0.2178258365843203,0.20672008559404897,0.2080071471402513,0.23888051822077827,0.22876863112260665,0.215294195640059,0.20048242439366012,0.2014509237464569,0.2168763002167487,0.20751665316573709,0.20748755167811972,0.20474639221209098,0.23334569843161027,0.20415121434008388,0.20460834337439854,0.21571231770858787,0.20174369853126137,0.2508367113012539,0.23630779694324736,0.21057717656488958,0.2253015399564968,0.20871156253875198,0.2412085271289174,0.2195909042861704,0.21988619785597477,0.22067123282755005,0.2261882364826323,0.2520737460479783,0.2226547134721692,0.21124279501275856,0.22390608186797487,0.22152149587563189,0.21045435265295334,0.24531504921680652,0.22249661775306884,0.23188699961805181,0.21789509132769225,0.2142529872106952,0.22747525373858757,0.22967058422060557,0.19835916174323315,0.2145434776230503,0.21369854775961206,0.24626413469396863,0.20574142725984707,0.19431367338406633,0.20906989482413021,0.20416976939245046,0.20443044751862577,0.18728606948242613,0.1915765525606947,0.20143719405134913,0.20389871542324264,0.20642490522690649,0.1912410004795288,0.2218979427361975,0.22967425909817152,0.2261787071805311,0.21493465862601224,0.23925531338993614,0.22476069572253368,0.21701847044573372,0.22332028613551178,0.2017324259913211,0.22035617517205353,0.20875618202798163,0.1944551887155481,0.21641478429049843,0.2221104379853956,0.20835437963548234,0.2491156674843021,0.22029242634423854,0.19996395720107848,0.23538009283409927,0.20192509574041306,0.2595912031123913,0.21507843406497074,0.19660122254645906,0.21742697276756798,0.20564239355959282,0.20213481157019317,0.22610650301545335,0.21510463178134795,0.19992482688433177,0.1953026955529813,0.19441938998586028,0.23861678472354658,0.21753861745667225,0.1956586191327506,0.22913870004973805,0.21246132483663918,0.2029235030541011,0.21352272385777663
global AUC,0.4769586032027507,0.46809967777861883,0.5349506125450082,0.4888962025453326,0.546475433322881,0.5330615491495734,0.5608995031519306,0.48847767968167116,0.42603302769157586,0.5332355676178325,0.5582924023874659,0.5341187028967486,0.5324574516397609,0.5012461073927099,0.4487882908210158,0.4929687753424953,0.5707793594498449,0.5322173399435572,0.5128080295838153,0.5528281549041446,0.5348856005968664,0.5130259750440621,0.6133847571986204,0.45148844922850684,0.4807705199874573,0.4931076522171641,0.5345677043348508,0.4445848155877296,0.500067242087735,0.4766013078079215,0.5050194360044548,0.5236240038709816,0.5545461057707904,0.4773855059848837,0.5020486197463316,0.560749610739271,0.44337817490782094,0.5051093849680481,0.49203083269357606,0.46529713568980247,0.5273590146297157,0.596702231761513,0.4247673221024405,0.48396637760453276,0.47670646226874125,0.48798535947147026,0.5495182222678762,0.40181296832931457,0.532658975163003,0.5109780986775948,0.611822713363537,0.38621692635403265,0.46719910686288285,0.5095975071094146,0.502295016381389,0.5439682157801975,0.4895231420909789,0.4586082712498513,0.4821732102116065,0.44665783170961165,0.5295219121352033,0.4772321669928527,0.4874013332179968,0.4733218537460939,0.5243346750213552,0.5018748040180356,0.47232133202858906,0.49232176454051,0.49498279413513835,0.4924393537190618,0.445556886130424,0.47629611658358834,0.5930733215834262,0.42644938799563165,0.48889262080598606,0.5754683968945644,0.449157209973725,0.5872517111252877,0.569601102364759,0.48223362672058645,0.5517400495226151,0.4984320091260015,0.5812053972081355,0.5031213844706593,0.5479996323648672,0.49960317031238155,0.5334250619032688,0.5155558994626039,0.45975652282041024,0.5313309608252327,0.4270503768260113,0.44387373895743015,0.4572986386687284,0.4994225290053307,0.4838122276526496,0.503624111998962,0.5039455900003244,0.4570412264956802,0.5260940524204449,0.5086964631337652
global NDCG,0.5167254316169054,0.4119462019288015,0.3781205279196872,0.4189920442446422,0.40673518654807106,0.38357215396953637,0.5217086713871186,0.3893622974446423,0.3922960649997403,0.43585313404136145,0.40713225020304067,0.37237066381328704,0.4586887127723629,0.4136349415738053,0.35526969922883245,0.38812701936211097,0.47298095975077487,0.4036058283592453,0.42057037489715704,0.3918721941291895,0.3936883632925762,0.38044219382357164,0.46835733124960677,0.392282325826172,0.3981171484306957,0.42020417806266375,0.403936031279663,0.37934481221027627,0.37211831499588205,0.3859230760846294,0.39207917384306695,0.4909896654491237,0.40964063200646816,0.4379753009747002,0.42626916506449125,0.47131286521609644,0.39887056835998497,0.4386845930630213,0.3972902187965204,0.5041772935965662,0.3895346384058923,0.3875793980780004,0.346705582371629,0.40723170387517876,0.3969299601227566,0.37206884615429636,0.3937736885589802,0.35316839388885324,0.40372362276383766,0.4631078587225136,0.395960264889099,0.36581667875657947,0.371492918984837,0.41883764266567297,0.3846684488901014,0.36453000490939785,0.37070137372138845,0.4248883613680905,0.3826866796197664,0.37215799173318564,0.3843915905808681,0.3807974311935977,0.4169372448953946,0.41190835110737434,0.5239998719116972,0.5100645476829326,0.3747817645726195,0.38863255116601575,0.459723269909263,0.3802731128008356,0.4694891654703831,0.368454719156316,0.38843835934881005,0.3765871697167785,0.3565985519916724,0.42888173865529183,0.3461423120649883,0.4137068767610369,0.41513491356803006,0.39909103486281117,0.4498327732034287,0.44432598616272506,0.39092066194324826,0.40212437478632407,0.46955414653067895,0.43444793688852845,0.39338035619421924,0.4297614154243385,0.3552855794163736,0.3650222106803082,0.4356255141892501,0.35582699310384736,0.38681772944031945,0.5243198934160384,0.42261026752297476,0.37979829328193654,0.5056270567179078,0.4020045196149923,0.4097912758603587,0.370450520148693
