,1_BNNR,2_BNNR,3_BNNR,4_BNNR,5_BNNR,6_BNNR,7_BNNR,8_BNNR,9_BNNR,10_BNNR,11_BNNR,12_BNNR,13_BNNR,14_BNNR,15_BNNR,16_BNNR,17_BNNR,18_BNNR,19_BNNR,20_BNNR,21_BNNR,22_BNNR,23_BNNR,24_BNNR,25_BNNR,26_BNNR,27_BNNR,28_BNNR,29_BNNR,30_BNNR,31_BNNR,32_BNNR,33_BNNR,34_BNNR,35_BNNR,36_BNNR,37_BNNR,38_BNNR,39_BNNR,40_BNNR,41_BNNR,42_BNNR,43_BNNR,44_BNNR,45_BNNR,46_BNNR,47_BNNR,48_BNNR,49_BNNR,50_BNNR,51_BNNR,52_BNNR,53_BNNR,54_BNNR,55_BNNR,56_BNNR,57_BNNR,58_BNNR,59_BNNR,60_BNNR,61_BNNR,62_BNNR,63_BNNR,64_BNNR,65_BNNR,66_BNNR,67_BNNR,68_BNNR,69_BNNR,70_BNNR,71_BNNR,72_BNNR,73_BNNR,74_BNNR,75_BNNR,76_BNNR,77_BNNR,78_BNNR,79_BNNR,80_BNNR,81_BNNR,82_BNNR,83_BNNR,84_BNNR,85_BNNR,86_BNNR,87_BNNR,88_BNNR,89_BNNR,90_BNNR,91_BNNR,92_BNNR,93_BNNR,94_BNNR,95_BNNR,96_BNNR,97_BNNR,98_BNNR,99_BNNR,100_BNNR
ACC,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561
AUC,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Fscore,0.0004708517599116,0.0004444922637885,0.0004416001931666,0.0006287822024838,0.0005466353344046,0.0006257508446031,0.0004959601085296,0.0004675380714761,0.0004116498735731,0.0004224427776345,0.0005490289159672,0.0004802217172485,0.000583283497716,0.000626911876511,0.0005018159804101,0.0005850775194468,0.0005630022179124,0.000528588868875,0.0003805779600152,0.0003724714708418,0.0005573795463359,0.0004458188032737,0.0005912898140721,0.0005430267964947,0.0004412885079295,0.0005435954794967,0.000510118392276,0.0006948217724773,0.0004024890074547,0.0004647156202468,0.0005778597676734,0.00044915508858354015,0.0005569665509875076,0.00039122055904588344,0.0004007281595499538,0.0006484833606326165,0.0005410073751185939,0.0005196254124192072,0.000466576429687216,0.0004535216640279506,0.0004890125089222328,0.000683249582079155,0.00046900272126264867,0.0006255430242479518,0.00048814991716556263,0.0007022509857114201,0.0006931313927261278,0.00043471714244091035,0.0004478010318925833,0.0006872357107222772,0.0005733118194617061,0.0003410379567710747,0.0004131437862268964,0.00039619280169362524,0.00043750458953538906,0.0005830641821031685,0.00045955964133036545,0.0004010852766998725,0.00041631804591142694,0.0005683562601204971,0.0005736815611816899,0.0005444300687824502,0.00043024738555413303,0.0007263777956413676,0.0003879020768763585,0.0003870250443662398,0.0005639889299562946,0.00044567861137315487,0.0006010280004072186,0.0005261799384067854,0.0004398080077041744,0.0005264195318406872,0.0005299553579219692,0.0005657029598928277,0.00039421483444185225,0.00038607438479184035,0.000526506108119847,0.0005450912389059121,0.0005986888761713066,0.0005442668894523196,0.00045224706853924527,0.0006388388464994556,0.0004462084953623028,0.0007461331302359425,0.00050023917928128,0.0004883995797703495,0.0005690976658128216,0.0005587190904983505,0.00038784406328759737,0.00040556786729656883,0.0005653364534070744,0.0005136851298717734,0.00048323051915074954,0.0004026102663604082,0.0005389438374725158,0.0005734630425682415,0.0006252315485518729,0.00036461994153648306,0.000439355776427593,0.0004787356129707297
HR@10,0.0875,0.075,0.075,0.0875,0.0875,0.1,0.1,0.0875,0.1125,0.075,0.05,0.05,0.0875,0.075,0.0625,0.0875,0.0875,0.0875,0.0875,0.05,0.0625,0.0875,0.075,0.0625,0.125,0.0875,0.0625,0.0875,0.1,0.075,0.0875,0.05,0.05,0.075,0.1,0.0875,0.075,0.075,0.0875,0.0875,0.0875,0.1,0.1125,0.0875,0.0625,0.1,0.1125,0.0625,0.075,0.075,0.075,0.075,0.0875,0.075,0.075,0.05,0.0625,0.0875,0.075,0.0625,0.1125,0.075,0.075,0.0875,0.05,0.0875,0.075,0.075,0.05,0.0625,0.1125,0.0875,0.1,0.075,0.0375,0.075,0.0875,0.075,0.0625,0.1,0.0625,0.1,0.0625,0.1,0.075,0.0875,0.1125,0.0875,0.0375,0.0625,0.0875,0.05,0.0875,0.0875,0.075,0.0625,0.1,0.0875,0.0625,0.0875
HR@2,0.025,0.025,0.025,0.025,0.0125,0.025,0.025,0.0125,0.025,0.025,0.025,0.0,0.025,0.025,0.0125,0.025,0.025,0.025,0.025,0.025,0.0125,0.0125,0.025,0.0125,0.025,0.0125,0.025,0.0125,0.025,0.025,0.025,0.0125,0.025,0.025,0.0125,0.025,0.0125,0.0125,0.025,0.025,0.0125,0.025,0.025,0.025,0.025,0.0125,0.025,0.025,0.025,0.025,0.0125,0.0,0.0,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.0125,0.025,0.0,0.0125,0.025,0.025,0.0125,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.0125,0.025,0.025,0.025,0.025,0.0,0.025,0.025,0.025,0.0125,0.0125,0.025,0.025,0.0125,0.0125,0.0125,0.025,0.025,0.025,0.0125,0.025,0.0125,0.025
HR@5,0.0625,0.0375,0.0375,0.0375,0.0375,0.05,0.0625,0.05,0.0625,0.05,0.0375,0.025,0.05,0.0375,0.0375,0.0375,0.05,0.05,0.0375,0.025,0.0375,0.0375,0.05,0.025,0.0625,0.0375,0.05,0.0375,0.05,0.0375,0.05,0.025,0.0375,0.0625,0.0375,0.0375,0.0375,0.025,0.0625,0.0625,0.0375,0.0625,0.0625,0.0375,0.05,0.05,0.0625,0.0375,0.05,0.05,0.025,0.0375,0.0375,0.05,0.05,0.0375,0.0375,0.0375,0.0375,0.0375,0.0625,0.025,0.05,0.0375,0.025,0.0625,0.0375,0.025,0.05,0.0375,0.0625,0.05,0.05,0.05,0.0375,0.0375,0.05,0.0375,0.05,0.05,0.0375,0.0625,0.0125,0.0625,0.05,0.05,0.05,0.0375,0.025,0.05,0.0375,0.025,0.025,0.05,0.05,0.05,0.0375,0.05,0.025,0.0625
Lin's AUC,0.7090433950859473,0.6967727116662715,0.7496875952008628,0.6974654825760451,0.7873606662058631,0.7616245760432885,0.6487791068350345,0.7972217327080934,0.7123712341050057,0.6981702613682079,0.7990267528768235,0.7471841158078107,0.7213462076138022,0.7625057611355575,0.7749525223321606,0.7326521760241576,0.7554881967869566,0.6869631554751461,0.7269788092507998,0.7336905784647346,0.7671451039308116,0.7335671354798741,0.7685023707187757,0.6945855118028088,0.8201833645462402,0.7033660981162623,0.6812934184631024,0.7967244307107167,0.7238460015912471,0.6923504914194082,0.7593722919495021,0.7270801552162135,0.6968102462372665,0.6473465982468036,0.7471557930381965,0.714326348020459,0.7347307790293938,0.7057867313678026,0.7525684848299017,0.7436723897975634,0.750252930213311,0.7874718244775367,0.7111723101688291,0.7450667578208512,0.6764537524992312,0.78144256156112,0.7947537722821706,0.7394798726202302,0.7131763045650379,0.7468031155594911,0.7867764371627908,0.7123987599272673,0.718382854461773,0.7587001807078476,0.7288328187431016,0.7343766550187742,0.6849222399530223,0.6851698478100203,0.6774668219526624,0.7071159177630798,0.7150295011711565,0.6709635706611748,0.7396594848287029,0.8198630002667235,0.7263850693681375,0.696335835790205,0.7015717625346788,0.7531939671827202,0.7698188491992328,0.7052755137181861,0.7236642952792537,0.7384416684712899,0.7559151419121624,0.688893868469373,0.7369055305200242,0.6645496479648497,0.6883797894248762,0.7632673019306101,0.7021273761929234,0.760246415033915,0.798721103155887,0.6998847937639766,0.7428781743947618,0.7880034037790842,0.7330058165857276,0.7546125565198445,0.8084207547436322,0.7516445971285064,0.7012349362787481,0.7184198767016843,0.7423424406555783,0.7610833739774304,0.7256609631311948,0.7202826427007477,0.7514131044819339,0.7204563671114941,0.7656629774807637,0.7333867345626062,0.7100530377648139,0.713120452982558
NDCGk,0.1912639160052279,0.1913594928153631,0.1978913251330878,0.2047738107035754,0.1906292395808944,0.2131772411728223,0.2232782184905685,0.2007475035996035,0.1915780622451829,0.2018124271620714,0.2153004457629454,0.1897168613730034,0.2169975609210241,0.1883752884394902,0.2066445086489669,0.2018428666470872,0.1961852275092947,0.2051310436822288,0.1767973397478993,0.2245560415868166,0.2042816472949924,0.2146751195340017,0.2038553827164905,0.188717395765733,0.2249897815654576,0.2186873355613243,0.1895942483794701,0.2075779188589712,0.2021826455795027,0.2277451106076677,0.1921975818832777,0.18516686815657726,0.19253573295856785,0.19634553266292995,0.22607839480806163,0.19150565811570336,0.21442765821580564,0.2202470962056601,0.1921535151755057,0.20080552768581422,0.21454925908417993,0.2009282336165022,0.20851552634893597,0.20346678404108834,0.2007563441409591,0.19501985686157564,0.1952788544093261,0.22063897729245205,0.1993658987228799,0.19841806357850122,0.23157599017018232,0.18830093552518679,0.22197654386237678,0.20107912648580478,0.20235768223129205,0.1965184349827024,0.18616853468281644,0.17794465446372684,0.21541183955292958,0.20884018525585119,0.20246634703742858,0.18182144558951213,0.20062067214595436,0.22659946578032153,0.2272204456259983,0.2002545278478778,0.22377411977997722,0.215244803586844,0.19619387950821934,0.19656259930895698,0.23963010470845936,0.20839936900465603,0.18561437040676596,0.19796443412696282,0.2107183321519106,0.20846395363152495,0.2113693227000778,0.18219580159057053,0.22558839716921525,0.18679833693981274,0.21122425763685557,0.194090987850159,0.18138840205526596,0.21232861064917508,0.20594598394837282,0.19049676389807108,0.20759944605378064,0.1829386343555825,0.21469886122263931,0.20582845594289848,0.19119325812226443,0.19874663071147647,0.18913072665123126,0.2078520059035056,0.19407414863246758,0.20996830009052267,0.21573937712078645,0.2205978238838957,0.19807100982751202,0.1977797022841183
global AUC,0.9468591524928904,0.942469561973552,0.954319374912146,0.9498591633056886,0.9594877572094332,0.958159742871663,0.9445045981423612,0.9616747131905324,0.948037071678038,0.9464277218515836,0.9658566304077506,0.9548206156807196,0.9504495420780036,0.9592757587881016,0.9661347896370144,0.9557703848274818,0.958676797357352,0.9471731291156212,0.9582473941156754,0.955561765405534,0.9609518776423774,0.953307499756712,0.9601173999545862,0.9482261604835484,0.9640456218980784,0.949819561432912,0.9494089454278084,0.9635072121362844,0.9544608874063342,0.948783289901928,0.9620411318836976,0.9520840992398603,0.952237708551842,0.9358626720586486,0.9631489030416401,0.9569104592195322,0.95475350875296,0.9535243639371561,0.9618093325259778,0.9511102040374988,0.9611836770000973,0.9628100569834457,0.9492635808743228,0.9562245899246348,0.9476187515543398,0.9633187991306511,0.9679668155228529,0.9529769660370013,0.9480741055112831,0.9580103910989047,0.9640878593903744,0.9537023020447002,0.9477911481028946,0.9542575392234248,0.9532868878604717,0.9593417168560708,0.9477861471838067,0.9449977293124141,0.9425049738870928,0.952004287274418,0.950758585361634,0.9514143139820291,0.9486827308802699,0.9715250370338333,0.9518491236227198,0.9511241255149595,0.9493853600121103,0.9577229734113296,0.9616195679205908,0.949681968578009,0.9565703291415719,0.9502701847907183,0.9600037304153195,0.9474862947784999,0.9539025415481764,0.9408508861087983,0.9480082826032893,0.9599616956629866,0.9545054226182109,0.9546078062995361,0.9640013570061524,0.9500033789993837,0.9571457051566233,0.9604424596952953,0.9489214233967324,0.9576234280894868,0.9656361169079722,0.9621371630461816,0.9498957916590076,0.9484298465663961,0.950611260988506,0.9534826670847616,0.9540091151887374,0.9551790599353394,0.9559186553204373,0.9481007996064141,0.959952099304737,0.9548858979488122,0.9501735454083453,0.949886195300758
global NDCG,0.6897647832003257,0.6139792726572987,0.6355878805922647,0.6689492850696778,0.6216986598346556,0.6797890436939236,0.6875346259529342,0.6576619177751551,0.6500699381196402,0.6766929039527567,0.7049974398960555,0.5649356941808195,0.6648592807254857,0.6840461090260388,0.6692849419517646,0.6701137960102356,0.6949423524306807,0.6732537767901229,0.7032849593234247,0.6151044821251735,0.6402984429799539,0.6632684698918724,0.6775122797990175,0.6011779614984468,0.7530657824614171,0.5919153358417838,0.6513002273291071,0.6885179177229921,0.6751258106686809,0.607766159333724,0.6981406187000292,0.6215275447394424,0.6455182761888263,0.6361745649130418,0.7038142976439264,0.6597467062114336,0.6477199764383276,0.6131769917164612,0.6942066105849974,0.6839399456830606,0.6515751832840605,0.6722558100746017,0.6647684306100263,0.6495644967967518,0.6530579357850644,0.6893391989046359,0.7609125219684305,0.6321659844910119,0.6377258541150761,0.6886936940052678,0.6601703836630012,0.5989272094298798,0.6051212325167791,0.6690818806754383,0.6746380517960131,0.6832128201903823,0.6126154576726776,0.6439529541801438,0.6180911998705954,0.644626371750753,0.690952030457789,0.6116310888798182,0.637862348201613,0.6601535317558835,0.6315979977325986,0.6672909890548052,0.6285050309157315,0.6060093443781862,0.6583685516971363,0.63483003036942,0.7213342930450904,0.6904712844510963,0.7099648058735853,0.6633657784095505,0.6145990175887968,0.6363475925782651,0.6304666661232377,0.6460574077744415,0.649395750759203,0.6922765641664513,0.6546292557170638,0.6948128337557921,0.5830086039347475,0.6937825245156813,0.6311097396000219,0.6836675461828846,0.6901094428144398,0.6759340101047117,0.6220334165253649,0.6329141045439841,0.6162875240766331,0.6006046506615893,0.6450702776831141,0.6706159742486665,0.6810558137875149,0.6657564059620507,0.6667340304969948,0.6728013261169841,0.6242688336902462,0.7041718825643557
