,1_DDA_SKF,2_DDA_SKF,3_DDA_SKF,4_DDA_SKF,5_DDA_SKF,6_DDA_SKF,7_DDA_SKF,8_DDA_SKF,9_DDA_SKF,10_DDA_SKF,11_DDA_SKF,12_DDA_SKF,13_DDA_SKF,14_DDA_SKF,15_DDA_SKF,16_DDA_SKF,17_DDA_SKF,18_DDA_SKF,19_DDA_SKF,20_DDA_SKF,21_DDA_SKF,22_DDA_SKF,23_DDA_SKF,24_DDA_SKF,25_DDA_SKF,26_DDA_SKF,27_DDA_SKF,28_DDA_SKF,29_DDA_SKF,30_DDA_SKF,31_DDA_SKF,32_DDA_SKF,33_DDA_SKF,34_DDA_SKF,35_DDA_SKF,36_DDA_SKF,37_DDA_SKF,38_DDA_SKF,39_DDA_SKF,40_DDA_SKF,41_DDA_SKF,42_DDA_SKF,43_DDA_SKF,44_DDA_SKF,45_DDA_SKF,46_DDA_SKF,47_DDA_SKF,48_DDA_SKF,49_DDA_SKF,50_DDA_SKF,51_DDA_SKF,52_DDA_SKF,53_DDA_SKF,54_DDA_SKF,55_DDA_SKF,56_DDA_SKF,57_DDA_SKF,58_DDA_SKF,59_DDA_SKF,60_DDA_SKF,61_DDA_SKF,62_DDA_SKF,63_DDA_SKF,64_DDA_SKF,65_DDA_SKF,66_DDA_SKF,67_DDA_SKF,68_DDA_SKF,69_DDA_SKF,70_DDA_SKF,71_DDA_SKF,72_DDA_SKF,73_DDA_SKF,74_DDA_SKF,75_DDA_SKF,76_DDA_SKF,77_DDA_SKF,78_DDA_SKF,79_DDA_SKF,80_DDA_SKF,81_DDA_SKF,82_DDA_SKF,83_DDA_SKF,84_DDA_SKF,85_DDA_SKF,86_DDA_SKF,87_DDA_SKF,88_DDA_SKF,89_DDA_SKF,90_DDA_SKF,91_DDA_SKF,92_DDA_SKF,93_DDA_SKF,94_DDA_SKF,95_DDA_SKF,96_DDA_SKF,97_DDA_SKF,98_DDA_SKF,99_DDA_SKF,100_DDA_SKF
ACC,0.45121951219512196,0.3902439024390244,0.4634146341463415,0.3902439024390244,0.4146341463414634,0.4634146341463415,0.4268292682926829,0.43902439024390244,0.3780487804878049,0.4878048780487805,0.32926829268292684,0.4146341463414634,0.34146341463414637,0.5487804878048781,0.5121951219512195,0.4268292682926829,0.5609756097560976,0.3780487804878049,0.47560975609756095,0.5365853658536586,0.36585365853658536,0.4146341463414634,0.4634146341463415,0.4146341463414634,0.3048780487804878,0.4268292682926829,0.43902439024390244,0.5121951219512195,0.47560975609756095,0.32926829268292684,0.32926829268292684,0.47560975609756095,0.4268292682926829,0.36585365853658536,0.5365853658536586,0.4634146341463415,0.4146341463414634,0.3902439024390244,0.5121951219512195,0.4634146341463415,0.5609756097560976,0.4268292682926829,0.524390243902439,0.4268292682926829,0.45121951219512196,0.4146341463414634,0.5853658536585366,0.4268292682926829,0.3170731707317073,0.4634146341463415,0.4878048780487805,0.47560975609756095,0.45121951219512196,0.35365853658536583,0.45121951219512196,0.5487804878048781,0.36585365853658536,0.4878048780487805,0.3902439024390244,0.4024390243902439,0.43902439024390244,0.4268292682926829,0.5365853658536586,0.47560975609756095,0.5121951219512195,0.43902439024390244,0.3902439024390244,0.4634146341463415,0.43902439024390244,0.5365853658536586,0.4024390243902439,0.35365853658536583,0.5365853658536586,0.45121951219512196,0.4878048780487805,0.2073170731707317,0.5121951219512195,0.5365853658536586,0.3780487804878049,0.3048780487804878,0.4878048780487805,0.43902439024390244,0.5365853658536586,0.47560975609756095,0.4634146341463415,0.4268292682926829,0.47560975609756095,0.524390243902439,0.4268292682926829,0.45121951219512196,0.5121951219512195,0.4634146341463415,0.524390243902439,0.4634146341463415,0.4024390243902439,0.45121951219512196,0.4268292682926829,0.45121951219512196,0.47560975609756095,0.3902439024390244
AUC,0.622931895508202,0.5891745297673735,0.6271206135327936,0.5990021850497085,0.6272283644417358,0.6135207477004556,0.6192295499795408,0.6293873579874877,0.6113731155466862,0.632903220472432,0.574856058960614,0.6305759612133337,0.5918463173037151,0.6843550482084697,0.6404525651851589,0.6409275292465533,0.6785896288459891,0.6078369087283363,0.6383035060079516,0.6675714460246294,0.5905159167364448,0.6257826365325585,0.6139797942054417,0.6044371193732562,0.5784209332303106,0.6263753897460703,0.6307060964136626,0.6618577034762603,0.6068373700057215,0.604449183188457,0.5750101669630242,0.6281536083710123,0.6149325400206904,0.6115255708630664,0.6635728025461383,0.6338597272278953,0.6152220466131212,0.5839030949073859,0.6427497751000694,0.653493541186094,0.688303586765117,0.610106930178054,0.6454984767555775,0.627521246772224,0.6451485384608664,0.5636844603314555,0.6778485294308314,0.6422684319654627,0.5563222224892009,0.6325239140038402,0.6203156519600173,0.6393963361058151,0.6409753042262427,0.6086750162444174,0.623637581226811,0.6672817779960839,0.585193731194288,0.6220633134698647,0.6126896051281587,0.6135731111607406,0.622970604000819,0.6122661564277165,0.6543943568303691,0.6345064997632768,0.6422658135901901,0.6429200904460171,0.6176029512626035,0.6521380575994841,0.6062617984495747,0.6285871335017246,0.5921660635097533,0.6236220940751045,0.6647916451347043,0.6329897749455757,0.6477664565872505,0.5318923196273371,0.6471736509361793,0.643657934014683,0.5875669738639356,0.5728805455129792,0.6679085973775011,0.6032134358213298,0.6286198856422804,0.6292142307072895,0.6178379655444509,0.6446020196444711,0.634959341437938,0.6575210195458033,0.6211416647425059,0.6226085330945778,0.6420415338344144,0.6264918448153715,0.6342750431840423,0.6146021154205169,0.6155709173098608,0.6296981736231331,0.6075944154445527,0.6386857610593903,0.6595549483227929,0.5920561255437824
Fscore,0.001164796797954735,0.000976431326234531,0.0009336295660647511,0.0013459622902287525,0.0010277487481239974,0.0014380912050514086,0.001009500463309221,0.000891852913425258,0.0007859184629687657,0.0012316352633629703,0.001033655749224689,0.0009402817369570433,0.0009946951362770143,0.0016701623993142082,0.0012694015284689633,0.0014173292528915405,0.0013061071480582563,0.000826086530679249,0.001035074900332332,0.0009783707059179583,0.0010398736664038516,0.0008233087801704974,0.001637554603111638,0.0013500224091502874,0.0008469525757815124,0.0012002854000382045,0.0011284413583699663,0.0018806853903374117,0.0009908699556888756,0.0008300767656339643,0.0009907973471279126,0.0012579071073795772,0.0010695331325326584,0.000740104850868347,0.0012421287167876582,0.0015247201310253766,0.0010121986836477955,0.0008602275375356209,0.0011767103829187643,0.0011037270843092942,0.0013167639366826903,0.001301025308197982,0.001291291782742157,0.0010515121542912216,0.0010494183499187302,0.0015658202863613213,0.001732472759970207,0.0007828916531358527,0.0006271394996042812,0.001814635388528557,0.0012959728108046544,0.0008053091928271086,0.0008183988483584898,0.0007145466040648241,0.0008961528374842412,0.0012935929872629052,0.0009254747447300389,0.0010414733873701264,0.0008557444599448646,0.0011274261876251701,0.0010636521337511263,0.001337600328269743,0.0010114677048544988,0.001548166964694635,0.0008861811010739853,0.0008518938940770882,0.0011523634826895932,0.0010545009831895063,0.0011164541917157958,0.0013354387428479906,0.0010060521537436629,0.0007640465387474168,0.0011869007610476915,0.0011970586409715313,0.0010042836646692542,0.00045520737427946247,0.001211828065123504,0.001562912126597831,0.0013794889055523455,0.000705975960105725,0.0012189885835065608,0.001245177812459534,0.0010880879852347453,0.0016765835724230679,0.0010079145134960594,0.0010924278919057092,0.0010693793085946393,0.0018367011253977174,0.0008161831398562565,0.0007889928001717804,0.0009912192246571347,0.0011483781479944162,0.0010675950768131539,0.0010702597057548557,0.0011969229515877368,0.0010969000349717055,0.001096170361935119,0.0007939379685427231,0.0012014281609395929,0.0009993789006967502
HR@10,0.05,0.0375,0.0,0.0,0.025,0.0125,0.0,0.0125,0.0,0.0625,0.0125,0.0,0.0125,0.0125,0.0375,0.0,0.025,0.0,0.0,0.0125,0.0,0.0,0.0,0.0125,0.0,0.0125,0.0,0.0,0.0,0.0,0.0125,0.0,0.0125,0.0125,0.025,0.0,0.0,0.0125,0.0,0.025,0.0125,0.0125,0.0125,0.0125,0.0,0.0125,0.025,0.0,0.025,0.0875,0.0,0.0,0.0,0.0125,0.0,0.0125,0.0,0.0,0.05,0.025,0.0125,0.0125,0.0,0.0125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0125,0.0125,0.0125,0.0,0.025,0.025,0.0,0.0,0.0125,0.0125,0.0,0.0,0.0125,0.0,0.025,0.0,0.0,0.0,0.0125,0.0,0.0,0.0,0.0125,0.0125
HR@2,0.0125,0.0125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0125,0.0,0.0,0.0,0.0,0.0125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR@5,0.025,0.025,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.0375,0.0,0.0,0.0,0.0,0.025,0.0,0.0125,0.0,0.0,0.0,0.0,0.0,0.0,0.0125,0.0,0.0125,0.0,0.0,0.0,0.0,0.0125,0.0,0.0,0.0,0.0125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0125,0.0125,0.0,0.0125,0.0125,0.0,0.0,0.0625,0.0,0.0,0.0,0.0125,0.0,0.0,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.0125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0125,0.0125,0.0125,0.0,0.025,0.0125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0125,0.0,0.0,0.0,0.0125,0.0
Lin's AUC,0.30916403028648115,0.26681191011334743,0.3519757771219064,0.28222385366280145,0.2930054234075729,0.38271464992808046,0.31713888684018343,0.3372352720745426,0.2735261281440899,0.40462946367202024,0.3197888429611543,0.3508726731820838,0.21086543750882678,0.39052111967004616,0.35957411279037105,0.3300290428914567,0.41344312077933004,0.27155698097358394,0.3068805646489989,0.3733722220908508,0.30655227894795156,0.2892649107275213,0.3106325838872931,0.3040373381032805,0.30443258951715446,0.3407819438401605,0.2782426855399441,0.37071301043345734,0.37813631177400914,0.3183896999016483,0.290042568104265,0.33100300387181864,0.3340232807087876,0.3210765673889344,0.400537526472734,0.311582264064565,0.33763800116050474,0.2562404222571687,0.3292485971722209,0.348787965366549,0.42989636328885505,0.31235158009015646,0.3638419040943584,0.3129270939999774,0.2879298500626909,0.36854261123259263,0.4241136387470736,0.3014055867751455,0.2208208700487268,0.3937099885511372,0.3152447339106034,0.30733959633751057,0.37798257623167036,0.31341335342583787,0.3230812227169974,0.4036283397458958,0.28890437727088847,0.3632908607787664,0.27793089217607075,0.2630632267922061,0.3179347863215953,0.29849929562706473,0.40688392802953677,0.29038796528659705,0.3512788465714987,0.29082791204928127,0.3527410349194012,0.33051639074503264,0.3967603667251938,0.33613489514737144,0.28186902665266356,0.3202229269677831,0.35528481487804087,0.3455516146922205,0.3757065139238697,0.293165855472168,0.3526553852185013,0.38351056487322055,0.3401501731404834,0.2935858114857855,0.357690962422198,0.33730781009643607,0.3383779101387084,0.30413734828872113,0.33280237457442785,0.31952219172404867,0.34960141832190317,0.42732901790044664,0.3253238284403609,0.25138347425389274,0.36081805556234353,0.3154819970065473,0.323870511387264,0.38610051553793856,0.3387809702684545,0.3154411171365035,0.3050784081831128,0.26566303184324963,0.3464250147827303,0.3290521933933406
NDCGk,0.24475449465112872,0.2534362218947751,0.3051702153350039,0.262371604055731,0.2687288442865392,0.28980883170036753,0.27036184009130354,0.2574452534387783,0.2592802693512869,0.2810098115529003,0.2532311335328928,0.2484535189931427,0.24829858201712476,0.32426989221796093,0.30323510441599977,0.273370095932791,0.26298371205445964,0.24558679281204107,0.2605842774376859,0.2641745669644821,0.2966814585613627,0.25048735780939607,0.28383964164559966,0.22942632819767217,0.26986274990559084,0.29735319088896583,0.28557736148139623,0.30978676707643604,0.22680497150182086,0.30219494437889216,0.24700435780696225,0.2733858290025386,0.27498219855678746,0.2686742791920845,0.28260470989234565,0.26762151990279415,0.27750307127391344,0.26754921744772714,0.2743041389667755,0.30582450303750475,0.28967644647496604,0.2452214789948429,0.2675603037771263,0.2559803671202242,0.31026269575335147,0.264088989357233,0.30274682408908865,0.25203017083775175,0.21753546405667054,0.2783629013820267,0.2463290237634427,0.2469080296245159,0.2440409111516195,0.2724002492854958,0.23644943138760569,0.24838869671286626,0.24937425913686628,0.2639714640284978,0.2906329836702152,0.2592900939692632,0.2692894478269693,0.26520257044611983,0.28772358844217416,0.26977311347438915,0.2636558041351448,0.2829593908301716,0.28558412088365775,0.2985409581183477,0.2713182645412045,0.28478786751295143,0.25640272838413497,0.30007301195176755,0.29193325686300653,0.3197798217825804,0.2783496481596548,0.20120048578178357,0.2663534386405497,0.27910201224739195,0.29008715318163253,0.22965482416177693,0.28168490805382956,0.23200475339006543,0.22510805311154317,0.28218809175874293,0.25519307117484247,0.26715721268430614,0.2587125290469778,0.28313494895424673,0.2590612527017711,0.2595586411952115,0.22893252073723122,0.24925484591304006,0.25417781485156343,0.2656028604950694,0.26947925185839267,0.3213732968869446,0.2776822671987933,0.25746764541403905,0.33252977885978435,0.2621105890613441
global AUC,0.4884600413048884,0.43066131072737696,0.5102386384524724,0.43005484791799575,0.45680206091930414,0.502752127418012,0.46908661591860124,0.48788412464993564,0.42018343911854067,0.5191523036666197,0.3929024793745878,0.46052423148038024,0.3899362585556264,0.5864575786901377,0.543492993306878,0.46846271747240026,0.5982581933977056,0.4214938150795281,0.5121510169436545,0.5654608819999352,0.4150753381702583,0.45981599320956285,0.49904320253451984,0.46729108322610635,0.368388514645935,0.46589035282159963,0.4762835467058811,0.5400082988224862,0.5110024274731573,0.3830424240130619,0.38861588075646336,0.5086298968459069,0.4715032086978147,0.4204494339500232,0.5811053112463913,0.4990623952510191,0.4669322334915606,0.4268710195387261,0.5561822848523511,0.515283349372317,0.6012184671777516,0.468258355589676,0.5496259447682276,0.4625125698777073,0.48700234097077294,0.4630799714542132,0.6098642453207616,0.4735840640982667,0.36380375312219543,0.5071951737076004,0.5217381167349675,0.5046260528962079,0.4886688634667993,0.41754376480001726,0.49037904263486265,0.5763615340116562,0.41116434912362276,0.523116951223468,0.43024515316328404,0.44474721029810893,0.47168533676459456,0.46919602791864456,0.5727464777310426,0.5094521425559292,0.5394249483688894,0.48600026491355164,0.44400896651276445,0.49714258296119285,0.48081323053966674,0.5726013159175201,0.447787566363548,0.40497050809337937,0.5667646351221305,0.4985596001427289,0.5307090221986743,0.29032504622471156,0.5386203410356497,0.5676007347296259,0.44093103597417904,0.3620797876366467,0.5343341478974514,0.47945967096655606,0.5596552879988754,0.5078525242476996,0.508331058140415,0.47150658769719844,0.5069106619594953,0.5709520938983381,0.4708937723689759,0.4812143177665084,0.5387149530183926,0.49724016846339325,0.5511079063179178,0.5030008217726502,0.4461492923023691,0.48394867164776223,0.4659237373355103,0.48355008488046447,0.5209033687272255,0.4332473265356877
global NDCG,0.49062424140816907,0.4193532218567416,0.38234445593303634,0.3402491786701132,0.41201837351976056,0.40622844345009584,0.3801301524075244,0.3988671756627172,0.36333252302084246,0.5400486833553932,0.3714713534546834,0.357427666417418,0.3516617137817369,0.43262769982900834,0.4495472008892113,0.3541725321079193,0.44006927998505097,0.343514767660818,0.37541097508862203,0.38273314979821504,0.35831612247688943,0.3542978756132999,0.35789307118629987,0.3865476259925929,0.3349396121237644,0.4035427636339161,0.368294863470414,0.3708802185843053,0.37661522703806555,0.3296556268347912,0.366966989748115,0.3605972170184303,0.3861661466483016,0.34864385285124677,0.4454160296012638,0.34841479839607203,0.3710747389623631,0.36302656798901184,0.37999772145061017,0.41098222332462514,0.42909821642307827,0.3845014128236632,0.3842906870946292,0.3921625908027548,0.3874802626859759,0.3946884221728922,0.4511953547645171,0.352181831552167,0.3530650733225368,0.5637284480956377,0.38379462807675063,0.35808807062549913,0.3741584256062592,0.35174173592689184,0.3596746469923311,0.41951608982794397,0.3507141496602843,0.36313814372534253,0.45014790228059065,0.3774590446019435,0.3829454029418368,0.35780060026084654,0.39160001516349224,0.4150523009297771,0.396027779603868,0.3576691783795748,0.3433389065973279,0.390245804748775,0.390087144636655,0.3876741518846485,0.3660376161401448,0.3550208370640737,0.36253073502902594,0.3819672061782227,0.3866060310065695,0.3131951394515296,0.3981848522782829,0.4571384254908854,0.361576744604216,0.32258099325993705,0.4886915426502852,0.4272236372077363,0.3730036395129432,0.3580898622153819,0.36597441874692466,0.3673833040650594,0.39453596521738643,0.40542045534728893,0.3874583529702492,0.34647930044463165,0.4024213185083992,0.34795816600904206,0.3867159235347436,0.36438879504096877,0.3888613365297656,0.3783004847701618,0.35242076895290325,0.37123941784608977,0.40428012956354764,0.3837157467628771
