,1_FastaiCollabWrapper,2_FastaiCollabWrapper,3_FastaiCollabWrapper,4_FastaiCollabWrapper,5_FastaiCollabWrapper,6_FastaiCollabWrapper,7_FastaiCollabWrapper,8_FastaiCollabWrapper,9_FastaiCollabWrapper,10_FastaiCollabWrapper,11_FastaiCollabWrapper,12_FastaiCollabWrapper,13_FastaiCollabWrapper,14_FastaiCollabWrapper,15_FastaiCollabWrapper,16_FastaiCollabWrapper,17_FastaiCollabWrapper,18_FastaiCollabWrapper,19_FastaiCollabWrapper,20_FastaiCollabWrapper,21_FastaiCollabWrapper,22_FastaiCollabWrapper,23_FastaiCollabWrapper,24_FastaiCollabWrapper,25_FastaiCollabWrapper,26_FastaiCollabWrapper,27_FastaiCollabWrapper,28_FastaiCollabWrapper,29_FastaiCollabWrapper,30_FastaiCollabWrapper,31_FastaiCollabWrapper,32_FastaiCollabWrapper,33_FastaiCollabWrapper,34_FastaiCollabWrapper,35_FastaiCollabWrapper,36_FastaiCollabWrapper,37_FastaiCollabWrapper,38_FastaiCollabWrapper,39_FastaiCollabWrapper,40_FastaiCollabWrapper,41_FastaiCollabWrapper,42_FastaiCollabWrapper,43_FastaiCollabWrapper,44_FastaiCollabWrapper,45_FastaiCollabWrapper,46_FastaiCollabWrapper,47_FastaiCollabWrapper,48_FastaiCollabWrapper,49_FastaiCollabWrapper,50_FastaiCollabWrapper,51_FastaiCollabWrapper,52_FastaiCollabWrapper,53_FastaiCollabWrapper,54_FastaiCollabWrapper,55_FastaiCollabWrapper,56_FastaiCollabWrapper,57_FastaiCollabWrapper,58_FastaiCollabWrapper,59_FastaiCollabWrapper,60_FastaiCollabWrapper,61_FastaiCollabWrapper,62_FastaiCollabWrapper,63_FastaiCollabWrapper,64_FastaiCollabWrapper,65_FastaiCollabWrapper,66_FastaiCollabWrapper,67_FastaiCollabWrapper,68_FastaiCollabWrapper,69_FastaiCollabWrapper,70_FastaiCollabWrapper,71_FastaiCollabWrapper,72_FastaiCollabWrapper,73_FastaiCollabWrapper,74_FastaiCollabWrapper,75_FastaiCollabWrapper,76_FastaiCollabWrapper,77_FastaiCollabWrapper,78_FastaiCollabWrapper,79_FastaiCollabWrapper,80_FastaiCollabWrapper,81_FastaiCollabWrapper,82_FastaiCollabWrapper,83_FastaiCollabWrapper,84_FastaiCollabWrapper,85_FastaiCollabWrapper,86_FastaiCollabWrapper,87_FastaiCollabWrapper,88_FastaiCollabWrapper,89_FastaiCollabWrapper,90_FastaiCollabWrapper,91_FastaiCollabWrapper,92_FastaiCollabWrapper,93_FastaiCollabWrapper,94_FastaiCollabWrapper,95_FastaiCollabWrapper,96_FastaiCollabWrapper,97_FastaiCollabWrapper,98_FastaiCollabWrapper,99_FastaiCollabWrapper,100_FastaiCollabWrapper
ACC,0.14634146341463414,0.35365853658536583,0.975609756097561,0.024390243902439025,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.024390243902439025,0.7317073170731707,0.04878048780487805,0.975609756097561,0.024390243902439025,0.975609756097561,0.975609756097561,0.8170731707317073,0.975609756097561,0.975609756097561,0.024390243902439025,1.0,0.975609756097561,0.024390243902439025,0.975609756097561,0.975609756097561,0.975609756097561,0.9634146341463414,0.975609756097561,0.975609756097561,0.975609756097561,0.024390243902439025,0.13414634146341464,0.024390243902439025,0.975609756097561,0.975609756097561,0.975609756097561,0.8292682926829268,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.036585365853658534,0.024390243902439025,0.9878048780487805,0.975609756097561,0.8414634146341463,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.024390243902439025,0.9878048780487805,0.024390243902439025,0.024390243902439025,0.9878048780487805,0.024390243902439025,0.9878048780487805,0.024390243902439025,0.975609756097561,0.975609756097561,0.975609756097561,0.024390243902439025,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.6463414634146342,0.975609756097561,0.975609756097561,0.975609756097561,0.024390243902439025,0.975609756097561,0.975609756097561,0.975609756097561,0.9878048780487805,0.975609756097561,0.9878048780487805,0.975609756097561,0.975609756097561,0.4878048780487805,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.024390243902439025,0.975609756097561,0.9878048780487805,0.975609756097561,0.975609756097561,0.024390243902439025
AUC,0.538935227165184,0.5712748534533547,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5028468308465274,0.5,0.6481081795936813,0.5108570873304582,0.5003798192783611,0.5,0.5,0.5,0.5809423686522267,0.4920388250404936,0.5,0.5,0.5023087286699756,0.5,0.4984344946451717,0.5,0.5,0.5,0.5003663722396061,0.5,0.5,0.5026886932146254,0.5,0.53106110967698,0.5,0.5,0.5,0.5,0.5658588399672113,0.5,0.5001162790697674,0.5,0.5,0.5014002049067876,0.5,0.5007228880003344,0.5,0.547337312099687,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.501983507515905,0.5,0.5,0.5024011693135321,0.5,0.5000844309354947,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5760063132065372,0.5,0.5,0.5,0.5,0.5,0.5,0.49762010515992083,0.5115377943984977,0.5,0.5016368896595165,0.5018304071962271,0.5,0.5775150027665975,0.5,0.5,0.5,0.5,0.5,0.5,0.5039801489928566,0.5,0.5,0.5
Fscore,0.0012944155324730476,0.0010493532935490543,0.0004416001931666681,0.0,0.0005466353344046132,0.0006257508446031,0.0004959601085296459,0.00046753807147612285,0.0004116498735731663,0.0004224427776345099,0.0005490289159672026,0.00048022171724859013,0.000583283497716046,0.0006269118765110718,0.0005018159804101855,0.0005875924581500391,0.0,0.0010266238516665185,0.0003210640981538815,0.0003727034642303781,0.0,0.0004458188032737062,0.0005912898140721783,0.0008212442302456888,0.00043948496354801733,0.0005435954794967427,0.0,0.0006969771286099892,0.0004024890074547358,0.0,0.0005778597676734966,0.00044915508858354015,0.0005569665509875076,0.00038858148322879355,0.0004007281595499538,0.0006484833606326165,0.0005430116345248424,0.0,0.0007362446882290138,0.0,0.0004890125089222328,0.000683249582079155,0.00046900272126264867,0.0007219069767233073,0.00048814991716556263,0.000702616136010326,0.0006931313927261278,0.00043471714244091035,0.0001488095238095238,0.0,0.0005736026791220472,0.0003410379567710747,0.0005261468260545669,0.00039619280169362524,0.00043750458953538906,0.0005830641821031685,0.00045955964133036545,0.0004010852766998725,0.00041631804591142694,0.0,0.0005743586635747514,0.0,0.0,0.0007279033217453634,0.0,0.00038704565610959095,0.0,0.00044567861137315487,0.0006010280004072186,0.0005261799384067854,0.0,0.0005264195318406872,0.0005299553579219692,0.0005657029598928277,0.00039421483444185225,0.00038607438479184035,0.0008264938032285362,0.0005450912389059121,0.0005986888761713066,0.0005442668894523196,0.0,0.0006388388464994556,0.0004462084953623028,0.0007427950079862565,0.000512970570412674,0.0004883995797703495,0.0005706172902254301,0.0005597253080679151,0.00038784406328759737,0.0010285314313793453,0.0005653364534070744,0.0005136851298717734,0.00048323051915074954,0.0004026102663604082,0.0,0.0005734630425682415,0.0006298776540519491,0.00036461994153648306,0.000439355776427593,0.0
HR@10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0125,0.0125,0.0125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0125,0.0,0.0,0.0125,0.0125,0.0,0.0,0.0,0.0,0.0125,0.0,0.0,0.0125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0125,0.0125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR@2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR@5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0125,0.0125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lin's AUC,0.5366197785823239,0.5624191046544584,0.5280358829933666,0.6533942164581618,0.48991134414536125,0.5777645548661366,0.5183875431958901,0.6183667265840473,0.41396923559960025,0.5332980452836501,0.6085846936605415,0.5854362016837509,0.49496452041960554,0.4079211127144419,0.5332003320369566,0.5673551782522833,0.5549622963738439,0.526767379868762,0.5366198602585285,0.4913816780881836,0.6134420189656841,0.5755700443514615,0.6437498960432385,0.5767167117566696,0.6104719054854548,0.5934341395074262,0.586716818638079,0.6136367248937881,0.4904153934443642,0.5404003058683587,0.4942667101192545,0.5219552875260796,0.45220692795143913,0.550226415994656,0.5799661739105724,0.48800875035685776,0.580670744138492,0.6091888357640325,0.5210163955796527,0.5936196926895722,0.5370562226360897,0.6500258549466011,0.5332506760228453,0.6219265716141138,0.5760455114347269,0.5642208915953615,0.5389132276569956,0.4622724667149733,0.5767627815070685,0.5107643006526843,0.6331318487506571,0.38798309222755684,0.5449068794922438,0.5468618002858506,0.6275122201549597,0.5941748307313959,0.5315615415803905,0.551382670090928,0.5599102290556904,0.5752704527155931,0.5567133327059965,0.6010789562407266,0.5647104480270341,0.4896895953884037,0.6655577068109487,0.5634874152751481,0.5849142844348167,0.4569011793655909,0.5338040598213071,0.661836418583591,0.49491914112887686,0.5416578851721414,0.5678214461635571,0.5731461065176443,0.617861492208673,0.5171901396562474,0.5218997574569589,0.6089160426819562,0.5102495957451129,0.5756807808983043,0.5598006253568294,0.5694601588458831,0.5651646542718345,0.4680295893238881,0.5057635317058133,0.6027115952120254,0.5938413815141679,0.6438368041063868,0.5209196385663994,0.5767753430519704,0.5351308191724792,0.5103181933187924,0.4637830708836163,0.5716728826359179,0.648672531503928,0.5375330583900892,0.4508339166378698,0.4698842384507757,0.4610357390728716,0.5937260411513811
NDCGk,0.25776630285731456,0.2858120312808794,0.1978913251330878,0.20477381070357548,0.19062923958089448,0.2131772411728223,0.2232782184905685,0.20074750359960356,0.1915780622451829,0.2018124271620714,0.2153004457629454,0.18971686137300342,0.2169975609210241,0.1883752884394902,0.20664450864896694,0.20271833208697546,0.1961852275092947,0.24072171252162958,0.20130067472703045,0.2245642961368403,0.20428164729499249,0.2146751195340017,0.2038553827164905,0.2517591680485624,0.20811885600047952,0.21868733556132433,0.18959424837947017,0.20762941777035418,0.20218264557950277,0.21381363135376583,0.1921975818832777,0.18516686815657726,0.19253573295856785,0.19633526533400952,0.22607839480806163,0.19150565811570336,0.2155021971037569,0.2202470962056601,0.2525452806572511,0.20080552768581422,0.21454925908417993,0.2009282336165022,0.20851552634893597,0.2511661931734156,0.2007563441409591,0.19501985686157564,0.1952788544093261,0.22063897729245205,0.20648914791457898,0.19841806357850122,0.23162638392991552,0.18830093552518679,0.24267229053536982,0.20107912648580478,0.20235768223129205,0.1965184349827024,0.18616853468281644,0.17794465446372684,0.21541183955292958,0.20884018525585119,0.20247478236767955,0.18182144558951213,0.20062067214595436,0.22613261997212866,0.2272204456259983,0.20026242992526475,0.22377411977997722,0.215244803586844,0.19619387950821934,0.19656259930895698,0.23963010470845936,0.20839936900465603,0.18561437040676596,0.19796443412696282,0.2107183321519106,0.20846395363152495,0.23771255316880077,0.18219580159057053,0.22558839716921525,0.18679833693981274,0.21122425763685557,0.194090987850159,0.18138840205526596,0.20277217175790568,0.20626302797165444,0.19049676389807108,0.2077761176071019,0.18298441145996602,0.21469886122263931,0.25945555063343284,0.19119325812226443,0.19874663071147647,0.18913072665123126,0.2078520059035056,0.19407414863246758,0.20996830009052267,0.21591663061461597,0.2205978238838957,0.19807100982751202,0.1977797022841183
global AUC,0.22554482986062302,0.4052925943146309,0.9458559275758789,0.14759036795951688,0.9336749051176972,0.9330556021106582,0.9304731680416941,0.943760339738114,0.8923572440340387,0.9137031941005375,0.9429610712239006,0.9184471064952477,0.911913338127007,0.8849785230799172,0.9240227257982547,0.9465011137181968,0.11523644886087173,0.7177909048149388,0.1458932993090622,0.9574381237632862,0.13746337164668102,0.9374766849042526,0.9493719115945634,0.7948017473481612,0.936203410356498,0.9399981618243353,0.133965701804656,0.9419975833396408,0.9389643231729075,0.12372172453315747,0.9257227679681671,0.9395827476401069,0.9382134419298682,0.9280739433193127,0.9324097401684633,0.9346763729550296,0.947636727831061,0.1489337905344766,0.24227276904944695,0.1378176935220527,0.9353660943092243,0.9369629418379594,0.9351947114604845,0.8084890601515954,0.9393768314176659,0.9512694224884573,0.9489858947049727,0.9183633748905204,0.15382198620286971,0.11339759739627822,0.9539625525772303,0.8876593536109338,0.8002995145053685,0.9458651860341901,0.9443212536358033,0.9467830574267704,0.9419925148405652,0.9490193467988711,0.9313960403533622,0.14594499799963237,0.9393035747110279,0.1544569001870614,0.13543313365699644,0.9236621189840295,0.14483999762118444,0.9373417276688689,0.1537328481991285,0.9269198122898262,0.9234258593471233,0.9496274315279566,0.1238039017981683,0.9371961603754203,0.9480771466107285,0.9250625114885979,0.9486190029518939,0.9437664219370047,0.6384841673604877,0.952407604640853,0.9369718623963322,0.9372212325508472,0.14293160634927501,0.9486621189840295,0.9330244477363407,0.9062569607387303,0.9210134565271457,0.9562780456948845,0.9337034238724955,0.9564697025399262,0.9405036601321325,0.5182572743098731,0.9283256787733962,0.9159651638679542,0.9342543359320092,0.941901957657083,0.1621235794686591,0.9317658380459111,0.9106833147713634,0.9277205675637685,0.9298824513694409,0.14684779905496145
global NDCG,0.29962719957541595,0.32335601120931906,0.38842326436378977,0.26288245788821596,0.38378199970958543,0.38353835304786704,0.3614843888570191,0.3861457379429864,0.3415492810648689,0.34607794165106753,0.3985177565893887,0.3501853471984022,0.3618122177870851,0.34972399612807836,0.3667179652391058,0.3740722803650053,0.2620413547479241,0.3705322956713687,0.27683166344953514,0.42459234645320604,0.26265377762386827,0.3718285057424662,0.388406414920294,0.3682861996722918,0.3866926117863283,0.39646346585068254,0.26253214893078214,0.3846176750345573,0.37987097812453036,0.26224007714305086,0.368745237745723,0.3824925332335206,0.38501612465666685,0.38565555692059617,0.38838165746203374,0.37081061383602293,0.3911276660806169,0.2629276216971547,0.2926269511425013,0.26265037594931334,0.3789859492887531,0.3722283510587576,0.38930312003478384,0.4094203008468016,0.3742217189950286,0.3908349140045327,0.40961990111593827,0.383357684313145,0.2675990069452962,0.26204192459191794,0.3957056433971139,0.3407122181088406,0.36986582645994626,0.38697718433778777,0.3700276631929508,0.39022013477650686,0.37409101928609473,0.39299367514586353,0.36241955076149285,0.26287576097306464,0.3934174860959578,0.26306048027271023,0.26259140549961085,0.3719587010856879,0.2628221985535971,0.37095053114900023,0.26308058717934796,0.3567095293411093,0.3717960577000584,0.3856380694702675,0.2622693384224656,0.36915055655495127,0.39005402992409827,0.3530045626295464,0.39331067618697224,0.3833147570219609,0.3448936282394374,0.38864119674884273,0.3821216581184285,0.3700697344930527,0.26275919110617635,0.3835878186847967,0.3816704053232893,0.3610445690027429,0.36613508892502794,0.41532404402852063,0.3954276186606314,0.4451219366569794,0.3810569713051688,0.3456158585154659,0.3522530967539535,0.35062596208906,0.3740241810276952,0.3729445228108773,0.2632812310487264,0.36601601995504063,0.356245134348927,0.3718136072464768,0.3787728202132935,0.26287427080566983
