,1_HAN,2_HAN,3_HAN,4_HAN,5_HAN,6_HAN,7_HAN,8_HAN,9_HAN,10_HAN,11_HAN,12_HAN,13_HAN,14_HAN,15_HAN,16_HAN,17_HAN,18_HAN,19_HAN,20_HAN,21_HAN,22_HAN,23_HAN,24_HAN,25_HAN,26_HAN,27_HAN,28_HAN,29_HAN,30_HAN,31_HAN,32_HAN,33_HAN,34_HAN,35_HAN,36_HAN,37_HAN,38_HAN,39_HAN,40_HAN,41_HAN,42_HAN,43_HAN,44_HAN,45_HAN,46_HAN,47_HAN,48_HAN,49_HAN,50_HAN,51_HAN,52_HAN,53_HAN,54_HAN,55_HAN,56_HAN,57_HAN,58_HAN,59_HAN,60_HAN,61_HAN,62_HAN,63_HAN,64_HAN,65_HAN,66_HAN,67_HAN,68_HAN,69_HAN,70_HAN,71_HAN,72_HAN,73_HAN,74_HAN,75_HAN,76_HAN,77_HAN,78_HAN,79_HAN,80_HAN,81_HAN,82_HAN,83_HAN,84_HAN,85_HAN,86_HAN,87_HAN,88_HAN,89_HAN,90_HAN,91_HAN,92_HAN,93_HAN,94_HAN,95_HAN,96_HAN,97_HAN,98_HAN,99_HAN,100_HAN
ACC,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561
AUC,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Fscore,0.0004708517599116116,0.00044449226378852417,0.0004416001931666681,0.0006287822024838228,0.0005466353344046132,0.0006257508446031,0.0004959601085296459,0.00046753807147612285,0.0004116498735731663,0.0004224427776345099,0.0005490289159672026,0.00048022171724859013,0.000583283497716046,0.0006269118765110718,0.0005018159804101855,0.0005850775194468515,0.0005630022179124704,0.0005285888688750455,0.0003805779600152935,0.00037247147084187935,0.0005573795463359254,0.0004458188032737062,0.0005912898140721783,0.0005430267964947789,0.00044128850792959115,0.0005435954794967427,0.0005101183922760128,0.0006948217724773453,0.0004024890074547358,0.0004647156202468007,0.0005778597676734966,0.00044915508858354015,0.0005569665509875076,0.00039122055904588344,0.0004007281595499538,0.0006484833606326165,0.0005410073751185939,0.0005196254124192072,0.000466576429687216,0.0004535216640279506,0.0004890125089222328,0.000683249582079155,0.00046900272126264867,0.0006255430242479518,0.00048814991716556263,0.0007022509857114201,0.0006931313927261278,0.00043471714244091035,0.0004478010318925833,0.0006872357107222772,0.0005733118194617061,0.0003410379567710747,0.0004131437862268964,0.00039619280169362524,0.00043750458953538906,0.0005830641821031685,0.00045955964133036545,0.0004010852766998725,0.00041631804591142694,0.0005683562601204971,0.0005736815611816899,0.0005444300687824502,0.00043024738555413303,0.0007263777956413676,0.0003879020768763585,0.0003870250443662398,0.0005639889299562946,0.00044567861137315487,0.0006010280004072186,0.0005261799384067854,0.0004398080077041744,0.0005264195318406872,0.0005299553579219692,0.0005657029598928277,0.00039421483444185225,0.00038607438479184035,0.000526506108119847,0.0005450912389059121,0.0005986888761713066,0.0005442668894523196,0.00045224706853924527,0.0006388388464994556,0.0004462084953623028,0.0007461331302359425,0.00050023917928128,0.0004883995797703495,0.0005690976658128216,0.0005587190904983505,0.00038784406328759737,0.00040556786729656883,0.0005653364534070744,0.0005136851298717734,0.00048323051915074954,0.0004026102663604082,0.0005389438374725158,0.0005734630425682415,0.0006252315485518729,0.00036461994153648306,0.000439355776427593,0.0004787356129707297
HR@10,0.0,0.0,0.0,0.0125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR@2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR@5,0.0,0.0,0.0,0.0125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lin's AUC,0.5484193358105952,0.545781343569616,0.6613766756415077,0.5724453868721764,0.6230903538000805,0.6378627249062795,0.6464848380733614,0.6931817245046283,0.5459407128880669,0.49444846681192367,0.5826426582272893,0.6315587389388211,0.6367303371540165,0.6413924815241068,0.6101508432380636,0.7303024540740404,0.5438998001195979,0.5747012383365158,0.5302950069027828,0.659883859180495,0.6311721025537053,0.6619388204107247,0.6546573475980152,0.6044727866177835,0.6688440760239431,0.5942463718398079,0.6367499063631776,0.4603093171030136,0.5513994665665379,0.6012169324878974,0.5864284567684082,0.6109869698652648,0.5679022161039489,0.6166099077080691,0.5104650572225135,0.540862625005401,0.5610138147215543,0.6323008948415885,0.506443148760463,0.5584798555951316,0.589921099243104,0.6169543068747116,0.6011726793652686,0.6864569032121587,0.5656966231459637,0.5247343104721367,0.5986689440061744,0.6023307384565363,0.6530985474491037,0.6272227285134391,0.628883842752793,0.661653530716224,0.581872773848068,0.5358118325756018,0.6943497849778836,0.5798305674472065,0.5945996369767783,0.5982286827085602,0.5017766328873139,0.5726917396901651,0.5942991011066875,0.5371756155784885,0.5458547459994992,0.6289287363810717,0.6495975101340072,0.5782390907477911,0.6214998958521181,0.6628842803414039,0.5885137817430381,0.6563239805106245,0.5785224028166083,0.48516318772682554,0.6791506650969878,0.6354728935684028,0.6602511159463545,0.6009929575845612,0.6047451527475902,0.5047691979246131,0.6179677516831885,0.5576222625196285,0.608685458959026,0.5791623655597502,0.5791382735233161,0.564625054897305,0.6374692819209468,0.6457574375550942,0.6538587363478479,0.6082082404122255,0.5807460817657698,0.6215962808888251,0.5895613487008827,0.6389086694107553,0.5692002957095712,0.5764154429983207,0.6010317935681668,0.5459572219755954,0.6239715309316618,0.5996040626453805,0.5326539159412651,0.5597626306310669
NDCGk,0.1912639160052279,0.19135949281536313,0.1978913251330878,0.20477381070357548,0.19062923958089448,0.2131772411728223,0.2232782184905685,0.20074750359960356,0.1915780622451829,0.2018124271620714,0.2153004457629454,0.18971686137300342,0.2169975609210241,0.1883752884394902,0.20664450864896694,0.2018428666470872,0.1961852275092947,0.20513104368222884,0.1767973397478993,0.2245560415868166,0.20428164729499249,0.2146751195340017,0.2038553827164905,0.18871739576573307,0.22498978156545768,0.21868733556132433,0.18959424837947017,0.20757791885897123,0.20218264557950277,0.22774511060766778,0.1921975818832777,0.18516686815657726,0.19253573295856785,0.19634553266292995,0.22607839480806163,0.19150565811570336,0.21442765821580564,0.2202470962056601,0.1921535151755057,0.20080552768581422,0.21454925908417993,0.2009282336165022,0.20851552634893597,0.20346678404108834,0.2007563441409591,0.19501985686157564,0.1952788544093261,0.22063897729245205,0.1993658987228799,0.19841806357850122,0.23157599017018232,0.18830093552518679,0.22197654386237678,0.20107912648580478,0.20235768223129205,0.1965184349827024,0.18616853468281644,0.17794465446372684,0.21541183955292958,0.20884018525585119,0.20246634703742858,0.18182144558951213,0.20062067214595436,0.22659946578032153,0.2272204456259983,0.2002545278478778,0.22377411977997722,0.215244803586844,0.19619387950821934,0.19656259930895698,0.23963010470845936,0.20839936900465603,0.18561437040676596,0.19796443412696282,0.2107183321519106,0.20846395363152495,0.2113693227000778,0.18219580159057053,0.22558839716921525,0.18679833693981274,0.21122425763685557,0.194090987850159,0.18138840205526596,0.21232861064917508,0.20594598394837282,0.19049676389807108,0.20759944605378064,0.1829386343555825,0.21469886122263931,0.20582845594289848,0.19119325812226443,0.19874663071147647,0.18913072665123126,0.2078520059035056,0.19407414863246758,0.20996830009052267,0.21573937712078645,0.2205978238838957,0.19807100982751202,0.1977797022841183
global AUC,0.8990891569261377,0.9023402273931425,0.9210218364456171,0.899104835483278,0.9054649908631855,0.9032610723051805,0.9064745007190511,0.9151771136316945,0.9077232437312803,0.884613793886444,0.9040135754679238,0.9117605397748775,0.9142188294064854,0.9182103737984278,0.908259220613518,0.9257791296778869,0.8985255398289416,0.9115165084393889,0.8966766189461848,0.8982415011407501,0.9088632505433432,0.9125270319950692,0.919283476422694,0.9052746856178975,0.9163276629218342,0.8994052285284863,0.9142872879339987,0.8806769892845171,0.9000779197257875,0.8986466431668522,0.9145193576116691,0.9064572678221944,0.9037461614567002,0.9183741201085605,0.8963352048484586,0.896439818669377,0.8976798438631964,0.9193522052701577,0.8756433614826509,0.9040074256890456,0.8963145253722304,0.9042508488046452,0.9099572353838004,0.9179689105024709,0.8985473005849723,0.8864610252695089,0.8927033211509141,0.8942294800125429,0.9136988689813262,0.9056034622579285,0.8973151822497107,0.9056377928916666,0.8970918979704376,0.8877101737616643,0.913654874409351,0.9016127288258381,0.9157436366683607,0.9043449201474866,0.8844865407696549,0.891481880453705,0.9125955581025703,0.8932766697663355,0.894112972113794,0.9190125482521112,0.9069670236692149,0.9037607587340376,0.9022016884184121,0.9162235897408172,0.9099000627142286,0.9223685028599851,0.9140047360055361,0.8879929960100774,0.9147012829384861,0.9099424353665,0.9210584647989359,0.9272850145432132,0.9144389374263379,0.8856044489257485,0.9073227647243277,0.9054497853659591,0.898296376090741,0.8977982440016001,0.9105807959300628,0.9048254138598445,0.903624314738925,0.9133449525858807,0.9161206654195906,0.8995347793648562,0.8974020901138589,0.9094122703632018,0.9080647254089942,0.920708130142837,0.9029479742222895,0.8873060454353774,0.9048683271520171,0.909156885589784,0.9074697511975174,0.9022546035487603,0.8877788350291406,0.9069298546759945
global NDCG,0.37461197959175724,0.3657689586219809,0.36359837014162366,0.3975222450397102,0.36362105384733523,0.35765338129856533,0.3595481153128404,0.3759601517553982,0.3747787181311913,0.34468791288514916,0.3879097996418178,0.3780506164030067,0.37843962865146635,0.3964196356498621,0.3847762352373109,0.39523351853463506,0.3956175289770723,0.3633138696052441,0.38045951567564273,0.36761298979710977,0.3774749519131883,0.3766075284532029,0.3666020211300935,0.3681481775519732,0.3969325516346696,0.36401898527657195,0.4006783985685861,0.37019271012722343,0.360697398384909,0.3596064575780339,0.39485051491087625,0.3535507055579017,0.39057439890747425,0.3673644606394404,0.3704435029040629,0.36764215279168244,0.375334104908737,0.3678580822872793,0.3315474102412914,0.35968553053837515,0.3560895894766788,0.37996040501224826,0.40166710482263257,0.3920712292572715,0.3546218816608632,0.3627099142157557,0.36822578868788813,0.34816608579056746,0.36749159523622643,0.350409005453426,0.3582002694110406,0.36264484842987826,0.35723404719899265,0.35661644069850057,0.35699788329180915,0.367141517562162,0.37276628820292346,0.39129160779631994,0.35155621939056125,0.3489394836388856,0.37848447399442825,0.35777654308534285,0.3600238369536748,0.3857694307746385,0.3776732701517598,0.36800813898300394,0.3588211449916259,0.3759796100868745,0.36927042567338775,0.39599993310962567,0.4146561264386267,0.3624723656094332,0.3674324028426679,0.3653505279027222,0.3895919763192297,0.3664681896731555,0.3786324890227349,0.3503147388631498,0.39515067596224057,0.37671464649099756,0.3442970814916438,0.3711645995595082,0.3661440047538684,0.3903161163792882,0.35405879484347424,0.37322849908726236,0.3681493988412449,0.3549017746611841,0.34788242819680326,0.35945379699492025,0.3726186538874909,0.3864148928944302,0.3702926808993452,0.351813959436145,0.3599183910790189,0.35750322852620925,0.3716051498922615,0.374052608302197,0.35735269519056706,0.3709921527479905
