,1_LibMF,2_LibMF,3_LibMF,4_LibMF,5_LibMF,6_LibMF,7_LibMF,8_LibMF,9_LibMF,10_LibMF,11_LibMF,12_LibMF,13_LibMF,14_LibMF,15_LibMF,16_LibMF,17_LibMF,18_LibMF,19_LibMF,20_LibMF,21_LibMF,22_LibMF,23_LibMF,24_LibMF,25_LibMF,26_LibMF,27_LibMF,28_LibMF,29_LibMF,30_LibMF,31_LibMF,32_LibMF,33_LibMF,34_LibMF,35_LibMF,36_LibMF,37_LibMF,38_LibMF,39_LibMF,40_LibMF,41_LibMF,42_LibMF,43_LibMF,44_LibMF,45_LibMF,46_LibMF,47_LibMF,48_LibMF,49_LibMF,50_LibMF,51_LibMF,52_LibMF,53_LibMF,54_LibMF,55_LibMF,56_LibMF,57_LibMF,58_LibMF,59_LibMF,60_LibMF,61_LibMF,62_LibMF,63_LibMF,64_LibMF,65_LibMF,66_LibMF,67_LibMF,68_LibMF,69_LibMF,70_LibMF,71_LibMF,72_LibMF,73_LibMF,74_LibMF,75_LibMF,76_LibMF,77_LibMF,78_LibMF,79_LibMF,80_LibMF,81_LibMF,82_LibMF,83_LibMF,84_LibMF,85_LibMF,86_LibMF,87_LibMF,88_LibMF,89_LibMF,90_LibMF,91_LibMF,92_LibMF,93_LibMF,94_LibMF,95_LibMF,96_LibMF,97_LibMF,98_LibMF,99_LibMF,100_LibMF
ACC,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561
AUC,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Fscore,0.0004708517599116116,0.00044449226378852417,0.0004416001931666681,0.0006287822024838228,0.0005466353344046132,0.0006257508446031,0.0004959601085296459,0.00046753807147612285,0.0004116498735731663,0.0004224427776345099,0.0005490289159672026,0.00048022171724859013,0.000583283497716046,0.0006269118765110718,0.0005018159804101855,0.0005850775194468515,0.0005630022179124704,0.0005285888688750455,0.0003805779600152935,0.00037247147084187935,0.0005573795463359254,0.0004458188032737062,0.0005912898140721783,0.0005430267964947789,0.00044128850792959115,0.0005435954794967427,0.0005101183922760128,0.0006948217724773453,0.0004024890074547358,0.0004647156202468007,0.0005778597676734966,0.00044915508858354015,0.0005569665509875076,0.00039122055904588344,0.0004007281595499538,0.0006484833606326165,0.0005410073751185939,0.0005196254124192072,0.000466576429687216,0.0004535216640279506,0.0004890125089222328,0.000683249582079155,0.00046900272126264867,0.0006255430242479518,0.00048814991716556263,0.0007022509857114201,0.0006931313927261278,0.00043471714244091035,0.0004478010318925833,0.0006872357107222772,0.0005733118194617061,0.0003410379567710747,0.0004131437862268964,0.00039619280169362524,0.00043750458953538906,0.0005830641821031685,0.00045955964133036545,0.0004010852766998725,0.00041631804591142694,0.0005683562601204971,0.0005736815611816899,0.0005444300687824502,0.00043024738555413303,0.0007263777956413676,0.0003879020768763585,0.0003870250443662398,0.0005639889299562946,0.00044567861137315487,0.0006010280004072186,0.0005261799384067854,0.0004398080077041744,0.0005264195318406872,0.0005299553579219692,0.0005657029598928277,0.00039421483444185225,0.00038607438479184035,0.000526506108119847,0.0005450912389059121,0.0005986888761713066,0.0005442668894523196,0.00045224706853924527,0.0006388388464994556,0.0004462084953623028,0.0007461331302359425,0.00050023917928128,0.0004883995797703495,0.0005690976658128216,0.0005587190904983505,0.00038784406328759737,0.00040556786729656883,0.0005653364534070744,0.0005136851298717734,0.00048323051915074954,0.0004026102663604082,0.0005389438374725158,0.0005734630425682415,0.0006252315485518729,0.00036461994153648306,0.000439355776427593,0.0004787356129707297
HR@10,0.0,0.0,0.0,0.0125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0125,0.0,0.0,0.0,0.0125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0125,0.0,0.0125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR@2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR@5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0125,0.0,0.0,0.0,0.0125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lin's AUC,0.28340362224967813,0.2790350839826453,0.24054333502589748,0.25329703535201875,0.2575220348681091,0.20644399518656356,0.26465398650011923,0.26815982858026044,0.2380509164318009,0.3263205988559948,0.2619718072262241,0.3016712643730208,0.2791321291805209,0.2534607936738488,0.24931658128426692,0.23244497466216144,0.2776809155907758,0.26437275556653805,0.25038814751590455,0.25337281878111445,0.2378530536502713,0.2584293987085709,0.2413235894951462,0.275038151084467,0.2557355711145476,0.2530141340993278,0.271921460732399,0.22351836620005208,0.2476654562218941,0.22585630857848646,0.27224428533054285,0.27877462197367675,0.2612473311018662,0.2754529543594811,0.2973857539588445,0.2233374444245839,0.22386221315646115,0.27026810313852734,0.21399205463702112,0.2516198811420702,0.24005112114522376,0.3425763793219248,0.2267616017549484,0.24853385158162347,0.2555292138657338,0.2280235541027904,0.23645907195943622,0.3008901162659535,0.26676809515994615,0.27692615467513354,0.26036713517230986,0.21930859764590374,0.271489410226725,0.26470670508977134,0.2476077714648026,0.23887777769357238,0.26243264622511064,0.2207940338973213,0.28428616212616015,0.2000488358954279,0.25392745506093306,0.2788936780936575,0.239115420514235,0.24780875141314898,0.25687230467637656,0.19202108900099005,0.28257680617522285,0.28312924208359624,0.23946349960766097,0.270707770305117,0.25472856590800114,0.24825592603624938,0.31566329933757487,0.27865668022035,0.32609908123469766,0.20452568331894475,0.23369753684950859,0.26156145013608656,0.25744173859015496,0.2199982182005957,0.26261825663265903,0.22867253730711357,0.31817584978069297,0.2315212349483567,0.319202451955378,0.28606237215938735,0.26400920630461633,0.3352959190572699,0.22936115606991536,0.20352338631813593,0.2058820418041254,0.2240390966422024,0.21943001814698926,0.2883349039656146,0.2815690538896657,0.2803338893096018,0.24072325369247569,0.2211817840372573,0.257714510979523,0.26065223743730687
NDCGk,0.1912639160052279,0.19135949281536313,0.1978913251330878,0.20477381070357548,0.19062923958089448,0.2131772411728223,0.2232782184905685,0.20074750359960356,0.1915780622451829,0.2018124271620714,0.2153004457629454,0.18971686137300342,0.2169975609210241,0.1883752884394902,0.20664450864896694,0.2018428666470872,0.1961852275092947,0.20513104368222884,0.1767973397478993,0.2245560415868166,0.20428164729499249,0.2146751195340017,0.2038553827164905,0.18871739576573307,0.22498978156545768,0.21868733556132433,0.18959424837947017,0.20757791885897123,0.20218264557950277,0.22774511060766778,0.1921975818832777,0.18516686815657726,0.19253573295856785,0.19634553266292995,0.22607839480806163,0.19150565811570336,0.21442765821580564,0.2202470962056601,0.1921535151755057,0.20080552768581422,0.21454925908417993,0.2009282336165022,0.20851552634893597,0.20346678404108834,0.2007563441409591,0.19501985686157564,0.1952788544093261,0.22063897729245205,0.1993658987228799,0.19841806357850122,0.23157599017018232,0.18830093552518679,0.22197654386237678,0.20107912648580478,0.20235768223129205,0.1965184349827024,0.18616853468281644,0.17794465446372684,0.21541183955292958,0.20884018525585119,0.20246634703742858,0.18182144558951213,0.20062067214595436,0.22659946578032153,0.2272204456259983,0.2002545278478778,0.22377411977997722,0.215244803586844,0.19619387950821934,0.19656259930895698,0.23963010470845936,0.20839936900465603,0.18561437040676596,0.19796443412696282,0.2107183321519106,0.20846395363152495,0.2113693227000778,0.18219580159057053,0.22558839716921525,0.18679833693981274,0.21122425763685557,0.194090987850159,0.18138840205526596,0.21232861064917508,0.20594598394837282,0.19049676389807108,0.20759944605378064,0.1829386343555825,0.21469886122263931,0.20582845594289848,0.19119325812226443,0.19874663071147647,0.18913072665123126,0.2078520059035056,0.19407414863246758,0.20996830009052267,0.21573937712078645,0.2205978238838957,0.19807100982751202,0.1977797022841183
global AUC,0.9040998751121828,0.902848766800385,0.8940910086178,0.8990954418649915,0.8990954418649915,0.8915887919942044,0.8978443335531936,0.902848766800385,0.8978443335531936,0.9116065249829699,0.9066020917357784,0.9066020917357784,0.9040998751121828,0.8990954418649915,0.8990954418649915,0.8965932252413957,0.9040998751121828,0.9040998751121828,0.8978443335531936,0.902848766800385,0.8965932252413957,0.902848766800385,0.8978443335531936,0.902848766800385,0.8990954418649915,0.902848766800385,0.9003465501767892,0.8903376836824065,0.8978443335531936,0.8953421169295979,0.8978443335531936,0.9040998751121828,0.9015976584885871,0.9003465501767892,0.9066020917357784,0.8965932252413957,0.8965932252413957,0.9040998751121828,0.8953421169295979,0.8990954418649915,0.8978443335531936,0.9141087416065655,0.8928399003060021,0.9003465501767892,0.9003465501767892,0.8965932252413957,0.8940910086178,0.9091043083593742,0.902848766800385,0.9015976584885871,0.8990954418649915,0.8928399003060021,0.9015976584885871,0.9003465501767892,0.8965932252413957,0.9003465501767892,0.8990954418649915,0.8940910086178,0.9053509834239806,0.8928399003060021,0.902848766800385,0.902848766800385,0.8965932252413957,0.8990954418649915,0.8978443335531936,0.886584358747013,0.9091043083593742,0.9015976584885871,0.8965932252413957,0.9015976584885871,0.8978443335531936,0.8965932252413957,0.9078532000475763,0.9040998751121828,0.9153598499183634,0.8903376836824065,0.8978443335531936,0.9003465501767892,0.9015976584885871,0.8940910086178,0.9003465501767892,0.8965932252413957,0.9091043083593742,0.8928399003060021,0.9078532000475763,0.9053509834239806,0.902848766800385,0.910355416671172,0.8940910086178,0.8915887919942044,0.8940910086178,0.8953421169295979,0.8953421169295979,0.902848766800385,0.9053509834239806,0.9053509834239806,0.8978443335531936,0.8953421169295979,0.9003465501767892,0.8990954418649915
global NDCG,0.3454693727934282,0.3427419746361213,0.34449566631822953,0.3425433616280525,0.3461265087614654,0.33729040190822374,0.33977827321637155,0.35218795592194513,0.3412749390137419,0.34632550579751503,0.3380765800727881,0.3513184325723645,0.3494328012801895,0.3369037262311478,0.3509464569693631,0.33720487185905834,0.36229703081018283,0.3459955827561824,0.35448197072274223,0.3429132723536231,0.3446653973178457,0.3394212153220135,0.3477421395269287,0.3489103158694477,0.339025134682432,0.34795730908681183,0.33914790492323355,0.33548040038724347,0.33172486042472,0.3409199247551779,0.3660753178879424,0.34064743608354947,0.33906518141758285,0.39024378447418373,0.34657090564273896,0.3486746501290033,0.33872355115033603,0.34562490005353785,0.33611305183532547,0.3408215708110438,0.33499035415038286,0.34889999497578483,0.3492718147339641,0.34509671464960195,0.351518354178903,0.36041023500454705,0.33861639254508263,0.3770755000655946,0.34377377958835253,0.3464711767720201,0.3397921571529485,0.33769870240156075,0.3415955578126213,0.34785291674903523,0.33380680756262593,0.3400279388216201,0.38749325003765694,0.34516662964908973,0.35281617746998883,0.34234632339913806,0.3422396254498635,0.3476667157839173,0.3512988111472996,0.33326707242470005,0.3404623690275,0.3422958642075859,0.3443909410210775,0.3360416338721148,0.33322658452717285,0.34529716021377266,0.33455798797246517,0.34854479035860003,0.3521217035010605,0.3492562513207498,0.34537829481896304,0.3445880677949168,0.342614012824417,0.3335901200909691,0.3496254367804577,0.33445030642015133,0.345536796404975,0.3362792829294228,0.3536610590079032,0.35736030847004013,0.35338714863348014,0.3453146693863236,0.3387145326323954,0.35496769665022077,0.34975509507985436,0.346398075894533,0.3364713408130456,0.33628508486155706,0.3369796098359868,0.3464111034647525,0.3534882579551903,0.34814993372096137,0.33906384821436264,0.342953822033353,0.33756666809696095,0.3411359435980455
