,1_LogisticMF,2_LogisticMF,3_LogisticMF,4_LogisticMF,5_LogisticMF,6_LogisticMF,7_LogisticMF,8_LogisticMF,9_LogisticMF,10_LogisticMF,11_LogisticMF,12_LogisticMF,13_LogisticMF,14_LogisticMF,15_LogisticMF,16_LogisticMF,17_LogisticMF,18_LogisticMF,19_LogisticMF,20_LogisticMF,21_LogisticMF,22_LogisticMF,23_LogisticMF,24_LogisticMF,25_LogisticMF,26_LogisticMF,27_LogisticMF,28_LogisticMF,29_LogisticMF,30_LogisticMF,31_LogisticMF,32_LogisticMF,33_LogisticMF,34_LogisticMF,35_LogisticMF,36_LogisticMF,37_LogisticMF,38_LogisticMF,39_LogisticMF,40_LogisticMF,41_LogisticMF,42_LogisticMF,43_LogisticMF,44_LogisticMF,45_LogisticMF,46_LogisticMF,47_LogisticMF,48_LogisticMF,49_LogisticMF,50_LogisticMF,51_LogisticMF,52_LogisticMF,53_LogisticMF,54_LogisticMF,55_LogisticMF,56_LogisticMF,57_LogisticMF,58_LogisticMF,59_LogisticMF,60_LogisticMF,61_LogisticMF,62_LogisticMF,63_LogisticMF,64_LogisticMF,65_LogisticMF,66_LogisticMF,67_LogisticMF,68_LogisticMF,69_LogisticMF,70_LogisticMF,71_LogisticMF,72_LogisticMF,73_LogisticMF,74_LogisticMF,75_LogisticMF,76_LogisticMF,77_LogisticMF,78_LogisticMF,79_LogisticMF,80_LogisticMF,81_LogisticMF,82_LogisticMF,83_LogisticMF,84_LogisticMF,85_LogisticMF,86_LogisticMF,87_LogisticMF,88_LogisticMF,89_LogisticMF,90_LogisticMF,91_LogisticMF,92_LogisticMF,93_LogisticMF,94_LogisticMF,95_LogisticMF,96_LogisticMF,97_LogisticMF,98_LogisticMF,99_LogisticMF,100_LogisticMF
ACC,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561
AUC,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Fscore,0.0004708517599116116,0.00044449226378852417,0.0004416001931666681,0.0006287822024838228,0.0005466353344046132,0.0006257508446031,0.0004959601085296459,0.00046753807147612285,0.0004116498735731663,0.0004224427776345099,0.0005490289159672026,0.00048022171724859013,0.000583283497716046,0.0006269118765110718,0.0005018159804101855,0.0005850775194468515,0.0005630022179124704,0.0005285888688750455,0.0003805779600152935,0.00037247147084187935,0.0005573795463359254,0.0004458188032737062,0.0005912898140721783,0.0005430267964947789,0.00044128850792959115,0.0005435954794967427,0.0005101183922760128,0.0006948217724773453,0.0004024890074547358,0.0004647156202468007,0.0005778597676734966,0.00044915508858354015,0.0005569665509875076,0.00039122055904588344,0.0004007281595499538,0.0006484833606326165,0.0005410073751185939,0.0005196254124192072,0.000466576429687216,0.0004535216640279506,0.0004890125089222328,0.000683249582079155,0.00046900272126264867,0.0006255430242479518,0.00048814991716556263,0.0007022509857114201,0.0006931313927261278,0.00043471714244091035,0.0004478010318925833,0.0006872357107222772,0.0005733118194617061,0.0003410379567710747,0.0004131437862268964,0.00039619280169362524,0.00043750458953538906,0.0005830641821031685,0.00045955964133036545,0.0004010852766998725,0.00041631804591142694,0.0005683562601204971,0.0005736815611816899,0.0005444300687824502,0.00043024738555413303,0.0007263777956413676,0.0003879020768763585,0.0003870250443662398,0.0005639889299562946,0.00044567861137315487,0.0006010280004072186,0.0005261799384067854,0.0004398080077041744,0.0005264195318406872,0.0005299553579219692,0.0005657029598928277,0.00039421483444185225,0.00038607438479184035,0.000526506108119847,0.0005450912389059121,0.0005986888761713066,0.0005442668894523196,0.00045224706853924527,0.0006388388464994556,0.0004462084953623028,0.0007461331302359425,0.00050023917928128,0.0004883995797703495,0.0005690976658128216,0.0005587190904983505,0.00038784406328759737,0.00040556786729656883,0.0005653364534070744,0.0005136851298717734,0.00048323051915074954,0.0004026102663604082,0.0005389438374725158,0.0005734630425682415,0.0006252315485518729,0.00036461994153648306,0.000439355776427593,0.0004787356129707297
HR@10,0.05,0.0125,0.0,0.0375,0.0375,0.025,0.025,0.0125,0.0125,0.025,0.0,0.0,0.0,0.0,0.0125,0.025,0.025,0.0,0.0375,0.0375,0.0,0.025,0.025,0.025,0.0,0.025,0.0,0.025,0.0125,0.025,0.025,0.0,0.05,0.0,0.025,0.0375,0.025,0.0,0.0,0.025,0.0,0.0,0.0125,0.0125,0.0,0.0375,0.025,0.0125,0.0,0.0,0.05,0.0,0.025,0.0125,0.0125,0.0125,0.0,0.0125,0.0125,0.0375,0.025,0.0375,0.0125,0.025,0.0125,0.075,0.025,0.0,0.025,0.0125,0.05,0.0,0.025,0.0125,0.0,0.0125,0.0,0.0375,0.0,0.0125,0.0,0.05,0.0625,0.0,0.025,0.0,0.0125,0.025,0.0,0.0125,0.0375,0.0125,0.0,0.025,0.0,0.025,0.0,0.0125,0.0125,0.0
HR@2,0.0125,0.0125,0.0,0.0,0.0125,0.0125,0.0125,0.0,0.0,0.0125,0.0,0.0,0.0,0.0,0.0,0.0125,0.0125,0.0,0.0125,0.0,0.0,0.0125,0.0125,0.0125,0.0,0.0,0.0,0.0,0.0125,0.0125,0.0125,0.0,0.0125,0.0,0.0125,0.0125,0.0,0.0,0.0,0.0125,0.0,0.0,0.0,0.0,0.0,0.0125,0.0125,0.0,0.0,0.0,0.025,0.0,0.0125,0.0,0.0125,0.0,0.0,0.0,0.0,0.0125,0.0,0.0,0.0,0.0125,0.0,0.025,0.0125,0.0,0.0,0.0125,0.0,0.0,0.0125,0.0125,0.0,0.0125,0.0,0.0125,0.0,0.0,0.0,0.0125,0.0125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0125,0.0,0.0,0.0,0.0,0.0,0.0
HR@5,0.0125,0.0125,0.0,0.0125,0.0375,0.0125,0.0125,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.0125,0.025,0.0,0.025,0.0125,0.0,0.0125,0.0125,0.025,0.0,0.0125,0.0,0.0,0.0125,0.025,0.0125,0.0,0.0375,0.0,0.025,0.025,0.0125,0.0,0.0,0.025,0.0,0.0,0.0,0.0125,0.0,0.0125,0.0125,0.0125,0.0,0.0,0.0375,0.0,0.0125,0.0,0.0125,0.0125,0.0,0.0,0.0125,0.025,0.0,0.0125,0.0,0.025,0.0,0.0625,0.0125,0.0,0.0,0.0125,0.025,0.0,0.025,0.0125,0.0,0.0125,0.0,0.0125,0.0,0.0125,0.0,0.05,0.025,0.0,0.0,0.0,0.0125,0.0125,0.0,0.0,0.0125,0.0,0.0,0.0125,0.0,0.0125,0.0,0.0,0.0,0.0
Lin's AUC,0.6704512218407673,0.6691774602501905,0.6497012792409637,0.6924318997433321,0.6348862537120625,0.6847954148767097,0.6693179372315926,0.721698020788583,0.5824434870964836,0.6566147183271364,0.6239425830841889,0.6803448694121507,0.6900959864669097,0.652064865181342,0.6616980737752645,0.7870097172006696,0.6974648760285449,0.6601084370086224,0.696986118756506,0.6299805763083957,0.7348521885138228,0.7790427450031069,0.6997467382821245,0.6715563947440616,0.6901283653137524,0.689291765067714,0.672795230644125,0.7056388626302582,0.6910886480366085,0.5911184835766456,0.5895913153877703,0.6299607648832459,0.6147929338487359,0.6200427638430075,0.6983835366409343,0.7425549506287117,0.7265349587144497,0.6794059539274652,0.7086626572529063,0.692330763640944,0.5334206963829592,0.680051978938574,0.6855373844142172,0.6793503466496543,0.5973896965239216,0.6755614136933313,0.7293136796478163,0.5938305808363997,0.6308993895531774,0.6808592590038003,0.7551244203421514,0.5646469855692289,0.6970285519323985,0.7021309911307088,0.7266224766719409,0.7036519657384321,0.6296824751090706,0.6678376171361575,0.5869177509135782,0.7317506462695395,0.6617392222458033,0.6245189855000817,0.6315907423848953,0.7074372366242102,0.6313027325046345,0.6637032668373567,0.6447632556566161,0.7097653832244163,0.6948308462702507,0.6998233974433622,0.6557712011691431,0.6405661715108741,0.7151277411708433,0.6317506374129139,0.6292543045299286,0.5921736356729528,0.6164947454627557,0.7614447495764217,0.5636465553554942,0.7266006143827132,0.7317523193010567,0.6650513887268332,0.737428196378898,0.7131811621380908,0.6527936461912944,0.691665575073858,0.7109975809971002,0.7044097528289961,0.6461864271491099,0.6836082890164183,0.6684287509941018,0.6335919836704411,0.6936671713244197,0.6907951565029116,0.6696351252554298,0.5774624897292346,0.6655891136601966,0.6986327236934193,0.6504533096971062,0.65872819281311
NDCGk,0.1912639160052279,0.19135949281536313,0.1978913251330878,0.20477381070357548,0.19062923958089448,0.2131772411728223,0.2232782184905685,0.20074750359960356,0.1915780622451829,0.2018124271620714,0.2153004457629454,0.18971686137300342,0.2169975609210241,0.1883752884394902,0.20664450864896694,0.2018428666470872,0.1961852275092947,0.20513104368222884,0.1767973397478993,0.2245560415868166,0.20428164729499249,0.2146751195340017,0.2038553827164905,0.18871739576573307,0.22498978156545768,0.21868733556132433,0.18959424837947017,0.20757791885897123,0.20218264557950277,0.22774511060766778,0.1921975818832777,0.18516686815657726,0.19253573295856785,0.19634553266292995,0.22607839480806163,0.19150565811570336,0.21442765821580564,0.2202470962056601,0.1921535151755057,0.20080552768581422,0.21454925908417993,0.2009282336165022,0.20851552634893597,0.20346678404108834,0.2007563441409591,0.19501985686157564,0.1952788544093261,0.22063897729245205,0.1993658987228799,0.19841806357850122,0.23157599017018232,0.18830093552518679,0.22197654386237678,0.20107912648580478,0.20235768223129205,0.1965184349827024,0.18616853468281644,0.17794465446372684,0.21541183955292958,0.20884018525585119,0.20246634703742858,0.18182144558951213,0.20062067214595436,0.22659946578032153,0.2272204456259983,0.2002545278478778,0.22377411977997722,0.215244803586844,0.19619387950821934,0.19656259930895698,0.23963010470845936,0.20839936900465603,0.18561437040676596,0.19796443412696282,0.2107183321519106,0.20846395363152495,0.2113693227000778,0.18219580159057053,0.22558839716921525,0.18679833693981274,0.21122425763685557,0.194090987850159,0.18138840205526596,0.21232861064917508,0.20594598394837282,0.19049676389807108,0.20759944605378064,0.1829386343555825,0.21469886122263931,0.20582845594289848,0.19119325812226443,0.19874663071147647,0.18913072665123126,0.2078520059035056,0.19407414863246758,0.20996830009052267,0.21573937712078645,0.2205978238838957,0.19807100982751202,0.1977797022841183
global AUC,0.950127861336678,0.9352310694938529,0.9542732177805651,0.9537147367624321,0.9467120984397133,0.9502826195084502,0.9534227912156827,0.9569542510515446,0.9262857768454743,0.9443054399186878,0.9492431041380578,0.9505037412281176,0.9398328611744861,0.9550260588432469,0.9582705740514472,0.9602221489354801,0.9569046473405924,0.944852702658867,0.9576265367689197,0.9389317496188488,0.9557405144729302,0.9638978244650369,0.9525065417428068,0.941036595914925,0.9481400635792524,0.9500800147054053,0.9427516408421007,0.9509870732999578,0.9491775515500147,0.9290419590627467,0.9379753576332948,0.9470270211822713,0.9456413611150157,0.946341760107263,0.9594830941902835,0.9632141853097327,0.9557949839429949,0.9514089075830153,0.9586264502665354,0.9487935620600543,0.9315843181990203,0.9517609993187938,0.9552192024480175,0.9477852686439671,0.9406280073094514,0.9525641198923045,0.9633043370132889,0.9346187948055318,0.9324213639263432,0.9568653157877665,0.9649920796254448,0.9403875577133094,0.948014770282106,0.9533410194305981,0.9616890401479191,0.9580516148913855,0.9357229166441401,0.9401372414389672,0.9369267865445542,0.9577446665873729,0.9482796838337856,0.9447851226711936,0.9452230409913173,0.9559569055934604,0.9425772844739033,0.9456182487592314,0.9526506222765265,0.9536155293405275,0.9468634776121017,0.9542402387465805,0.9489652152287448,0.9447886368305527,0.9575731485786577,0.9429299168495832,0.9409203583361266,0.9420438080512095,0.9415735864969779,0.9627888368673162,0.940997669842025,0.9556833418033585,0.9583631586345599,0.9503742579717354,0.9603448741930949,0.958070537287934,0.9445899516667928,0.9521347166506277,0.9543378242487808,0.9517327508839463,0.9416248121276343,0.9461544283814323,0.9434658261518333,0.9466353275737163,0.9493415006001102,0.9492504027767265,0.9517927619130002,0.9343649643718306,0.9539184228452796,0.9541508980028762,0.9445216958792426,0.9478008120411319
global NDCG,0.5501272684100554,0.47556498782338064,0.44048587269154615,0.5010634213990124,0.5405575603888089,0.507346950158315,0.520532876534755,0.4800583834578216,0.41278763541786007,0.5063213113477029,0.43858911501901293,0.44495508557269614,0.4362970781492211,0.4408651848998446,0.46086507784758474,0.5030434885371271,0.5542969678531443,0.4423408444387052,0.5594469920594163,0.48451347751054924,0.45811612408219854,0.5291893718986439,0.4989706670083536,0.4928568624123806,0.44813131747943424,0.494868692828615,0.4176856010621398,0.48767118083315736,0.5164253631256769,0.48753265914909255,0.4667471907452108,0.44358548205847576,0.5358021690920167,0.44672837214114897,0.5657836146491906,0.5702026978319804,0.507593947983198,0.4106084681282677,0.4586507008926133,0.5202267475001223,0.43511358174209247,0.43710451909451925,0.4831089037381223,0.4549830012003878,0.458188538799815,0.5188630491061359,0.536455936994073,0.45693701727540526,0.4319177442228886,0.45128990742717845,0.6287368277355504,0.44612903362259776,0.5081592776982062,0.483886567292461,0.49458684368852235,0.4813651815658802,0.4151474405108568,0.458016551004519,0.4255422711434254,0.5162377240741328,0.48053275441457044,0.46855119541497187,0.4335300861858627,0.5140321291007748,0.46362721246844396,0.6059614065976998,0.5201726767395748,0.44001625219521096,0.47132905877262454,0.47728499993764395,0.48790836532071674,0.4653457930258851,0.5073851050380964,0.4591500926964942,0.4292353254438502,0.480348886965398,0.41387344215946964,0.5391661018818262,0.42095642578153014,0.47762331321699225,0.45849097179743026,0.5869851011996793,0.5674470382362103,0.44760858564378514,0.4478465044042646,0.439401754188177,0.48117982125100467,0.48241725614770675,0.4520812427183374,0.45468108967069204,0.48762490422080973,0.42584793818850974,0.4605092971833273,0.5225715419076825,0.45005747609359525,0.47976976191431603,0.46071667898534424,0.46301616586780714,0.45299452925589834,0.438536501301079
