,1_MBiRW,2_MBiRW,3_MBiRW,4_MBiRW,5_MBiRW,6_MBiRW,7_MBiRW,8_MBiRW,9_MBiRW,10_MBiRW,11_MBiRW,12_MBiRW,13_MBiRW,14_MBiRW,15_MBiRW,16_MBiRW,17_MBiRW,18_MBiRW,19_MBiRW,20_MBiRW,21_MBiRW,22_MBiRW,23_MBiRW,24_MBiRW,25_MBiRW,26_MBiRW,27_MBiRW,28_MBiRW,29_MBiRW,30_MBiRW,31_MBiRW,32_MBiRW,33_MBiRW,34_MBiRW,35_MBiRW,36_MBiRW,37_MBiRW,38_MBiRW,39_MBiRW,40_MBiRW,41_MBiRW,42_MBiRW,43_MBiRW,44_MBiRW,45_MBiRW,46_MBiRW,47_MBiRW,48_MBiRW,49_MBiRW,50_MBiRW,51_MBiRW,52_MBiRW,53_MBiRW,54_MBiRW,55_MBiRW,56_MBiRW,57_MBiRW,58_MBiRW,59_MBiRW,60_MBiRW,61_MBiRW,62_MBiRW,63_MBiRW,64_MBiRW,65_MBiRW,66_MBiRW,67_MBiRW,68_MBiRW,69_MBiRW,70_MBiRW,71_MBiRW,72_MBiRW,73_MBiRW,74_MBiRW,75_MBiRW,76_MBiRW,77_MBiRW,78_MBiRW,79_MBiRW,80_MBiRW,81_MBiRW,82_MBiRW,83_MBiRW,84_MBiRW,85_MBiRW,86_MBiRW,87_MBiRW,88_MBiRW,89_MBiRW,90_MBiRW,91_MBiRW,92_MBiRW,93_MBiRW,94_MBiRW,95_MBiRW,96_MBiRW,97_MBiRW,98_MBiRW,99_MBiRW,100_MBiRW
ACC,0.975609756097561,0.9878048780487805,0.975609756097561,0.9878048780487805,0.9634146341463414,0.9878048780487805,0.975609756097561,0.9878048780487805,0.9634146341463414,0.975609756097561,0.9878048780487805,0.975609756097561,0.975609756097561,1.0,0.9634146341463414,0.9878048780487805,0.975609756097561,0.975609756097561,0.9878048780487805,0.975609756097561,0.975609756097561,0.9634146341463414,1.0,0.9878048780487805,0.975609756097561,1.0,1.0,0.9878048780487805,0.9878048780487805,0.975609756097561,0.9878048780487805,0.975609756097561,0.9878048780487805,0.9634146341463414,0.9878048780487805,0.9878048780487805,1.0,0.9878048780487805,0.9634146341463414,0.9634146341463414,0.9390243902439024,0.9878048780487805,1.0,0.9878048780487805,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.9878048780487805,1.0,0.9878048780487805,0.975609756097561,0.9878048780487805,0.9878048780487805,0.975609756097561,0.9634146341463414,0.9878048780487805,0.9878048780487805,0.975609756097561,0.9878048780487805,0.9878048780487805,1.0,0.9878048780487805,0.9878048780487805,0.975609756097561,0.9878048780487805,0.9878048780487805,0.975609756097561,0.9878048780487805,0.975609756097561,0.975609756097561,0.9878048780487805,1.0,0.9878048780487805,0.9878048780487805,0.9878048780487805,0.9878048780487805,1.0,0.9878048780487805,0.975609756097561,0.9878048780487805,1.0,0.9634146341463414,0.9878048780487805,0.9878048780487805,0.9878048780487805,1.0,0.9878048780487805,0.9512195121951219,1.0,0.9878048780487805,1.0,0.975609756097561,0.9878048780487805,1.0,0.975609756097561,1.0,0.9878048780487805,0.9878048780487805,0.9878048780487805
AUC,0.5029957881049831,0.501273755573101,0.5035581693891644,0.5020578576002602,0.48726213158792725,0.5030395636804965,0.4929711847895255,0.5047770629429046,0.49943327807352705,0.5033649046752141,0.5024012470979541,0.5038650313648974,0.4885415896027574,0.5038160800871876,0.5023774995105866,0.5028090091409092,0.4931575987771437,0.5032543918328239,0.5029913106913333,0.5019170272835327,0.5016857750814002,0.49169703404698095,0.5050060662594742,0.5032158867415963,0.49446666045339827,0.5022329131711837,0.5023046673250016,0.503576353371479,0.5045998942924016,0.5071514444728693,0.4910678679359477,0.5024129254239664,0.5034343396777944,0.4936252448874988,0.5020923298732357,0.500361711204131,0.5028349333067715,0.5024863696872947,0.5016197841290237,0.5009275233915644,0.4854223410312783,0.501907864205874,0.5020382589107378,0.5039876961324986,0.4981799431650967,0.4921230476962492,0.5008771071201509,0.5022222212498302,0.5019917673611202,0.502027597796587,0.5015140303498299,0.5021078081933973,0.5028494151970657,0.5034169683678017,0.4995368054930322,0.49632039472078604,0.5045245645875164,0.5023025050961313,0.4931306374095775,0.503131844837092,0.5025271770283865,0.5021344088423266,0.5040314214156016,0.5032156512268395,0.5018627238446921,0.5021567914094124,0.5074496583407532,0.5015698222872125,0.5032142347013469,0.5026156816418439,0.5030290951407209,0.502589497348259,0.5013501715810817,0.5027408176944959,0.5047205740103137,0.5072443361595907,0.4987966384849055,0.5025403617406138,0.5032495252163006,0.4922807283353765,0.502255872033535,0.5030478302139755,0.49221034911284756,0.49700780854806786,0.5022108544528839,0.501930782043066,0.5026413619248757,0.5024163397295325,0.49220474559396227,0.5023312495513605,0.5044034692060168,0.5029977917703216,0.49403842657489616,0.5033211583048252,0.5069926713826081,0.4923749246282914,0.5018485954825107,0.5017989664341892,0.4991424107849801,0.5029449283311985
Fscore,0.0004730429056718123,0.0004319690255827057,0.0004435037353681645,0.0006300358456329768,0.0005389766513179341,0.0006311399557882299,0.0004947659825245745,0.00046905477726289,0.00041058200676924315,0.0004219072057985754,0.0005518951067538362,0.0004815718587360954,0.0005758215150085462,0.0006304826035900321,0.0005030673988600024,0.0005874775646208934,0.0005617899754603159,0.0005279151838861176,0.00038158985097028544,0.0003734194760000211,0.0005588136942211771,0.0004433837616988214,0.0005931048479832418,0.0005322439896366746,0.0004394568265477125,0.0005482501374356534,0.0005121909472900164,0.0006967527472280796,0.0004039508389315732,0.00046871652149048165,0.0005765532112828731,0.0004475542709865118,0.0005594846137862684,0.0003876945857471493,0.000401447481186538,0.0006333259922332173,0.0005422160442381443,0.0005207891525184689,0.00046533545775258816,0.0004517485589914891,0.0004824340863280769,0.0006846378529315043,0.00047052385866349917,0.0006293044711474625,0.0004862088931484069,0.000702879288005787,0.0006922662223300616,0.00043560480086224986,0.00044862736410830216,0.0006888040737431603,0.0005746844369784954,0.0003417170838278593,0.0004145958675905711,0.00039845010293555424,0.0004329282876820479,0.0005777442353527986,0.0004609139810973961,0.000402053895882082,0.0004151522887977316,0.0005715077727622209,0.0005745256899652138,0.0005455693563849491,0.0004317712373149517,0.0007279717183324975,0.0003884085504433945,0.0003877606329545537,0.0005673737342710142,0.00047771250862231666,0.0006021253230067211,0.0005287453444658179,0.0004424487866487745,0.0005273442805111263,0.0005307228562564484,0.0005668883154784227,0.0003958605060433368,0.0003891696975210981,0.0005243200709853843,0.000546314912900281,0.000600385363629947,0.0005482883855707866,0.00045290287321993547,0.0006400037201383253,0.0004460473381506401,0.0007417476340003502,0.0005022422513267025,0.0004893485484538953,0.0005712697373025192,0.0005596321082957451,0.00038400202085269385,0.00040647788051503196,0.0005667390852809435,0.0005154886197929214,0.00047943647840058105,0.00040367165485245945,0.0005427545442817967,0.0005722504964725115,0.0006280093101634295,0.0003651563043906993,0.0004407036400178567,0.0004810930452449699
HR@10,0.0,0.0,0.0125,0.0125,0.0,0.0,0.0,0.0125,0.0,0.0125,0.025,0.0,0.0,0.0,0.0,0.0,0.0125,0.025,0.0125,0.025,0.0125,0.0,0.0125,0.0125,0.025,0.0125,0.0125,0.0,0.0125,0.0125,0.0125,0.0125,0.0,0.0,0.0125,0.025,0.0,0.0125,0.0,0.0125,0.0,0.0,0.0125,0.0125,0.0125,0.0,0.0125,0.0,0.0125,0.025,0.025,0.0125,0.0125,0.0125,0.0125,0.0125,0.0,0.0,0.0125,0.0,0.0,0.0125,0.0125,0.0,0.0,0.0,0.0,0.0125,0.0125,0.0125,0.025,0.0,0.025,0.0125,0.0125,0.0125,0.0,0.0,0.0,0.0,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0,0.0125,0.0125,0.0,0.025,0.0,0.025,0.0125,0.0125,0.0,0.0125,0.0125,0.0,0.0
HR@2,0.0,0.0,0.0125,0.0,0.0,0.0,0.0,0.0125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0125,0.0,0.0,0.0,0.0125,0.0,0.0,0.0125,0.0,0.0125,0.0,0.0,0.0,0.0,0.0125,0.0,0.0,0.0,0.0,0.0125,0.0,0.0,0.0,0.0,0.0,0.0,0.0125,0.0,0.0,0.0,0.0125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0125,0.0,0.0,0.0125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0125,0.0,0.0,0.0,0.0,0.0125,0.0,0.0,0.0,0.0,0.0125,0.0,0.0,0.0125,0.0,0.0,0.0,0.0,0.0,0.0
HR@5,0.0,0.0,0.0125,0.0125,0.0,0.0,0.0,0.0125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0125,0.0,0.0,0.0,0.0125,0.0,0.0,0.0125,0.0125,0.0125,0.0125,0.0,0.0125,0.0,0.0125,0.0,0.0,0.0,0.0125,0.0125,0.0,0.0,0.0,0.0,0.0,0.0,0.0125,0.0125,0.0125,0.0,0.0125,0.0,0.0,0.0,0.0125,0.0,0.0,0.0125,0.0125,0.0,0.0,0.0,0.0125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0125,0.0,0.0125,0.0125,0.0,0.025,0.0125,0.0125,0.0125,0.0,0.0,0.0,0.0,0.0125,0.0125,0.0,0.0125,0.0,0.0125,0.0,0.0,0.0125,0.0,0.0125,0.0,0.0,0.0125,0.0125,0.0,0.0,0.0,0.0,0.0
Lin's AUC,0.6788884954077685,0.6824147160647276,0.70531427665093,0.702909551172811,0.7427500161344028,0.6485827554257664,0.6999432788096787,0.7286808751425674,0.6181581294578742,0.7112314622046402,0.7765273585753253,0.7299764488098636,0.716162439858725,0.6695025456566872,0.6907785423460302,0.7366254589139657,0.7191242478177229,0.6617554120822904,0.6179010792813255,0.7259190409364203,0.7155673889374615,0.738282428258128,0.7200142562075394,0.6619083073464782,0.7326665892837531,0.7583125549794635,0.6613593576478911,0.7298485803527613,0.6816060833702446,0.681933991881586,0.7331015582870861,0.7272014151555051,0.7092409729162239,0.6298441248840436,0.643467601485032,0.7219478542585334,0.701862928944177,0.7069261488096624,0.693847941091307,0.7028493921892125,0.6894316894919422,0.7180886555450091,0.62419862280192,0.7130742924359224,0.7003807715447362,0.724581660889474,0.7258449658626668,0.6834493987990102,0.7064105546295396,0.7373801333646617,0.7424192333158788,0.6902731535072602,0.6701239669303792,0.6671269098711065,0.7142264738300126,0.7165213577637075,0.7005471581757645,0.6075378361281337,0.6990289598399699,0.6876811435812685,0.6768351180995422,0.697496276904563,0.7096267041304745,0.7012215999368407,0.7389953855020716,0.7082290163928235,0.6776084032508235,0.7212981097782513,0.7354496331463393,0.6995299143372384,0.681713872297385,0.6919280436002702,0.7066664059329473,0.6858301439910426,0.7313935910641552,0.6531983768074654,0.6834908382364391,0.6906830609829308,0.6814003940802621,0.7026844856694943,0.7045587686216128,0.7139308712700004,0.6790720160414967,0.7247697657323484,0.6837575731200812,0.7037108501186756,0.7591288398731431,0.7495636884138267,0.6108846672213551,0.6585024513654667,0.7069031319122918,0.713525718795149,0.698155918508399,0.6710369216582348,0.7115509053601268,0.6998743425668936,0.6950150064779204,0.6775708610325085,0.6700764892832822,0.6735571535821856
NDCGk,0.19192190800219475,0.19275732531053455,0.19842347452238213,0.20401041583234067,0.19082577589642188,0.21378289074145132,0.20823131569508907,0.19994082712391012,0.1934533208604393,0.20156580276122785,0.21558072057675473,0.1898485642994077,0.21482146701767882,0.18858344926677692,0.2066884259135219,0.20283208041898806,0.19607108585877098,0.20522486750771418,0.17701052763192626,0.22462827571123642,0.2042843083837792,0.2143305486215606,0.20531574742344738,0.18858558009307091,0.20798591965574317,0.21971238814829366,0.1895776393742678,0.20640965681288934,0.20236688247520326,0.22890358171115532,0.19198338849443788,0.18529024375598152,0.19293280977679575,0.180725067388998,0.2271113455936726,0.19388519314542446,0.21544741810706103,0.22027202507682297,0.19257559252433654,0.20097656765252142,0.19639515224192303,0.201207977881176,0.20861678964251973,0.20078359067588114,0.2017499872716402,0.19509036554668016,0.19529651615532442,0.22089781007819062,0.19954818313866388,0.19860090968966423,0.23150369812533772,0.2050557983510635,0.2357715390568391,0.20437629911757882,0.20096554225904886,0.19109065175054776,0.18675429748789854,0.17815393618603317,0.21531671930449894,0.21018885870153664,0.20238469683040297,0.18319415616101697,0.20080959433137038,0.20760665493627692,0.22748389773579267,0.19989641161321106,0.22553297064527253,0.21302469807573884,0.19644177547803043,0.19691044838448596,0.23964422936897603,0.20837586271531092,0.1860860360225316,0.19850878294354266,0.2121012474640234,0.20958709070539905,0.21125992567407612,0.1822094690522474,0.23407471367258614,0.18646739802343665,0.2112624416212502,0.19440508176497007,0.18237909515038928,0.20287933806420355,0.2054515358902467,0.1905101291933292,0.2086260770611011,0.18220021899735755,0.1985806573874305,0.20578193643893816,0.19135007888257868,0.19834594928794777,0.18933116073611217,0.20838828422699998,0.1945797448289941,0.19492916391969675,0.21585240939850706,0.22075669278573862,0.19810648554075366,0.19793596145605236
global AUC,0.9336175972881503,0.9376323891958525,0.9572943135495173,0.9610362850469816,0.9393646670198847,0.9565899949179848,0.9481645951147779,0.9637253603364941,0.9222246250662283,0.9415350659040042,0.970207835494091,0.9595554723570817,0.934264067450234,0.9624483013094297,0.93924978104084,0.9644071072521436,0.950876106960198,0.9368402841603322,0.9518345263453823,0.9620230880269887,0.9630869321929435,0.9487659894250834,0.9585075770682179,0.941197774185526,0.9534400241125396,0.9670783414249107,0.9523542840305786,0.9558883794859596,0.9560038736848935,0.9461459133029855,0.946189434815047,0.9510249856730426,0.959916754971184,0.9287917779483797,0.9402552360974448,0.9529576381605267,0.9567899641015105,0.9564849756171405,0.945497483321259,0.9436215980234205,0.9258881361980039,0.9632420958446417,0.9505739568353103,0.9540666933382352,0.9439159764497258,0.9517434961019862,0.9515407561389662,0.9411759458495075,0.9585206875858266,0.9612301720316165,0.9614276407555984,0.9458420736784058,0.9390450812581772,0.9576728290604759,0.9489883275845291,0.9387302260956067,0.94148289415352,0.9454065882378382,0.945947363299201,0.9575936928949103,0.9532979033984625,0.9575831504168335,0.9526721802925943,0.9591757404063451,0.9482994171901864,0.9557530167706497,0.9533453445498091,0.9433014040418239,0.9605066606835851,0.9576354573272925,0.9572366678200317,0.9453138684947504,0.9616235551398636,0.9536334380372607,0.9610444622254901,0.9466462755317193,0.9409191418963484,0.9580501957116443,0.9578889498610554,0.9452710227825655,0.9583658618340667,0.9611720532422176,0.9328204913335424,0.9507819004573814,0.9395755165814258,0.9556421855908652,0.9649999189040148,0.965577187158721,0.9288134711244229,0.9518560843614501,0.9477656704475417,0.9569682401089931,0.933007417579447,0.9394410999859435,0.9568947130824044,0.9419009439572679,0.9604703026502168,0.9561946519900955,0.9448606770974125,0.9513528161932463
global NDCG,0.39603390072722533,0.4050491385388688,0.4457921644395066,0.4354609576076591,0.4224372456019981,0.41702897157148583,0.415290816933758,0.4737570295216474,0.3870812738376796,0.4305214631011005,0.4432621972921588,0.4206040227372697,0.41584595597101226,0.4106630152197598,0.41159888852497856,0.4232074007310142,0.450105698915253,0.42660810856815046,0.4387595813278623,0.4233459495774693,0.46615629819033183,0.4139212969326716,0.42486571462754247,0.4475506594800129,0.4392754581055133,0.4493687102199633,0.4105601464200378,0.4076710141238805,0.4136032010735848,0.41476324188044045,0.45885245758086973,0.44343641125622746,0.41797548939905277,0.3949009660139703,0.42178361409080395,0.46066322098592155,0.4034881848136572,0.4299552675925268,0.38742279321450757,0.4162679035383942,0.41724425739239507,0.4114229093788381,0.4425450736768021,0.4313713346339164,0.41500030189055254,0.4059340191015298,0.48639904618473456,0.4138821419123198,0.43314646901948817,0.43355193782995066,0.44306778977366207,0.4189563158962999,0.40868961524890884,0.4129440304052069,0.42567959836493596,0.4104982028561778,0.41249973623610936,0.3948242768348759,0.4579498746385218,0.40590519416130916,0.3985369971975389,0.4107684346932201,0.3982113405722387,0.4108812313490948,0.4146516588310487,0.4103650754250772,0.41353584044565833,0.4174963044688956,0.42054724813753747,0.462129027173901,0.4500559822859143,0.40465132208811194,0.48913791742308266,0.4123756395080301,0.4434825968342189,0.40942756081676346,0.40537257356226725,0.4140619085472113,0.4200815925690801,0.39955808858444763,0.4496029092317211,0.4482859677843267,0.4013475097343784,0.42254676166303046,0.4183757609191054,0.460934601330825,0.40985607813595243,0.4312022202926623,0.40392582681854927,0.3930420288076719,0.4630346385923059,0.41332890992604143,0.43727783691069483,0.4530482176496624,0.41972281740642664,0.41723261412832274,0.4227001363706065,0.4185164475919567,0.390025046589846,0.396125362632502
