,1_NIMCGCN,2_NIMCGCN,3_NIMCGCN,4_NIMCGCN,5_NIMCGCN,6_NIMCGCN,7_NIMCGCN,8_NIMCGCN,9_NIMCGCN,10_NIMCGCN,11_NIMCGCN,12_NIMCGCN,13_NIMCGCN,14_NIMCGCN,15_NIMCGCN,16_NIMCGCN,17_NIMCGCN,18_NIMCGCN,19_NIMCGCN,20_NIMCGCN,21_NIMCGCN,22_NIMCGCN,23_NIMCGCN,24_NIMCGCN,25_NIMCGCN,26_NIMCGCN,27_NIMCGCN,28_NIMCGCN,29_NIMCGCN,30_NIMCGCN,31_NIMCGCN,32_NIMCGCN,33_NIMCGCN,34_NIMCGCN,35_NIMCGCN,36_NIMCGCN,37_NIMCGCN,38_NIMCGCN,39_NIMCGCN,40_NIMCGCN,41_NIMCGCN,42_NIMCGCN,43_NIMCGCN,44_NIMCGCN,45_NIMCGCN,46_NIMCGCN,47_NIMCGCN,48_NIMCGCN,49_NIMCGCN,50_NIMCGCN,51_NIMCGCN,52_NIMCGCN,53_NIMCGCN,54_NIMCGCN,55_NIMCGCN,56_NIMCGCN,57_NIMCGCN,58_NIMCGCN,59_NIMCGCN,60_NIMCGCN,61_NIMCGCN,62_NIMCGCN,63_NIMCGCN,64_NIMCGCN,65_NIMCGCN,66_NIMCGCN,67_NIMCGCN,68_NIMCGCN,69_NIMCGCN,70_NIMCGCN,71_NIMCGCN,72_NIMCGCN,73_NIMCGCN,74_NIMCGCN,75_NIMCGCN,76_NIMCGCN,77_NIMCGCN,78_NIMCGCN,79_NIMCGCN,80_NIMCGCN,81_NIMCGCN,82_NIMCGCN,83_NIMCGCN,84_NIMCGCN,85_NIMCGCN,86_NIMCGCN,87_NIMCGCN,88_NIMCGCN,89_NIMCGCN,90_NIMCGCN,91_NIMCGCN,92_NIMCGCN,93_NIMCGCN,94_NIMCGCN,95_NIMCGCN,96_NIMCGCN,97_NIMCGCN,98_NIMCGCN,99_NIMCGCN,100_NIMCGCN
ACC,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561
AUC,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Fscore,0.0004708517599116116,0.00044449226378852417,0.0004416001931666681,0.0006287822024838228,0.0005466353344046132,0.0006257508446031,0.0004959601085296459,0.00046753807147612285,0.0004116498735731663,0.0004224427776345099,0.0005490289159672026,0.00048022171724859013,0.000583283497716046,0.0006269118765110718,0.0005018159804101855,0.0005850775194468515,0.0005630022179124704,0.0005285888688750455,0.0003805779600152935,0.00037247147084187935,0.0005573795463359254,0.0004458188032737062,0.0005912898140721783,0.0005430267964947789,0.00044128850792959115,0.0005435954794967427,0.0005101183922760128,0.0006948217724773453,0.0004024890074547358,0.0004647156202468007,0.0005778597676734966,0.00044915508858354015,0.0005569665509875076,0.00039122055904588344,0.0004007281595499538,0.0006484833606326165,0.0005410073751185939,0.0005196254124192072,0.000466576429687216,0.0004535216640279506,0.0004890125089222328,0.000683249582079155,0.00046900272126264867,0.0006255430242479518,0.00048814991716556263,0.0007022509857114201,0.0006931313927261278,0.00043471714244091035,0.0004478010318925833,0.0006872357107222772,0.0005733118194617061,0.0003410379567710747,0.0004131437862268964,0.00039619280169362524,0.00043750458953538906,0.0005830641821031685,0.00045955964133036545,0.0004010852766998725,0.00041631804591142694,0.0005683562601204971,0.0005736815611816899,0.0005444300687824502,0.00043024738555413303,0.0007263777956413676,0.0003879020768763585,0.0003870250443662398,0.0005639889299562946,0.00044567861137315487,0.0006010280004072186,0.0005261799384067854,0.0004398080077041744,0.0005264195318406872,0.0005299553579219692,0.0005657029598928277,0.00039421483444185225,0.00038607438479184035,0.000526506108119847,0.0005450912389059121,0.0005986888761713066,0.0005442668894523196,0.00045224706853924527,0.0006388388464994556,0.0004462084953623028,0.0007461331302359425,0.00050023917928128,0.0004883995797703495,0.0005690976658128216,0.0005587190904983505,0.00038784406328759737,0.00040556786729656883,0.0005653364534070744,0.0005136851298717734,0.00048323051915074954,0.0004026102663604082,0.0005389438374725158,0.0005734630425682415,0.0006252315485518729,0.00036461994153648306,0.000439355776427593,0.0004787356129707297
HR@10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR@2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR@5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lin's AUC,0.5035230978427094,0.44034359930075306,0.4204929744247775,0.514359859397293,0.4205186467745196,0.4670643576286891,0.4270983544329261,0.4611378585905651,0.5403507696788173,0.4684375698584161,0.4565632783956835,0.468008205957607,0.49051289888704414,0.4486907043956051,0.4620638709069943,0.4684860037513964,0.48762739912562986,0.42313367691053594,0.47801520560688165,0.47354710009581563,0.40948273232152543,0.4563576370104648,0.4781333020166502,0.47107697804932636,0.472305221353028,0.4348696279464709,0.44170668512190187,0.5151125922292062,0.5122006861746707,0.5091969688961375,0.4795929318901674,0.5088711575423166,0.4710380798831217,0.4534634679520074,0.46956625304087746,0.4673615305890123,0.46005860229229373,0.470299785743709,0.5939303942093858,0.5073155843626419,0.48397417183291436,0.5055486538730045,0.5150270409745621,0.5045579515607255,0.48998357412809357,0.49515825680088754,0.48182201427459553,0.4951415148578917,0.4687494750222393,0.4210887831088019,0.474767949407961,0.4647438018240471,0.5132368271178803,0.5064611162629825,0.4661806136355052,0.45165176524609973,0.5063382003876391,0.48894492610042056,0.4418998190908068,0.47866266444643196,0.4574536600398232,0.5075335990076612,0.5001277331282132,0.47733051657222203,0.4969967575509299,0.4810832593214716,0.4072521947201146,0.4821726056189549,0.4624755323015288,0.46217592350568865,0.5573839419186315,0.5069781736290728,0.48488830038026914,0.4798780474805996,0.49145632965187963,0.4845129849107075,0.4843038866276671,0.510875310238789,0.5274982950305168,0.4975396844587784,0.43404772815853004,0.43898677904431893,0.5127274543197173,0.5004760885113173,0.48274775649573043,0.46398334877213526,0.5446061995382381,0.5058639179267882,0.44584657715062254,0.4609393755448064,0.4965607501305279,0.48240772188121384,0.4897025053462597,0.5201029968688607,0.47422080373842307,0.447993401595252,0.41745668717924606,0.45352902058674055,0.4229429803027588,0.4657860594636152
NDCGk,0.1912639160052279,0.19135949281536313,0.1978913251330878,0.20477381070357548,0.19062923958089448,0.2131772411728223,0.2232782184905685,0.20074750359960356,0.1915780622451829,0.2018124271620714,0.2153004457629454,0.18971686137300342,0.2169975609210241,0.1883752884394902,0.20664450864896694,0.2018428666470872,0.1961852275092947,0.20513104368222884,0.1767973397478993,0.2245560415868166,0.20428164729499249,0.2146751195340017,0.2038553827164905,0.18871739576573307,0.22498978156545768,0.21868733556132433,0.18959424837947017,0.20757791885897123,0.20218264557950277,0.22774511060766778,0.1921975818832777,0.18516686815657726,0.19253573295856785,0.19634553266292995,0.22607839480806163,0.19150565811570336,0.21442765821580564,0.2202470962056601,0.1921535151755057,0.20080552768581422,0.21454925908417993,0.2009282336165022,0.20851552634893597,0.20346678404108834,0.2007563441409591,0.19501985686157564,0.1952788544093261,0.22063897729245205,0.1993658987228799,0.19841806357850122,0.23157599017018232,0.18830093552518679,0.22197654386237678,0.20107912648580478,0.20235768223129205,0.1965184349827024,0.18616853468281644,0.17794465446372684,0.21541183955292958,0.20884018525585119,0.20246634703742858,0.18182144558951213,0.20062067214595436,0.22659946578032153,0.2272204456259983,0.2002545278478778,0.22377411977997722,0.215244803586844,0.19619387950821934,0.19656259930895698,0.23963010470845936,0.20839936900465603,0.18561437040676596,0.19796443412696282,0.2107183321519106,0.20846395363152495,0.2113693227000778,0.18219580159057053,0.22558839716921525,0.18679833693981274,0.21122425763685557,0.194090987850159,0.18138840205526596,0.21232861064917508,0.20594598394837282,0.19049676389807108,0.20759944605378064,0.1829386343555825,0.21469886122263931,0.20582845594289848,0.19119325812226443,0.19874663071147647,0.18913072665123126,0.2078520059035056,0.19407414863246758,0.20996830009052267,0.21573937712078645,0.2205978238838957,0.19807100982751202,0.1977797022841183
global AUC,0.899205799984862,0.892544035119968,0.894457697630916,0.9047081625812311,0.8940937793972947,0.8942022452775105,0.8938404896034947,0.8948548652184726,0.912877434231156,0.899785433539137,0.8938376512440125,0.8956418341749294,0.8945488630342874,0.8906738941210817,0.8911779732491377,0.8978095298595418,0.9067669869057017,0.8936728912340647,0.9008070402127959,0.8973087621508818,0.8841272179751953,0.8947315993209563,0.9020135457327293,0.8929108592930592,0.8959752062541223,0.8935013732253495,0.8899578165716943,0.9065826286993286,0.9037892099088483,0.8952228382513544,0.8989091914189635,0.89933744580085,0.9021517468075213,0.8888332855768087,0.8929974292572689,0.8928820026383228,0.8939552404225642,0.9005480737000313,0.9148575954499746,0.8982325130023896,0.8946286749997298,0.9033346669117567,0.9061084875058119,0.9013069293816159,0.8961345598650563,0.9055018219564678,0.8968685461111772,0.9024186201788438,0.893718778045695,0.8862080733756474,0.8954980915411481,0.8995072743098731,0.9044973130196902,0.8950394261648088,0.8944359368748851,0.8962191700096234,0.9055384503097867,0.8983253679054528,0.889028997221111,0.8985783197993146,0.9005109047068108,0.9042128012715851,0.899546200382773,0.8972627401792762,0.9017009882897397,0.8974553431441454,0.8884699079830887,0.8953812457424608,0.8918939156385497,0.8964302223111275,0.9063900933144471,0.9032196457727366,0.8995803958565358,0.8998062481753404,0.9001409718542868,0.901856760161327,0.8915794659559053,0.903688245407264,0.9062572986386687,0.9017251143453391,0.8932215244963938,0.892763805239882,0.8967438610339197,0.8921452456127072,0.9021849285814689,0.8968252273390785,0.9073066806872615,0.9041168376890889,0.8949198095866266,0.8949992160721431,0.8969895818691003,0.9010033600769872,0.8990190764789205,0.9049352313398138,0.8990713833893798,0.8940893866980958,0.8865691532497865,0.8934908983272601,0.8921425424132002,0.8948863574927285
global NDCG,0.3350802585538816,0.33576465288773094,0.3316164329474127,0.3399315065363403,0.33188243315353977,0.33855601165552773,0.33458913438201826,0.33619103574027065,0.3478805586015043,0.33408431919791093,0.3334007678684562,0.33337204159639505,0.3362886110741112,0.3338735118131916,0.33507082656366866,0.33330348056213294,0.33988657899534636,0.33836395514650697,0.336019842009843,0.34186618819617925,0.3308082215771919,0.3343223120698858,0.33858678136192993,0.33556128604209057,0.33459602260141635,0.33555635238662906,0.331401634916324,0.33869176660830397,0.3357768765339963,0.33413476159328986,0.3364287712318389,0.3346260361000908,0.3381122094093731,0.33158069369424836,0.3350981317302718,0.33005754233620116,0.33533867448819055,0.3361304862229666,0.35102224457190057,0.3381329428043004,0.3336585273711133,0.33595421661320163,0.34058404075001036,0.3361065077715594,0.33714337035357983,0.3397024895691982,0.3349329726531455,0.34048473274860425,0.3334907555651244,0.32584137553485987,0.33426428598163754,0.33265649471693925,0.3440239533995933,0.33467757198640014,0.33175509296175193,0.33818863794130666,0.33938386302988105,0.337977836255452,0.3317905781208845,0.33840845529800495,0.3358172112204293,0.3381524780855197,0.33617709161063764,0.3368717751351849,0.3361952349445775,0.3356889792830291,0.33131701905120914,0.33089703254532826,0.3347727583274684,0.3318762965625016,0.3397315245565943,0.33777208980602325,0.3365179373690254,0.33892724304293304,0.33855636262775024,0.3366710714709668,0.33285224507087136,0.33631567989630706,0.3383115586569718,0.33738097297356423,0.335567716815528,0.3381722165899731,0.33503180304226343,0.33051592244974537,0.3395384736493519,0.3385092122300065,0.3418172126621219,0.3380243709955677,0.33774098163416366,0.33530787496013303,0.3349140561066492,0.3365021149454548,0.3358571232737925,0.33960193207254186,0.33603804756723216,0.33310360599428696,0.33267370509328714,0.3345710882000777,0.332913205413446,0.3357119350203991
