,1_PMF,2_PMF,3_PMF,4_PMF,5_PMF,6_PMF,7_PMF,8_PMF,9_PMF,10_PMF,11_PMF,12_PMF,13_PMF,14_PMF,15_PMF,16_PMF,17_PMF,18_PMF,19_PMF,20_PMF,21_PMF,22_PMF,23_PMF,24_PMF,25_PMF,26_PMF,27_PMF,28_PMF,29_PMF,30_PMF,31_PMF,32_PMF,33_PMF,34_PMF,35_PMF,36_PMF,37_PMF,38_PMF,39_PMF,40_PMF,41_PMF,42_PMF,43_PMF,44_PMF,45_PMF,46_PMF,47_PMF,48_PMF,49_PMF,50_PMF,51_PMF,52_PMF,53_PMF,54_PMF,55_PMF,56_PMF,57_PMF,58_PMF,59_PMF,60_PMF,61_PMF,62_PMF,63_PMF,64_PMF,65_PMF,66_PMF,67_PMF,68_PMF,69_PMF,70_PMF,71_PMF,72_PMF,73_PMF,74_PMF,75_PMF,76_PMF,77_PMF,78_PMF,79_PMF,80_PMF,81_PMF,82_PMF,83_PMF,84_PMF,85_PMF,86_PMF,87_PMF,88_PMF,89_PMF,90_PMF,91_PMF,92_PMF,93_PMF,94_PMF,95_PMF,96_PMF,97_PMF,98_PMF,99_PMF,100_PMF
ACC,0.6707317073170732,0.573170731707317,0.6585365853658537,0.6341463414634146,0.5975609756097561,0.5975609756097561,0.5853658536585366,0.6585365853658537,0.6219512195121951,0.6341463414634146,0.573170731707317,0.6097560975609756,0.6463414634146342,0.6707317073170732,0.47560975609756095,0.6341463414634146,0.5853658536585366,0.6097560975609756,0.6219512195121951,0.5975609756097561,0.6829268292682927,0.6585365853658537,0.573170731707317,0.6097560975609756,0.6463414634146342,0.6097560975609756,0.5853658536585366,0.6219512195121951,0.6219512195121951,0.5609756097560976,0.5487804878048781,0.6097560975609756,0.6097560975609756,0.524390243902439,0.6219512195121951,0.6463414634146342,0.6097560975609756,0.6097560975609756,0.7073170731707317,0.6585365853658537,0.6219512195121951,0.5853658536585366,0.5975609756097561,0.5365853658536586,0.5975609756097561,0.6097560975609756,0.6219512195121951,0.6707317073170732,0.5853658536585366,0.7073170731707317,0.5975609756097561,0.6463414634146342,0.5975609756097561,0.6829268292682927,0.6341463414634146,0.5975609756097561,0.5609756097560976,0.6341463414634146,0.6829268292682927,0.6219512195121951,0.5975609756097561,0.6219512195121951,0.6951219512195121,0.5487804878048781,0.7073170731707317,0.6219512195121951,0.573170731707317,0.5853658536585366,0.5609756097560976,0.5853658536585366,0.6219512195121951,0.6341463414634146,0.6829268292682927,0.6341463414634146,0.6219512195121951,0.5609756097560976,0.5365853658536586,0.6463414634146342,0.6585365853658537,0.5,0.5609756097560976,0.6097560975609756,0.573170731707317,0.5365853658536586,0.5975609756097561,0.6463414634146342,0.5121951219512195,0.6707317073170732,0.6707317073170732,0.6707317073170732,0.6463414634146342,0.6341463414634146,0.5609756097560976,0.7073170731707317,0.6951219512195121,0.6463414634146342,0.5365853658536586,0.573170731707317,0.6463414634146342,0.6463414634146342
AUC,0.5863794005452664,0.5211435217055651,0.5503654999449039,0.5338431897179629,0.5393188746746481,0.5239225726510625,0.5069182250149817,0.5602902543381829,0.5746764549115003,0.5613585718572786,0.5497188086520413,0.5488975154121516,0.5514362824664364,0.580258620902379,0.47097710229277934,0.5430968175257295,0.5304254527617386,0.5656396108861713,0.5646682180940074,0.5457853200053117,0.5984369706860663,0.6066520349637833,0.5277397384630778,0.5504639652986832,0.561156022557294,0.5330269935439531,0.5294198061452128,0.5518860093260991,0.5553697669058256,0.5216944670021316,0.5335814949808501,0.5693314051003443,0.5369752926601075,0.5108966115430204,0.5412145752350007,0.5805325382874786,0.5582862968298336,0.5422195797213262,0.6014842838275279,0.5674367956784999,0.5791598706960672,0.5390258612421659,0.5397891150815687,0.5101235616874554,0.5552360885226075,0.5443530160603909,0.5553267270777715,0.5940992290993156,0.5436207884365981,0.5888798643473141,0.5212765561524012,0.5591429654318818,0.5366850305582044,0.5854591236742975,0.5869194725168568,0.5829708118483858,0.5109817103766254,0.5516272960110846,0.5989283231984738,0.5611580408912307,0.5719532224408347,0.559632682488219,0.5834441439922202,0.5129012019007223,0.617425405863094,0.5392881821406547,0.5513522484591082,0.5448722196974272,0.510476182277638,0.5556781406043816,0.5535786100574703,0.5578901293784406,0.5980651091738896,0.553746291783904,0.5568625842806834,0.5204134162736147,0.5343578438038723,0.5530080734473998,0.5944875198793459,0.48523595658949553,0.5449652932843593,0.5540471365951644,0.544335226430814,0.496291771091171,0.5401831134172217,0.548221346930888,0.5013407841981126,0.572889957215352,0.5876639552311963,0.5826482415921945,0.5845778288573155,0.5876872460116422,0.5241738095489243,0.5916088180920043,0.5982114819288052,0.5685345653248409,0.5235442695557692,0.5368177693483305,0.567292254287683,0.5857243111760173
Fscore,0.0006669798422275504,0.000537405074635669,0.0006093858023468988,0.0007927085211205006,0.0006731966031721512,0.000769079446814347,0.0006106912736669208,0.0006933244621362859,0.0004811739325873808,0.0005389589060024446,0.0005672477873455052,0.0005864074594172917,0.0007948208872181082,0.0008340612556870785,0.00048762348091811226,0.0007405364074739828,0.0006069207424429481,0.0006941498345113033,0.00048033497473017257,0.0004812605400620495,0.0007146930233329397,0.0005789419733454856,0.00073218381285814,0.0006303032754167358,0.000580181424475543,0.0007034302373211032,0.0005710600897184734,0.0009209226556223292,0.0005444934142145809,0.0005874979546652403,0.0006525665531976396,0.00048711779676403975,0.0007248370841657877,0.00040010801386524433,0.0005092582654512998,0.0008513260182082661,0.0006216773977494981,0.000598683327539788,0.0006511365587796689,0.0006384350218829805,0.0005765460574557059,0.0007873195731158015,0.0005903658838334251,0.0006294543469520743,0.0005823253702670104,0.0007961324527416619,0.0008400910622012195,0.0005752066553014943,0.0005312308210883883,0.0009959808330808318,0.0006719319885486581,0.00045709420800674216,0.0005370795005636217,0.0005200176430004189,0.0005217635435393219,0.0006427709222983249,0.0005460125693036363,0.0005566012722507627,0.0005734505397134677,0.0007049515770878768,0.0006721217586960818,0.0006748490446895557,0.00058409717063399,0.0007925728582215944,0.0005336965503478059,0.0005392703295103517,0.0006380358870532776,0.0005460739573161758,0.0006593576037275792,0.0006428640117847534,0.0005166171602930093,0.0006465794712674358,0.0007098004762004232,0.0007081532950308818,0.0005416246788695595,0.00044691015022153146,0.0005106848644509625,0.0007783065401198635,0.0007877896616478207,0.0005104988250513502,0.00047933254935626475,0.0007920857131245876,0.0005105277370949235,0.0007179074423864344,0.000564067267317143,0.0007795555299392919,0.0005934190101914789,0.0007583173356163918,0.0005011431186291431,0.0005517360090631327,0.0007383386522764827,0.0006114250403349403,0.0005344781970953639,0.000624067368390741,0.0008014932968895561,0.0007122410479055019,0.000686925862670611,0.0004139839275335561,0.0005446036132997985,0.0006195513554832808
HR@10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0125,0.0,0.0,0.0,0.0,0.0,0.0,0.0125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR@2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR@5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lin's AUC,0.6076721958041447,0.5625855873953797,0.6739403760658068,0.5623868303902095,0.5587257299484024,0.5321761958456658,0.5374116403982118,0.6090972547221103,0.5713418662819041,0.5695616444329209,0.5311843712855354,0.5721604579841051,0.585234439723253,0.6089958036884855,0.49767024666392157,0.6237571178654295,0.5655010053668957,0.5473408129750861,0.5818441858952682,0.5416627284346798,0.5875284483379878,0.6176694325333385,0.5616080356682434,0.5756999820259053,0.5974032829843855,0.5649831711673319,0.4989543800045345,0.5948418216316492,0.5815636109822111,0.5288301988199205,0.5623620107212932,0.5331539120517218,0.5533794905513416,0.5513703498455454,0.5595996320910533,0.5842875769658319,0.5657144536070343,0.5691990184113578,0.6618128490042476,0.6333007025811037,0.5626077595818246,0.5782023947541526,0.5318999760459444,0.5309695677406844,0.5879024652233881,0.559626608216164,0.6045549111691314,0.6348760451830696,0.5580317929610934,0.5892770689155554,0.5667272831007638,0.6276948451083098,0.5756501829082644,0.6234496039360524,0.5954878521904049,0.6034634371467416,0.5327849367468234,0.5573551517792509,0.595711162337684,0.5649637059228249,0.5550323993186765,0.5920772086183012,0.59719518029979,0.5569867488119719,0.6361300451477694,0.5673641653664054,0.5438923656190308,0.5572947996559737,0.5485537346865826,0.5836918833324246,0.537870782140545,0.5699429984377634,0.6055093170844685,0.5899756273695375,0.5460574765711045,0.5421710934816771,0.553373184079408,0.5768541979358335,0.5476709400093901,0.4947955134523174,0.5615609686281953,0.5676203114548108,0.5284338092418822,0.5229778339293233,0.5940201496814487,0.610752772508329,0.5319501976774863,0.6128807856043091,0.6141177084849743,0.5870631257509891,0.6024090700203432,0.5466781920289271,0.5446696080307274,0.6594739199742939,0.6433510888989789,0.6326751208195753,0.5329860442801866,0.580727436114759,0.5942577930289737,0.588343868328734
NDCGk,0.2313641620622374,0.19607627594534707,0.22253929958488036,0.2165048990346496,0.19579315729096267,0.21785056266034225,0.2335028776031899,0.22384917400450388,0.21616813784029779,0.20541602716025095,0.21541008224375263,0.20312714147068556,0.2442062198266326,0.21032122502817147,0.22159547739900778,0.2105610944607759,0.18819445050385777,0.2194186402809759,0.21045361896317347,0.19477615020620997,0.220154475187669,0.22813190747393078,0.20644636944350025,0.20438657308105437,0.2167594276227298,0.19277812902523805,0.19737825450603147,0.20898295461290795,0.19728959795271192,0.19334485972613646,0.20154037917907192,0.22124143076135436,0.20988288892377888,0.20635204816517924,0.19222476808068112,0.2587402845087723,0.20547692258329084,0.2093714790314016,0.21951054450536764,0.2116494667756193,0.2041030696223831,0.2144672334854205,0.2244000852215988,0.2108742729932272,0.21287893248002662,0.2469314764066299,0.1989939772829527,0.23208348063542783,0.1940631471411204,0.22760926521878488,0.20861953506388867,0.22778371404331,0.21376446728783133,0.22951824863942588,0.21195545830325743,0.23927868403439057,0.19455634172402342,0.18919234418224637,0.23292474380729963,0.2077489022706845,0.1971925506733332,0.22407254546727462,0.2403457696641359,0.21824857774838854,0.2224503872532014,0.21571569320505105,0.220643457945047,0.22344522680234075,0.2037380866775646,0.2017781541695446,0.20841013245148948,0.20293141385993238,0.22562828940248875,0.20568528057077826,0.22046832437162894,0.21614928424401875,0.19725496627209016,0.21197026187039067,0.23482940325930193,0.204603979707347,0.2422493324313674,0.20439839151623185,0.22160882372325652,0.20767839838876756,0.2307630591798792,0.2527978239486772,0.19962581381570788,0.21618152928675063,0.23047599070837543,0.2325656902535588,0.20493209346382382,0.2291447089280466,0.20395305459181667,0.22681014307350675,0.2090727554719416,0.20303315086478144,0.23265918053162962,0.21572011355445384,0.20797108666064312,0.2212060991469797
global AUC,0.6645333466691176,0.5735869024577489,0.6567985467599451,0.625184763686299,0.6047752019290031,0.5942709741249742,0.5655309624471524,0.6501304293762097,0.6166963117545928,0.6256560665203333,0.5609053826108582,0.6043371484489041,0.6460850913140793,0.6521782381626895,0.4838044559540673,0.6332907128877738,0.5874741844447087,0.6142177481266827,0.6317490782089682,0.603291550879621,0.6722017830303949,0.6530546154428383,0.5883029854135355,0.5951685715212526,0.6416138641696313,0.6007228355481549,0.566875669041878,0.6300205172842575,0.6285687639890573,0.5662132500027031,0.5590021949979996,0.6004875220310759,0.6051001265097369,0.5301475676610837,0.6185886865694236,0.6512399576138318,0.5968125223013958,0.5928350345468898,0.697206919109458,0.6521502600477926,0.6297053242217487,0.596121584507423,0.605395586215845,0.5380506417395631,0.5973050452515596,0.6177055512905074,0.6238512753695273,0.6589575922061353,0.579406080036331,0.6924456386579156,0.5976830877026048,0.6437648000173004,0.599605197712012,0.6674468550976936,0.6376466485732513,0.6120900597947732,0.560010488414087,0.6355937037077085,0.6703123817350216,0.61735778467394,0.6012222516570613,0.616237713958241,0.6849572353838003,0.5513718737497701,0.7094242996010076,0.6235491928246272,0.5803023258328558,0.5821845636495356,0.5645387530681314,0.5862658542651081,0.6099831860990669,0.635635603300066,0.6811496437183048,0.6288201615432025,0.6201545148838165,0.5610967691359494,0.5419321659115729,0.6483490209011386,0.6495378880442894,0.4961109068693706,0.5734514721624515,0.6050287620427538,0.5705499929716812,0.5366111880021193,0.5953922612804515,0.6547262740179277,0.522478185179979,0.6660357849550728,0.6578365753706088,0.6600456300076772,0.6542233437496621,0.6252326103175719,0.5603952888638993,0.7080777007666272,0.698640290648011,0.6435232691413557,0.5480797822302477,0.5740594217315614,0.63794616307862,0.6398083972189484
global NDCG,0.33504177642257454,0.33378407335995375,0.33730535045450305,0.33548485228517844,0.33611033697976084,0.32716915592488316,0.31987610839502506,0.336778762036413,0.34678784553060615,0.33979590086521605,0.33211374498137336,0.32344843527435746,0.3335028874836796,0.34223138143439796,0.3230771561867295,0.34440598867971867,0.34090108997410296,0.3448560079510547,0.3358781105027852,0.33580951331487396,0.3420724840956659,0.3576601128822297,0.3334273882852592,0.34478022936407365,0.3547601285955779,0.3274812165305963,0.3159079089975257,0.3370669743316718,0.3361370333796647,0.3320341572247866,0.33099476792830557,0.3274036275698302,0.32674362429003634,0.3240371294287828,0.3436237320551022,0.3522987036761157,0.3448869721244708,0.32602565531834155,0.3475314661668407,0.3475798676841204,0.33904961261238475,0.333716401740661,0.3403750948758436,0.3327214999136242,0.34706448855377775,0.3361982970713529,0.3500244541316238,0.348509945145363,0.33413257247020717,0.3419893560973397,0.329171348553713,0.3378629853505211,0.32825496088942263,0.3441653066167881,0.34807145158096586,0.3424561440576725,0.3280617377284945,0.3371716827031408,0.3323630273951137,0.33093341544835003,0.3331821655706942,0.3447448243263056,0.34072738476230974,0.3277298000842922,0.3618035489177762,0.32431479367199256,0.3323001891938316,0.33021060639057,0.350893281154027,0.3305039716531167,0.3271877281563672,0.33226691256236496,0.3391291649089518,0.34871171544389695,0.3251306682261231,0.3237552670870468,0.33185237075556917,0.33969640373406973,0.34267301796483485,0.3340118021569957,0.32780704718851444,0.33081527708025493,0.33783422649461253,0.3282338674139505,0.33017365547354793,0.3422871418800661,0.317921791847274,0.3482334357383072,0.335090877655383,0.338705858995615,0.3450044373570687,0.32557794758507597,0.3229789818490399,0.36085907300518105,0.35720103276284254,0.3356337760220663,0.3248305230683998,0.32961483260975954,0.3512094395883582,0.3393905658907737
