,1_SCPMF,2_SCPMF,3_SCPMF,4_SCPMF,5_SCPMF,6_SCPMF,7_SCPMF,8_SCPMF,9_SCPMF,10_SCPMF,11_SCPMF,12_SCPMF,13_SCPMF,14_SCPMF,15_SCPMF,16_SCPMF,17_SCPMF,18_SCPMF,19_SCPMF,20_SCPMF,21_SCPMF,22_SCPMF,23_SCPMF,24_SCPMF,25_SCPMF,26_SCPMF,27_SCPMF,28_SCPMF,29_SCPMF,30_SCPMF,31_SCPMF,32_SCPMF,33_SCPMF,34_SCPMF,35_SCPMF,36_SCPMF,37_SCPMF,38_SCPMF,39_SCPMF,40_SCPMF,41_SCPMF,42_SCPMF,43_SCPMF,44_SCPMF,45_SCPMF,46_SCPMF,47_SCPMF,48_SCPMF,49_SCPMF,50_SCPMF,51_SCPMF,52_SCPMF,53_SCPMF,54_SCPMF,55_SCPMF,56_SCPMF,57_SCPMF,58_SCPMF,59_SCPMF,60_SCPMF,61_SCPMF,62_SCPMF,63_SCPMF,64_SCPMF,65_SCPMF,66_SCPMF,67_SCPMF,68_SCPMF,69_SCPMF,70_SCPMF,71_SCPMF,72_SCPMF,73_SCPMF,74_SCPMF,75_SCPMF,76_SCPMF,77_SCPMF,78_SCPMF,79_SCPMF,80_SCPMF,81_SCPMF,82_SCPMF,83_SCPMF,84_SCPMF,85_SCPMF,86_SCPMF,87_SCPMF,88_SCPMF,89_SCPMF,90_SCPMF,91_SCPMF,92_SCPMF,93_SCPMF,94_SCPMF,95_SCPMF,96_SCPMF,97_SCPMF,98_SCPMF,99_SCPMF,100_SCPMF
ACC,0.7073170731707317,0.5853658536585366,0.5853658536585366,0.6219512195121951,0.6951219512195121,0.573170731707317,0.6097560975609756,0.6585365853658537,0.6585365853658537,0.6951219512195121,0.6951219512195121,0.5609756097560976,0.6707317073170732,0.5487804878048781,0.7073170731707317,0.7073170731707317,0.5853658536585366,0.573170731707317,0.7439024390243902,0.6097560975609756,0.6829268292682927,0.5975609756097561,0.7439024390243902,0.6585365853658537,0.5853658536585366,0.6463414634146342,0.6341463414634146,0.6097560975609756,0.6829268292682927,0.5853658536585366,0.6951219512195121,0.7195121951219512,0.6097560975609756,0.5853658536585366,0.7317073170731707,0.6707317073170732,0.5975609756097561,0.6951219512195121,0.7195121951219512,0.7073170731707317,0.7682926829268293,0.7195121951219512,0.6341463414634146,0.524390243902439,0.5,0.5487804878048781,0.5365853658536586,0.6463414634146342,0.6219512195121951,0.6097560975609756,0.7195121951219512,0.6219512195121951,0.5609756097560976,0.573170731707317,0.7195121951219512,0.7317073170731707,0.6585365853658537,0.5853658536585366,0.5853658536585366,0.6219512195121951,0.6219512195121951,0.7804878048780488,0.5853658536585366,0.6463414634146342,0.7073170731707317,0.6219512195121951,0.6219512195121951,0.5853658536585366,0.5975609756097561,0.5365853658536586,0.6097560975609756,0.6463414634146342,0.5975609756097561,0.5365853658536586,0.6829268292682927,0.6707317073170732,0.6097560975609756,0.5609756097560976,0.6219512195121951,0.6341463414634146,0.6585365853658537,0.5975609756097561,0.7073170731707317,0.5609756097560976,0.6707317073170732,0.5853658536585366,0.6951219512195121,0.5975609756097561,0.5487804878048781,0.5609756097560976,0.6341463414634146,0.524390243902439,0.6463414634146342,0.5853658536585366,0.5975609756097561,0.5,0.6951219512195121,0.573170731707317,0.6707317073170732,0.6097560975609756
AUC,0.5903041036497274,0.5360075364322336,0.5313968229953967,0.566660576054194,0.5967626598157663,0.5434079360999357,0.5329993388927278,0.5844712555710021,0.5605909812892341,0.5959189259325806,0.5865931385493802,0.5096442381169208,0.5647955039191893,0.5102471389312215,0.5842082075552036,0.5759798467684231,0.5631349979102973,0.5314661267875461,0.604645675636393,0.5553104245868624,0.602555647357962,0.5523980233106726,0.6110781058296719,0.5854694125179735,0.511456210524869,0.6043021186036723,0.5540664189982977,0.5587559253828955,0.5724519949852487,0.539309607224032,0.6180917870911561,0.5882556067514504,0.5599101291676937,0.55490111880683,0.5931303809975754,0.5885735195146593,0.5455702106050939,0.5891132873782283,0.6089770058466456,0.6397639115950259,0.6388642286186832,0.6106930953884184,0.5512166154554634,0.5325257462526743,0.46618191296057904,0.5468160318264805,0.5367593123807761,0.5712447903281901,0.5432416979756797,0.5324564324621391,0.5854295257402969,0.5455171750300492,0.539628743315276,0.5148007111583898,0.5950019865892554,0.6019999917818147,0.5874497422263609,0.5357803140406018,0.544679534155608,0.5595885244204687,0.5801562254700348,0.6231923206256119,0.5379024839580517,0.5570272476593482,0.6333630107207482,0.5419084609635947,0.5768308893307185,0.5783274266911917,0.5511645373539307,0.47976782508739396,0.5264471442304117,0.5632592910740198,0.542775324556605,0.4991474627017034,0.5960340783461417,0.5641875615466382,0.545463927565844,0.5121698103858386,0.5579855695912177,0.5487407392766824,0.5729434292764556,0.5293965358825333,0.5724721637020358,0.5069713930426429,0.5601770241236815,0.5519139677235666,0.6035823023293806,0.5453507303727554,0.49649970029717083,0.5271480487786708,0.5875079780225251,0.5219700387336458,0.5572712992422338,0.530710083053049,0.549759267432722,0.507296010994616,0.6211178165543099,0.5337688007138466,0.5831740820964134,0.5452770371452069
Fscore,0.0006458144019224857,0.0006000494455938154,0.0005066759433772631,0.0007661834333357667,0.0007174872509890339,0.000614560065295998,0.000594170485260853,0.0006043571660206519,0.0006014663578753173,0.0005235254474650342,0.0007451939495606728,0.0005622466254250551,0.000853873820779962,0.0006765793674229264,0.0006845992163206597,0.0008279264286683541,0.0005344628926584058,0.0006468196055456284,0.0005442180284004795,0.0005335991956852907,0.0007598134184386156,0.0005080923851448684,0.0009229266356552548,0.0007107382543597522,0.0005745018421446782,0.000590735921498858,0.000639599266247711,0.0008301358907623475,0.0005824316240566258,0.0005013709913432244,0.0007564236058468647,0.0006441233032130029,0.0006232857104967559,0.0004576455109686663,0.0006067337717350727,0.000814161297453579,0.0006744023143737877,0.000755444888471575,0.0006560360942801665,0.0006630006570496332,0.0007923317886119582,0.0009498174560542981,0.0006981860800892038,0.0006456062569615122,0.0005248269383211325,0.0006811333089220213,0.0006292830024791984,0.0005176439773977415,0.0005442857849082453,0.0009037710654605028,0.0009095143634862456,0.00042749377021970814,0.00039203512131497195,0.0004670411927537996,0.0006378034039692238,0.0008970720517394087,0.0005856435171388199,0.0004664259493772748,0.0004858785437797127,0.0006613649427819456,0.0006686236033509358,0.0008989110740718229,0.0005446081928737337,0.0009262903602824381,0.0005344860305147294,0.0004739084853533333,0.0007263725181108965,0.0005046257350505592,0.0006824028402315399,0.0006125327156974049,0.0005051437632557416,0.0006112131145020555,0.0006905731512116437,0.0005480534972190518,0.0006049478161351713,0.0005412733062548175,0.0006398755798349863,0.0006344264873920405,0.0007354625628678938,0.0006509903319212186,0.0005826946300913658,0.0008343364831524955,0.0006591276025138376,0.0007981270387783838,0.0006616993584553328,0.0005241472791642602,0.0008135952515467953,0.0005655959508223927,0.0004180171778801196,0.00043228607053158376,0.0006692452820825189,0.0005734532034982435,0.000645664136565575,0.0004896997239102785,0.0006547008252835167,0.0005486849330737882,0.0008096031803846354,0.00044658483435047356,0.0005369055151446091,0.0005541243456878665
HR@10,0.0,0.0,0.0,0.0,0.05,0.0,0.0125,0.0,0.0,0.0,0.0,0.0,0.0375,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0125,0.0,0.0125,0.0,0.0,0.0125,0.0,0.0,0.0,0.0125,0.0,0.0,0.0125,0.0,0.0,0.0,0.0125,0.0,0.0,0.0,0.0,0.0,0.0125,0.0,0.0,0.0,0.0,0.025,0.0125,0.0125,0.0,0.0125,0.0,0.0,0.0,0.0125,0.0,0.0,0.025,0.0,0.0125,0.0,0.0125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0125,0.0,0.0,0.0,0.0,0.025,0.0,0.0125,0.0,0.0,0.0,0.0375,0.0,0.0,0.0,0.0,0.0,0.0125,0.0,0.0375,0.0,0.0,0.0,0.0125,0.0,0.0,0.0
HR@2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0125,0.0,0.0,0.0,0.0,0.0,0.0,0.0125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR@5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0125,0.0,0.0,0.0125,0.0,0.0,0.0,0.0125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0125,0.0,0.0,0.0,0.0125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0125,0.0,0.0125,0.0,0.0,0.0,0.0125,0.0,0.0,0.0,0.0,0.0,0.0125,0.0,0.0125,0.0,0.0,0.0,0.0125,0.0,0.0,0.0
Lin's AUC,0.6337877926429557,0.5676925041534158,0.5942793946699326,0.5972063531315642,0.6701758263203758,0.536984160058839,0.5558301351590699,0.6339264200167557,0.6126476013883161,0.6412241470359166,0.5936499146849292,0.609245868631851,0.6391938724208063,0.510499988551907,0.6554098233342289,0.6582959161529417,0.5318784721038158,0.5698255674272297,0.6175561796522923,0.6299748859368033,0.6142300147888381,0.5585420431573962,0.6856549481056323,0.6208177402145753,0.5288675800357772,0.5885757660449858,0.5707756846336082,0.6038763750288632,0.6450665930142024,0.543217091107276,0.6278481044511071,0.6504974843135253,0.5645960237162129,0.5969735509073033,0.7040677419439492,0.5926662959873854,0.6083336974586008,0.6581152138514228,0.6487977353709422,0.6460221814129329,0.6998563351991699,0.6706740766041038,0.6052368771927423,0.5575651062789696,0.4623700891774731,0.5152209244038033,0.5157841422010343,0.5785410585939502,0.5602638223666833,0.6300654348656698,0.6516558609543426,0.6305521311532065,0.5585266648668242,0.572604457503044,0.6891853564911247,0.6951536187444042,0.59227412610559,0.5809949004644176,0.5472483486318475,0.549345689291363,0.6132970492411607,0.6987062964063163,0.5996052416343072,0.635608093671769,0.6426280254352019,0.6072494177913056,0.5544827063043248,0.5381787855525085,0.533904518432269,0.5183039700412658,0.5847962294848341,0.5837737709922514,0.5683297779193219,0.5233343262067128,0.6469186350603832,0.6585421312617106,0.5805540714874342,0.5417632384194444,0.5664642866558124,0.5983000457893789,0.6367330393391945,0.6147456853024189,0.6478126411407331,0.5489227645623147,0.6744818195139358,0.5681089986500882,0.6611355047254667,0.5970718902010541,0.5688034525674592,0.5344820962977511,0.5917681300352613,0.5452459936146969,0.6142074222549168,0.5740220623642281,0.5856808844023665,0.513983583154706,0.6593205645589543,0.5934893259244602,0.5951062481663467,0.6087444403672309
NDCGk,0.22187276710369785,0.20327032385522334,0.23055639940094097,0.24592368411504295,0.20101642163752342,0.2139617778532551,0.2252742615158033,0.26580559210794097,0.1949974108286891,0.22125698625533988,0.2295277203840116,0.20147974595556525,0.22509494931173987,0.20485066408172384,0.22658108884574987,0.20437438900668725,0.19866976421014923,0.20559529815424496,0.2022292100092126,0.19650716701934567,0.2521240035950195,0.2133734531011103,0.2423315656797083,0.22419449724084514,0.21972702283210885,0.20441705857670855,0.21971879139868986,0.21556405522292887,0.20258906190815704,0.2090365440180625,0.25083081152556813,0.21012857667800858,0.21480902971091875,0.24567488355010664,0.20597100816046823,0.22956672968363132,0.23286002449377913,0.22094218859646686,0.22967778486330373,0.22362654159717865,0.22580617378857104,0.23942097848852437,0.2244682343210519,0.21005135279422585,0.20154837252755312,0.20442003782096452,0.2088613283515565,0.20791172857321247,0.20630009444467243,0.21910077452483057,0.20916975312165526,0.21183559987816028,0.1983180216383025,0.18306446600999257,0.2132796220611715,0.22894507285374371,0.2174486700225258,0.18218012696033106,0.20188414024480336,0.2254010050407405,0.22614855466202835,0.22908659148217067,0.22201691535373938,0.21826702323618782,0.2267676609944223,0.2074525413918637,0.21320136299137848,0.22499995325745936,0.2151461814340559,0.2023219482544223,0.1958661333879817,0.19289210900848763,0.2096417391926569,0.20982298702187027,0.2377726362695699,0.23587647440168777,0.22271238696961973,0.2093986255216625,0.224690870597401,0.2067988684148471,0.2068194546773204,0.19876694436948333,0.20532670574222975,0.22942697720669986,0.20170303202525264,0.21361094338632508,0.21961533838985814,0.20820092120128836,0.2032456616699025,0.22017977273110212,0.201595891868208,0.19341974245930516,0.20357695182361807,0.2017326311572218,0.192336239698342,0.2008701216103471,0.23938429684475573,0.2102006731760041,0.19983764582017194,0.20280493336185468
global AUC,0.6944464117729745,0.6024473416736048,0.5882746018187126,0.6336106365494198,0.6972855822151097,0.57399265270374,0.6133304228885309,0.6490117102602642,0.663307445692722,0.6969003762853713,0.6960221067655676,0.5830883784046796,0.6661030946227956,0.5459622308964891,0.6987303071915919,0.694352745910059,0.5847586853800157,0.5944330309354152,0.7293093054939827,0.6214069072153802,0.6969090265237935,0.6078696895645687,0.7435282700604434,0.6602890531232768,0.5893510158623748,0.6251016403014609,0.6216847961246933,0.6247545494847702,0.6853368997545495,0.5777383411005266,0.6841477622914482,0.7113622233275306,0.6111981391174593,0.6007912264956803,0.731760296486922,0.6597046213898772,0.6023824648854385,0.6975010272158126,0.7201650573618935,0.7182309181146803,0.7809635284322525,0.7348381594455198,0.6403763394353559,0.5277956489300736,0.4920254262945623,0.560020625412238,0.5369945016922029,0.6280751597590908,0.6075616599807534,0.6316025647956922,0.7261106095174248,0.6109460657634378,0.5591638463285145,0.5684586626731399,0.7111757025615519,0.7361815144404917,0.6457831439291546,0.5949712379572462,0.6010041034568515,0.6140066282451911,0.6301773028556599,0.7653983705113373,0.5946632083734308,0.6618377161208007,0.700916925272753,0.612696792924105,0.6189713244596304,0.5844944476282128,0.5963658185828746,0.5544128380350984,0.6107050755273942,0.6297799325281402,0.6185201604619227,0.5291856341165404,0.6729019117026913,0.6606185731431721,0.600166381929652,0.5653989111512386,0.6223274818074673,0.6197826897916375,0.653020690289026,0.6182202404766282,0.6926808170150188,0.5820692721905647,0.6872941513575469,0.5890285241611972,0.7119919336526714,0.6007193213887958,0.5551483786209358,0.5575240855076069,0.6450576051814928,0.5421876182649783,0.652411118800212,0.579348772206784,0.6043521512061676,0.5019152168506644,0.6970970340495009,0.5833496426370252,0.6500078392785701,0.5996880507768995
global NDCG,0.40062099830716835,0.4140247769205545,0.3792758746557841,0.3951438546559892,0.4747287099605828,0.3594826704597576,0.4451789256628954,0.4429535987880466,0.41427552386385447,0.4089573149235764,0.41817714686999813,0.4247269430293464,0.49584185471464326,0.3718686105613897,0.4207471432931428,0.45078654774356863,0.382814124227484,0.4013104605512148,0.4827624504710185,0.427590157067862,0.44116655876781224,0.38150430083827447,0.5140711921338248,0.38927131273985505,0.43331754977793613,0.3718907997430048,0.41024316863455934,0.40468205650326083,0.43472667699623857,0.38220170744269777,0.42423890372658,0.49010321330369305,0.384998695469241,0.39900883020676153,0.4742936040589208,0.41916082013367195,0.43333502585583605,0.4720508049692797,0.46482889558880636,0.4254009329001196,0.4520634202773062,0.4748537506351038,0.36554422540494574,0.35100806661949396,0.3625270483599777,0.37375423005726,0.35619111560561917,0.38819470482778223,0.36249339443977263,0.46000456665130685,0.5009306496002984,0.39201548852805246,0.3667274827060208,0.40984352466167945,0.44063014751044266,0.48629789394205775,0.3773864816395583,0.3588433269826419,0.4011841315986756,0.40183125423129296,0.461838855159768,0.4609543208240197,0.39122036295112284,0.3982821087069012,0.4290651156789116,0.41798285351752773,0.3625697932357598,0.374297720867582,0.36541226884103917,0.4097513831846959,0.3975635676131612,0.3916874533267033,0.4481965289207824,0.3979038778837869,0.4268590873021529,0.4165363745554439,0.37177053594609155,0.4205678108680352,0.4369159013157263,0.3691313131230375,0.42316320753945347,0.44004830451157106,0.3946199485524336,0.39109204631884215,0.49297322158787327,0.3827394721898353,0.44954331287795113,0.38764280221002895,0.373675767954134,0.36740128806126443,0.4492713840352152,0.3482985815917083,0.4971256961246101,0.41930518995710725,0.3772330013352145,0.33573593783112127,0.5026822590148574,0.4358102297583258,0.3696413513535132,0.4042317396777327
