,1_ALSWR,2_ALSWR,3_ALSWR,4_ALSWR,5_ALSWR,6_ALSWR,7_ALSWR,8_ALSWR,9_ALSWR,10_ALSWR,11_ALSWR,12_ALSWR,13_ALSWR,14_ALSWR,15_ALSWR,16_ALSWR,17_ALSWR,18_ALSWR,19_ALSWR,20_ALSWR,21_ALSWR,22_ALSWR,23_ALSWR,24_ALSWR,25_ALSWR,26_ALSWR,27_ALSWR,28_ALSWR,29_ALSWR,30_ALSWR,31_ALSWR,32_ALSWR,33_ALSWR,34_ALSWR,35_ALSWR,36_ALSWR,37_ALSWR,38_ALSWR,39_ALSWR,40_ALSWR,41_ALSWR,42_ALSWR,43_ALSWR,44_ALSWR,45_ALSWR,46_ALSWR,47_ALSWR,48_ALSWR,49_ALSWR,50_ALSWR,51_ALSWR,52_ALSWR,53_ALSWR,54_ALSWR,55_ALSWR,56_ALSWR,57_ALSWR,58_ALSWR,59_ALSWR,60_ALSWR,61_ALSWR,62_ALSWR,63_ALSWR,64_ALSWR,65_ALSWR,66_ALSWR,67_ALSWR,68_ALSWR,69_ALSWR,70_ALSWR,71_ALSWR,72_ALSWR,73_ALSWR,74_ALSWR,75_ALSWR,76_ALSWR,77_ALSWR,78_ALSWR,79_ALSWR,80_ALSWR,81_ALSWR,82_ALSWR,83_ALSWR,84_ALSWR,85_ALSWR,86_ALSWR,87_ALSWR,88_ALSWR,89_ALSWR,90_ALSWR,91_ALSWR,92_ALSWR,93_ALSWR,94_ALSWR,95_ALSWR,96_ALSWR,97_ALSWR,98_ALSWR,99_ALSWR,100_ALSWR
ACC,0.4657534246575342,0.4794520547945205,0.4931506849315068,0.4383561643835616,0.4794520547945205,0.5068493150684932,0.4657534246575342,0.4383561643835616,0.4657534246575342,0.4246575342465753,0.4794520547945205,0.4657534246575342,0.4246575342465753,0.4246575342465753,0.4383561643835616,0.5068493150684932,0.5068493150684932,0.4794520547945205,0.4657534246575342,0.4931506849315068,0.5068493150684932,0.4520547945205479,0.4931506849315068,0.4246575342465753,0.4931506849315068,0.5205479452054794,0.4657534246575342,0.410958904109589,0.4383561643835616,0.4383561643835616,0.5068493150684932,0.4520547945205479,0.410958904109589,0.4246575342465753,0.5068493150684932,0.4383561643835616,0.547945205479452,0.4520547945205479,0.4931506849315068,0.4246575342465753,0.4931506849315068,0.5205479452054794,0.5616438356164384,0.3972602739726027,0.4794520547945205,0.4383561643835616,0.6027397260273972,0.4520547945205479,0.4520547945205479,0.4383561643835616,0.4794520547945205,0.3835616438356164,0.4931506849315068,0.5342465753424658,0.4931506849315068,0.4794520547945205,0.4931506849315068,0.3698630136986301,0.547945205479452,0.410958904109589,0.5068493150684932,0.4246575342465753,0.4383561643835616,0.4383561643835616,0.4794520547945205,0.4931506849315068,0.410958904109589,0.547945205479452,0.4931506849315068,0.3972602739726027,0.4383561643835616,0.4794520547945205,0.4246575342465753,0.4931506849315068,0.5068493150684932,0.5068493150684932,0.4520547945205479,0.4794520547945205,0.4520547945205479,0.5068493150684932,0.4246575342465753,0.4383561643835616,0.3972602739726027,0.4794520547945205,0.4383561643835616,0.4383561643835616,0.5068493150684932,0.5205479452054794,0.4657534246575342,0.4931506849315068,0.5205479452054794,0.5205479452054794,0.4383561643835616,0.547945205479452,0.4383561643835616,0.4794520547945205,0.5342465753424658,0.4657534246575342,0.4520547945205479,0.5205479452054794
AUC,0.4970943125191743,0.5112647011303315,0.5221281754674757,0.5176311006418411,0.49698389875630883,0.5248529332201045,0.49147881032227986,0.4772988617557185,0.5043687384215798,0.4843133439115947,0.4992997253375211,0.4833032043185673,0.4835764684389266,0.4872785887167741,0.5059060294519825,0.5192710235640536,0.5270498128902461,0.48160013019230824,0.5070892924880961,0.5230867482165861,0.5137459600733416,0.5122854117912126,0.5142860937934807,0.5045459478401562,0.5075922286705844,0.5171972160173466,0.5084812947139603,0.4781481095652218,0.49715010986106783,0.49361980033488234,0.5618716954650065,0.4901393766795289,0.46717514211486844,0.4605976566125664,0.5231538279036693,0.4885511896467665,0.5368591547060686,0.4976693092919414,0.4895457654976825,0.49775304361522976,0.4999788459842389,0.5239537770875576,0.5584473519840149,0.45603570317949915,0.5028649746462217,0.4837442861846922,0.5809677280197537,0.49020050206196325,0.5117939411683181,0.48508024442131215,0.5189690044824641,0.4747384090676939,0.5228941188154457,0.5553413175358702,0.5025630734932375,0.5062568022026012,0.5086496700593048,0.4732779511393668,0.5432939421274416,0.48168150507156215,0.5291461609312602,0.499844074187861,0.4963130654823757,0.48269659973684265,0.5093651070488739,0.5149126717970187,0.49415783281141756,0.5664504438061041,0.5108625676383766,0.47050786422489504,0.48215704737638937,0.5056725323395768,0.4922002907713957,0.5185020069879129,0.5188245188349421,0.525539084242746,0.5070091252326365,0.47762130831694866,0.4970953885904489,0.534451162778227,0.47923689860062557,0.4694442490230127,0.45988481361634626,0.4984142131740246,0.47515811642862305,0.5181325395016141,0.5102516955016275,0.5400830729639756,0.5083650842478903,0.4936608243396969,0.5274729579463105,0.56478114521711,0.473433046110695,0.5642666254374312,0.4954892408785276,0.4991069522858247,0.5557014415235207,0.5220482164944233,0.501182873501146,0.5422732987142033
Fscore,0.0004354839126450555,0.0004207741601326417,0.00046839051244861675,0.0003939025914348642,0.0004254576211160083,0.0004460076605415118,0.00039833974691688706,0.0003916684217622671,0.0004166685598647019,0.00034706194502786674,0.00043377356488127536,0.0004275848076631003,0.00038074903111362307,0.0003636158476944045,0.00038697470859468103,0.0004533328614760307,0.0004633503292039988,0.0004437898469486404,0.0003889336258277315,0.00039402349605304284,0.0004338995667577469,0.00041053472682091833,0.0004390301372952293,0.0003595582190797539,0.00045382798707698706,0.0004371499134544537,0.00041080099977026615,0.0003615002046062299,0.00041825169996758256,0.0003651066653250937,0.0004186232022962337,0.0003818328198820843,0.0003759771984682879,0.00036529439311432007,0.00041966775220195587,0.00037847118562821415,0.00047263987522177023,0.00037321526235363153,0.0004445076512836007,0.000360566687845392,0.00043848449689911116,0.0004908084506048079,0.0004767637228146597,0.00036622095017597284,0.00041589680245859064,0.0003728742182691515,0.0004864366405196107,0.0004117381110421696,0.00034545548250904015,0.0003901446675216633,0.00044391808993249967,0.0003110553442315337,0.00040858282412083337,0.00045570179325040604,0.0004177878833952271,0.0004221538000801803,0.0005115505161029269,0.0003405298006860985,0.00046054786571247735,0.00037538199768152744,0.0004746291398744298,0.00037529168802737393,0.00041913588688791413,0.00037354076230883623,0.00041181833719139253,0.0004074384642457412,0.0003816830292595774,0.0004588438052063519,0.00043461013718586216,0.0003577447181494476,0.00039569592621349674,0.00041487157598387565,0.00035211261826781576,0.00040162607910167734,0.00043106355212723963,0.00045734099388057206,0.00040675290861906884,0.0004339968065544138,0.0003893820924327374,0.0004128602504787642,0.0003847670462805881,0.00039374846819885764,0.00034504985877356956,0.00043124861800779816,0.00035836025851959533,0.0003994396391861959,0.0004726825284544887,0.00043171856412930814,0.00040358588867693156,0.0004382319917239961,0.0004461099430065886,0.00045460198211674964,0.00038900217179644144,0.00047006111627099633,0.0003982128076814805,0.00045630078374838773,0.00045237886678433487,0.0004206376594453889,0.0004193973196899102,0.0004503611629598688
HR@10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR@2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR@5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lin's AUC,0.666266808520288,0.6341541064577203,0.6482510351523317,0.5851018649193057,0.6796337355917048,0.6757474370379271,0.6343217631425808,0.6411173574843432,0.6704019479422718,0.6372700191898659,0.658719765845336,0.6578366319300308,0.6361174350088019,0.6540157885968457,0.6667787202220645,0.6906263961742172,0.6243343622801409,0.6608988532539213,0.6601008901990857,0.6156048849267443,0.6842740416382442,0.6480588317521072,0.6848254498508142,0.6321485081394985,0.6629972953393959,0.6740079883564114,0.6674160968072939,0.6211270376347475,0.6479169177027084,0.6414002311544134,0.6385233043179456,0.6472217508343363,0.6579157724816683,0.6615059783991581,0.6833593681171246,0.6461867885310459,0.6860183006388576,0.6533541793654942,0.6753367287585913,0.6566515527917645,0.6636291598769133,0.6714641532248473,0.6887684483890323,0.6227854965119436,0.6794372142103834,0.6575863455672274,0.6948587714002462,0.6539960034795582,0.6560035293796793,0.6391736654892604,0.6540011343708179,0.6103885073536,0.6595372177945139,0.6774317700174252,0.6620212214987661,0.6644331803635861,0.6558317016468254,0.6303377146998869,0.6788797658229777,0.6060663443903235,0.6824562456752389,0.619110237814852,0.6477200930479351,0.6732257919546533,0.6243309691313543,0.6687370814202688,0.6195862728747609,0.6701514238135509,0.660271196074354,0.6427763756997152,0.6625386725376099,0.6455260499017983,0.6344753146726283,0.6615604819318341,0.6800492226765859,0.6429468600841544,0.6366472883783317,0.6238120935226084,0.6217831474853791,0.6651434731685285,0.6606867559468875,0.6533518683547445,0.6230797849271568,0.6653614134969044,0.6566069285801945,0.5784410335563522,0.6713242827020228,0.6689453268669968,0.6635034551053839,0.7000375986903327,0.6363828401019612,0.6620516923125179,0.6844794171369906,0.6762064397265178,0.6289239143591322,0.6644536227122888,0.6669709535787587,0.6379940203136459,0.6498097369708817,0.6596691175185067
NDCGk,0.19537462549102125,0.208627210840121,0.1982617512295053,0.20062410901036476,0.19963893452432369,0.20111747715935369,0.21240551620965925,0.19244284586446156,0.19725770556026795,0.2028435396391188,0.1971344097576827,0.21887235565000848,0.19383981117378382,0.1882910414267824,0.21149648531107335,0.21899120123786622,0.21028860105766473,0.20948291244169848,0.2080234903332864,0.2189651901655043,0.20309677139707497,0.20394002105897668,0.19619774828198205,0.20878575856468945,0.1983489492422509,0.20417108230608708,0.19301212762271128,0.21017771993240866,0.19295420028217633,0.21358855126869622,0.21129659396813097,0.20094949134170645,0.19345225370598906,0.18860392200710657,0.20898965819510723,0.19738919071727593,0.21197402773452917,0.202832725451677,0.1895007060024206,0.20313490173870868,0.19922541678756928,0.2048602897801551,0.2440869893825982,0.19182407739808943,0.19313578533351064,0.2310319222528163,0.21620447453860017,0.1908638029476231,0.2046574492368534,0.20540372061621978,0.20943713490054444,0.1921199064884587,0.203103218246526,0.22868258866383354,0.19704394611947523,0.19683023114741569,0.20473437739730882,0.19710579234735381,0.20461296014906696,0.20506273388294466,0.21144348860525283,0.20000679181044034,0.20515417440655198,0.201876107446062,0.20253558940261296,0.19694096110479523,0.19712425248157753,0.20984737902175368,0.19671931874968962,0.1865006116666692,0.18786114525978423,0.19651286830103817,0.2094818332808237,0.23544507373967621,0.20533961043404794,0.19948775614827524,0.19951227523855147,0.18573349547666926,0.2016914065029522,0.2056963700741571,0.20129699929857253,0.18832708608605578,0.19840109921222843,0.2146040388962605,0.2009915697530064,0.2261304874409193,0.20288729397680047,0.21217244249128492,0.19821066989889688,0.19185110433082017,0.1981220084532679,0.2125121794084341,0.19520006237287954,0.22512164887175712,0.20275903367916967,0.19832527600250055,0.2242937241423624,0.1935727824023596,0.19345874880240932,0.20880790317778414
global AUC,0.5079186383299755,0.5183158211189316,0.5279911619028398,0.480561847459032,0.5187464185704556,0.5415856527782281,0.5056973261062038,0.4791372343735547,0.5088490591877408,0.4734621326519458,0.5205842099952067,0.5048741228876322,0.4688782782468924,0.4732308789203516,0.48426273307072515,0.5456137474036511,0.5399330145035133,0.5213143861444777,0.508916107753427,0.5279039912592097,0.5443930580633071,0.4919592777195138,0.5366286389426479,0.46810297758700853,0.5318707435798559,0.5535318601569641,0.5058872845285847,0.4575780045866325,0.4805693556970707,0.4824087238518102,0.5382306716929814,0.4968778493763356,0.4598783034745723,0.4709165396272791,0.5452725730671693,0.4859116172264208,0.5803364952025362,0.4917628622124195,0.5288838914056503,0.47241315671554834,0.5318642864951424,0.5567653579507438,0.5894952692093766,0.4440245086909356,0.5202451379653756,0.48379121572189004,0.6274750906694825,0.4986154809056498,0.4959361661615124,0.48259267568376024,0.5156804295673212,0.4370832177064676,0.5323557757571608,0.570425095414689,0.5222273128076127,0.5183866238036373,0.5324192203685885,0.4235786755227836,0.5758306513907059,0.4582563738934359,0.5455689983049401,0.47126011659993355,0.48299166345314065,0.48401120709642614,0.5185593883609095,0.5347495522086834,0.4541741448717533,0.5782561876891327,0.5316620896447581,0.4497135757352967,0.48708500466712074,0.5207806255023011,0.4712884977397199,0.5303890678852837,0.5415092939973738,0.5393217688447763,0.4899511243736627,0.5166778989907728,0.49283766648767036,0.5434496479537346,0.4759184527263314,0.4837990993718308,0.44752349778176614,0.5171572249071681,0.48483080636073894,0.4781062782084502,0.5405662592997035,0.5559476357459405,0.5090489284843329,0.5345047085662388,0.5509870179561016,0.5571803382671467,0.48759811765469074,0.5811575961144567,0.4855430378210972,0.5205043223424741,0.5682071618980344,0.5078289148854123,0.49626577781141473,0.5544688882642035
global NDCG,0.3305835448132326,0.3172090315042347,0.3265261046684753,0.32345173170201347,0.33395063929666646,0.33383157930646346,0.32102492136372995,0.3181254208450423,0.3292205529928992,0.32202792201595803,0.3285887928985889,0.3245725788526229,0.31638733043574385,0.3254132799766374,0.32412948664633445,0.3365818038205948,0.3220549405680577,0.33235416107386545,0.3207875852847633,0.3291306864727867,0.3327715360081424,0.3168525445501949,0.33013557522868997,0.3216461093278294,0.32899796161130795,0.3332427339955952,0.3224826409157731,0.31893351408416326,0.325225543246596,0.31890565038414215,0.3284221666876418,0.3310559806551446,0.31625199113762925,0.3177360814999505,0.33250564290227874,0.32082962549689165,0.33556991694969773,0.3218818570772141,0.327741092587601,0.3180812784167492,0.3258984446890337,0.3241668305535596,0.3394839141049448,0.3129591331128501,0.3364606882281428,0.31821225570436895,0.34909022088711134,0.32296995767340525,0.32399656590864706,0.32276871921315287,0.3249355932180268,0.30915502044078913,0.32324592068159574,0.33698484212753876,0.3284262457278415,0.3255632625641762,0.3274906384438731,0.31707647234064873,0.33191962116824797,0.3229252728558213,0.33795682372378316,0.32338312908457084,0.3229340397761711,0.3212143885839047,0.32932485833586045,0.32709446857181873,0.3237455248865798,0.3439687599573251,0.32378061439361183,0.32452791081838456,0.3245530358541757,0.3247811357657801,0.3215865379210336,0.3328510889140346,0.33619033364485257,0.3236260716751133,0.32744091208816245,0.3248228590586253,0.33065247287180854,0.32846888773928906,0.3238395373555052,0.3232001372947477,0.31860138771657326,0.32571710377347735,0.32354670978271133,0.3125370907667925,0.3304146485833657,0.3290981403881992,0.33360233880206486,0.3283609728246943,0.3314591838718405,0.33668546573985453,0.32627419155599197,0.33413269315671856,0.3203863582766237,0.32970684673643025,0.33325824646965563,0.3256865734476824,0.316631082934379,0.33199353200444937
