,1_BNNR,2_BNNR,3_BNNR,4_BNNR,5_BNNR,6_BNNR,7_BNNR,8_BNNR,9_BNNR,10_BNNR,11_BNNR,12_BNNR,13_BNNR,14_BNNR,15_BNNR,16_BNNR,17_BNNR,18_BNNR,19_BNNR,20_BNNR,21_BNNR,22_BNNR,23_BNNR,24_BNNR,25_BNNR,26_BNNR,27_BNNR,28_BNNR,29_BNNR,30_BNNR,31_BNNR,32_BNNR,33_BNNR,34_BNNR,35_BNNR,36_BNNR,37_BNNR,38_BNNR,39_BNNR,40_BNNR,41_BNNR,42_BNNR,43_BNNR,44_BNNR,45_BNNR,46_BNNR,47_BNNR,48_BNNR,49_BNNR,50_BNNR,51_BNNR,52_BNNR,53_BNNR,54_BNNR,55_BNNR,56_BNNR,57_BNNR,58_BNNR,59_BNNR,60_BNNR,61_BNNR,62_BNNR,63_BNNR,64_BNNR,65_BNNR,66_BNNR,67_BNNR,68_BNNR,69_BNNR,70_BNNR,71_BNNR,72_BNNR,73_BNNR,74_BNNR,75_BNNR,76_BNNR,77_BNNR,78_BNNR,79_BNNR,80_BNNR,81_BNNR,82_BNNR,83_BNNR,84_BNNR,85_BNNR,86_BNNR,87_BNNR,88_BNNR,89_BNNR,90_BNNR,91_BNNR,92_BNNR,93_BNNR,94_BNNR,95_BNNR,96_BNNR,97_BNNR,98_BNNR,99_BNNR,100_BNNR
ACC,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136
AUC,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Fscore,0.0003800289612777,0.0003800289612777,0.0003800289612777,0.0003800289612777,0.0003800289612777,0.0003800289612777,0.0003800289612777,0.0003800289612777,0.0003800289612777,0.0003800289612777,0.0003800289612777,0.0003800289612777,0.0003800289612777,0.0003800289612777,0.0003800289612777,0.0003800289612777,0.0003800289612777,0.0003800289612777,0.0003800289612777,0.0003800289612777,0.0003800289612777,0.0003800289612777,0.0003800289612777,0.0003800289612777,0.0003800289612777,0.0003800289612777,0.0003800289612777,0.0003800289612777,0.0003800289612777,0.0003800289612777,0.0003800289612777,0.0003800289612777,0.0003800289612777,0.0003800289612777,0.0003800289612777,0.0003800289612777,0.0003800289612777,0.0003800289612777,0.0003800289612777,0.0003800289612777,0.0003800289612777,0.0003800289612777,0.0003800289612777,0.0003800289612777,0.0003800289612777,0.0003800289612777,0.0003800289612777,0.0003800289612777,0.0003800289612777,0.0003800289612777,0.0003800289612777,0.0003800289612777,0.0003800289612777,0.0003800289612777,0.0003800289612777,0.0003800289612777,0.0003800289612777,0.0003800289612777,0.0003800289612777,0.0003800289612777,0.0003800289612777,0.0003800289612777,0.0003800289612777,0.0003800289612777,0.0003800289612777,0.0003800289612777,0.0003800289612777,0.0003800289612777,0.0003800289612777,0.0003800289612777,0.0003800289612777,0.0003800289612777,0.0003800289612777,0.0003800289612777,0.0003800289612777,0.0003800289612777,0.0003800289612777,0.0003800289612777,0.0003800289612777,0.0003800289612777,0.0003800289612777,0.0003800289612777,0.0003800289612777,0.0003800289612777,0.0003800289612777,0.0003800289612777,0.0003800289612777,0.0003800289612777,0.0003800289612777,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521
HR@10,0.0277777777777777,0.0277777777777777,0.0277777777777777,0.0277777777777777,0.0277777777777777,0.0277777777777777,0.0138888888888888,0.0277777777777777,0.0277777777777777,0.0277777777777777,0.0277777777777777,0.0277777777777777,0.0277777777777777,0.0,0.0277777777777777,0.0277777777777777,0.0277777777777777,0.0277777777777777,0.0277777777777777,0.0277777777777777,0.0277777777777777,0.0277777777777777,0.0277777777777777,0.0277777777777777,0.0277777777777777,0.0277777777777777,0.0277777777777777,0.0277777777777777,0.0277777777777777,0.0277777777777777,0.0277777777777777,0.0277777777777777,0.0277777777777777,0.0277777777777777,0.0277777777777777,0.0277777777777777,0.0277777777777777,0.0277777777777777,0.0138888888888888,0.0277777777777777,0.0277777777777777,0.0277777777777777,0.0277777777777777,0.0277777777777777,0.0277777777777777,0.0138888888888888,0.0277777777777777,0.0277777777777777,0.0277777777777777,0.0,0.0277777777777777,0.0277777777777777,0.0277777777777777,0.0277777777777777,0.0277777777777777,0.0277777777777777,0.0277777777777777,0.0277777777777777,0.0277777777777777,0.0277777777777777,0.0277777777777777,0.0277777777777777,0.0277777777777777,0.0277777777777777,0.0277777777777777,0.0277777777777777,0.0277777777777777,0.0277777777777777,0.0277777777777777,0.0277777777777777,0.0277777777777777,0.0277777777777777,0.0277777777777777,0.0277777777777777,0.0277777777777777,0.0277777777777777,0.0277777777777777,0.0277777777777777,0.0277777777777777,0.0277777777777777,0.0277777777777777,0.0277777777777777,0.0277777777777777,0.0277777777777777,0.0277777777777777,0.0277777777777777,0.0277777777777777,0.0277777777777777,0.0277777777777777,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.027777777777777776
HR@2,0.0138888888888888,0.0138888888888888,0.0138888888888888,0.0138888888888888,0.0138888888888888,0.0138888888888888,0.0138888888888888,0.0138888888888888,0.0138888888888888,0.0138888888888888,0.0138888888888888,0.0138888888888888,0.0138888888888888,0.0,0.0138888888888888,0.0138888888888888,0.0138888888888888,0.0,0.0138888888888888,0.0,0.0138888888888888,0.0138888888888888,0.0138888888888888,0.0138888888888888,0.0138888888888888,0.0138888888888888,0.0138888888888888,0.0138888888888888,0.0138888888888888,0.0138888888888888,0.0138888888888888,0.0138888888888888,0.0,0.0138888888888888,0.0138888888888888,0.0138888888888888,0.0138888888888888,0.0138888888888888,0.0138888888888888,0.0138888888888888,0.0138888888888888,0.0138888888888888,0.0138888888888888,0.0138888888888888,0.0,0.0,0.0138888888888888,0.0138888888888888,0.0138888888888888,0.0,0.0138888888888888,0.0138888888888888,0.0138888888888888,0.0138888888888888,0.0138888888888888,0.0138888888888888,0.0138888888888888,0.0138888888888888,0.0138888888888888,0.0138888888888888,0.0138888888888888,0.0138888888888888,0.0138888888888888,0.0,0.0138888888888888,0.0138888888888888,0.0138888888888888,0.0138888888888888,0.0138888888888888,0.0138888888888888,0.0138888888888888,0.0138888888888888,0.0138888888888888,0.0138888888888888,0.0138888888888888,0.0138888888888888,0.0138888888888888,0.0138888888888888,0.0138888888888888,0.0138888888888888,0.0138888888888888,0.0138888888888888,0.0138888888888888,0.0138888888888888,0.0138888888888888,0.0138888888888888,0.0138888888888888,0.0138888888888888,0.0138888888888888,0.013888888888888888,0.013888888888888888,0.013888888888888888,0.013888888888888888,0.013888888888888888,0.0,0.013888888888888888,0.013888888888888888,0.013888888888888888,0.0,0.013888888888888888
HR@5,0.0277777777777777,0.0277777777777777,0.0277777777777777,0.0277777777777777,0.0277777777777777,0.0277777777777777,0.0138888888888888,0.0277777777777777,0.0277777777777777,0.0138888888888888,0.0138888888888888,0.0138888888888888,0.0138888888888888,0.0,0.0277777777777777,0.0277777777777777,0.0138888888888888,0.0138888888888888,0.0138888888888888,0.0138888888888888,0.0277777777777777,0.0138888888888888,0.0277777777777777,0.0277777777777777,0.0138888888888888,0.0277777777777777,0.0277777777777777,0.0277777777777777,0.0138888888888888,0.0277777777777777,0.0277777777777777,0.0138888888888888,0.0138888888888888,0.0138888888888888,0.0277777777777777,0.0138888888888888,0.0277777777777777,0.0277777777777777,0.0138888888888888,0.0277777777777777,0.0277777777777777,0.0138888888888888,0.0277777777777777,0.0277777777777777,0.0277777777777777,0.0138888888888888,0.0277777777777777,0.0277777777777777,0.0277777777777777,0.0,0.0277777777777777,0.0277777777777777,0.0138888888888888,0.0277777777777777,0.0138888888888888,0.0277777777777777,0.0277777777777777,0.0277777777777777,0.0277777777777777,0.0277777777777777,0.0277777777777777,0.0277777777777777,0.0277777777777777,0.0138888888888888,0.0138888888888888,0.0277777777777777,0.0277777777777777,0.0277777777777777,0.0277777777777777,0.0277777777777777,0.0138888888888888,0.0277777777777777,0.0277777777777777,0.0277777777777777,0.0277777777777777,0.0277777777777777,0.0138888888888888,0.0277777777777777,0.0277777777777777,0.0277777777777777,0.0277777777777777,0.0277777777777777,0.0277777777777777,0.0277777777777777,0.0138888888888888,0.0138888888888888,0.0277777777777777,0.0277777777777777,0.0277777777777777,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.013888888888888888,0.027777777777777776,0.013888888888888888,0.013888888888888888,0.013888888888888888,0.027777777777777776,0.027777777777777776,0.027777777777777776
Lin's AUC,0.6204744465496148,0.634589595639474,0.6102989217743632,0.6026315640982622,0.6202011845528846,0.5945569156863693,0.5849101844957353,0.6005651847223978,0.6027410976967091,0.6063240789231373,0.6107948706066383,0.5928757080157928,0.5634919923537846,0.6471484245733777,0.6417854770004353,0.5965306931803194,0.5762417158020209,0.5143450955445793,0.6134538411617391,0.5992110771944964,0.6237632846366418,0.6360443322593012,0.6452926986091221,0.5888587837828054,0.599451754483568,0.6361325174876516,0.6333038628321652,0.5944742799442075,0.6273208457304033,0.6344169891282572,0.5948736199855997,0.5709686739384089,0.638854709591622,0.5965645374045871,0.5966807187970907,0.5850870729266985,0.6109779966898775,0.5762638873547199,0.6046085332640297,0.6037092037885232,0.5955955533770697,0.6011464431676877,0.5675050688324212,0.6077553571015819,0.630454674468641,0.6231103546112551,0.6052885619109794,0.5845788008258448,0.5947554645903798,0.6302920795067045,0.6405387402538537,0.6226748384508859,0.5925839593808384,0.6356648291094711,0.6288899662682388,0.5780909468203842,0.6372518893610609,0.6040678688598233,0.635245786618164,0.5964319754628736,0.597237966791982,0.5952814022797801,0.6256007682293084,0.6205926931063237,0.6139523187000898,0.5803687507759443,0.5943181235730902,0.5744414572362093,0.5446638284911891,0.5693005525340785,0.6339464792004658,0.6102231952205995,0.6270595463141981,0.609680523118048,0.5917539776226735,0.6001820322199203,0.5992129715761232,0.5937240260995439,0.5903754722651128,0.6452042574185948,0.56616853913469,0.6273087605971378,0.5910793515756455,0.6512900179464484,0.6052924859696142,0.5723537001388981,0.6457541815009512,0.5864481164275267,0.6216055289233584,0.6155392799635223,0.5904829475327148,0.6238775197315828,0.608799432149314,0.5802327556930937,0.6132204248584009,0.5828434398868803,0.6250229266109802,0.6227970795506186,0.5930742487296264,0.6239142396201618
NDCGk,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907
global AUC,0.92719111409038,0.9290852923828024,0.9285180449989728,0.9211445047506124,0.925245729614533,0.9232628039484922,0.9176101518586192,0.9209578499529684,0.9246818609378208,0.9280412718835106,0.9196848281934938,0.922845646243058,0.9219930858137548,0.9311180727494206,0.9299343990226075,0.9249916508393008,0.9241562842751064,0.9112822839219192,0.92557819439489,0.9236911489286044,0.928979125896934,0.926031091313389,0.9281066686368282,0.9235542737491576,0.923723584516932,0.930097327788049,0.9275753857132044,0.9203436760813964,0.9298065337288072,0.9251465457900409,0.9228313805907842,0.9149761117898558,0.9337513619943802,0.9246707487455236,0.9235484173234874,0.9227905357758532,0.9243985000342376,0.9207732974619752,0.926527385847752,0.9211396243958871,0.9250372258441962,0.9233888672651632,0.9225872877721436,0.9283071385924636,0.9270632487965796,0.9253369547067042,0.9249444991044172,0.9213184706259708,0.920658796831884,0.931248040349872,0.927051535945239,0.9268616526052385,0.9215528778175414,0.9232311191839686,0.9275510590219588,0.9238727732067624,0.929618076954034,0.9218388666044384,0.9307590288064064,0.9265662785207928,0.9205268770895426,0.9220479710338184,0.9274624618131012,0.9305172635415578,0.924119568991097,0.9204249902993564,0.9243002922806904,0.9174831875533837,0.917169418285743,0.9220493975990456,0.931003346872188,0.9202622116986756,0.9295640176401548,0.9232779705893306,0.9226414221684032,0.9278243588865704,0.9239471047633464,0.9258855816601976,0.9215875658772804,0.9288906037704568,0.9205023251511558,0.9266035193814652,0.9249038044542472,0.930103709790382,0.9222819277311064,0.9204035167385656,0.9254708265909356,0.9210264001662624,0.9266252181893974,0.927178350085714,0.9216632489167114,0.9245943148822888,0.9272237749258486,0.9238943969323141,0.925511371076345,0.9161692458965978,0.9285685003585934,0.9267179449291763,0.9248480933279994,0.9280347397164168
global NDCG,0.4363870158568377,0.4335991818789266,0.4345085204484654,0.4247001707556427,0.4324877505008535,0.4320024925300924,0.4040097710094277,0.4280797776301766,0.4307852587265717,0.4175308488529561,0.4187511776132562,0.4154127521760272,0.4144045034550785,0.3648076898499239,0.4232964791179716,0.4221639533317278,0.4112253142952398,0.3889777788403961,0.4190203145141239,0.3949526304148215,0.4376294313415551,0.4223280736815352,0.4359925884471406,0.4341402362179793,0.4194797659768542,0.4363633819811335,0.4323900701639809,0.4272324946936131,0.4198591814690663,0.42444597245943,0.4288838642586613,0.4134040275744919,0.3932517893031347,0.4196813589409851,0.4287284990728534,0.4131848552071653,0.4297543136095085,0.4254830007638778,0.4137043816944646,0.4349634733369215,0.4349187439483279,0.4134144722174878,0.4212857951551028,0.4232813617184502,0.4077187519177811,0.3684892114233045,0.4354800996871051,0.4250965946944793,0.4348877810979515,0.3636151144237593,0.4252762705430488,0.4160216678995895,0.4145237149286594,0.4284694212339099,0.420184808836126,0.4278076745140279,0.4271520435404649,0.4215361434878454,0.4247325646058293,0.426237223797435,0.4294198027648328,0.4202691518287437,0.428762226195939,0.3878124026843187,0.4112182065741592,0.4176296630117802,0.4318848238251954,0.4237137397671049,0.4124699874814737,0.4349597491056992,0.4240125836576008,0.4248381304069524,0.4254701595471838,0.4309858431040587,0.4225817923942319,0.4363294074652953,0.4198655908645015,0.4202714960211574,0.4309390221804872,0.4339049405336416,0.4249928576591168,0.423610577005013,0.4272927973622715,0.4342524969866428,0.4141704597281321,0.4171991764655299,0.4369564712249506,0.4225190660401531,0.4351380550445581,0.4286131896825893,0.42496274385548427,0.4266538415450535,0.42009586894696116,0.4326779367033835,0.3944614136029185,0.4131091595900107,0.4190125911655151,0.42776923701252945,0.3935505057196425,0.43705285068525346
