,1_DDA_SKF,2_DDA_SKF,3_DDA_SKF,4_DDA_SKF,5_DDA_SKF,6_DDA_SKF,7_DDA_SKF,8_DDA_SKF,9_DDA_SKF,10_DDA_SKF,11_DDA_SKF,12_DDA_SKF,13_DDA_SKF,14_DDA_SKF,15_DDA_SKF,16_DDA_SKF,17_DDA_SKF,18_DDA_SKF,19_DDA_SKF,20_DDA_SKF,21_DDA_SKF,22_DDA_SKF,23_DDA_SKF,24_DDA_SKF,25_DDA_SKF,26_DDA_SKF,27_DDA_SKF,28_DDA_SKF,29_DDA_SKF,30_DDA_SKF,31_DDA_SKF,32_DDA_SKF,33_DDA_SKF,34_DDA_SKF,35_DDA_SKF,36_DDA_SKF,37_DDA_SKF,38_DDA_SKF,39_DDA_SKF,40_DDA_SKF,41_DDA_SKF,42_DDA_SKF,43_DDA_SKF,44_DDA_SKF,45_DDA_SKF,46_DDA_SKF,47_DDA_SKF,48_DDA_SKF,49_DDA_SKF,50_DDA_SKF,51_DDA_SKF,52_DDA_SKF,53_DDA_SKF,54_DDA_SKF,55_DDA_SKF,56_DDA_SKF,57_DDA_SKF,58_DDA_SKF,59_DDA_SKF,60_DDA_SKF,61_DDA_SKF,62_DDA_SKF,63_DDA_SKF,64_DDA_SKF,65_DDA_SKF,66_DDA_SKF,67_DDA_SKF,68_DDA_SKF,69_DDA_SKF,70_DDA_SKF,71_DDA_SKF,72_DDA_SKF,73_DDA_SKF,74_DDA_SKF,75_DDA_SKF,76_DDA_SKF,77_DDA_SKF,78_DDA_SKF,79_DDA_SKF,80_DDA_SKF,81_DDA_SKF,82_DDA_SKF,83_DDA_SKF,84_DDA_SKF,85_DDA_SKF,86_DDA_SKF,87_DDA_SKF,88_DDA_SKF,89_DDA_SKF,90_DDA_SKF,91_DDA_SKF,92_DDA_SKF,93_DDA_SKF,94_DDA_SKF,95_DDA_SKF,96_DDA_SKF,97_DDA_SKF,98_DDA_SKF,99_DDA_SKF,100_DDA_SKF
ACC,0.0136986301369863,0.0136986301369863,0.0136986301369863,0.0136986301369863,0.0136986301369863,0.0136986301369863,0.0136986301369863,0.0136986301369863,0.0136986301369863,0.0136986301369863,0.0136986301369863,0.0136986301369863,0.0136986301369863,0.0136986301369863,0.0136986301369863,0.0136986301369863,0.0136986301369863,0.0136986301369863,0.0136986301369863,0.0136986301369863,0.0136986301369863,0.0136986301369863,0.0136986301369863,0.0136986301369863,0.0136986301369863,0.0136986301369863,0.0136986301369863,0.0136986301369863,0.0136986301369863,0.0136986301369863,0.0136986301369863,0.0136986301369863,0.0136986301369863,0.0136986301369863,0.0136986301369863,0.0136986301369863,0.0136986301369863,0.0136986301369863,0.0136986301369863,0.0136986301369863,0.0136986301369863,0.0136986301369863,0.0136986301369863,0.0136986301369863,0.0136986301369863,0.0136986301369863,0.0136986301369863,0.0136986301369863,0.0136986301369863,0.0136986301369863,0.0136986301369863,0.0136986301369863,0.0136986301369863,0.0136986301369863,0.0136986301369863,0.0136986301369863,0.0136986301369863,0.0136986301369863,0.0136986301369863,0.0136986301369863,0.0136986301369863,0.0136986301369863,0.0136986301369863,0.0136986301369863,0.0136986301369863,0.0136986301369863,0.0136986301369863,0.0136986301369863,0.0136986301369863,0.0136986301369863,0.0136986301369863,0.0136986301369863,0.0136986301369863,0.0136986301369863,0.0136986301369863,0.0136986301369863,0.0136986301369863,0.0136986301369863,0.0136986301369863,0.0136986301369863,0.0136986301369863,0.0136986301369863,0.0136986301369863,0.0136986301369863,0.0136986301369863,0.0136986301369863,0.0136986301369863,0.0136986301369863,0.0136986301369863,0.0136986301369863,0.0136986301369863,0.0136986301369863,0.0136986301369863,0.0136986301369863,0.0136986301369863,0.0136986301369863,0.0136986301369863,0.0136986301369863,0.0136986301369863,0.0136986301369863
AUC,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Fscore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR@10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR@2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR@5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lin's AUC,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
NDCGk,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907
global AUC,0.0991988409683104,0.0991988409683104,0.0991988409683104,0.0991988409683104,0.0991988409683104,0.0991988409683104,0.0991988409683104,0.0991988409683104,0.0991988409683104,0.0991988409683104,0.0991988409683104,0.0991988409683104,0.0991988409683104,0.0991988409683104,0.0991988409683104,0.0991988409683104,0.0991988409683104,0.0991988409683104,0.0991988409683104,0.0991988409683104,0.0991988409683104,0.0991988409683104,0.0991988409683104,0.0991988409683104,0.0991988409683104,0.0991988409683104,0.0991988409683104,0.0991988409683104,0.0991988409683104,0.0991988409683104,0.0991988409683104,0.0991988409683104,0.0991988409683104,0.0991988409683104,0.0991988409683104,0.0991988409683104,0.0991988409683104,0.0991988409683104,0.0991988409683104,0.0991988409683104,0.0991988409683104,0.0991988409683104,0.0991988409683104,0.0991988409683104,0.0991988409683104,0.0991988409683104,0.0991988409683104,0.0991988409683104,0.0991988409683104,0.0991988409683104,0.0991988409683104,0.0991988409683104,0.0991988409683104,0.0991988409683104,0.0991988409683104,0.0991988409683104,0.0991988409683104,0.0991988409683104,0.0991988409683104,0.0991988409683104,0.0991988409683104,0.0991988409683104,0.0991988409683104,0.0991988409683104,0.0991988409683104,0.0991988409683104,0.0991988409683104,0.0991988409683104,0.0991988409683104,0.0991988409683104,0.0991988409683104,0.0991988409683104,0.0991988409683104,0.0991988409683104,0.0991988409683104,0.0991988409683104,0.0991988409683104,0.0991988409683104,0.0991988409683104,0.0991988409683104,0.0991988409683104,0.0991988409683104,0.0991988409683104,0.0991988409683104,0.0991988409683104,0.0991988409683104,0.0991988409683104,0.0991988409683104,0.0991988409683104,0.0991988409683104,0.0991988409683104,0.0991988409683104,0.0991988409683104,0.0991988409683104,0.0991988409683104,0.09919884096831044,0.09919884096831044,0.09919884096831044,0.09919884096831044,0.09919884096831044
global NDCG,0.2523246494294616,0.2523246494294616,0.2523246494294616,0.2523246494294616,0.2523246494294616,0.2523246494294616,0.2523246494294616,0.2523246494294616,0.2523246494294616,0.2523246494294616,0.2523246494294616,0.2523246494294616,0.2523246494294616,0.2523246494294616,0.2523246494294616,0.2523246494294616,0.2523246494294616,0.2523246494294616,0.2523246494294616,0.2523246494294616,0.2523246494294616,0.2523246494294616,0.2523246494294616,0.2523246494294616,0.2523246494294616,0.2523246494294616,0.2523246494294616,0.2523246494294616,0.2523246494294616,0.2523246494294616,0.2523246494294616,0.2523246494294616,0.2523246494294616,0.2523246494294616,0.2523246494294616,0.2523246494294616,0.2523246494294616,0.2523246494294616,0.2523246494294616,0.2523246494294616,0.2523246494294616,0.2523246494294616,0.2523246494294616,0.2523246494294616,0.2523246494294616,0.2523246494294616,0.2523246494294616,0.2523246494294616,0.2523246494294616,0.2523246494294616,0.2523246494294616,0.2523246494294616,0.2523246494294616,0.2523246494294616,0.2523246494294616,0.2523246494294616,0.2523246494294616,0.2523246494294616,0.2523246494294616,0.2523246494294616,0.2523246494294616,0.2523246494294616,0.2523246494294616,0.2523246494294616,0.2523246494294616,0.2523246494294616,0.2523246494294616,0.2523246494294616,0.2523246494294616,0.2523246494294616,0.2523246494294616,0.2523246494294616,0.2523246494294616,0.2523246494294616,0.2523246494294616,0.2523246494294616,0.2523246494294616,0.2523246494294616,0.2523246494294616,0.2523246494294616,0.2523246494294616,0.2523246494294616,0.2523246494294616,0.2523246494294616,0.2523246494294616,0.2523246494294616,0.2523246494294616,0.2523246494294616,0.2523246494294616,0.2523246494294616,0.2523246494294616,0.2523246494294616,0.2523246494294616,0.2523246494294616,0.2523246494294616,0.25232464942946164,0.25232464942946164,0.25232464942946164,0.25232464942946164,0.25232464942946164
