,1_FastaiCollabWrapper,2_FastaiCollabWrapper,3_FastaiCollabWrapper,4_FastaiCollabWrapper,5_FastaiCollabWrapper,6_FastaiCollabWrapper,7_FastaiCollabWrapper,8_FastaiCollabWrapper,9_FastaiCollabWrapper,10_FastaiCollabWrapper,11_FastaiCollabWrapper,12_FastaiCollabWrapper,13_FastaiCollabWrapper,14_FastaiCollabWrapper,15_FastaiCollabWrapper,16_FastaiCollabWrapper,17_FastaiCollabWrapper,18_FastaiCollabWrapper,19_FastaiCollabWrapper,20_FastaiCollabWrapper,21_FastaiCollabWrapper,22_FastaiCollabWrapper,23_FastaiCollabWrapper,24_FastaiCollabWrapper,25_FastaiCollabWrapper,26_FastaiCollabWrapper,27_FastaiCollabWrapper,28_FastaiCollabWrapper,29_FastaiCollabWrapper,30_FastaiCollabWrapper,31_FastaiCollabWrapper,32_FastaiCollabWrapper,33_FastaiCollabWrapper,34_FastaiCollabWrapper,35_FastaiCollabWrapper,36_FastaiCollabWrapper,37_FastaiCollabWrapper,38_FastaiCollabWrapper,39_FastaiCollabWrapper,40_FastaiCollabWrapper,41_FastaiCollabWrapper,42_FastaiCollabWrapper,43_FastaiCollabWrapper,44_FastaiCollabWrapper,45_FastaiCollabWrapper,46_FastaiCollabWrapper,47_FastaiCollabWrapper,48_FastaiCollabWrapper,49_FastaiCollabWrapper,50_FastaiCollabWrapper,51_FastaiCollabWrapper,52_FastaiCollabWrapper,53_FastaiCollabWrapper,54_FastaiCollabWrapper,55_FastaiCollabWrapper,56_FastaiCollabWrapper,57_FastaiCollabWrapper,58_FastaiCollabWrapper,59_FastaiCollabWrapper,60_FastaiCollabWrapper,61_FastaiCollabWrapper,62_FastaiCollabWrapper,63_FastaiCollabWrapper,64_FastaiCollabWrapper,65_FastaiCollabWrapper,66_FastaiCollabWrapper,67_FastaiCollabWrapper,68_FastaiCollabWrapper,69_FastaiCollabWrapper,70_FastaiCollabWrapper,71_FastaiCollabWrapper,72_FastaiCollabWrapper,73_FastaiCollabWrapper,74_FastaiCollabWrapper,75_FastaiCollabWrapper,76_FastaiCollabWrapper,77_FastaiCollabWrapper,78_FastaiCollabWrapper,79_FastaiCollabWrapper,80_FastaiCollabWrapper,81_FastaiCollabWrapper,82_FastaiCollabWrapper,83_FastaiCollabWrapper,84_FastaiCollabWrapper,85_FastaiCollabWrapper,86_FastaiCollabWrapper,87_FastaiCollabWrapper,88_FastaiCollabWrapper,89_FastaiCollabWrapper,90_FastaiCollabWrapper,91_FastaiCollabWrapper,92_FastaiCollabWrapper,93_FastaiCollabWrapper,94_FastaiCollabWrapper,95_FastaiCollabWrapper,96_FastaiCollabWrapper,97_FastaiCollabWrapper,98_FastaiCollabWrapper,99_FastaiCollabWrapper,100_FastaiCollabWrapper
ACC,0.1780821917808219,0.6575342465753424,0.0136986301369863,0.5068493150684932,0.9863013698630136,0.0136986301369863,0.9863013698630136,0.958904109589041,0.9863013698630136,0.9726027397260274,0.0136986301369863,0.9863013698630136,0.9726027397260274,0.0547945205479452,0.9863013698630136,0.9863013698630136,0.9726027397260274,0.9863013698630136,0.2602739726027397,0.9863013698630136,0.9726027397260274,0.0136986301369863,0.9863013698630136,0.9726027397260274,0.3150684931506849,0.0136986301369863,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.4657534246575342,0.0136986301369863,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.0136986301369863,0.9863013698630136,0.9726027397260274,0.9863013698630136,0.4931506849315068,0.7945205479452054,0.9863013698630136,0.9863013698630136,0.0136986301369863,0.0136986301369863,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.0684931506849315,0.0136986301369863,0.7808219178082192,0.410958904109589,0.0136986301369863,0.7808219178082192,0.9863013698630136,0.6438356164383562,0.0136986301369863,0.0547945205479452,0.9863013698630136,0.2602739726027397,0.0684931506849315,0.0136986301369863,0.9863013698630136,0.0136986301369863,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9726027397260274,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9041095890410958,0.5616438356164384,0.9863013698630136,0.9863013698630136,0.9726027397260274,0.9863013698630136,0.6575342465753424,0.9863013698630136,0.9863013698630136,0.0136986301369863,0.9863013698630136,0.0136986301369863,0.9863013698630136,0.9863013698630136,0.0136986301369863,0.0136986301369863,0.9726027397260274,0.9726027397260274,0.2876712328767123,0.9863013698630136,0.0136986301369863,0.9863013698630136,0.9863013698630136,0.0684931506849315,0.9863013698630136
AUC,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Fscore,0.00011019543937559527,0.0002628772101559331,0.0,0.0002394183977430249,0.0003800289612777521,0.0,0.0003800289612777521,0.0003741054047744276,0.0003800289612777521,0.0003770671830260898,0.0,0.0003800289612777521,0.0003770671830260898,2.6229508196721314e-05,0.0003800289612777521,0.0003800289612777521,0.0003770671830260898,0.0003800289612777521,0.00013989744376471404,0.0003800289612777521,0.0003770671830260898,0.0,0.0003800289612777521,0.0003770671830260898,0.00015729726770041827,0.0,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0002532900749923618,0.0,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0,0.0003800289612777521,0.0003770671830260898,0.0003800289612777521,0.00023062860422196259,0.00033273605048507996,0.0003800289612777521,0.0003800289612777521,0.0,0.0,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,4.6260155549773035e-05,0.0,0.00032977427223341763,0.00018625314054841172,0.0,0.00032977427223341763,0.0003800289612777521,0.00030913736570570613,0.0,1.47133500243869e-05,0.0003800289612777521,0.00015113829759670348,1.1847113006649194e-05,0.0,0.0003800289612777521,0.0,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003770671830260898,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003770671830260898,0.00029136669619573235,0.0003800289612777521,0.0003800289612777521,0.0003770671830260898,0.0003800289612777521,0.0003120991439573684,0.0003800289612777521,0.0003800289612777521,0.0,0.0003800289612777521,0.0,0.0003800289612777521,0.0003800289612777521,0.0,0.0,0.0003770671830260898,0.0003770671830260898,0.00013416496972923863,0.0003800289612777521,0.0,0.0003800289612777521,0.0003800289612777521,4.6260155549773035e-05,0.0003800289612777521
HR@10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013888888888888888,0.0,0.0,0.0,0.0,0.013888888888888888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013888888888888888,0.0,0.0,0.0,0.0,0.0,0.013888888888888888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013888888888888888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR@2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR@5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013888888888888888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lin's AUC,0.665104974153677,0.6321108217879066,0.5735291987602045,0.5950812775459259,0.6704982151412634,0.6286535119222728,0.6292739373146368,0.56801367300741,0.6018243893709113,0.5457680655245126,0.65275030139201,0.6653032873763097,0.5246158720322223,0.5904376434469432,0.6278637227782055,0.586106279953821,0.6737153188737117,0.4773930562092361,0.6521296088009512,0.5926464890457672,0.6439354304657616,0.7078798413840822,0.5590793498409768,0.6157965681805119,0.6384124260178776,0.6602943352825854,0.53260972264969,0.5575930646355687,0.5517134304271415,0.6539530970961397,0.6174557104470022,0.6196002909669961,0.655724679696028,0.6034784443788241,0.602159356535923,0.5550928810751221,0.5155504283809227,0.6396903610872768,0.6427409662087509,0.57087076618535,0.5605188118784501,0.5038399935500975,0.5493370972607895,0.6823823998544767,0.5951478657294159,0.5305558585279887,0.6404205204438326,0.6276781593135821,0.5943704443412008,0.6345123810652613,0.646079754460115,0.5934800450282565,0.63738228628554,0.5098558266453828,0.6263373869664736,0.6247023174352723,0.687123689606096,0.5860908283996611,0.6740409661931347,0.58336965223861,0.6308925572435998,0.6378112070378198,0.4976491827566979,0.6834184903319209,0.541762034114032,0.6296302625418009,0.6261718589695285,0.6450350993303068,0.5156469333005592,0.6344370877713932,0.6771466240162027,0.6533244701036434,0.551597259275856,0.6030232453774964,0.6356259048497396,0.5742437154262156,0.5978100482584869,0.5336413846564705,0.6298850864186699,0.6703174837696994,0.4789471155473495,0.5438810690558447,0.6280853068851188,0.6390568260416648,0.6017713705244558,0.6581355709796382,0.6724845546680753,0.5816957509113112,0.5550519614449169,0.6710041387855779,0.6287311253592378,0.6072921234812567,0.6371767790987746,0.5940831831143494,0.6095892718289626,0.6028080061858422,0.5596321402117772,0.5926244136979816,0.620991103253489,0.5588280625725568
NDCGk,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907
global AUC,0.2674425379526416,0.6614102993804803,0.11641057568364008,0.5252634190233524,0.9360673530998211,0.1304895731596708,0.9330262163645953,0.9010681519763485,0.9248829315524993,0.9117801551862705,0.1332925485843067,0.9396397727586707,0.9069070083695832,0.15361209318864658,0.9325315736426006,0.9252768137200136,0.9241004229840982,0.9073780752241358,0.3283070184606551,0.9204677872561775,0.9244759850507979,0.1364802461260495,0.9168220871940693,0.919135675663338,0.37835483092048605,0.13072773447026076,0.9156954009939705,0.9212647116416132,0.9159702025061898,0.500959252491834,0.12587290775438814,0.9261378584583004,0.9411603411262838,0.9243333285280609,0.12530498462913509,0.9163732447241113,0.9054780405060434,0.9287393127739756,0.5204688083765507,0.7683471304715535,0.9250386524094236,0.9167030065387743,0.12328977353952758,0.13299026692086557,0.9266508212811095,0.9092833657088557,0.9290415944374167,0.1716154965227848,0.11968071367904864,0.7645967655711847,0.4609181193605625,0.11768382269025573,0.7643769243614094,0.9186998975275673,0.6408839779005524,0.12990332993360315,0.16711400748901695,0.9238661659572883,0.33581825979464675,0.1622905652081464,0.12460882079817977,0.9263393795672612,0.11151910876613821,0.9320186108197914,0.9196159025682978,0.9263576996680758,0.9327697349531906,0.9350963877566465,0.9101993707495865,0.9160304185752608,0.9330811766670389,0.9342719832199889,0.9146877954491669,0.9300491999822205,0.927530186120211,0.8458318467022019,0.569686960533097,0.9169228477485497,0.9324582932393422,0.9229462566327775,0.9033842932465501,0.6413916849567347,0.9267607418859973,0.9322018118279376,0.11678613775033968,0.9316888490051285,0.13287118626557057,0.9277866675316156,0.9242325679735806,0.13299026692086557,0.13173534001506454,0.9185219522860484,0.9230012169352214,0.34673568839730956,0.9280156687917983,0.12407753787455597,0.9222723171864169,0.9240768471166564,0.16719119217605558,0.9234264835377376
global NDCG,0.28072811559597044,0.3293665031478589,0.2531930292896883,0.3109037432081159,0.3734501949858435,0.2535301702598436,0.36237631923192914,0.3399212458730341,0.4071959914555219,0.34343143847512736,0.253567431047512,0.37080615894250296,0.35317524907140474,0.32185097945282176,0.3604578378756268,0.35820316202962893,0.35169803402021693,0.33771697934191625,0.29426118725572215,0.34769341356957156,0.3781055201985799,0.25370421312488034,0.3390326503435254,0.3502999807366248,0.32761517640705146,0.25348810799297467,0.33377689083953443,0.33835719556382526,0.3451296081773054,0.3190579149002684,0.2533623505346591,0.35185285098521496,0.3527466394066501,0.3397693558907152,0.2534247281670788,0.33175537539575295,0.32886495267279386,0.34411372960877445,0.3158116838170527,0.33467055174324856,0.3437685562310093,0.337375271136771,0.25328711956828615,0.2536467540236836,0.34080620681699847,0.3349017768273093,0.3433945119131298,0.28899653942854076,0.25326187868182215,0.3406520847176637,0.2998469238031504,0.25317370904190956,0.3690230295309847,0.34221703517414886,0.33046048257918437,0.2535256847161399,0.2656533641675944,0.33976939908950005,0.2932476196720717,0.2642424538724309,0.2533559500984436,0.3428417880423131,0.2530434275367453,0.33904218893952337,0.33638094226983256,0.3437910906294841,0.35587973817362684,0.35045270330684053,0.33385586102316195,0.3611220383149518,0.36716315146355416,0.3459808777174909,0.3378586027601266,0.3496068379880875,0.34343083550570275,0.3644673309175255,0.32788340332103316,0.3488163274303948,0.35223886609100724,0.3498768144323781,0.33094292218902666,0.3297660725594601,0.34417227447153026,0.35397503636626104,0.25313445123697953,0.3481624433169436,0.2535957490304117,0.3572253618447691,0.35810263091584466,0.2535568710854734,0.25356613704036157,0.33901545064869093,0.34481997802198777,0.2912992955052452,0.3427859994247987,0.2533658212255683,0.3383663871877782,0.33816917165924354,0.26926154445698114,0.34131037539681186
