,1_HAN,2_HAN,3_HAN,4_HAN,5_HAN,6_HAN,7_HAN,8_HAN,9_HAN,10_HAN,11_HAN,12_HAN,13_HAN,14_HAN,15_HAN,16_HAN,17_HAN,18_HAN,19_HAN,20_HAN,21_HAN,22_HAN,23_HAN,24_HAN,25_HAN,26_HAN,27_HAN,28_HAN,29_HAN,30_HAN,31_HAN,32_HAN,33_HAN,34_HAN,35_HAN,36_HAN,37_HAN,38_HAN,39_HAN,40_HAN,41_HAN,42_HAN,43_HAN,44_HAN,45_HAN,46_HAN,47_HAN,48_HAN,49_HAN,50_HAN,51_HAN,52_HAN,53_HAN,54_HAN,55_HAN,56_HAN,57_HAN,58_HAN,59_HAN,60_HAN,61_HAN,62_HAN,63_HAN,64_HAN,65_HAN,66_HAN,67_HAN,68_HAN,69_HAN,70_HAN,71_HAN,72_HAN,73_HAN,74_HAN,75_HAN,76_HAN,77_HAN,78_HAN,79_HAN,80_HAN,81_HAN,82_HAN,83_HAN,84_HAN,85_HAN,86_HAN,87_HAN,88_HAN,89_HAN,90_HAN,91_HAN,92_HAN,93_HAN,94_HAN,95_HAN,96_HAN,97_HAN,98_HAN,99_HAN,100_HAN
ACC,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136
AUC,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Fscore,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521
HR@10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013888888888888888,0.0,0.0,0.0,0.013888888888888888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027777777777777776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013888888888888888,0.0,0.0,0.0,0.013888888888888888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027777777777777776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR@2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013888888888888888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR@5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013888888888888888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lin's AUC,0.6944416088847278,0.699336752528155,0.7186422589603445,0.7215624392725042,0.7395748265143788,0.7271916452520769,0.6592988629468852,0.6891503598208719,0.7207200310420471,0.6754683029005875,0.6754537363280759,0.7279064175178261,0.7198484276386794,0.7101626362378112,0.7130559085595501,0.6782345246078411,0.6857536293980353,0.6778768560199682,0.7200103091232101,0.7236421395391224,0.7354615721743529,0.7376035139557924,0.7372969269177816,0.6741009155147777,0.7116356165845668,0.7217385826735538,0.677780967175931,0.7128440519019741,0.725786177824838,0.6832693075326151,0.6977173215538575,0.7004783156134176,0.7050304974329521,0.6490808551288936,0.7137314458904777,0.7055607620880716,0.7033905613487308,0.7000126845777198,0.7231986777806236,0.7020626617808082,0.7150874694414381,0.7120086858005157,0.6956103469614443,0.7237237323231329,0.7168591563606981,0.682322327142912,0.6914844307075083,0.6952928128975873,0.7113626770555844,0.6487259953235859,0.7101528438402721,0.6640756309918061,0.71172889865627,0.7286494833455928,0.6925341417262206,0.7004563692886621,0.6901851251941045,0.7241743370334994,0.6807058621743821,0.689436099402758,0.7102647515528797,0.7226503543810927,0.7113490573588768,0.7024500008343166,0.7017929236386832,0.6853820955211538,0.6765184959329013,0.7207016850472643,0.6846587076980455,0.6906360676583772,0.7192119518468872,0.7154899574631789,0.6854941377499959,0.694960339225945,0.6937009776366309,0.6852747722550045,0.709308014571353,0.6328296712221456,0.7191416788957872,0.7054116301923221,0.717956254692065,0.6797325653555769,0.7231570643094882,0.6860987550608404,0.7370176774881481,0.6426328841568391,0.7187283610062241,0.689916183032651,0.7258874984008867,0.6890568977099693,0.7273387782435181,0.7228940727074579,0.708627261845012,0.7318491585690994,0.6935644367517919,0.7172991005992649,0.7066998408407348,0.7346803816634657,0.6902248080316813,0.6987964984097628
NDCGk,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907
global AUC,0.9354902699241607,0.9364062749648914,0.9382199649455382,0.9371482390478834,0.9400977752790362,0.9397588534139658,0.929023274336602,0.9311942062831338,0.9372947998544002,0.9362322340071526,0.9317254892067577,0.9392733707423785,0.9403359365896261,0.9371573990982907,0.9398596139684462,0.9346292251858739,0.9333101779272217,0.9323392125840472,0.9377436423243583,0.9407206587067329,0.9397680134643731,0.9414901029409468,0.9395664923554123,0.9363879548640769,0.9383756858024624,0.9373864003584733,0.9321193713742718,0.9354169895209024,0.9393283310448224,0.9329254558101148,0.9373864003584733,0.9357925515876019,0.9382291249959456,0.9302324009903666,0.9398138137164096,0.9390168893309739,0.9377436423243584,0.9349223467989077,0.9361314734526722,0.9360307128981918,0.939319170994415,0.9358383518396385,0.9387604079195693,0.9369925181909591,0.935380349319273,0.9351147078574611,0.9360123927973772,0.9357284312347507,0.9409404999165084,0.9313682472408726,0.9406840185051037,0.9338872611028821,0.94430223841599,0.9387420878187547,0.9333376580784436,0.9313865673416872,0.9352979088656074,0.9396306127082634,0.9373497601568441,0.9384031659536843,0.9366444362754814,0.9390352094317885,0.9366261161746667,0.9386779674659036,0.9330078962637806,0.9368459573844422,0.9338872611028821,0.9393008508936005,0.93576507143638,0.935197148311127,0.9352521086135708,0.9388520084236424,0.9342994633712107,0.9349681470509442,0.9367909970819983,0.936900917686886,0.9363146744608184,0.9301774406879227,0.9421404665198656,0.9357284312347507,0.9435694343834055,0.9353528691680512,0.9410962207734326,0.9339147412541039,0.9408672195132499,0.9312674866863923,0.9412061413783203,0.9354719498233461,0.9394840519017466,0.9368734375356641,0.9385314066593867,0.9397496933635585,0.9341895427663232,0.9426992295947113,0.9375329611649902,0.9371482390478834,0.9356185106298631,0.9359574324949334,0.9375512812658048,0.9364062749648915
global NDCG,0.3582833034723011,0.3547838390077481,0.3513816831878702,0.3654721598636552,0.3677587150998421,0.3646928693698546,0.3464227774758156,0.3554249221129016,0.36001595604239567,0.34392342805607523,0.34442426353356803,0.3733058825151863,0.36235942668242255,0.34976258261631127,0.37643578764347513,0.3597774319462326,0.34272000169921524,0.3502894202829813,0.3523235687037059,0.36150578465348143,0.3599422483046056,0.3583045895373566,0.39515633767560937,0.35508564554886346,0.3584539077845388,0.3527095845684796,0.34198645101317804,0.35278467594369506,0.35805764077519625,0.3533568677332935,0.34733659499645153,0.34756678127333895,0.34783975645793025,0.3409344428145794,0.3558510438878518,0.35448473284373977,0.3616763489805053,0.34927978850431235,0.3480545846336475,0.36120643283401044,0.3611576098616896,0.35989901474329233,0.3680099295607252,0.36163818069800824,0.35958060595307284,0.3477588927265521,0.35471549860509655,0.3474109049323377,0.3586413037710359,0.350109777473119,0.38686156493292584,0.35486601522446626,0.3786893226513707,0.39343675837214587,0.34839228409632766,0.34425249774832795,0.36058237105781976,0.3632767166704891,0.3526992662566629,0.3544817057456297,0.3567308531879672,0.34914500333503234,0.3599541502787175,0.3463140003664292,0.34510720470634104,0.3673803484677731,0.3521577587172556,0.3669169054836356,0.3556866402627397,0.35106956914384546,0.35260037060351795,0.4093256128163027,0.35269471459687085,0.34799031454746493,0.34334557856047765,0.3473625811061291,0.3609672796946955,0.3486970827652105,0.3945560919102628,0.3500940232752576,0.3828652175708378,0.3566328663973383,0.3643335073259161,0.34897890655340036,0.368355793826942,0.34234973303562194,0.3609850961222745,0.3572901796822167,0.3527332739168121,0.3865937792318133,0.35890744839302374,0.402203303243058,0.3594715575573873,0.35932261555592,0.34993494647422807,0.35512999687273833,0.36110576474168127,0.35650116754793937,0.3823494453457205,0.34663602771740404
