,1_LogisticMF,2_LogisticMF,3_LogisticMF,4_LogisticMF,5_LogisticMF,6_LogisticMF,7_LogisticMF,8_LogisticMF,9_LogisticMF,10_LogisticMF,11_LogisticMF,12_LogisticMF,13_LogisticMF,14_LogisticMF,15_LogisticMF,16_LogisticMF,17_LogisticMF,18_LogisticMF,19_LogisticMF,20_LogisticMF,21_LogisticMF,22_LogisticMF,23_LogisticMF,24_LogisticMF,25_LogisticMF,26_LogisticMF,27_LogisticMF,28_LogisticMF,29_LogisticMF,30_LogisticMF,31_LogisticMF,32_LogisticMF,33_LogisticMF,34_LogisticMF,35_LogisticMF,36_LogisticMF,37_LogisticMF,38_LogisticMF,39_LogisticMF,40_LogisticMF,41_LogisticMF,42_LogisticMF,43_LogisticMF,44_LogisticMF,45_LogisticMF,46_LogisticMF,47_LogisticMF,48_LogisticMF,49_LogisticMF,50_LogisticMF,51_LogisticMF,52_LogisticMF,53_LogisticMF,54_LogisticMF,55_LogisticMF,56_LogisticMF,57_LogisticMF,58_LogisticMF,59_LogisticMF,60_LogisticMF,61_LogisticMF,62_LogisticMF,63_LogisticMF,64_LogisticMF,65_LogisticMF,66_LogisticMF,67_LogisticMF,68_LogisticMF,69_LogisticMF,70_LogisticMF,71_LogisticMF,72_LogisticMF,73_LogisticMF,74_LogisticMF,75_LogisticMF,76_LogisticMF,77_LogisticMF,78_LogisticMF,79_LogisticMF,80_LogisticMF,81_LogisticMF,82_LogisticMF,83_LogisticMF,84_LogisticMF,85_LogisticMF,86_LogisticMF,87_LogisticMF,88_LogisticMF,89_LogisticMF,90_LogisticMF,91_LogisticMF,92_LogisticMF,93_LogisticMF,94_LogisticMF,95_LogisticMF,96_LogisticMF,97_LogisticMF,98_LogisticMF,99_LogisticMF,100_LogisticMF
ACC,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136
AUC,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Fscore,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521,0.0003800289612777521
HR@10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013888888888888888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013888888888888888,0.013888888888888888,0.0,0.0,0.0,0.0,0.0,0.013888888888888888,0.0,0.0,0.0,0.0,0.0,0.0,0.013888888888888888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR@2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR@5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lin's AUC,0.717244860951766,0.5655544262429875,0.7112531408423185,0.6463117482891594,0.6941456692650244,0.5022475652721313,0.6102216651701319,0.6837818892085548,0.6796489243950318,0.5964936487770355,0.7377979504005248,0.7422453588075751,0.6265176368859596,0.697263562411593,0.6561939968417057,0.6975429039468793,0.7198369247049775,0.7185385649597213,0.6076636638649324,0.6305224080898315,0.7566352232133833,0.6221974921091428,0.7057920868088227,0.6631836948473897,0.5823597786543531,0.6826366569653599,0.6834116622566553,0.7298514110593172,0.6895770386211623,0.714594770289034,0.5778101846773923,0.6761518653627828,0.596624468752514,0.6991593303184884,0.5964864133012733,0.705422314787369,0.7005346935672639,0.6882795480882249,0.5568437580536477,0.7000992808878744,0.5668557713751402,0.6221018506513999,0.6622781263299595,0.663837867324237,0.6140305169531998,0.7290974106029381,0.690689345703377,0.7218886910685441,0.6373443980831893,0.7223679265177957,0.6509064831374938,0.6106308625796397,0.7026393937925564,0.6389240018238838,0.6829446638612423,0.7118398107298078,0.7334937320975256,0.6160994214178226,0.6174586865726874,0.6857579066488578,0.6805497161756491,0.5580731928924627,0.7452792594128754,0.5715205886469629,0.6372490544265704,0.7486462712948265,0.6345857430952246,0.7262950749118314,0.5409028854701672,0.6919618408160249,0.6905424182987909,0.7112488400210489,0.6282596607822196,0.5841069179185812,0.751964199587524,0.6607611361432891,0.557076406592494,0.5599357142198145,0.566529950486402,0.6508420723592598,0.610337674321864,0.6605871576775854,0.7232803249950245,0.671573269932956,0.6314245969424136,0.5988695547975612,0.6855555414789982,0.664586502502114,0.6948819608043098,0.6291391511634438,0.6788608566882088,0.7321406915652736,0.6024077246563625,0.6967496327455658,0.6535999813091469,0.6190940164694927,0.72178804425181,0.6154978115328973,0.557345472595413,0.5576173806684208
NDCGk,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907,0.1975368959252907
global AUC,0.9375718538380311,0.9195258037118326,0.9396770136193431,0.9282403152739185,0.9372311299958314,0.906287578731384,0.9238497979983638,0.9293222523753061,0.9344940769011759,0.9217474913475064,0.9371293182880256,0.9414339413204167,0.9287855635202945,0.9361389816907111,0.9334917271229993,0.9341059009945712,0.9342469057049394,0.9255217324448385,0.9227828773730536,0.9238538524469047,0.9451793507836798,0.9263374274253711,0.9319818204534015,0.9276387552422518,0.9240821028832834,0.9315065489855469,0.9322258381896616,0.9392958954564948,0.9310506487718324,0.9365666509293997,0.922905712147368,0.9337540649600742,0.9214372509517442,0.9385590369753694,0.927217242758755,0.9416372644065067,0.9338157826767529,0.9327652300103674,0.9192136111741803,0.9350977392394936,0.921200591288762,0.922924482742465,0.9298964824205117,0.9340293169665757,0.9288007301611327,0.9313311565449611,0.9377214179397635,0.9369836584700733,0.9215961252686448,0.9387877379060305,0.9319177001005503,0.925896693852495,0.9362751811287344,0.9240825533775658,0.9309290153156042,0.9302586798235023,0.9400479205784587,0.9215944734562761,0.9239227780721007,0.9350627508502329,0.9326186692038504,0.9158273958186922,0.9413531526791195,0.9182672728517729,0.9261533254286604,0.9383300357151867,0.9216344172826425,0.9340724142529183,0.9167749354591858,0.9303232506706358,0.9337563174314858,0.939874480279763,0.9225543266071533,0.918219069963564,0.9452362632280138,0.9281961668342505,0.919498774054893,0.9202315780874776,0.9145783253385614,0.9280448007553888,0.9246736018759782,0.9319104921920331,0.9332685822884869,0.9231443239522404,0.9234559158308496,0.9263962920115951,0.932030924330175,0.9301408004862936,0.9366587019277551,0.9236150904772716,0.9372707734926762,0.9381250608167282,0.9187650690337439,0.9382324286206826,0.928373811746248,0.9255774435710862,0.9342972108997993,0.9196354239871988,0.9129433314232375,0.9174710992901411
global NDCG,0.3789163646036131,0.36611077761555444,0.3858718704302417,0.36767810552057956,0.37133666751159433,0.35483024029373467,0.3645082513948864,0.3711511545857396,0.3724015001360676,0.36922351728595876,0.37552866215385156,0.38405705326676887,0.3700170234067188,0.3744651573204055,0.37205369771169294,0.3730886223979634,0.3694779154268406,0.3690092059852706,0.3633512911733223,0.36726660640300407,0.3888882800074755,0.36724856080108065,0.37457348750646446,0.3676376362679622,0.3685464595675263,0.37760991476036543,0.3676289871088942,0.37488643475275585,0.36848839191939115,0.37814425468818386,0.36638023877668313,0.3707544659357447,0.36840862137390246,0.3726605479940198,0.36780358644390554,0.38790558484508575,0.37911691508035694,0.37183817995779594,0.36363151278041866,0.36580713237057677,0.35925540980240595,0.3604707585953242,0.3616263789688577,0.3824293427712778,0.36831857542637314,0.3738552728768477,0.36995130171538804,0.3870904755969064,0.3559688369084783,0.3668432441930654,0.39319215635850047,0.3668907454667452,0.37726113254149884,0.36641285127733214,0.3739875118073603,0.37714811753146815,0.37136950270932184,0.35931982951546315,0.36334902476414394,0.37717865000783124,0.3736006471501506,0.36176992091166044,0.3891028242135173,0.35597538904740794,0.37297734912361125,0.3758623860066394,0.35306762469946845,0.3607344105302348,0.35118685656493803,0.3728496618798283,0.3834435034209815,0.38656895620052745,0.3655368514197983,0.3689743005524876,0.37983381275473627,0.36938883443246645,0.3625808294571309,0.3564138786288834,0.36150629814954727,0.3737877465192988,0.367236798687144,0.3846428317722023,0.35965471640488894,0.3593098187233373,0.36384148751775186,0.3680726217669012,0.3793278262781438,0.3808601810481732,0.36797273480233944,0.3631013953866071,0.38088667320741587,0.3799428571957096,0.3606608442775,0.3782153069221786,0.36032151792433403,0.3607018952726997,0.3753889144606944,0.3573902227751838,0.3607514060032246,0.3646225404549806
